0.0268194+0.115524j 0.0351673-0.00894608j -0.157251+0.0324732j 0.00432224+0.0171819j 0.00987173+0.00190277j 0.0266319-0.010874j -0.0315564+0.0298584j 0.0848963-0.0959502j 0.0980394+0.106582j -3.54393e-05-0.00769492j -0.00644221-0.0111251j -0.0174389-0.0171401j -0.00535402+0.0121133j -0.0210884+0.00172243j 0.0138794-0.00699354j 0.0249505-0.00864226j 0.00860609-0.0200541j -0.00920651+0.0181695j -0.0187817+0.139088j 0.00349023+0.0262578j -0.0175702+0.0132362j -0.156625-0.0421368j 0.0924204-0.0189455j -0.0086306+0.111292j 
0.0730875+0.031171j -0.0876273+0.034953j 0.00894467+0.0632097j -0.014562+0.0312993j 0.0188202-0.0172029j -0.0413183+0.111046j -0.0956942-0.0392225j -0.0904968-0.0316344j 0.00887164-0.0763842j 0.0128397+0.000729534j 0.00679263-0.0165723j 0.0157902-0.0454473j -0.0227997+0.00774179j -0.0126143-0.0464275j 0.0159494+0.0191017j 0.014439+0.123063j 0.0210649+0.000754494j -0.040445+0.0137478j 0.0111571-0.043543j 0.108386-0.0425912j -0.123747+0.0433821j 0.0435261+0.00854452j -0.117955-0.122382j 0.0498518-0.0996381j 
0.0551318+0.0281878j 0.0941543-0.150905j 0.00619794+0.0298449j 0.0171001+0.014867j 0.0442771-0.0115432j -0.0681047-0.0653722j 0.0752898-0.0659979j -0.0127954+0.0224918j -0.0238046-0.0470358j -0.0212926-0.0139995j -0.0159981-0.0494771j -0.0331311-0.0322922j -0.0207801+0.102252j -0.0208639-0.0501725j 0.0111234-0.0217204j -0.0763728+0.0823584j 0.0864985-0.0721977j 0.019037-0.026782j -0.0666008-0.111252j -0.00965566-0.0161195j -0.167537-0.0585653j 0.117733-0.0916326j -0.084012-0.0586524j -0.0110543-0.11675j 
0.012753+0.0450466j 0.0932162-0.00334257j 0.00813425+0.0279286j -0.0336444-0.140548j -0.131477+0.0360321j 0.00671641-0.0296354j 0.0772225+0.0361068j -0.0501293+0.0528615j -0.0315444-0.0658549j 0.0220754+0.0335745j 0.0117625+0.0466614j 0.0623065+0.029795j 0.0981003-0.0489517j -0.0188812-0.0968656j -0.0221367+0.083505j 0.0387999-0.0321169j 0.0745762-0.0606512j -0.10102-0.061361j -0.103848-0.0154014j -0.101326-0.0524492j 0.0504097+0.0037255j 0.0561958-0.124437j -0.00400571+0.165586j -0.139021-0.0116779j 
0.0514186-0.000274544j 0.0156583-0.0550401j 0.0252074-0.137241j 0.0373569+0.010859j -0.0207049-0.0516196j 0.0459565+0.107168j -0.124865+0.0726395j -0.0769441-0.0938688j 0.0944082-0.0305521j -0.00148267-0.00115083j -0.00902178+0.0103324j -0.0104244+0.00901865j 0.0680345+0.00258466j -0.105419-0.0137259j 0.0472569+0.011425j -0.134903-0.129958j 0.0267144-0.226393j -0.0196213-0.000790872j 0.0239755-0.0845575j -0.242736+0.0594784j 0.00602552-0.120729j 0.0731813-0.0122669j 0.0629716+0.0942081j -0.0322946+0.0136728j 
-0.112082+0.00026935j -0.0165754-0.00490162j 0.0170145-0.00302001j -0.144065-0.0660564j -0.0887674+0.127521j 0.0216596+0.0565701j -0.0216255+0.0565222j -0.0887346-0.126931j 0.144218-0.0665136j -0.0136972+0.00436298j -0.030214-0.0921914j 0.0248404-0.0886466j -0.115277+0.0818829j -0.0290984-0.0218998j 0.0456904+0.0287537j -0.0237819+0.0386602j 0.108842-0.000240728j 0.0224014+0.0359996j -0.0452655+0.0270189j 0.0323864-0.021672j -0.117774-0.0812405j -0.0239831-0.0876722j 0.0280414-0.0950506j 0.0152307+0.00197238j 
-0.0512027+0.000257776j 0.026035+0.136288j 0.0166386+0.0543185j 0.0951649+0.0312221j 0.0756963-0.0951129j -0.123381-0.0712895j 0.0450127-0.104115j 0.0191376-0.0536015j 0.0387574-0.0124324j -0.0341783-0.011439j 0.0618459-0.0947064j 0.0769014+0.0134692j -0.00259325-0.11996j -0.242274-0.0606232j 0.0286236+0.0904162j -0.0227421-0.00250766j -0.0215277-0.230238j -0.136519+0.125108j 0.0444918-0.014174j -0.11078+0.0135263j -0.068971+0.00046648j -0.00812527-0.0115234j -0.00864287-0.00909167j -0.0027329+0.000284899j 
-0.0131176+0.0446211j 0.00760241-0.030149j 0.091282-0.000357701j -0.031365+0.0675755j 0.0529106+0.0518018j 0.073532-0.0361365j 0.00446084+0.0261545j 0.133034+0.0348139j -0.0333175+0.141836j -0.138568+0.00949789j -0.00607345-0.166786j 0.0499716+0.120866j -0.0531439+0.00879159j -0.102725+0.0544591j -0.100092+0.00911748j -0.104304+0.0578156j -0.0725581-0.0624818j 0.0436824+0.0304237j -0.019151-0.0827567j -0.0204927+0.100114j -0.0992129-0.05314j 0.0631804-0.0263394j 0.013342-0.049489j 0.0247186-0.0335081j 
0.0526037-0.0288664j -0.006813+0.0290241j -0.0969998-0.151379j 0.0246351-0.045818j -0.0116427-0.0245483j -0.0783326-0.0662608j 0.0685825-0.0687338j 0.0421492+0.00822684j -0.0149293+0.0120524j 0.0139714-0.113285j 0.0831592-0.054806j -0.11396-0.0976641j -0.166379+0.0580873j 0.0137824-0.0189989j 0.0718046-0.108823j -0.0177672-0.024042j 0.0870872+0.0728569j 0.075878+0.0825057j -0.0104581-0.0212931j 0.0237706-0.0496194j -0.0218866-0.102306j 0.0313423-0.0309588j 0.0167864-0.0517598j 0.0229648-0.0137585j 
-0.0750683+0.0344671j 0.00308254-0.0658198j -0.0859531-0.0314537j 0.0134007+0.0737752j 0.0875112-0.0365483j -0.0966616+0.0403837j -0.0422912-0.110121j -0.0221245-0.0181186j -0.0142937-0.0342042j 0.0507584+0.095745j -0.115763+0.125868j 0.036359-0.00462723j 0.128812+0.0432659j 0.109954+0.0434364j 0.00551484+0.036865j -0.0390103-0.0157649j -0.0234614-0.000109477j 0.0152278-0.125428j 0.0175617-0.0146572j -0.014224+0.0468602j 0.0247903+0.0117511j 0.0129538+0.0486976j 0.00585744+0.0187839j 0.0130451+0.000337727j 
0.0236706-0.114467j 0.15771+0.0297765j -0.0384079-0.00982048j -0.0978402+0.109519j 0.0884411+0.0962835j 0.0275237+0.0311691j -0.0289741-0.0155333j 0.00954639-0.00272516j -0.00462613+0.0167719j 0.00979285+0.114028j -0.0987748-0.014251j 0.157538-0.0400264j -0.0119204-0.0103602j 0.00102741+0.032131j 0.0164821+0.14101j 0.00587631+0.0170913j 0.00728941+0.019636j -0.0244186-0.015158j -0.0129249-0.00831581j 0.0209288+0.00522193j -0.00568157-0.012079j 0.0186047-0.0157873j 0.00741164-0.0110549j 0.000666592-0.00792848j 
