-0.00329429+0.0102627j -0.00850809-0.00454259j -0.00687003+0.00131161j -0.0030463-0.00698724j 0.00156219-0.000191362j -0.00115298-0.000973982j -0.00680268+0.000340531j -0.00483237-0.00148236j 0.000205709-0.000217313j -0.000270092+0.000515294j -0.00221617+0.0034845j 0.00250504+0.00440584j 0.000569919-0.00279439j 0.000610415+0.00228108j -0.00114139-0.00191402j 0.000925959+0.00173142j -0.0032904+0.00126933j 0.00610835-0.00289335j -0.00215738-0.000124432j -8.63715e-05-0.00115577j 0.00576556+0.0035703j 0.00460016-0.000138629j -7.99284e-05+0.00541712j 0.00352983-0.00150892j -0.000855178-0.00761691j -0.00566948+0.0013969j 0.00350084+0.000735107j -0.000574987-0.00592596j 0.00707684+0.00135922j 0.00086637-0.00266698j -0.00213134-0.00031877j -0.00268404+0.000963891j 0.00834822-0.000921808j 0.0027356+0.000499552j 0.00326901+0.00134698j 0.00437202-0.00563067j 0.00189296-0.00974612j -0.000496694-0.000396051j 0.00231472+0.00241273j 0.00337264+0.000369742j -0.00250779+0.00477959j 0.000793806+0.00219827j 0.00255905-0.0034677j -0.000658195-0.00772357j 0.00405814+0.00609192j 0.00407169+0.000582742j 0.00343881-0.000152112j 0.000513704+0.000505437j -0.000730204+0.00332756j -0.000613783-0.00493006j 0.00323704+0.00282724j 0.00173675+0.00150624j 0.00172473+0.00347407j -0.00319139-0.00262122j 0.00220723+0.000643607j -0.00384351+0.000412678j 0.00173654-0.00758072j 0.00221489+0.000921649j -0.00151333+0.00309983j 0.0029478+0.00285852j -0.00100681-0.00253917j -0.00116575+0.00162602j -0.000972843-0.000568062j 0.00226357-0.00110853j 0.00158814-0.0025832j -0.00301018-0.00020623j 0.00044648-0.000651357j 0.00104117-0.00160885j 0.00130378-0.0015006j -0.00130806+0.00213987j 0.000617308-0.000901577j -0.00134529+0.00291776j 0.00110292-0.00144022j 0.0047521+0.00241333j 0.00157336-0.000699282j -0.000458653-0.000181855j 0.00250183-0.00394332j 0.00134299+0.00205003j -0.00112378+0.0021565j 0.000307713-0.00329406j 0.000328025-0.00188785j -0.00164059-0.002126j -0.0010975+0.00480918j -0.000895804-0.00209252j -0.00352035-0.00072885j 0.000831046+0.001556j 0.000899183-0.000202255j -0.00449425-0.000599427j -0.000194652+0.00252346j 0.00581357-0.0252706j 0.00341179+0.00455251j 0.00760987-0.0104688j -0.00110514+0.00172902j -0.0262564-0.0211004j -0.0275592+0.021023j 
-0.00955487-0.00576502j 0.00348417-0.00917146j -0.00158033-0.00737977j 0.00650873-0.0012425j -0.00485502-0.00302242j -0.00392013-0.000860791j 0.00165792+3.08646e-05j 0.00231553-0.00470616j 0.00701168+0.00187006j 0.00323874+0.00288142j 0.00165977+0.00103512j -0.00607063-0.00157511j -0.00206586-0.000758973j -0.00540106-8.95757e-05j 0.00327102+0.000189604j 0.00217747-0.000327416j -0.00278792-0.00117877j 0.00574463+0.00455466j 0.00199336+0.000565866j -0.00390364+0.00224989j 0.000152036+0.00120504j -0.00169429-0.00244122j 0.0029147+0.00395259j -0.0102835+0.00135332j -0.00497113+0.00181358j -0.000135923+0.00525363j 0.00249017-0.000209074j -0.00771383+8.81865e-05j 0.0016879-0.00476182j -0.00143452-0.00121671j 0.000560756-0.000278394j 0.000351482+0.00139318j 0.000517219-0.00460705j -0.000268502-0.00276662j -0.00222604-0.00497061j -0.00483859-0.00108111j -0.004421+0.00354577j 0.00336448+0.00387752j 0.00237083+0.00116769j 0.00353899-0.00541963j -0.0038136+0.00310248j 0.00145185-0.00270124j -0.000165067-0.00771234j -0.00148353+0.0034377j 0.00149128+0.00633033j 0.00196335+0.00136717j 0.00264305-0.000808914j 0.000920132-0.00337046j 0.000479732+0.000775289j -0.0020443-7.08461e-05j 0.00102205-0.00495308j 0.00168052-0.00186288j 0.000593623-0.00564619j 0.000192739+0.00173676j -0.000983907+0.000300263j -0.000743755+2.88846e-05j 0.00234034-0.00310678j 0.00243561-0.00267174j 0.00144796+0.00218091j 0.0017817-0.00246718j -0.00276758+0.00161023j -0.00039597+0.000562322j 0.000755207+0.00473147j -0.00146206-0.00430387j 0.00113219+0.00333515j 0.000842945+0.00340281j 0.00118338-0.000704514j 0.00113347-0.000925211j 2.92601e-05-0.000522078j 7.85757e-05+0.00022156j 0.000312133+0.000967908j -0.00152362-0.000565022j -0.000114953+0.0018876j -0.000934473-0.00287109j 0.000918769+0.00374927j 0.000712836+0.00221298j -0.00244075-0.000506386j -7.69273e-05-0.00630511j 0.00191125+0.00086706j 0.00208404-0.00425649j -0.00260658+0.00140195j -0.000422789-0.00329653j 0.00229865+0.00308278j -4.23267e-05-0.000348957j 0.000764916+0.00269002j -0.00138669-0.00293322j -0.00590513-0.00158173j -0.00282597-0.00289522j -0.00358604+0.00277558j 0.00154167+0.00439234j -0.00838406+0.0265306j 0.00240845+0.00100812j -0.0046759+0.00603679j 0.0272521-0.0208234j -0.0270168-0.0220327j 
0.00526398-0.00431354j 0.00532109+0.0059725j -0.00426832-0.00441987j -0.00177057-0.00599582j 0.00575743-0.00208394j 0.0127213+0.000626174j -0.00185423-0.00216223j 0.00222056+0.0031801j 0.00585408+0.00268775j -0.00911821+0.00398617j -0.0024626-0.00152098j -0.00464998+0.00171747j 0.00221308+0.00341995j -0.00251326-0.001601j 0.0013166+0.000621048j -0.000237601+0.00460979j -0.00420899-0.00135244j -0.00270404-0.00229799j 0.00046468+0.0012021j 0.000298135-0.00601717j 0.00774402+0.00314222j -0.000651024+0.00636617j -0.00126866-0.00756599j -0.000945196+2.2801e-05j 0.00307746-0.00607306j 0.00134239-0.00622783j -0.00263659+0.00519232j 0.00284817-0.00115158j -0.00312816-0.00551641j 0.00202505-0.00193037j 0.000989453+0.00458232j -0.000741164-0.00131283j -0.00599595+0.00013349j -0.000155702+0.00223039j -0.000963476-0.00193429j 0.000320891+0.000627309j -0.00162621+0.00794251j 0.000568645-0.00153459j 0.000458657+0.00198885j 0.00224764-0.00337917j 0.00078087+0.00229152j 0.000778803-0.00106764j 0.00135405+0.00258602j 0.000889763+0.00153479j -0.00244853-0.0052706j -0.000537082-0.000270024j -0.00247185-0.00262385j 0.00112397+0.000188668j -0.00218734+0.00314909j 0.00186822-0.000165426j -0.000690596-0.000528822j 0.00050242+0.000967515j 0.000184369-0.000438368j 0.00193501+0.00324599j 0.000104466+2.44763e-06j -0.00119131+0.000301239j -0.000878701+0.000275833j 5.96015e-05-0.0051872j -0.000633312+0.00111235j 0.000286353-0.00342053j 0.00319693-0.00902959j -0.000138479+0.00229959j 0.000644337-0.00655085j -0.000327705-0.00340047j 0.00129696-0.00153782j 0.00174917-0.000919135j 0.000205208+0.00448512j -0.000510485-0.00808657j -0.00225917-0.00162254j -9.80355e-05+0.00184355j 0.00395093+0.00310255j 0.00217675+0.000346764j 0.00175822-0.00313482j 0.00394778-0.00636753j -0.000663305-0.0047929j -0.000201137-0.00349831j 0.00566378+0.00109742j 0.000226416+0.00378284j -0.000316526+0.00739749j -0.00124021-0.00113787j -0.00180214+0.00629455j -0.000739888+0.0174127j 0.00338917-0.0102325j 0.000275614+0.00470916j -0.00190857+0.000230586j 0.00111951-0.0139016j 0.00428953+0.00562657j -0.000777799-0.00116761j 0.00508635-0.0133934j 0.0151174-0.0126887j 4.97506e-05+0.00059014j -0.0291875+0.0095243j -0.0228193-0.0196517j -0.0133809-0.000588705j 0.00109886+0.00671187j 
-0.0055389-0.00776198j 0.00571891-0.00462271j -0.00442148+0.00292793j -0.00444531-0.00566328j -0.0100317-0.000413471j -0.000635164-0.00306998j 0.0010749-0.00138143j 0.00129648+0.00275622j -0.00518773-0.0023898j 0.00295383+0.000846773j 0.000437728-0.000220734j 0.00241424+0.00117845j -0.0030681+0.00234787j -0.00236364-0.00119402j 0.00724692+0.00220337j -0.00225037-0.00180755j 0.00410535-0.00217768j -0.00292755-0.000192866j 0.00637841-0.0050685j 0.000146906-0.00806343j -0.00243756+0.000607855j -0.00150217+0.00697633j 0.00325451+0.000435436j 0.0107163+0.0117271j 4.68101e-06+0.0137762j 0.00828392-0.000697504j -0.00479588+0.000576263j -0.0035373+0.000944096j 0.00486014+0.000358291j 0.00180195-0.00643395j 0.00123079-0.0112037j 0.00160275+0.000667605j 0.00899141-0.00368363j -0.000375994-0.00180029j -0.00465314+0.00134829j -0.000602155-0.00698996j 0.00139123+0.00028098j 0.00365495+0.00391949j 0.00307551-0.00212239j -0.00221451+0.00454494j -0.00352244+0.00251255j 0.00284524+0.00150091j 0.00148402+0.000201485j 0.00226325-0.00524538j 0.00392586-0.00041509j 0.000717239+0.000574331j 0.00705268-0.00281338j -0.00179721+0.0019842j 0.00121991-0.000321546j -0.00119005+0.00423345j 0.00359291-0.000920917j 0.00270172-0.00356777j 0.000148473+0.00679766j -0.00222619+0.00299509j 0.00119226-0.00206781j 1.57137e-05+0.00192079j 0.00328285+0.00574998j -0.00177081+0.000550264j -0.00196446+0.00737054j -0.00489291-0.00119019j -0.00373305-0.00422502j 0.0036257-0.00200275j 0.0020277+0.0014194j 0.00349909+0.000801055j -0.000759697+0.000597083j 0.000304446+0.00351388j -0.00206696+0.00223595j 0.00209804-0.00221346j -0.00192503+0.00053881j -0.000886553-0.00327941j -0.00228988+0.00330234j 0.00345519-0.00245316j 0.000346616+0.0111784j 0.00165208-0.00474721j -0.000929308+4.92747e-05j 0.00494209-0.00198956j -0.00298741-0.000314674j 0.000329466+0.000801591j -0.00453771-0.00232917j -0.00245863+0.00434652j 0.00079499+0.00012044j 0.00742801-0.00571052j -0.0066397+0.0190251j -0.00018932+0.00545304j -0.00534564+0.0113837j 0.0022562-0.015254j -0.000382205+0.00397098j 0.00494563-0.00125386j 0.00260339-0.002311j -0.00672249-0.00228305j 0.0106429-0.00640391j 0.0135116+0.028925j -0.0320948+0.012761j 0.00648444+0.00920434j 0.0137156+0.0010855j 
0.00668769+0.00398862j -0.00299848+0.00462422j -0.00195458-0.00207406j -0.00833918-0.00980781j -0.00190572-0.00459333j 0.00154553-0.00111198j -0.00101109-0.00115763j 0.00647261+0.00755183j -0.00976592-0.00491789j -0.00708984+0.00505269j -0.00249314+0.00550186j -0.00275566+0.0088724j 0.00117229-0.00902717j -0.00203164-0.000932711j 0.00477007+0.00214272j -0.00862657+0.00261859j 0.00772597+0.00948094j 0.0116613-0.00159233j 0.00155262+0.00734673j -0.00300385-0.00594049j 0.00195384+0.00299827j 0.00337194-0.00227802j 0.00283587-0.00641543j 0.00840057-0.00885562j -0.00758196-0.00328944j -0.00365042+0.000459357j 0.000727104-0.000919042j 0.000958965+0.00466436j 0.000345811-0.0010077j 0.00313477-0.00581312j 0.000687345+0.00424018j -0.00149953-0.000736707j 0.00209303-0.00117258j 0.00291276-0.00126624j 0.00504208-0.000454467j 0.00346626+0.00577238j -0.00279454+0.00451475j 0.000206867-0.00783729j -0.00347091+0.0141709j 0.000356255-0.00299289j 0.00140176+0.0117802j 0.00116298+0.00146508j 0.00384545+4.8485e-05j -0.00403569-0.00224674j 0.00480333+0.00275692j -0.000779268+0.00589423j -0.00138427-0.00146527j 0.00158151+0.00243392j -0.00643991+0.00165964j 0.00255685-0.00348719j 0.00416671-6.90776e-05j -0.00171666+0.00646277j 0.00132303-0.00308447j 0.00353001-0.000759817j 0.000869794+0.00632274j -0.0038655+0.000944279j -0.00078084-0.00939336j 0.00464654-0.00807512j -0.00178648+0.00112645j 0.00554488-0.0031915j -0.00253064-0.000674995j -0.000971412+0.00282948j 0.00357235-0.00231332j -0.00516652+0.00105268j 0.00187277+0.00907542j 0.00117352-0.00608206j 0.00401073-0.00207605j 0.000435492-0.0024502j 0.0014996-0.000635648j 0.00252165-0.00343133j 0.00353266+0.000215548j -0.00174956-0.00188643j -0.00338747+0.0072294j -0.0028371-0.00124248j 0.00576498-0.00132341j -0.00213698+0.00291434j -0.00289927+0.00346088j 0.00593251+7.26866e-05j -0.00234414-0.00758699j -0.00417748+0.00673393j -0.00529448+0.00552469j 0.00441634+0.00487222j 0.000154223-0.00309321j 0.000369746-0.00394434j 0.00310839-0.00430915j -0.000213441+0.00802165j 0.00381248-0.0244042j 0.0184007-0.00350923j -0.00703405-0.000297749j -0.0197048-0.0073604j -0.00396068+0.0394167j -0.0164701-0.00739016j 0.0122168+0.00386973j 0.00898154-0.00197102j -0.0352794+0.00760655j 
0.000307345+0.003142j -0.00716515-0.00263433j 0.00276994-0.00207749j 0.00844979-0.000424394j 0.00126307-0.00310348j -0.0125624-0.00386327j 0.00508737+0.00258327j -0.00610043-0.000226851j -0.00581169-0.00932631j 0.00070722-0.00945112j -0.000414116+0.00185395j 0.00103367-0.00220862j 0.000373817-0.00486955j 0.00865693+0.00129184j -0.0104162-0.00189162j 0.0068686-0.00634936j 0.00195866-0.00232199j -0.000427345-0.000410956j 0.00585021-0.00505735j 0.00678445+0.00687288j -0.00975985-0.0040303j -0.000354994+0.00400831j -0.000367919-0.00292874j -0.000761759-0.00636528j -0.00448842+0.0154831j -0.00338748+0.00431591j 0.00216091-0.00427856j 0.00260299-0.000907148j -0.00275656+0.00163344j 0.00206116-0.00343369j 0.00317179-0.00716284j -0.000519474+0.00215723j 0.000437931+0.00296928j 0.00102842-0.00118325j -6.37561e-05+0.000757524j 0.00187871-7.38979e-06j 0.00192339-0.00290172j -0.000208913-0.00430926j 0.00125965-0.00109823j -0.0020971+0.00998961j 0.000954859-0.00214602j -0.00344756-0.00457538j -0.00262976-0.0116791j 0.00154038+0.00145528j 0.000738269+0.00238668j -0.000402498+0.00506712j 0.00470537-0.00404876j -0.000575183+0.00286855j -0.0014207+0.00487138j -0.00170352-0.00230872j -0.00224376-0.00370525j -0.00259801+0.00353659j -0.0031682+0.000859271j -0.00550882-0.00180561j -0.000768126+0.0070639j 0.00405766-0.00208582j -0.00204473+0.00927434j -0.00286449-0.00125339j 0.00300985+0.00670635j 0.000574228+0.00177425j -0.000221705+0.01808j -0.0006195-0.00889773j -0.00621884-0.00171845j 0.000995995-0.00388739j -0.00370512+0.00965684j -0.00759405+0.00412691j -0.00348461+0.000925045j -0.00366866+0.00749483j 0.00401464+0.00238865j 0.00013077+0.00361413j -0.00338228+0.00331263j -0.00677508-0.00617537j -0.00143675+0.00110054j -0.01151+0.000861771j -0.000166106-0.00403045j 0.00293127-0.00450611j 0.000899925+0.00326183j -0.00522468+0.00937359j -0.00189522-0.00235165j -0.00702585+0.0149669j 0.00739943-0.0247229j -0.0032185+0.00235253j -0.0025759+0.0132909j -0.00335602+0.00836759j 0.00382402+0.00190756j 0.00920899-0.00805015j 0.00785404-0.000214277j 0.00802979+0.00641359j 0.0354996+0.00939847j -0.00784768+0.0279767j 0.0137419+0.0127029j 0.00682399+0.0033955j 0.000250783+0.00319563j 0.026501-0.00588072j -0.00154067+0.000733381j 
-0.00546564-0.00130751j -0.0025668-0.0048427j 0.00164681+0.00735117j -0.000601217-0.00533741j -0.0111168+0.00168294j 0.00383074-0.00129764j -0.00282915-0.00447003j -0.0108107+0.00010493j -0.00539243+0.00132093j -0.00268898-0.000268029j 0.00184454-0.00409496j -0.00700298-0.00439726j -0.000107139+0.0113143j 0.000990014+0.00185452j -0.00119067-0.00335811j 0.00302314+0.00491488j -0.0056079-0.00493416j -0.00656285-0.0046621j 0.00684947-0.00123507j -0.00295066-0.0142788j 0.00819895+0.000635088j -0.00193039+0.00991783j 0.00107851-0.0069201j -0.00148768+0.00398361j 0.00382092-0.0113242j -0.000184513+0.00466743j 0.00446573-0.00201276j -0.00062066-0.000358365j 0.00491189-0.0165844j -0.00118405-0.00250729j -0.00397059-0.00232264j 0.000862451+0.00258777j 0.000513822+0.0100945j 0.00182619+0.00532164j -0.000218666-0.00152646j 0.0036014-0.0122502j -0.00263732+0.00484309j 0.00708962+0.000225883j 0.00288642+0.00608907j 0.00298096-0.00530487j 0.0018457+0.0032344j 0.0028327-0.00341243j 0.00241913+0.00123766j 0.00133482-0.00388705j 0.000716969-0.00209011j 0.00147009+0.00596653j -0.00123243+0.00281419j 4.8406e-05-0.0037859j 0.00124541+0.00632108j 0.00135058-0.00294394j 0.000238611+0.00379954j 0.0057084-0.01021j 0.00516136+0.0127496j -0.00318573+0.00506565j -0.002623+0.00298564j 0.00599361-0.00645525j 0.00334323-0.00301679j 0.00328702+4.7916e-05j 0.00220615-0.003527j -0.00157211-0.00267955j 0.00353694-0.0122448j 0.000899589+0.00553524j 0.00263782-0.00560557j 0.0017667+0.00371613j 0.00602985+0.00338274j 0.00901713+0.004092j -0.00406508+0.00857981j 0.00016374-0.00377928j -0.0080899-0.00153124j 0.00153873+0.00326208j 0.00787358-0.000223808j 0.000725638-0.00245544j 0.00542172+0.00135536j 0.00247295-0.00286436j 0.00197662-0.00174031j 0.00139336-0.00567144j 0.000406998-0.0108433j -0.00011895+0.0114691j -0.00840846+0.0121009j 0.00240964-0.00827821j -0.00615832+0.0176015j -0.00899398+0.00148489j 0.00608746+0.00323014j -0.000740635-0.00672254j -0.0141444+0.000917197j -0.00210844+0.00499001j 0.0220449-0.000791996j -0.00739396+0.00952749j -0.0126269-0.00954084j 0.00525078+0.0256256j 0.0113523+0.00949362j -0.00967695+0.00638587j 0.0079967-0.00139622j 0.0272262-0.00274311j 0.00115487-0.00477819j 
0.00166322-0.000295527j 0.00427909-0.00283637j -0.00756504-0.00814251j -0.00173885-0.00370121j 0.0130005-0.00187804j 0.00706787+0.00087351j -0.0015688+0.00498162j 0.00211426-0.00467214j 0.00903772-0.000198595j 0.00201243-0.000193617j 0.000473473+0.0035405j 0.0096527+0.00612794j 0.00490613-0.00481657j 0.00214453+0.00246917j -0.00564769-0.00137672j 0.00327573-0.00154414j -0.00153778+2.40214e-05j -0.00713125-0.00102108j -0.0147095-0.00599174j 0.0049603+0.00393013j 0.00534726+0.00105853j 0.00588204+0.00265629j -0.00358983+0.000831542j 0.00572262+0.00502364j 0.0108532+0.0024508j -3.21095e-06-0.00401249j -0.00537989+0.00536821j 0.00403085-0.00467234j 0.00678473+0.00306274j 0.00274109-0.00253307j 0.00354753-0.000905344j -0.00565019-0.000450377j 0.00620263-0.00257358j -0.000841209-0.0015515j -0.00314081-0.000954824j -0.000794574+0.00254056j 0.00284896+1.25142e-05j -0.0049288-0.00238505j 0.00148411-0.00318931j 0.00106383-0.00332531j -0.00412697+0.0084719j 0.00159612-0.0018261j 0.00603486-0.00587432j -0.00150498-0.00238291j 0.000772696+0.0177162j -0.00238743-0.00380979j 0.00232103-0.00293558j -0.000944228-0.00182193j 0.00039876+0.00546418j -0.00124622-0.00211012j 0.00305011+0.00267464j -0.00267558+0.00952614j -0.00275862-0.00672621j 0.00171912-0.0038085j 0.0013676+0.000937825j -0.00558467+0.00711026j 0.000498789+0.00326271j 0.000641861-0.00410211j -0.00277263+0.00765848j 0.00451999-0.00244383j 0.00230861-0.00704923j -0.00386353-0.000510739j -0.00220629-0.000555667j 0.00258371-0.0150905j -0.000860868+0.0013947j -0.00352061+0.00345936j 0.00193476-0.000940801j 0.000714318-0.00854293j 0.00415403+0.00404981j -0.00321367+0.00490108j -0.00396273+0.00277871j -0.00108963+0.00478556j 0.00017513-0.0132423j 0.00964815-0.00497608j -0.00292327+0.00657521j -0.00605066-0.0063731j 0.00946024-0.000416714j -0.00193851-0.00460455j 0.00710155+0.00915324j 0.00789117-0.0117168j 0.00584162-0.00733644j -0.00682869+0.0174247j -0.00116428-0.0161016j 0.00548893+0.00171587j 0.00970969-0.0082805j -0.012901-0.00556426j 0.00539994+0.00704161j -0.0187146-0.00854851j 0.00892409-0.00648548j 0.00166035+0.0107113j -0.005819-0.00015687j -0.0249616-0.00576736j 0.00077203+0.00297458j 0.00930769+0.00013113j 0.0102316+0.00629864j 
-0.000831581-0.00525339j 0.00563638+0.00148155j 0.00783767+0.000372824j -0.000625808+0.0075841j -0.0174567-0.00461154j 0.0171198+0.0032567j -0.00911763-0.0012657j -0.0101941-0.000686383j -0.0074315-0.00218644j -0.00369018-0.00167113j 0.00472187+0.0046959j -0.0116108+0.00660693j 0.00935819-0.0100013j 0.00142695+0.00152222j -0.00163869-0.00256353j -0.00184075+0.00645721j 0.00222667+0.00026395j -0.0054735-0.00241869j 0.00101696+0.000890438j 0.000692602-0.0254447j 0.00170053-0.0026274j -0.000953583+0.000290003j -0.00179128-0.0125419j 0.000196351+0.0110519j -0.00134576-0.0120452j 0.00636882-0.00472304j -0.000282186+0.0016959j 0.00275163-0.00228596j -0.00199283-0.00554942j 0.00255438-0.000913796j 0.00381204+0.00468924j 0.00150382-0.000849082j 0.00249343+0.0134014j 0.00244537+0.00200933j -0.00105448-0.00539858j 0.00241218-0.0048504j 0.0023141-0.00384035j 0.00475117-0.00289077j 0.00420679-0.00297016j -0.0015547-0.00650313j 0.00452028+0.0018396j -0.000520046+0.00182887j 0.00250622+0.0106123j 0.00635203-0.0130498j 0.0053282-0.030102j 0.000241881-0.00637505j 0.00108965-0.000970481j -0.000115804+0.00309319j -0.00168047+0.00176081j 0.00260684-0.00663616j -0.00161037+0.00462511j -0.000426659-0.00196567j 0.0021129+0.0114395j -0.00441341-0.00213781j 0.000381402+0.00250414j 0.00580455-0.00528439j -0.00293046-0.00808481j -0.000110409+0.000192249j 0.00217158+0.00882704j 0.00575894+0.0106494j -0.000774163+0.015254j -0.00144168-0.00205159j 0.000736232-0.000594206j 0.00325908+0.00437761j -7.18624e-06+0.00325089j -0.00750279-0.000491717j -0.000424923-0.00251565j 0.00480068-0.00367445j -0.000599181+0.000261813j 0.00386113+0.00232047j -0.00238292-0.00335332j -0.00987965+0.00105994j -0.00416174-0.000412522j -0.0090741+0.00373979j 0.00740078-0.00460468j -0.00367822+0.0114576j 0.00370946+0.00246166j 0.000150385-0.00679622j -0.00377306+0.00546452j -0.00374085-0.0163558j 0.00126559-0.0166136j 0.00530432-0.00678335j 0.00447047+0.00512972j -0.00536333+0.000164622j -0.0052492-0.0144745j -0.00204003+0.0051643j -0.0148776+0.00566227j -0.0175193-0.00132459j 0.0130458+0.00373213j 0.00454462-0.00555202j -0.00577056-0.00255073j 0.0101361+0.00334155j 0.0155717-0.000363296j -0.00402375+0.00465318j -0.0104728+0.0025879j 
-0.00152691-0.00706434j 0.00504611+0.001797j -0.0165581-0.004127j 0.000246011-0.00549485j 0.00586662-0.00310137j -0.00954949-0.00411203j 0.0098264+0.00278198j 0.0119369-0.00165766j 0.00997248+0.00127143j -0.0084361-0.00254097j 0.00511401-0.00635854j -0.00235391-0.0119486j -0.0109136+0.0105162j -0.00353023-0.00412137j -0.00308746+0.0034644j 0.0106125-0.00462755j -0.00174607-0.00542204j 0.00708675+0.00501584j 0.00754863-0.000162128j -0.00368054+0.0141711j -0.00746495-0.00396535j 0.00535415+0.0112323j 0.00291375+0.00208607j -0.000671969+0.00157781j 0.0030224+0.0127793j 0.00206563-0.00261508j 0.000284338+0.000425352j -0.00565214-0.004642j -0.00262144+0.00262819j -0.00299682-0.00182732j 0.000252185-0.00143125j -0.00269983+0.000333348j -0.00153379+0.00218431j 0.000585313-0.00274645j -0.00135743-0.00167539j -0.00384804+0.00468614j -0.00410153-0.00463137j -0.00238559-0.00101532j 0.00837925-0.00403969j 0.00690754+0.0136734j 0.00139824-0.00780313j 0.00088594-0.0127588j 0.00378945-0.0132924j 0.00476201+0.00660969j 0.00519005-0.0135422j -0.00474317-0.0152349j 0.0129205+0.00454369j -0.000967611+0.00543921j 0.00295444-0.00497464j 0.00190418+0.00199732j 0.00332077+0.000556013j -0.00455427+0.00150587j 0.0032817+0.000227595j -0.0051003+0.00342754j -0.00279439+0.000382887j 0.00720693-0.00213249j -0.00698312+0.0149656j -0.00653453-0.000804868j 0.00611883-0.000477107j -0.000565422-0.00129587j -0.00202594+0.000621339j 0.00227339+0.00339214j 0.00754684+0.00623581j 0.00293238+0.00530764j 0.00251972+9.73788e-05j -1.81068e-05+0.00253012j -0.00466315-0.00164321j 0.00235623-0.00684937j -0.00127608+0.0015342j 0.000346769-0.00364776j -0.00556048+0.0010865j -0.00127936+0.00351862j -0.00362494+0.0181379j 0.00324043+0.00266828j -0.00479981+0.00135382j 0.00912545+0.000312148j -0.00827319-0.000563385j -5.80359e-05+0.000200343j -0.0073078+0.00964103j 0.00151493+0.00309212j -0.00847408-0.0125683j 0.0163633-0.00156445j -0.00390267-0.00353844j 0.00194353-0.00210343j -0.0081004-0.0157751j -0.00485447+0.0180522j 0.000977875+0.00438181j -0.00485983+0.00701755j 0.00792311-0.00496725j 0.000545859-0.0102291j -0.00870463-0.000649717j -0.00455651-0.00978115j 0.0181574-0.00164007j -0.0184199+0.00259899j -0.00159433-0.00525327j 
0.00446615+0.000992582j -0.000609217+0.00887577j 0.00242026+0.00104904j 0.017106-0.010119j -0.00342117-0.0018698j -0.0234012-0.00219466j 0.0227777+0.00132139j -0.00838725+0.000245861j -0.00867486-0.00341278j 0.0183129+0.00350674j -0.00162182+0.00552632j -0.00338973-0.0025862j 0.00159938-0.00708921j 0.00014212-0.00125369j -0.00201019-0.00310189j 0.00303168+0.00438925j 0.00286061-0.00695245j 0.00243663-0.00171106j 0.0022999+0.00219265j -0.00425405+0.0211703j -0.00381875+0.000468846j 0.00193447+0.00466494j 0.00458746+0.00262645j 0.00147101-0.000628007j -0.00432095-0.0131982j 0.00129577-0.00242324j -0.00616053+0.00236321j 0.00320812-0.0164415j 0.0066582+0.00304044j 0.00686017+0.0104228j 0.00124872+0.0167429j -0.00093517+0.000182359j -0.00261772-0.00188879j -0.00160943+0.00653438j -0.00160268+0.0015739j 0.00330533+0.00924127j 0.000207895-0.0100492j 0.00607982-0.0122857j 0.00225618-0.00335357j -0.00466306-0.011461j 0.00244305+0.00913062j -0.00474374+0.0101078j -0.00231966+0.00162621j -0.00865569-0.00371776j -0.000664384+0.00782949j 0.00963142+0.0127334j -0.0108-0.00725275j 0.00453172-0.017007j -0.00108522+0.012266j -0.00250207-0.00950231j -0.00261784-0.00261559j 0.0133985-0.0114246j -0.00553656+0.00131123j 0.00237945+0.000911705j 0.00294242+0.002579j -0.00109951+0.0117942j 0.0171908-0.0218503j 0.00459355+0.0145729j -0.00815322-0.00480454j -0.00112808+0.00506226j 0.00149789+0.002213j 0.00296711-0.000220686j 0.00298881+0.0044761j 0.00406639+0.00256096j -0.00572081+0.0109159j 0.00147655-0.00138139j -0.000987777+0.0012708j 0.00569611+0.00100589j 0.00306607-0.00733724j 0.000844524-0.00440795j 0.00982388+0.00330166j -6.14755e-05-0.00514995j -0.00401712+0.00770566j -0.00982022+0.000626252j 0.00761456+0.0166558j 0.00159339+0.00927883j -0.0105089+0.00215863j -0.00179096-0.0116887j 0.000211316-0.00198868j 0.00636122-0.00631483j -0.00935439-2.39195e-06j 0.0050161-0.00843271j 0.00419491+0.000490159j -0.000505823-0.00119098j 0.000981492-0.00282546j -0.000572172-0.00364349j -0.0170224+0.00121579j -0.00258646-0.00313207j -0.00667398-0.00812589j 0.00186685-0.00162255j -0.00667191-0.00582264j 0.0124575+0.00287717j -0.0013534-0.00756052j 0.00554424+0.00385224j 0.00786305+0.00602838j 
