0.110931-0.0812931j 0.0303618-0.150782j 0.147165+0.0453298j -0.00581709-0.0578165j -0.0458748-0.12919j -0.0431795-0.0423464j 0.180614-0.0971191j 0.00453526-0.0283874j -0.0912833-0.116203j 0.00224657+0.0217j -0.024751-0.0304448j 0.0496745+0.0476613j 0.0189618-0.0350819j -0.0443615-0.038306j -0.207591-0.0449515j -0.0241986-0.00560187j 0.0155986-0.00206118j 0.0405241-0.277967j 0.034563-0.0509995j 0.00645936+0.141467j -0.00196164+0.00469867j 0.263016-0.00874276j 0.101402-0.0880426j -0.0752983-0.138653j 
-0.0422698+0.173336j 0.0436972+0.0134216j -0.0177931+0.0420306j -0.0860325-0.109776j 0.0863992-0.0913698j -0.0751541+0.136948j 0.0950186+0.0297491j 0.148341+0.0260948j -0.0248726-0.109016j 0.112629+0.00965305j -0.127033-0.0383872j 0.154441-0.0688956j -0.0712817-0.204693j -0.0956317-0.117964j -0.0737473+0.114016j 0.0445041+0.0633421j -0.0453757-0.00915147j -0.0912501-0.180012j -0.0980191+0.0447694j 0.100558+0.0268968j -0.109213+0.162777j 0.122766-0.167771j 0.170906-0.0912569j -0.1886-0.124713j 
-0.0147948-5.91921e-05j 0.105581+0.0956023j -0.105871+0.0954454j 0.109067-0.00670663j -0.18073-0.0124791j -0.0766376-0.220435j 0.0817272-0.218812j -0.180978+0.00815215j -0.108394-0.00842779j 0.0539733-0.0565517j -0.1513+0.0165655j 0.0783903+0.0201159j -0.0937992-0.185129j 0.00897525-0.116502j 0.111668+0.0405759j -0.0452142+0.0623323j -0.0644135-0.000862816j 0.0422983+0.0605249j -0.113797+0.0332973j -0.0042628-0.116052j -0.096757+0.183601j -0.0767467+0.016802j 0.150564+0.0168434j -0.0539821-0.0582903j 
0.0448249+0.172367j -0.0204495-0.042529j 0.0443019-0.0160744j -0.0241369+0.108931j -0.149404+0.0258911j 0.0945483-0.0311937j -0.0738456-0.13917j -0.0881578-0.0912824j -0.0875889+0.109185j -0.191302+0.117676j 0.166738+0.0900617j 0.112523+0.171385j 0.108281+0.167351j 0.099747-0.0212911j -0.102444-0.0496096j -0.0939387+0.170565j 0.0468876-0.00682535j 0.0483698-0.0628225j -0.0679332-0.111748j -0.0966793+0.119409j 0.0760819-0.207451j 0.152932+0.0755668j -0.129344+0.0384196j 0.115116-0.00545411j 
0.110605+0.0776387j -0.147081+0.0459215j -0.0306649-0.151185j 0.0935397-0.117496j 0.00538794+0.0272443j -0.182187-0.100707j 0.0460977-0.0411343j -0.0472799+0.130545j 0.00754717-0.0600175j 0.0814113-0.138498j -0.0998142-0.0907814j -0.26526-0.0181724j -0.00539346-0.00851005j -0.012012+0.140359j -0.02909-0.0574737j -0.0333027-0.280816j 0.0140399+0.00105254j 0.0262386-0.00137447j 0.210492-0.039368j 0.0408215-0.0402649j 0.0183652+0.0400819j -0.055494+0.046844j 0.0272141-0.0299412j -0.00416354+0.0219225j 
0.00708563+0.0194319j -0.0258833+0.105725j 0.0899051+0.0600799j 0.0194176+0.0577202j 0.0675259+0.106425j 0.0109617+0.0256195j -0.0174241-0.0356121j -0.0201241-0.0270004j -0.0285777-0.144372j 0.00588313-0.0171713j 0.0285506+0.0236504j -0.0310281-0.0369763j 0.00502989+0.0106816j 0.0527531+0.0157775j 0.121119+0.0463837j 0.00222812-0.000395262j -0.0074271-0.029498j -0.0241043+0.0352638j -0.00452938+0.0110536j 0.0772447-0.0499277j 0.0655179-0.0716658j 0.0859294+0.0497967j 0.0568817-0.0691254j 0.0398724-0.12806j 
0.0265159+0.0130601j 0.0379408+0.0368333j 0.0473203-0.0226408j -0.061333-0.0859798j 0.0595191-0.015373j -0.00701132-0.0314438j -0.00266716+0.0280266j -0.0597778-0.0743875j -0.0367867+0.0564422j 0.0872711+0.0434246j -0.0716519-0.0461876j 0.0966384+0.0264897j 0.0230763-0.0765238j 0.0287819-0.0498006j -0.0203878-0.0489255j -0.0039211-0.00603256j 0.0862653-0.0709805j 0.0297676-0.00291641j 0.0612387+0.0120564j -0.0838592+0.0135458j -0.00976171-0.0192058j -0.0331859+0.0230679j -0.0788552-0.0813197j -0.080071+0.138861j 
0.0115383-0.000978023j -0.0569784-0.0725905j -0.0875279+0.0286208j -0.159592-0.0301121j 0.0576766+0.0312761j -0.0371663-0.0175074j 0.0227109+0.010673j -0.131965-0.0839241j 0.0432644+0.00580878j -0.0395309-0.0192963j 0.0367685+0.0753168j -0.0288678-0.039611j -0.0228299-0.0292926j 0.0358581+0.00359052j 0.126255-0.0536859j 0.00306835-0.0163421j -0.0734583-0.0455884j 0.00326611+0.0385761j 0.0469632+0.0071342j 0.0652622-0.0642124j -0.0202384-0.107911j 0.113895-0.0246763j -0.0157308-0.051258j -0.00211027-0.13203j 
0.0266858-0.000256521j -0.0153561+0.0226717j 0.0163873+0.0226596j 0.0212239+0.0498397j -0.00910222-0.0920783j -0.000445636+0.00780449j 0.00114152+0.00591464j -0.00585739+0.0929682j -0.0200745+0.0483443j -0.161755-0.0149947j -0.0592156+0.152636j 0.033135+0.00685359j 0.00617793-0.0428765j -0.101811+0.127624j -0.0298229+0.0799374j 0.0334308-0.023117j -0.0531227+0.00204048j -0.0334501-0.0239485j 0.0289802+0.0825058j 0.100261+0.126206j 0.00655697+0.0461915j -0.0353975+0.00395534j 0.058768+0.15566j 0.162164-0.0129383j 
0.0114886+0.000716543j 0.0878572+0.0279755j 0.0561872-0.0728716j -0.0428669+0.00512221j -0.132539+0.0847965j -0.0227378+0.0101757j 0.0372596-0.0189129j 0.0581058-0.0324807j 0.160674-0.0311941j 0.00559132-0.130581j 0.0184032-0.052575j -0.113799-0.0270267j -0.0216125+0.107536j -0.0640024-0.0659808j -0.0444159+0.00728587j -0.00328597+0.0379117j -0.0737702+0.0457702j -0.0034952-0.0172982j -0.126744-0.0563264j -0.0328936+0.00234199j -0.0235012+0.0284712j 0.030656-0.0404055j -0.03595+0.0727401j 0.0381202-0.0195473j 
-0.025875+0.0133985j 0.0492987+0.0228286j 0.0378358-0.0383935j -0.0381161-0.0546253j 0.0599886-0.0754591j -0.0041755-0.0263148j -0.00554839+0.0318202j -0.0607872-0.0130078j -0.0603243+0.0854939j -0.078899-0.13786j -0.0790078+0.0827236j -0.033003-0.0237192j 0.00823192-0.0210593j -0.0820369-0.0115935j 0.0640652-0.0107335j 0.0295192+0.00254432j -0.0879729-0.0714959j -0.00416219+0.00699865j -0.0174707+0.0506197j 0.0319101+0.0492439j -0.023177-0.0751379j 0.096938-0.0259425j -0.0705351+0.0471344j 0.088971-0.0424582j 
