0.132567+0.0960084j -0.0955846+0.196543j 0.157123+0.044552j -0.222499+0.00232885j 0.084131+0.295798j 0.0662584+0.0184168j 0.226286-0.207377j -0.187549-0.117806j -0.0896208-0.0678037j -0.0359298-0.170325j -0.198612-0.218553j -0.247355+0.340408j 0.136122-0.165394j 0.0987808+0.0960359j 0.130924+0.0146068j -0.358864-0.00821935j 0.0939408+0.0493724j 0.276269+0.0708415j 0.0434066+0.187256j 0.0650404-0.305614j -0.234832-0.228301j 0.15178-0.190712j 
0.157656-0.0421085j 0.0915081+0.197865j 0.133685-0.0929492j 0.193042-0.113276j -0.22159-0.215881j -0.0670339+0.0171992j -0.0929491+0.294437j 0.22262+0.0081299j 0.146817+0.196535j -0.241621+0.22069j -0.051873-0.308522j -0.0547503+0.182861j 0.276144-0.0559115j -0.0993524+0.0466732j 0.356748+0.00209049j -0.126144+0.00857594j -0.105334+0.0920293j 0.132418+0.177068j 0.23461+0.34149j 0.204736-0.209362j -0.0360755+0.171126j -0.093392+0.0670842j 
-0.117362-0.0715716j 0.0335634+0.0277948j 0.0897689+0.104403j 0.171844+0.0236913j 0.0337611-0.084662j 0.101371-0.100937j 0.0842199-0.0321201j -0.0216867-0.172134j -0.113983+0.0558714j -0.0779829-0.0147122j -0.132832+0.152369j 0.0976923+0.0826022j -0.0291991-0.0889933j 0.0831372+0.164928j 0.0207725+0.0950425j 0.0884612+0.0336494j -0.0659812+0.0393787j 0.122738-0.0376117j -0.119013+0.078735j 0.127337+0.0974077j 0.134977-0.0599988j 0.0223886+0.20091j 
0.160468-0.0258062j -0.051399+0.000690383j -0.160872-0.0253032j 0.0479423+0.0625967j 0.0379465-0.0164335j 0.0648942-0.000361422j 0.0374065+0.0166291j 0.0478049-0.0620477j -0.159629+0.248011j -0.174263-0.0816487j 0.057429+0.117225j 0.0254834-0.0492034j -0.149512-0.139106j 0.0683204+0.0742663j 0.129802+0.072435j 0.129602-0.0699728j 0.0661804-0.0717187j 0.152087-0.136175j 0.0208127+0.0546396j 0.0602093-0.114708j 0.177707-0.0802459j 0.155277+0.251802j 
-0.0886297+0.104548j 0.0324648-0.0285494j 0.117054-0.0717223j -0.0229762+0.172743j 0.0855008+0.0337812j 0.102015+0.1018j 0.0326802+0.0848477j 0.172889-0.0220567j -0.0265871+0.200699j -0.132906-0.0629169j 0.130173-0.093587j -0.115047-0.079982j -0.127304-0.0412339j -0.0639252-0.0407216j 0.0902234-0.0328554j 0.0227887-0.0950629j 0.0848744-0.16391j 0.0340571-0.0919597j 0.0993141-0.0789508j -0.130912-0.155761j 0.0791129-0.0148678j 0.113759+0.0589852j 
0.0550604+0.00448423j 0.0217781-0.0446535j 0.00562894+0.0443977j -0.0872568+0.0262989j -0.0386387-0.0871612j -0.0295231+0.0710828j -0.0436859-0.0705569j 0.0463621-0.103707j 0.0537177-0.033177j -0.0107332-0.0341015j 0.058061-0.051835j 0.0395913+0.0362914j -0.0457004+0.0359252j 0.0124315-0.146604j -0.0105686-0.0846145j -0.0998025+0.0347781j 0.0287871+0.00486967j 0.0691872-0.00359928j -0.0553028+0.0308468j -0.000227983+0.0356445j 0.0657717-0.0556737j -0.0925289+0.0896064j 
-0.0323803+0.00191615j -0.0304655+4.46872e-05j -0.000263621-0.0468834j 0.0554308+0.0210247j 0.0341666+0.0039495j -0.13804+0.0384314j 0.0463278+0.0245404j -0.0169482-0.00616455j -0.0206011-0.0406712j -0.045654-0.0201729j -0.0410183+0.0310705j -0.0148966+0.129684j -0.0046665+0.0842204j 0.052331-0.0841611j -0.0187943-0.0423592j -0.0508702-0.116175j 0.0697814+0.0275447j -0.104227-0.0527658j 0.0373681-0.0075102j 0.0362571-0.0119585j 0.052743+0.0510068j -0.0522037+0.0787898j 
0.0440855-0.0599838j -0.0684638-0.0820382j 0.0566312-0.00122483j 0.0498817+0.0516981j -0.0175667+0.00530916j -0.0726851+0.0768978j 0.00279334+0.0239656j -0.0581363-0.0363763j -0.0688524+0.0379565j 0.018977-0.00169336j -0.0915797-0.0037909j 0.013154-0.0418919j -0.0118491-0.119562j -0.10719-0.0100453j 0.0477208-0.00938027j 0.00767963-0.0246695j 0.00983941+0.0092796j -0.124573-0.0188632j 0.0239404+0.0353449j 0.00380754+0.0825568j -0.0280558-0.00866252j 0.0897365-0.0291379j 
-0.0379294-0.013725j -0.0779899+0.0221791j -0.0125127-0.0625619j 0.00458071+0.000999414j -0.0244737-0.011565j 0.0358377+0.0631992j -0.0134754-0.0143519j -0.0228612-0.013335j 0.109588-0.028462j -0.0153601+0.108393j 0.0318087+0.0555047j 0.00613275+0.0193107j 0.0174899-0.00449444j 0.0313013+0.0217292j 0.0224353+0.150164j 0.055169+0.0217105j 0.131126-0.0520743j 0.068454+0.0843928j -0.0868876-0.103245j 0.00363962-0.0839735j -0.0116578-0.00872763j -0.0236641-0.042315j 
-0.0154274-0.0194267j -0.0469025+0.00749138j 0.00310178-0.0285847j -0.014044-0.0630604j 0.067764+0.0107339j -0.0153051-0.10387j 0.0465892-0.000631964j 0.0706717+0.067513j 0.0574888+0.00123545j 0.00835863-0.0114902j -0.0607307-0.0287379j 0.0350373-0.0598089j -0.173811-0.0955599j -0.200891-0.100782j 0.0357849-0.0906539j -0.0578251+0.0808417j 0.106207-0.0375464j -0.0151431+0.0444329j -0.0574917+0.079301j 0.0872272+0.129729j -0.0188877-0.104936j -0.00443895+0.0222491j 
0.00326703+0.0308738j 0.0497866+0.0075939j -0.0159523+0.0197047j -0.0687943+0.0668234j -0.0464072-0.000695734j 0.0140396-0.0999497j -0.067834+0.0105492j 0.0126126-0.0634898j -0.00485244-0.0204828j -0.0210958+0.105996j -0.0885101+0.124738j 0.0599559+0.0778243j -0.0105885-0.0466984j -0.109497-0.0400946j 0.0572825+0.0820434j -0.034563-0.085007j 0.201683-0.100262j -0.174767+0.0928484j -0.0313198-0.0623573j 0.0587245-0.026282j 0.00799809+0.00799518j 0.0613221+0.000144083j 
