0.00488412+0.0491512j 0.050605+0.0334717j 0.0284758-0.0425172j -0.0826555+0.0823401j 0.011125+0.0356359j 0.0138444+0.0442492j -0.00616958+0.13197j -0.0296951+0.0812093j 0.0113918-0.0225437j 0.0260534-0.00526838j -0.049511-0.0359992j -0.0237497+0.0130784j -0.027125-0.0108415j 0.0427373+0.0114636j 0.00789583+0.0616423j -0.01079+0.0443474j -0.0145705+0.0244657j -0.0112353-0.00924768j 0.0469512-0.00633125j -0.00920632-0.0971262j -0.0113869+0.0156622j 0.0121764+0.0361706j -0.0337292+0.0731456j -0.0341769+0.045707j 0.0343667-0.0398737j -0.149443-0.0824941j -0.0394177-0.0217278j 0.0532588-0.0449016j 0.0440054-0.0162213j -0.00323705+0.0670444j 0.00715076+0.133078j 0.0122779+0.028332j 0.0607431+0.00755061j -0.0811835+0.0977297j 0.0350853+0.0463551j 0.0565793+0.0519532j -0.0920501-0.0585808j -0.0141189-0.0259318j 0.00310916-0.0603631j -0.00547378+0.092283j 0.0873664-0.0501492j 0.0784751+0.0445527j -0.113052-0.0769947j -0.00683263-0.0327717j -0.0114052+0.0264993j -0.096167-0.123376j -0.0583481-0.134362j -0.0228747+0.0450573j -0.0897442-0.0547467j -0.0542686-0.108089j 0.0265321-0.0231233j 0.0267097+0.0164291j 0.0309201+0.0254177j -0.0595096+0.00903588j 0.0039057+0.0354301j -0.00860491+0.0162046j -0.00859521-0.0255713j -0.00302897-0.041606j 0.0102024-0.014246j 0.00112541+0.0312507j -0.00473235-0.0146237j 0.0101392-0.0323618j -0.0599657+0.0105303j -0.0102714+0.0254369j -0.0231111-0.0181389j 0.0190396-0.00456855j -0.0111653-0.00470909j -0.00106169-0.00105209j 0.00125349-0.0660696j 0.0117071-0.00257729j -0.00797086+0.0494538j 0.0130265+0.00924444j -0.0201994+0.00563842j -0.0560898+0.0205649j -0.0301369-0.0312856j 0.0281426-0.0572079j 0.0706657+0.0651896j -0.0257087+0.0140956j -0.0133945+0.00996082j 0.174696+0.00145951j 0.0879626-0.0677343j 0.0102805+0.0887389j -0.0873044+0.0525815j 0.0925669+0.0239447j 0.0462589+0.142866j 0.00938253-0.0766294j -0.0410356-0.0240724j -0.0265486-0.0113024j 0.0540754-0.020956j -0.0944557-0.0288786j -0.0054281+0.117339j 0.0322574+0.0680868j -0.00342959+0.0256491j -0.150146+0.00275918j -0.0922329-0.170864j 0.166527+0.0134533j -0.153049-0.256598j -0.17054-0.0924582j 
-0.0522698-0.0355754j 0.00743592+0.0499682j -0.0784258+0.0758952j -0.0368335+0.0448617j 0.0125715-0.0741235j 0.0413107-0.0548194j 0.0369651-0.0166599j -0.000987166+0.0820053j -0.0247816-0.0655007j -0.0247648+0.0336237j -0.0439255+0.00492291j 0.0331367+0.0741732j 0.0439678+0.0759341j 0.0334909-0.0316347j -0.0232333+0.0458448j 0.00213434+0.0529825j -0.0122569+0.0165996j -0.0449978+0.0304391j 0.0269951+0.0702572j 0.0419087+0.0394175j -0.0134363+0.00385787j 0.00316413-0.00106377j -0.0400104-0.0491322j 0.0172457-0.0526572j 0.0041638+0.0413302j 0.0586699-0.118777j 0.0129095-0.0359964j 0.0493394+0.0170249j -0.0275655+0.00743443j -0.0938754-0.0597487j -0.126158-0.0156491j 0.00310086+0.0776184j 0.0272955+0.114298j -0.0360937-0.106454j -0.104028+0.0465759j -0.00845021+0.0243742j -0.0244932-0.0281012j 0.0675558+0.0192633j 0.115055-0.0334422j 0.0502994+0.0746884j 0.0270254-6.09419e-05j -0.02135+0.0415786j 0.0142417+0.109904j -0.101628-0.0563877j 0.117877+0.173659j -0.00485935+0.0482826j -0.0397891+0.0406515j 0.0197787+0.0868136j 0.0233243+0.0474913j -0.0727242-0.0416239j -0.0658745-0.0827602j 0.0304619-0.00153445j 0.00729625-0.049278j 0.0187307+0.0489859j 0.0343599+0.0121005j -0.00488138-0.00512833j -0.0364311+0.0117831j -0.00561953-0.00215411j -0.00461874+0.00442926j 0.0655301-0.0152496j -0.0124171-0.00474711j -0.0027606+0.00727927j 0.00259709+0.00358846j 0.0407746+0.0164527j -0.0146852+0.00382182j -0.0142351-0.0362698j -0.0387997+0.0161016j 0.0173382-0.00176959j -0.0042017-0.0523792j 0.0390358-0.0132545j -0.0433345+0.00612981j 0.0510248+0.027611j -0.0367499-0.0207658j 0.00308732-0.0670048j -0.00459047+0.0335968j 0.0663723-0.0249343j -0.0656607-0.0246018j -0.0449052+0.0240316j -0.0412853+0.024206j 0.0204086+0.125696j 0.0610313+0.0856873j -0.121572+0.0405693j -0.052126-0.104379j -0.086467+0.0597333j -0.129582+0.0466531j 0.0392284+0.0121154j -0.0255446-0.0638881j 0.069396+0.030943j -0.0470805+0.0182441j -0.00619751+0.0598723j 0.0847012-0.0425413j 0.035619+0.055431j 0.132943+0.057232j 0.0110111+0.116893j -0.180966-0.00805292j -0.0906997-0.148556j -0.168558-0.0929922j 0.155313+0.255391j 
-0.00847034+0.0461923j 0.0305226+0.0287263j 0.00645308+0.00883631j -0.0571758-0.0245866j 0.107995-0.0228878j -0.0259887+0.0443292j -0.0297715+0.0242378j -0.0615589-0.0571662j -0.016386-0.00326795j 0.0779971-0.0925097j -0.123756+0.02085j 0.0451997-0.0529848j -0.0382886+0.0681857j -0.0903843-0.135847j -0.127898+0.152918j 0.12549+0.151554j -0.108853+0.229611j 0.0736814+0.0183727j 0.153521+0.0904076j 0.11913+0.113798j 0.142077+0.0952744j -0.00849033+0.123696j -0.0476458+0.0574416j 0.122777-0.0168235j 0.0668482+0.00414675j 0.197897-0.0113777j -0.0418275+0.0980592j 0.0724869-0.162834j -0.13689+0.0213419j -0.132432-0.172494j 0.175249-0.0516479j -0.133998-0.0812414j 0.0604391+0.0669263j 0.0492057-0.116052j -0.0725363+0.0369687j -0.0804551+0.116028j -0.0691731-0.0476099j -0.128466-0.163124j -0.0898326+0.00867728j 0.0634749-0.0601004j 0.090054-0.269913j -0.181609+0.0296571j -0.0621421+0.0479059j 0.0125987+0.0731926j 0.0863062+0.0148695j 0.0452036+0.0185568j 0.0084867+0.0260458j -0.0296523+0.0310226j 0.0508205-0.0228444j -0.0340926-0.0316511j -0.00432352-0.025018j 0.0257217+0.0387039j -0.0077444-0.00012921j -0.0243449-0.000941281j -0.0144002-0.00228288j -0.00841286-0.00682824j 0.00367107-0.0154381j 0.006557-0.0137785j 0.000724934-0.0309391j 0.0234015-0.00325176j -0.0260398-0.00353241j -0.0252046-0.0392928j -0.00531934+0.0193103j 0.00413512+0.0457121j -0.0080497-0.0245023j -0.0156946-0.00471381j 0.0149827-0.00875015j 0.0262622-0.0329914j -0.0539963+0.0211692j 0.000921083-0.0388558j -0.0116947+0.000699414j -0.0753063+0.0223748j 0.028488+0.0495054j 0.00523728+0.0417284j -0.0201997+0.0169489j -0.00319242-0.0577433j -0.0225111+0.00230428j 0.00420619-0.0262143j 0.00613346-0.0189525j -0.006151+0.00353826j 0.0458892+0.0226841j 0.00774166-0.0107803j 0.0434844-0.00757581j -0.0129877-0.0108974j 0.0288343-0.0174175j 0.013462-0.0436085j 0.01448+0.0225094j 0.0110417+0.0135808j 0.0089728+0.0473436j -0.00679832+0.0284651j 0.0831602+0.0315016j -0.052254+0.0494316j -0.0413744-0.0714709j 0.0193225-0.00277055j 0.0138129+0.0364083j 0.0528573+0.0127143j 0.0155218-0.0104358j 0.00323643-0.0317254j 
0.0254278+0.0513827j 0.0187729-0.0287311j 0.0488387+0.00669959j 0.0103665-0.0317917j 0.0279514+0.0462296j -0.0808534+0.0599177j -0.0238052+0.0166687j 0.0154542-0.069989j -0.00887399-0.1178j 0.100974+0.00992423j -0.033789-0.0255202j 0.106149-0.0882167j -0.04541+0.118966j -0.0855573+0.0256609j -0.132352-0.00107504j 0.0979657-0.00522426j -0.0155011+0.105457j -0.0597039-0.0800174j 0.093298+0.0607201j 0.0974659-0.00943748j 0.0317749-0.07907j 0.175753+0.108443j 0.0675352+0.0130118j 0.0567862+0.035022j -0.0419986-0.127215j -0.071133+0.0831635j 0.0298657+0.00894489j -0.00415399-0.152182j -0.0327579+0.0302207j -0.0672687+0.0780782j -0.103055-0.052379j -0.0430149+0.0751263j -0.00413655+0.0375227j 0.0574067+0.0406944j 0.123245+0.190972j 0.110893-0.0693808j 0.0509961-0.100858j 0.080602+0.0630052j 0.0225039-0.0945771j -0.118666+0.0929917j 0.259019+0.00411546j 0.11297-0.251018j -0.00756401-0.00957523j 0.0197874-0.0182749j 0.0444362+0.0279835j -0.0764327-0.0225022j -0.0251991-0.0361598j -0.00675294+0.00546254j -0.0532618-0.0217674j -0.0378866-0.0160768j 0.0134066+0.0475145j -0.0463548+0.0199549j -0.0194539+0.0413775j -0.054956-0.034568j 0.0181457-0.0367693j -0.00136064+0.0293122j 0.0137178-0.0479024j -0.0319636-0.0185224j 0.0333349-0.0319401j -0.00119611-0.00582011j -0.0015854-0.0402467j 0.0149268-0.0447048j -0.0517044+0.0112782j 0.00434673+0.00327819j 0.037213+0.010314j 0.0104475-0.00717816j 0.0397364+0.00192417j 0.0388977-0.0338346j -0.04238-0.0158457j -0.0241716-0.0308356j -0.00508059+0.0202439j -0.00791964+0.0291071j 0.0386164-0.00777782j 0.062381-0.00929021j 0.0185979+0.0374611j -0.0394728+0.0221763j -0.011903+0.0197226j -0.0395148-0.0846979j -0.0418305+0.00169242j 0.0176186-0.0460735j -0.0186643-0.0252126j 0.0356993-0.0402216j -0.05802-0.0638643j -0.101394+0.0169857j -0.0349251+0.0597562j 0.0254931+0.0620479j 0.0163931+0.0527627j 0.0289216+0.023777j -0.0730162+0.0358389j -0.0647099+0.0148045j 2.41036e-06+0.0808282j -0.0735977-0.0765527j 0.0623082-0.013881j -0.0154899+0.0123816j 0.0550833+0.0161403j -0.00257939-0.0615115j -0.0216025+0.018075j 0.0175585-0.0116349j 
-0.0101837+0.00612952j -0.0161776+0.0410471j -0.018436-0.0431716j -0.0429383+0.0231236j 0.0180741-0.0302609j -0.000335269+0.0192168j 0.0822885-0.0425562j 0.0491505+0.0440093j 0.041619-0.00454737j -0.0413755+0.00258384j -0.0282923-0.0427848j 0.0300626-0.00962791j 0.100226-0.118358j 0.0944334-0.0480685j 0.00678272+0.133604j -0.101066-0.0683563j -0.00938825+0.0353983j 0.07664+0.0258475j -0.0409917+0.0715706j 0.0450694+0.134864j 0.106016+0.117745j -0.0887027-0.00844817j 0.194738-0.197325j -0.0526475-0.202264j -0.178243-0.114323j 0.240576-0.0294376j 0.0689985-0.197503j 0.0867942+0.103819j -0.0983291+0.0796388j -0.00496884+0.170191j 0.0370727-0.0548589j 0.0472089+0.0174689j 0.00531171-0.00673088j 0.0317179-0.0787469j 0.123759-0.0731694j 0.0992418-0.011972j -0.0127332-0.160711j 0.0412517+0.0902739j 0.0527185-0.110872j -0.0302983-0.0284417j -0.0516287-0.0709758j -0.140233+0.0107498j 0.080999+0.0223002j -0.0583574+0.0430795j 0.0363699+0.0269254j 0.041185-0.00766742j 0.0316861+0.0157907j -0.00767758+0.0214096j 0.0493886-0.00228697j -0.0096868+0.0116684j -0.0316541-0.0257668j 0.0161935-0.0133384j 0.00725838-0.0267615j -0.0145745-0.0098155j 0.00467052+0.0100865j -0.013193+0.0113196j 0.00632288-0.0159008j 0.00971648+0.0146998j -0.0313528-0.0189165j 0.0215618+0.0111561j 0.0256695-0.00638721j -0.056029-0.00245255j -0.0384568-0.0102311j -0.0327435+0.0373498j 0.0339646+0.0119608j -0.0595783-0.0440998j -0.00822276+0.0306856j 0.0297651-0.040735j -0.0136618-0.0382113j 0.0227123-0.0320369j 0.00284629+0.032523j -0.00556904+0.000421749j 0.0132907+0.0395042j 0.000350491+0.0681823j 0.0240586+0.0102441j 0.0224536+0.0241209j 0.00244684+0.014211j 0.00639563+0.0159938j 0.0419707-0.0360339j 0.0162858-0.0266346j -0.00657447+0.0140101j 0.0246528-0.00447743j -0.0251702-0.0187417j -0.0261385-0.00103209j 0.0278667+0.0659036j -0.0255006-0.0110067j 0.0180057+0.0178599j 0.00868815-0.0247322j -0.0150189+0.0334701j -0.00435665+0.0258033j 0.0385284+0.032852j 0.00108865+0.0242615j -0.000279369-0.0341791j -0.00767438-0.00724737j 0.00431335-0.00735889j 0.0363747-0.00996575j -0.00984419-0.039209j -0.0165184-0.0208076j 
-0.0074818+0.00413321j -0.00801951+0.0407607j -0.0143712-0.053659j 0.0166373+0.0262154j 0.0855241+0.00610842j -0.0888196-0.0539967j -0.0243539-0.112467j 0.0837455+0.0744683j -0.0508314+0.0582447j -0.0959444-0.0172705j 0.117408-0.053645j -0.110153+0.00164376j -0.0115221+0.0161933j 0.0570052+0.119712j 0.039909-0.0903468j -0.122145-0.0277471j 0.0179834-0.0520527j -0.0392074+0.109647j 0.0998806-0.168004j -0.0239198+0.0983302j 0.0879325+0.00461166j -0.16473+0.0773586j 0.00263515+0.202018j 0.00708605+0.161754j -0.175558+0.160546j -0.135781+0.167763j 0.0156852-0.0496301j -0.0406835+0.0252499j 0.0984148+0.148068j -0.117432+0.0682478j -0.107028+0.0954227j -0.153372-0.0166537j 0.01186+0.138087j 0.0662611+0.0509677j -0.199103+0.160157j -0.0828264+0.152614j -0.0911184+0.0611964j -0.076059-0.229385j -0.00506709+0.180037j 0.0766214-0.0417222j 0.0121435-0.124597j -0.0819148+0.0968534j -0.0563989-0.0395725j 0.0672605+0.0496829j 0.0073505+0.0317188j -0.00308133+0.0113236j -0.0364445+0.0124052j 0.00304547-0.00356056j 0.0755313+0.0273742j 0.012055-0.01052j -0.0103697+0.0100861j 0.00895105+0.0229923j 0.0240689-0.0298957j 0.00301999-0.00190543j -0.0299109+0.0173483j -0.0134698-0.0330067j 0.0121361+0.0254646j -0.000946631+0.0499423j -0.0820375-0.0510753j -0.0114011-0.011762j 0.0339166-0.0162839j -0.0305311+0.0207712j 0.0130468+0.0388987j -0.0430609-0.00208973j 0.00885321+0.00263109j 0.0121531-0.00583285j 0.00441739-0.0205989j 0.0342426-0.0497152j -0.0165396-0.0448014j 0.0168603-0.0189163j 0.0290795-0.0657155j -0.0199255-0.010117j 0.0193761-0.0411859j -0.0287968+0.00458036j -0.0228924+0.00360482j 0.0131444-0.0290336j -0.0186999+0.0160834j 0.00969405-0.0148166j -0.0202255-0.0342681j -0.0112364-0.0100487j 0.00295683-0.0141784j 0.00854258-0.0064177j 0.00111072-0.036305j -0.0523834+0.0195986j 0.0103039+0.00121402j 0.00335813-0.0555901j -0.0125844+0.0131421j 0.034228+0.0260283j 0.0427237+0.029805j -0.00899558+0.00992041j 0.0728883+0.00450951j -0.0221652+0.0533803j -0.0149676-0.0307234j 0.0274371-0.0262521j -0.0215514+0.0235948j 0.0375585-0.00110424j -0.00448752-0.0115166j 0.00618626+0.0117697j 
-0.0181687+0.0255171j -0.00547085+0.0337679j 0.0401643-0.041341j -0.0397428+0.00479127j 0.0313076+0.00174092j -0.00569583+0.0696721j -0.0080318-0.0173712j 0.000421921+0.000821906j -0.0552074+0.0249065j -0.0184942+0.022468j 0.0701151-0.0184465j -0.093669+0.0728233j 0.0531275+0.0205704j 0.0335666-0.137885j 0.131743+0.0760506j -0.330964-0.242008j -0.0792865-0.109172j -0.0482025+0.0407042j 0.00268104-0.0682695j 0.0417982+0.0225931j 0.0206432+0.0389449j 0.0689571+0.0298706j -0.146193-0.118555j -0.0018647-0.184019j 0.0174-0.0869591j -0.167912-0.0739787j -0.194315-0.024125j -0.0866686-0.00687933j -0.0574786-0.306575j -0.139464-0.137897j -0.134556-0.032031j 0.14841+0.0517423j -0.0818742-0.220667j 0.0917489-0.0165046j -0.0860675+0.0246406j -0.0160953+0.075208j -0.0298727-0.0778871j -0.160479+0.125255j 0.110475+0.0771848j 0.172091-0.0424774j 0.0584385-0.096419j -0.00176366-0.0558464j -0.12951-0.0379992j -0.0337548-0.0152527j 0.052033+0.00784536j -0.0328114+0.0205825j -0.0300775+0.0085286j 0.0109525-9.89293e-05j -0.00584591-0.00438616j -0.0342457-0.0326401j 0.00419692-0.00366918j 0.0225134+0.0269157j 0.00356435+0.0020389j -0.00646623+0.00473876j -0.0296039+0.0317147j -0.0345837+0.00870895j -0.0099391+0.00677301j -0.00429593+0.0295355j -0.0614613+0.0123859j -0.0724589+0.0164532j 0.0222184+0.000633772j 0.00336861-0.0247316j -0.0365283+0.0281466j 0.0154113-0.00983751j 0.0135111+0.00390836j -0.051008-0.0523174j 0.0193982-0.0113646j -0.0533634+0.0309268j -0.0370938+0.0286808j 0.00702697-0.00163938j 0.0461712+0.00663015j -0.0273417+0.0155841j -0.0145841-0.0291282j 0.0479526+0.0227395j -0.0167962-0.000484371j -0.0122367-0.0247191j -0.0315452-0.00910694j 0.003273-0.0179345j -0.0429886+0.00355456j 0.0256268-0.0187924j -0.00547554+0.0287742j -0.0175556-0.0225331j 0.0139422-0.00856245j 0.00562542-0.0174642j -0.0437589-0.00399033j -0.0219346-0.0433306j 0.0221675+0.0400659j 0.0345328+0.00180967j -0.0206132-0.0156912j -0.0169086+0.0116879j 0.0452682+0.0215816j -0.0273012-0.00304011j -0.0346987-0.0271473j 0.0153015-0.00110149j 0.00819775+0.0199811j 0.0118471+0.0150302j 0.0198111+0.0226715j 0.00921729-0.0195536j 
0.00218861-0.00473227j -4.02469e-05+0.0187762j -0.0574461-0.00213957j 0.00840873-0.00347956j 0.00336152-0.0219146j -0.0848264-0.0639847j 0.0590678-0.0832823j 0.0778622+0.0506984j 0.0184064-0.0123837j -0.00240816-0.0465381j 0.227743+0.0221619j -0.0533283-0.0316188j -0.037077+0.00174415j 0.0813362+0.0763788j -0.0457409-0.0783945j -0.144058-0.0215979j 0.224114-0.182882j 0.102608+0.0654186j 0.0626421+0.00411897j -0.169133-0.0372006j -0.210331-0.0791758j 0.0362302-0.153042j 0.0387402+0.0288323j 0.0665259-0.0114842j 0.220067-0.100502j -0.0613865-0.114624j -0.0870319+0.14215j 0.0181925+0.0380433j -0.0576161+0.120797j 0.0893142-0.0829187j 0.278754+0.0058905j -0.23286-0.0794433j 0.0486694+0.133149j 0.136427-0.144791j 0.177038+0.0484538j 0.101557-0.0132769j -0.00134134-0.148095j 0.0475371+0.0220959j -0.120398-0.0302802j -0.029895-0.030544j -0.0132586-0.00267183j -0.1215+0.056314j 0.0561943-0.0421815j 0.0672045+0.0607062j -0.0400249+0.00348466j 0.00237452-0.00145346j -0.0178571+0.0184528j -0.068474-0.0112925j 0.0652143+0.0270353j 0.044014+0.0109301j -0.0128838-0.00384505j -0.0289372+0.0128498j 0.0281666-0.0236866j 0.0386165-0.0259776j -0.00765992+0.00791726j 0.000275821-0.0251815j -0.0253371+0.0131517j -0.0261178+0.0442157j -0.00636273+0.00820286j -0.0173135+0.00136144j -0.0172227+0.0284068j -0.00136636+0.016887j 0.0179905+0.033281j -0.0321874-0.00142235j 0.0223329+0.0230018j -0.0044819-0.00788701j 0.0716374+0.0194518j -0.00328331-0.0141031j 0.00112665-0.038766j 0.0285537+0.0314403j -0.00475493+0.0175446j 0.0126574+0.0363541j 0.00207442+0.0303665j 0.0230767+0.0322052j 0.00291614+0.0359686j -0.00373871-0.0415201j 0.010714+0.0345734j -0.0338196-0.0253207j 0.00574663-0.00887696j 0.00916116+0.02743j 0.0385315+0.0560635j -0.00084192+0.000879074j -0.00065309-0.0168251j 0.00702629-0.00277295j 0.0208023+0.0163447j 0.0326578+0.015716j 0.00814307-0.021493j -0.0101353-0.00552602j -0.0114705+0.0472493j -0.00172612+0.000265151j 0.0236421-0.000672212j -0.00969857+0.0224134j 0.010036-0.037873j 0.00275177+0.0066937j -0.0181171+0.00498239j 0.0110073-0.0141845j -0.0105171-0.0208028j 0.00745714+0.0252388j 
0.00685104-0.0109052j 0.0101286-0.00171055j -0.00946417+0.0299239j 0.0306534+0.0162363j -0.000381979+0.0189245j -0.0205051-0.0174586j -0.00260225-0.0445324j 0.0495079-0.0376661j -0.0101793-0.0246939j -0.00975456+0.00647228j -0.0738185+0.131822j 0.0259203+0.0987566j -0.156562-0.0453788j -0.103988+0.0296393j 0.0399308+0.0759928j 0.00825895-0.178822j -0.0878808+0.104978j 0.099544+0.00457914j -0.0917405+0.0934456j -0.00364102-0.0473823j -0.0541505-0.00161914j 0.0526765+0.0367786j -0.0619127-0.0185269j 0.120352+0.0177869j 0.0958925-0.0429535j 0.164594-0.182234j -0.0260613-0.0757847j -0.052961-0.0239368j -0.0420543-0.0919189j 0.0745793-0.0668523j 0.0123798+0.0465574j -0.174382-0.0697313j -0.0622702-0.0673944j 0.131648+0.163443j -0.164752+0.0111377j -0.166808+0.0268279j 0.144089+0.0691511j -0.112697-0.0811812j -0.00227603+0.0596197j -0.0136117-0.0217991j -0.0501872+0.0764106j -0.0367151+0.0480154j 0.0478479-0.0345926j 0.0442306+0.0438904j -0.0458708+0.0211464j 0.0351884+0.00749907j 0.0214668+0.00698792j -0.0135886+0.000969586j 0.0328039-0.00570763j 0.0400476+0.0195699j -0.0117313+0.0226164j -0.0105602-0.00604196j -0.0317203+0.000335873j 0.0327234+0.032948j -0.000624936-0.0167637j 0.0412304-0.0178687j -0.0688344-0.0219467j -0.00305326-0.00456902j -0.0347316-0.00175892j 0.00983149+0.0101124j -0.00258607-0.000899248j -0.0178993+0.0172653j -0.00827418+0.00397015j 0.0057298-0.0345781j 0.0365136+0.044147j 0.0575656-0.0205828j -0.00677639-0.0573024j 0.0140978+0.00951156j 0.000315281+0.00273896j 0.0251252-0.0164029j -0.0320098-0.000553452j -0.0435298+0.00305973j -0.0168805+0.0204598j -0.00953681+0.00182124j 0.0334726-0.0288191j -0.0125862-0.0167051j 0.035876+0.0102313j 0.0137912-0.0206836j 0.00106093-0.00710002j -0.0122779+0.00410054j -0.00976815-0.0316255j 0.0111396+0.0281765j -0.0268897-0.033342j 0.00391111+0.0524963j -0.0028597+0.0303927j 0.00712251-0.00439428j -0.027632+0.00871869j 0.00704294+0.00768502j 0.0313499-0.000747556j 0.000964828+0.00267764j -0.00544727-0.0129758j 0.00959758+0.00888702j 0.0133457+0.0174976j 0.00955625-0.00594438j -0.0275332-0.00580893j 0.00251372-0.0149823j -0.0199618-0.0199506j 0.00673708+0.0266805j 
0.00212773-0.0226887j 0.00737547-0.00856602j 0.00875718+0.0361988j 0.0368796-0.000371326j 0.0268268+0.0277607j -0.0278589+0.0265598j -0.0384017-0.0734008j 0.047615-0.09603j 0.044444-0.0317995j 0.0412045-0.0123982j -0.0504255-0.0731488j -0.0288759-0.0790515j -0.0527792+0.0996886j -0.144087+0.057931j 0.0763583-0.0679138j 0.0286413+0.110037j 0.102601+0.278384j -0.1835-0.0509326j 0.00360862-0.0155762j 0.0572717-0.0870574j 0.0745492+0.144604j -0.0865941+0.127283j -0.0261434+0.0591777j -0.0968334+0.0581316j 0.0561555-0.0271585j -0.131384-0.0167537j -0.243723+0.115059j 0.103549-0.0246989j 0.0456738-0.113269j 0.0513013-0.00928676j 0.129186-0.186471j 0.0115798+0.0106619j -0.0177288-0.055722j 0.104579-0.183518j 0.0441358-0.205214j 0.0799232-0.0386484j -0.00611152-0.0347877j -0.0192801+0.0762945j -0.124995+0.0251135j -0.00733011-0.0280719j -0.0120826+0.00922291j 0.0236046+0.0997861j -0.0423022-0.0168788j 0.0981275-0.0181568j -0.0697288-0.0189198j 0.00247233+0.0133287j 0.00197993+0.000832618j -0.00412843+0.0313261j 0.0182256+0.000952928j 0.0181275+0.017721j 0.0363121+0.00975486j -0.0469524+0.00164139j 0.0130163-0.0127436j -0.0243575-0.00322985j -0.00313917-0.0485628j 0.0326626-0.024663j 0.0247061+0.0429334j -0.0395113+0.00762483j -0.0150089-0.00243117j 0.00408074-0.00477501j -0.00980135-0.0305196j -0.0383869-0.0349629j -0.00225713+0.0036776j 0.0113212-0.0123167j -0.0224469+0.0305375j -0.0318706+0.0572383j 0.0265007-0.0196792j -0.0206244+0.0275151j 0.0204738+0.00300543j -0.00182889+0.0402059j -0.0489608+0.00145857j 0.0177632+0.0130661j 0.00310843+0.00914529j -0.00342308+0.0024162j -0.0382835-0.0215656j 0.023844+0.0467347j -0.000909436-0.0252715j -0.0111504+0.0165699j 0.0177716-0.0385833j 0.000680293+0.0211225j -0.00697694+0.046226j -0.00024977+0.0197099j -0.0390175-0.0184144j -0.0247638+0.00629735j -0.00184277+0.0108966j -0.00738513-0.00588244j 0.00180182-0.0123329j -0.00161604+0.0136094j 0.00925107+0.0174667j 0.0102121-0.00418569j -0.00920725-0.0108293j 0.00970768+0.025113j 0.00350376-0.000338162j 0.0153764-0.0131267j -0.00681749+0.0143282j -0.0138322-0.0164903j 0.00082342+0.00988283j 0.0110923+0.0254344j 
0.00410547-0.0352804j 0.0142785-0.0237624j 0.0537574+0.0304166j 0.0691991+0.0180864j 0.0361499+0.0276742j -0.00437694+0.122588j -0.199668+0.003479j 0.0115291-0.202365j -0.0816519-0.0159882j 0.0330333-0.0102647j -0.144057+0.0143418j 0.113126+0.139212j 0.0354098+0.00630866j 0.0174267+0.0843293j 0.00712002+0.149444j -0.00682942+0.0477484j -0.0299364+0.170938j 0.0257023-0.22131j -0.101013+0.13852j -0.170095+0.0140659j 0.0940177-0.0313784j -0.0105503-0.153342j 0.117538+0.0321664j 0.00977332-0.0175987j -0.253814-0.128244j -0.154693-0.0954978j 0.111818-0.0969186j -0.0796141+0.145852j -0.0936505+0.085013j 0.0801571-0.0213186j 0.0603997+0.167253j 0.0702251+0.130163j -0.0856866+0.1647j 0.0587283+0.140649j 0.0577284+0.0698813j -0.105137+0.0409541j -0.06942+0.0468881j -0.0467861-0.0693754j -0.0925417+0.06565j 0.0196183+0.0821678j -0.0855251+0.0539158j 0.0337693+0.0422818j -0.119208-0.0824955j 0.114121-0.0593452j -0.0812161-0.00275914j -0.00715015+0.0315753j -0.0169722-0.00253107j 0.0904541+0.0024729j -0.0124477-0.0662654j 0.0373608+0.032849j 0.0742646+0.0564302j 0.0132316+0.0148172j -0.0581122+0.0404837j -0.0200916+0.0109706j -0.00134442+0.0121586j -0.0125315+0.0154689j -0.0259981-0.00279925j 0.0352185-0.0234737j -0.0058582+0.0111451j -0.0121593-0.0242004j -0.0449112+0.0318167j -0.0576937+0.0129104j 0.0494831+0.017548j -0.0003868+0.0224106j -0.0083852-0.0120024j -0.0135499-0.0261145j 0.00427607+0.0152775j 0.00838391-0.00845539j 0.0425533+0.0174283j 0.0263061+0.00808286j 0.0264484-0.0259427j 0.0318075-0.0183737j -0.00951143-0.0645288j -0.029562+0.0264522j 0.00588589+0.00112352j 0.012777-0.0192618j 0.00341568-0.00522645j -0.00794222-0.0206655j 0.00220325-0.035298j -0.0163269+0.0197276j -0.0173618+0.0339767j -0.00850293-0.00237082j 0.000436433-0.0395029j 0.0215523+0.00412262j 0.00508152-0.00984583j 0.00234105-0.0254848j -0.0307629-0.0209935j 0.0239517+0.0144815j 0.0263602-0.00602643j 0.00555832-0.0341814j 0.0051222-0.0312485j 0.00897313+0.0299415j -0.0210629+0.0175054j 0.0346824-0.0200678j -0.0147936+0.0221749j -0.0285275-0.00522663j 0.00702292+0.0240538j 0.0209292+0.0331095j 
