-0.00367443-0j -0.000592959-0j -0.000484149-0j -6.98808e-05-0j -6.05186e-05-0j -7.13218e-06-0j -3.25538e-07-0j 1.00383-0j -0.000532498-0j -0.000420977-0j -0.000280651-0j -6.07628e-05-0j -7.01628e-05-0j -2.48063e-05-0j -5.8469e-06-0j -6.20157e-06-0j -5.16798e-07-0j -1.92599e-08-0j -0.00219094-0j -0.00221365-0j 0.101811-0j 0.102866-0j -0.000264581-0j -0.000267323-0j -3.8189e-05-0j -0.000241529-0j -3.85848e-05-0j -0.000244032-0j -4.26966e-05-0j -2.84644e-05-0j -4.31391e-05-0j -3.55805e-06-0j -2.46509e-05-0j -2.87594e-05-0j -3.59493e-06-0j -2.49064e-05-0j -5.03185e-06-0j -2.51592e-06-0j -5.08399e-06-0j -2.96504e-07-0j -3.63142e-07-0j -2.542e-06-0j -2.99577e-07-0j -3.66906e-07-0j -2.34407e-08-0j -2.36836e-08-0j -7.38314e-10-0j -7.45965e-10-0j 
-0.143304-0j -0.00443485-0j 7.65506e-05-0j -0.00105635-0j -0.00045263-0j -0.000162284-0j -1.23797e-05-0j 0.000532498-0j 0.982359-0j 6.65623e-05-0j 4.43748e-05-0j -0.00091852-0j -0.000524761-0j 3.92222e-06-0j -0.000133039-0j -9.3746e-05-0j -1.5706e-05-0j -8.79517e-07-0j 0.000346418-0j 0.000350008-0j -0.00255469-0j -0.00258116-0j -0.0103188-0j -0.0104257-0j 0.142393-0j 3.8189e-05-0j 0.143868-0j 3.85848e-05-0j -0.000319336-0j -0.000212891-0j -0.000322645-0j -8.09592e-05-0j 3.89765e-06-0j -0.000215097-0j -8.17982e-05-0j 3.93804e-06-0j -7.60639e-05-0j -1.88171e-05-0j -7.68521e-05-0j -9.01109e-06-0j -8.26286e-06-0j -1.90121e-05-0j -9.10448e-06-0j -8.34849e-06-0j -8.91414e-07-0j -9.00651e-07-0j -3.93543e-08-0j -3.97622e-08-0j 
0.000459304-0j -0.0145191-0j -0.00582273-0j 8.73511e-06-0j -0.00146325-0j -8.5777e-05-0j 4.06923e-08-0j 0.000420977-0j 6.65623e-05-0j 0.99177-0j 3.50814e-05-0j -0.00148783-0j -0.00084383-0j -0.000901219-0j 7.30862e-07-0j -0.000149945-0j -6.2154e-06-0j 2.40749e-09-0j 0.000273868-0j 0.000276706-0j 4.26966e-05-0j 4.31391e-05-0j -0.00318205-0j -0.00321503-0j 4.77363e-06-0j -0.00591403-0j 4.8231e-06-0j -0.00597532-0j 0.100588-0j 3.55805e-06-0j 0.101631-0j -8.71219e-05-0j -0.000596022-0j 3.59493e-06-0j -8.80247e-05-0j -0.000602199-0j -6.05168e-05-0j -9.14041e-05-0j -6.11439e-05-0j 3.70631e-08-0j -8.78023e-06-0j -9.23513e-05-0j 3.74471e-08-0j -8.87122e-06-0j -2.81916e-07-0j -2.84837e-07-0j 9.22892e-11-0j 9.32456e-11-0j 
0.000306203-0j 4.94132e-05-0j -0.0118003-0j -0.00170323-0j 5.04322e-06-0j 5.94349e-07-0j 2.71282e-08-0j 0.000280651-0j 4.43748e-05-0j 3.50814e-05-0j 0.99349-0j 5.06356e-06-0j -0.0017101-0j 2.06719e-06-0j -0.000142508-0j 5.16798e-07-0j 4.30665e-08-0j 1.60499e-09-0j 0.000182579-0j 0.000184471-0j 2.84644e-05-0j 2.87594e-05-0j 2.20484e-05-0j 2.22769e-05-0j 3.18242e-06-0j -0.00588686-0j 3.2154e-06-0j -0.00594787-0j 3.55805e-06-0j 0.100763-0j 3.59493e-06-0j 2.96504e-07-0j -0.000600825-0j 0.101807-0j 2.99577e-07-0j -0.000607052-0j -0.000122643-0j 2.0966e-07-0j -0.000123914-0j -7.22681e-06-0j 3.02619e-08-0j 2.11833e-07-0j -7.3017e-06-0j 3.05755e-08-0j 1.95339e-09-0j 1.97364e-09-0j 6.15261e-11-0j 6.21637e-11-0j 
-6.62948e-05-0j -0.200355-0j -8.73511e-06-0j -0.00564091-0j 0.00010439-0j -0.00176421-0j -0.000271239-0j -6.07628e-05-0j 0.00091852-0j 0.00148783-0j -5.06356e-06-0j 0.960801-0j 0.000121026-0j -4.4756e-07-0j -0.00144628-0j -0.000500603-0j -0.000257461-0j -2.41212e-05-0j -3.95294e-05-0j -3.9939e-05-0j 0.000589188-0j 0.000595294-0j -4.77363e-06-0j -4.8231e-06-0j -0.00308269-0j 0.000853617-0j -0.00311464-0j 0.000862463-0j -0.0144268-0j 4.9099e-05-0j -0.0145763-0j 0.172403-0j -4.44757e-07-0j 4.96078e-05-0j 0.174189-0j -4.49366e-07-0j -0.00040618-0j 4.33978e-06-0j -0.000410389-0j -0.000147714-0j -8.98263e-05-0j 4.38475e-06-0j -0.000149245-0j -9.07572e-05-0j -1.95308e-05-0j -1.97332e-05-0j -1.29633e-06-0j -1.30977e-06-0j 
-7.65506e-05-0j 0.000584343-0j -0.141434-0j -0.0202851-0j -0.0115359-0j -0.00205733-0j 1.63117e-06-0j -7.01628e-05-0j 0.000524761-0j 0.00084383-0j 0.0017101-0j 0.000121026-0j 0.969543-0j 0.000150203-0j -0.00255474-0j -0.00238925-0j -0.00019911-0j 1.15887e-07-0j -4.56446e-05-0j -4.61176e-05-0j 0.00033661-0j 0.000340098-0j 0.000530342-0j 0.000535838-0j 7.60639e-05-0j 0.000733342-0j 7.68521e-05-0j 0.000740941-0j -0.00404832-0j -0.00820431-0j -0.00409028-0j 1.06673e-05-0j -0.0144774-0j -0.00828933-0j 1.07779e-05-0j -0.0146274-0j 0.140535-0j -0.000720608-0j 0.141991-0j -0.00017304-0j -0.00021059-0j -0.000728075-0j -0.000174833-0j -0.000212773-0j -1.13007e-05-0j -1.14178e-05-0j 5.18539e-09-0j 5.23913e-09-0j 
-2.70647e-05-0j -4.36755e-06-0j 0.00103646-0j -5.14721e-07-0j -0.0250166-0j 1.52684e-05-0j -2.39781e-09-0j -2.48063e-05-0j -3.92222e-06-0j 0.000901219-0j -2.06719e-06-0j -4.4756e-07-0j 0.000150203-0j 0.976272-0j -4.30665e-08-0j -0.00256355-0j 1.10635e-06-0j -1.41863e-10-0j -1.61378e-05-0j -1.6305e-05-0j -2.51592e-06-0j -2.542e-06-0j 0.000566411-0j 0.00057228-0j -2.81289e-07-0j -1.77903e-06-0j -2.84204e-07-0j -1.79746e-06-0j 9.14041e-05-0j -2.0966e-07-0j 9.23513e-05-0j -2.62075e-08-0j -0.01019-0j -2.11833e-07-0j -2.64791e-08-0j -0.0102956-0j 1.07721e-05-0j 0.0990162-0j 1.08837e-05-0j -2.18396e-09-0j -0.000150112-0j 0.100042-0j -2.20659e-09-0j -0.000151668-0j 5.01815e-08-0j 5.07015e-08-0j -5.43819e-12-0j -5.49455e-12-0j 
6.37922e-06-0j -0.000148145-0j -0.0001225-0j -0.242411-0j -1.51199e-05-0j -0.00785798-0j -0.00374285-0j 5.8469e-06-0j -0.000133039-0j 7.30862e-07-0j -0.000142508-0j 0.00144628-0j 0.00255474-0j 4.30665e-08-0j 0.938843-0j 0.00014761-0j -0.00235188-0j -0.0004452-0j 3.80372e-06-0j 3.84314e-06-0j -8.53385e-05-0j -8.62229e-05-0j 4.59343e-07-0j 4.64103e-07-0j 0.000908978-0j -6.11118e-05-0j 0.000918398-0j -6.17451e-05-0j -1.06673e-05-0j 0.00207998-0j -1.07779e-05-0j -0.00392013-0j -6.2372e-06-0j 0.00210154-0j -0.00396076-0j -6.30183e-06-0j -0.0174551-0j -6.28577e-07-0j -0.0176359-0j 0.196655-0j -0.000400097-0j -6.35091e-07-0j 0.198693-0j -0.000404243-0j -0.000269508-0j -0.000272301-0j -2.99597e-05-0j -3.02702e-05-0j 
6.76618e-06-0j -0.00010439-0j -0.000172445-0j 0.000575723-0j -0.197245-0j -0.0348284-0j 2.76832e-05-0j 6.20157e-06-0j -9.3746e-05-0j -0.000149945-0j 5.16798e-07-0j 0.000500603-0j 0.00238925-0j 0.00256355-0j 0.00014761-0j 0.94589-0j -0.0050827-0j 2.46186e-06-0j 4.03445e-06-0j 4.07626e-06-0j -6.01338e-05-0j -6.07569e-05-0j -9.42394e-05-0j -9.5216e-05-0j 0.000314626-0j 4.44757e-07-0j 0.000317886-0j 4.49366e-07-0j 0.00145394-0j -5.01115e-06-0j 0.00146901-0j 8.98263e-05-0j 0.000840368-0j -5.06308e-06-0j 9.07572e-05-0j 0.000849077-0j -0.00801867-0j -0.0248575-0j -0.00810177-0j 1.5076e-05-0j 0.169727-0j -0.0251151-0j 1.52322e-05-0j 0.171486-0j -0.000385571-0j -0.000389567-0j 1.32306e-07-0j 1.33678e-07-0j 
-5.63849e-07-0j 1.74893e-05-0j 7.14808e-06-0j -0.000296095-0j -0.000345268-0j -0.276026-0j -0.0312942-0j -5.16798e-07-0j 1.5706e-05-0j 6.2154e-06-0j -4.30665e-08-0j -0.000257461-0j -0.00019911-0j 1.10635e-06-0j 0.00235188-0j 0.0050827-0j 0.91556-0j -0.00563311-0j -3.36204e-07-0j -3.39689e-07-0j 1.00747e-05-0j 1.01791e-05-0j 3.90634e-06-0j 3.94682e-06-0j -0.000161813-0j -3.70631e-08-0j -0.000163489-0j -3.74471e-08-0j -0.000121166-0j 8.39559e-07-0j -0.000122422-0j 0.0014312-0j 7.31686e-07-0j 8.4826e-07-0j 0.00144604-0j 7.39269e-07-0j 0.00205135-0j -2.15677e-05-0j 0.00207261-0j -0.00545958-0j -0.0282543-0j -2.17912e-05-0j -0.00551616-0j -0.0285471-0j 0.216806-0j 0.219053-0j -0.000507393-0j -0.000512651-0j 
2.10134e-08-0j -9.79379e-07-0j 2.76876e-09-0j 2.77409e-05-0j -9.99575e-08-0j -0.000543065-0j -0.334453-0j 1.92599e-08-0j -8.79517e-07-0j 2.40749e-09-0j 1.60499e-09-0j 2.41212e-05-0j -1.15887e-07-0j 1.41863e-10-0j -0.0004452-0j 2.46186e-06-0j 0.00563311-0j 0.885291-0j 1.25296e-08-0j 1.26594e-08-0j -5.6417e-07-0j -5.70017e-07-0j 1.51309e-09-0j 1.52877e-09-0j 1.51601e-05-0j 1.38126e-09-0j 1.53172e-05-0j 1.39557e-09-0j -7.05213e-08-0j -4.70142e-08-0j -7.12521e-08-0j -0.000270921-0j 1.40974e-10-0j -4.75014e-08-0j -0.000273728-0j 1.42435e-10-0j 1.99751e-06-0j -4.15551e-09-0j 2.01821e-06-0j 0.00323191-0j -2.76507e-05-0j -4.19857e-09-0j 0.0032654-0j -2.79373e-05-0j -0.0240827-0j -0.0243323-0j 0.253771-0j 0.256401-0j 
