5.31426e-06-0j -0.000179546-0j -0.201724-0j -4.4631e-06-0j 0.000142165-0j -4.55513e-07-0j -0.00253834-0j -0.642415-0j 2.93721e-06-0j -2.96532e-06-0j -9.05893e-05-0j 9.14564e-05-0j 3.87011e-07-0j -3.90716e-07-0j 0.00152496-0j -9.24573e-06-0j -0.00153955-0j 9.33423e-06-0j -0.0146906-0j 0.0148312-0j 0.159334-0j -0.160859-0j 
0.00312701-0j 0.000552782-0j 4.60652e-05-0j 0.00273441-0j 0.000455736-0j 0.00027908-0j 5.6967e-05-0j 3.35681e-06-0j -0.414371-0j -0.418665-0j 0.000278905-0j 0.000281795-0j 0.000227725-0j 0.000230085-0j 3.28692e-05-0j 2.84656e-05-0j 3.32099e-05-0j 2.87606e-05-0j 3.3547e-06-0j 3.38947e-06-0j 1.5312e-07-0j 1.54707e-07-0j 
-0.00386948-0j -0.000684033-0j -5.70028e-05-0j -6.69711e-05-0j -1.11618e-05-0j -6.83521e-06-0j -1.39523e-06-0j -8.22148e-08-0j -0.493092-0j -0.497564-0j 0.00033189-0j 0.0003349-0j 0.000270987-0j 0.000273445-0j 3.91137e-05-0j 3.38734e-05-0j 3.94684e-05-0j 3.41806e-05-0j 3.99202e-06-0j 4.02822e-06-0j 1.8221e-07-0j 1.83862e-07-0j 
0.00225719-0j 0.000399019-0j 3.32516e-05-0j -0.00383041-0j -0.000638402-0j -0.00039094-0j -7.98002e-05-0j -4.70227e-06-0j -0.299109-0j -0.26703-0j 0.000201324-0j 0.000179732-0j 0.00016438-0j 0.000146751-0j 2.37263e-05-0j 2.05475e-05-0j 2.11817e-05-0j 1.83439e-05-0j 2.42155e-06-0j 2.16185e-06-0j 1.10528e-07-0j 9.86743e-08-0j 
-0.000504619-0j 0.00419532-0j 0.0010637-0j 0.0844947-0j 0.00345879-0j -4.50363e-05-0j 0.00087389-0j 0.000103531-0j -0.000278905-0j -0.000281795-0j -0.405319-0j -0.40952-0j -3.67489e-05-0j -3.71297e-05-0j 0.000504224-0j 0.000216038-0j 0.000509449-0j 0.000218277-0j 7.74639e-05-0j 7.82666e-05-0j 5.90935e-06-0j 5.97059e-06-0j 
0.0590307-0j 0.00692816-0j -6.06962e-06-0j -0.000360291-0j 0.00860324-0j 0.00703233-0j 0.000713981-0j -4.42299e-07-0j -0.000227725-0j -0.000230085-0j -3.67489e-05-0j -3.71297e-05-0j -0.408916-0j -0.413154-0j 0.000620496-0j 0.000717284-0j 0.000626926-0j 0.000724717-0j 4.20453e-05-0j 4.2481e-05-0j -2.01754e-08-0j -2.03845e-08-0j 
0.000624434-0j -0.00519144-0j -0.00131626-0j -0.00206944-0j -8.47124e-05-0j 1.10303e-06-0j -2.14033e-05-0j -2.53567e-06-0j -0.00033189-0j -0.0003349-0j -0.482321-0j -0.486695-0j -4.37304e-05-0j -4.4127e-05-0j 0.000600015-0j 0.000257081-0j 0.000605456-0j 0.000259412-0j 9.21803e-05-0j 9.30162e-05-0j 7.03199e-06-0j 7.09576e-06-0j 
-0.00852035-0j -0.000999359-0j 0.0118745-0j 5.20035e-05-0j 0.118043-0j 5.30758e-06-0j 0.00479155-0j 0.00174281-0j 3.28692e-05-0j 3.32099e-05-0j -0.000504224-0j -0.000509449-0j -0.000620496-0j -0.000626926-0j -0.396098-0j -5.14621e-05-0j -0.400203-0j -5.19954e-05-0j 0.000864761-0j 0.000873722-0j 0.000132961-0j 0.000134339-0j 
-0.000364253-0j 0.00302834-0j 0.000767817-0j -0.118361-0j -0.00484512-0j 6.30876e-05-0j -0.00122416-0j -0.000145027-0j -0.000201324-0j -0.000179732-0j -0.292575-0j -0.261197-0j -2.65268e-05-0j -2.36818e-05-0j 0.000363968-0j 0.000155945-0j 0.000324933-0j 0.00013922-0j 5.59164e-05-0j 4.99195e-05-0j 4.26559e-06-0j 3.80812e-06-0j 
-0.0730468-0j -0.00857316-0j 7.51077e-06-0j 8.82422e-06-0j -0.00021071-0j -0.000172235-0j -1.74868e-05-0j 1.08327e-08-0j -0.000270987-0j -0.000273445-0j -4.37304e-05-0j -4.4127e-05-0j -0.486601-0j -0.491014-0j 0.000738376-0j 0.000853552-0j 0.000745072-0j 0.000861292-0j 5.0033e-05-0j 5.04867e-05-0j -2.40083e-08-0j -2.4226e-08-0j 
5.15024e-05-0j 0.0818863-0j -0.000108563-0j 4.50363e-05-0j -0.000353011-0j 0.0831732-0j 0.017057-0j -1.05666e-05-0j 2.84656e-05-0j 2.87606e-05-0j -0.000216038-0j -0.000218277-0j -0.000717284-0j -0.000724717-0j -5.14621e-05-0j -0.398981-0j -5.19954e-05-0j -0.403115-0j 0.00151198-0j 0.00152765-0j -6.0312e-07-0j -6.0937e-07-0j 
0.0105434-0j 0.00123664-0j -0.0146939-0j -1.27367e-06-0j -0.00289111-0j -1.29993e-07-0j -0.000117354-0j -4.26848e-05-0j 3.91137e-05-0j 3.94684e-05-0j -0.000600015-0j -0.000605456-0j -0.000738376-0j -0.000745072-0j -0.471348-0j -6.12388e-05-0j -0.475622-0j -6.17941e-05-0j 0.00102905-0j 0.00103838-0j 0.000158221-0j 0.000159655-0j 
0.0426106-0j 0.00500101-0j -4.38128e-06-0j 0.000504701-0j -0.0120516-0j -0.009851-0j -0.00100016-0j 6.19579e-07-0j -0.00016438-0j -0.000146751-0j -2.65268e-05-0j -2.36818e-05-0j -0.295171-0j -0.263515-0j 0.000447897-0j 0.000517763-0j 0.000399861-0j 0.000462234-0j 3.03499e-05-0j 2.7095e-05-0j -1.45634e-08-0j -1.30015e-08-0j 
-6.06962e-06-0j -0.014604-0j 0.0557685-0j -5.30758e-06-0j 0.000126577-0j 0.000103596-0j 0.142562-0j 0.0167892-0j -3.3547e-06-0j -3.38947e-06-0j 7.74639e-05-0j 7.82666e-05-0j 4.20453e-05-0j 4.2481e-05-0j -0.000864761-0j -0.00151198-0j -0.000873722-0j -0.00152765-0j -0.386318-0j -0.390321-0j 0.00193495-0j 0.001955-0j 
-6.3731e-05-0j -0.101329-0j 0.00013434-0j -1.10303e-06-0j 8.64593e-06-0j -0.00203707-0j -0.000417759-0j 2.58795e-07-0j 3.38734e-05-0j 3.41806e-05-0j -0.000257081-0j -0.000259412-0j -0.000853552-0j -0.000861292-0j -6.12388e-05-0j -0.474778-0j -6.17941e-05-0j -0.479083-0j 0.00179922-0j 0.00181554-0j -7.177e-07-0j -7.24208e-07-0j 
-0.00615032-0j -0.000721376-0j 0.00857146-0j -7.28473e-05-0j -0.165357-0j -7.43494e-06-0j -0.00671208-0j -0.00244136-0j 2.37263e-05-0j 2.11817e-05-0j -0.000363968-0j -0.000324933-0j -0.000447897-0j -0.000399861-0j -0.285919-0j -3.71473e-05-0j -0.255255-0j -3.31634e-05-0j 0.000624217-0j 0.000557271-0j 9.59764e-05-0j 8.56831e-05-0j 
2.77039e-07-0j -1.17122e-05-0j -0.0265698-0j 2.42257e-07-0j -9.65599e-06-0j 2.47252e-08-0j 0.00023044-0j 0.182096-0j 1.5312e-07-0j 1.54707e-07-0j -5.90935e-06-0j -5.97059e-06-0j 2.01754e-08-0j 2.03845e-08-0j 0.000132961-0j -6.0312e-07-0j 0.000134339-0j -6.0937e-07-0j -0.00193495-0j -0.001955-0j -0.373679-0j -0.377551-0j 
3.71764e-05-0j 0.0591087-0j -7.8365e-05-0j -6.30876e-05-0j 0.000494503-0j -0.11651-0j -0.0238937-0j 1.48018e-05-0j 2.05475e-05-0j 1.83439e-05-0j -0.000155945-0j -0.00013922-0j -0.000517763-0j -0.000462234-0j -3.71473e-05-0j -0.287999-0j -3.31634e-05-0j -0.257112-0j 0.0010914-0j 0.000974353-0j -4.35355e-07-0j -3.88664e-07-0j 
7.51077e-06-0j 0.0180716-0j -0.06901-0j 1.29993e-07-0j -3.10013e-06-0j -2.53727e-06-0j -0.00349163-0j -0.0004112-0j -3.99202e-06-0j -4.02822e-06-0j 9.21803e-05-0j 9.30162e-05-0j 5.0033e-05-0j 5.04867e-05-0j -0.00102905-0j -0.00179922-0j -0.00103838-0j -0.00181554-0j -0.45971-0j -0.463879-0j 0.00230255-0j 0.00232343-0j 
-3.42818e-07-0j 1.44931e-05-0j 0.0328785-0j -5.93334e-09-0j 2.36494e-07-0j -6.05569e-10-0j -5.64392e-06-0j -0.00445989-0j 1.8221e-07-0j 1.83862e-07-0j -7.03199e-06-0j -7.09576e-06-0j 2.40083e-08-0j 2.4226e-08-0j 0.000158221-0j -7.177e-07-0j 0.000159655-0j -7.24208e-07-0j -0.00230255-0j -0.00232343-0j -0.444669-0j -0.448702-0j 
-4.38128e-06-0j -0.0105417-0j 0.0402558-0j 7.43494e-06-0j -0.000177312-0j -0.000145119-0j -0.199703-0j -0.0235186-0j -2.42155e-06-0j -2.16185e-06-0j 5.59164e-05-0j 4.99195e-05-0j 3.03499e-05-0j 2.7095e-05-0j -0.000624217-0j -0.0010914-0j -0.000557271-0j -0.000974353-0j -0.278859-0j -0.248952-0j 0.00139672-0j 0.00124693-0j 
1.99977e-07-0j -8.4543e-06-0j -0.0191791-0j -3.39357e-07-0j 1.35263e-05-0j -3.46355e-08-0j -0.000322804-0j -0.255083-0j 1.10528e-07-0j 9.86743e-08-0j -4.26559e-06-0j -3.80812e-06-0j 1.45634e-08-0j 1.30015e-08-0j 9.59764e-05-0j -4.35355e-07-0j 8.56831e-05-0j -3.88664e-07-0j -0.00139672-0j -0.00124693-0j -0.269735-0j -0.240807-0j 
