-0.0482602-0.0653324j -0.0100454-0.00756049j 0.093605+0.0729625j -0.0185757+0.171549j -0.0452659-0.0610594j 0.057338+0.0928895j 0.226654+0.00136905j -0.0994691+0.0148969j -0.0696996+0.043094j 0.0256032-0.0234674j -0.0356798+0.0735148j 0.0365374-0.0014487j 0.0713492+0.0522251j 0.152796+0.0239874j -0.179858+0.147998j 0.0109397-0.050375j -0.00236343-0.0176436j -0.0882625-0.00984879j 0.0868857-0.0385228j 0.0450609+0.0195536j -0.0384463+0.0493015j 0.00585369-0.121958j -0.0164239+0.0607622j -0.00473933-0.0444846j 0.0475047+0.0367387j 0.0401793+0.0777654j -0.0659186-0.00817425j -0.00518912-0.0203719j -0.0242408+0.071144j -0.12119-0.00929146j -0.0165226-0.00292213j 0.0529745-0.013043j -0.0477444+0.0103169j -0.00445144-0.035897j -0.00758037-0.00752506j -0.0369331+0.0433468j -0.00978989-0.0563296j 0.0134416-0.00805699j -0.0234557-0.118183j 0.010815+0.0061444j 0.00723241-0.00626047j -0.0250971-0.0260527j -0.0247781+0.0415505j -0.0155454-0.00961603j -0.0196698-0.0256165j 0.00880233+0.00681575j -0.00013802-0.013175j 0.0419098-0.0021543j 0.0267474+0.00831161j 0.0366372-0.0347594j -0.00188659+0.00302659j 0.010777+0.00914486j 0.0208782-0.00778888j 0.0262707-0.0124585j 0.0310827-0.0185668j 0.013631-0.0157836j -0.0155998-0.030379j 0.0326807+0.0298212j 0.0191629+0.0352133j 0.0229612-0.0542239j 0.0255564+0.0199544j 0.00684555-0.0250735j -0.0500547+0.0154133j -0.0195047-0.0244036j -0.0159995-0.0617879j -0.00278415+0.0417494j -0.0294694+0.0106055j 0.052376-0.0203815j -0.0209722+0.0552856j 0.0109805+0.018195j 0.00141893-0.0125006j 0.00928828+0.0162303j 0.0329835+0.0507635j 0.0127552+0.0808837j -0.00847369+0.0403145j 0.0226071-0.0264517j -0.027404-0.0502017j 0.0380848-0.00865354j -0.0131691-0.0147123j 0.00411796-0.0189998j 0.0672278+0.0174072j -0.0683051-0.00698336j 0.0136441-0.00438968j 0.0253515+0.00412994j -0.0308113-0.0205417j 0.0451126+0.0302706j 0.0132895+0.0225602j -0.010792-0.00571646j -0.0625978-0.0519441j 0.0406245+0.0437278j 0.084554-0.0564374j -0.00572732-0.0348701j -0.019424-0.00974692j -0.14184-0.119962j -0.0656469+0.0486452j 0.101665+0.180206j 0.0540438-0.0254744j 
-0.0352946-0.0273476j 0.0315974+0.0824148j 0.0954246-0.140226j 0.159124+0.091611j -0.0311643-0.0164194j 0.0020315-0.0156061j 0.086904-0.0163426j 0.0795553-0.117279j 0.0503568+0.0153479j 0.0775989+0.105679j 0.0277851-0.147911j -0.110305+0.165008j -0.0471302-0.0990708j 0.118814-0.0291176j 0.140653+0.107465j -0.0397807+0.0240353j -0.043806-0.0235865j -0.0945557+0.0452576j -0.0245465-0.00886133j 0.0375628+0.0216688j -0.00777467+0.0796878j -0.0193888-3.85691e-05j 0.0404954-0.0221742j 0.026288+0.0514624j -0.0362728-0.0574001j -0.0644014+0.0543607j -0.028503+0.0193943j 0.0904707-0.000110781j -0.0694527-0.0398183j 0.0323146-0.102813j -0.0524164-0.0846316j 0.00971031+0.0764507j -0.0309615+0.0128263j 0.0370043+0.043224j 0.0545754+0.0197287j 0.00464879+0.102025j -0.0217118+0.0161154j -0.00233731-0.0232726j -0.0454907+0.0363539j 0.00141154+0.000376572j 0.0143353+0.0204633j -0.0158865+0.0251554j 0.0343405+0.0322391j -0.00769215+0.00585397j -0.0203777-0.000926367j -0.00849714-0.0128982j -0.0311983+0.0116933j 0.0325982-0.00385087j 0.0217712-0.00560147j -0.00501453-0.0423999j 0.00359106-0.011548j -0.00258724+0.0131095j -0.00619391-0.00204203j 0.00668414-0.0255051j 0.00850911+0.00377949j 0.00833747+0.0136559j -0.00780034+0.0360914j -0.0104518+0.0154303j -0.00136489-0.0276852j 0.00903665+0.0331487j -0.0102212+0.0512504j 0.0248943+0.0220254j 0.00864834-0.0403252j 0.0547858-0.0108271j 0.00437447-0.0336475j -0.0352511+0.0174238j -0.0203481-0.0256222j -0.0109007+0.0600153j -0.0376848-0.0279643j -0.00575394+0.00159293j 0.0176807+0.00557655j -0.0441811+0.00720341j -0.0190893+0.0429786j -0.0579944-0.0042056j -0.0419324-0.0131831j 0.0181216+0.03421j 0.0566926+0.0168153j 0.0237431+0.0831848j -0.0142605-0.0247346j 0.0520311+0.0287477j -0.00571294+0.0193715j 0.0543203-0.0212202j -0.0315728-0.00753178j -0.0175009+0.0267575j 0.00607014-0.0912511j 0.0160686-0.0369907j 0.0295835-0.00249413j 0.00370104-0.00533312j -0.0261683-0.00776579j 0.067859+0.0504119j -0.0863333-0.062525j -0.0245075-0.00143873j -0.00753517+0.0363953j -0.0755697+0.0842909j 0.120384+0.0931163j 0.0361801-0.029502j -0.108349-0.174253j 
-0.0410915+0.0198038j -0.0140484+0.0249071j -0.0380613-0.184559j 0.0773583+0.0777995j 0.278019-0.0320226j 0.145453+0.00823044j -0.0744873-0.0781396j -0.176518+0.256433j -0.228229-0.108037j -0.0306632-0.330198j -0.0413047+0.12039j 0.344686+0.0737469j -0.132117+0.237475j 0.106263-0.172449j -0.101096-0.0831789j 0.059089+0.0268511j -0.0234656+0.0281869j -0.0681441-0.00588843j -0.0172616-0.0213792j 0.0528555-0.0323342j 0.00885043+0.000432024j -0.0413327-0.00333451j 0.0208112-0.0118018j -0.03619+0.00886128j -0.0364916+0.065727j 0.0065665+0.0189902j 0.00587538-0.0661667j -0.0193639-0.0266443j -0.0425339-0.101127j 0.0213724+0.0165686j -0.0362542-0.0136486j -0.0618402-0.0162858j 0.0179189-0.00240396j 0.00203426+0.00628123j -0.0177632-0.00710235j 0.0051453+0.0169842j 0.0171519-0.00635776j -0.00198365+0.012071j -0.00762632-0.0127324j 0.000421384+0.00243426j 0.0174549-0.000168373j -0.010832+0.0109819j 0.00245006+0.00460829j 0.00743403+0.00260391j -0.00562938+0.000459753j -0.00657894-0.0148082j -0.00116166+0.00348997j 0.00986972+0.00928365j 0.0307979-0.0156458j -0.0124197-0.0210628j 0.0068544+0.0152151j -0.00105478-0.00922748j -0.0045997+0.0202534j 0.0138173-0.00239803j -0.0164675-0.00259781j -0.0309533+0.00409184j 9.35769e-05+0.00454549j -0.0121766+0.0192064j -0.00439299-0.0120522j 0.00866418-0.0310092j 0.01551-0.0198823j 0.0182925-0.0115182j -0.0121153-0.0327028j -0.0158658+0.00387971j 0.0316128+0.0159567j 0.00961356-0.00240058j 0.00630214+0.0144824j -0.0145567+0.0186168j 0.00576685+0.0113094j -0.0252958+0.0179917j 0.027821-0.00378378j -0.0478477-0.00351549j 0.00119411-0.0184037j 0.0123692+0.0143891j 0.00671195+0.00420519j -0.0186102+0.0122579j -0.00706494-0.000569981j 0.0179611+0.00625494j -0.00769267-0.0242165j -0.00696267+0.0179726j 0.0155228-0.00207787j 0.0120355-0.0194747j -0.00416239-0.0256961j -0.011871+0.0091282j -0.0270934-0.00568299j -0.00502473-0.00110379j -0.0095749+0.00870304j -0.0177342-0.00516332j -0.0221923-0.00249552j 0.0102319+0.0260237j -0.00508772-0.000413655j -0.00541184+0.00972591j -0.00777754-0.00464663j -0.0103309+0.00152356j 0.0225683+0.0123597j 0.00590106-0.000910295j -0.00543593-0.0243057j 
-0.0128308-0.00107589j 0.0230262+0.0141648j -0.0450551-0.0561235j 0.0190233-0.0571915j -0.0717944+0.0882608j -0.0169511-0.39614j 0.229874+0.183882j -0.232824+0.287784j 0.0325055-0.0754581j 0.185864+0.13829j -0.284504-0.171519j 0.134728-0.525764j -0.0660063-0.287659j 0.122524+0.079984j -0.02901-0.0534713j 0.0496526-0.0250289j -0.0149025-0.0217128j -0.0138153-0.00256952j -0.03874-0.014379j -0.0425744-0.0504184j 0.0511529+0.0712241j 0.0714351-0.0626022j -0.00379214-0.049551j -0.0366343-0.00386868j 0.0158547+0.0335581j -0.0113746-0.00794433j 0.0267772+0.0168888j 0.0239115-0.00150971j -0.00438939-0.018693j 0.0211618+0.0398525j -0.026097+0.0278137j 0.0603918+0.024074j 0.00335803-0.0389676j -0.0455765+0.0307724j 0.012592-0.00546877j -0.00508063+0.0142703j -0.00325674+0.00843412j -0.0121625-0.00747261j 0.000686727-0.0055981j -0.00618691-0.000951057j 0.00197898+0.00374863j -0.00595347+0.00939347j -0.00130351-0.00483456j 0.0167024+0.00282022j -0.00757779+0.0060464j 0.000746492-0.0152099j -0.0107592-0.000191226j 0.0109304+0.0132099j -0.0198202-0.025217j 0.00731391+0.00418678j 0.0256408-0.0107838j 0.0295029+0.0182753j 0.0285644-0.0250506j -0.0179975+0.0233298j 0.00505934+0.0035495j -0.0149757-0.0296083j 0.0167442-0.00641665j 0.0119139+0.0164863j -0.00335391-0.0208453j 0.0124636+0.0043473j 0.00192205-0.012607j 0.00239004+0.0115925j 0.0127931+0.00817038j -0.0092965+0.0142901j -0.021869+0.00958525j -0.000473061-0.00615907j 0.000627529-0.0182009j 0.00862343+0.0319284j 0.00349505+0.0133604j -0.00467674+0.021221j 0.00729445+0.0165382j -0.0095658+0.013109j 0.0186033+0.00539068j -0.0133427-0.00398713j 0.0134385+0.010815j -0.0137995-0.0086284j 0.0102032+0.0132949j -0.0129051+0.0222165j 0.0043351-0.0121717j 0.0432211-0.0073572j 0.0113495+0.00530689j 0.00623668-0.0100613j 0.00925916-0.0276325j 0.018469+0.013853j 0.0129163+0.00856263j 0.010847+0.00288702j 0.00319331-0.0150324j 0.00902526-0.00358857j 0.00336379-0.00291222j 0.0102188+0.00573674j -0.00194658-0.000574008j -0.0042318+0.000243107j -0.00320979-0.00206405j -0.00471307+0.0100663j 0.00991669+0.00790467j 0.0033543-0.00282277j -0.00796881-0.0153472j 
-0.0182828+0.0442978j 0.0450394+0.0241743j -0.22635+0.0340295j 0.181698-0.0978821j -0.103292-0.330273j -0.136934+0.0554218j 0.324222+0.165633j 0.149091-0.170524j -0.112919+0.234784j -0.103568+0.0798709j -0.250765-0.0674306j 0.0287522+0.070504j 0.114667+0.230927j 0.0718432-0.0508056j -0.113385-0.0204296j 0.0893009-0.0212841j -0.0252151+0.0163519j -0.085059+0.100576j -0.0355788+0.0312656j -0.0345535-0.0296247j 0.00679784-0.0289889j 0.0396183+0.0567432j -0.0765929+0.0334444j -0.018298-0.0227407j 0.0154082-0.0497404j 0.018398+0.023288j 0.026662+0.0365823j -0.0597733-0.0052961j 0.00359686-0.0432336j 0.00400249+0.0203205j -0.0399479+0.0125343j -0.0359718+0.000658498j 0.020098-0.0197359j 0.0328873+0.0163526j -0.00373826+0.018901j 0.00103335+0.00407098j -0.018871+0.00642806j -0.0158599-0.00977659j -0.00810921-0.00673594j -0.00793126-0.00956488j -0.00124456-0.00529055j 0.001385+0.0290159j 0.00752127+0.0128705j -0.00286178-0.00380059j 0.00177994+0.00191771j -0.0226535+0.0131402j 0.00151341+0.0130635j 0.0158678-0.00627746j 0.00720794-0.0202254j -0.0190411+0.0163314j 0.00895054-0.0102811j 0.0012614-0.0176908j 0.00674906+0.0218737j 0.00368805-0.00532728j 0.029351+0.00446913j -0.00642905+0.0199521j 0.0196616+0.00291422j 0.0152951+0.018013j -0.00349946+0.0319406j 0.0213231+0.0285555j -0.0010523+0.00103561j -0.0281906-0.000543001j 0.0157616-0.0218023j -0.0159186-0.0289418j -0.021175-0.0105025j -0.0166516-0.0213355j -0.0176385-0.0150278j -0.0289679-0.00771515j 0.00127305+0.00378758j 0.000820433+0.0295321j 0.00801515-0.0123897j 0.0033326+0.0114095j 0.0145195-0.0481927j 0.00473569+0.00299634j -0.0214576+0.0118843j -0.00670436-0.0039355j 0.0143619+0.00732714j 0.00917519+0.0318982j -0.00094033-0.0107403j 0.00160452+0.0233519j -0.0134295-0.00433852j 0.00119337-0.00330596j -0.013655-0.0193466j -0.013154+0.00873179j -0.0122585-0.00369854j -0.00624698-0.010332j -0.0160324+0.0117036j -0.0126778+0.00101048j -0.00967439+0.0125881j 0.01403+0.026646j -0.0109201-0.00461764j -0.00984317-6.64988e-05j -0.00266086-0.00840206j 0.00537883+0.0195539j 0.0304299+0.00989825j 0.000181879-0.0208201j -0.0173798-0.0252629j 
0.0147169-0.0370215j -0.0374116+0.000614733j 0.079842+0.192322j -0.234319+0.0821277j 0.0257611+0.0244405j 0.118314+0.0989649j 0.0358334-0.106645j -0.16568+0.164998j -0.0566182-0.00401447j -0.0539022-0.11316j 0.057068+0.306164j 0.137351-0.139534j 0.108849+0.0607792j -0.0347893+0.0494959j -0.321824+0.0187911j -0.0248153-0.0719719j 0.0284372-0.0523828j 0.112599-0.0193431j -0.00437063+0.137251j -0.0137529+0.115772j -0.00261663+0.0082076j 0.0321557+0.0324877j 0.0267764+0.0043595j 0.0163989+0.00498226j -0.000676159+0.0543954j 0.0472709-0.00622573j 0.0419632-0.00654868j -0.0105973-0.0314206j -0.0391475-0.00943288j 0.0152774-0.0115573j -0.0332665+0.00104447j -0.0094066+0.0157326j -0.0187989+0.0293768j -0.012807+0.0335348j 0.0347549+0.0295631j 0.027749+0.0109628j -0.0175107+0.00422397j 0.00975147+0.00863391j -0.0417072+0.0213271j 0.0167218+0.0123968j -0.0292192+0.0197011j 0.0209132+0.0184043j 0.040209-0.0174825j -0.0123463-0.0188321j 0.00507866+0.0166698j 0.0212686+0.00161131j -0.00859629+0.0120027j -0.0215923+0.0013936j -0.0345347+0.0187124j 0.0134551-0.00659793j -0.00972064-0.00851416j -0.004138-0.000167102j -0.0148779+0.0145208j -0.00689664+0.0156086j 0.008189+0.00436479j 0.00778418-0.0124546j 0.000417275+0.014821j 0.00149633+0.0171398j -0.0108063-0.00700216j -0.0072014+0.0347091j 0.00797252-0.0125548j -0.0201371-0.0107187j 0.0104595-0.0413089j -0.0134193-0.0348893j 0.037396+0.0457301j -0.051476-0.0103929j -0.0359075-0.0144544j -0.0315158+0.0488809j -0.0268761-0.0616705j -0.000842381+0.00614582j -0.013474+0.0325018j -0.0480098+0.000141822j 0.00775635+0.000366926j -0.0338425-0.0205911j -0.0104306-0.0553279j 0.0127511+0.0131945j 0.021624+0.0228689j 0.000863242+0.0580611j 0.00150698+0.00502069j 0.0274621+0.0283105j -0.054677-0.0172385j 0.00312208-0.011622j -0.0206959+0.00366225j -0.0284158+0.0287394j 0.0410926-0.0109041j 0.0172288-0.017642j -0.00260418+0.0153108j 0.0133785+0.0161524j 0.0205416+0.0216476j 0.0318371+0.015829j -0.0439959-0.0287748j -0.0241686-0.0309019j -0.0106189-0.0176935j 0.0085577+0.0823104j 0.0759272+0.0313375j -0.0146181-0.0704761j -0.0726884-0.0744452j 
-0.0642736+0.0225851j 0.000600747+0.0406782j 0.160482-0.0581883j 0.179754+0.198212j -0.0286693-0.0772429j 0.0851542+0.0636664j 0.354268-0.0365062j -0.101291-0.00962527j -0.0672896+0.0760462j 0.0799509+0.00873908j -0.094736-0.0264305j 0.0403569+0.138403j 0.0181098+0.049839j 0.337985+0.0317459j -0.145024+0.244735j 0.0301259+0.0457483j -0.119455-0.0368372j -0.0796739-0.133924j 0.124668+0.0109987j 0.0902884+0.00342252j 0.0171472-0.031825j 0.0839997+0.0187575j -0.0457611-0.0112426j 0.00354139-0.00831407j 0.0381976-0.032368j 0.0345598-0.00239376j 0.0877508-0.0282459j -0.029977+0.0348725j -0.00394962-0.0134417j 0.0354664+0.0261134j -0.00832686+0.0195506j -0.0229267-0.00371229j 0.00693633-0.0235948j 0.0246948-0.0091636j 0.0143316-0.0471887j 0.0165013-0.0388032j 0.0150377+0.0289529j -0.0149128+0.012424j -0.0103016+0.0259798j 0.0303059-0.0168959j 0.0220568+0.0139372j 0.0212013-0.00109489j -0.0343249-0.0298119j -0.052699-0.00265464j 0.0324572+0.00456376j -0.0245245-0.0020957j 0.0159805-0.0118652j -0.038471+0.0313239j 0.0357497+0.0473742j -0.0269911+0.0248513j 0.010813+0.0217432j -0.00349458+0.0103515j 0.0103993-0.00193785j -0.0364896+0.0430173j 0.0250352-0.0209463j 0.00705042-0.00489526j 0.022303+0.0193979j -0.00256116-0.0193022j -0.0228844-0.0316043j -0.0210832+0.0179372j -0.00803821+0.00503441j -0.00597187-0.0404864j 0.0181007+0.016911j -0.0395793+0.022257j -0.0106989+0.0348899j -0.00794234-0.0375748j 0.0242998+0.00247898j -0.00661222-0.016823j 0.0438996-0.0188553j -0.00900958-0.0144866j -0.0286007-0.014461j -0.00650739-0.0228083j 0.0174588-0.0415206j 0.0359186-0.0510551j 0.026122-0.0010657j 0.000134722+0.000837666j -0.0109498+0.0250574j -0.0427011-0.0490015j -0.00016044+0.0119784j -0.027068-0.0144425j -0.0138509-0.00344161j -0.00843763+0.0474539j -0.0146596-0.0251319j 0.0140712-0.02774j 0.0329617+0.0315282j -0.0246121-0.0267679j 0.00526105+0.0291787j -0.00704135+0.0155789j 0.014958+0.00582447j -0.0504276-0.035614j -0.0237022+0.0342749j -0.00434206-0.0248061j 0.0174919+0.0249932j 0.0915606+0.0244134j -0.0252899-0.0763375j -0.0666606-0.0700899j 0.030866+0.0841326j 
-0.0013445+0.0111289j -0.0168738+0.0799284j 0.043941+0.0145383j 0.0121627+0.0146953j -0.00805306+0.0237959j 0.00271401-0.00670698j 0.0110244-0.0125309j 0.0338336-0.00312408j 0.052949-0.0124461j -0.00119532+0.0702036j -0.0106116+0.026579j -0.0187346+0.00496735j -0.00570525-0.0202261j -0.00164642+0.0329585j -0.0340123-0.022426j -0.0251654-0.0391454j 0.0181753-0.031755j 0.110586+0.0431383j -0.0953253+0.0795591j 0.0700453-0.0665808j -0.0741453+0.019486j -0.116393-0.106095j 0.0526369-0.0178504j -0.00578509-0.0223485j -0.136137+0.102803j -0.0578448+0.12792j -0.117168-0.103706j -0.0065923+0.110965j -0.111081-0.227417j 0.0392739+0.13322j 0.210439+0.0603224j -0.223327+0.128442j 0.193264-0.273814j 0.256588+0.145843j 0.000959431-0.193526j -0.0562186+0.0737569j 0.0850648+0.0617645j 0.0581202-0.00210259j 0.110878+0.0146534j -0.0395365-0.0188928j 0.00516102+8.63051e-06j 0.0158046+0.0814626j 0.0762834-0.00275237j 0.031868+0.0161628j -0.0833253+0.0020732j 0.000715734-0.0125933j 0.0423929+0.0270052j 0.0512444-0.0181646j 0.00988587-0.0100861j 0.0445641-0.0122142j -0.00776053+0.0364438j 0.0160512-0.0114423j 0.0047122+0.00544733j 0.0430477-0.00255846j 0.0276152-0.0170924j -0.000680648+0.0100627j -0.0241659+0.0884225j -0.051171-0.00575065j -0.0238228-0.0328134j 0.0183654-0.0286971j 0.000802248-0.0323706j -0.0192807-0.00610951j 0.0190432-0.0147869j -0.00506514-0.0214637j 0.0250674-0.0135271j 0.00332795+0.0332795j 0.0595593-0.042987j -0.00703955+1.67886e-05j 0.043111+0.00436412j -0.0311492+0.00219816j 0.00385962-0.027074j 0.0284168+0.0080865j -0.00281963-0.0435973j 0.0703452+0.0146771j 0.0342819+0.0263382j -0.0565934-0.0584684j -0.0142339-0.0116398j -0.00767834-0.0333109j -0.0409922-0.00501924j -0.000708025+0.0433661j -0.00922744+0.0535316j -0.0717394-0.0492499j 0.0102598-0.0792554j 0.0270221-0.0520661j -0.0332446+0.00521352j -0.0457644-0.0688169j -0.0592745-0.0274649j -0.0288695-0.00657548j -0.110605+0.00919638j -0.015549+0.106718j -0.0425024+0.0649267j -0.00358441+0.027127j 0.0204209+0.00912095j 0.0497749+0.00211948j 0.0488724-0.0332824j -0.0452831-0.0417443j 0.0249685-0.000201739j 
-0.0645396+0.0649864j -0.00538589+0.0146732j 0.019859-0.0537541j 0.0510597-0.0128325j 0.038025+0.0425847j -0.0569759-0.0697014j -0.0701239+0.0358132j -0.0117328-0.00657761j 0.0169096+0.0413181j -0.0332031-0.0429753j -0.0134609+0.00372961j -0.0165787+0.00468672j 0.0229734-0.0347675j 0.00527397+0.0311406j 0.035821+0.0239605j -0.0213798+0.000262378j 0.032598-0.0172399j 0.123171-0.00379394j 0.047338+0.155254j -0.0140248-0.069167j -0.222479-0.0135009j 0.0419784-0.0996364j 0.00508624+0.172015j -0.195013+0.0210062j 0.109381-0.0169324j 0.0585918-0.32165j 0.0670794+0.0396213j -0.0909004-0.0497485j 0.338517+0.00121915j 0.0849211+0.308862j -0.0434803-0.096841j -0.0039755-0.172838j -0.00485972-0.103649j 0.0642294-0.120213j -0.269113+0.0551198j -0.044798-0.085385j 0.0244921-0.0207691j 0.00438864-0.0116999j 0.0173768-0.069419j 0.0296248+0.00721983j -0.0153221-0.0401308j 0.061329+0.0291561j 0.0838987-0.0429168j 0.0194386-0.00456798j -0.0464073+0.0564255j -0.0154877+0.00815931j 0.0619583-0.036042j -0.00205235+0.0231518j -0.00875455+0.0226012j -0.0139041+0.0245806j 0.00608524+0.0322987j 0.0156472+0.002346j -0.0050569+0.0209823j -0.00566951+0.0494933j -0.00971668+0.00107728j -0.0173076+0.00870262j -0.000494609+0.0158393j -0.01234+0.00266465j -0.020495+0.06558j 0.0138545-0.0433022j 0.00254774-0.0158698j -0.0330425+0.00437735j -0.0494954-0.0238753j -0.0332685-0.0358647j -0.0298966-0.053794j 0.0016162+0.0217014j -0.0469761-0.0448388j 0.00723711+0.028405j -0.023725-0.0135796j 0.00497073-0.00395325j 0.0561359+0.0364184j 0.00243133+0.0282083j -0.0191201+0.00559825j -0.0114158+0.0384941j 0.00982272+0.0150399j 0.0301228+0.00563005j -0.0274171+0.0025842j -0.00598597+0.0388567j 0.0259477-0.0155981j 0.0262631+0.0205127j 0.00570238+0.016834j -0.0483942+0.00548723j -0.0479094-0.0304181j -0.0104093-0.0173838j -0.0184748-0.00252814j -0.0713635-0.00227704j -0.0329234+0.0423135j 0.00128551+0.0289705j -0.0223828+0.0811088j 0.0345128+0.0378991j 0.0430205+0.0276528j 0.000117601+0.000185171j 0.00196254-0.0135936j 0.0357052-0.0143601j 0.0163572+0.0109131j 0.00383852-0.0191762j 0.0187082+0.0137651j 
0.0238972-0.00704569j 0.015738-0.0123699j -0.0225357+0.00637957j -0.0376823-0.0118471j -0.0147789+0.028307j -0.0205219-0.0337935j -0.0140572+0.0689601j 0.01982+0.0298899j -0.0572088+0.0174345j 0.0535625+0.023179j 0.0170051+0.00410587j -0.016643-0.0254263j 0.015571-0.00764727j -0.0325773+0.00125591j 0.029436-0.0223343j -0.0146859-0.00604688j -0.0056986-0.000155913j -0.0493692-0.0212384j 0.0162889-0.0303476j 0.0245172+0.00102768j -0.155291-0.00847277j -0.0909271-0.122267j 0.0202201-0.0966607j 0.168446-0.208637j -0.134075-0.178026j 0.344715-0.16787j 0.11943+0.0500299j 0.114901-0.195697j -0.041163+0.0805828j -0.0310565-0.145773j -0.0289437-0.138761j -0.266483+0.262392j -0.187782-0.0602943j -0.109927+0.350574j -0.0761165+0.0167786j 0.0624341+0.0344644j -0.0528076-0.0209433j -0.0195252+0.031839j -0.0871505-0.0590841j 0.00752675-0.0206465j 0.0107447+0.00700669j -0.0124525+0.00612369j -0.0464964+0.0145743j -0.0067514+0.00273965j 0.0194508+0.000819268j 0.00662585+0.0176099j 0.0302221-0.0624485j -0.00531124+0.0112547j 0.00840888-0.0268411j -0.0217791-0.0250289j -0.0583062-0.00294928j 0.0406214+0.0122623j 0.0455493+0.0241271j 0.0335397+0.0755745j 0.0465033-0.000291537j -0.0187128+0.0197989j -0.0946988+0.0915122j -0.00110647-0.000478674j 0.00971301+0.0283636j 0.0082302+0.0408611j 0.000801272-0.0298607j 0.0063826-0.000329242j -0.0042288-0.0485792j 0.0452996+0.00279019j 0.00512468-0.0161641j -0.0286023+0.06201j -0.0471944-0.00977891j -0.00625427-0.0024355j -0.0219055+0.0224262j -0.0128877+0.0334421j 0.000984697-0.0472804j -0.000987017-0.0413884j -0.023195+0.010229j 0.0156233-0.013986j 0.0155965-0.0203734j 0.0423506+0.018469j -0.00850859-0.0128957j 0.0112673-0.0322286j 0.0228513+0.0902925j -0.022616+0.00880161j -0.0170742-0.033544j 0.041657+0.0167082j 0.000387262-0.0510729j 0.0288632+0.00245947j 0.0111772-0.0284883j -0.00246073+0.0372177j 0.00769927+0.00855451j -0.00382879-0.00877101j -0.0430217+0.00838052j -0.00834183-0.00880525j 0.0113013-0.0275282j -0.0119076-0.00505142j 0.00733394+0.00256224j -0.00355957-0.00851544j 0.0110471-0.0085169j 0.00253688-0.00362732j -0.00203286+0.00922204j 
-0.0195084+0.0211021j 0.0185598+0.0257104j -0.0063064-0.0222835j 0.0221585-0.0286497j -0.0341371-0.00538463j -0.00851894-0.0340698j -0.0470589+0.0293699j -0.0226103-0.00398229j -0.0291376-0.0534708j -0.00933394+0.0573114j -0.0505428+0.00300592j -0.0490255+0.0254515j -0.0195609+0.0205748j 0.0175323-0.00238152j 0.00731826+0.00369274j -0.0291235-0.0115584j 0.0112858+0.000333802j 0.0430766-0.0397267j 0.0312602+0.0871952j 0.0129375+0.0967253j 0.0913314-0.214906j 0.0199726-0.0275286j 0.165091+0.186523j -0.34951-0.307339j 0.125928-0.28231j 0.0732208+0.0147965j -0.174008-0.0111257j -0.128026-0.119177j -0.130863-0.179806j -0.0546765-0.202308j 0.100856-0.203763j 0.174321+0.0496426j 0.215635+0.0318391j -0.213414-0.0464385j -0.103211-0.0259365j -0.0845938-0.0289813j 0.0461382-0.0372909j 0.0397923+0.0327641j 0.0334152-0.0312871j -0.00672231+0.0074599j 0.00199204+0.0220032j 0.049856+0.0187531j 0.0276865+0.0268893j -0.0186487-0.0252981j 0.0436378+0.0715772j -0.0199915-0.0335599j 0.0363864+0.0921123j -0.0285161-0.0528803j 0.055621+0.0185406j 0.0636103+0.00451102j -0.0483493-0.024619j 0.0217957+0.0177698j 0.0806991+0.0275399j 0.0420221-0.00163469j -0.00366993-0.0130527j 0.0143738+0.012257j 0.0126159-0.0315821j 0.0204643+0.0811486j -0.0183638+0.0120671j 0.0467676+0.0276822j 0.034966+0.0172921j 0.0156213+0.0184361j 0.000867697-0.0155367j 0.0071208+0.0295002j 0.0119917-0.0198271j 0.0159619+0.0329017j 0.0275334-0.0180129j 0.0164364-0.0033363j 0.018596-0.000628672j 0.0302146+0.0446235j 3.06982e-05-0.00831816j -0.0317743-0.0305811j 0.0353388+0.0178973j 0.00155943-0.0244552j 0.00346624-0.000644434j -0.00314281+0.0135855j -0.00376693+0.0202792j 0.0079597+0.0082416j -0.0341354-0.0540567j -0.011598-0.0182172j -0.0233635-0.00637738j -0.0269279+0.0459117j 0.0311648+0.0251042j 0.0194436-0.0396856j -0.0180489+0.0634367j 0.0010483-0.00885932j -0.00821201-0.00200907j 0.0167345-0.00546616j 0.00230013-0.0248608j -0.0116107+0.0210609j -0.0100399+0.0293318j -0.00748157-0.0019609j -0.00717253-0.00291428j 0.00487287+0.00558561j 0.00586585-0.000800358j -0.00487288-0.0104522j 0.00796838-0.0012817j 
