-0.410258-0j 0.499525-0j -0.29614-0j -0.0509611-0j -0.0594546-0j 0.108057-0j 0.0511883-0j -0.0214583-0j -0.0320287-0j -0.00462295-0j -0.0361803-0j -0.00522218-0j 0.0290672-0j -0.0298472-0j 0.00419549-0j 0.0767161-0j -0.00430808-0j 0.0209818-0j 0.011073-0j -0.00681309-0j 0.00302847-0j -0.000983384-0j -0.0237233-0j -0.00419372-0j -0.000349477-0j -0.0262569-0j -0.0046416-0j 0.0204249-0j -0.0003868-0j -0.0138386-0j -0.020973-0j 0.00361065-0j 0.023829-0j -0.00244634-0j -0.00370754-0j 0.000300887-0j 0.0423989-0j -0.000203862-0j -0.0141269-0j -0.000308961-0j 0.0444708-0j 0.00421242-0j 0.00749514-0j 0.00860036-0j 0.000351035-0j -0.0024973-0j 0.00786139-0j 0.000624595-0j -0.00228019-0j -0.000208109-0j 0.000655116-0j 0.00152034-0j 0.000126695-0j -0.000403085-0j -3.35904e-05-0j 
0.41451-0j -0.498328-0j 0.274019-0j 0.0514892-0j -0.0583606-0j 0.0367857-0j -0.0525406-0j 0.103518-0j 0.0323607-0j 0.00467086-0j -0.0355146-0j -0.00512609-0j 0.0298472-0j -0.0301443-0j 0.00430808-0j -0.0253729-0j -0.00435096-0j 0.0197311-0j -0.00366226-0j 0.072809-0j 0.00284793-0j 0.0105091-0j 0.0239691-0j 0.00423718-0j 0.000353099-0j -0.0257737-0j -0.0045562-0j 0.020973-0j -0.000379683-0j 0.013982-0j -0.0211817-0j 0.00370754-0j -0.0237719-0j 0.00247169-0j -0.00374444-0j 0.000308961-0j 0.00865092-0j 0.000205974-0j 0.0130717-0j -0.000312037-0j -0.015133-0j -0.00420232-0j 0.00152928-0j 0.042166-0j -0.000350194-0j 0.00231076-0j -0.00267516-0j 0.00012744-0j 0.0422126-0j 0.000192564-0j -0.00022293-0j 0.00745396-0j 0.000621163-0j 0.0074622-0j 0.00062185-0j 
-0.0958383-0j 0.0594546-0j 0.0346818-0j -0.282311-0j 0.656979-0j -0.201693-0j -0.288193-0j -0.118873-0j 0.00375098-0j -0.0517613-0j 0.00423718-0j -0.0584706-0j -0.00690094-0j -0.00697245-0j 0.0952289-0j 0.00302719-0j 0.0962157-0j 0.0024973-0j -0.0417734-0j 0.000797901-0j -0.0344613-0j -0.0110106-0j 0.0027783-0j -0.0232321-0j -0.00588989-0j 0.00307502-0j -0.0257133-0j 0.00243102-0j -0.00651892-0j -0.00808619-0j 0.00245621-0j -0.0203281-0j -0.00565733-0j 0.0676167-0j -0.0205388-0j -0.00515366-0j 0.00100274-0j 0.0171424-0j -0.00330011-0j -0.00520706-0j 0.0017548-0j 0.0473065-0j -0.00838492-0j 0.00102363-0j 0.0119933-0j 0.0275955-0j -0.0146736-0j -0.00212577-0j 0.00026704-0j 0.00699609-0j -0.00372011-0j -0.00855961-0j -0.00217006-0j -0.00223299-0j -0.000566114-0j 
-0.0594546-0j 0.0010304-0j 0.0840006-0j 0.349342-0j 0.00580122-0j -0.740739-0j 0.34091-0j -0.43292-0j -0.0046416-0j 0.0640513-0j -7.46315e-05-0j 0.00102987-0j 0.00421242-0j 0.00420232-0j -0.0581289-0j 0.000158247-0j -0.0579896-0j -0.00595153-0j -0.00218372-0j 0.00387914-0j 0.0821276-0j -0.0535298-0j -0.00343798-0j 0.0287483-0j 0.00728837-0j -5.41617e-05-0j 0.0004529-0j 0.00295997-0j 0.000114821-0j -0.00200549-0j 0.00295288-0j -0.0247513-0j 4.91537e-05-0j 0.0167698-0j -0.0246919-0j -0.00627502-0j 0.00614444-0j 0.00425155-0j 0.00400711-0j -0.00625998-0j -0.00626123-0j -0.000411023-0j -0.0513798-0j -0.00366813-0j -0.000104204-0j -0.0335074-0j 0.0523564-0j -0.013026-0j 0.001624-0j -0.00849492-0j 0.0132736-0j 0.0306728-0j 0.00777628-0j -0.0135799-0j -0.00344282-0j 
0.0346818-0j -0.0840006-0j 0.0969321-0j -0.203783-0j 0.465341-0j -0.14559-0j -0.190515-0j -0.0998439-0j 0.0027076-0j -0.0373633-0j -0.00598652-0j 0.0826104-0j 0.0024973-0j 0.00231076-0j -0.0344613-0j -0.00427697-0j -0.0318872-0j 0.0069797-0j 0.0590197-0j -0.00746242-0j -0.0963157-0j 0.102977-0j 0.00200549-0j -0.0167698-0j -0.00425155-0j -0.00434455-0j 0.0363291-0j 0.0017548-0j 0.00921027-0j 0.00116987-0j 0.00162372-0j -0.0146736-0j -0.00400711-0j -0.00978241-0j -0.0135775-0j -0.00372011-0j 0.000723818-0j -0.00248007-0j 0.00462399-0j -0.00344223-0j 0.00116004-0j 0.0335074-0j -0.00605256-0j 0.000859768-0j 0.00849492-0j -0.0386657-0j -0.00970027-0j -0.00153447-0j -0.00852693-0j -0.00980267-0j -0.00245924-0j -0.00718937-0j -0.00182267-0j 0.0713021-0j 0.0180767-0j 
0.0292381-0j 0.0361803-0j 0.0211052-0j -0.0109613-0j 0.00423718-0j 0.00259473-0j 0.00370754-0j 0.00152928-0j -0.219619-0j 0.000329466-0j 0.748747-0j -0.00112325-0j -0.202561-0j -0.204661-0j 0.000303877-0j -0.177241-0j 0.000307026-0j -0.146217-0j 0.000265892-0j -0.0467169-0j 0.00021935-0j 7.00834e-05-0j 0.0016907-0j -0.0287561-0j 2.49064e-05-0j 0.00187126-0j -0.0318272-0j -0.00446486-0j 2.75663e-05-0j 0.000986242-0j -0.00451113-0j 0.07594-0j 0.00172592-0j -0.0167744-0j 0.076727-0j -6.57736e-05-0j 0.000610206-0j 1.45287e-05-0j 0.00100679-0j -6.64552e-05-0j 0.00106786-0j -0.0293552-0j -0.0103786-0j 0.000622919-0j 2.54253e-05-0j -0.0171239-0j -0.0181626-0j 8.98919e-06-0j 0.000162504-0j 1.48314e-05-0j 1.57311e-05-0j -0.0105948-0j 9.17646e-06-0j -0.00276393-0j 2.39391e-06-0j 
-0.00422016-0j -0.00522218-0j -0.00304627-0j -0.15126-0j 0.0584706-0j 0.0358058-0j 0.0511618-0j 0.0211032-0j -0.000329466-0j -0.212761-0j 0.00112325-0j 0.725367-0j -0.000303877-0j -0.000307026-0j -0.196236-0j -0.000265892-0j -0.19827-0j -0.00021935-0j -0.171707-0j -7.00834e-05-0j -0.141651-0j -0.0452581-0j -0.000244032-0j 0.00412432-0j -0.0492864-0j -0.000270094-0j 0.00456478-0j 0.000644447-0j -0.0545501-0j -0.000142352-0j 0.000651125-0j -0.0108916-0j -0.000249116-0j 0.00240585-0j -0.0110045-0j 0.130157-0j -8.80757e-05-0j -0.0287504-0j -0.000145317-0j 0.131506-0j -0.000154132-0j 0.00421024-0j 0.00148854-0j -8.99106e-05-0j -0.0503132-0j 0.00245597-0j 0.00260495-0j -0.0177884-0j -2.34554e-05-0j -0.0293494-0j -0.0311297-0j 0.00151956-0j -0.018159-0j 0.000396414-0j -0.00473722-0j 
0.0680413-0j -0.000600815-0j 0.048194-0j -0.00423718-0j 0.000140353-0j -0.00302719-0j 0.00420232-0j 0.0052509-0j 0.256222-0j -0.000384377-0j 0.00411975-0j -6.18034e-06-0j -0.47139-0j 0.462716-0j 0.000707166-0j 0.00294329-0j -0.000694154-0j -0.333888-0j -4.41545e-06-0j -0.214133-0j 0.000500889-0j 0.000321237-0j -0.00197248-0j 0.0335488-0j -2.90574e-05-0j -3.10744e-05-0j 0.000528526-0j -0.00172592-0j -4.5777e-07-0j 0.00574087-0j 0.00169417-0j 0.0293552-0j 5.71698e-05-0j -0.097643-0j -0.0288151-0j -2.54253e-05-0j -0.000711907-0j 8.4571e-05-0j -0.00458584-0j 2.49574e-05-0j 0.00121037-0j -0.000972366-0j 0.0121084-0j 0.00213884-0j 8.42191e-07-0j 0.0779977-0j -0.0205865-0j -1.04874e-05-0j 0.000931747-0j -6.75558e-05-0j 1.78305e-05-0j -0.0363782-0j 3.15081e-05-0j -0.0158475-0j 1.37259e-05-0j 
-0.0208887-0j 0.0767161-0j -0.0150783-0j -0.00259473-0j -0.00302719-0j -0.00173578-0j 0.00786139-0j -0.00109257-0j 0.156903-0j -0.000235382-0j 0.177241-0j -0.000265892-0j -0.429508-0j 0.146217-0j 0.000644336-0j 0.118567-0j -0.00021935-0j -0.310035-0j -0.000177872-0j 0.0333762-0j 0.000465106-0j -5.007e-05-0j -0.00120789-0j 0.0205443-0j -1.7794e-05-0j -0.00133689-0j 0.0227384-0j 0.00313682-0j -1.96943e-05-0j -0.000704605-0j -0.00106786-0j -0.0533522-0j 0.00365962-0j 0.0119842-0j 0.0181626-0j 4.62097e-05-0j -0.00554218-0j -1.03798e-05-0j -0.000719285-0j -1.57311e-05-0j -0.000714357-0j -0.0622442-0j 0.0942635-0j 0.00132083-0j 5.39113e-05-0j 0.0122339-0j 0.0121501-0j -8.1644e-05-0j -0.000116098-0j -1.05961e-05-0j -1.05235e-05-0j -0.0224651-0j 1.94576e-05-0j 0.00197464-0j -1.71029e-06-0j 
-0.00982092-0j 8.67202e-05-0j -0.0069562-0j -0.0584706-0j 0.00193679-0j -0.0417734-0j 0.0579896-0j 0.0724593-0j 0.000384377-0j 0.248221-0j 6.18034e-06-0j 0.00399111-0j -0.000707166-0j 0.000694154-0j -0.45667-0j 4.41545e-06-0j 0.448268-0j -0.000500889-0j 0.00285138-0j -0.000321237-0j -0.323462-0j -0.207447-0j 0.000284704-0j -0.0048117-0j 0.0575008-0j 4.48521e-06-0j -7.58034e-05-0j 0.000249116-0j 0.000905866-0j -0.000828623-0j -0.000244532-0j -0.00421024-0j -8.25175e-06-0j 0.0140044-0j 0.00413277-0j 0.0503132-0j 0.000102755-0j -0.167355-0j 0.000661909-0j -0.0493875-0j -0.000174702-0j 0.000139461-0j -0.00173664-0j -0.000308715-0j -0.00166658-0j -0.0111868-0j 0.0029526-0j 0.0207531-0j -0.000134486-0j 0.133684-0j -0.0352841-0j 0.00521751-0j -0.0623503-0j 0.00227292-0j -0.0271618-0j 
0.0298472-0j 0.035307-0j 0.0197311-0j 0.00370754-0j -0.00420232-0j -0.00786139-0j 0.00372255-0j 0.00745396-0j -0.224194-0j 0.00033633-0j 0.246045-0j -0.00036911-0j 0.203464-0j 0.20884-0j -0.000305232-0j -0.521709-0j -0.000313295-0j 0.134504-0j 0.000782654-0j -0.504421-0j -0.000201779-0j 0.000756718-0j 0.00172592-0j -0.0293552-0j 2.54253e-05-0j -0.00185587-0j 0.0315653-0j -0.00148596-0j -2.73395e-05-0j 0.00100679-0j -0.00152521-0j 0.0252738-0j 0.00168427-0j -0.0171239-0j 0.0259414-0j -2.18902e-05-0j -0.00308462-0j 1.48314e-05-0j 0.000941239-0j -2.24685e-05-0j 0.00323404-0j -0.0286466-0j 0.0524644-0j -0.0029875-0j 2.48116e-05-0j -0.016009-0j -0.0550058-0j -4.54407e-05-0j 0.00303956-0j 1.38658e-05-0j 4.76419e-05-0j 0.0508126-0j -4.40101e-05-0j -0.0516981-0j 4.4777e-05-0j 
