-0.0128+0.000983563j 0.0184692+0.054152j 0.0341499+0.0082819j 0.0669867-0.0910842j 0.00251605+0.000289744j 0.0105398+0.0382315j 0.0193979-0.0457014j -0.028261-0.0354515j 0.000994398-0.0211608j 0.0263124-0.046508j 0.025126+0.0457807j 0.00849777+0.0307106j 0.00902361-0.0804566j 0.000164624+0.00467994j 0.0222633-0.0284292j 0.0677533+0.0452172j -0.00898355+0.0195161j -0.0361071-0.0193775j -0.0116569+0.00191389j -0.0115361-0.0763329j -0.000346763+0.0149671j 0.0196395-0.0435169j 0.094343-0.00449982j -0.0175064-0.0319572j 0.0331434-0.00458175j 0.0244254-0.0547021j 0.00383285+0.0282163j -0.02024-0.0434129j 0.0621451+0.0534227j -0.00290904+0.0291683j 0.0240514-0.00549587j 0.0111017+0.111946j 0.0528666+0.0421266j -0.00801008-0.0515658j 0.0169592-0.00717676j -0.00782571+0.0129842j 0.0105823+0.0128999j 0.0329517-0.0448741j -0.00145199+0.0111267j 0.00929553+0.0160563j -0.000262436-0.0174506j -0.0300451+0.0208506j -0.0235981-0.0208312j 0.0158596+0.0121974j -0.00128586+0.0383133j -0.0162412+0.0502749j 0.0167402-0.00142792j 0.0144313-0.0198729j 0.0233385-0.0243412j -0.032324-0.0654898j 0.060223-0.0615395j 0.0484439+0.00905556j -0.0508179-0.0759965j 0.0256541+0.0241964j 0.0741315+0.0219004j -0.0446879+0.0551653j 0.0567466-0.00729791j -0.0195588-0.109673j 0.0466039-0.0767955j 0.0552436+0.0713451j 0.00434533-0.0210837j 0.0777405+0.0236289j -0.0124773+0.0159028j -0.00351111-0.00743539j 0.0210807+0.0541029j -0.0532973-0.0677682j -0.0326081-0.0284166j 0.0987432-0.0368045j 0.138019+0.138455j -0.0808586+0.0352005j 0.140453+0.211319j 0.050853-0.0272177j 
-0.0216281-0.0607307j -0.00981469-0.000400283j 0.0597638-0.0769833j -0.0311793-0.00589048j 0.0172211-0.007212j 0.0261882+0.0359118j 0.00688465-0.0383518j -0.0209328+0.093212j 0.02184-0.00758763j -0.00490116-0.0246636j 0.0116545+0.0409722j -0.0234973-0.0122008j -0.0120155-0.000493407j -0.0222082-0.00108505j 0.0148346+0.0413288j -0.0325831+0.0565458j -0.0463257+0.0294474j 0.0167537+0.00921401j 0.0246324-0.0281701j 0.0893829+0.00442751j 0.0398272-0.0122964j 0.0086605+0.0410986j 0.0260149+0.0917891j 0.0462125+0.0329711j 0.00181771+0.0205824j 0.0440919-0.00620193j 0.00190451+0.0199132j -0.0110411-0.0239823j -0.00371074-0.0751304j 0.0585105+0.0393073j -0.0150764-0.113616j 0.0290248+0.0118681j 0.00264398-0.046898j -0.0515808-0.026668j -0.00313064-0.0112586j 0.0205327+0.0206905j 0.0352659-0.0289795j -0.00913544+0.00347676j 0.0275751+0.000124156j 0.0334116-0.0238231j 0.0131122+0.00520595j -0.0214795+0.0264312j -0.00399551+0.00212055j -0.000854633-0.0171621j 0.0202718+0.0440447j -0.0150228+0.0635047j -0.0102701+0.0164516j 0.0346957+0.0404967j 0.0173024+0.0105168j 0.0122402+0.0229815j 0.0353582+0.0568226j 0.0238581+0.0222333j 0.052271-0.0553581j -0.0482324+0.0457287j -0.00289554+0.0692537j -0.00414971-0.0736383j 0.00792509+0.0423396j 0.105733+0.00279999j 0.0539997+0.0590361j -0.044906+0.0780221j 0.0834637+0.0622483j -0.0365346+0.0112076j 0.0227369-0.0219737j 0.00433092-0.0562763j 0.0337563-0.0525139j -0.0186435-0.00160108j -0.10393-0.0727657j -0.0513585-0.0775963j 0.0914264-0.0526531j 0.129478+0.1186j 0.0454128-0.0268125j -0.144422-0.211654j 
0.00158601+0.0566711j 0.0274402+0.0308208j -0.0584512+0.0272741j 0.0868864-0.048316j 0.0202549-0.0659439j -0.0879083+0.0621019j -0.0573692+0.0654385j 0.0467798+0.00766775j 0.01174+0.0906347j 0.044436+0.142991j -0.0181424+0.0204798j -0.00210441-0.0381023j -0.00326198-0.166055j 0.00734535-0.0323738j 0.094409-0.0184568j 0.0154407-0.189745j 0.240398+0.0489792j -0.159671+0.0240882j -0.137133-0.036505j -0.0902582-0.220869j 0.129306-0.0207475j 0.0362431-0.164344j 0.0287038-0.0119147j 0.089173+0.127559j 0.147155+0.00631103j 0.246512-0.183573j 0.0943263+0.193494j -0.0973972+0.150507j 0.163997+0.0902328j -0.0554584+0.11251j -0.0268431+0.0264086j 0.129762+0.0339687j 0.048667+0.102774j 0.0278376-0.00174799j -0.0104119+0.0232081j -0.0503814-0.00658454j 0.00409228+0.0104892j -0.0155064+0.0323938j 0.0260513+0.0189624j -0.0421634-0.00490194j -0.0608263+0.00612067j 0.0225035-0.0476792j -0.00602896+0.0137904j -0.0118865+0.010969j -0.0205787-0.0125589j 0.0165995+0.0100732j 0.0203891-0.0227865j 0.0172086-0.0124702j -0.0451247-0.00314281j -0.0201142-0.033323j -0.0110868+0.0529834j 0.0334674+0.0312522j -0.0249576+0.0241669j -0.0487941-0.0120775j 0.0411801-0.0694778j -0.0468917+0.00137268j 0.0043409-0.0273517j 0.0893762+0.0181748j 0.00532474+0.0480204j 0.00938139+0.0835532j -0.0231036-0.0353254j -0.0318584-0.03981j 0.0711114-0.0241036j 0.051086+0.0114049j 0.00776966+0.0840499j 0.065342+0.0343757j -0.0236753+0.0277655j 0.0382489-0.0300548j 0.00236668+0.000204047j -0.0353292+0.0438797j 0.0350991+0.0260407j -0.0118291+0.0106246j 
-0.0337122-0.00607738j -0.0294151+0.085502j 0.0818515+0.0748507j 0.0451846-0.0301478j -0.0782152-0.0497446j 0.0493023+0.11505j -0.0045334+0.0182554j -0.0356832+0.0550065j 0.249067-0.127997j -0.00711516-0.0229856j 0.137908+0.0920116j -0.138631+0.14715j 0.206105+0.25731j -0.0826509-0.0334167j -0.188548+0.0548788j -0.0449662-0.075967j 0.048144+0.219655j 0.0270657+0.122039j 0.21173-0.0335788j 0.146015-0.00108197j -0.00949507+0.131094j -0.0435104+0.154455j 0.0707922+0.172072j -0.027522-0.0316119j -0.00237561+0.00276608j 0.0464627-0.271621j 0.225869-0.140811j 0.0504923+0.0149852j 0.0827853-0.0894128j 0.175322+0.012094j -0.148921-0.0873001j 0.0189985-0.0114044j 0.0456234+0.0224855j -0.00305559-0.0766374j 0.00854946+0.0120287j -0.0280753+0.0115467j 0.0164052+0.0272511j 6.7881e-06-0.0188489j -0.0112024+0.00480609j -0.021556+0.0511029j -0.0328662+0.0333401j -0.0172845-0.00344113j -0.0161277+0.0535461j -0.0211156-0.00690648j 0.00173993+0.0170297j 0.0487975+0.0212695j 0.0717366-0.0373631j -0.0274702-0.0431092j 0.0191067-0.0782905j -0.0194928+0.0127282j -0.00902125-0.00111892j 0.00783847-0.0122694j 0.0582698+0.0299201j 0.00768374-0.027643j 0.0516903-0.00236214j 0.00897615-0.0125922j 0.0224476+0.0569776j 0.0497651+0.0339387j -0.0139903-0.0328309j -0.0367396+0.036854j 0.0126851-0.0340719j -0.037377-0.0296843j 0.00731581-0.0436709j 0.0482907-0.0111618j 0.100494+0.0366382j 0.0337244-0.063259j 0.0197313+0.0531895j -0.0214612-0.0301564j 0.032461-0.03066j -0.0298116+0.00874679j 0.00895828+0.0261462j -0.028423-0.0144677j 
0.0384267+0.00585125j -0.00579968+0.00491436j 0.0203519-0.00787626j -0.0472972+0.00131342j 0.00566282+0.030428j -0.00757808-0.0647296j -0.161916+0.0382494j 0.130708-0.00909345j 0.0857812+0.0606278j -0.0726059-0.0169977j -0.0813772+0.0359006j -0.02462-0.0628333j 0.0203979+0.215262j 0.18942-0.108551j -0.118626+0.0232188j -0.207481+0.133663j -0.169981-0.125674j -0.046383-0.0519618j 0.101789-0.21157j -0.0729902+0.105274j -0.0520811-0.176223j -0.0146142-0.117001j -0.133307+0.0312593j 0.0731224-0.0877885j 0.104251+0.0762002j 0.011814-0.0712935j -0.0554462+0.0605909j 0.179631+0.0484295j -0.194262+0.00954263j 0.00918276-0.120721j -0.0476579-0.0244752j -0.0707953-0.107279j -0.034862-0.0334747j 0.00370719+0.0343253j 0.00399138+0.00466879j 0.00957262-0.0140469j 0.0283349-0.0487585j -0.0256121-0.0206968j 0.00874573+0.0149806j 0.0255454-0.0350544j 0.0125004-0.00886367j 0.0101439+0.00114144j -0.0398918-0.012512j -0.0411177-0.0158354j -0.0376806-0.00448173j 0.0338887+0.0423494j -0.00342317-0.0416301j 0.0399886-0.0441465j 0.00988748-0.0360936j -0.0025185-0.0769363j -0.0333134-0.0189297j -0.0521563-0.0345313j 0.00222409+0.0452105j 0.0357354-0.00995441j -0.00916601-0.0249842j 0.00634458-0.000694982j -0.0237275-0.0105475j 0.02791-0.00132202j -0.0435645+0.0319613j 0.0524096+0.0565568j 0.000248402-0.0182271j -0.00830889+0.0242218j 0.0228849-0.0520838j 0.000742998-0.00996835j 0.00644399-0.0136131j 0.0186995-0.0180694j -0.0209906+0.0216785j -0.0164452+0.00593763j -0.000457157-0.00329533j -0.0192422+0.0149788j 0.00688959+0.00839946j -0.0134313-0.00935786j 
-0.0192885+0.0271609j 0.0305394+0.0145692j -0.10727+0.0685536j 0.0217152+0.0530264j -0.0122687-0.0479652j -0.0358041-0.0449847j -0.00896566+0.103645j -0.0693366-0.101949j 0.0789862-0.0445077j 0.0153359-0.0257324j -0.00846994+0.0443575j 0.110663+0.0949869j 0.16866-0.0845406j -0.106098-0.0865326j -0.222661-0.233335j -0.00572683-0.115587j 0.0730965+0.0192644j -0.0927042+0.0132338j 0.0565144-0.102162j -0.0843267+0.110635j -0.128349+0.107128j -0.0497954+0.000587542j -0.241785-0.231637j -0.165332-0.161429j 0.0867619-0.29035j -0.14039-0.00959961j 0.00562775-0.00601165j 0.0816815-0.0274456j 0.0699151+0.203577j -0.209746-0.0325098j 0.0843297+0.0858549j -0.106178-0.0234627j -0.0506492+0.0684171j 0.0397679+0.0811241j -0.0395983+0.0247169j -0.0146464-0.020515j -0.0253703-0.0405542j 0.00406929+0.037248j 0.020447-0.00018111j -0.0281813-0.0213881j -0.00303217+0.0214179j 0.0270016-0.00248024j 0.0355276+0.00229416j -0.00629957-0.0168713j -0.0572927+0.0295438j 0.0287812+0.000713475j 0.0671319-0.00700409j -0.013181+0.0319838j 0.0283119+0.0545712j 0.00560293-0.0241552j -0.00142975+0.00314828j -0.00806068+0.074809j -0.0235655-0.0267039j 0.0271207-0.00901401j 0.0107832-0.0253843j -0.0152105-0.0534566j -0.00482594-0.00444361j -0.00315757-0.0166216j 0.02245-0.00270618j 0.0151275+0.0352304j 0.026622-0.017158j 0.018544+0.010084j -0.0386472-0.0314365j 0.0222606+0.0494539j -0.0374572-0.00651975j 0.0266902+5.8444e-05j -0.00203879-0.00711023j 0.00019353+0.0289395j 0.000939999+0.000959661j -0.00905724+0.0152651j -0.00806549-0.00514587j -0.00212276+0.00525832j 
-0.0308419+0.0280629j 0.0154355-0.00554862j -0.0573631+0.0615512j 0.0693149+0.0448786j 0.0451666-0.0526361j 0.0977784+0.147048j 0.0178709-0.158874j -0.126885-0.102952j 0.152522-0.259189j -0.0344827+0.0640386j -0.0150318+0.0587568j 0.0426642+0.0681748j 0.079265-0.036711j 0.151829-0.148353j 0.101531+0.279472j 0.0984449+0.0261456j 0.163533+0.041762j -0.0378449+0.080019j 0.368763-0.07071j -0.272893-0.0408379j -0.148361-0.0428917j -0.0166621-0.0188163j 0.0404065+0.0711608j -0.0162917+0.089768j 0.100558+0.255689j 0.0320089-0.00961853j -0.0691292+0.0896265j -0.00333731+0.0475454j 0.0754965+0.060616j -0.0764437+0.0281933j 0.0300119+0.0360762j -0.000672913+0.0751066j -0.0200182+0.0532511j 0.0209768+0.0508222j -0.0226703+0.00635148j -0.0405555-0.0277835j 0.0109453+0.0340403j 0.0344816+0.0649286j -0.0123703+0.0565569j -0.0367488+0.0182919j -0.0118696+0.0194363j -0.0196143+0.0130884j 0.00788493+0.0254073j 0.00711301-0.0465059j 0.0220683-0.00586973j -0.0105949-0.00694328j -0.0441446+0.072783j -0.0252949+0.0203717j -0.00660851-0.0299524j 0.0297421-0.0292434j 0.00591712-0.00706579j 0.0415694-0.000280257j 0.0301732+0.00904095j 0.011459-0.0180189j 0.0169252-0.00906225j -0.0236041-0.00906262j -0.00371892-0.0168707j -0.0450767-5.17311e-05j 0.0415473+0.0243691j 0.0552196-0.010177j -0.0485056+0.00864857j 0.00281644+0.015888j 0.0423136+0.00994472j -0.0250802+0.0228025j -0.0392794+0.00753424j 0.0103306+0.0336633j -0.0114883-0.0103448j 0.0312362-0.00671521j -0.0186402+0.0038169j 0.00639993+0.00769572j -0.00492072-2.06238e-05j 0.00575855+0.0129371j 
-0.0298007+0.0368318j 0.0131489-0.0249992j -0.0697027+0.0289535j 0.0503661+0.0339498j 0.050658-0.0697709j 0.189645+0.161658j 0.0637014-0.159174j -0.172478-0.0588118j 0.0823228-0.06425j -0.208457-0.207815j 0.0191908+0.119089j -0.201445+0.0327286j 0.260738+0.0805104j -0.0409359-0.0164683j -0.0642796+0.0173555j -0.374253-0.098065j -0.217242-0.00313477j -0.0261259+0.0593366j -0.346505-0.124149j -0.0317414+0.00943879j 0.199829-0.10604j 0.17643-0.0650843j 0.0984061-0.224603j -0.020021-0.0732042j -0.0220181-0.0562783j 0.164403+0.00601197j -0.112549+0.0847252j -0.0646887+0.0750035j 0.0278553-0.036612j 0.00958979+0.00745805j -0.016452-0.0195038j 0.049882+0.0887206j -0.0192085+0.0349888j -0.0302354+0.0455428j -0.0375655-0.0102511j -0.0582448-0.00648449j 0.00924969+0.03578j 0.0618615+0.0330045j -0.0354806+0.0266215j 0.0548441+0.0211623j -0.0300308+0.00813981j -0.0104689-0.0286471j -0.0529868+0.0302098j -0.00353787-0.0152982j 0.0557897+0.0107138j -0.0172355-0.0355089j 0.0495027+0.0484535j -0.0152741-0.0288852j 0.0206407+0.0234431j 0.00693577+0.0314107j -0.00364409-0.00741538j -0.0501914+0.0179014j -0.045689-0.0158956j 0.00736219+0.0156979j -0.0150603-0.00261911j -0.0093559+0.0237216j -0.0012101-0.0664257j 0.000499965-0.0227568j -0.0124985+0.0153999j 0.00524957-0.0202043j 0.0028164+0.0125231j 0.0203256-0.0029393j 0.0133363+0.0118769j -0.0101487-0.0205794j -0.040945+0.0166783j -0.000999363+0.0512265j -0.0163305-0.0304612j 0.0318619-0.0114661j -0.0245756+0.00622059j 0.00754091+0.0012474j 0.00278354+0.00149284j 0.00753753+0.0130852j 
-0.0157099-0.0361949j 0.00078473-0.00105464j 0.0796038+0.00512281j 0.0490881-0.08359j 0.00106537+0.0239141j -0.0325191+0.0560323j -0.0126721+0.0136289j 0.0539179+0.0288369j -0.0260937+0.113318j 0.0385748-0.274894j 0.0869804+0.178974j 0.0742582+0.111564j -0.201568-0.0812221j 0.0236829+0.0907788j -0.0302582+0.18931j 0.0720352+0.194722j -0.281748-0.00753349j -0.121172-0.0899182j -0.0134577-0.0159838j -0.122463+0.0153605j -0.0572515-0.199971j 0.00781497-0.125249j 0.339833+0.0953082j -0.0509339-0.0774823j 0.252281-0.0451894j -0.155855-0.0535245j 0.0115364+0.0453087j -0.00569308-0.145241j 0.17416+0.0293171j -0.00508127+0.0886356j 0.0897635+0.0259877j -0.0186075+0.1379j 0.0238077+0.0602717j 0.0411607-0.0725548j 0.03398+0.013936j -0.0382844+0.00824469j 0.0173786+0.0327242j 0.013261+0.0501797j -0.00793867-0.0445805j 0.0348357+0.0441163j 0.0206458+0.0262038j -0.0588206-0.0527075j 0.00478307+0.0435562j -0.0150387-0.00213954j -0.013105+0.00156589j -0.04489-0.0158152j 0.0135665-0.0102093j 0.0351197+0.0273964j -0.016567-0.0374677j -0.0146442+0.00292074j 0.0525923-0.00460453j -0.0259943+0.00493437j -0.00193519+0.0439329j 0.067801-0.034347j -0.000424043+0.00308038j 0.0100184-0.0213328j 0.0128595+0.0227198j 0.0138652+0.0358038j -0.00894898-0.0422988j 0.0139773+0.00867486j -0.0169267+0.021234j 0.0204961-0.0242015j -0.0376907+0.0204536j 0.0302395+0.0528435j 0.00475796+0.00276569j 0.00817315-0.0365726j 0.0232941-0.00746314j -0.00604318+0.00609968j -0.000635804-0.02309j 0.00357214-0.00710595j -0.0187284+0.00234939j 0.0166986+0.000694363j 
-0.0130318-0.0199449j 0.00335234-0.00341764j 0.0322581-0.0301739j -0.00421461-0.0637607j -0.00926749+0.000163306j 0.00363394-0.0393276j 0.0647093-0.136801j 0.00382368+0.0586968j 0.123474-0.0782335j -0.0850998+0.0622937j -0.0121237+0.0489148j 0.170442-0.283113j -0.105334-0.0591271j 0.0924764+0.123092j -0.104682-0.243171j -0.128148+0.300001j 0.0183677+0.00365581j -0.0701169+0.12624j 0.330888-0.274327j 0.0753141-0.367188j 0.0109276+0.0618682j 0.0865405-0.168942j -0.0439141-0.0946843j -0.0236958-0.099556j -0.0499136-0.235222j 0.0153758-0.105857j -0.0818324+0.0728014j -0.0173245-0.0464693j 0.0218126-7.59993e-06j 0.0510312+0.0461114j 0.0297777-0.0147502j 0.00432208+0.0628619j 0.0127829+0.0247366j -0.00385722-0.048689j 0.0141384+0.0119449j 0.0248038+0.0393706j 0.0185146+0.0507585j -0.0015495+0.0468192j -0.0155068+0.0457243j -0.0149712+0.0370482j 0.0430552-0.00392636j -0.0328165+0.0431077j -0.0502019-0.00434833j 0.0192355+0.037286j -0.000193919-0.0141996j -0.0126513-0.000301795j 0.0350594-0.0376484j 0.00667238-0.0541722j 0.00198982+0.0279753j 0.0114953+0.0209663j 0.0241483+0.0228504j 0.00247604-0.0308206j 0.0102114-0.00454109j -0.0017902-0.0603873j -0.0368904-0.0249035j -0.0040718-0.0186786j 0.00363156-0.0115179j -0.0678016+0.0111566j 0.0247092+0.00303175j -0.0318665+0.0220799j 0.0254111+0.00579615j 0.013333-0.00353696j -0.0209223+0.0112588j 0.0207075+0.00141159j 0.00560082+0.0125351j -0.0080074+0.00444952j 0.0164524-0.00890686j -0.00538413-0.00109215j -0.000826896-0.00794402j 0.0052931-0.00939716j -0.00816359+0.00134227j 0.00974332-0.00100255j 
-0.041804-0.0367052j 0.0158937-0.0711669j -0.0119972-0.128263j -0.173679+0.0631877j 0.0302277-0.0629422j 0.0555879-0.0332641j -0.154367-0.0129772j -0.148288+0.203658j -0.0426217-0.0204294j -0.0399048+0.0342454j -0.065808+0.0981778j 0.0556795+0.029574j 0.0375933-0.0616212j -0.125519-0.157351j -0.0734213-0.0187072j -0.0329331-0.0265679j -0.0657386+0.0143484j -0.040092-0.0464511j 0.163343-0.157735j 0.136858+0.167456j -0.00800063+0.0135535j 0.0129293+0.104369j -0.194256+0.124869j 0.0390552+0.0372522j 0.193644+0.105697j 0.0974078+0.00313027j -0.0455553+0.165324j -0.0365008-0.0560116j -0.049272-0.113288j 0.107375-0.0174789j 0.0741355-0.0852689j 0.0333505+0.102908j 0.00959126-0.0781012j -0.0508378-0.063311j 0.0164254-0.0766258j 0.0778311+0.0421866j 0.0433969+0.0336152j 0.0789151-0.0802871j 0.0455543+0.000791357j 0.0516053+0.00711491j 0.0267303+0.045079j -0.00444488-0.00438168j 0.0124256-0.0196214j -0.0108809+0.00196147j -0.0140296-0.0763784j -0.0105693+0.0241636j 0.0011743-0.0126425j 0.0118802-0.0287063j 0.0290145-0.000828003j -0.0398947-0.0116086j 0.00601476-0.0532153j 0.00493044-0.017687j 0.0125899-0.00385102j 0.0201564-0.00824796j 0.0163948+0.0295641j 7.18014e-06-0.00959723j -0.0129082-0.0390534j -0.00368531-0.0216652j -0.00170833-0.0180029j 0.0124836+0.00592418j -0.0095728+0.0296363j 0.0365682-0.00993631j 0.0255326-0.00584753j -0.0258145-0.00417363j 0.00109246+0.00515054j -0.024363-0.00086041j -0.00652844-0.0087447j 0.00223753+0.00765005j -0.0202584-0.016827j 0.0125956-0.0218974j -0.00265374-0.00429112j 0.0269745-0.00527407j 
