-0.294042-0j -0.363858-0j -0.212251-0j 0.10756-0j -0.0428542-0j -0.0262427-0j -0.0374974-0j -0.0154669-0j -0.0232169-0j -0.00335106-0j 0.0767964-0j 0.0110846-0j -0.0214136-0j -0.0216355-0j -0.00309079-0j -0.0187369-0j -0.00312282-0j -0.00270444-0j -0.0154572-0j -0.00493864-0j -0.00223105-0j -0.000712831-0j 
-0.666997-0j 0.00840193-0j -0.480548-0j 0.0428542-0j -0.00192401-0j 0.0306165-0j -0.0420152-0j -0.0527055-0j 0.0270863-0j 0.00390958-0j 0.000605596-0j 8.74102e-05-0j -0.0485741-0j 0.0471347-0j -0.00701107-0j 0.000432658-0j 0.00680331-0j 6.24489e-05-0j -0.034996-0j -0.0224768-0j -0.00505123-0j -0.00324425-0j 
0.210074-0j -0.759919-0j 0.151639-0j 0.0262427-0j 0.0306165-0j 0.0159276-0j -0.0783134-0j 0.0110501-0j 0.0165869-0j 0.00239412-0j 0.0187369-0j 0.00270444-0j -0.0447224-0j 0.0154572-0j -0.00645512-0j 0.0113721-0j 0.00223105-0j 0.00164142-0j -0.0322823-0j 0.00352834-0j -0.00465955-0j 0.000509271-0j 
-0.300168-0j -0.343053-0j -0.191451-0j -0.0374974-0j 0.0420152-0j 0.0783134-0j -0.0367817-0j -0.0740197-0j -0.0237005-0j -0.00342088-0j 0.0257128-0j 0.00371133-0j 0.0210214-0j 0.022069-0j 0.00303417-0j -0.0537013-0j 0.00318538-0j -0.00775111-0j 0.0134077-0j -0.0525028-0j 0.00193523-0j -0.00757813-0j 
0.123813-0j -0.447502-0j 0.109356-0j 0.0154669-0j -0.0527055-0j 0.0110501-0j 0.0740197-0j -0.0896241-0j 0.00977597-0j 0.00141104-0j -0.0322551-0j -0.00465563-0j 0.00901668-0j 0.0427085-0j 0.00130145-0j -0.0230442-0j 0.00616443-0j -0.00332614-0j 0.00796386-0j -0.0385939-0j 0.00114948-0j -0.00557055-0j 
0.0379368-0j 0.0469444-0j 0.0273842-0j -0.222882-0j -0.260029-0j -0.159234-0j -0.227525-0j -0.0938493-0j -0.0117221-0j 0.160837-0j 0.00338366-0j -0.0464265-0j 0.00276275-0j 0.00279138-0j -0.0379071-0j 0.00241741-0j -0.0382999-0j -0.0331687-0j 0.00199426-0j 0.000637175-0j -0.0273628-0j -0.00874254-0j 
-0.0428542-0j -0.00104958-0j 0.0600308-0j -0.737245-0j 0.00581371-0j 0.179874-0j -0.246843-0j -0.309649-0j -0.00338366-0j 0.0464265-0j 0.000221526-0j -0.00303951-0j -0.00312086-0j 0.00302838-0j 0.0428206-0j -5.40483e-05-0j -0.0415517-0j 0.000741585-0j 0.00437175-0j 0.00280783-0j -0.0599838-0j -0.0385257-0j 
0.0680323-0j 0.0416377-0j -0.0252573-0j 0.205571-0j -0.466311-0j -0.429335-0j -0.201805-0j 0.0865601-0j -0.00276275-0j 0.0379071-0j -0.00312086-0j 0.0428206-0j -0.00476444-0j 0.0050058-0j 0.0653719-0j 0.00651792-0j -0.0686835-0j -0.089431-0j 0.00176882-0j -0.000587687-0j -0.0242696-0j 0.00806352-0j 
-0.0687373-0j -0.0420152-0j 0.0225485-0j -0.207701-0j -0.452493-0j -0.148389-0j 0.211862-0j -0.410001-0j 0.00279138-0j -0.0382999-0j -0.00302838-0j 0.0415517-0j -0.0050058-0j 0.00505371-0j 0.0686835-0j -0.00216358-0j -0.0693409-0j 0.029686-0j 0.0016421-0j 0.00618363-0j -0.0225309-0j -0.0848442-0j 
0.0306165-0j -0.00219205-0j -0.0428881-0j -0.179874-0j -0.00415352-0j -0.109172-0j -0.515532-0j 0.221224-0j 0.00241741-0j -0.0331687-0j 5.40483e-05-0j -0.000741585-0j -0.00651792-0j -0.00216358-0j 0.089431-0j 3.28038e-05-0j 0.029686-0j -0.000450093-0j 0.00913041-0j -0.00200601-0j -0.125276-0j 0.0275241-0j 
-0.0252573-0j -0.0583267-0j -0.06968-0j 0.148389-0j -0.335961-0j -0.30991-0j -0.128714-0j 0.076453-0j -0.00199426-0j 0.0273628-0j 0.00437175-0j -0.0599838-0j 0.00176882-0j -0.0016421-0j -0.0242696-0j -0.00913041-0j 0.0225309-0j 0.125276-0j 0.00487983-0j 0.00532903-0j -0.0669551-0j -0.0731184-0j 
