-0.143885-0j 0.986342-0j -0.0103606-0j -0.010468-0j 0.14297-0j 0.144452-0j -0.00686379-0j -0.00849351-0j 0.057395-0j -0.00495455-0j 0.014551-0j 0.0710226-0j 0.0414299-0j 0.0180059-0j 0.0105034-0j -0.0051156-0j -0.0059682-0j 0.0403302-0j -0.00365476-0j -0.000522109-0j -0.00522218-0j 0.0101891-0j 0.0470519-0j -0.00215404-0j 0.00120708-0j 0.0288133-0j -0.000609127-0j -0.000373013-0j 0.0411704-0j 0.0118873-0j -0.000532986-0j 0.00727946-0j 0.0169819-0j 0.00140826-0j 0.0104014-0j 0.000862379-0j -0.000219846-0j 0.00429035-0j 0.00123223-0j 0.000508267-0j -0.00406685-0j -0.00459399-0j 0.0310439-0j -0.000535854-0j -0.00375098-0j -0.00378985-0j 0.00739447-0j 0.0350679-0j -0.00328211-0j 0.00316841-0j -0.0027076-0j 0.00113599-0j -0.000605312-0j 0.0286328-0j -0.000865092-0j 8.66579e-05-0j 0.00835294-0j 0.0289295-0j -0.000494235-0j 0.0035791-0j 0.0250537-0j -0.000499357-0j 0.00682015-0j 0.0206682-0j 0.00128324-0j 0.00292232-0j -0.000432456-0j 0.00689083-0j 0.0066036-0j 9.78905e-05-0j -0.000356758-0j 0.00295261-0j 0.00596763-0j 0.00104776-0j 0.00255703-0j -0.000113986-0j 7.99272e-05-0j 0.00492305-0j 0.00105862-0j 0.00210944-0j 0.000916789-0j 8.07555e-05-0j 0.00157294-0j 0.000673977-0j 0.000756312-0j 6.99363e-05-0j 0.000241645-0j 5.76945e-05-0j 1.84337e-05-0j 
0.102152-0j 0.000210716-0j -0.707711-0j 0.69469-0j 0.00106169-0j -0.00104215-0j 0.00487302-0j 8.58307e-05-0j -0.0828822-0j -0.00688486-0j 7.17863e-05-0j -0.00145984-0j 0.1171-0j 1.26441e-06-0j -0.000101424-0j 0.00363187-0j 6.03113e-05-0j 0.000605312-0j 0.00259473-0j -0.0716992-0j -0.00360199-0j -0.00727993-0j 1.00519e-05-0j -0.00450077-0j 4.45854e-06-0j 0.000432456-0j -0.00119065-0j -0.0512244-0j -0.000600332-0j -0.000120892-0j 0.0711093-0j -0.00520104-0j -0.000750129-0j 7.40392e-08-0j 0.00722004-0j 3.18534e-06-0j 0.0888527-0j 0.00902161-0j -4.42186e-06-0j -5.52522e-06-0j 0.0028873-0j 4.64244e-05-0j 0.000465936-0j -0.0366032-0j 0.00266305-0j -0.00261405-0j 5.49111e-05-0j 7.4917e-06-0j 3.31672e-05-0j -0.00919835-0j -0.00376249-0j -0.000539216-0j -0.000588536-0j 0.000429747-0j -0.00241301-0j 2.55802e-07-0j 8.82905e-07-0j -0.00042184-0j -0.0337602-0j -0.000147899-0j 5.35233e-06-0j 0.0331391-0j 5.06462e-05-0j -0.000607169-0j -8.66995e-06-0j -0.00848392-0j -0.00042047-0j -4.97143e-05-0j -0.000389398-0j 4.11299e-09-0j 0.0476982-0j 0.00832782-0j 6.30778e-07-0j -0.000497335-0j -0.000105664-0j 0.0305905-0j 2.35934e-07-0j -7.15556e-05-0j 0.000488184-0j 0.0119865-0j -6.19411e-06-0j -2.31593e-07-0j -4.5891e-05-0j 0.00768736-0j 0.000702661-0j 2.93846e-09-0j 0.00045064-0j -3.3334e-07-0j -2.13782e-07-0j 
-0.0147444-0j 0.00290776-0j -0.00106169-0j 0.00104215-0j -0.685612-0j 0.672997-0j -0.000703359-0j -1.23886e-05-0j 0.0118873-0j 0.000993743-0j -0.142056-0j 0.000209377-0j -0.016795-0j -0.00250209-0j 0.200704-0j -0.000524215-0j -8.70519e-06-0j 0.00835294-0j -0.000374518-0j -5.35025e-05-0j 0.000519903-0j -0.0488619-0j 0.00013871-0j 0.00064963-0j -0.0177694-0j 0.00596763-0j -8.8847e-07-0j -3.8224e-05-0j -0.00828422-0j -0.000811408-0j 5.30623e-05-0j -0.0349086-0j -0.0103513-0j -0.000295082-0j 0.0484599-0j -0.0126951-0j 6.63026e-05-0j 0.0605518-0j 0.0176232-0j 0.0220206-0j -0.000416746-0j -6.70078e-06-0j 0.00642964-0j -5.49111e-05-0j -0.000384377-0j 0.000377305-0j -0.0354602-0j 0.000103381-0j -4.78727e-06-0j 0.000656222-0j 0.000543069-0j -0.0110902-0j -8.82905e-07-0j 0.00593025-0j 0.000348288-0j -0.00170507-0j -0.000570158-0j -0.00582114-0j -5.06462e-05-0j 1.05513e-05-0j 7.38589e-05-0j 4.97143e-05-0j -0.032706-0j -0.00837858-0j -0.000178318-0j 0.000605254-0j -6.30778e-07-0j 0.0321043-0j -0.00537346-0j -2.74156e-05-0j 7.15556e-05-0j -0.000594117-0j -0.000407341-0j -0.0102289-0j 7.5382e-06-0j 4.5891e-05-0j -0.00157264-0j 0.0462088-0j 0.0100407-0j -0.000855135-0j -0.000127397-0j 0.00154371-0j 0.0296352-0j -0.000548426-0j 0.0144519-0j -1.95866e-05-0j 0.00926848-0j 0.00222191-0j 0.00142499-0j 
0.0586083-0j 0.00849351-0j -0.00415246-0j 0.00426389-0j -0.000599356-0j 0.00061544-0j -0.407462-0j 0.496121-0j 0.000494235-0j -0.294122-0j 4.11863e-05-0j -0.000601774-0j 0.000356758-0j -5.01479e-05-0j 2.97298e-05-0j 0.00208373-0j 0.00243102-0j -0.0506138-0j -0.0044183-0j 0.00021267-0j -0.00209302-0j 4.3411e-05-0j -0.0590494-0j 0.0008774-0j 2.55802e-06-0j 0.107321-0j 0.000248115-0j -0.000450941-0j 0.0508394-0j 5.06462e-05-0j -0.000213618-0j -9.2048e-05-0j -0.0213121-0j 2.98435e-06-0j -4.36045e-05-0j -5.42398e-06-0j 8.95493e-05-0j 1.82792e-05-0j -2.56942e-06-0j 1.07711e-06-0j 0.00165654-0j 0.00187126-0j 0.000267323-0j -0.0318105-0j -0.00150337-0j 0.00154371-0j -0.00459145-0j 0.000301974-0j -0.00396779-0j 2.72836e-05-0j -0.00108519-0j 3.2154e-06-0j -0.0359337-0j -0.000242605-0j 0.000352376-0j 1.46762e-07-0j -0.00518659-0j 0.000249116-0j 0.0288691-0j 3.08201e-05-0j -0.0006403-0j -0.0296438-0j 0.0041669-0j -0.000175122-0j 3.63218e-06-0j -2.47608e-05-0j 0.0761933-0j -0.00427872-0j 5.68644e-05-0j 1.65786e-07-0j 0.0208388-0j 2.54253e-05-0j 0.0109976-0j -2.91809e-06-0j -6.53503e-05-0j -0.00676666-0j -1.33192e-07-0j 0.00300783-0j 2.9964e-06-0j -1.78733e-05-0j -7.70161e-06-0j 1.36766e-07-0j -0.000976683-0j 5.8037e-06-0j -2.10639e-06-0j -3.51529e-07-0j 6.83973e-07-0j -9.6143e-08-0j 3.1219e-08-0j 
-0.0592157-0j 0.00833723-0j -0.00426389-0j 0.00430633-0j -0.00061544-0j 0.000621565-0j 0.411685-0j -0.494932-0j -0.000499357-0j 0.272152-0j -4.16131e-05-0j 0.000600332-0j -0.000330109-0j 5.00276e-05-0j -2.75091e-05-0j -0.00210532-0j 0.00238629-0j 0.0511383-0j -0.00150411-0j -0.000214874-0j 0.00214831-0j -4.38609e-05-0j -0.0579629-0j -0.00423273-0j -2.58453e-06-0j 0.036535-0j 0.000243549-0j -0.000153513-0j -0.0521825-0j 4.97143e-05-0j 0.000219261-0j -3.13357e-05-0j 0.102813-0j 2.92944e-06-0j 4.47565e-05-0j -1.84648e-06-0j -0.000432001-0j -8.81818e-05-0j 2.6373e-06-0j -5.19616e-06-0j -0.00167371-0j 0.00183683-0j -0.000270094-0j 0.0321401-0j -0.00154371-0j 0.00155908-0j 0.00463903-0j 0.000296417-0j 0.0013123-0j -2.75663e-05-0j -0.0010205-0j -3.24872e-06-0j -0.0352726-0j -0.000249116-0j -0.00376572-0j -1.48283e-07-0j -0.00509116-0j 0.000251595-0j 0.0296438-0j 3.0253e-05-0j 0.000211771-0j -0.0299389-0j 0.00427872-0j -0.000164682-0j 3.56535e-06-0j -2.54253e-05-0j -0.0251999-0j -0.00432131-0j -0.00060769-0j 1.62735e-07-0j 0.0195966-0j 2.56783e-05-0j -0.0036373-0j -2.9964e-06-0j 2.16138e-05-0j 0.0723129-0j -1.36766e-07-0j 0.00282853-0j 3.02622e-06-0j -1.68078e-05-0j 2.54721e-06-0j 1.38127e-07-0j 0.0104375-0j -6.20221e-05-0j -1.98082e-06-0j 1.16264e-07-0j -7.30938e-06-0j -9.04118e-08-0j -3.33626e-07-0j 
-0.0103606-0j 0.0710226-0j -0.0706267-0j 0.0725219-0j -0.0101296-0j 0.0104014-0j -0.000494235-0j 0.000601774-0j -0.397632-0j -0.000356758-0j 0.00104776-0j 0.484151-0j -0.287026-0j -0.00127574-0j 0.000756312-0j -0.000368355-0j -0.000429747-0j 0.00290402-0j 0.000781053-0j 0.00727193-0j 0.000369997-0j -0.0705901-0j 0.00338802-0j -0.000155104-0j 8.69171e-05-0j -0.00615763-0j 0.00848392-0j -0.0154193-0j -0.00291696-0j -0.0823552-0j -0.00730435-0j 0.149678-0j 0.0012228-0j 0.000101403-0j 0.0709048-0j -0.000184297-0j 0.00306201-0j -0.0297236-0j -8.73045e-05-0j 3.65984e-05-0j -0.000292838-0j -0.000330796-0j 0.00223535-0j 0.0037124-0j 0.000265761-0j -0.000272892-0j 0.000532447-0j 0.0025251-0j 0.000701413-0j -0.0441296-0j 0.000191836-0j -0.00787013-0j 0.0041936-0j -0.00202866-0j -6.22919e-05-0j 6.23989e-06-0j 0.000601463-0j 0.0020831-0j -0.00336913-0j -0.0498497-0j -0.00535418-0j 0.00345954-0j -0.000483215-0j -0.00146437-0j -0.00889026-0j 0.0400492-0j -0.00889203-0j 0.000496182-0j 0.0004755-0j 7.04871e-06-0j -0.00243197-0j -0.0411239-0j -0.00127533-0j 0.00714242-0j 0.1057-0j 0.000789693-0j -5.66293e-06-0j -0.000348803-0j -0.00733409-0j 0.028909-0j 0.0188507-0j 5.81489e-06-0j 0.000113261-0j -0.00938715-0j 0.00515567-0j -1.4946e-05-0j -0.00167412-0j -4.08772e-06-0j 1.32734e-06-0j 
0.010468-0j 0.0697158-0j -0.0725219-0j 0.0732438-0j -0.0104014-0j 0.0105049-0j 0.000499357-0j -0.000600332-0j 0.401753-0j 0.000330109-0j -0.00105862-0j -0.482991-0j 0.265586-0j 0.00127268-0j -0.000699818-0j 0.000372172-0j -0.00042184-0j -0.00293411-0j 0.000265892-0j -0.00734729-0j -0.000379771-0j 0.0713217-0j 0.00332568-0j 0.000748248-0j -8.78178e-05-0j -0.00209623-0j 0.00832782-0j -0.00524916-0j 0.00299403-0j -0.0808399-0j 0.00749732-0j 0.0509547-0j -0.005899-0j 9.95374e-05-0j -0.072778-0j -6.274e-05-0j -0.0147716-0j 0.143391-0j 8.9611e-05-0j -0.000176557-0j 0.000295873-0j -0.000324709-0j -0.00225852-0j -0.00375087-0j 0.000272892-0j -0.000275609-0j -0.000537965-0j 0.00247864-0j -0.000231983-0j 0.0445869-0j 0.000180401-0j 0.00795169-0j 0.00411644-0j -0.0020831-0j 0.000665691-0j -6.30456e-06-0j 0.000590396-0j 0.00210384-0j -0.00345954-0j -0.0489325-0j 0.00177083-0j 0.00349398-0j -0.000496182-0j -0.00137707-0j -0.00872668-0j 0.0411239-0j 0.00294092-0j 0.00050112-0j -0.0050815-0j 6.91902e-06-0j -0.00228699-0j -0.0415332-0j 0.000421799-0j 0.00733409-0j -0.034959-0j -0.00843917-0j -5.81489e-06-0j -0.00032801-0j -0.00740709-0j 0.0271857-0j -0.00623464-0j 5.87277e-06-0j -0.00121038-0j 0.100317-0j 0.00484833-0j 4.94318e-06-0j 0.0178907-0j -3.84404e-06-0j -1.41848e-05-0j 
0.000863382-0j -0.0180059-0j -6.11715e-05-0j 6.2813e-05-0j -0.12105-0j 0.124299-0j 4.11863e-05-0j -5.01479e-05-0j -0.00104776-0j 2.97298e-05-0j -0.385041-0j 0.00127574-0j -0.000756312-0j 0.468821-0j -0.277937-0j 3.06962e-05-0j 3.58123e-05-0j -0.000736237-0j -6.50877e-05-0j 3.13292e-06-0j -3.08331e-05-0j 0.00876761-0j -0.000858943-0j 1.29253e-05-0j -0.0987788-0j 0.0015611-0j 3.65507e-06-0j -6.64299e-06-0j 0.000739519-0j 0.0102289-0j -3.14689e-06-0j -0.0185907-0j -0.000310009-0j -0.115242-0j -0.00880669-0j 0.209449-0j 1.31919e-06-0j 0.0036918-0j 0.0992192-0j -0.041593-0j 2.44032e-05-0j 2.75663e-05-0j -0.000566714-0j 3.2154e-06-0j -2.21467e-05-0j 2.2741e-05-0j 0.00636285-0j -0.000640172-0j -5.84511e-05-0j -5.78401e-05-0j -1.59864e-05-0j -0.03006-0j 3.63218e-06-0j 0.000514314-0j 5.19099e-06-0j -0.014318-0j 0.0071876-0j -0.000528115-0j -2.91809e-06-0j -6.53373e-05-0j 0.00135741-0j 2.9964e-06-0j -0.00577451-0j 0.000371251-0j -0.0339564-0j 5.24919e-05-0j -7.70161e-06-0j 0.00592947-0j -0.00012055-0j -0.0161739-0j -2.10639e-06-0j -5.39005e-05-0j -0.0152405-0j 0.0272805-0j 0.00013854-0j 6.83973e-07-0j 0.0129941-0j -0.00416826-0j -0.0280126-0j 3.78907e-05-0j 0.0720006-0j -0.0133428-0j 0.00135349-0j -1.23036e-05-0j 0.0196921-0j 0.0342948-0j -0.00639431-0j 0.00937961-0j -0.00304569-0j 
-0.000872329-0j -0.0176746-0j -6.2813e-05-0j 6.34382e-05-0j -0.124299-0j 0.125536-0j -4.16131e-05-0j 5.00276e-05-0j 0.00105862-0j -2.75091e-05-0j 0.389031-0j -0.00127268-0j 0.000699818-0j -0.467697-0j 0.257176-0j -3.10143e-05-0j 3.51533e-05-0j 0.000743866-0j -2.21577e-05-0j -3.16539e-06-0j 3.16476e-05-0j -0.00885846-0j -0.000843138-0j -6.2354e-05-0j 0.0998025-0j 0.000531444-0j 3.58782e-06-0j -2.26146e-06-0j -0.000759056-0j 0.0100407-0j 3.23002e-06-0j -0.00632879-0j 0.00149554-0j -0.113122-0j 0.00903935-0j 0.0713023-0j -6.36398e-06-0j -0.0178098-0j -0.10184-0j 0.200652-0j -2.46561e-05-0j 2.70591e-05-0j 0.000572587-0j -3.24872e-06-0j -2.2741e-05-0j 2.29674e-05-0j -0.00642879-0j -0.000628393-0j 1.93319e-05-0j 5.84394e-05-0j -1.50334e-05-0j 0.0303715-0j 3.56535e-06-0j 0.000528115-0j -5.54743e-05-0j 0.0144663-0j 0.00705535-0j -0.000533372-0j -2.9964e-06-0j -6.41351e-05-0j -0.000448946-0j 3.02622e-06-0j -0.00592947-0j 0.00034912-0j -0.0333316-0j 5.39005e-05-0j 2.54721e-06-0j 0.00598849-0j 0.00128828-0j -0.0158763-0j -1.98082e-06-0j -5.4437e-05-0j 0.00504059-0j 0.0280126-0j -4.58203e-05-0j -7.30938e-06-0j 0.0133428-0j -0.00391979-0j -0.0282914-0j 3.56319e-05-0j -0.0238133-0j -0.0134756-0j -0.0144643-0j 0.000131484-0j 0.0185183-0j -0.0113425-0j 0.0683337-0j 0.00882047-0j 0.0325482-0j 
0.0411828-0j 0.0059682-0j 0.00296541-0j 0.00299614-0j 0.00042802-0j 0.000432456-0j -0.00391869-0j 0.00243102-0j -0.000692734-0j 0.00141809-0j -5.77278e-05-0j 0.000429747-0j 0.000250686-0j 3.58123e-05-0j 2.08905e-05-0j -0.286815-0j 0.66746-0j 0.000244032-0j -0.204911-0j 0.000149438-0j -0.292791-0j 3.0504e-05-0j -0.000567897-0j -0.12077-0j 1.79746e-06-0j 0.000174345-0j -0.000347764-0j 0.000106764-0j 0.000249116-0j -7.09871e-05-0j 0.000152552-0j 2.17931e-05-0j 0.000102755-0j -4.18296e-06-0j 3.11395e-05-0j 1.28417e-06-0j 6.29243e-05-0j 1.28444e-05-0j 1.83491e-06-0j 7.56862e-07-0j 0.00116402-0j 0.00131489-0j -0.0367958-0j 0.000153372-0j -0.00214152-0j -0.00216371-0j 2.21374e-05-0j -0.0415652-0j 0.000939406-0j 1.91716e-05-0j 0.000774971-0j 2.25939e-06-0j 0.000173253-0j 0.0676957-0j 0.000247607-0j 1.03127e-07-0j 2.50069e-05-0j 0.0683972-0j -0.00028217-0j 2.16566e-05-0j -0.0296956-0j -0.000285094-0j -4.07277e-05-0j -0.0244976-0j 2.55225e-06-0j -3.52712e-05-0j 0.000123778-0j -4.11498e-05-0j -0.00782712-0j 1.16494e-07-0j 0.000102111-0j -3.56368e-05-0j 1.78658e-05-0j -4.15676e-06-0j 1.54722e-05-0j 3.26251e-05-0j -1.89729e-07-0j 1.47385e-05-0j -4.19983e-06-0j 1.27639e-05-0j 1.82342e-06-0j -1.91695e-07-0j 4.70902e-06-0j 4.07813e-06-0j 1.50424e-06-0j 8.32272e-08-0j 4.80613e-07-0j 6.86589e-08-0j 2.19369e-08-0j 
-0.0509611-0j -0.000105121-0j 0.00361065-0j 0.00360199-0j 0.000521152-0j 0.000519903-0j -0.00243102-0j 4.21318e-05-0j -0.000429747-0j 0.00343467-0j -3.58123e-05-0j 7.44791e-06-0j 0.000607169-0j 6.20659e-07-0j 5.05974e-05-0j 0.354916-0j 0.00589378-0j -0.000301974-0j -0.752557-0j -0.00018492-0j 0.346349-0j -3.77467e-05-0j -5.01462e-06-0j -0.439827-0j -2.22425e-06-0j 0.0006403-0j -3.07081e-06-0j 0.000392102-0j -0.000294685-0j -6.26827e-07-0j -0.000180457-0j 8.00375e-05-0j 0.000374219-0j -3.69361e-08-0j -3.68356e-05-0j 4.71625e-06-0j 0.000229161-0j 4.67773e-05-0j -2.17056e-06-0j 2.75638e-06-0j -0.0014404-0j -2.31599e-05-0j 0.0455324-0j -0.000189789-0j 0.00130721-0j 0.00130408-0j -2.73936e-05-0j 0.000732108-0j 4.91078e-05-0j -2.37236e-05-0j -0.0018469-0j -2.79585e-06-0j -3.05158e-06-0j -0.0413223-0j 0.00120379-0j -1.27613e-07-0j -4.40457e-07-0j -0.0412233-0j 0.00017224-0j -3.81447e-07-0j -0.00155235-0j 0.000171827-0j 2.48607e-05-0j 0.0583823-0j -4.4954e-08-0j 2.153e-05-0j 6.47051e-06-0j 2.48011e-05-0j -0.0380529-0j -2.05186e-09-0j -0.00024335-0j 2.14784e-05-0j 9.33938e-07-0j 2.53734e-06-0j 8.08814e-07-0j 0.000158613-0j 1.15813e-07-0j -3.51245e-05-0j 2.53125e-06-0j -3.04187e-05-0j 9.53197e-08-0j 1.15535e-07-0j 2.28938e-05-0j 1.98266e-05-0j -3.58488e-06-0j 4.35073e-09-0j 2.33658e-06-0j -1.63627e-07-0j 1.0665e-07-0j 
