-0.00600085-0j 0.143292-0j -0.00061246-0j -0.000125018-0j -7.36674e-06-0j -0.00541954-0j -0.000874575-0j 0.102309-0j 0.014767-0j -8.92609e-05-0j -1.05195e-05-0j -4.80147e-07-0j -0.0034961-0j -0.00353233-0j -0.000552782-0j -0.000558511-0j -0.000437013-0j 0.0837734-0j -0.000441542-0j -6.30774e-05-0j 0.0846416-0j -6.3731e-05-0j 0.0104353-0j -2.57512e-05-0j 0.0105434-0j 0.000869605-0j -6.43781e-06-0j -2.60181e-05-0j 0.000878617-0j -6.50452e-06-0j -5.36484e-07-0j -5.42043e-07-0j -1.99936e-08-0j -2.02008e-08-0j 
0.00106081-0j -0.00831502-0j -0.0207054-0j 0.199835-0j -0.00024889-0j 0.000958049-0j -0.00727107-0j -0.0120075-0j -0.00173203-0j 0.14192-0j 0.0253108-0j -2.02989e-05-0j 0.000618029-0j 0.000624434-0j -0.00459574-0j -0.00464337-0j -0.00734842-0j 5.15024e-05-0j -0.00742458-0j -0.00105998-0j 5.20362e-05-0j -0.00107097-0j 0.0575996-0j -0.00130813-0j 0.0581965-0j -0.000153531-0j 0.0206892-0j -0.00132169-0j -0.000155123-0j 0.0209036-0j 0.00172411-0j 0.00174197-0j -1.01501e-06-0j -1.02553e-06-0j 
-8.84009e-05-0j 0.00210822-0j -9.02238e-06-0j -0.0249626-0j 0.279634-0j -7.98374e-05-0j 0.00184354-0j -1.05195e-05-0j -0.0205801-0j 0.000188155-0j 0.0966546-0j 0.0460492-0j -5.15024e-05-0j -5.20362e-05-0j 0.00116522-0j 0.0011773-0j -6.43781e-06-0j -4.29187e-06-0j -6.50452e-06-0j -0.0125948-0j -4.33635e-06-0j -0.0127253-0j 0.000153531-0j -3.79351e-07-0j 0.000155123-0j 0.0557685-0j -0.00128545-0j -3.83283e-07-0j 0.0563464-0j -0.00129877-0j 0.0203644-0j 0.0205754-0j 0.00385524-0j 0.00389519-0j 
-1.0048-0j 0.000874575-0j 0.000535566-0j 0.000109322-0j 6.44185e-06-0j 9.37989e-05-0j -0.00289843-0j 1.23591e-05-0j 1.78388e-06-0j 1.54489e-06-0j 1.82067e-07-0j 8.31017e-09-0j 0.00305717-0j -0.00296658-0j 0.000483381-0j -0.000469057-0j -0.0731745-0j 0.000254764-0j 0.0710062-0j -0.0105618-0j -0.000247215-0j 0.0102489-0j 6.3691e-05-0j 2.25182e-05-0j -6.18037e-05-0j 5.30758e-06-0j 5.62954e-06-0j -2.18509e-05-0j -5.15031e-06-0j -5.46273e-06-0j 4.69129e-07-0j -4.55227e-07-0j 1.74834e-08-0j -1.69653e-08-0j 
-0.000874575-0j -0.982161-0j -8.92609e-05-0j 0.00173203-0j 0.000205195-0j -1.56332e-05-0j 0.000118647-0j 0.000295118-0j -0.00404925-0j 1.21094e-05-0j 4.342e-06-0j 3.31231e-07-0j -0.000509528-0j 0.00049443-0j 0.00378891-0j -0.00367664-0j -6.3691e-05-0j 0.0122093-0j 6.18037e-05-0j 0.00087389-0j -0.0118475-0j -0.000847995-0j -0.071526-0j -3.75303e-06-0j 0.0694065-0j -0.018135-0j 8.9191e-05-0j 3.64182e-06-0j 0.0175976-0j -8.65481e-05-0j 1.49434e-05-0j -1.45006e-05-0j 8.36816e-07-0j -8.12019e-07-0j 
-0.000535566-0j -8.92609e-05-0j -0.989084-0j 0.0021338-0j -6.57469e-07-0j -9.57331e-06-0j -1.54489e-06-0j 0.000241231-0j -1.82067e-07-0j -0.0028531-0j 3.55367e-06-0j -8.48153e-10-0j -0.000312021-0j 0.000302775-0j -4.93348e-05-0j 4.78729e-05-0j 0.00745892-0j -2.60017e-05-0j -0.00723789-0j -5.62954e-06-0j 2.52313e-05-0j 5.46273e-06-0j 0.00124315-0j -0.126081-0j -0.00120632-0j -5.41703e-07-0j -0.0103967-0j 0.122345-0j 5.25651e-07-0j 0.0100886-0j 9.15668e-06-0j -8.88535e-06-0j -1.78439e-09-0j 1.73152e-09-0j 
0.000109322-0j -0.00173203-0j -0.0021338-0j -0.958133-0j 0.00366374-0j 1.95414e-06-0j -2.99772e-05-0j -2.44918e-05-0j 0.000164365-0j 0.000585109-0j -0.00489033-0j 7.90481e-06-0j 6.3691e-05-0j -6.18037e-05-0j -0.000957299-0j 0.000928932-0j -0.000757292-0j 5.30758e-06-0j 0.000734851-0j 0.00508221-0j -5.15031e-06-0j -0.00493161-0j 0.0119981-0j -0.00013481-0j -0.0116425-0j 0.00149875-0j -0.099197-0j 0.000130815-0j -0.00145434-0j 0.0962576-0j -0.0253794-0j 0.0246273-0j 2.49982e-05-0j -2.42574e-05-0j 
-6.44185e-06-0j 0.000205195-0j -6.57469e-07-0j -0.00366374-0j -0.927235-0j -1.15149e-07-0j 3.55142e-06-0j -1.51722e-08-0j -5.97838e-05-0j 3.62466e-07-0j 0.000575922-0j -0.00624646-0j -3.75303e-06-0j 3.64182e-06-0j 0.000113412-0j -0.000110051-0j -4.69129e-07-0j -3.12752e-07-0j 4.55227e-07-0j -0.00184853-0j 3.03485e-07-0j 0.00179375-0j 1.49434e-05-0j -2.76437e-08-0j -1.45006e-05-0j 0.0167892-0j -0.000188665-0j 2.68245e-08-0j -0.0162917-0j 0.000183074-0j -0.067526-0j 0.0655251-0j -0.0399868-0j 0.0388019-0j 
0.00331669-0j 0.000552782-0j 0.000338509-0j 6.90978e-05-0j 4.07163e-06-0j -0.718163-0j 0.000483381-0j 0.000394679-0j 5.6967e-05-0j 4.93348e-05-0j 5.81417e-06-0j 2.65379e-07-0j -0.0018582-0j 0.00195233-0j 0.0704418-0j -0.0740102-0j -0.000232275-0j -0.00015485-0j 0.000244042-0j -3.3526e-05-0j 0.000162694-0j 3.52244e-05-0j -3.87125e-05-0j -1.36869e-05-0j 4.06736e-05-0j -3.22604e-06-0j -3.42173e-06-0j 1.43803e-05-0j 3.38947e-06-0j 3.59507e-06-0j -2.85144e-07-0j 2.99589e-07-0j -1.06267e-08-0j 1.1165e-08-0j 
-0.00335106-0j -0.000558511-0j -0.000342017-0j -6.98138e-05-0j -4.11382e-06-0j -0.696882-0j 0.000469057-0j 0.000382983-0j 5.52789e-05-0j 4.78729e-05-0j 5.64188e-06-0j 2.57515e-07-0j -0.00195233-0j 0.00197102-0j 0.0740102-0j -0.0747186-0j -0.000244042-0j -0.000162694-0j 0.000246377-0j -3.52244e-05-0j 0.000164252-0j 3.55615e-05-0j -4.06736e-05-0j -1.43803e-05-0j 4.10629e-05-0j -3.38947e-06-0j -3.59507e-06-0j 1.45179e-05-0j 3.42191e-06-0j 3.62948e-06-0j -2.99589e-07-0j 3.02457e-07-0j -1.1165e-08-0j 1.12719e-08-0j 
0.102487-0j 0.00419532-0j -5.46266e-05-0j 0.00105998-0j 0.000125577-0j -0.000483381-0j -0.702475-0j -6.3691e-05-0j 0.00087389-0j 0.000374425-0j 0.000134256-0j 1.02417e-05-0j 0.000299866-0j -0.000315056-0j -0.00222984-0j 0.0023428-0j -0.0071774-0j 2.49888e-05-0j 0.007541-0j 0.0984795-0j -2.62547e-05-0j -0.103468-0j -0.000293807-0j 2.20872e-06-0j 0.000308691-0j -7.44929e-05-0j -5.24904e-05-0j -2.32061e-06-0j 7.82666e-05-0j 5.51495e-05-0j -8.79441e-06-0j 9.23992e-06-0j -4.9248e-07-0j 5.17428e-07-0j 
