0.0774988-0.144421j -0.0255586-0.144783j -0.00184472-0.00509386j 0.0110418+0.0023963j -0.0143262+0.0251218j -0.0361087+0.0416312j 0.00133916+0.00277591j 1.61554e-05+0.0090875j -0.00811399+0.00979229j 0.00102177-0.00610972j -0.00169416+0.0166285j -0.00893123-0.00220561j -0.00907641-0.00498088j -0.00367134-0.0318066j -0.00216514-0.0225801j 0.000890943+0.0013014j -0.00116404+0.00678477j -0.00336155+0.00325287j 0.000166508-0.000258706j -0.00143201-0.00195924j -0.000610301-0.0097106j 0.00377974+0.00235454j -0.0043927+0.00269281j 0.00357798-5.74884e-05j 0.00173086-2.16398e-05j 0.000356904+0.000598021j -0.00172825-0.00202185j -0.00312212+0.0111583j -0.00977084+0.00577481j -0.000556041-0.00772849j -0.00368688+0.000553782j -0.00102489-0.000669495j -0.0119515+0.0119423j -0.0112481+9.99649e-05j -0.00133096-0.00787021j 0.000597286-0.00522827j -0.00175141-0.00455863j 0.00763993+0.00493214j 0.000982357+0.00477495j 0.000991549+0.0018761j 
-0.293385-0.159126j -0.150722+0.117662j 0.0161672-0.00498663j -0.0115831+0.0103365j 0.0103642+0.00348447j 0.0376764+0.0243503j -0.00818445+0.000270825j -0.00916108+0.000667604j -0.0015036-0.00626643j 0.00275578-0.00537243j -0.0121728+0.000466655j -0.00113655-0.0117813j -0.00534259-0.0104618j -0.000961823-0.0024453j -0.00853891+0.00808897j -0.000814805-0.00105164j -0.0072331-0.00290316j 0.000803126-0.00401376j 0.000340732+0.00080506j 0.00267275-0.0022847j 0.0121604+0.00121884j -0.00376208+0.010926j 0.0022658-0.00781534j -0.000542205+0.00175301j -0.00200234+0.00168464j -0.00146154+0.00423151j 0.00550673-0.0124351j -0.0120283-0.00211888j -0.000314548-0.0163201j 0.0106793-0.0040837j 0.00235768-0.000383585j 0.00269719-0.0012377j -0.00576215-0.00518889j 0.00303062-0.0121545j 0.00554023-0.00334219j -0.000351671+0.00791288j 0.00233989-0.00262431j -0.00218186+0.00226567j -0.00142695-0.00076179j -0.00194181-0.00268943j 
-0.169611+0.511429j 0.119344+0.0385015j -0.00186222-0.0093538j 0.0211858+0.0141179j -0.0228091+0.0142748j -0.00903461+0.00751679j 0.00264351+0.000102312j -0.00190384+0.00136465j -0.00389988+5.53541e-05j 0.00794379-0.00111194j -0.00758177+0.00880882j -0.00689195-0.00275454j -0.012575+6.27727e-05j 0.00318076-0.0188955j 0.00318239-0.0105006j 0.00125606+0.000241993j 0.00519597-0.00162741j -0.000100447+0.00210297j 0.000117008-0.000356683j -0.000353628+0.00131996j -0.00542868+0.00804044j -0.00573385-0.0088486j 0.00267399+0.00246916j 0.001903-0.00209926j 0.00119207+0.000754449j -0.00191188-0.000151016j 0.00518757-0.00322442j 0.000323123-0.00827992j 0.00267018+0.00163907j 0.00372339+0.007673j -0.00237252+0.00315868j -0.000637639+0.000556074j -0.00562179-0.00413318j 0.000673015-0.00279687j 0.00380011+0.000999595j -0.00153259-0.00520105j 0.00184769-0.000578971j 0.00122767+0.00370553j -0.000381473+0.00280004j 0.00126347+0.00154711j 
-0.0202679-0.0179381j -0.012334-0.0136632j 0.0204227+0.0135993j 0.0356683+0.0185384j -0.035501-0.015768j 0.00690496+0.00142876j -0.000451361-0.00520408j -0.00407002-0.00549704j -0.0144676-0.0234051j -0.00814776-0.0225802j -0.00402509-0.00452417j -0.0207105-0.00448333j -0.0171672+0.00823073j -0.0129371+0.0102749j -0.00342332+0.00828798j 0.000989948+0.00111546j 0.00207994-0.00552454j 0.000550279-0.00424765j -0.00161645-0.000602064j 0.00179012-0.0010726j -0.00220041+0.00422558j -0.000255635+0.0135148j -0.00232767-0.00386459j -0.00961471+0.00529793j 0.00596249-0.00171438j 0.00448339+0.00179257j -0.0168414-0.00966407j 0.00616085+0.000354304j 0.00492146+0.00674014j -0.00327647-0.00346766j 0.00475996-0.00685449j -0.0098381+0.00679348j 0.0179411+0.00731242j 0.00657428+0.00440636j -6.71387e-05+0.00303896j -0.000625099-0.00126396j -0.000461156+0.00461144j -0.00535229-0.00111627j -0.00202123-0.00186787j -0.000636383+0.000522471j 
-0.00916708+0.0178909j 0.0198502-0.00826134j -0.004397-0.00185214j 0.00308975-0.0124636j 0.00306764-0.000733513j -0.00340645-0.00816733j 0.00295888-0.000870609j 0.00877449-0.00119012j -0.0068339-0.00472469j -0.0277362+0.0208561j 0.0151141-0.00561892j 0.00339217-0.0212108j 0.00355357-0.034324j -0.0134294-0.0174273j -0.00887111-0.00729653j 7.30866e-05+0.00120697j 0.00333532+0.00265146j 0.0033506-0.00148669j -0.0056229+3.39766e-05j 6.12555e-05-9.29293e-05j -0.00746613-0.00764604j 0.00698031+0.010148j 0.0122228-0.00113354j -0.0224909+0.0175054j 0.010843-0.00965461j -0.00517731+0.00449503j 0.0208872-0.0179057j 0.00314324+0.0147604j 0.0175138-0.00111217j -0.00540739-0.00813284j 0.00877326-0.0178418j -0.0150331+0.017388j 0.0148999+0.0102824j 0.013546-0.0081269j 0.00317269-0.0114439j -0.00152924+0.000275864j 0.0035874-0.00115184j -0.00734421+0.00900531j -0.00200006+0.0060973j 0.00106586+0.00224175j 
-0.0249658+0.00129006j -0.024566+0.0510049j 0.0194611-0.00658555j 0.00197974-0.0475798j -0.0157747+0.0131358j -0.0171091-0.0269387j 0.00310032-0.00371574j 0.00343714-0.00634919j 0.00827418-0.00839568j 0.00618075-0.00577293j 0.00195768-0.0102975j 0.00550411-0.00226802j 0.00579984+0.00268662j 0.00500893+0.00972466j 0.00420247+0.00314182j -0.000425801+0.00163386j 0.00847935+0.00500302j 0.00351759+0.00255136j -0.00102639-0.000739967j 0.00131485+0.00245115j -0.00621483+0.00192048j -0.020825-0.0127746j 0.00222473-0.0067691j -0.00549889-0.000750252j 0.0039253+7.58634e-05j -0.000995261+0.00462631j -0.000742947-0.0214264j 0.000977195+0.0058649j -0.0162099-0.00215721j 0.00649111-0.00132771j 0.00528413-0.00259669j -0.00207717-0.000124498j -0.0105939+0.0152756j -0.0127894+0.00645696j -0.00981313-0.000412234j 0.00325001+0.00124831j -0.00477436+0.0017902j 0.00427606-0.00735808j 0.0046159-0.00382662j -0.000109354-0.00132834j 
-0.550852+0.0275873j 0.000522328-0.0157122j -0.0205829+0.0072248j -0.00804793-0.000934484j 0.000440624-0.0201752j -0.0228159-0.0120792j 0.00481798+0.00310294j 0.00897353+0.00402076j -0.00220499+0.0122428j -0.0103457+0.0110338j 0.0135156+0.00312615j 0.00103002+0.0143984j 0.00514858+0.00640909j -0.00238559+0.00358197j 0.00368032-0.00415695j 0.000498287-0.000498449j 0.000191657-0.00252743j -0.00060023-3.04451e-06j 3.17724e-05-0.000527625j -0.00182368+0.000293591j 0.00194983-0.000628384j 0.00397659+0.00508133j -0.00400365+0.00091224j 0.000563207-0.00193972j 0.0013105-0.000960167j 0.00263338-0.000672189j -0.0118547+0.00188773j -0.000789286+0.00440341j -0.00328299+0.0072712j -0.00312751-0.00541958j -0.00124184+0.000886291j -0.000947519-0.000204183j 0.00149597+0.0059768j -0.0048315+0.00308098j -0.00149949-0.00294998j -0.000371543-0.00391264j -0.00123326-0.00163714j 0.00323663+0.00127747j 0.000885689+0.00281126j 0.00118239+0.00208106j 
-0.0320692+0.00787443j 0.016812-0.00532458j -0.00532869+0.00755795j -0.00155148+0.0125392j -0.00326799-0.00920571j -0.0073878+0.00629809j 0.00709996-0.00106368j 0.007623+0.00191329j 0.0140715-0.0208245j -0.0143497-0.0432969j 0.0147594+0.00605252j 0.00992468+0.00257496j 0.0247847+0.00917399j -0.00118874-0.00219949j 0.00156874-0.00382875j -0.00231972+0.00224963j 0.00530304+0.00944944j 0.0071096+0.00605854j -0.000478583+0.00549964j 0.000833885+0.000186147j 0.00043839-0.0128157j -0.0223807+0.00390834j 0.00585441+0.0105004j 0.0162418+0.0231173j -0.00566964-0.0108381j -0.00538897-0.00345183j 0.0227304+0.0177766j -0.00102598+0.0128664j 0.00128189+0.00481856j 0.0088811-0.00810427j -0.0157066-0.0125838j 0.0180904+0.0132473j -0.0141045+0.00825636j 0.00376982+0.000517795j 0.00178074-0.00687299j -0.00190361-0.000508215j 0.00730899-0.00322846j -0.000862939+0.000967414j 0.000247212+0.00431086j 0.00125305+0.00170789j 
0.00954335-0.00693342j 0.0313915-0.0134139j -0.00326823-0.00409603j -0.0326089+0.00662423j -0.00721101-0.00456439j -0.0378583+0.0258097j 0.00235695-0.00463994j 0.00362923-0.00625867j -0.015281-0.00813178j -0.0169215-0.00992454j 0.00779691-0.0109637j -0.0213168+0.0126167j -0.00759668+0.0157744j -0.0142665+0.0279088j 0.00103797+0.00999335j -0.000157663+0.000547066j -0.0028673+0.00258342j -0.00361041-0.000800213j -7.33254e-05-0.0015797j -0.00141674+0.000306786j -0.00592487-0.00102315j 0.0183719-0.0111753j 0.00528843-0.00155724j -0.00958628-0.00918339j 0.00535629+0.00507696j -0.00174028+0.0034686j 0.0110856-0.0129482j -0.00143691-0.00123029j 0.0074169-0.0114419j -0.00183263+0.00609812j 0.00804525+0.00736951j -0.014128-0.00325271j -0.00350486-0.00595234j -0.00258122-0.0112178j 0.00208451-0.00846244j -0.00161001+0.000368918j -0.00321338-0.00419861j 0.00522771+0.00638129j 0.00215774+0.00612234j 0.00171186+0.00170122j 
-0.117995-0.26615j 0.00601614-0.142479j -0.0347153-0.00113791j 0.0477749-0.0133216j 0.00915444+0.00114974j -0.0175892+0.0108289j 0.0168094-0.0049841j 0.012965-0.013719j 0.00448874-0.00666676j 0.00727709-0.00158635j -0.00243935-0.0200044j -0.00844864+0.00663987j -0.0128401+0.000700936j 0.0185777-0.00198696j 0.0150004-0.022994j 0.00093079+0.00245321j 0.00818669-0.00636219j -0.000932132+0.000632587j -0.000879672-0.00109332j -0.00279156+0.00238521j -0.00811348+0.0116477j -0.00218944-0.00575889j -0.000854956+0.0032467j 0.00122125-0.00322005j 0.00334686-0.000413718j -0.000488602-0.00171744j -0.00209261-0.00193566j 0.00341774-0.0097535j 0.00584716+0.00989972j 0.000808964+0.0108961j -0.0065255+0.00287582j -0.00488683+0.00178957j -0.00349474-0.00594151j 0.00414741-0.00135006j 0.00823569-0.000421552j -0.00113868-0.0158345j 0.00449621-0.00179722j 0.00149862+0.0130042j -0.00391776+0.0101771j 0.00336878+0.00722913j 
0.197765+0.300342j -0.135556-0.106539j -0.0244486+0.0186002j 0.00975774-0.00513705j 0.0305525-0.0170304j -0.00537082+0.0102179j 0.00581007-0.000960173j 0.00848226-0.00609389j 0.000477998+0.00167994j -0.00574167+0.00318836j 0.00605889-0.0147141j -0.00232171+0.00779148j 0.00230896+3.90135e-05j 0.0040327+0.0110333j 0.00437818-0.00633007j 0.000234716+0.000394141j -0.00254679-0.00867317j -0.000298973-0.00415973j -0.000182012-0.00020738j -0.00110602-0.0014253j 0.010861+0.00492927j -0.000312443+0.0179519j -0.00383531-0.00647301j 0.000608595-0.000219854j 0.00123157-0.00141369j 0.00266705+0.00219216j -0.0125282-0.00888151j -0.0106158+0.00087837j -0.00157472-0.00162452j 0.00533053-0.00760803j -0.00188599-5.23267e-05j -0.000723495+0.000622332j -0.00249369+0.00148388j -0.00133497-0.00594211j 0.0067894-0.00713794j -0.00104254-0.00384742j 0.00271303-0.00467558j 0.00168263+0.00892112j -0.00282736+0.00677367j 0.000895028+0.00338104j 
-0.141218+0.168412j -0.0785436-0.151975j 0.00114279-0.00379909j 0.000217006-0.0220087j 0.0247487+0.0402044j 0.0163803+0.0224249j -0.000583819-0.00834911j -0.000743893-0.0153284j 0.00548772-0.0196245j 0.00904826-0.0177661j -0.00911642-0.026777j 0.000675233-0.0153646j -0.00261831-0.00737829j 0.00976368+0.0106332j 0.00135342+0.000469845j -0.00212783+0.00220841j -0.00763509+0.00798333j -0.00241386-0.00189217j -0.000146378-7.56979e-07j -0.000137137-0.000325693j 0.000455035-0.018307j 0.0154633+0.00102463j -0.00308062-0.000177862j -0.00340609+7.16374e-05j -0.00236403+0.000785788j 0.000391165-0.0011509j 0.00477651+0.00864018j 0.00576646+0.014269j -0.00160153-0.00171911j -0.0104014-0.0024886j 0.00222883-0.00242127j -0.00289566-0.00422175j 0.00191918-0.000240466j 0.000321393+0.00263223j -0.00583291-0.00216619j 0.00449979+0.00347465j -0.00353939+0.00034031j -0.00106766-6.76079e-05j 0.000768253-0.00158626j -0.000550248-0.000716149j 
-0.00842452-0.128873j 0.359864+0.0364516j -0.00698237-0.038505j 0.000496021+0.0430666j 0.00132101+0.0203034j -0.00221763-0.0470537j 0.00680829-0.00332191j -0.000437893-0.0114202j 0.00430246-0.0135746j 0.00100985+0.0035629j -0.00528242-0.00331378j 0.000269875-0.00869812j -0.0012595+0.0032105j 0.00457541+0.000987556j 0.0110992+0.00967751j 0.000434513-0.00273003j 0.00130495-0.00997223j 0.00210674+0.000124347j 0.000654564+0.000117822j -0.0028914+0.00425993j 0.00699073+0.00588836j 0.00471885+0.00240648j 0.00704113+0.00287366j 0.000316763-0.00317884j 0.00118084-0.0060911j 0.00110252+0.000482577j -0.00134352+0.000538909j -0.00864639+0.00585815j 0.00768771-0.00301719j 0.0020589-0.00611236j 0.004767+0.00583974j 0.00286883+0.00429894j 0.00369901+0.0012241j -0.00368847-0.00472374j -0.00258041-0.0145975j -0.00579471+0.00470524j -0.00277673-0.00650708j 0.00331622-0.00234442j 0.00983674+0.00678265j 0.00515736+0.00145494j 
0.0119449+0.0265211j 0.0747959-0.0932602j -0.0263041-0.0707724j 0.0112327-0.000362145j -0.0206073-0.0498202j -0.00429355+0.00705555j -0.00651468+0.0256743j 0.00959324-0.000910363j 0.00299308+0.0232795j -0.00844985-0.0219789j -0.00555042-0.0224868j 0.0140432-0.000812286j -0.0173876-0.0114957j 0.00927793+0.00111126j -0.00687631-0.00237418j -0.00557229-0.000587985j -0.00491811+0.0123218j -0.00118467+0.00695601j 0.00501302+0.00711889j 0.00267079-0.0129281j -0.00318264-0.00297136j 0.000458928+0.00283871j -7.81546e-05+0.00960162j 0.00904148+0.00888443j -0.00124934+0.00595033j 0.00987591+0.00625911j -0.00389482+0.000436136j 0.00321481-0.00847312j 0.0140143-0.0028845j 0.00640352-6.08087e-05j 0.000128436+0.00606341j -0.0116246+0.00175998j -0.00461143+0.0105828j -0.00121173-0.00638924j 0.00443901+0.00406077j -0.0125914+0.00430736j -0.00894147+0.000915889j 0.0120786-0.00942658j 0.00445891-0.00686031j 0.000732085-0.0075208j 
-0.129692+0.0492715j 0.102827-0.280512j 0.0170805+0.00572333j -0.00625157+0.0132095j -0.0040232+0.0200997j 0.00340093-0.0221043j -0.0134454-0.00224854j -0.0225502-0.00584521j 0.00213534+0.00713348j 0.00902842+0.00357471j -0.000701006+0.00819539j -0.0105701-0.0118562j 0.0298765+0.00225323j -0.0161657+0.00170807j -0.000784619+0.00675085j 0.000540401-0.000548914j 0.000262912+0.00284177j -0.00113921+0.00510586j 0.00807841+0.0043899j -3.47749e-05-0.00413621j -0.00110178+0.00610045j -0.00456233-0.00447213j 0.00147135-0.00528501j 0.0093271+0.00107599j -0.00736388-0.00482123j 0.0123792+0.00133326j 0.00566493+0.00170916j -0.000951423-0.00510761j 0.00444775+0.00234557j -0.00142762-0.000284355j 0.0102159-0.00248636j -0.00645279-0.00154888j 0.00396127-0.00441311j 0.000528732+0.00356122j 0.00234151+0.00280192j -0.0027887+0.000972614j -0.00901645+0.00524691j 0.0021299-0.00185686j 0.00211487-0.0043441j 0.00113317-0.00253046j 
-0.0588811+0.0454081j 0.0656745-0.217379j 0.00621499-0.0056238j 0.0151521+0.00905483j 0.0184558+0.006334j -0.0301706-0.00505403j -0.00385394-0.000613043j 0.0063672+0.0140927j -0.00911264-0.0066095j -0.00136772+0.000106682j -0.00292731+0.00414215j 0.0330224-0.002455j -0.0205832+0.00211961j 0.000713528+0.000829532j -0.0125446+0.0165605j 0.00150686-0.000527152j 0.000649607+0.00107017j -0.00336822-0.00654199j -0.0105541-0.00912512j 0.00460187+0.00246497j -0.00753436-0.00275224j 0.00243996+0.000833308j 0.00628553+0.0108213j -0.0108976-0.00177205j 0.01522+0.00920344j -0.020098-0.00544376j -0.00523048+0.00318946j 0.00119741-0.0049447j -0.0053784-0.0151682j 0.00670478+0.0035691j -0.00805024+0.00631052j 0.0170195+0.00978041j 0.00821768+0.00715053j -0.0057019-0.000643626j -0.00598749+0.00112486j 0.00144671+0.0125334j 0.0142428-0.00235463j -0.00829022-0.0130408j -0.00326996-0.00392146j -0.0055212-0.0021456j 
-0.0252354+0.0152664j 0.204728+0.131984j 0.0804844-0.0178368j -0.00272821-0.0132688j 0.0550478-0.0464375j -0.00834198+0.0303214j 0.00790643-0.0095982j 0.00950168-0.00988156j -1.93372e-05-0.00225981j 0.00323666+0.00370145j -0.00101872+0.000481634j -0.00898453+0.00820712j 0.00343871+0.0014513j 0.00413147-0.00573354j 0.00322327-0.0153562j 0.00254112+0.00998895j 0.0137208+0.0118709j 0.00407279+0.00804976j -0.00795235+0.00117206j -0.0112085-0.00905538j 0.0013405+0.00641953j 0.00226003-0.00251605j 0.00176284-0.0044137j -0.00460135+0.00137988j 0.00434719-0.00648523j -0.00577532+0.00578614j -0.0044457+0.00432798j -0.00890411-0.00534564j 0.00833541-0.00254611j -0.00680238-0.00844554j -0.004489+0.00493172j 0.00400358-0.00255888j 0.00295458+0.00336853j -0.00615473+0.000708029j 0.00226753+0.00426219j -0.00639953+0.00496408j 0.00214384-0.00570039j 0.0053741-0.00681227j -0.00201692-0.00386416j -0.00106583-0.00390209j 
-0.00187659-0.017151j -0.085172-0.0843108j -0.0207064+0.00528143j -0.000370615-0.0142263j -0.015963-0.0058405j 0.0119278+0.0209098j 0.000261195-0.00252899j 0.0117529+7.53148e-05j -0.00967262+0.000647181j 0.00482905+0.0122107j 0.0110997+0.016008j -0.00528217-0.0361018j 0.00518971+0.0241564j 0.00364481-0.000439147j 0.0292201+0.0166164j -0.00258432+0.00271292j -0.00276273+0.00353362j 0.010223-0.00526727j -0.00710756+0.0052424j -0.00122214-0.000966948j 0.00757364-0.0114305j -0.00365844+0.00379364j -0.00806789+0.000222381j -0.00864338+0.0142551j -0.00723991+0.00798194j -0.00213536+0.0112884j -0.00449899-0.00243662j 0.00471037-0.0030126j 0.0182472-0.00162521j -0.0055989+0.0121394j -0.0101801+0.00550406j -0.00617417-0.0065465j -0.0107114+0.00646463j 0.00408978-0.00774074j 0.0019062+0.00929391j -0.0110275+0.0065058j -0.00171001-0.00359822j 0.00893638-0.0110336j 0.00525004-0.00895416j 0.00234778-0.00750144j 
0.0817343+0.0481657j -0.0183589-0.214039j 0.00561588-0.0185119j 0.00333542+0.0223722j 0.0110892+0.0170539j -0.0112296-0.0229431j 0.019693-0.0073838j -0.0136175+0.00530932j 0.0187472-0.0242691j -0.00744125+0.0165941j -0.0104405+0.0202105j -0.0111882+0.00788937j 0.00452362-0.00719877j -0.000695722+0.00673189j 0.00626182+0.0114863j -0.00245609+0.00659014j 0.0077277+0.00523279j 0.00732682+0.00908667j -0.00311163+0.00479087j -0.0108797-0.00573821j 0.0051594+0.00452216j 0.0023696-0.0021754j -0.000730447-0.00224993j -0.000911779+0.00420554j -0.00330406-0.00869467j 0.00277829+0.00764155j -0.000745775+0.00163773j -0.00708424-0.00071725j 0.00828176+0.00674189j -0.00805112-0.00707496j -0.000369262+0.00367257j -0.00296042-0.00448604j -0.00164694+0.000152905j -0.00151543-0.000510134j 0.00336371-0.00212438j -0.00780496+0.000493187j -0.00432508-0.00724273j 0.00946389-0.00291549j 0.00379532+0.00276155j 0.00274686-0.000369245j 
0.0646639+0.0218036j -0.131763-0.0178293j 0.0135392-0.0384406j 0.0181546+0.0249627j 0.0335514-0.0112262j -0.0305163-0.0181545j -0.0145894-0.000871632j -0.000958136-0.0181251j -0.0107333+0.0139653j 0.0104551-0.00526163j 0.00345703-0.00668886j -0.00435576-0.0203011j 0.0175923+0.0117331j -0.00860994-0.0070702j 0.00671875-0.000125502j 0.00521076-0.00882814j -0.000743663-0.0115659j -0.00835798-0.00434657j 0.00224587-0.00546211j 0.00517515+0.00860103j -0.00727868+0.0060094j 0.00423422-0.000908733j 0.00890287+0.012354j 0.00524359-0.00832429j 0.0098547+0.000564789j -0.00153681-0.00861178j -0.00325082+0.00461637j -0.0021128+0.00207228j 0.0009585-0.00466457j 0.0128523+0.00100064j 0.00553944+0.00676997j 0.00756001+0.0147154j 0.0109166+0.00767996j -0.00780176+0.000882496j -0.00620808-0.0155198j -0.00379713+0.0039081j 0.00126197-0.0011305j -0.00108193-0.00450486j 0.00749726+0.006948j 0.00427677+0.0024709j 
-0.0292106-0.0127976j -0.161716+0.213571j 0.00254522+0.0389371j 0.0437414+0.0091223j 0.0538103+0.0325269j -0.0694823-0.0158995j 0.00210362+0.0188521j -0.002311+0.00706831j 0.00492288+0.00906582j -0.00797686-0.00814863j -0.0125306-0.00575737j 0.00100377-0.00725292j -0.00448137-0.00321884j -0.00267937+0.00299373j 0.00171931+0.00702019j -0.00280448-0.0010275j 0.000527951+0.00226363j 0.00578805+0.00695106j 0.00208287+0.00689285j -0.0034195-0.00545179j 0.00543887+0.00519395j -0.000848983+0.000309143j 0.00366421+0.00141287j 0.00504503+0.00625241j -0.00514894-0.00361389j 0.00778019+0.00657495j -0.0012311+0.0037177j -0.00136338-0.00248728j 0.0160347-0.00260878j 0.000740373-0.000568319j 0.00532468+0.00597957j -0.00552657-0.00152361j 0.00250439+0.0035759j -0.000691913-0.000718946j -0.00122354+0.000103695j -0.0114146+0.00965386j -0.0100281-0.000886426j 0.00787035-0.0126838j 0.00767432-0.00587125j 0.00250211-0.00684888j 
