-0.0035108-0.00324596j 0.00319-0.00409378j 0.00054045-0.00515213j -0.00397718-0.001613j -3.78579e-05-0.00176184j -0.00233735+0.00258335j 0.0045407+0.00225467j -0.000617234-0.00401871j 0.000576035+0.000288197j 0.000190376+0.00134357j 0.00103492+0.00199155j -0.00593475+0.00159837j -0.000719946-0.00408519j 0.00185663+0.00248887j 0.0013682-0.000306214j -0.00121676+0.000164511j -0.000951044+0.00104612j -0.000547775-0.00027462j 0.00213723-0.00260951j -0.00145297-0.000517389j 0.000610813-8.63499e-05j 0.00163246+0.00123875j -0.000340376-0.00418838j 0.00221131+0.000336862j -5.58149e-06+0.00183872j -0.00164911+0.000247288j 0.00117641-0.000437841j 0.000449732+0.00030286j 0.00131781-0.000324545j 0.000203989+0.00144328j -0.00187592+9.81007e-05j -0.000679045-6.09665e-05j 7.30482e-05+0.00110928j -0.000936164-0.000124978j -0.0010232+0.000239639j 0.000500943-0.000484269j -0.00141333-5.5798e-05j 0.000648544+0.00112119j -5.13668e-05-0.000211925j 0.000589351+0.0011757j -0.000641531-6.22822e-05j -0.000271417+0.000848108j 0.000364967-0.000848477j -0.000297993-0.000404566j -0.000558231-0.0005611j 0.000701956+0.000628199j 0.000179416+0.00149704j 6.57788e-05-0.000323176j -0.000604364+0.000412508j 0.000152037+0.00060018j 4.95607e-05-0.00100972j -0.000724671+0.00107009j -0.000200421-0.000385526j 0.000718847-0.000892675j 0.00160213-0.000837603j -8.97789e-05+2.83945e-05j 0.000317171-0.000140389j 0.00312347+0.00330832j 0.00135245-0.00461616j 0.00132479-0.000954494j 0.000947035-0.00186469j 0.0034287+0.00265902j -0.00279442+0.00123366j -0.00184621+0.00270326j 0.00322428-0.000825018j 0.00248372+0.00379178j -0.00144504+0.000409395j -4.29026e-05+0.00361511j 0.00210616-0.00234067j 0.00225994+0.000504349j -0.00059343+0.00144796j 0.00200047-0.00122176j -0.00188303-7.27534e-06j 0.000400712-0.00377663j 0.00349286+0.00274028j 0.010538+0.00532162j 0.00533733-0.0117578j 
0.00267159-0.00351012j 0.0036773+0.00300965j 0.00460632+0.000124872j 0.000372182-0.00403907j 0.00301-0.000404905j -0.00177525-0.00345524j -0.00237711+0.00329474j 0.00285382-0.00188026j 0.00137139+0.000274819j -0.00165181-9.29236e-05j -0.00243389-0.000424291j -0.000792846-0.00570049j 0.00216961-0.00156452j -0.00215355+0.00154671j -0.000686145+0.000272182j -0.000198402-0.0015874j -0.00232514-0.00047929j -0.000487452-0.000389j 0.00133682+0.00283307j 0.0013062-0.000897997j 0.00104626+0.000279298j 0.000243106+0.000874373j 0.00247852+0.000517725j 0.00111508+0.00193381j -0.00110765-0.000526494j -0.000479807-0.00196715j 0.000866317-2.74114e-05j -0.00119373+0.000746881j 6.17089e-05-0.000481095j -0.00169469+0.00084041j -0.000537441-8.64876e-05j -0.000810521-0.00110206j -0.00056565-0.000413562j 0.000578575+0.00065429j -0.000226959-0.000575781j 0.00111658-0.000323973j -0.000641826-0.000185203j -0.00118547-0.000784151j 0.000129718-0.00117827j -0.000284696+0.000173445j 0.000497314+0.00078397j -0.000989963+0.000298284j 0.00019249+0.000877598j 0.000133096-0.0012503j 0.00035559-0.000128008j 6.60575e-05+0.00116748j 0.00101463+0.000246978j 0.00112986-0.000216287j 0.00105384+8.74746e-05j 0.000197802-0.00072925j 0.000646614-0.000653554j -0.00119771-0.000541373j 0.00136434+0.000971063j 9.16906e-05+0.00119455j 0.00151643+0.0022395j -0.000854232+0.000587159j -6.56694e-05+0.0013625j -0.00309653+0.00283086j 0.00587862+0.00110552j 0.00109888+0.00145457j 0.00140318+0.00238305j -0.00314245+0.00342354j -0.000839474-0.00493007j -0.00297994-0.00256593j 0.000177071+0.00224633j -0.00408769+0.00348559j -0.00224396-0.00193734j -0.00237354-0.000402908j 0.00190593+0.00195663j 0.000255864+0.00225512j -0.00283616-0.00190543j -0.00100967+0.00312259j 0.000131628-0.00107414j 0.00460802-0.00185198j -3.92626e-05+0.00440592j -0.00694203+0.00935849j 0.00952385+0.00678641j 
0.000373116-0.00516031j 0.00642338+0.00110648j 0.0042742+5.13224e-05j 0.000576275-0.00161462j -0.000388679-0.00134367j -0.0027935+0.000590652j -0.000564988+0.00277585j 0.00147038+0.000507434j -0.00248447-0.00146206j -0.000283247+0.00235922j -5.42109e-05+0.00396374j -0.0033153-0.00134638j 0.00171016-3.28882e-05j -0.000372522+0.00094471j -0.000949067+0.00151941j 1.59663e-05-0.000896449j -0.000913253-1.11672e-05j 0.00172318-0.000248239j 0.00363358+0.000784938j -0.00225067-0.00248062j -0.000604712-0.00111375j -0.0010857-0.000994754j 0.00135284-0.00171789j 5.35433e-05-0.000722771j -0.00119671+0.000344492j -0.00110784-0.000191576j 0.00074686-0.000631582j 0.000224226-0.0017407j 0.000257083+0.000436883j 8.36148e-05-0.000472736j -0.000857476+0.000333592j 0.000266628+0.000561767j -0.000534179+0.00158916j 0.000565708+0.000167213j -0.00176468-0.000621831j 0.000279694+0.000387947j 0.000825598+0.0011308j -0.000974343-0.000785221j -0.000449663-0.000333973j -0.00102887-0.000637376j 0.000857892+0.00118178j -0.000941901-0.000603812j 0.00128539-0.000669429j -0.000358999-0.000960795j -0.00177337+0.000824512j -0.000860564-0.000897065j -0.000785751+0.00106588j -0.00146685-0.00139711j -0.00104542+0.000788551j 0.00187442-0.00107853j 0.000561252-0.000948702j 0.00021187+0.000495372j 0.00228356-0.00016399j -0.00131881-0.00212969j 0.00634841+0.00137029j -4.03479e-05-0.00192782j 0.0014672+5.26756e-05j -0.00138058+0.00234735j 0.00282019-0.00364829j -0.00089795-0.00339236j 0.000951005-0.00162631j -0.00118576+0.00154814j -0.0034294-0.000497969j -0.00530261-8.3776e-05j 0.00329171+0.000992237j -0.000120348+0.00299264j 0.000192398+0.00191648j -0.00367229-0.000283946j 0.00152028-0.000783551j -0.000245915-0.00360887j -0.00252966+0.000743888j 0.00206737+4.54103e-05j -0.00320063-8.5755e-05j -0.00331027-0.00193233j -0.00056068-0.00571022j -0.000937669+0.00878913j 0.0108433+0.00202315j 
-0.00491382-0.0022802j 0.00286155-0.00452695j -8.76814e-05-0.00318299j -0.00222974+0.000590334j -0.0022547-0.00163204j -0.00202974+0.00377176j 0.00430284+0.00167034j -0.00102399-0.00154797j -0.000679543+0.00059652j 0.00177055+0.00136076j 0.00204743+0.00221536j -0.00447979+0.00272211j -0.00154506-0.00094604j 0.00177902+0.00203234j 0.00239543+0.000832033j -0.00172571+0.00237375j 0.00147553+0.00177604j -0.00128689-0.00016778j 0.000995961-0.00362483j -0.00188443+0.00148004j 0.000273425-0.000130431j 0.000455393+0.000218037j -0.000522861-0.00161409j 0.000105309-0.000587144j -0.000580613+0.000983952j -0.000622719+0.00072054j -0.000496453+0.000121148j 0.00164913+0.000190775j -0.000800284+0.000652563j 0.0015568+0.00118477j -0.000356479+0.000339354j 0.00105672+0.0010218j -5.31766e-05+0.00136989j -0.00170709-0.000368431j 0.00118418+0.00070998j -0.000556678+0.000747348j -0.000487596+0.00123968j 0.000142263-3.66842e-05j -0.00127115-7.0605e-05j 8.69719e-05-0.000709494j -0.00126205-0.000375731j 0.00140434+0.000959266j -0.00132286-0.000901392j 0.00042675+0.00010682j -0.00140915-0.000185398j -0.00105434-4.60663e-06j 0.000279198-0.000676503j -0.000300404+0.000411474j 0.00129373-0.000462308j 0.00138943+0.000728154j -0.0014007-0.000494468j 0.00135739+0.000479093j 0.00285265-0.000677937j -0.000249538-0.000567496j 0.00424199-0.00220777j -0.000206917-0.000971234j 0.00255014-0.00227039j 0.00143975-0.00240617j -0.00245243-0.00336095j -0.00102591+0.000734864j 7.22611e-05-0.00127155j 0.00378906-0.000758098j -0.00394513+0.000608373j 0.000813023+0.00271967j 0.00127281-0.000957803j 0.00560884+3.15891e-05j 0.000844699+0.00132668j 0.00144447-8.62992e-05j -0.000938255-0.0016726j 0.00231944+0.00136775j 0.00148418+0.00135722j 0.0016806-4.64843e-06j 0.00135246+0.00100041j -0.00531597+7.54975e-05j -0.000170545-0.00382644j 0.0104371+0.00158237j 0.00222227-0.010075j 
0.00137014+0.000150861j -0.00114049+0.00328188j -0.00345743+0.00206928j -0.00231237+0.00379715j 1.1208e-05-0.00307345j -0.00172232-0.000333518j -6.53119e-05-0.00235379j -0.00474978+0.000740178j 0.0010682-0.00469868j -0.00192951+0.00174849j -0.00310776+0.00187934j -0.000807296+0.0012678j -0.00435175+0.000781906j 0.00129566-0.00107884j -0.00283158-0.00118578j -0.000563084-0.00026055j -0.000714884+0.000993029j 0.000478342+0.00158282j -0.00063266+0.00191148j -0.000460291-0.00263236j 0.0013118-0.00220459j 0.00236995-0.00338504j -0.00187168-0.0005435j 0.00148031-0.00316581j 0.000261389-0.000705463j -0.000550056+0.000526477j 0.00134466-0.00160208j 0.00243144-0.000624585j -0.000839574-0.001926j 0.00185233+0.00084064j -2.3294e-05+0.00181071j -0.000689801+0.000679211j -0.00127121+0.000255715j 0.000406872+0.00136995j -0.000748777-0.000176865j 0.000263064-0.000106405j -0.00142214+0.00291486j 0.00201961-0.00146303j 0.000119746-0.00121686j 0.00225883-0.00145093j -0.00146044+0.00121097j -0.000378998-0.000778094j 0.000708825-0.000148926j 0.000729969-0.000200302j -0.00211969-0.000876719j 0.00124142-0.00151109j -5.32817e-05+0.000351464j -0.000407274-0.0024257j -0.00134359+0.000548227j 0.00202351+0.00110752j 0.000535747-0.00137613j -0.000410093+0.00162944j -0.00113789+0.00346309j 0.00235146-0.00286583j 6.67879e-05+0.00660788j 0.00291967-0.00073762j 0.00137871+0.0021113j 0.00448348-0.00202736j 0.000863399-0.00250487j 0.00154557-0.00514902j -0.000620686-0.00112989j 0.00392628-0.00192004j 0.000679202-0.00113485j 0.000882092-0.00126631j 0.000584994+0.000260955j 0.00246899+0.00191413j -0.00176669+0.00357327j 0.00493281-0.000753611j 8.71296e-05-0.00282256j 0.00472911-0.00356646j -0.000700653-0.000384758j -0.00144833-6.59314e-05j -0.00263246+0.000227585j -0.0035718-0.00970742j 0.0138954-0.0060068j 0.00153082-0.00332911j -0.00626732+0.00171729j 
-0.00247967-0.000593775j 0.00083495-0.00218225j -0.000443358+0.00114728j 0.00202813+0.00260383j -0.00298889-3.22225e-05j 0.000719361+0.00232372j -0.00121286+0.000332199j 0.000796707+0.00336374j -0.00457347+0.000853105j 0.00166237+0.00109021j 0.00396041+0.000959005j 0.00321122+0.00166901j 0.00064915+0.00216127j -0.000851071-0.00235904j -0.000966036+0.00336141j -0.00105763-0.000264889j 0.00161513+0.000424017j 0.000947412-0.0018593j 0.000914351-0.000950489j -0.0038071+0.00280688j -0.00207441+0.00168366j -0.00329542+0.000859158j -0.00247409+0.00210355j -0.00374287-0.00166932j 0.000786446-0.000818602j 0.00225646+0.00235944j -0.00235461-0.000759337j -0.00161915-0.001511j -0.00136465-0.000260788j -0.000996452-0.00187066j -0.000859028+0.000722846j 0.00128582+0.00264274j -0.000335865+0.000514062j -0.001195-0.00256821j -8.87715e-05+0.00211174j -0.00207499+0.000796576j 0.000995301+0.000140923j -0.000671788-0.000899748j 0.000446432+0.000619007j -0.000786828-0.000793155j 0.00116133-0.00140723j -0.00011577-0.000433034j -0.000836065-0.00406578j -0.00109237+0.00195281j -0.0001495+0.000633298j -0.00464908-0.000780969j 0.00112533+0.000251684j -0.00294728+0.00198451j 0.000327333+0.00275831j 4.66951e-05+0.000731681j -0.000416929-0.00192198j 0.00294199+0.00106787j 0.00107909-8.69155e-05j -0.00375804+1.00773e-05j 0.00259851-0.00127243j 7.17409e-05-0.00175033j 0.00147671-0.000463651j 0.00185758-0.00366303j -0.00559856+0.000631684j -0.00591022+0.000328788j -0.00322982-0.000996021j -0.000851858-0.00193059j 0.00428456+0.000125208j 0.000741148+0.00283347j -0.000473978-0.00179975j 0.00155561-0.00125405j 0.0038404+0.000117966j 0.00109937-0.000705127j -0.00402782-0.000764795j -0.00774492-0.000738408j 0.00151206+0.00206433j -0.00323061-0.00080937j 0.000874008+0.00628332j -0.00668818+0.00456247j -0.0073776-0.00824629j -0.000746568-0.00365247j -0.00246007+0.000633413j 
-0.00259878+0.00314322j -0.00264833-0.00469511j 0.000974935-0.00302585j -0.000733514-0.00182419j 0.00110244+0.00250909j 0.00294789+0.000556622j 0.00131272-0.00261376j 0.00128112-0.0010755j 0.00145085+0.00307753j 0.00192176-0.00176832j 0.00261489-0.00274272j 0.00100131+0.00460163j -0.000594095-0.000615168j 0.00145643-0.00122124j 0.00139314-0.00174147j 0.000748287+0.0012665j 0.000904325-5.66886e-05j -0.00187361+0.000391732j -0.00194733-0.00217456j -0.000459859+0.000417296j 0.00107727-0.000523358j 0.00055385-0.000505991j 0.00101358-0.00254006j -6.7006e-05-0.000859492j -0.00120987+0.00139333j 0.000200342+0.000924689j 0.00121897+0.00077237j 0.000795392+0.000971432j 0.000299348-0.000360269j -0.000180376-0.000377996j -7.37584e-05+0.000997342j -0.000632836-0.00115744j 9.10828e-05-0.00136905j -0.000445526+0.00200867j 0.00042123-0.000593443j 0.000124037-0.00125856j -0.000205443-0.00150832j -2.05223e-05+0.00309102j -0.000327329+0.00146243j 0.000544896+0.0021961j 0.000622101-0.00167787j -9.41474e-05-0.000177881j -0.000780806+0.00308697j 3.50334e-05+9.084e-05j -0.000196-0.000156566j 0.000168275+0.000558994j 0.00208912+0.00059617j 0.000410523-0.000732826j 0.003432-0.00165535j 0.00143895-0.000431159j 0.000863494+0.00216428j 0.00096489+0.00078392j 0.000498803+0.000184251j -0.000989845+0.000341462j -0.00317135-0.00200155j -0.0037639+0.00192068j -0.000715414+0.00174051j -0.00235676-0.000953222j -0.000190149+0.000104881j -6.51165e-05-0.00173074j 9.32177e-05-0.000345727j -0.000236093-0.0047695j -0.000334029+0.00638885j 0.00071251+0.000103748j -0.00155236-0.00339783j -0.000651562-0.0036143j 0.000343531-0.000604818j -0.000211419+0.00047515j 0.00327305-0.00328305j 0.00406608-0.00127058j 0.0011499-0.00246848j 0.00248389-0.00401027j -0.00132336-0.00254535j 0.00240191+0.00497631j -0.0042253+0.00249612j 0.00542111-0.00707502j -0.00302218-0.00714686j 
0.000675102-0.00373974j 0.00125491+0.000453926j -0.000848262-0.00402676j -0.00445655-0.00211264j 0.00335031-0.00224985j -0.00146955-0.00303522j -0.000936063+3.25209e-05j -0.000719834-0.00491606j 0.001703+0.000803745j -2.4211e-05+0.00155818j -0.00193235-0.000799364j -0.000324697+0.000737574j -0.00257424-0.0041553j -0.00218283+0.00123431j 0.000492808+0.000370247j -0.000516502-0.00195805j -0.00160812-0.000307998j 0.00195705-0.00155161j -1.71994e-05-0.00381075j -0.00470314-0.00101513j 2.32464e-05-0.000587471j 0.00145331-0.00129095j -0.0037769-0.00333475j -0.000765257-0.000696494j -0.000285276+0.00117618j -8.45647e-05-0.000228649j 0.00198764-0.000450799j 0.00145215-0.000634167j 0.00283341-0.00265783j 0.000962364+0.00101745j 0.000428206+0.0028767j 0.000389047+0.00149231j 0.000860458+0.00128098j 0.00178484+3.86291e-05j -0.00248345+0.00137988j 0.000196523+0.00186784j -0.00132104+0.000817544j 0.00316893-0.00149792j 0.000224872-0.000449195j 0.00192197-0.00103166j -0.00157261-0.0014512j -0.00100598+0.00160526j 0.00339348-0.00117067j 3.42506e-05+0.000645163j -0.00176107-0.000211201j 0.000583909-0.00354607j -0.000542347+0.000415854j -0.0040551-0.00120135j -0.000882748+9.4258e-05j -0.000908682+5.94091e-05j 0.00263114+3.32662e-05j 0.000284597+0.000709997j -0.000976256-0.000554455j -0.00107065+0.000388527j 0.00110369+0.00023009j 0.000665199+0.000458694j 0.00292972+0.00186846j 0.0029721+0.00279157j -0.000998606-0.00563345j -0.00356797-0.00350066j -0.0017719-0.0047171j -0.00183565+0.00344997j 0.00462413+0.00120567j -0.00334841+0.00513072j -0.00232579-0.0029066j 0.000473576+0.00391318j -0.000261002+0.00282237j -0.00121379+0.00523508j -0.00154859-0.00538227j -0.0037445-0.000306022j 0.00187796+0.000598054j -0.00396578-0.010723j -0.00683991+0.0048929j 0.00201391-0.00561994j 0.00334878+0.00283694j 0.00129285+0.00345765j 0.00139742-0.00625193j 
0.000156504-0.000959378j 0.00249707+0.00115534j 0.00188096+0.00299875j 0.00131424+0.00101911j 0.000129368+0.00163522j 0.00143668-0.000969257j -0.0017675-0.00430707j -0.000151666+0.00187704j -0.00157518+0.00084437j 0.00159755+0.00257089j 0.000944382+8.68916e-05j -0.000273354+0.00242525j -0.00168995+0.000433455j -0.00170193-0.00055503j 0.000438751+0.00111797j 0.0015835+0.000103788j 0.000648103-0.00212908j 0.00131333-0.000521346j -0.00136207-0.00161759j -0.00266925-0.00148153j 0.000672799+0.000127177j 0.000502364-0.00218432j -0.000463652+0.00172929j -0.00067796-6.11774e-05j -0.00151048-0.00148366j 0.000105431-0.000529163j 0.000360268+0.00252202j 0.00114498-0.0016947j 0.00367547-0.000550276j 0.00202153-0.00258395j -0.00275164+0.00021674j 0.000393833+0.000331456j 0.00264804+0.000288588j -0.00150895+0.000748538j 0.000311192-0.000531953j 4.98256e-05+0.000792436j 0.000186884+2.51005e-05j -0.00089933-0.00469806j -0.00125614+0.000841164j -0.00224645-0.00233196j 0.000370448+0.00177492j 0.00269438+0.000523604j 0.000223893+0.000508106j -0.00032019-0.00065854j 0.000349662-0.000386767j -0.00138989-0.00433972j -5.81613e-05+0.000987343j -0.000677459+0.000705844j 0.00117261+0.00238167j -0.000568022+0.00189251j 0.00300194+0.00521882j -0.00117333+0.00140259j 0.00100702+0.00221863j -0.000993845-0.00419348j 0.00220216-0.00118639j -0.00190684-0.00433131j 0.000294331+0.000829259j -0.000349397-0.00667251j 0.000434319+0.00422527j 0.000706129-0.00205361j -0.000694229-0.00230492j 0.00227225-0.00440493j -0.000566146-0.00110687j -0.000727366-0.00484599j -0.00125787-0.00299788j 0.00231757-0.00458003j 0.000727266+0.000620605j 5.80363e-05-0.00545909j -0.00050542+0.00477701j 0.00166652+0.00230058j 0.00746767-0.00460254j -0.00119696-0.00713306j -0.0027183-0.00214788j -0.00344976+0.00269946j -0.000487424-0.00610649j -0.000350694-0.00453073j -0.00263155+0.00545467j 
0.000529141+0.00127989j -0.00244157-0.00201278j -0.00228821-0.00214195j -0.0019299+0.00134178j 0.000562966-0.00145561j -0.00133871+0.000989385j -0.00148732+0.00021592j -0.00072458+0.00123477j -7.56534e-06-0.00272302j -0.00160156-0.00172002j 0.000511099+0.00142496j 0.00165117+0.00340298j 0.000168354-4.29183e-05j 0.00245869-0.00174882j -0.00329541-0.00290375j -0.000534334-0.00360427j -0.0022476+0.000598198j 0.00073067+1.56122e-05j -0.000809999+0.00239686j -0.00163163-0.000956416j -0.00152638-0.000796596j -0.00143119-0.000142885j -0.0022399-0.0016953j 0.00120478-0.00226462j 0.00125438+0.000869176j -0.00132982+0.00275175j 0.00293132-0.00168274j 0.000125531-0.00111399j -0.000899264-0.00220687j 0.000250309-0.000369082j 6.29536e-05-0.000343755j -0.000911001-0.00188282j -0.00108824-0.00225529j 0.00179092-0.000521854j -0.00112466+0.000889763j 0.00193197-0.000192859j -0.00118698-0.000210408j -0.00052805+0.00142367j 0.00177026+0.000686575j 0.000651146+0.00204427j -0.000257964-0.000407594j -0.000543024-0.00371885j 0.0011375-0.00265696j 0.000431956+0.00159553j -0.000315414-0.000923684j 0.000685532+0.00247077j -0.00227222-0.00047673j 0.00130208-0.0011796j -0.0046532+0.000559317j 0.00113379-0.00189532j 0.00359744-0.00399824j -0.00131721+0.00193847j -0.000405072-0.00203004j -0.00254319-0.00243759j 0.000405311-0.00325805j 0.00200557+0.00134412j -0.00166235-0.00355365j 0.000172345+0.00147858j 0.00218882-0.000870307j -0.000889055-0.00126881j -0.00164404-0.000362434j -0.000562473-0.00456827j -2.95201e-05+0.0059527j -0.00316164-0.000150335j 0.00268336-9.12945e-05j -0.00207178-0.00578549j 0.000461837-0.00180161j -0.000282592+0.0021793j 0.00239471+1.09411e-06j -0.00132971-0.00938269j -0.0066573-0.00229849j -0.0033128+0.000223405j -0.00581924+0.00221582j 0.000327778-0.00232166j 0.00443186-0.00157429j 0.0010866-0.00495145j -0.00219773-0.00434654j 
0.0035746+0.000365792j -0.000532502+0.00256915j 0.00119518-0.000688052j -0.00022745-0.00294603j 0.000361696+0.00232086j 0.00344812+0.000337197j 0.00276864-0.00284911j 0.00150842-0.00110909j -0.00200051-0.00067575j -0.00199074+0.000934945j 0.0012663+0.00039395j -0.0017162+0.000995767j 0.0027629-0.00248181j 1.07334e-05-0.00280608j -0.00135859-0.00160799j 0.00290805+0.000438034j 0.000734608-0.00281568j 0.00301881+0.00190749j 0.00223227-0.00118944j -0.00143497-0.0038783j -0.000847363-0.000218965j 0.000518811+0.000112499j -0.000556613-0.00482787j -0.00201619-0.000860711j -0.000402992+0.00133593j 0.000906261+0.000418154j 0.000304038+0.000615866j 0.00132289-0.00163439j 0.00305727+0.00261892j 0.00119952+0.000541883j -0.00160476-0.00162158j -0.000936608-0.00107204j 0.000421797+0.00280838j 0.000592691-0.00156224j -0.00203577-0.00167208j -0.000733644+0.00142692j 7.58058e-05-0.00043424j 0.00527102-4.96826e-05j -0.000150992+0.00079592j 0.00470902-0.00138248j -0.00195476+0.000380785j -0.0023064+0.00141925j 0.00184154+0.000660933j -0.00102829-0.000328854j -0.00230917+0.0011872j 0.00387282-0.000685887j -0.000605201+0.00181955j -0.00235306-0.00155198j -0.00309212-0.000354787j 0.00170588-0.00099674j -0.00252789+0.00343863j -0.000562327-0.00119173j -0.000955607-0.00130613j 0.00105271-0.00255483j 0.00204775+0.0028813j 0.00247963-0.000270159j -0.00110396+0.000951939j 0.00333404+0.00358049j -0.0021521+0.000470666j -0.000555856-0.00284584j 0.00237978-0.00252406j -0.00152463+0.000721694j 0.00300838+0.00219989j 0.000436287-0.00207072j 0.00369153-0.000771075j 0.000216676+0.00125428j 0.00186952-1.8509e-05j -0.000801435+0.00059797j -0.0038195-0.00284908j -0.00334357-0.00621758j 0.00299155+0.00492505j 0.00834856-0.0067008j -0.00349921-0.00431539j 0.00109754-0.000115695j -0.00131448+0.00140405j -0.000112163-0.00209582j -0.00219105-0.00085039j 
