-0.11963-0.118458j 0.217117+0.152546j -0.00258626+0.0285852j -0.00928026+0.0265424j -0.00822923+0.0476251j 0.001109-0.0136248j -0.00221839+0.00293841j 0.00324756-0.0116952j 0.00183132+0.0204092j -0.000991614-0.000443268j -0.000501491-0.0149076j -0.000366457+0.000928358j 0.00295057+0.0191652j 0.0257587+0.0330344j 0.0153237+0.0166857j 0.00481987-0.00128731j 0.000779373-0.00591217j 0.000190991+0.0060563j -0.00155166+0.0026309j -0.000128294+0.00363578j -0.00145685-0.00909178j 0.00361046+0.00716831j -0.00359614+0.00265361j -0.0004301-0.00264805j 0.00100255-0.00108609j -0.000448968-0.00626817j 0.00176648-0.00203683j -0.00323721-0.00213864j 0.00473599+0.0196309j 0.00168234-0.00259171j -0.000898246-0.000327501j -0.00779711+0.0126635j -0.0256533-0.0041024j -0.00413741-0.00157559j 0.0138911+0.00215805j -0.00266408+0.0024701j 
0.126127-0.146938j -0.258132+0.281597j -0.0201688+0.0154224j -0.0125195-0.00273607j -0.0354971-0.0226474j 0.00855225-0.00520255j 0.00467655+0.00766673j -0.00358622-0.00893795j 0.00235949+0.0119252j -1.96023e-05-1.31568e-05j -0.0074714-0.00206043j -0.00139512-0.000744695j 0.00377251+0.00465168j -0.00714161-0.00140877j -0.00969832+0.00338424j -0.000385595-0.00128667j -0.00557066-0.00624973j -0.000239629+0.00135734j 0.00223954+0.00650238j 0.000998245+0.00217285j -0.00823585-0.00655343j 0.00227223+0.00151946j 0.00520589+0.00557106j 0.00291805+0.00222053j -0.00116382-0.00060745j -0.00947774-0.00811215j 0.000342344-0.000188276j -0.000774365+0.00306962j 0.012483-0.0078965j -0.00845053+7.42752e-05j -0.00105159+0.000480801j 0.00975451+0.0025705j -0.00793156+0.0175547j 0.00534002-0.00100658j -0.000378326-0.00798406j -0.00112354+0.000926028j 
0.160443-0.292498j 0.0999115-0.00860046j -0.0549664-0.0231287j -0.0208305+0.00646579j 0.016299+0.000952251j 0.00680611+0.00568935j -0.0211995-0.0148966j 0.0160246+0.013078j -0.0244622+0.00440035j 0.0152583+0.00204059j 0.00312801-0.0105037j 0.0175981-0.00297575j -0.00751016+0.0161029j 0.0177708-0.0134259j 0.00282982-0.00706174j 0.000983875+0.00205817j 0.00461486+0.0086407j -0.000615028+0.001329j -0.00331782-0.00958456j 0.00242295-0.000394279j 0.0101335+0.00347508j -0.00347085+0.00375337j 0.00105111-0.00755573j -0.0150632-0.000704972j 0.00638528-8.81732e-05j 0.0157614-0.00368415j -0.00512483+0.00662764j 0.00657185-0.00827104j 0.0158335+0.00410636j 0.00159783-0.00192731j 0.00380344-0.00520381j 0.00647563+0.0093178j 0.00856188+0.0185276j 0.00378696+0.00180843j -0.00869648-0.00591468j 0.00245033-7.83747e-05j 
-0.00539423-0.0279396j -0.0792964-0.177701j -0.0216157+0.0123879j -0.0244681+0.0154697j 0.0180257+0.0115575j 0.00443611-0.00456977j 0.00011361+0.00792302j 0.00191637-0.00660099j -0.0120184+0.00698598j -0.00680869+0.00254517j 0.00648388-0.0115544j -0.00513329+0.00421956j -0.00927686+0.0153533j 0.0107284+0.0146543j 0.00458601+0.0042534j 0.00226439-0.000659152j -0.00337993-0.00612916j -0.000913002-0.000540075j 0.00632898+0.00300323j -0.00268819+0.000547102j -0.00320973-0.000470965j 0.000253981-0.00467333j 0.00126068-1.86209e-05j 0.00759306-0.00309155j -0.00559764+0.00198961j 0.000318788+0.0068254j -0.0010053-0.00209473j -0.00386551+0.00392191j -0.00126331+9.20882e-05j -0.000799418+0.00400027j -6.64926e-06+0.00211581j -0.00632225-0.00170268j -0.00777668-0.00287792j -0.000422856-0.000629543j 0.00415076+0.00126476j -0.00109621+0.000357026j 
0.0558407+0.0651234j -0.0778353-0.12149j -0.00717988-0.00645356j 0.0457021-0.0187192j -0.00896949+0.0132783j -0.00165983+0.00249252j -0.010742-0.00349292j -0.00164351-0.00312171j 0.0299119-0.00704009j 0.0239591-0.00952998j 0.00145092+0.00603277j 0.0224881-0.0156908j -0.00141269-0.013829j 0.00835373+0.0313401j 0.00923373+0.00988265j 0.000286226+0.00092539j 0.000257368-0.00106399j 0.00353288+0.00281558j -0.00404479+0.00154762j 0.0135134-0.00102174j -0.00683767-0.00574524j -0.0016836+0.00110091j 0.016775-0.00512368j -0.0115917+0.0120279j 0.0185756-0.0100658j -0.00540681-0.0017544j 0.000717463+0.00191031j 0.0185626-0.0180341j -0.0135374+0.00566559j 0.00217812-0.00104527j 0.00304127-0.00609236j -0.00496789+0.0117195j -0.000872056+0.0093509j -0.00110172+0.00326904j -0.000954232-0.00340589j 0.000353138+0.000844107j 
-0.420636-0.256258j -0.165118-0.0674662j -0.017591+0.0214568j -0.00322718-0.00670144j -0.0206445-0.0297623j -0.00323052+0.000389771j 0.0121141+0.00159959j -0.00969803+0.011283j -0.00177551-0.00857782j 0.0124512-0.0147231j 0.00495381+0.00998113j 0.00745333-0.0189238j -0.00327058-0.0083326j -0.00978155-3.05094e-05j -0.00516149-0.00032665j -0.00268888-0.000507633j -0.00981012+0.00105131j 0.00126406-0.00148756j 0.01478+0.000785138j 0.00135516-0.000989193j -0.00450898+0.00980316j -0.00440241-0.00171135j 0.00838892-0.0113113j 0.00237761-0.00214242j 0.000884511+0.0126361j 0.00510246+0.00929709j 0.00175399+0.015849j 0.00214105-0.00898124j 7.62758e-05+0.0115416j 0.00286824+0.00400028j -0.00242581-0.00488885j -0.00343149+0.0026378j -0.0145857-0.00195549j -0.000954843+5.98985e-05j 0.00648731-0.00327566j -0.0011553+0.000316984j 
-0.111295-0.0543984j 0.0839025-0.00382311j -0.00337666+0.00059605j -0.00851199+0.00980819j 0.000916132-0.0177675j -0.00486208-7.82843e-05j 0.00603465-0.00791141j -0.00969469+0.0082012j 0.0116087-0.0141621j -0.00742045-0.00281271j -0.00607835-0.024001j -0.00978841-0.0009898j 0.0195462+0.0278327j -0.0294376+0.00810438j -0.0100316+0.00748826j -0.00102676-0.000554958j -0.00435161-0.00456854j -0.00220563+0.000234987j 0.00674683+0.0035818j 0.00469904-0.00202619j 0.00053435-0.00219082j -0.016964+0.00790582j 0.00778006-0.00256737j 0.00199594-0.0128352j 0.0052925-0.027605j 0.0109365-0.0189627j -0.011207-0.0312961j 0.0112591+0.0078438j -0.0191869-0.0052007j 0.00312752-0.00295491j 0.00810487+0.00565881j -0.00836218+0.0156935j 0.00553506+0.0159358j 0.00147362+0.00237762j -0.00783764-0.00586581j 0.00112747-0.000170086j 
-0.147057+0.032675j 0.0563765-0.245088j 0.0124199-0.00142184j 0.00969847+0.0513735j -0.0180626+0.00297735j -0.000544733+0.000241884j -0.00163136-0.000336995j 0.00640457+0.00859722j -0.00867679-0.0167459j 0.00763558+0.0213161j 0.0131542+0.0029628j 0.0142982+0.01936j -0.00781344+0.00493092j -0.00293374+0.0022062j -0.000499075+0.000756106j -0.00042506+0.00210783j 0.0041994+0.00570701j 0.00311061-0.000715823j -0.00154495-0.00327319j -0.00132742-0.00525916j -0.00596596+0.0067844j -0.0082718-0.00565416j 0.00041157-0.0110058j 0.0128842+0.00156703j -0.00598237+0.000183392j 0.0118988+0.0113834j 0.00229144+0.0028426j -0.0101965-0.00625118j -0.00310311+0.0070581j 0.00611178+0.00281574j -0.00325659-0.000293265j 0.000842692+0.00423168j 0.00894564+0.00523155j 0.000367823+0.000403234j -0.00640154-0.00158722j 0.00110038-0.000120226j 
-0.153082+0.0936268j -0.078839+0.0141491j -0.0128854-0.0166967j -0.0171172+0.00462178j 0.0488334+0.000705282j -0.00873648+0.00315325j 0.010398-0.018975j -0.00848777+0.0146176j -0.00916362+0.00442982j -0.00698198-0.0237247j 0.00147255-0.0079038j -0.0132119-0.0214064j -0.00362509+0.00554603j 0.0124622-0.00174935j 0.00692456-0.00298427j 0.00122049-0.00242504j -0.0029926-0.00373076j -0.00312076+1.25855e-05j 0.00706499+0.00542426j 0.00196964+0.00262143j 0.00732952+0.000643261j 0.00259207+0.00157693j 0.00330677+0.00350709j -0.00844859+5.42952e-05j 0.0084384+0.00468783j -0.00423336+0.000445108j 0.00169209+0.00306243j 0.0108384+0.00177906j -0.0107499-0.00951228j 0.00029795+0.00181956j 0.00242186-0.00122963j -0.0113034-0.0136703j 0.00135394-0.0192306j -0.00409276-0.00185251j 0.0046765+0.0087845j -0.000485905-0.000650534j 
-0.0149773-0.0243195j -0.134078-0.116138j 0.00535733+0.043941j -0.0206903-0.0355634j 0.0344162+0.0163607j 0.00802895+0.000802586j -0.022379+0.0244516j 0.0165781-0.00839109j -0.00963164-0.0239868j 0.00244976+0.00101141j -0.00536083+0.00178357j 0.00327454-0.000907151j 0.00646846-0.00462212j -0.00802085+0.00454458j -0.00140888+0.0013238j -0.0021616+0.0048048j 0.00454881+0.0108745j 0.00469269+0.000911725j -0.00781666-0.013814j -0.00144733+0.000481938j -0.00641652+0.00120975j 0.0107628-0.00521117j -0.000517456+0.000881372j -0.00102571-0.00997398j -0.0150715-0.00605278j -0.014822+0.0168645j -0.0163438-0.010103j 0.00537425+0.00343537j -0.0138402+0.0201435j -0.000752918+0.00529454j 0.00513358+0.00281017j -0.00249447+0.0102586j -0.000891151-0.00213066j 0.000774645+0.00189652j -0.00035386-0.000445677j 0.000656155+4.64397e-05j 
0.160328-0.258349j -0.152934-0.2694j 0.0203804+0.00232712j 0.0169376-0.00986769j 0.0314753-0.00299193j -0.00303168-0.0036777j 0.00794225+0.00208332j -0.00527103-0.00765807j 0.0200678+0.0195168j -0.00136855+0.00115926j 0.022158-0.00471075j -0.000285092+0.00119864j -0.0241046+0.0127542j -0.00767516+0.00477071j -0.000301258+0.000533033j -0.00113517-0.0011562j -0.00670539+0.000197549j -0.00969166+0.00145197j 0.00866743-0.00950056j -0.00596179+0.00216124j 0.0143064-0.011082j -0.00815985-0.00657001j -0.00717535+0.00363163j 0.00511023+0.00543145j -8.64765e-06-0.000900874j 0.0132882-0.00328356j 0.00251051-0.00124907j -0.00579303+0.00449749j -0.00861392-0.0141806j 0.00304831+0.00192883j -0.00116392+0.00100198j -0.0157718-0.00624367j -0.00797639-0.00652118j -0.00274773-3.43005e-05j 0.00394537+0.0015058j -0.000351669-0.00061307j 
