-0.000997583-0.00153218j -0.0015814+0.00129149j 0.00107634+0.00347868j -0.00344173+0.000590906j 0.000923173+0.00129448j -0.00223797-0.00213125j -0.00215394+0.000993936j -0.00209555-0.000241211j 0.00019519-0.000271708j -0.00131004-0.000234513j 0.00134367-0.00284785j 0.000435417-2.90009e-05j -0.00153413+0.00242489j -0.000176453+0.00166412j -0.00152317+0.000363848j 8.89108e-05-0.00176972j 0.00160434-0.000746771j 0.00222339+0.00269336j -0.000899096+0.000312177j -7.93407e-06-0.000416058j -0.00178886+0.000510239j -0.001833-0.000348305j 0.00158425+0.00104626j 0.0020804+0.000562409j -0.000972312-0.000374928j 0.00142073-0.000200843j -0.00213592+0.000335533j 0.00160153+0.00191903j 7.6307e-05+0.00169589j 0.000130198-0.000674579j 0.00112902-6.72713e-05j -0.00180056+0.000148432j -0.00228713+0.000455528j -0.00162856+0.00168868j 0.000124298+0.000309598j -0.000351497+0.000337974j -0.00142932+0.000564236j 0.0023351+0.000712638j -0.000579028+0.00140993j -0.00348508+0.00256319j -0.00185579-0.00076124j 0.000984736-0.000123581j -0.00127118+0.00221663j -8.09646e-05+3.90596e-05j 0.00107176-4.67589e-05j -0.00168815+0.00108372j -0.000844787-0.00106199j 0.00097979-0.000263169j -0.000408266-0.000144232j 0.00131941+0.00118152j -0.00126817+0.00192024j -0.000227006-0.00188522j -0.00110505-0.000355849j -0.000862398+0.00143054j 0.00101729-3.74787e-06j 0.000520168+0.00222841j -0.000287319+0.000157045j -0.00194436+0.00135648j 0.00201943-0.000590906j -0.000367297-0.000459858j -0.00118931+0.000333852j 0.0012644-0.00223699j -0.000765657+0.000288814j -0.00119293-0.00366304j 0.000883131+0.00227928j 0.00077915-0.00250639j -0.00147565-0.00475228j -0.00446228-0.00214835j -0.00548143+0.00222598j 0.00108964+0.00540727j -0.013334+0.00492268j -0.00503129-0.0131515j 
-0.00209069+0.00145853j 0.000933622+0.00187718j 0.00433957+0.000698049j 0.000458839+0.00431074j 0.000104403+0.000504657j -0.00137773+0.00098656j 0.00469593+0.00219848j -0.00270364+0.00270868j -0.00095983-0.000225708j -0.00156349+0.00144351j -0.00112192+0.000115321j 0.000475632-0.00174806j 0.000649096-6.55204e-05j -0.00139344-0.00156704j 0.000894309+0.00337615j -4.96634e-05-0.00226942j -0.00037371+2.2725e-05j 0.00200631+4.35532e-06j 0.000221349-1.20581e-05j -0.000569267-0.00315444j -0.00238097-9.61892e-05j -0.00145964-0.00136963j 0.00246687+0.000159558j -0.000989487+0.000196788j 0.000814197+0.000850575j -0.00193137-0.00147026j 0.00124153-0.00087877j 0.000406557-0.000381352j 0.000799727+0.00271004j 0.000115933-0.00272976j -0.00291987-0.00028912j -3.53566e-05+3.19323e-05j -0.00037224-0.000545268j 0.00117081-0.000751222j 0.00482144-0.00139566j 0.000559315+0.000526651j -0.00110838-0.000839201j 0.00332617+0.000812797j -0.000129655+0.000805061j 0.00275151+0.000159861j 1.86168e-06-0.000700522j 0.00085593-0.0027054j -0.00265123-0.00338297j -0.00246523+0.00276991j 0.00123451+0.00338915j 0.000879031-0.00438359j 0.00134433-0.00105192j 0.00147777+0.00038372j -0.0012224-0.00392006j 0.000731239-0.00158986j 0.00270007-0.000774617j 0.00247321+0.000557959j -0.00260393+0.000319318j -0.00155158+0.000740925j 0.00206511+0.000335158j 0.000534411-0.00276539j -8.77873e-05+0.00309804j 0.00137574-5.48748e-05j -0.00108934+0.000632932j -0.00052203+0.0010031j 0.00205127-0.00346135j 0.00247712-0.000631052j -0.000886807-0.0040112j 0.000860699+0.00284816j -0.0052327-0.00143641j 0.00201689-0.0060695j -0.00120113+0.00178292j 0.00358243+0.00103187j 0.00381687+0.00446546j 0.00466942-0.0044694j 0.00566685+0.0145726j -0.0151237+0.00534036j 
0.000374188+0.00138769j 0.00121746+3.84099e-05j 0.00267478+0.0035602j -0.00322793+0.00183584j 0.000381265+0.00108145j -0.00230342-0.00272175j -0.00166984-0.000712627j -0.000586142+0.00121234j 0.000762331-0.000655278j -0.00142537+0.00035753j 4.61072e-05-0.00286211j 0.000993221-0.000847818j -0.00218261+0.00297796j 0.000575009+0.00133339j -0.000963943+0.000331584j 0.00017398-0.00375858j 0.0021828+0.000309998j 0.00205114+0.00386501j -0.000991239+0.00087443j -0.000921485-0.000839725j -0.00220029+0.00100202j -0.00118864-0.000688911j 0.00219577+0.000641397j 0.00222422+0.00123506j -0.000915631-0.000475216j 0.0012807+0.00161714j -0.00296463-4.46425e-05j 0.000821895+0.00321621j 0.00088663+0.00160665j -0.000627014-0.00276018j 0.00143501+0.00127156j -0.00276343+0.000128119j -0.00407042-0.000139821j -0.00165606+0.00144753j 0.00204764-0.00205148j -9.07803e-05+0.000250034j -0.00199891+0.00147769j 0.00316786-0.000282137j -0.000352629+0.00325562j -0.00289692+0.00314934j -0.00250146+0.000448181j 0.000336801-3.89643e-05j -0.00456195+0.00300818j 0.000186045-0.000862186j 0.00216213+0.000474068j -0.00139579+0.0012866j -4.79833e-05+3.75763e-05j -0.00139044+0.0013155j -0.00271098-0.000255448j 0.00118121-0.000251641j -0.00189247+0.000218237j 0.00285271-0.00111419j -0.00310463-6.71379e-05j -0.00125099+0.00409656j 0.000655108+0.000292933j 0.00265739+0.00221801j 6.42263e-06+0.00258079j -0.00309596-0.00127279j 0.00213318-0.00112438j 0.00142237-0.00151321j -0.00189767-8.72312e-05j 0.00174014-0.00259303j -0.00317088+0.00113796j 0.000259022-0.00164893j 0.000283627+0.00297058j 3.93724e-05-0.00336429j -0.000598166-0.00393828j -0.00352217-0.00236146j -0.00241799+0.0082571j 0.00737172+0.00219384j -0.012987-0.00123696j 0.000834303-0.0127331j 
-0.00316033-0.00142338j -0.00102436+0.00324692j -0.00328942+0.00129928j -0.00109781-0.00276029j -0.000796472-0.00397447j 0.00143517-0.000620512j -0.00110658-1.55761e-05j -0.00133311+0.000774163j 0.00294518+0.00204666j 0.00166929-0.00207682j -0.000618551-0.00128782j 0.000619085+0.00184131j -7.19446e-05+7.3463e-07j 0.00343016+0.00175709j 0.000319067-0.00101349j 0.00221147-0.000740838j -0.00136162+0.000908284j -0.0013295-0.000894307j 0.00019478+0.00288647j 0.000881718+0.000629989j 0.000617024+0.000131709j 0.00333498+0.000508098j 0.000165908-0.00335185j 0.000689578+0.000590258j -0.000723656+0.00135441j -0.00272605-9.00356e-05j 0.00110491+0.000111543j -0.0023982+0.000113258j 0.00174457-0.000706969j 0.00347314+0.000946762j 0.000361948+9.95165e-05j -0.00154542-0.000551921j 0.00199497+0.000354947j 0.00133592-0.00128617j -0.000351974-0.00182706j 0.000128889-0.00109363j 0.0038086+0.00177566j -0.00115307-0.00107671j 0.00131093-0.000485812j 0.00447807-0.00159192j 0.00140498+0.000804724j -0.00147224+0.00136909j 0.00216406-0.00170819j 0.000949416-0.000405096j -0.00160209+0.000772195j 0.000242053-0.00141026j -7.90575e-05+0.000934268j -0.00176806-0.000553709j -0.00172908-0.000979599j -0.00132644+0.000122195j -0.00367293-0.00284821j -0.00328587+0.00271826j 0.00144528-0.000652719j 0.00233023-0.000854458j -0.00269262-0.00105555j -0.0010448+0.00164095j -0.000388801-0.00277411j 0.000454771-0.00118334j 0.000425838-0.00120224j 0.00304789-0.000457769j -0.00211435+0.00373398j -0.00252597+0.00154113j -0.0011858+0.00454208j -0.00264288+0.00280942j 0.00535056-0.00313816j 0.000520951+0.00759204j 0.00230172+0.00238597j 0.00220311+0.00172209j -0.011383+0.000733284j 0.00223063+0.0126308j 0.00839077-0.00729592j 0.00750481+0.00824917j 
-0.000683167+0.00142356j 0.00126226+0.000446457j 0.00424483+0.00057551j -0.000408624+0.0035848j -0.00313147-0.000106423j -0.00015447-0.00126389j 0.00178365-7.31781e-05j 0.00106536+0.0031396j 0.00218519+0.00145734j 0.00144525-0.00118338j -0.00201356+0.000890354j 0.00192983-0.00254524j 0.00138035+0.00166539j -6.42821e-05-0.0002034j 0.00142309-0.000857196j 0.00154201-0.00168615j -0.000339447+0.00153164j -0.00208508-2.24951e-05j -0.00170957+0.00197721j 7.82114e-05-0.00144043j 0.000593662-0.00143252j 0.0003205-0.000432311j -0.000172113-0.00124325j -0.000687617+0.00114648j -0.000487569+0.000813994j 0.000705718+0.00168833j -4.28681e-05+0.00093559j 0.000796355+0.000329602j 0.00142952-0.000752446j -0.000161416+0.000510114j -0.000115885+0.00126055j -0.00091097-0.00154546j -0.00196387+0.000323671j 0.00138295-0.000624539j 0.000923786+0.00108096j 6.46335e-05-0.0006302j -0.000136442+0.00142032j 0.00138486+0.000571087j 3.04211e-05-0.000694349j 0.000723135+0.00317348j 0.000582228+0.00207795j 0.000497716-1.25758e-05j 0.000521319+0.00257139j -0.000924691-0.000207685j -0.000327648+0.00144859j 0.00503375+0.0012455j 0.00215418+0.00172041j -0.000825494+0.00397668j -0.000145197-0.00342472j 0.000298831-0.00261361j -0.00264064-0.000512963j 0.00061764+0.0012138j -0.000741231+0.00077843j 0.00154898-0.00179689j 0.00541574-0.00128422j -0.000285549-0.0016039j 0.00140427+0.000867252j 0.00199275+0.00470878j 0.00223034+0.0045306j -0.00375096-0.000465551j -0.000912811+0.00314907j 0.00368143+0.000840425j 0.00106314+6.1681e-05j -0.00126104+0.00202067j 0.00202487-0.00412147j 0.00216667+0.00126037j 0.000921606+0.00105635j 0.00116445+0.00273039j 0.0113378+0.0141578j 0.0149353-0.0113737j 0.00311382-0.0160091j 0.0157274+0.0029934j 
0.00135608+0.00342714j 0.00369791-0.00116349j 0.00235949+0.00198452j -0.00312405+0.00223911j 0.00258407+0.00187196j -0.00134782+0.000962689j -0.00316855-0.000404658j 0.00265241-0.00268737j -0.000987772-8.76982e-05j 0.0012971+0.000734169j -0.000567619+0.00036728j 0.000568798-0.00094969j 0.000917189+0.00146442j 0.000910844+0.00143895j 1.09584e-05-0.000434401j -0.00018446-0.000607896j 0.00196209+0.000620824j 0.00070328+0.00248416j -0.00381662-0.0021843j -0.00150893+0.000853801j 0.00212708+0.000487606j -0.00319279+0.000635003j -0.000556957-7.23265e-05j 0.00254561-0.000433783j -0.00200472+0.000384331j 0.00357265+0.00103688j -0.00580085+0.00113039j 0.00298936-0.000614709j -0.000940237-0.00198788j -0.00189503+0.00155697j 0.00196631+0.000762316j 0.000186291-0.000456428j -0.00328603+0.00228029j 0.000415644-0.000451213j -0.0048673+0.00412707j 0.00210357-0.00268578j -0.000500543+0.00210134j -0.00175544-0.0001117j -0.00213054-0.000806391j -0.00569806+0.00493012j -0.000402827+0.00365633j -0.00281534+0.00293644j 0.000861045+0.00833268j 0.00174831+0.000179538j -0.00128149-0.00250811j 0.00506554+0.00914493j -0.00113021+0.00425766j -0.00185516+0.000483048j -0.00115687+0.00282656j 0.000663831+0.000128467j -0.00245046+0.000322013j -0.000346553+0.00065935j 0.000151109-0.000625796j -0.00186972+0.000841493j 0.000670998-0.00329928j -0.00296334+0.00496447j -0.00032989-0.00249811j 0.000476112+0.00270628j 0.00325282-0.000166032j 0.000562585-7.63054e-05j -0.000659521+0.00274435j 0.00047405-0.00417357j 0.00103563+0.0022621j -0.00242913-0.00589141j 0.00526485+0.0029925j -0.0012998-0.00100354j -0.00584636-0.00527146j -0.00800706+0.00350124j 0.00397526+0.00448045j 0.00341746-0.00292101j -0.00897616-0.019047j 0.0193261-0.00862487j 
-0.00632118-0.0104664j -0.010114+0.00623234j -0.0065693-0.00849096j 0.00906926-0.00630495j -0.00203437-0.00833951j 0.00535457+0.00113228j 0.00144613+0.000485042j -0.00417391+0.00109953j 0.00309377+0.00382291j 0.00315102-0.00429866j 0.00222421+0.000413994j 0.000735005+0.00152415j 0.00267198-0.00352629j 0.00213904+0.00252561j 0.00461421-0.000808865j 0.00010928+0.00184138j -0.000609863-0.00206358j 0.000231516-0.00302044j -0.00215512+0.00348135j 0.00146657+0.00110011j 0.00252756-0.000926091j 0.000594149+0.00282863j -0.00117317-0.00400499j 0.000261179-0.000121749j -0.000895661+0.00141198j -0.00118365-0.00212417j 0.0012402+0.00229472j -0.000961504-0.0038706j 0.000812428-0.000241003j 0.00239411+0.00370579j -0.00067022+5.46087e-05j -0.000575183-0.00152793j 0.00383529+0.00327015j 0.00188375-0.00289394j -0.0037135+0.00123201j -0.000134492-0.00284076j 0.00441634+0.00108968j -0.00399805+0.00183398j 0.000388115-0.00424444j 0.00396222-0.0010012j 0.00158866-0.00160358j -0.00121289+0.00075719j 0.00802678+0.0019083j 0.00245474+0.00423275j -0.00233086-0.000594664j 0.00250841-0.000603402j -0.00199678-0.00025886j 0.00159291-0.00340436j 0.00133143-0.00106023j -0.00184912+0.0029426j -0.00199133+0.000138314j -0.00805326+0.000993211j 0.00401173-0.00169469j 0.00172662-0.00354133j -0.00288173-0.00323004j -0.00269263+0.00407417j -0.00204524-0.00519946j 0.00604636+0.00104445j 0.00413787+0.000772843j -0.0008999+0.00292146j -0.00104735+0.00110483j -0.00573701+0.000122217j 0.000907334+0.000133808j -0.00651717+0.00222953j 0.00465911-0.00841853j 0.000406216+0.00836245j 0.00238954+0.00581978j 0.00858933+0.000512764j -0.00477381-0.0179646j -0.0162535+0.00518339j 0.00147768+0.00916201j -0.00863549+0.0014561j 
-0.0217761-0.00558297j -0.0055221+0.021916j -0.0187393-0.00406379j 0.00406731-0.0210683j -0.0163642-0.00368987j 0.00471863-0.011338j -0.000783675-0.00726104j 0.000744516+0.0125039j 0.013413+0.0131647j 0.012775-0.00877922j -0.00478782+0.00476449j -0.00282805-0.00130371j 0.00205637-0.00777236j 0.00721683-0.001477j 0.0118598+0.0057354j 0.00104606-0.00112408j -0.00822507-0.00379446j 0.0055661-0.00280872j -0.00959087+0.00582196j 0.00205404+0.000891647j -0.00253656-0.00613486j 0.00757115+0.00387101j 0.00474461-0.00556547j 0.00338557-0.00227897j -0.00220232+0.00640098j -0.00266223-0.00250135j -0.00632705+0.00767976j -0.00497965-0.000413038j 0.00414746-0.000867255j -0.00294195+0.00744166j 0.00657944+0.000205308j -0.000383756-0.00260047j 0.0032817+0.00597903j 0.00448517-0.00873755j 0.00106463+0.00158561j 0.000669451-0.0102653j 0.00235525+0.00577622j 0.00316091+0.0038487j -0.00130884-0.000540829j 0.00741102+0.00331486j -0.0016814+0.0140129j 0.00370612-0.000725989j 0.01827+0.00599253j 0.00613956-0.000317269j -0.00182534+0.00473149j 0.00839282-0.00924058j 0.00521516+0.000991237j 0.00831741+0.00583004j -0.00398833-0.0118341j 0.00254413+0.00363808j -0.0118544+0.0031467j -0.0073644+0.00349319j 0.00323707+6.9641e-05j 0.00332541-0.0136467j 0.00713366-0.00562103j -0.0051004+0.00129031j 0.00100607-0.00511857j 0.00836715+0.00653926j 0.00905695+0.000613026j -0.00542557+0.00481673j -0.00257053+0.00923333j 0.00176897+0.00309226j 0.00117201+0.00191577j -0.00252151+0.00644947j -0.0039345-0.0110951j 0.00861418+0.00335639j 0.00626115-0.00196468j 0.00422635-0.00804784j -0.0100305-0.0071933j -0.00625342+0.00925687j 0.0180258+0.00371103j -0.00356967+0.0180108j 
-0.0103201-0.00825914j -0.00826522+0.0103552j -0.00569153-0.00828249j 0.00887459-0.0063108j -0.00182053-0.00591792j 0.00059929+0.00244152j 0.00479754+0.00503885j -0.00626989+0.00216103j 0.00149586-0.0111918j -0.0174843-0.00515259j 0.0103775-0.0159958j 0.0079204-0.00132148j -0.0054744+0.00204565j -0.00014563+0.00870795j -0.00559276-0.020937j 0.00170669+0.00577858j 0.000705008-0.00152491j -0.0114335-0.00352496j 0.0161226+0.00783465j 0.00226588-0.00245286j 0.00202395+0.00468716j 0.00409584-0.000877799j -0.00944558-0.00347787j -0.00229746+0.0051865j 0.00145747-0.00385954j -0.00117032+0.00350033j 0.0149866-0.00434881j -0.00185622+0.00445365j 0.00574937+0.00519155j 0.00879439-0.00360501j -0.00253962+0.00332836j -0.00539204-0.000999537j 0.00644757-0.00517516j -0.00418911+0.00547346j -0.00491034-0.00371424j -0.010631+0.0071609j 0.008821-0.00548894j -0.00155194+0.000868971j 0.00359085-0.00190365j 0.00224674-0.0090142j 0.00167568-0.0171043j -0.00227975-0.00297105j -0.00244186-0.0124974j 0.000297443-0.00125822j 0.000731499-0.00535325j -0.013761+0.00207223j -0.0104605-0.00892132j -0.0105961-0.0136258j -0.00030194+0.00520006j -0.00178631-0.0033612j 0.0127747+0.000153426j 0.000950121+0.000478675j -0.000334039-0.0033438j 0.00591942+0.0110772j -0.0120709+0.006816j 0.0199483-0.00329634j -0.00293316+0.00768424j 0.00115508-0.0143989j 0.00373725-0.00578102j 7.9931e-05+0.000202862j -0.0110591-0.00147838j -0.00881275+0.0103843j -0.00771191-0.000992136j -0.0033667+0.0155189j -0.0067492-0.0159354j 0.00612752+0.00749275j 0.0115661+0.00663213j 0.0150737-0.011663j -0.0105199-0.0208513j -0.0188628+0.00872876j 0.00974795+0.0175885j -0.017478+0.00973199j 
-0.00955037-0.00600016j -0.00632995+0.00977846j -0.00967302-0.00640076j 0.00835855-0.0115504j -0.0108192-0.00710389j 0.0042265-0.00791764j 0.00354806-0.00357025j -0.00563428+0.0123443j 0.00867449+0.0123079j 0.00922026-0.00578359j -0.00105488+0.001569j -0.00329732-0.000392408j 0.000185542-0.0055877j 0.00358241-0.000397771j 0.00751788+0.00602179j 0.000416408-2.82962e-05j -0.00502729-0.00442931j 0.00372503-0.000975027j -0.005321+0.00426233j 0.000505821+0.000496861j -0.00392982-0.00377281j 0.00696372+0.00279087j 0.00426947-0.00165454j -0.000135436+0.000134238j -0.000728189+0.00213176j -0.00228205-0.000423752j -0.00209347+0.00296164j -0.00606332+0.00139191j 0.0030466+0.00224547j -0.0034612-0.000958462j 0.00468508+0.00125582j -0.00131525-0.00224377j 0.000850143+0.0018454j 0.00236498-0.00171775j 0.00757891-0.00523211j 0.00110564-0.00282264j -0.00171359+0.00470428j 0.00501266+0.000716979j 0.00167218+0.00370981j 0.00786556+0.00046502j -0.0053301+0.0061873j 0.00406216-0.00334426j 0.00479546+0.0016924j 0.00169583-0.00141362j 0.000872223+0.00396234j -0.00109574-0.0101772j 0.00201265-0.00193307j 0.00363629+0.00249014j -0.00378801-0.00799473j 0.00201992+0.00224553j -0.0044533+0.00111921j -0.00160135+0.000597506j -8.62085e-05-0.000237877j 2.36825e-05-0.00392804j 0.00125613-0.002841j 0.00293877+0.00042939j -0.00145613+0.000530757j 0.00529589-0.00347597j 0.00543003-0.00208835j -0.000832758+0.00345493j -0.00109748-0.000299792j -0.00142867+0.00094475j -0.00342786-0.00325914j -0.00095069+0.00823177j -0.00723303-0.00704403j 0.00196499-0.00158502j 0.00527548+0.0050888j 0.0107366-0.0077602j -0.00645694-0.00958827j -0.00850954+0.00480151j -0.0061706+0.0193034j -0.0197001-0.00615288j 
0.000589413+0.00264009j 0.00257148-0.000533629j -0.00607046+0.00354427j -0.00450615-0.00761654j -0.00769851+0.00496923j -0.00023734-0.0043796j 0.00105497-0.00582888j 0.0064153+0.00775744j 0.00441095+0.00447398j 0.00577325+0.000453867j -0.00642267+0.00434058j -0.00437209-0.000287801j -0.000395332-0.00164539j 0.00205118-0.00345298j 0.00265559+0.00324864j 0.00231853-0.000516276j -0.00457629+0.00135765j 0.0015991-0.000186675j -0.00143154-0.00206877j -0.00113033+0.000485638j -0.00211683-0.00162442j 0.001055-0.00154073j 0.000432682+0.00215632j 0.00116545-0.00236196j 0.00043894+0.00141237j -0.000659617-0.000218817j -0.00244696+2.61306e-05j -0.000903979+0.000120058j 0.0015805-0.00404118j -0.00437641+0.000629203j 0.00217022-0.00185584j 0.000324559+0.00136701j -0.000867121-0.000984034j 0.00177016-0.00327752j 3.24638e-06-0.000515432j 0.00145211-0.00131137j -0.00241304+0.000744906j -0.000173275-0.0022029j -0.00190887-0.00223254j -0.000249727-0.00339496j -0.00433297+0.00745536j -0.000358355-0.00441541j 0.00211693-0.000437051j 0.000110786-0.000866221j -0.000927631+0.00380553j -0.00109551+0.00347041j -0.00291593+0.00378932j 0.00154933+0.00274585j -0.00347446-0.00266583j 0.00281471+0.00422113j -0.00231073+0.00105504j -0.000691817+0.00269672j 1.62494e-05-0.00289827j -0.00923609-0.0062667j 0.00150438-0.00314858j -0.00601172+0.000852436j -0.00474251-0.0012973j 0.000766779-0.00615151j 0.000738018-0.00542061j 0.00323902+0.00639427j 0.00513926+0.00140351j 0.00309634-0.00167679j -0.00334852-0.00395679j 0.00646981+0.00112703j -0.013899+0.00913096j -0.0022365-0.00916812j 0.000292154-0.00372994j -0.0071532-0.0105047j -0.0133966-0.00263895j -0.0048754+0.0116302j -0.00646945+0.0144925j -0.014401-0.00637101j 
