-0.0121767-0.0110516j 0.0106648-0.006926j 0.00436242+0.00723163j -0.00068144+0.0114615j -0.00691939-0.0242769j -0.000186425+0.00581879j 0.000468976+0.014093j 0.00373762+0.0120706j 0.00159162+0.0184145j 0.000148199+0.0102219j -0.00414709+0.00204393j 0.00776283-0.0164279j 0.0113396-0.0208154j -0.000132272+0.0337742j -0.0355865+0.0260363j -0.00136765-0.0124753j -0.00392825+0.0121143j -0.00665881+0.00804221j -0.00184357+0.00470523j -0.00114763+0.000127045j -0.0168443+0.0107518j -0.0134823+0.00680214j -0.010139+0.00403374j -0.00939592+0.00376889j -0.0155043+0.00722504j -0.014508-0.000110607j 0.00487811-0.00379512j 0.0137971-0.00236268j -0.0163843+0.000713296j 0.00862425-0.00329204j 0.0115275-0.00140178j -0.00569466-0.000163297j -0.00487741-0.00037551j -0.00661303-0.008637j 0.0132495-0.00141053j -0.0184477+0.0059384j -0.0238244-0.0148822j 0.00421421-0.00551186j -0.00478792-0.00405315j 0.00444321-0.00737868j 0.0105205-0.00275053j -0.00209185+0.000364471j -0.00170142+0.00405287j -0.00244703+6.39184e-05j -0.000670541+0.00035896j 0.00615292+0.00303644j 0.00090869-0.0068916j -0.0043258-0.00607932j 0.000474675-0.00218392j -0.00291607-0.00381038j 0.00289424+0.00705076j 0.00835047-0.00290177j -0.00741925+0.00026897j -0.00470913-4.88052e-05j 0.00330734-0.0069338j -0.00140816-0.0034668j -0.00399644-0.000884431j -0.00369313-0.00851622j 0.00612871-0.00824687j 0.00290919-0.00197365j 0.00729644+0.000788894j 0.00171253+0.001026j -0.00149022-0.00550351j -0.00841202+0.000597605j 0.00915782-0.00643097j -0.00352807+0.00155694j 0.000161565+0.00317478j -0.000469624-0.00296465j 0.00826524-0.000990587j -0.00504775-0.00627082j -0.00753834-0.0034102j -0.00283869-0.00662806j -0.00345813+0.00176837j 0.00868795+0.00296653j 0.00584819-0.00468793j -0.00233918-0.00155825j 0.00258807-0.00512935j 0.00502591-0.00335286j 0.00249862+0.00198436j -0.00171948+0.00682339j -0.0106719-0.00652251j 0.00327135-0.00734638j 0.0076723+0.00498338j 0.00247704-0.00492113j 0.00390072+0.00171718j -0.00163756+0.00661813j -0.00360333-0.00131792j -0.000672644-0.00530119j 0.00103161+0.00827721j 0.00420998+0.00461452j -0.00428279+0.00576915j 0.0126888-0.00400493j -0.0122606-0.00687302j 0.000389545+0.00288167j 0.00502317-0.00379404j 0.00258117+0.00877737j -0.00755201+0.00396215j 
-0.00159617-0.00611454j 0.00727968+0.00104644j 0.001385+0.00708101j -0.00743584-0.0191115j 0.0010748+0.00519014j 0.00122767+0.0143017j 0.00233319+0.0300277j 0.000998776-0.00996322j 0.000890795-0.0211637j -0.00103599+0.000966157j 0.00729541-0.0132606j 0.0040682+0.0211933j 0.0144492-0.0348846j 0.0141173-0.0106473j -0.00123086+0.0091127j -0.00197073-0.00126195j -0.00126346+0.00880722j 0.00555664-0.00170567j -0.013048+0.0103811j -0.0128112+0.00664906j -0.00636253+0.00178228j 0.0219124-0.00563374j 0.00431052+0.000945151j -0.00285814+0.00218285j -0.00956387+0.00385131j -0.00117219-0.00283171j -0.0268844+0.00236657j 0.0118668+0.000192505j 0.00229386+0.0010456j -0.0131447-0.00123766j -0.0123618-0.000859699j 0.0121593+0.00293316j -0.00675514-0.0082311j 0.0185991-0.00346252j 0.0206271+0.00598209j 0.00772573+0.00589992j -0.00770599+0.00112148j -0.000885667-0.00342994j -0.00303354+0.000836385j -0.0013657-0.00103343j 0.00476878-0.0033904j -0.00279878+0.00294042j -0.00825737-0.00639632j -0.00433102-0.00721723j -0.00135465-0.00145171j -0.00783686+0.00466726j -0.00256978-0.00345534j 0.000771248+0.00887016j -0.0040733-0.00839838j 0.009154-0.00326943j -0.00267456-0.00369426j -0.00118633-0.00426217j -0.00443059-0.00226847j 0.00824977-0.010843j 0.00347411-0.000203614j -0.00665737-0.00113278j -0.00545184-0.00803065j 0.000109185+0.00366356j -0.00677706+0.00474339j 0.00854817+0.00407245j 0.00509147-0.00684366j 0.00246262+0.00653147j 0.00849465-0.00394883j 0.00634136+0.00460003j 0.00423613-0.000646456j 0.00991787+0.00475154j -0.00226897+0.00228811j 0.000703648+5.67386e-05j -0.00744176+0.00399847j -0.00879-0.00180656j -0.00772526+0.00219682j 0.00626544-0.00196146j 0.00206833-0.00544293j -0.000892839-0.00835594j -0.00693604+0.00151161j -0.00873677-0.00410669j -0.00172377-0.00406013j -0.00178092+0.0100571j -0.00772891-0.0057607j -0.0082283-0.00663451j -3.92458e-05-0.00400833j 0.00122914+0.00117919j 0.000377673-0.0030062j 0.00692855-0.00689298j -0.00967164+0.00146396j 0.000400044-0.00378281j 0.00329195+0.00941455j -0.0105174+0.000482833j -0.00199734+0.00773616j 0.000303339-0.00407065j 4.07404e-05-0.00794955j -8.86638e-05-0.00489083j -0.0063472-0.000948658j -0.00320691+0.00455449j 0.00176135+0.00623725j -0.00127273+0.0037161j -0.00237828-0.00115408j 
-0.0158825+0.0233765j 0.0107874+0.0149647j 0.00151762+0.0117627j 0.018612+0.00623577j -0.00401873+0.00523239j 0.00432155+0.00304594j 0.0299819+0.00358167j 0.00782118-0.00846742j 0.0189368+0.00753557j -0.0102558-0.00467879j -0.0255699-0.00314315j 0.0314399+0.0267883j 0.0652422-0.00303985j -0.0387119+0.0900437j -0.0895949-0.0640804j -0.0321526-0.0251862j -0.0236784+0.0325506j 0.0110206+0.00591474j -0.0100581+0.00756913j -0.00224109-0.00390589j 0.00572488+0.00423179j -0.00499087+0.00869265j 0.00443028-0.00191918j 0.00146494+0.00307822j 0.000921538+0.00419044j 0.00684922+0.00365102j 0.00381912+0.00476763j -0.00201905-0.00357737j 0.00240999+0.00244354j -0.00328035-0.00639616j -0.00953402-0.00255269j 0.000992266+0.00339682j 0.0111317+0.00283084j -0.0142077-0.0117869j 0.0129947-0.00831109j 0.00398826+0.0268659j -0.0189398-0.00703246j 0.0144178+0.00047084j 0.00675304-0.0214864j -0.012959-0.0102946j 0.00136965-0.00754656j 0.00743426+0.010631j -0.00721652+0.00706321j -0.000618498-0.00612213j 0.00469928-0.00797891j -0.00821467-0.00450797j 0.00927345+0.000417277j 0.00119107-0.000247004j 0.000557356-0.00700003j -0.00237513-0.00686536j 0.00195706+0.00379519j 0.00231405+0.00144537j 0.00462071+0.00342728j 0.00334466-0.000883415j -0.00163981-0.00292311j 0.00833694+0.000955321j -0.00100234+0.00267965j 0.00698652-0.0087367j 0.00163238-0.00866336j 0.000735753-0.00426561j -0.00142985-0.00642967j -0.00225002+0.00477775j 0.00726897-0.00162998j 0.0100845+0.00318971j -0.00460675-0.00240187j 0.000532562-0.00201242j -0.00836227-0.00402535j 5.72666e-05+0.00844707j -0.00227277+0.00292357j 0.00606674-0.00271069j 0.0108405-0.00205415j 0.00262734+0.00088419j 0.00647094+0.00575329j 0.00257746+0.000144849j 0.00385476-0.00515572j 0.00148412-0.00291188j -0.00427344-0.00304531j 0.00456991-0.00259266j -0.00527746+0.00312697j 0.000951305+0.00227897j -0.00284209-0.00219593j -0.00403693+0.002669j -0.00521214-0.00207923j 0.00165593-0.0129004j 0.00265109+0.00722642j 0.00642684+0.00265615j 0.00186112+0.00382004j -0.0031276-0.000843315j -0.0083175-0.00714511j 0.00105763+0.00362065j -0.00668472-0.000645611j 0.00217627-0.00849857j -0.000906598-0.0119706j -0.00495781-0.00160315j -0.00489721-0.00862823j 0.0193851-0.0260716j -0.0268003-0.0227603j 
-0.00161503-0.0131918j -0.0121481+0.00911715j -0.0151332+0.00304425j -0.00181668-0.00484844j -0.00465007+0.00503366j -0.0269468+0.00289824j 0.011421+0.00837014j -0.0129439+0.000108409j 0.0126345-0.00834093j 0.0290886-0.0143887j -0.0018907-0.0090817j -0.0244724-0.0295829j -0.0330264+0.0153991j -0.078368-0.0343256j 0.00652394-0.0584281j 0.0231835-0.0147862j -0.0130157-0.0238676j -0.0108025+0.00442807j 0.000230841-0.00560481j 0.000854822-0.00231772j -0.000873309+0.00221647j -0.00302314-0.00315383j 0.00319124+0.000242825j -0.000573984-0.00235175j -0.00507609-0.000361306j 0.00030971+0.00448628j -0.001646-0.00311252j 0.00216961-0.00396599j -0.00313276+3.19679e-05j -0.000586131+0.00304941j 0.00428177-0.0030442j 0.000418275-0.00764711j 0.000965183-0.00113605j 0.0107327+0.00399021j 0.00262345+0.00776882j -0.0137394-0.00174032j -0.00399792-0.0156639j -0.00556788+0.0126654j 0.00620111+0.00512033j 0.00434989+0.000508471j 0.00619258+0.00712758j -0.00737662+0.00845553j -0.0135253-0.00191941j -6.46318e-05-0.00626805j -0.0138109+0.00315745j 0.0027881-0.00649408j 0.0022738+0.00539056j -0.00600808-0.00823599j 0.0072728+0.00164026j 0.00110165+0.000127409j -8.98593e-05-0.0053453j 0.000329084-0.00547278j -0.00650884-0.00694669j 0.00807594+0.000972142j 0.00273374-0.00256359j 0.00270879+0.00395112j -0.00634088+0.0107921j 0.000982876-0.00352903j 0.00414073+0.000491452j -0.00225313-0.0075238j -0.00769439+0.000809008j 0.00602868-0.00344487j 0.00489572+0.0128763j -0.000779503+0.00565617j 0.00653826+0.00136599j 0.00780565-0.00325173j -0.000733086+0.00646452j 0.00427835-0.000283181j -0.00168299-0.000202576j -0.0022615-0.003046j -0.00286947+0.00907179j 0.0017383+0.00317347j -0.00261392-0.0049294j 0.00605343+0.00343859j -0.000299424-0.0143282j 0.0061465+0.000928866j 0.00983189+0.000858278j -0.00356127-0.00246008j -0.0130706+0.00171854j -0.00651091+0.00057799j -0.00324554+0.00693724j 0.00192685+0.00377707j -0.00183382-0.00391748j -0.0073013-0.0020631j 0.0032964+0.00124149j 0.0012311+0.00130727j 0.00589513-0.0145024j 8.55412e-05+0.00146133j -0.0110701-0.0018711j 0.0100676-0.00300365j -0.00191169-0.00163804j 0.00467358+0.00659415j -0.000964871-0.00687449j 0.00808486+0.00963276j -0.0132033+0.00433133j 0.0135911+0.0125552j 0.0108512-0.0132382j 
0.000256021+0.00438784j 0.00486415-0.00462697j 0.00755267-0.000324193j -0.0139723+0.00673673j 0.00369676-0.00134724j -0.0164657+0.00346222j -0.00148026-0.00124013j 0.00804757+0.0101171j 0.0403429-0.00262314j -0.0411614+0.0011024j 0.0329051+0.0151114j 0.024983+0.00988499j -0.0147613-0.0153661j 0.00283807-0.000376274j -0.00193616+0.00297261j -0.00740737+0.00736123j 0.00532258+0.00758655j 0.00651823-0.00288621j 0.00293118+0.0011452j 0.00128116+0.00169777j 0.000288846-0.00175302j 0.00259132+0.000827867j -0.002128+0.00112421j 0.000674791+0.00047911j -0.000173342-0.000131825j -0.000822062-0.000361932j -0.000375051+0.00112586j -0.00246945+0.00115075j 0.00287201+0.00156563j -0.000770395-1.14348e-05j -0.000264033+0.00112912j -0.000160239+0.0022257j -0.00200858-0.000297156j -0.00291068-0.00069461j -0.002443-0.00292385j 0.000940275+4.04071e-05j 0.000225486+0.00110327j 0.00354994-0.00455535j -0.00140464-0.00142841j -0.00226942-0.000206283j -0.00259874-0.00390362j 0.000891565-0.00415727j 0.0113983-0.00415423j 0.00613917-0.00119653j -0.0049944+0.00492318j 0.00764575+0.00715118j -0.00289796+0.00147872j 0.0012013+0.00314274j 0.00908832-0.000683645j 0.00279202-0.00903221j -0.0028445-0.00512261j -0.00767033+0.00401059j -0.00237583-0.0086099j -0.00888412+0.000779005j 0.00154398-0.00587048j 0.0135261+0.00383795j -0.0100528+0.00316962j 0.000454249-0.00404042j -0.00641456-0.00431766j -0.00137293+0.0159337j -0.00239229-0.00837879j 0.00216242-0.0065773j 0.00539787+0.00804047j -0.00247555-0.00455587j -7.95444e-05-0.00319332j -0.00198474+0.00520546j 0.00313943+0.00278642j 0.00197492-0.00813121j 0.00317118+0.000896049j 0.00218526-0.00615526j -0.003054-0.00142303j -0.00473311+0.0154981j -0.00370531-0.00106364j -0.00869235+0.00279493j -0.00268222-0.00505672j 0.00374397-0.00129982j 0.00519416+6.08226e-05j 0.00620664+0.0156201j -0.0107991+0.0041593j 0.00621942-0.000901469j -0.00663236+0.00174874j 0.000521428-0.00906102j 2.45773e-05+0.00258381j 0.000441735+0.00555851j 0.0021864+0.0100298j 0.0110617+0.00197812j -0.00292898+0.00218429j -0.00469899+0.0042097j -0.003886+0.00197479j -0.0106657-0.00299132j 0.00329771+0.00623879j -0.000246348-0.0013891j 0.00139803+0.00149112j -0.00747886-0.000950373j -0.000154483-0.00460238j -0.00276772-0.00252083j -0.00257567+0.00257607j 
-0.0122443+0.00115108j 0.0143156+0.0217037j 0.0155659+0.0200221j 0.0265185+0.0134995j 0.014714-0.0114757j -0.0136408+0.00949145j 0.0164915+0.0144202j 0.00598518-0.0051224j -0.0126772+0.0113475j -0.0293321-0.01087j -0.0122776-0.00380352j -0.0186879+0.0135855j 0.0564059+0.0205759j -0.115396+0.0511692j -0.00115347-0.0864833j -0.03019-0.0295109j -0.0259244+0.0140593j 0.0171234+0.00779897j -0.0176931+0.00839335j -0.00380377-0.00822853j 0.00196965+0.00902527j -0.00457456+0.00735086j 0.00570927+2.19825e-06j 0.00352198+0.0021735j -0.0061062+0.00535831j 0.00979717+0.0074578j 0.00752161+0.00266486j 0.000856744-0.00706487j 8.12786e-05-1.83691e-05j -0.00401122-0.00597996j -0.00610102-0.00360673j 0.00321591-0.000307574j 0.0143406+0.00180959j -0.013888-0.0184828j 0.0264916+6.3224e-05j -0.0296684+0.0279994j -0.0235415-0.0302946j 0.020662+0.0111074j 0.00209303-0.018014j -0.0047717+0.00326997j 0.00432225-0.0149661j 0.0168339+0.0134633j -0.00777847+0.00862153j -0.0119444-0.0047626j 0.00451284+0.000547688j -0.00225444-0.0101876j 0.00595249-0.00109967j -0.000815076+0.00898941j -0.00410722-0.00190654j -0.00438354+0.00157722j 0.00183388-0.00152994j 0.00624606+0.00491304j -0.00652816-0.000827746j -0.00048865+0.00182419j -0.00343637+0.00410904j -0.00020688+0.00135833j -0.0064983+0.00285061j -0.00383417+0.000714757j -0.00438091+0.000849031j -0.00158305+0.000947828j 0.00772616+0.00109006j 0.00832025-0.00331953j 0.0077007-0.00108742j -0.000678523-0.0104525j 0.00257953+0.00449273j -0.00672351+0.000373395j -0.000655743+0.0065046j 0.00395637-0.00730204j 0.00623811+0.00314836j 0.00669745-0.00103338j -0.00567047-0.00404128j 0.00715783+0.00379468j -0.00327166+0.00347429j -0.00360765-0.0119911j -0.00104049+0.00399322j -0.00202435+0.00298166j 0.00404979+0.00279981j -0.000435553-0.00683964j 0.00266847-0.00205285j 0.0016198-0.00398819j -0.000728707+0.0108991j 0.000244055+0.000276591j 0.00579805+0.00228646j -0.00249353-0.00600705j 0.00171705-0.00075838j 0.00312876-0.000849425j 0.000542855+0.00614222j 0.000985801-0.00166775j -0.00830374-0.00709874j -0.00956904+0.00111706j -0.0196842-0.00717952j 0.00724629-3.17336e-05j -0.0113242+0.00813621j 0.00393896+8.05147e-05j -0.00723344-0.00537113j 0.0189948-0.0286455j -0.0239957-0.0300675j 
-0.0167709-0.0215996j -0.0283761+0.00520072j -0.0216222-0.00407087j -0.0213327+0.0185664j 0.00738548+0.00955511j -0.00389467-0.00125897j -0.0254028+0.015629j 0.0140591-0.00319288j -0.0255692-0.00649849j 0.0154619-0.0328195j 0.0132148-0.00802151j 0.000357022-0.0310821j -0.0155034+0.0515342j -0.0658531-0.0985563j 0.0985957-0.0689208j 0.0488402-0.0277802j -0.0429763-0.0376526j -0.0139876+0.00549068j -0.00119746-0.0142395j -0.00588965-0.00130459j -0.0071581+0.00700614j -0.00944598-0.00789967j 0.0148593-0.000351943j 0.0029038-0.0073347j -0.00857253+0.00185762j 0.000294358+0.00924942j -0.000906549-0.00814499j 0.0067588-0.0093753j -0.0135532+0.00046693j 0.00197177+0.0136043j 0.017011-0.00578309j 0.00162725-0.0208707j -0.00334548-0.00581169j 0.0185904+0.0121606j -0.00413982+0.0218571j -0.0305866-0.0258961j 0.0194146-0.030915j -0.00782671+0.0237747j 0.0284102+0.0137726j 0.00402211-0.0158597j 0.00910051+0.0039401j -0.00738494+0.00927878j -0.0119804-0.0139929j -1.03543e-05-0.00363642j 0.00240188+0.0094037j 0.00854835-0.00397879j 0.000157328+0.00365947j -0.0111759+0.000610534j 0.0138334+0.00257362j -0.00194423+0.00398684j -0.00350253+0.00180314j -0.00576253+0.00623243j -0.00160871-0.000322873j -0.00593932-0.00401306j 0.000684929-0.0060169j -0.00539195+0.00973716j -0.00352107+0.000650906j -0.00247946+0.00463126j -0.000274729-0.00293806j 0.00210057+0.00367908j 0.0026708+0.00175184j -0.00209289+0.000525681j -0.00227337-0.00311768j 0.00547692-0.000763989j 0.0015891+0.00542218j -0.00481447-0.000453513j 0.00124254-0.00764323j -0.00432147+0.0079067j 0.00996376+0.00161399j -0.00157855-0.00188465j 0.00182892-0.00839751j -0.00258727+0.000200433j 0.00356943-0.000543005j -0.00108667-0.00191284j -0.00318306+0.00446181j -0.00456795-0.00329838j -0.00353187-0.00628561j -0.00127583+0.00512559j -0.00670315+0.00280242j 0.00495717-0.00196263j 0.0019372+0.00707278j -0.00285157+0.00770863j 0.00248293+0.00485786j -0.00973354+0.00203705j 0.0012377-0.0046716j 0.00194011+0.0051227j 0.00495824+0.00527802j 0.000953684+0.00457011j -0.00455996+0.00191917j 0.0214952+0.00578205j -0.00629337+0.00582819j 0.0128718-0.00511409j 0.00700368-0.0124001j 0.00135636+0.00190067j -0.00560101+0.0108412j 0.0305649+0.0308518j 0.0184697-0.033934j 
-0.0103476-0.00410933j -0.0143046+0.0199841j -0.0159409+0.00300556j -0.0232372+0.0120968j 0.00777724+0.00308978j -0.00737028-0.000132562j -0.0111068+0.0111881j -0.00117978-0.0304928j -0.00976953+0.00364151j 0.00313756-0.0103109j -0.00378012-0.0295372j -0.0444967-0.00501978j -0.01114+0.0770637j -0.0281357+0.00882858j -0.0197367+0.0106567j 0.0139667-0.0319427j -0.0407088-0.00774414j -0.0102454+0.00368219j 0.0137388-0.0109599j -0.00226353-0.000592469j 0.00205381+0.00570994j -0.00494527-0.00953306j -0.00514087+0.0117999j -0.00493822+0.00266726j 0.0112221+0.00732578j -0.00465413+0.000750851j -0.00804338-0.00280343j 0.0173289-0.00658872j -0.0236307-0.015991j 0.0211745-0.000495464j 0.00435323-0.00494075j 0.0168876-0.0127937j 0.00483846-0.00111635j 0.0168325+0.0108052j 0.00330186+0.0184601j 0.0162225-0.00425097j -0.000736724+0.0139977j 0.00178292+0.00538248j 0.00338038+0.00469559j -0.000834265-0.000834476j 0.000731747-0.010406j 0.00529889+0.000590741j -0.0011554+0.00478814j -0.000390168+0.00358035j -0.00157315+0.00340001j -0.00483884-0.00348748j 0.000562948-0.00247801j -0.00979791+0.00171467j -0.00211387+0.00302047j 0.00130285+0.00397963j 0.00556137+0.00455413j -0.00152942-0.00384175j -0.00692967+0.00206287j -0.000649413+0.000481247j 0.00608844+0.00831274j 0.00214379+0.00615236j 0.00379313+0.00986849j 0.00446526-0.00230692j -0.00408253+0.00150627j 0.00368369+0.000815745j 0.00288377-0.00864724j 0.00834087-0.00131128j 0.00187662-0.00160979j -0.00642617-0.00141387j -0.00911781+0.00391348j 0.00119384+0.00176587j 0.00173252+0.00190183j -0.00566884-0.00175224j -0.00686243+0.00327627j -0.00267411-0.00466686j -0.00495014-0.00695144j -0.00754833-0.00353076j 0.00173872+0.00825905j -0.00702017+0.00544914j 0.00431237-0.0038855j 0.000219872+0.00618856j -0.00441546+0.00544944j 0.00370164-0.00209365j -0.00463338-0.00871496j 0.00066875+0.000676709j 0.00318152-0.00489211j -0.00460831-0.00776066j -0.00131194-0.00202788j -0.00259625-0.00920081j 0.0067153+0.00018514j -0.00303458+0.00623125j -0.00608797-0.00150037j -0.00108897+0.00344674j 5.04566e-05+0.00510273j -0.0016794+0.00480709j 0.0042041-0.00751377j 0.0100211-0.0050134j 0.00116491-0.00733967j 0.00272161-0.00910295j 0.00862937+0.00817871j -0.00315204-0.00200971j -0.0105664-0.00580324j 
-0.00878659-0.00147347j -0.00442401-0.0119223j 0.00466136-0.0161628j 0.00174734-0.0177557j 0.00248404-0.00337495j -0.0062337+0.0121235j -0.000110582-0.0114472j 0.00396996-0.0218256j -0.0207791-0.00225175j 0.00893214+0.000413901j 0.0152609+0.00555925j -0.0136438-0.0354572j -0.0311323-0.00492163j 0.0242418+0.0381094j -0.0530175-0.00447063j -0.00738283+0.000471691j -0.0103368-0.000518133j 0.0104982+0.00507916j 0.000244182+0.00199003j -0.00932805-0.00856174j -0.000301649+0.000126369j -0.00318339+0.00374252j 0.00200931+0.00186392j 0.0021183+0.00408219j 0.00123245-0.000417331j 0.00535676+0.00424615j 0.011604+0.0229265j 0.0056994+0.00508581j -0.00137733-0.0032962j 0.00506856-0.0149134j -0.00181591-0.00668331j 0.00577088-0.000483205j 0.00509633-0.00345472j 0.00618257+0.00560465j 0.0128932-0.00374455j -0.00637482+0.00914217j 0.00754822-0.0172172j -0.00451523+0.0105937j 0.00928272+0.00213903j 0.00597131+0.00200459j 0.00237744+0.0116984j -0.00500518+0.00459916j 0.00122054-0.00659375j 0.00306235-0.00183151j 0.000425424+0.00345593j 0.00285304+0.0111596j -0.000368017+0.00798714j -0.00297309+0.00252849j -0.00143566+0.00576991j -0.00126352-0.00545524j 0.00279503+0.00355572j -0.0081876+0.00332351j 0.00143258+0.00688834j 0.00100369+0.00209639j 0.0071026+0.00722268j -0.00223514-0.00166776j -0.0002382-0.00159275j 0.00305665-0.00813535j 0.00314109-0.00830888j 0.00316195+0.000228479j -0.00157415-0.000556259j 0.00178124+0.00610657j 0.00427138+0.00149026j 0.00346178+0.00316014j -0.00424914+0.00279895j 0.00305476-0.00109349j -0.00630937-0.00395906j -0.00033647+0.00617577j -0.00292821+0.00534996j 0.00118939+0.000903113j 0.000574263+0.00315005j -0.00434541+0.00893833j 0.0044918+0.00385468j 0.00496291+0.0029355j -0.00296337+0.00153071j 0.00219835+0.00155811j 0.00312094+0.00727282j 0.00735411-0.00182669j -0.0051214-0.00601293j 0.00610831+0.00323544j -0.00442191+0.000533537j 0.00146051+4.78711e-05j 0.00247311+0.00673542j -0.000960057-0.000691409j -0.00145277+0.00141966j -0.00799911-0.00510437j -0.00916267+0.00763542j 0.00337623-0.00317233j 0.00530168+0.000643234j 0.00657741-0.000171627j 8.72432e-05-0.00536383j -0.00823923-0.00555454j -0.00763374+0.0108057j -0.00788997-0.00647832j 0.00456535+0.0123019j -0.00606272+0.00203783j 0.0145299+0.00606732j 
0.00440152+0.0121102j -0.00381208+0.0111777j -0.00497031+0.00608579j 0.00550047+0.00732434j 0.000944233+0.00109242j 0.00900653-0.00967759j 0.00994796+0.00869245j 0.0118319+0.0108643j 0.00162858+0.0154974j -0.0381239-0.00862971j 0.0284963-0.00215637j -0.0251738+0.0131053j -0.00351426-0.0163986j -0.0258598-0.00121846j -0.0249909-0.0224056j 0.00318155-0.00873233j -0.00999107+0.0064355j -0.00748765+0.00503445j -0.00544457-0.00544197j 0.00322412-0.00488945j -0.00203703+0.000242389j -0.00428288-0.00875665j 0.00916143+0.0159339j 0.00769039+0.0084883j -0.0148889-0.0104635j -0.00818353+0.00565421j -0.009042+0.00281294j -0.0104285-0.00984017j 0.00494357+0.00905754j -0.0124145-0.0181378j 0.0021926-0.00494408j -0.00565447-0.0200034j -0.00449691-0.0107704j -0.00963347+0.0121523j -0.00315399-0.0165036j 0.00247191-0.0143203j 0.00643538-0.00996507j -0.0031612-0.00614664j -0.00977115+0.00731981j -0.003098+0.0100412j -0.0058914-0.0102203j -0.00165685-0.00631534j 0.00307954-0.00317041j 0.0062468-0.000422369j -0.0046154-0.00304198j -0.00206902+0.00221243j -0.00175926-0.00407358j 0.00452003-0.00282994j -0.00577122+0.00686195j -0.0007571+8.6876e-05j 0.00544378-0.00684856j 0.00241031-0.00374458j 0.00188373+0.00124948j 0.00240267-0.00104188j 0.00598586-0.00256916j 0.00143422-0.00750422j 0.00108809-0.00773998j -0.00612323-0.00497831j 0.000769205+0.00700024j -0.00203618-0.00177881j -0.00488647+0.00130678j -0.00372121-0.0078644j -0.00444006+0.00313953j 0.00233257+0.00427572j -0.0025362+0.00462719j 0.000666385+0.000392145j 0.00994112-0.00204171j -0.00962412-0.00245375j 0.0044988+0.0134016j -0.000760783+0.0015625j -0.00023175+0.00264145j -0.00162597+0.0014462j 0.00390266-0.000704047j 0.00643874+0.00162363j -0.00365531-0.00671631j 0.00664549-0.00739019j 0.000961898-0.00687562j -0.00216601+0.00114553j -0.00368691-0.00159059j -0.00604173+0.00305493j -0.00638334-0.000741591j -0.0070788+0.00306391j -0.0044195-0.00301143j -0.000165937+0.000857274j 0.00100097-0.00548416j -0.00673699-0.00106442j -0.00143813+0.00286277j -0.00509808-0.000189336j 0.00593454+0.000835433j 0.00576152+0.0011476j -0.00179295+0.00289654j 0.00839029-0.00646572j -0.00251546-0.00370695j -0.0108097-0.00104325j 0.00548291-0.00351765j -0.0110107-0.00504193j -0.008644+0.00141537j 
-0.000762452-0.00841636j 0.00115057-0.00393844j 0.000382079-0.00068539j 0.00139702-0.00575024j -0.0134575-0.00448138j -0.0262577-0.00335567j -0.0130142-0.0200187j 0.0100657-0.00628657j -0.00479162-0.0112272j -0.00325198-0.00448053j -0.00451483-0.0569717j 0.0266615+0.000403678j -0.0269971-0.0113957j -0.00391007-0.00149067j -0.00111008+0.00152737j 0.00419864+0.00293935j 0.00391875-0.008108j 0.00319717-0.00302173j -0.00365877-0.00332087j 0.00619842+0.00264894j 0.0040908-0.00414576j 0.0274104+0.00887496j 0.00982886+0.00260316j -0.00953727+0.000958699j 0.00125188-0.0128611j -0.00165764-0.00536214j 0.00338836-0.0114607j 0.00922312-0.00529351j -0.0117867+0.00204833j 0.0113935-0.0102345j 0.0100334+0.00646404j -0.00707191-0.0190949j 0.0133233+0.0201327j -0.00290024-0.0094678j 0.00300191-0.0104605j 0.00170041-0.00116829j 0.00151479+0.0019255j 0.00154765+0.00138262j 0.00427326-0.0025038j 0.00160352-0.00658163j 0.00326905+0.00309566j 0.00107157+0.00121802j -0.000403202-0.001872j -0.000713535+0.000769311j 0.00378365-0.00726135j -0.000418341-0.000309944j 0.00518229+0.00344388j 0.00206473+0.0146506j 0.00357554-0.00379044j -0.000430001+0.00381992j 0.00565731-0.000744611j 0.00747329-0.00260748j -0.000244195+0.00209972j -0.00929173-0.00808552j 0.00419782+8.61755e-05j 0.000449202+0.000952734j 0.00778458-0.00184524j 0.00320404-0.00311101j -0.00100161+0.000469049j -0.00663453-0.000688141j -0.00430421-0.00295045j 0.00272478-0.00495909j -0.00209875-0.00363256j -0.00167317+0.00506502j 0.00174964-0.00501619j 0.00245756+0.00312957j 0.00570401+0.00799926j 0.0100893+0.00391508j -0.00414675+0.00524698j 0.00356994-0.00470694j -0.000888503+0.000438765j 0.00160041+0.00266705j 0.00757117-0.00351916j -0.00040838-0.000900818j -0.00403943-0.00721482j 0.00245622+0.00406367j 0.0038635+0.00044072j 0.00100594-0.00555647j -0.00503478+0.000465949j -0.00857975-0.00696648j 0.00224875-0.00289091j -0.000683561-0.00379752j 0.000162098+0.00542473j -0.00138361+0.00480187j 0.0098665-0.00531942j 0.00301271-0.00221243j 0.00147936-0.000322683j 0.000977012-0.00184422j 0.00980028-0.00656976j -0.0035361+0.0065289j -0.00403213-0.00457587j -0.00246425+0.00185041j 0.00172611-0.000130621j 0.00422359+0.000817283j 0.00364835+0.00328517j 0.00323684+0.00210358j 0.00211622-0.000147263j 
