-0.00467855+0.0270515j -0.0432802-0.0148168j -0.0162254-0.0281584j 0.0143804-0.0183524j -0.00674314-0.00937187j -0.00140115-0.0239637j -0.00961231-0.0178451j -0.000295934-0.0157813j -0.00569143+0.00304268j -0.00329434+0.00524055j 0.00301672-0.0048932j 0.0238005-0.00482914j 0.0240922+0.00234899j 0.0225983-0.0134359j -0.00372391+0.00924198j -0.0270541-0.0160474j 0.0138126+0.00126691j -0.00308174-0.00618896j 0.00303815-0.00557917j -0.00469882+0.00117436j -0.00175738+0.00201352j 0.00572941-0.00587643j -0.00383563+0.00302886j -0.000507579-0.000866777j 0.00171873-0.00402182j -0.00167136-0.00363649j -0.00195766-0.000298192j -0.000901577-0.000182672j -0.000363577+0.00193682j 0.000482014-0.00318176j 0.000425045-0.00183809j 0.000832658+0.000431903j 0.000526996-0.00231133j 0.00202651+0.00491648j -0.00271344+0.00362848j 0.0110523-0.0043816j -0.00896825+0.00991321j 0.00156762-0.000643316j -0.00192568+0.00940907j 0.00164413+0.00212183j -0.00034418-0.00832108j -0.00145798+0.00196759j -0.00111859+0.0068917j -0.000732221+0.00274189j 0.00200745-0.000547278j -0.00135344-0.00130046j -0.0038211+0.00317801j -0.00286931+0.00634554j -0.00194357+0.0020283j -0.00330836+5.79228e-05j -0.000868442-0.000173399j -0.00238732+0.00183907j 0.00578843-0.00361765j 0.000956307-0.00269894j 0.00195304-0.00217882j 0.00246318-0.00283127j 0.000711012+0.000943571j -0.00154361+0.00134525j -0.0011567-0.00118827j -0.00156575+0.000559326j -0.00229038+0.00121738j -0.000348625+0.00186895j -0.000507425-0.0014243j -0.00184855-0.000617476j 0.00350997+0.000651724j 0.00123856+0.0021503j -0.00132387+0.000792312j -0.000941341-0.00117171j 0.0014221-0.00233517j 0.000119299+0.00113934j -0.00314979+0.000374874j -0.00151462-0.000988725j 0.00169983-0.000300244j 0.00186802-0.00123004j -0.000350543-0.000979643j 0.00289149+0.000402932j -0.000621483+0.00152286j 0.000223095-0.000117604j -0.0013403+0.00303423j -0.00169703+0.000779675j 0.00192726-0.00273923j -0.00289034-0.00177455j -0.00352968+0.00208106j 7.63349e-05-0.00130383j 0.00431373+5.90361e-05j 0.000116032+0.00160747j -0.00326754+0.00373294j -0.00534854-0.00474779j -0.00278561+0.00222729j 0.00126295-0.00418236j -0.000859195+0.00163234j -0.00438861-0.0126792j -0.0287502-0.0245975j -0.00932859-0.000413461j 0.004005+0.00300545j 0.00689044-0.00781391j 0.00400683+0.0123749j 
0.0420309+0.0130764j -0.00200471+0.0284964j -0.0108013+0.00490287j -0.0153618-0.0321331j -0.00263524+0.00324748j -0.0175315-0.00284112j -0.020056+0.0276514j -0.01647+0.0036055j 0.00653799-0.00241022j 0.00433905-0.00853271j -0.00318654+0.00454271j -0.0101923-0.0199841j 0.00721325-0.00340027j 0.00839939-0.00892026j 0.0194168-0.0121682j -0.0109734-0.00036945j -0.0263187-0.0149594j 0.00218979-0.00642666j -0.00257062+0.00656929j 0.000772952+0.00475944j -0.000693629+0.00506629j -0.00204922-0.000394427j 0.00110135+0.00121229j -0.000130127+0.00104232j -0.00125259-0.00168305j -0.00472485+0.00343719j -0.0028183+0.000592035j -0.00207051+0.00206582j 0.00488844+0.000990963j -0.00107039+0.000443068j 0.00138399-0.00303062j 0.00077717-0.00338395j -0.00228714+0.00122304j -0.000323959-0.00049767j 0.00229701-0.00436036j 0.00899166-0.0109203j 0.01026-0.00364897j -0.00195804+0.00922974j -0.00131191+0.000611649j -0.000245678-0.00733826j -0.00129631-0.00212037j -0.00141696+0.00714389j 0.00152131-0.00263815j 0.00317905-0.00204214j -0.000612312-0.00284981j -0.00508814+0.00755384j 0.000300924+0.00153375j 0.00184199+0.00141867j -0.00162243+0.00255538j -0.00110158+0.00264361j -0.000419562+0.00177901j 0.00176983-0.000836474j -0.000685288-0.00337425j -0.0023403-0.00035626j -0.00220022-0.000350651j -0.00400763+0.00206363j 0.00461424-0.000791308j 0.00130555+0.000504282j -0.0011569+0.000886615j -0.000781513+0.0014485j -0.000742702+0.000580244j 0.0018456-5.74573e-05j -0.00296249+0.00293215j -0.00340969+0.000781042j 0.0013359-0.00130524j 0.00400768+2.31014e-05j 0.00211423-0.000603402j 0.000767506-0.00030969j -0.00190767+0.000308497j 0.00112753-0.000389412j 0.00176146+0.00195473j -0.00212929+0.00172623j 0.000718706-0.0011316j -0.00107221-0.000157936j 0.000754725+0.000572054j 6.47168e-05-0.00158524j 0.00241159-0.000347156j -3.15038e-05-0.00186141j 0.000677832+0.000349317j 5.94408e-06+0.00147923j -0.00230088-0.000673468j -0.00526709+0.00463266j 0.00054057+0.00103648j 0.000133927+0.000318778j -0.000826398-0.00218135j 0.00241395+0.000857699j 0.00464162+0.00360733j -0.00314793+0.00393554j 0.000513373+0.00530818j -0.00124747+0.00113474j 0.00312727-0.00162138j 0.0294012+0.024524j -0.00479736-0.0127991j 0.00328822+0.00350165j 0.00816782-0.000393908j -0.00453989-0.0124537j 0.00713126-0.0076891j 
0.0223507-0.00344671j -0.000535276+0.0410021j 0.0132849-0.0128161j 0.0538612-0.0160978j -0.00297815+0.0100766j -0.00392357-0.017035j -0.0436833-0.000921411j -0.0323209-0.0032939j 0.0260909+0.00484979j 0.0175245+0.0292318j -0.0331971-0.00231349j -0.0672229-0.0105907j -0.0598575-0.00993334j -0.0164677+0.0397385j 0.0652637-0.00249975j 0.0231978+0.0272531j -0.0055697-0.00414238j 0.012849-0.006363j -0.018024+0.00873229j 0.00102585-0.00363563j -0.00506812+0.00398635j -0.00619695+0.00605091j -0.00326392-0.00258042j -0.00437428+0.00128345j 0.00400839-0.000507981j -0.00245914+0.0032432j -0.000658946-0.00157925j -0.00298056+0.000254614j 0.000236543+0.00520796j 0.00107617+0.00242146j 0.00791934+0.00099744j 0.00290506-0.00285417j -0.00516603-0.0020912j -0.0103349-0.00337304j 0.0206823-0.00886223j 0.0134056+0.0299783j 0.0293068-0.00665486j -0.0144169+0.0138993j -0.00704823-0.015805j 0.00656055+0.00278004j -0.00295578+0.00437547j -0.0142082-0.000826179j 0.0025171-0.0121763j 0.00875691+0.0013122j 0.00435219-0.00222029j -0.00922343+0.00169876j 0.00585549+0.00256403j -0.00223268-0.00455777j -0.000926827-0.00735212j 0.00104791-0.000634675j -0.00179899+0.00115416j 0.00634126+0.00237084j 4.9744e-05-0.00213829j 0.00155494+0.00214132j -0.000218644+0.00418166j -0.00389904+0.00150464j -0.00372615+0.00112048j -0.000850596-0.000130513j -0.00268522+0.00252795j -0.00239183+0.00174658j 2.30843e-05+0.0026102j -0.00234577+0.000685597j -0.00573512+0.00183611j -0.00243264-0.00165366j -0.00544398-0.00147381j -0.00414384+0.00320902j 0.0032073-0.000275111j 0.00227159-0.000836831j -0.00226599+5.3503e-05j 0.000273289+0.00142772j 0.00234186-0.000298226j 0.000429521-0.00312961j 0.00106161-0.00124871j -0.000267465+0.0019586j 1.39999e-05-0.00102269j -0.00214116+0.00170824j 0.00284581+0.000856569j -9.02752e-06-0.00566679j 0.00637305+0.00270531j 0.00072625+0.00184743j 0.00197595+0.00199698j -0.00249423-0.00371413j 0.00146091-0.00240864j -0.00343346-0.00109421j 0.00148686+0.00358108j -0.00127455+0.00576751j -0.00692783+0.0108935j -0.00436769-0.007421j -0.00466429+0.00124146j -0.00190641+0.00528156j 0.00478421+0.00491141j -0.00970364+0.0236471j 0.022225+0.0200591j -0.000864116+0.00571328j -0.00158214+0.00535807j 0.00761492+0.0136827j 0.0183315-0.0115312j 
-0.0101005+0.0368393j -0.0205048+0.00514733j 0.0266713-0.00483836j 0.0273603+0.0237667j -0.00649807-0.0035492j 0.0259039-0.00130894j -0.00322451-0.00758773j 0.00427417-0.0250137j 0.00591633+0.014426j -0.0314739-0.00852634j 0.00457701-0.0148671j -0.0156934-0.0534497j 0.0325886+0.00962514j 0.0696785-0.00165994j 0.0123649-0.0257465j 0.000379642+0.00405328j -0.00525291-0.0241015j 0.00362715-0.0030344j 0.00156845-0.00867833j 0.00198124+0.00104244j -0.00225755+0.00163493j 0.00759223-0.00626079j -0.00499593-0.0031095j 0.000428768-0.00431945j 0.00640136-0.000495849j -0.00278371+0.00520125j -0.0047375+0.0031052j -0.00235074+0.00386389j -0.000496389-0.00482089j 0.00475746+0.00150307j 0.00269546-0.00542526j -0.00104048-0.0072857j 0.00488199+0.000153033j -0.013839+0.00285372j -0.0103807-0.00623197j 0.0314542-0.00750558j -0.0113509-0.0275824j 0.00673447+0.0154451j -0.0138301+0.0132869j 0.00630797-0.00230572j 0.00769696+0.00356904j -0.003865+0.0103742j -0.0132799-0.00301857j 0.000583337+0.00135524j -0.00266744-0.00535132j -0.00466709+9.69782e-06j -0.000150768-0.00295945j -0.00504759+0.00438287j -0.00632181+0.00122496j 0.00196303+0.000217494j 0.00136226-0.000155363j -0.00130371+0.00323427j 0.00276097+0.00263513j 0.000771484-0.00478179j 0.00119408-2.59202e-05j -0.000439776+0.00228014j 0.00450839-0.000785238j -0.0024369-0.00511485j 0.00029595-0.00015257j -0.00367279+0.00356793j -0.00394059-0.00309644j -0.00177098+0.00083597j -0.000486663+0.00284267j -0.00267556+0.000394446j -0.00258051-0.00242134j -0.00311226-0.00105013j 0.00025243+0.000785977j 0.0039571+0.0017151j 0.00124776-0.000420628j -0.00365625-0.00664715j -0.000696817-0.000586931j 0.000205393+0.000419539j -0.00101172+0.00044167j -0.00171025-0.00282071j -0.000253269-0.00165964j -0.00274864-2.37506e-05j -0.00375518+0.000136575j 0.00169341-0.000357065j -0.00441136+0.00107533j 0.0015995+0.00180024j -0.000117517-0.00364147j -0.00314311-0.00200869j 0.00404104-0.000771399j 0.00154693-0.00147668j -0.00225303+0.00822081j -0.00134257-0.000554622j -0.00551296-0.00883986j 0.00583073-0.0102989j -0.00455917+0.00115581j 0.00288361+0.00227927j -0.0029299-0.000959252j 0.0259748+0.0192982j 0.00914372-0.0258833j -0.00275512-0.00488627j -0.000639631+0.00212518j 0.0149174-0.0097103j -0.00543684-0.0114905j 
-0.0586849+0.0409312j 0.0699476+0.0302624j 0.0647206+0.0574475j 0.0626719+0.0279101j -0.00664337+0.0258672j -0.00886384+0.0238406j -0.0914301+0.0182642j -0.0112221-0.0206478j 0.0369674-0.0112107j 0.00124345-0.0653481j -0.100682-0.000656126j -0.118115-0.0941129j -0.121094+0.107587j 0.0717358+0.196455j 0.0913716-0.0744253j 0.144505+0.016062j 0.0174638-0.122632j 0.0312792+0.0193022j -0.0383566+0.0207069j 0.0104546-0.00545225j -0.00739761-0.0124717j -0.0126089+0.0153159j 0.00579503-0.0120899j -0.000183286+0.000570978j 0.00382341+0.00737225j -0.00969215-0.0038578j -0.00105922-0.00876457j -0.00600147-0.00530346j 0.00063734+0.00726288j -0.00192681+0.00652807j 0.00852545+0.00703226j 0.00441294-0.00709896j -0.00857151-0.00499417j -0.0273052-0.0193496j 0.0169809-0.0229883j 0.028468+0.0115701j 0.00273539-0.03728j -0.0159863+0.0155253j -0.0159961-0.0189184j 0.0107955-0.0164302j 0.0224565+0.0152984j -0.0150029+0.00169467j -0.00704137-0.0198991j 0.0057572+0.00152176j 0.000152873-0.00519371j -0.014427+0.00531843j 0.000373282-0.0061742j -0.00613962-0.0112256j -0.00580389-0.000938651j 0.00095757+0.00305463j 0.00260934+0.00208187j 9.51977e-05-0.00114251j 0.00057603+0.011391j 0.0025546+0.00135821j -0.00539697+0.00301978j -0.00902797+0.00825503j 0.00603141+2.01117e-05j 0.00060591-0.00464765j -0.00190763+0.00235644j -0.00977658-0.000227252j -0.00502676-0.00656681j -0.00227906-0.00160928j -0.00520803+0.00648669j -0.00494334-0.00350724j -0.00455027+0.00140697j -0.00187147+0.00113514j 0.00547297-0.00177059j 0.00617464-0.000616197j -0.00314848+0.00403208j 0.000993841-0.0047903j 9.06684e-05-0.00575303j -0.00126776-0.00271993j 0.00429652+0.00405175j 0.000808291+0.00569187j 0.000991785-0.00159006j 0.00314666+0.000260321j 0.00632314-0.00556393j -0.00202049-0.00240554j 0.0036837-0.00338325j -0.00270331+0.00625719j 0.00658242+0.00427711j -0.0012465-6.48721e-05j 0.00938488-0.000999156j 0.00582261-7.11847e-05j -0.0155848+0.00194431j 0.000625836+0.00494834j 0.00209709+0.0110222j 0.0119277-0.0131512j -0.00466305-0.00167584j -0.00252984+0.00664727j 0.00114046-0.000723775j -0.0158106-0.0316839j -0.0248133+0.0158805j -0.0113473+0.00381242j -0.0141206-0.012115j 0.0275956+0.0259828j 0.0206066-0.0274794j 
-0.0629864-0.00251827j -0.0400831+0.0259237j 0.00513487+0.0136594j 0.0561867+0.0456844j -0.00813322+0.031793j -0.031751+0.0593165j -0.00533885-0.0209183j -0.0235402-0.0032339j -0.0565979+0.0412173j -0.0182271+0.0830743j -0.022432+0.0776568j -0.020666+0.0442945j -0.0719932-0.0501921j -0.0690301+0.102511j 0.0711804+0.137777j 0.00830219+0.0847314j 0.0929455-0.0157633j -0.00476236+0.0293981j -0.0228443-0.0114479j 0.00617473-0.0169774j 0.00243474-0.0103516j -0.0156624-0.00629332j 0.00249052+0.00491632j -0.00217963-0.00159821j -0.00545127+0.000434961j 0.00386302-0.00489727j 0.00590287+0.000809314j 0.00286612-0.00297887j -0.00923672+0.000869629j -0.00678167+0.000533818j -0.00339325+0.0112647j 0.000517291+0.0126351j -0.00576665+0.00411141j 0.0154804-0.00223489j 0.00903281+0.0158911j 0.00569174+0.0475262j 0.0303484+0.00159564j -0.019677-0.0201311j 0.0132048-0.0161787j 0.0139141+0.00565908j -0.00392822+0.0131912j -0.00824393-0.0120814j 0.00880477-0.00143464j 0.0040267-0.00315998j 0.00402282+0.00788176j -0.00567732-0.0114145j 0.00163731-0.00545843j 0.005247-0.0111632j 0.00286342-0.0122457j 0.00103073-0.00939246j -0.00386011-0.0047544j 0.00104446+0.00339301j 0.000611089+0.00603616j -0.0039667+0.00282159j -0.000484577+0.00297953j -0.0022237-0.00444294j -0.00105337+0.00629468j 0.000143638+0.00386546j -0.00173652+0.00117068j 0.000203943+0.000828459j -0.000385484+0.000657123j 0.00171275-0.00266471j -9.17441e-06-0.00932989j -0.00108331-0.00340678j 0.00130442+0.00190513j 0.00106604+0.00302932j 0.00389714+0.0018978j 0.00211409+0.00245079j -0.00129215+0.00437644j 0.000336991+0.00156726j 0.00375946+0.00231426j -0.00165323-0.00118734j 0.00159315-0.00224651j -0.00162933-0.00155426j 0.00140974+0.00493076j -0.00243652-0.00213368j -0.00340274+0.00341073j 0.0100325+0.00133806j -0.00383968+0.000693525j 0.00114259-0.00523582j 0.00454587+0.00799542j 0.0101598+0.00227283j -0.000864788+0.00107611j -0.00744755+0.0011195j 0.00190577-0.007926j -0.00642107-0.00239875j -0.021937+0.00828599j 0.0050641+0.0158947j -0.00428003+0.00102007j 0.000358867+0.00232046j 0.000294124+0.00068226j 0.00896802-0.0126277j -0.0173554-0.0230768j -0.00576034-0.0153334j 0.0117558+0.00187611j -0.00577814+0.0244754j 0.0225135+0.0182267j 
-0.0206935+0.0259699j -0.0246928+0.0608013j 0.0174304+0.0246787j 0.0577563+0.0537239j 0.0215021-0.00848963j 0.0229855+0.0146989j -0.0813145-0.0513186j -0.0499717-0.0131151j 0.0489749+0.0723404j 0.01594-0.00087839j 0.0339405-0.0524018j -0.052651-0.0341691j -0.107497+0.0545584j -0.0296449+0.0429568j 0.0834311+0.0447898j 0.0375659+0.0786868j 0.0450717-0.0502376j 0.00680325+0.0176214j -0.0267533-0.0165392j -0.000557526-0.00236478j 0.0013349-0.00662417j -0.00495907-0.00283475j 0.00709122+0.000502264j 0.00101009-0.00426078j -0.00589482-0.00239814j -0.00654194-0.00770013j -0.00210192-0.00128052j 0.000328989-0.00277862j 0.0119193+0.00375683j 0.000503359+0.00322298j -0.00100716+0.00308219j -0.00252287-0.00525272j -0.00719383-0.00963005j -0.0260392+0.00413422j 0.00703119-0.0142114j -0.00799032+0.02094j 0.0246122+0.0213822j -0.00452162-0.00688002j 0.0111862+0.00414819j 0.0139453-0.00227557j 0.00779357+0.0152905j -0.00988832-0.00269836j -0.00035993-0.00564712j 0.0126483+0.00974344j -0.00336742-0.00212005j -0.013869-0.0101018j 0.00564565-0.000779321j -0.00117699+0.00164924j -0.00169815-0.000891806j 0.00184361+0.00311j 0.00108321+0.000693039j 0.0105641+0.000756791j -0.00130968+0.000867052j 0.00178581-0.000547633j -0.00889621-0.00241946j -0.0064589-0.00218297j -0.00187335-0.000802977j 0.00209013-0.00563364j 0.00233933+0.00110092j 0.00110546-0.000541889j -6.87352e-05-0.00637541j -0.00028762+0.000875371j -0.00818295+0.000352802j 0.000371643-0.000565354j -0.00341672+0.00104971j 0.00106534-0.00122604j 0.00323863+0.000965763j 0.00181449+0.000476063j -0.0015936-0.00170766j -0.00501004-0.00115926j -0.000499-0.00615854j -0.00500804+0.00225959j 0.00766674+0.00264717j 0.000636289+0.00136935j -0.00225478-0.00301434j 0.00162136+1.48868e-05j 0.000374653-0.0122472j 0.000705613+0.00833334j 0.000995356-0.00924532j -0.00577635-0.00203344j -0.00229767-0.00104017j -0.0104537-0.00161726j -0.0105366-0.00186939j -0.00202056-0.00491866j 0.0074201+0.00761745j 0.00645121-0.00117669j 0.00246283-0.025978j -0.0284485-0.00371973j -0.00816961-0.00833921j -0.00203942+0.00276619j 0.00481416+0.00139409j 0.00327379-0.00904723j -0.0211134-1.05323e-05j 0.00254975+0.00339927j -0.00281232+0.00391367j 0.00235926+0.0121944j 0.0230838+0.00147974j 
0.00962063-0.0712678j -0.041766+0.0246831j -0.0297141-0.0628011j 0.0259497-0.0151486j -0.0370981-0.011102j 0.00884364+0.00797958j -0.0112425+0.0370738j -0.0124417+0.0645707j 0.0317321-0.0308096j 0.0298915+0.0985869j -0.0537637+0.00638542j 0.037741+0.0495053j -0.0207629-0.0202801j -0.181086+0.0190366j -0.00757382+0.143111j -0.0558271+0.0669307j 0.0568539+0.0933357j -0.0158571-0.0118504j -0.0115192+0.00583778j 0.00554329-0.0200095j 0.00855346-0.000129608j -0.0113992-0.00541713j 0.00700891-0.00139476j -0.00151761-0.00192126j -0.00558276-0.00713129j 0.00260647-0.00725077j 0.00243626-0.00248089j 0.00146431-0.00490537j -0.00303736+0.00470886j -0.00108969-0.00403714j 0.00305887+0.00386667j 0.000150382+0.0075616j 0.00274896+0.00172921j 0.0012854-0.0100377j 0.0257524+0.012673j -0.0356134+0.00875156j 0.0103791+0.0280513j 0.00279343-0.00723004j 0.0159369+0.000389988j 0.0112987+0.0189027j -0.0193301+0.00399569j -9.77251e-05-0.00819489j 0.0133653+0.00409717j -0.00149487-8.46603e-05j 0.00452122+0.00433576j 0.00365428+0.00240557j 0.0070777+0.00580262j 0.00709526-0.0046964j 0.00289502-0.00613667j -0.00305006-0.00525122j -0.00135802-0.00435527j 0.00508922+0.00805106j -0.00515661+0.00241463j -0.00139097+0.000704847j -0.000589263+0.00292578j -0.00382852-0.00335043j -0.00101723-0.00332334j 0.00263381-0.000745536j -0.00401833-0.00580285j 0.00189323-0.000101386j 0.00721774+0.00635231j 0.00413211+0.000751149j -0.00753681-0.00547984j -0.000750322-0.00255598j -0.000542707+0.000575301j -0.00304631-0.00111699j -0.000348709-0.000994185j -0.00441605-0.000730909j -0.00395625+0.00142119j 0.00196994+0.000138925j -0.00148669-0.00031528j 0.00455252-0.00285468j -0.00296261+0.0034079j -0.00281773+0.00373224j -0.00109188+0.00023809j 0.000834386-0.000831013j 0.00496659+0.000968631j 0.0004996-0.00425284j 0.00293982+0.00400362j 0.00191404+0.00533382j -0.00624813-0.00542586j 0.00182341-0.0122863j 0.00767654-0.00630569j 0.00281208-0.00510736j -0.00936194+0.0106226j -0.00214342+0.00443053j 0.0289689+0.0157965j 0.00380713-0.0277792j 0.0117433-0.00194461j -0.00362028-0.00225908j 0.00438481+0.00296265j 0.0244876-0.0060871j -0.00521409-0.0171101j 0.0054199-0.00362946j 0.00203128+0.00715626j -0.0270219+0.00831048j 0.0128945+0.0198741j 
0.0208647-0.000513745j 0.00826808-0.0196947j 0.0431919-0.0727666j -0.0307832-0.0273704j -0.0225242-0.00973897j 0.0112483+0.0494462j 0.0296856+0.0360464j -0.0123631+0.00416018j -0.0161871-0.0397646j -0.0588853+0.119422j 0.0104238+0.0686871j 0.167351+0.0730134j 0.113262-0.149488j -0.0626134+0.00295384j 0.0298437-0.0114335j -0.0442704-0.00316555j -0.0170715+0.0439961j -0.000430919-0.0305279j 0.0203583+0.0156569j -0.00463219-0.00552741j -0.000398616+0.00365762j 0.0129997-0.0127197j -0.00296259+0.000116605j 0.00571771-0.00529514j -0.00701581-0.00164003j -0.00437779+0.0071112j -0.00621469+0.000897608j -0.00373808+0.0020623j 0.0128534-0.00976609j 0.00496525-0.00113677j 0.00919909-0.00431868j -0.00217362+0.0115215j 0.00347217+0.0239784j 0.0191231+0.0116127j -0.00619368+0.00939738j 0.0101034+0.0240223j 0.0311295-0.0203069j -0.0101381+0.00137592j 0.00341539-0.00492875j -0.00300574+0.00309429j 4.16009e-05-0.00424557j -0.00219223+0.00439838j -0.00332403-0.00392777j 0.000943969-0.0060072j 0.00539302+0.000660064j 0.00637458+0.00448217j 0.00282197+0.00896702j -0.00219848-0.000723575j -0.000666742-0.00590252j 0.000770979+0.00452248j -0.00384422-0.00693296j -0.00045171+0.00734952j 0.000723913-0.000326993j 0.00214049-0.00446732j 0.00153839+0.0013023j 0.00241727-0.00425981j -0.000462083-0.00110123j 0.00352536+0.00120676j 0.00294724-0.00090736j 0.000155681+0.00724808j 0.00459602+0.00347073j 0.0053451-0.00410877j 5.04579e-05-0.000425777j 0.000448428-9.77607e-05j 0.00523562-0.00088476j 0.00101136-0.00686176j -0.00116843-0.00197503j -0.00733716+0.000878558j -0.00162007+0.00336947j 0.00506978-0.00623621j -0.00155914-0.000876857j -0.00033086-5.65868e-05j -0.00242751-0.00274637j 0.00120052-0.00585338j -0.00443829-0.00017968j 0.00216402-0.00177958j -0.00244459-0.00376869j 0.00328998+0.00422256j -0.00222835-0.00342911j 0.00379204-0.00382627j -0.00331111-0.00195747j -0.0019875-0.00179401j 0.0030377-0.000236866j -0.00412433-0.00363727j 0.00327083+0.00901662j 0.00390888-0.00163214j 0.00954085-0.0129042j -0.00657466-0.0128427j 0.00878908-0.00325202j 0.0017065-0.00138221j 0.00220546-0.00747644j 0.0028543-0.00207203j -0.00261586-0.00412985j 0.00582095-0.0152161j 0.0111127+0.00647825j -0.00231001+0.00432468j 0.00564943+0.000443743j 
0.0239509+0.048113j 0.0602556-0.0383931j 0.0854345-0.0373816j 0.0413839-0.0264934j 0.0368763+0.00235923j 0.0669216-0.0169736j -0.0306033+0.10259j -0.0911435-0.0137251j -0.0155331+0.00240573j 0.090568-0.121616j 0.0975862-0.0434981j -0.0483001-0.0688443j 0.0497011+0.0281949j -0.0191608-0.108023j -0.23557+0.0544618j 0.0125315-0.0842824j -0.1124-0.0112656j 0.0282717-0.0200395j 0.00434789+0.0213127j 0.00290153+0.00445725j -0.00597032+0.00755208j 0.0012807+0.021413j 5.77313e-06-0.0117132j 0.000626473-0.00479943j 0.00774102+0.00431644j -0.00385793+0.00553163j -0.0059534-0.00164353j -0.00620795+0.00473435j 0.0114596+0.011268j 0.0102186-0.000776586j 0.00435168+0.000155819j 0.00275795-0.013702j -0.000782685-0.0154974j -0.0356957+0.0113697j -0.0123818-0.011949j -0.0387986+0.00779121j -0.00777084+0.018459j 0.00408757+0.00289802j -0.00232267-0.0025538j -0.0139795-0.00836356j 0.0140117-0.0102582j 0.000472029-0.00180843j -0.00347894-0.00163715j -0.000295989+0.00418201j -0.00322222+0.00380564j 0.00126522+0.008532j -0.0033017+0.00215763j -0.00641093-0.00070159j 0.00446459+0.00226973j 0.00280435-0.000557749j 0.00384386+0.00547344j 0.00131843-0.000974522j 0.00134419-0.0035524j 0.00178273+0.00715999j -0.00692841+0.00305912j 0.00487174+0.0062519j -0.00136073-0.00970699j 0.0043177-0.00951308j -0.00264627+0.00255008j 0.000957573-0.000901703j -0.00446623-0.00191285j -0.00782365+0.000814881j -0.00181127+0.000716724j -0.00224617+0.00333755j 0.000990096-0.00588197j -0.00464218-0.000944919j -0.00622028-0.0010054j -0.00141854-0.00137835j 0.00285345-0.00548126j -0.000437451-0.000412509j -0.000900937-0.00281402j 0.00103564+0.00104783j 0.00133968+0.000768847j 0.004483+0.00156563j 0.00397565-0.00854525j -0.00935361-0.000698562j -0.00174657-0.0035208j -0.00536157-0.00106791j 0.00399323+0.00533228j 0.00792047+0.0112993j 0.00784636-0.00959093j 0.0182716-0.0073468j -0.00336546+0.0109165j -0.00402787-0.00214343j 0.00284611+0.00164694j -0.00143796+0.000446771j -0.0102348+0.00795399j 0.00782678-0.000737565j 0.00159428+0.00631936j 0.00544661-0.00072193j -0.00745926+0.00897692j 0.0031816+0.00860504j 0.0134288-0.00703392j 0.00594714+0.011126j -0.0218924+0.00652297j -0.00468601-0.00383421j -0.0109698+0.0041055j 
0.0280541-0.057527j 0.000815258-0.0256723j 0.00913154+0.0293358j 0.0173904+0.0154783j -0.0150325-0.0369585j -0.0946799-0.0213012j -0.0983409-0.00704076j 0.00918896-0.118549j -0.0629683-0.000319518j 0.0197289-0.00907986j 0.0872346+0.0100539j 0.0107462-0.00493504j 0.0474446+0.0622498j -0.173209+0.126656j 0.0887435+0.086068j -0.0506333+0.0178485j 0.0204339+0.045396j -0.0125211-0.00120148j -0.0157692-0.0089596j 0.0153324+0.00412175j 0.0115456+0.00605105j 0.000397557+0.00237705j -0.00128708+0.00410631j 0.00871724-0.00396291j -0.00422034-0.00159867j -0.00511355-0.00985948j -0.00784831+0.00199509j -0.00470418-0.00248393j 0.0123078+0.00206803j 0.0117357-0.0017005j -0.00792475+0.00446787j -0.00495066+0.000208639j -0.0119466+0.00379728j 0.00119503+0.027247j -0.0143484-0.00348651j -0.0216582+0.00575606j 0.0266469-0.00728552j 0.00864028+0.00718582j 0.0025844+0.0057688j -0.00481464+0.00921923j -0.0116042-0.00116212j 0.000289456+0.00225861j -5.37779e-05-0.00748809j 0.0111915+0.000731522j -0.00304543-0.00136128j -0.00302167-0.00311037j 0.00569188-0.000627825j 0.00480402+0.00355561j 0.0029787-0.00122027j 0.00266429+0.00399123j 0.00390571+0.000893083j -6.37376e-05+0.00127203j -0.0111032-0.00557153j -0.000162155-0.000928729j -0.00548644-0.00164055j -0.00144425+0.00273867j -0.000365545+0.00216219j 0.00448848-0.00384185j -0.00277491+0.00841721j -0.00607459+0.00438387j 0.00471713-0.00717185j 0.00316455-0.00140397j -0.000231393+0.000519614j 0.000613579+0.00283638j -0.000728586+0.00221958j -0.00278914-0.0002825j -0.00290735-0.000674773j -0.00132774+0.000111752j -0.00506434-0.00180463j 0.00184122-0.00306904j 0.00376617-0.00543513j -0.00374793-0.00295896j -0.00413891+0.000868086j -0.00117588-0.00371347j -0.00368265-0.00749847j -0.00740989+0.00574737j 0.000443544-0.00377041j 0.00141143+0.00891668j 0.00551496-0.0124401j 0.0243418-0.00595781j -0.00971111-0.00892917j 0.00450656-0.0159687j 0.0195023+0.00948653j -0.00907072+0.00926256j -0.000944843-0.00663805j 0.00117057-0.000588563j -0.000510774+0.00329727j 0.00862755+0.000858617j 0.0101359+0.0017994j -0.00395882-0.00125318j 0.00471156+0.00219957j 0.00683471-0.0169308j -0.00791845-0.00346191j 0.0141937-0.00159467j -0.00271216+0.00392109j -0.00879823+0.010682j 0.00876159-0.00531942j 
