-0.0139511-0.0115488j -0.003357-0.00942212j 0.00645454+0.00238481j 0.0104239+0.0146841j 0.00574353+0.00620301j -0.00152721-0.00761539j 0.000683844+0.00906024j -0.00109089-0.00192727j 0.00250267+0.00359205j 0.00763892+0.00956385j -0.00115425-0.00707253j -0.000539064+0.00952694j 0.01109+0.0165947j 0.000965086+0.00970521j 0.00634736+0.00651887j -0.00524755-0.00887518j 0.000621341+0.00324014j -0.000567861-0.0101169j 0.00597243-0.000391408j -0.00466512-0.00721032j 0.00362139+0.00603984j -0.00494015-0.00320687j -0.00362876+0.00364602j -0.00878429+0.000325648j -0.00664829+0.000629809j -0.00575654+0.00750333j -0.0194317+0.00604415j 0.00523935-0.0161875j 0.0204004-0.00719888j 0.00533051+0.0130854j 0.0387175-0.0059442j -0.00382954+0.0393559j -0.00716876-0.0056288j -0.00849207+0.0143331j -0.00182243+0.00107515j 0.00511071-0.0021465j 0.00382473+0.00269931j -0.00367565+0.00618989j 0.00182024-0.00114941j 0.000425456+0.0031705j -0.00113634+0.00162207j -0.00593263+0.00125472j -0.00984166+0.00479981j 0.0127461-0.00784979j -0.00555706+0.00260438j -0.0050851+0.00285291j 0.00655609-0.00769605j -0.0094441+0.00196587j 0.00720246-0.00242444j 0.00800076-0.00717101j -0.00740265+0.00329202j -0.00530309+0.0013058j 0.00371587+9.56895e-05j 0.00908396+0.0019461j 0.00475454-0.00532285j 0.00595311-0.000710922j 0.00267238+0.00269914j -0.0134878-0.00436592j 0.0020365-0.000519906j -0.00365138-0.00150739j 0.00204818-0.0057677j -0.000848576+0.00898707j -0.0145989-0.0095135j 0.00367984-0.00468153j 0.00163963+0.00435765j -0.00470393+0.00312993j -0.00348225+0.000708784j 0.00701746-0.00173142j 0.000710442-0.0018199j -0.00832413-0.00443666j -0.0181717+0.0204188j -0.0348935-0.00935241j 
-0.00787132-0.00916794j 0.00874804+0.00395457j -0.00240359-0.00812149j -0.00200916-0.00924873j -0.00571667-0.0148726j -0.0022685-0.00812439j 0.00716502+0.00514253j 0.00845732+0.0117782j -0.00307627-0.00862914j 0.00468273+0.00292984j -0.00285899-0.00732839j -0.00425955-0.000989365j -0.000783194-0.00556306j 0.00286119+0.00974367j -0.000269694-0.00649884j 0.0049829-0.0180729j 0.00318221-0.0167582j 0.00894385+0.00381906j -0.00333963-0.00361561j -0.0014234+0.00357122j 0.00229654+0.0171517j 0.000362986+0.00227412j 0.00196533-0.0184317j -0.00853099-0.0130829j 0.00501321-0.00694397j -0.00550417-0.0128504j -0.0105662-0.00101201j 0.00747138-0.01795j -0.0111423+0.00209741j 0.00862924-0.0104871j 0.00657322-0.0308078j 0.0270622+0.00139794j -0.00183426+0.0122353j 0.0153106-0.0019951j 0.00573388-0.00599841j 0.0130658-0.00675609j 0.00404513+0.00195855j -0.00137238+0.0072522j 0.012195-0.00401351j 0.000772111+0.0021082j -0.00766587+7.27156e-05j 6.41918e-05-0.00196227j 0.00128134+0.000922789j -0.0068972+0.000780252j -0.0126444+0.00548023j -0.000152594+0.00174853j -0.00262588+0.00509382j -0.00803863+0.00190024j 0.00822129-1.18359e-05j -0.0022116-0.00113637j 0.0156747-0.00161546j 0.00397115+0.0036515j -0.00773729+0.00650331j 0.0153902-0.00234263j -0.016132-0.00190784j -0.00164753+0.00237545j -0.00149783+0.00205677j -0.0034186-0.0022673j 0.0188307+0.00117673j 0.0025403-0.00364764j 0.00132654+0.00501744j 0.00226775+0.00547281j 0.0116669-0.00195853j -0.000294595+0.00534218j -0.00831667-0.00365463j 0.0106608+0.00778513j 0.00225125-0.00512172j -0.00711124+0.0044931j 0.0119987+0.00328429j 0.0165039-0.00124166j 0.0203699+0.00671689j -0.0145757+0.0138301j 
0.00436035+0.00627339j -0.00629633-0.00119923j -0.0040696-0.00340475j 0.00225133+0.00990593j -0.00120038+0.000307247j 0.00541682+0.0116767j -0.00453-0.00496787j -0.00117115+0.00401263j -0.00472344-0.0148765j -0.00102444-0.00401961j -0.00507954-0.0206116j 0.00129967+0.0176875j -0.000688515+0.00185963j -0.000166284+0.0164458j 0.00452346+0.00883664j -0.00644871+0.00194233j -0.0045666-0.00469331j 0.00109013+0.020587j 0.00440482-0.0148741j 0.00200948+0.0171013j -0.0029631+0.0140345j 0.00438973-0.00155526j -0.00748952+0.00701228j -0.00169709+0.0147334j -0.00117314-0.00706297j -0.00352683+0.0164138j 0.0122711-0.0208684j 0.00765804+0.00318441j -0.00266788-0.00523558j 0.00354317-0.00700911j -0.00490684+0.0100105j -0.00640646-0.0020193j -0.00726347-0.00195758j -0.0074374+0.00680828j 0.00546718-0.00136637j -0.00676199+0.00639144j -0.00273789-0.000221528j 0.00144249-0.00372517j 0.00675061-0.0055686j 0.00902892-0.00469028j -0.0151797+0.00660174j -0.0062938-7.71925e-05j -0.00912535-0.0008065j 0.00991577+0.000122422j 0.00472631-0.00250732j -0.0096031+0.00331586j -0.00781886-0.00232536j -0.0118611+0.0011984j -0.0152061+0.00169803j -0.00981003-0.00115275j 0.00356677-0.00304484j -0.012806-0.00111559j -0.0176608-0.000107545j 0.0148588+0.000185927j 0.0053945+0.00463168j 0.00208903-0.0021841j -0.00292169+6.14219e-05j -0.000404581-0.000188066j 0.000736362-0.000275901j 0.0177298+0.00705925j 0.00106191-0.00222826j 0.00590333+0.000255367j -0.0109422-0.00436897j -0.00675592+0.000965487j -0.014377-0.00382842j 0.0057816+0.000610777j -0.00402846-0.000882276j 0.0054237+0.00264813j -0.0147401-0.000982209j 0.00341033+0.00381114j -0.00461488-0.0020153j 0.00677199-0.0029879j 
-0.00163266-0.00306093j 0.00332108+0.000986615j 0.000137932-0.00175541j -0.0020154-0.00501636j -0.000744072-0.00250107j 0.00446439+0.0120898j -0.00564959-0.0176869j 0.004345+0.00553255j 0.00663303+0.0207728j 0.00546698+0.0216843j -0.00291184-0.00758728j 0.00366103+0.00434407j -0.0012359-0.00121699j -0.000285901+0.00153139j -0.000828907+0.00934008j 0.00316721+0.0184876j 0.000167658-0.0174672j -0.00307061-0.0084136j -0.00278961+0.00806197j 0.00289904-0.0059603j -0.00143401+0.0134555j 0.00153867+0.000162446j 0.00284754-0.0135647j -0.0129507+0.0222657j -0.00172766+0.0241151j 0.00884593-0.00598357j 9.19256e-05-0.00213934j 0.000342052-0.000302531j 0.000290897+0.00210304j -0.000900362+0.00201806j 0.00285486-0.00484206j 0.00306849+0.00137466j 0.000345751+0.00393253j 0.0058266-0.00215783j 0.00456551-0.00127653j -0.0100425+0.00537413j 0.00233419-0.00737033j 0.0132221-0.00106473j 0.00914919-0.00214788j -0.0258659+0.010091j -0.00254154+0.00336005j -0.00637579+0.00221118j -0.000456341+0.000457056j 0.00760489-0.0012474j -0.00109107-0.000766622j -0.00778326+0.00116104j 0.00664165+0.00142484j 0.0110092-0.000418307j -0.00164202-0.00084337j -0.0141665+0.00237817j 0.00113029-0.00175985j 0.0039996+0.00281955j -0.0105886-0.000943819j -0.0137708+0.00136535j 0.0013463-0.00136208j 0.000727213-0.00104839j -0.00825564-0.00206164j 0.00211953+0.00195799j 0.0143466+0.00156257j -0.0103994-0.000916402j 0.0140492+0.00451084j -0.0078466-0.00383079j -0.0187685-0.00553847j -0.00201737-0.000248763j -0.0064759-0.000309612j -0.00362461+0.00349017j 0.0167233+0.00526413j 0.00424029+2.25538e-05j 0.00333732+0.000376072j 0.00107989-0.000457447j 0.00248584+0.000930306j -0.00308744+0.00144519j 
-0.00087254+0.00259538j -0.00512576-0.00333457j -0.00698841-0.00933371j 0.00279593+0.0102937j -0.0066437-0.0124583j -0.00226183-0.0106127j -0.00461521-0.00851234j -0.00428432-0.0131123j -0.00112303-0.00112182j 0.0001366+0.00834782j -0.000229677+0.0152844j -0.00224878+0.00929388j 0.00234018-0.0256472j 0.00180734+0.0130966j -0.00563023+0.00280497j 0.000311182-0.00636185j -0.000562681-0.0099741j -0.00096993+0.00770714j 0.00725477+0.020669j 0.00501297-0.024622j -0.00163816+0.0016343j -0.00671827+0.0167428j -0.00338725+0.0169331j 0.00421249-0.00556802j -0.00453661+0.00159196j -0.00019512+0.00538393j 0.00339456-0.0092891j 0.00296034-0.000513822j -0.00284522-0.00029688j 0.00172074-0.00708356j -0.000378485+0.00738086j -0.00589226+0.00321856j -0.0131883+0.00280783j -0.00452853+0.010667j 0.00333601-0.00823058j 0.0111525-0.00583127j 0.00862883-0.00270838j 0.0117911-0.00547405j 0.00193007-0.000523888j 0.00586888-0.000664877j 0.010517-0.00102452j -0.00352726+0.00177443j 0.0180929-0.00272677j 0.00940282+0.000625709j 0.00239907+0.00120527j -0.00369488-0.00121802j 0.000335866-0.000198894j -0.00660474-0.00142623j 0.0224659+0.00224297j -0.0148273-0.00388285j -0.0125435-0.00279425j 0.00256647-0.00108104j -0.00798813+0.00103623j -0.00585865-0.000808739j -0.0131206-0.00204375j -0.0103999-0.000162144j 0.00131088-0.00418466j -0.00657927-0.00163285j -0.00442156-0.000237814j -0.00430344+0.00272845j 0.00397455-0.00494975j -0.0160505-0.00211765j 0.00811906+0.000380695j -0.0142336-0.00354752j 0.000326074-0.00029551j 0.00143596-0.0021131j -0.00786635-0.000652225j 0.00878664+0.00193937j -0.00911496-9.13104e-05j 0.00468536+0.00195938j -0.00375876+0.00067163j 0.001083-0.00169187j 
0.0125759-0.00641104j -0.0103057+0.00470971j 0.0145183-0.00856381j -0.00487247+0.00521487j 0.00425105+0.00118027j 0.0028628+0.00888261j -0.003874+0.00777759j -0.0104682+0.00192113j 0.00167563-0.004439j 0.00454888+0.00204687j -0.00182903-0.0040633j -0.00407617-0.0146114j 0.000920672-0.0111115j 0.00257965-0.0101013j -0.000101561-0.00953084j -0.0126792+0.00775003j -0.00772406-0.00829409j -0.00769829+0.0112936j 0.000737849+0.00912459j 0.000198548+0.0054355j 0.00477557-0.00441258j -0.000176394-0.0131826j -0.00223967-0.00920853j 0.00305752-0.00688421j -0.0103257+0.000449061j -0.0101019-0.00217849j -0.000197204-0.0227455j 0.0196844+0.00406591j 0.0149932+0.0365031j -0.0286278+0.0170709j 0.0272957+0.0399741j -0.0271908+0.0231898j -0.0152558-0.00457046j 0.00221325+0.00675281j 0.00933982-0.000917282j 0.00381684+0.00410887j 0.00100661+0.00457043j -0.00601602+0.00198416j 0.00607496+0.00142725j 0.00484227-0.00218878j -0.00234415+0.00156738j -0.00459174-0.000773285j 0.00193534-0.0028356j -0.0100759-0.000434939j 0.0025861-0.00209583j 0.000537296+0.00242825j -0.00131602+0.000554853j 0.000700068-0.00297879j 0.000197586-0.000707157j -0.000100297-0.000685103j 0.0039141-0.00013685j 0.00682574-0.00074136j -0.00462711-0.000786785j -0.00897918-0.00136242j 0.00433883-0.00360858j -0.00250464+0.00166978j 0.0020146-0.00010569j 0.00888543+0.00340187j 0.00504198-0.00360086j 0.00504526+0.00192318j -0.00501256-0.00763494j 0.00678358+0.00619566j 0.0036104-0.00548067j 0.00309425-0.00583036j 0.00369925+3.87932e-05j -0.00854281-0.00192351j 0.0148985-0.00262981j 0.0204892+0.00186964j -0.011266+0.000488254j -0.00106878+0.00727063j -0.0138936+0.0382102j -0.0315902-0.0278097j 
-0.00533958+0.00379367j -0.0131153+0.0122088j -0.00269807-0.00868737j 0.010342+0.00206989j -0.00222062+0.0011916j 0.00896164-0.00101127j 0.00977202-0.00242236j 0.00806967-0.00460436j 0.00256361-0.000377477j 0.003505-0.0163223j -0.00141139-0.00720117j -0.00936027+0.0112173j 0.00225694+0.000240532j -0.00791171+0.00258876j 0.00596076-0.00544634j 0.00383535+0.0184249j 4.85567e-05+0.0128095j 0.00893709+0.00184258j 0.00532445+0.00295883j 0.000795828-0.0149394j 0.00299478-0.0041219j 0.00399355-0.00595314j 0.00315633+0.000951724j -0.00561031-0.0108647j -0.0106281+0.00571398j -0.000318934-0.0112749j -0.0129863-0.0173026j 0.00472783+0.00367114j 0.021913-0.0176506j 0.0145448+0.0251675j 0.0241607-0.027274j 0.035696+0.0342067j -0.00738643+0.00909518j 0.0141542+0.00949478j 0.00114663-0.00143326j -0.0028515-0.00056813j 0.00735356-0.000115628j 0.00118136+0.00103216j -0.0048252+0.00249497j 0.00371933-0.000438552j 0.00493203-0.00131395j 0.00178166+0.00306438j 0.00100449+0.00154722j 0.000728033+0.000779128j 0.00656179-0.000350053j 0.000329728-0.00129401j -0.00248863+0.000457696j -0.000567057-0.00121844j -0.00312473+0.00250257j -0.000844239-0.000570474j -0.00244785+6.86978e-05j -0.00523214+0.00708053j -0.00233208+0.000369954j -0.00420959-0.00138902j 6.31288e-05+0.00355234j -0.00407515-0.000828195j 0.00448427-0.00167826j 6.26033e-05-0.00254917j -0.00392575-0.00244014j -0.00142327-0.001449j -0.00240083+0.00440366j -0.00107999+0.0104276j 0.00232756-0.00622411j 0.00755784+0.0111074j 0.000441653+0.00441624j 0.00648657-0.000763737j 0.0201425+0.000552848j -0.00290546+0.0113579j -0.000704561+0.00454799j 0.00659519-0.0112248j 0.0393425+0.0289355j -0.0145979+0.0387224j 
-0.00700393+0.00171784j -0.00508524+0.00374179j -0.00128037-0.00146629j -0.0109403+0.00571755j -0.0106654+0.00380085j -0.00642456-0.00110333j 0.00502928-0.00246329j -0.00119554-0.00504782j 0.00122588+0.00467181j 0.00354887-0.00460311j -0.00247817+0.00179945j 0.00708426+0.00365192j 0.00537202-0.00361065j 0.00708811+0.00314534j -0.0178247+0.00615549j 0.0197079+0.000976819j 0.0165838+0.00202814j -0.0215114+0.00701674j -0.0160223-0.0110514j 0.0149273-0.000408036j 0.00737067+0.00570714j -0.0235029+0.0045862j 0.0293822+0.000389259j 0.00408373-0.00487043j -0.00611504+0.000334255j 0.00602971+0.000373806j -0.0310554-0.0167032j -0.00761388-0.0284008j 0.0135018+0.0195169j -0.0191538+0.00593926j -0.00462579-0.00707632j 0.00827159-0.00381018j 0.000598368+0.00145405j 0.00392573+0.0031063j 7.90255e-06+0.00134807j -0.00232607-0.00163371j 0.00540962-0.00083441j -0.00307167+0.00241547j 0.00342744+0.00138195j 0.00452722+0.00149744j 0.00026078-0.0024686j -0.00100792+0.000105735j 0.000171412+0.000127419j 0.000785386-0.00120482j 0.00102256+0.000106546j -0.00226438+0.00167969j 0.00101907-0.00088942j -0.00375961-0.000997234j 0.00073747+0.000331714j 0.000723848-0.00292255j -0.00106073+0.000127429j 0.00546561+0.00163164j -0.0021789+0.00079476j 0.00109539-0.000825813j 0.000865032-0.00152781j 0.00136079+0.000692543j -0.00434945+0.00188633j 0.000513798-0.00136472j -0.00042339+0.00232206j 0.00296657-0.00196454j -0.00446855+0.0019783j 0.00183001-0.00471375j 0.00254412+0.00342171j -0.0006044+0.00286671j -0.000779018-0.00245891j -0.000624275-0.00311653j -7.65044e-05+0.000757894j -0.00208804-0.00451969j -8.84377e-05-0.0162002j -0.0155576-0.00618318j 0.00249127+0.00360475j -0.000724518+0.00264428j 
0.000374464+0.000999175j 0.0020532-0.000104928j 0.00303426+0.000622111j -0.0102593+0.0024258j -0.00496797+0.00331405j -0.000190306-0.0031943j 0.020394-0.00777633j -0.0210119+0.00525585j -0.0102227+0.00626441j 0.0240945-0.00331006j 0.00537548-0.000557728j 0.00145868-0.00203716j -0.0165554+0.000451423j 0.00623095-0.00301261j 0.0152647+0.00355509j -0.00542194+0.00723877j 0.0170412+0.00136005j -0.000980027+0.00295599j 0.0141477+0.00324287j -0.0148355+0.000223683j -0.0235966-0.000963613j 0.00906368-0.00178247j -0.00707849-0.00246245j 0.015214+0.0120765j 0.0147851-0.0035648j -0.0327223-0.0209016j -0.0106395+0.00174329j -0.00407229-0.00462247j 0.00270217-0.00110654j 0.00407749+0.00185448j -0.00243868-0.000645095j 0.00161175-0.00249063j 0.000736613-0.00192144j -0.00406728+0.00111898j -0.000610506+0.00261543j -0.00326392-0.00024211j 0.00233147-0.00217697j -0.0034823+0.00193389j 0.000567315+0.00123898j 0.000190434+0.000174592j -0.000400573-0.00099924j -0.000485857-0.000903935j 0.00107256-0.00204264j -0.00135958+0.00101237j -0.00156053-9.7271e-05j 0.000255561-0.000236156j 0.00131925+0.000624931j -0.000193896-0.000228196j -0.00222174-0.000744388j -0.000428644+4.89053e-05j 0.00050528+0.000893271j 0.000115419-0.00114596j 6.58183e-05+3.00717e-06j 0.00178661-0.000358684j 0.00165075-0.00119397j -0.00212376-0.00112831j 0.00123488+4.8677e-05j 0.0014256-0.000547931j -0.000792898+0.000823042j -0.000838987-0.00268524j 0.000934467+0.00108673j 0.000671972-0.000477431j -0.000988056+0.000784157j 0.00160036-0.000588438j -0.00223911-0.00362554j -0.00252036-0.00386041j -0.00524661-0.0002795j 0.000412205+0.00413229j -0.00186978-0.00367681j -0.00210843+0.00114335j 0.00117403-0.00263708j 0.00256827+0.00103006j 
-0.00621829+0.00192931j 0.00108319+0.00216759j -0.00141891-0.00052455j -0.0113863+0.00289424j 0.00310307-0.00274527j -0.00855051+0.00019616j -0.00112605-0.00278345j 0.00226169-0.000319905j 0.0211762-0.00512934j -0.010276+0.00101133j 0.0278762+0.00330251j 0.0042548+0.000590915j -0.015398-0.000762501j 0.00279844+0.00253427j 0.0136016+0.00279802j 0.0136944-0.000248311j -0.0287506+0.00686613j -0.0126318-0.00259312j 0.0119682-0.00909659j -0.00990741+0.00230739j -0.00100322+0.00152501j -0.0170721-0.00986945j 0.0300123-0.000216232j -0.0231021-0.0101421j 0.01576+0.00994708j -0.00135579+0.00156715j 0.00395081+0.00424793j -0.00395268-0.00582039j 0.0172189+0.0021023j 0.00173831+0.0112964j -0.000912483-0.00412548j 0.00473104-0.00276327j 0.00344408+0.000481197j 0.00106685+0.0011573j 0.000412345+0.000379065j -0.00267435-0.000301956j 0.00146487-0.000957225j -0.000241324+0.00132842j 0.00293015-0.000771043j 0.00241262+0.00193967j -0.00140711-0.00308615j 0.00184061-0.000327514j -0.000249736+0.000542958j 0.0019195+0.000763258j -0.000787409+0.00116896j 0.00075089+0.000239975j -0.00106514+0.0011562j 0.000208104+0.000133539j 0.000153509+0.000302273j 0.000876944+0.00176009j 0.000432828+0.000695691j 0.00146067+0.00169305j -0.000710829-0.0003914j 0.00188609+0.000697754j 0.00012809+0.000415179j -0.00098321-0.000951423j 0.00117595-0.000626147j -0.00100741-0.00198192j 0.000461934+0.000646317j 0.00129608-0.00159992j -0.000839516+0.000237771j 0.00172346-0.00190439j 0.000393053+0.000580457j 0.000135527-0.000514849j -0.00440304-0.00103222j 0.00486769+0.00368673j 0.000741455-0.00159699j -0.00353345+0.00174563j -0.00245329-0.0052107j -0.00119376+0.000487317j 0.00583267+0.00147356j -0.000922703+0.0063933j 
0.0032398-0.00201341j -0.0017963-0.000799959j 0.00500432-0.00142854j 0.00847096+4.57711e-05j -0.00642198+0.00437j 0.00173093-0.00199844j 0.0272484-0.00537356j 0.00513054+0.00224252j 0.0167327-0.00787278j -0.0164743+0.00174138j 0.00344199-0.00759828j 0.00886845+0.00154201j 0.00976975-0.00145851j 0.0319915-0.00160177j -0.00699295+0.00261421j 0.00527658+0.000961096j -0.0242281-0.00272479j 0.0173242-0.00335195j 0.000919524+0.00600725j 0.0321571+0.00149358j -0.01672+0.00214049j -0.0313216-0.0134741j 0.00805387+0.0033618j 0.0144779+0.0046711j -0.00494215-0.00603964j -0.0031587-0.00339907j 0.0049077+0.00251302j -0.00335964+0.00257682j -0.00860961+0.000102199j -0.00356457-0.00461879j 0.000925719+0.00238411j -0.00530219+0.00259661j -0.00443792+0.000341794j -0.000366182+0.000949296j 9.23093e-05+0.000543503j 0.00123877-0.000346049j 0.00327489-0.00128951j 0.000903785+0.000959327j 0.00140893-0.00108995j -0.000455443-0.00192787j 0.000779409+0.0015112j 0.000720018+0.000101442j 0.00107804-0.00110469j -0.000708499+0.000226153j -0.000294528+0.000167331j 0.000413654+0.000502904j 0.00131274-0.000295628j 0.000112459-0.000468182j 3.17415e-05-0.00138195j -4.55668e-05+8.9901e-06j -0.000146775+0.00105844j -0.00126044+0.000536903j 0.00124249-0.000492109j -0.000170411+7.32886e-05j 0.00139947-9.39749e-05j -0.000217329-7.93174e-05j 0.00105937-0.000801875j 0.00097147+4.85638e-05j 0.00142265-0.000349194j -0.000572041-0.000221845j -0.00113345-0.0020936j -0.00129447+0.0019919j -0.000588792-0.00195885j -0.00199306-0.00307232j 0.000348653-0.000180988j -0.00332982-0.00169049j 0.000908904+0.0010263j 0.00292086+0.00117809j -0.000911754+0.0020811j 0.00067539+0.000534717j -0.00371757+0.0020687j -0.00263681-0.00348164j 
