0.043495-0.0637002j 0.0116251-0.0847226j 0.142529+0.0700517j 0.0829942+0.107312j -0.00334734-0.0107854j -0.0502482-0.202805j -0.0535983+0.0968867j 0.0520463+0.145724j -0.0100522+0.015191j -0.0599829+0.0286475j 0.00591485+0.00836335j -0.0901244+0.18109j -0.0577012+0.190429j -0.11849+0.0302323j 0.0466495-0.217232j 0.0537397-0.148165j -0.105745-0.02798j 0.00192431-0.0143084j 0.175257+0.120921j 0.152425+0.00624521j 0.0598451+0.0230146j -0.259054+0.0616422j -0.0559592+0.067192j 0.072757-0.0328579j 0.0941121+0.111104j -0.176703-0.127483j 0.253278-0.222017j -0.0931006+0.0187324j 0.0274431-0.233755j -0.00658298+0.0488339j -0.0305175+0.0315265j -0.036323-0.0426609j -0.0321287+0.0331577j 0.00320797-0.0161076j -0.0312763+0.01348j -0.0346111-0.0254006j 0.006059-0.0141672j 0.00570327-0.0154864j -0.0355072-0.00406889j 0.0103369+0.0328614j 0.0153125-0.0203338j -0.0218855-0.0064236j -0.00716572+0.0202861j 0.0253019+0.0208946j 0.056201+0.0312762j 0.0138247-0.0174883j -0.0136527-0.0130415j 0.00249768-0.00444348j -0.00300956+0.000581112j 0.0236814-0.0486955j -0.0212075+0.0581711j 0.0800318-0.0302243j -0.039975+0.00780961j 0.0579951+0.0296181j 0.0110188+0.067038j 0.0353944-0.0206173j 0.00100486-0.0653568j -0.0122044-0.00109522j -0.0434666-0.00374977j -0.0235463-0.016279j 0.0124386-0.0125925j 0.0171453-0.0360117j 0.0241362-0.036451j 0.00877052+0.00556574j -0.080197-0.0236047j -0.055533+0.0641192j 0.0752231+0.00596872j -0.0381768+0.122075j 0.0751067-0.072125j 
0.022773-0.0832947j -0.0220132+0.0733347j 0.071552+0.114329j -0.112033-0.0638515j 0.00973716+0.0719946j -0.0166085-0.131346j -0.0848484-0.179521j -0.0975284-0.0291435j -0.0461526-0.0194447j 0.0315153-0.0858066j 0.0603116+0.171716j 0.00466186+0.0549069j 0.0226988-0.0716837j -0.0288389+0.201426j -0.202065+0.0498923j -0.101435-0.0487822j 0.111906-0.0570167j -0.158296+0.15405j 0.197361-0.0432166j 0.0274115-0.241424j 0.0564306+0.062989j 0.0178526+0.128164j -0.207251+0.0108355j -0.0412454+0.0276272j -0.0337496-0.0251642j 0.261357-0.183739j 0.158606+0.198405j 0.0748872-0.24495j 0.0624642-0.0466788j -0.0378078+0.0406435j -0.00138328-0.0533217j 0.0271128-0.0385381j -0.0451656-0.0368123j 0.0207567-0.00821311j -0.0275208-0.0206056j 0.011107-0.0250619j 0.0135892+0.0192396j 0.0239998+0.0144087j -0.0229462-0.00942138j -0.009713+0.0142031j 0.0187487-0.017693j -0.000843325-0.0176017j 0.0292381+0.00917542j 0.00209327-0.0160557j 0.012679+0.000471135j 0.0293103-0.0113793j 0.000692958+0.010031j 0.00615104-0.0378521j -0.00634116-0.0478575j 0.0208704+0.0294977j 0.0502067-0.0238829j -0.0348635-0.0649895j 0.0185824+0.0472366j 0.0318865-0.0432653j 0.045183+0.00101563j -0.0538531-0.0126321j -0.0406778-0.00741598j -0.0653608+0.0522615j 0.021391-0.0181951j 0.0252901+0.0108381j -0.00378509+0.0492146j 0.0345459+0.0251983j 0.0465824-0.0286798j -0.0420943+0.0227877j 0.0163944-0.0528007j -0.0565329-0.0267871j -0.0619046+0.0686978j -0.0857447+0.0672542j -0.0354977+0.100634j 
0.00195612-0.0490521j -0.00190959+0.0870982j 0.0194747+0.0291332j -0.0584158+0.00615977j -0.084712-0.0477398j -0.0496811-0.111494j -0.0997589+0.0226929j -0.00513427+0.00869211j -0.159078+0.0765533j -0.10485+0.026008j 0.132822+0.161237j 0.0806341-0.127985j -0.153273+0.0929314j -0.0608305+0.0289885j 0.031247-0.0556327j 0.107586+0.0822002j -0.206526+0.022179j -0.110259-0.0603338j 0.0720951-0.237366j -0.0220749-0.0118031j 0.0149092-0.0107579j 0.122132-0.158109j 0.107058+0.256675j 0.242683+0.0034135j -0.0672477-0.289932j 0.0984771+0.085788j -0.202905+0.0601146j -0.0486664+0.00623001j -0.0572557+0.0224344j -0.0175718+0.0247231j 0.00254076-0.0636047j 0.026199-0.0178607j -0.0301376-0.0143174j 0.00350619-0.0158553j -0.0169483-0.0025186j -0.0133533-0.00368545j 0.00936309+0.00273039j 0.00421949-0.00272477j -0.0326101-0.00458888j -0.0207735+0.0131222j 0.0248998-0.00713262j 0.00111176-0.00432527j 0.0275226+0.0351856j 0.0125109+0.0340589j 0.0424698-0.00155391j -0.00464467-0.0319576j -0.00769139+0.0264535j 0.00971558-0.0127802j 0.00706979+0.000507193j -0.0214531+0.00639836j -0.0140245+0.0145225j -0.00955003-0.0264155j 0.0402125-0.00566218j -0.0163901+0.012176j -0.00235921+0.0346541j 0.0544122+0.0117358j 0.00121237+0.0640879j 0.00148949+0.0154303j -0.00526472+0.0223165j -0.0497905+0.00137211j -0.0349778-0.00425159j -0.0119612+0.0478821j 0.0429939-0.00487025j 0.0114163+0.0149898j -0.00613592+0.00557734j -0.018333+0.00365816j -0.0137714-0.0177842j 0.0127953+0.0062813j -9.64098e-05+0.0118673j 
0.000654879+0.0681562j 0.025508+0.0923836j -0.0803369+0.0458964j -0.0184902-0.0383801j -0.150065-0.0240034j 0.0349683-0.0629436j -0.116117+0.108265j 0.0253122+0.0418759j -0.0951998-0.0558064j -0.0567848-0.0546917j -0.116194-0.0414644j 0.0992774-0.0133122j -0.0675028+0.0780969j -0.170133+0.174818j -0.157098+0.168463j 0.179088+0.0121547j 0.175895+0.0631615j 0.106788+0.0207036j -0.227172+0.054204j 0.125534+0.143519j 0.134687+0.176869j -0.0932428+0.0335652j -0.21516+0.0266734j 0.0278071+0.402851j 0.265599+0.00250094j -0.0304553+0.0135116j -0.100723-0.10702j -0.074916+0.0366614j 0.0462317+0.0165649j -0.00147462-0.0530325j 0.00229273-0.0553897j 0.0454588+0.00483184j 0.00204304-0.0141069j -0.00493648-0.0175471j -0.0175225+0.00503276j -0.0173215+0.0144823j 0.00209468+0.00353691j 0.0108959+0.00547062j -0.00910189-0.000732258j -0.0239032-0.0358356j -0.00547272+0.00198347j -0.0223072+0.00690541j 0.0535015+0.0393374j -0.0233878+0.00980832j 0.00110973-0.0284984j 0.0145493-7.0408e-05j 0.0135727+0.00940193j 0.0230917-0.00147013j 0.011416-0.00983853j 0.00349703+0.00701335j -0.0155132+0.0157643j -0.0296999+0.00175847j -0.0336085-0.0344136j -0.00322179+0.0266843j -0.00319871-0.0490895j -0.00258777-0.0139906j 0.0224613+0.00437841j 0.0126786+0.029874j -0.0225291+0.0218835j 0.0228599-0.0292952j -0.00800679+0.00504745j -0.0504044+0.0101885j 0.00949905+0.0225149j -0.0105976+0.0360967j -0.0195276-0.00984529j 0.0124985+0.00627041j -0.0224468+0.00182894j -0.00194329-0.00708509j 0.00422364+0.00556219j 
0.00640638-0.0145474j 0.0153992+0.0564678j 0.00656427+0.0302721j -0.0686121-0.0228155j 0.0355701+0.000704668j 0.161635-0.0399398j -0.0813697-0.0602111j -0.0998298+0.0500228j 0.0949049+0.0808776j -0.10374+0.125551j -0.000624694+0.00152808j 0.0747714+0.100672j -0.153836-0.178245j -0.0058677+0.358542j -0.0980915+0.046012j -0.132035-0.264013j -0.373168-0.0188878j -0.0207824-0.020728j -0.0309127-0.335086j 0.0272017-0.0283926j -0.14099+0.150892j -0.151037+0.0394767j 0.172532-0.0335636j -0.200096+0.0806416j 0.0493186+0.00421937j 0.0373775+0.0877168j -0.0936744+0.01278j -0.0132389-0.0207434j -0.0351787-0.0437492j -0.0110467-7.50401e-05j -0.000859507-0.036002j 0.0123008-0.0131019j -0.0203751-0.0200475j 0.0110846+0.00299877j -0.0376063-0.00932591j -0.00218903-0.00610349j 0.0157766+0.00284631j 0.0142549-0.000161186j -0.0265268-0.00395638j 0.0245876-0.0149796j 0.00715425-0.0134311j -0.000895471-0.0105625j 0.0216703-0.00940917j 0.0179574-0.0174123j -0.00668299+0.0519174j 0.0352133-0.00230982j -0.0116945-0.0267819j -0.00988596+0.0456961j 0.0112626+0.0302247j -0.0454008-0.00113773j -0.000199453-0.0139372j 0.0218065+0.00718001j 0.00727444+0.0165566j -0.00230844-0.00895967j 0.00479146-0.000869795j 0.00150572-0.00894839j 0.0642694-0.0173962j 0.0106387+0.00857259j -0.0173439-0.00528433j 0.000306227+0.0214955j 0.00267264-0.0192154j -0.0207509+0.00892012j 0.0131163-0.0123449j -0.00990707-0.00945646j 0.0038476+0.000701273j 0.000702025-0.00143831j -0.000636288+0.00968031j -0.000778791+0.00964412j 0.00409771+0.00656174j 
0.0130551+0.0112401j 0.0182786+0.0597855j -0.0619902+0.0462226j -0.0451639+0.00527785j -0.0225854-0.0352489j 0.0796912-0.00356841j -0.00359942-0.0509112j -0.152801+0.118576j -0.0457944+0.061944j -0.148586-0.0045411j 0.113443+0.233981j 0.0171811+0.161797j 0.0292119+0.0583809j 0.318333-0.213887j -0.417724-0.0237325j 0.122273-0.233084j 0.00600673+0.066275j 0.153986-0.0619618j 0.0173036+0.0125533j 0.0448617+0.335105j 0.131337+0.109495j 0.0805534-0.338219j 0.030944+0.0391805j 0.0503489-0.121319j 0.0452563+0.0834961j 0.0247874+0.0562659j -0.0820338-0.0518927j -0.0328762-0.00946437j -0.0069157-0.0163659j -0.011979-0.0168444j -0.00112303-0.0367957j 0.0352305-0.00659063j -0.0117892-0.0060193j 0.0026203-0.00746898j -0.0219814-0.0127694j 0.00114963+0.00809806j 0.023718-0.00195642j 0.0278875+0.00061512j -0.0218798-0.00273366j 0.00662891+0.0245428j 0.0233155+0.011835j -0.0229725+0.0118956j -0.0663142-0.0150036j -0.00625074-0.0243608j 0.0124338-0.0136359j 0.0203681+0.0169993j 0.0129115+0.037959j -0.0251727-0.0105359j 0.0394111-0.0131564j -0.0344689-0.00362519j -0.0273511+0.0152675j -0.0304765+0.00770702j 0.00733403+0.00790525j -0.00619824+0.00930539j -0.00681077-0.0134849j -0.00972717-0.00960152j -0.00217041-0.0243266j -0.0242017+0.0039307j 0.00122967-0.00444728j -0.0510083+0.000111225j 0.0149236+0.0111718j -0.0137269-0.0011348j 0.00458542-0.00499738j -0.00610322+0.0177427j 0.00726552+0.00954911j -0.00269758-0.00468393j -0.00321941+0.00514669j -0.00147091+0.00519784j 0.00377302+0.0074911j 
-0.00639098+0.0165433j -0.00184905+0.0708526j -0.0826442-0.0163343j -0.0286433-0.00567397j 0.0415795+0.106694j 0.034567+0.239418j 0.292722-0.0928827j -0.0327072+0.126617j 0.0479373-0.0581965j 0.011055+0.0373564j 0.215183+0.0835152j 0.0344487-0.0304434j -0.359197+0.227615j -0.297086+0.217247j 0.158772+0.103568j 0.211031+0.127952j 0.0152373+0.0793885j 0.123029+0.115961j -0.00726402-0.0150622j 0.0397158+0.0843361j -0.100822+0.111173j -0.196449+0.067247j 0.0383031+0.120746j 0.0170403-0.0584727j -0.137136-0.00458027j -0.0561769-0.00469204j -0.0318841-0.0462193j -0.0713388+0.0133736j 0.0332211+0.0553189j 0.00912761-0.00852486j 0.00980174-0.0414748j 0.0249504+0.0120065j 0.000262414-0.0104597j -0.00715688+0.0334739j 0.0113283-0.0412037j 0.0423404+0.0300162j 0.0214459-0.0162207j -0.0117745+0.0265341j -0.0131366+0.00193799j 0.0281748+0.0133171j -0.0184845+0.0221888j 0.0079168-0.0110635j 0.0405728-0.0120456j 0.00949243-0.0184875j 0.0195714-0.0106942j 0.013201-0.055142j 0.0436787-0.00547794j 0.00619791-0.00230642j 0.00590429-0.00430608j -0.0062838+0.0119297j -0.0217095-0.0206553j -0.0127241+0.00483579j -0.00904204-0.000574557j 0.00475646-0.0306547j 0.0145959+0.0161892j -0.0295325+0.0191782j -0.00155247-0.00238852j -0.0027309+0.00868871j 0.0144645-0.0141507j -0.0139219-0.00453006j 0.00682583-0.0266861j 0.00150517+0.00770896j 0.00301427-0.00221995j 0.00709647-0.00897322j 0.00869537+0.0161491j -0.00603377-0.00969127j -0.00724597-0.0027449j 0.0026981-0.00717975j 0.000247129+0.00880171j 
-0.017719-0.00822912j -0.00437145-0.0359459j 0.0560491-0.0316855j 0.0264844+0.00718036j 0.00129583+0.0615796j 0.00370446+0.0634607j -0.0691168+0.000647154j 0.161336+0.254209j -0.158021-0.0732429j 0.0988199+0.334179j -0.0514264-0.0842536j -0.135511-0.110776j 0.257303-0.150441j 0.0100213+0.0897168j -0.310548+0.0636141j 0.418262+0.370297j 0.0611778-0.0921646j 0.00742491+0.0100844j 0.0689524-0.214673j 0.0516082-0.101857j 0.143221+0.0700711j -0.0804387-0.0352748j -0.000216235-0.0487171j 0.000639994-0.0230852j -0.00125425-0.0713399j -0.0219256-0.0229088j 0.0624955+0.057275j 0.035622+0.0104494j 0.000622784-0.00743342j 0.0112518+0.0111546j -0.00504949+0.0192669j -0.0274522+0.00318592j 0.00677474+0.00406558j -0.0173017+0.013955j 0.00238532-0.021657j -0.0186432-0.000229959j -0.015704-0.0219746j 0.0413943+0.022263j -0.014562+0.059384j -0.000315635-0.0196589j -0.0138528-0.00868984j 0.0227281-0.0129425j -0.0164694+0.001232j -0.0152326+0.0334255j -0.0250607+0.00532026j 0.00141898-0.00409455j -0.0183036-0.00316619j -0.0264683-0.0126725j 0.0246487+0.0271515j -0.00463162+0.00465378j -0.0119503+0.0138451j 0.0173842-0.0326946j -0.00392152-0.0291353j 0.0156893+0.020298j -0.00854567+0.0157804j -0.0622732+0.0215558j 0.00704037+0.0162977j 0.0148027-0.00497453j -0.00275279-0.0125003j -0.00844562+0.00105362j -0.00878227+0.00484154j 0.00549837-0.00086754j -0.00683823-0.00818219j -0.00130718-0.00515294j -0.000165686-0.00320671j 0.00154543+0.00340475j 0.00513209-0.00252252j 0.000872878-0.000922466j -0.000868125-0.00690194j 
0.0662286+0.0424426j 0.00248682+0.0740286j -0.169305+0.00385338j -0.0677125-0.132392j 0.0579523-0.0539586j 0.152704+0.00130302j -0.131153-0.234949j 0.0485653+0.07069j -0.0200461-0.0739571j -0.00120379+0.0164596j 0.224268-0.195858j 0.0291808-0.0603122j 0.067173+0.0578797j 0.092104-0.147159j 0.266538+0.187584j -0.0762167+0.0834414j -0.013443-0.267108j 0.134412-0.0910331j 0.100428-0.0898848j -0.0119806-0.0455266j -0.00833828-0.0564147j 0.152924-0.0652185j 0.00892672+0.0658907j -0.156781+0.0277556j 0.040245+0.0226853j -0.0837243+0.0324143j -0.0782246-0.0526994j -0.083906-0.0119031j 0.0303849+0.0261196j -0.0348758-0.0407915j 0.015301-0.0312218j 0.0668861+0.00367531j 0.000416611-0.041025j 0.0348909-0.00764371j -0.0345317-0.0223261j 0.00306952-0.0332995j -0.0122442-0.0178788j 0.0301999+0.0150046j 0.0179957-0.0161495j 0.0170056-0.0192964j -0.00784873-0.0132741j 0.0475522+0.0114354j 0.00784571+0.015987j 0.0221867-0.0355115j 0.0131317-0.0155294j -0.0106492-0.017992j 0.00235781+0.030711j -7.32984e-05-0.0201412j -0.0135372+0.015532j 0.0112855+0.00285897j -0.00285909+0.0372938j 0.00518832-0.00765144j -0.0253448+0.0319573j 0.0170527+0.0212165j 0.020736-0.0111712j -0.00569044-0.0164042j 0.000731611-0.00697427j -0.0122378+0.00789624j -0.0180247-0.0129882j 0.00417632+0.00631098j 0.00123355-0.0105939j -0.0177211-0.00810765j 0.0110941+0.0111524j -0.0128006+0.0137042j -0.0028555+0.00635165j 0.000157478-0.00666995j -0.0145293+0.00684256j 1.52719e-05-0.00658418j 0.0019039+0.0136029j 
0.121009+0.176258j -0.0846294-0.00103152j -0.194269-0.201639j 0.214821-0.248908j -0.177105+0.0182536j 0.016472-0.151473j -0.0156746+0.122105j -0.145237+0.0657329j 0.100974+0.0581036j -0.150469+0.282621j -0.0181229+0.039702j -0.261344-0.0974178j -0.025175-0.0814715j 0.176245+0.219562j 0.0618626+0.0542413j -0.138962+0.00820575j -0.089752-0.271633j -0.0627256+0.106577j -0.0472644+0.130394j 0.127139-0.0112708j -0.0549307+0.0441435j -0.0287168-0.0910824j 0.0816511-0.139884j 0.0604947+0.0136641j 0.008949-0.038659j -0.118405-0.00968424j 0.0591143-0.00269044j 0.00925165+0.00736023j 0.0816535-0.0279618j -0.0511063-0.113388j 0.0529553+0.0300722j 0.0623616+0.072098j 0.08548-0.0662514j -0.0202586+0.0287462j -0.00255458+0.0469386j -0.0282309+0.00989617j 0.0378932-0.0101959j 0.000349402-0.00525914j -0.0321791+0.00946437j 0.0016601-0.0215442j 0.000420219+0.00657804j -0.0293079-0.0346631j -0.0042271+0.00819735j -0.0184122+0.020221j -0.00585283-0.00782577j -0.0305598-0.000211152j 0.00520347-0.0201319j 0.00270716-0.0235882j 0.0078571-0.0164688j -0.0108127-0.00124008j -0.00683049-0.0122054j 0.011768+0.0105598j -0.0054281+0.00968089j 0.00605771+0.000337541j 0.0119867+0.0109583j 0.00704259-0.000264054j 0.00994113+0.00247973j -0.0181574+0.009474j 0.00865243-0.00154421j 0.00184039-0.0012446j 0.007641-0.0191959j -0.0200981-0.0098458j -0.00747283+0.00347804j -0.0100214+0.0208279j -0.00876341+0.0042715j 0.0200883-0.00670961j -0.0143696-0.00632402j 0.00346692-0.0154546j 0.000335312-0.00341401j 
0.0392839-0.0215862j 0.124039+0.144988j -0.146982+0.164313j -0.225786-0.148687j -0.13794+0.186774j -0.275068+0.0957972j -0.0540569+0.19684j -0.13059-0.144499j 0.0623533+0.141478j -0.0931646-0.108156j -0.00624814-0.271512j -0.00129678+0.0850847j 0.313162+0.058038j -0.107676+0.138911j -0.0722031+0.0169984j -0.0633712-0.104023j 0.104126-0.0540934j 0.147732+0.214612j -0.0840202+0.0160684j -0.0725923-0.0217382j -0.0359779-0.0514971j -0.0288949-0.0673642j -0.0152215+0.0658321j -0.0421571+0.0302297j -0.0138849+0.0861211j -0.00925659-0.0297412j -0.0713038-0.000169358j -0.0672601+0.033228j 0.0156259+0.00846984j -0.0280841-0.00410479j -0.060416-0.0924658j 0.0563093-0.0560176j -0.0679619-0.0559132j -0.0103313+0.0212846j 0.0564262-0.0265762j -0.022057+0.0616648j -0.0152307-0.00404329j -0.0411161-0.0251654j -0.00688181-0.019361j 0.000767337+0.00348752j -0.0244339-0.0195076j 0.0174298-0.0378616j -0.0264189+0.00645316j -0.00471252+0.00129562j 0.0154624-0.00781836j -0.0197952-0.0154614j 0.00332145+0.0069572j -0.00946342+0.00655778j 0.00251987+0.0200368j 0.0234009-0.0041241j -0.00750924+0.00387582j -0.00227232+0.000598684j 0.00224337-0.011781j -0.00755885+0.0140888j -0.0052308+0.0124678j 0.00805718+0.00253023j 0.00739284-0.00468205j -0.0197136+0.00802337j 2.7288e-05+0.0071883j 0.00355157+0.00133507j -0.00885724+0.0036528j -0.00613919+0.00467494j 0.0126184-0.00510664j 0.00581413+0.00126527j 0.00733392+0.00789979j -0.00981119-0.0059091j -0.00993639+0.00751652j -0.00253994-0.00317401j -0.00223697+0.00884137j 
