0.000908696+0.00201361j -0.00201346+0.000815352j 0.000773985+0.000209353j -0.000998917+0.00064636j -0.000823704-0.00142284j 0.000680519+0.000698924j 0.000236375+0.000766961j -0.000782349+0.000511818j 0.000735553+0.000111099j -2.80235e-06-0.00104806j -0.000125897+0.000567812j -0.000556746-0.0015187j 0.000300697-0.000861823j 0.00108538-0.000426415j -0.000503354+0.000490392j 0.000255725-0.000846659j -0.000356913+7.00804e-05j 3.13283e-05-0.000552635j 0.000550079+0.000297337j -0.000326955+0.000408756j -5.20571e-05-0.000764099j 0.000528366+0.000631306j -0.0010433+0.000161932j -0.000447483+0.000595601j 0.000451435+0.000397084j -0.00118716+0.00137779j 0.000140456+0.000609533j 4.59384e-05-0.000624784j 0.00176823-0.000680035j -0.000109053+0.000737296j 0.00148083-0.000310514j -0.00112115-0.000642504j -0.00111239+0.000527114j 0.00069987+0.000176241j -0.00109475-0.000933748j 0.000655068-0.00130228j -0.00122408+0.000291647j -0.00140572-0.00052493j 0.000131438+0.000325623j -0.00147957-0.000857475j -2.44137e-05+3.61411e-05j 6.66736e-05+0.000616749j -7.54843e-05-0.000876219j 0.000632688+0.000263512j -0.00098806-0.000478293j -0.000991871+0.000474959j 7.63748e-05-0.000746376j 0.000553988+0.00123917j -0.000407194+0.000908969j 0.000654734-0.000247811j 0.00149544+0.0017727j 0.000100077+0.00200529j -0.00121253+0.0014905j 0.000659559+0.00102987j -0.00301338-0.00440464j -0.00442836+0.00311023j 
-0.000275016+0.000100624j -6.01786e-05-0.000372177j 0.000195704+0.000731665j -0.00128594-0.000454569j 5.28744e-05-0.000652941j -3.17908e-05+0.00131129j -0.000534563-0.000595337j 0.000695979-0.00123196j -0.000389738-0.000332899j 0.000644864-2.5219e-05j -0.000510659-0.000161556j 0.00171036-0.000664962j -0.000267963+0.000331877j -0.00105642+0.000455585j 0.000824618-2.56767e-05j 0.00050456+0.000907747j -0.000938928+0.000967485j 0.000758878+0.000152328j -0.000330517-0.00080663j -0.000247768+1.67223e-05j 0.000210964+0.000479707j -0.000450048+0.000181027j 0.00170686+0.000611465j -0.000317526-0.000558241j -0.000219201-0.00084538j 0.000785811-0.000595963j -0.00134107-0.001124j 0.00034464-0.00112017j 0.000401016-0.000225887j -0.000625732-0.00128698j -0.000465829+0.000882503j 0.000999571+0.000436109j 0.000784084-0.000539227j 0.00186103-0.000292907j -0.000521659+0.00194741j 0.000890693+0.000932493j 0.000871479+0.0012238j -0.000485816-0.000659504j 0.00062659-0.000139936j -5.35591e-05+0.000619445j 0.00141754+0.000112416j 0.000317171-0.000354165j -0.00100542+0.000573836j 0.000389474+0.000127541j -0.000761946-6.2865e-05j -0.000219701-0.00184219j -0.00113808+0.000179566j -0.000239121-0.000162794j 0.000645539+0.000591609j -0.000113909+0.00221197j -0.000981437+0.00140967j 0.000844269+0.000222615j -6.88262e-05-0.00118218j -0.00245591+0.00032054j 0.000993166+0.00457928j 0.00458444-0.000789714j 
-0.0010136-0.00252047j 0.0026101-0.00085902j -0.00168399-0.000492544j 0.00238146-0.0017681j 0.00112354+0.00244697j -0.00161193-0.00113778j 0.000558861-0.000938846j 0.00196915+0.000299699j -0.000535302-0.000578387j -0.000468232+0.00192543j 0.000151468-0.000795094j 0.00070722+0.00313006j -0.00033939+0.000153585j -0.00168162-0.000990894j 0.000712547+0.000409307j -0.00135836+0.00140411j 0.000187639-0.000952293j -0.000406198+0.00140766j -3.48891e-05-0.000723409j 0.000295268-0.000570516j -0.000365287+0.00121417j -0.00136053-0.00117442j 0.000156635+0.000954869j 0.000681452-0.000903161j 0.000481362-0.000604317j 0.00165838-0.00109615j 6.66963e-05-0.00136633j 0.000184885+0.00132148j -0.000588269+0.000880976j 0.000904679-0.00170804j -0.00243484+0.000560572j 0.000104499+0.00144036j 0.000701468+0.00053465j -0.000786848+0.0018757j -0.000999222-0.000191951j -0.00160546+0.00164731j -0.000378574+0.000433294j 0.00228738-0.000734401j 0.000135876+0.000766765j 0.000440314-0.000290492j 2.12849e-05+0.00202277j 0.000246896-0.000168763j -0.000512596-4.52147e-05j -0.000915076-0.000205332j 0.00126935-0.000660345j 0.00316785-0.000547127j 0.000436322-0.00104259j -0.000229324-0.00112119j 7.8942e-06-5.20041e-05j -0.00280764-0.00025319j -0.00255118-0.00264607j -0.000480966-0.000411138j 0.00476229-0.000589934j 0.00010542-0.00646819j -1.21482e-05+0.0046535j 0.00439293-6.09308e-05j 
-0.00195493-0.00397967j 0.00397112-0.00194136j -0.00142535-0.00424929j 0.00467857-0.00115796j 0.00178747+0.00228686j 0.000217941-0.0028021j 0.00103095-0.00101366j 0.00126951-0.000778215j -0.00201317+0.00035172j -0.000165907+0.000556694j 0.0026368-0.000160533j 0.000895048+0.00256037j -9.41817e-05+0.00226777j -0.000637958+0.000966195j -9.26406e-06-0.00142001j -0.000234295-0.000601092j 0.000733543+0.000943866j 3.04184e-05-0.000352915j -0.00172271-0.00136037j 0.00013725-0.00193418j -0.0011847+0.00137449j -0.000375562-0.000675228j 0.00237637+0.000595278j 0.000437504-8.473e-05j -8.52194e-05-0.000376735j 0.000850524-0.003j -0.000998641-0.000226929j -0.0014294+0.000448361j -0.00261046+0.00118511j -0.00038673-8.03355e-05j -0.00121395+0.00107477j 0.00129477+0.000305881j 0.00231511-0.00229146j -0.00150563+0.000433756j 0.00273653+0.000810632j -0.00164997+0.00167352j 0.00229461+1.27357e-05j 0.00254728-0.000148153j -0.000680855-0.00101788j 0.00305418+0.00125832j -0.000422725-0.000450834j -0.00115838-0.0010092j 0.00104428+0.000256142j -0.00120149-0.000532279j 0.00112972+0.00264384j 0.00175349-0.00122889j 0.000143783+0.00206799j -0.0016468-0.000845485j -0.00155728-0.00159348j -0.00198623-0.000794497j -0.00241901-0.00381483j -3.16092e-05-0.00496642j 0.0037313+0.00226368j 0.00417552-0.0027064j 0.00738194+0.00479131j 0.00476387-0.00753187j 
8.02565e-05-0.00115652j 0.00134904-1.49622e-07j 0.00147091-0.0019642j 0.00159576-0.000135543j 0.00190432-0.00147549j 0.000367293-0.00029671j 0.00156103+0.00173913j -0.00122652+0.00128605j 0.000609831+0.00104849j 0.00136932-0.000431976j 0.00117698+0.00101319j 0.000208102+0.000339271j -6.28972e-05-0.000648806j 0.00144145+0.000346729j -0.00138473+6.39395e-06j 0.000490181-0.00102127j -0.00119052-0.00177828j 0.000658775-0.000143724j 0.000694678+0.000158324j -0.000108152-0.00119973j -0.000830518-0.00131444j 0.000455179+0.00120491j -0.00158026+0.00201517j -0.000488945+0.00113915j 0.000636773+0.00126432j -0.00240427+0.000502432j 0.00159931+0.000260703j 0.00139047-0.00061781j 0.000963333+0.000400452j 0.000467575+0.00118454j 0.00138972+0.00073648j -0.00102922-0.000612845j 0.00032693-0.000226285j -0.000407139+0.00303634j -0.00127863-0.00233992j -0.000243501-0.000101143j -0.00242849+0.000359936j 0.00066849-0.00160324j 0.000322969-0.000346805j -0.0013098-0.000552499j -0.00052018+0.000188048j -0.00071576+0.000692777j 0.00177595-0.0022652j -0.000539076+0.000817958j -0.00160103-0.000200438j 0.000901908+0.000154516j -5.55081e-05-0.000624326j -0.000518237+0.00156758j -0.0034074-0.000147929j -0.00172315-0.00272667j 0.000407727+0.000280776j -0.00086983+0.00162074j -0.00242538+0.00363028j 0.00330808+0.00134761j -0.00187195-0.00497592j -0.00526893+0.00186948j 
0.00175481-0.0003969j 0.000368069+0.00183725j 0.000171201+0.000149399j 0.000987073+0.00017816j 0.000318529+0.00199669j 0.000130154-0.000415016j -0.000163658+0.000297055j -1.67418e-05+0.000348721j -0.00025413-0.000457846j -0.000834635+0.00103092j 0.000348081+0.000568297j -0.00182956+0.000844283j -0.00103975-0.00069497j -0.000885683-0.000159437j 0.000452736-0.000175065j -8.89532e-05-0.000183903j 0.000899867-0.00127929j -8.36426e-05+0.000423686j -0.00031444+0.000622349j 0.000656889+0.00056385j 0.000712967-0.000618325j 0.000214218+0.000339147j -0.00202716+0.000289488j 0.00018287+0.000696381j -0.000380465-3.62673e-05j -0.000440734-0.000353344j 0.00165619+0.00264423j 0.000768372+0.00238371j -0.000629686-0.00225305j -0.000290895+0.00108982j 3.51056e-05-0.000526994j -0.000339166+0.0012665j 0.000993214+0.00244077j -0.0016983-2.23186e-07j 0.000230838+0.000426755j -0.00183712-0.000661218j -7.2121e-05-0.00021176j -0.000381403+0.00200985j 0.000990466-0.000609947j -0.00140747+0.00177617j 0.000468211-0.000960982j 0.000130292-0.000380712j 0.000773438+0.00141585j -0.000270096+0.000241173j -0.000484944-0.000868474j -3.15498e-05+0.00147769j -0.00122123-0.000505295j 0.00143286-0.00172251j 0.00268262-0.0024166j 0.000886501-0.00103543j 0.00158762-0.00178205j 0.00272285-0.000337789j 0.00425662-0.00184244j -0.00231193-0.00397086j -0.00209777-0.00677368j -0.00670075+0.00213092j 
-0.000118623+0.000400055j -0.000523099-9.02789e-05j 0.000633797-0.000316058j -0.000103643+0.000929881j 0.000404734+0.00118438j 0.00122744-0.000522701j -0.000596764-0.000579338j 0.000460781-0.0013884j -0.00164039+0.000249825j 7.50907e-05-1.80519e-05j 0.000489423+0.0002243j -0.000308438-0.00056444j -0.000114583+0.00107604j -0.00010225+0.00120865j 0.000306206-0.0013773j 0.000546176-0.000850702j 0.000892639+0.000883783j -0.000160721-0.00082054j -0.000741788-6.45856e-05j -2.98947e-05-0.000484095j 0.000304154-0.000590985j 0.00050169-0.000436931j 0.000699342-0.00166325j -0.00054727-0.000554769j -0.00142548-0.000154831j 0.000518661-0.0010813j -0.000296476+0.0011379j -0.00100691+0.000470726j -0.0019878+3.01302e-05j -0.000566945+0.00140087j 0.000940818-0.000876524j 0.00102312-0.00157118j 2.68464e-05-0.00176075j -0.00151191-0.00226853j 0.00417761+0.000556299j 0.000675702-0.00034987j 0.00255857-0.000839089j -0.00135447+0.00166121j -0.000836146-1.1137e-05j 0.00189902+0.00032731j -0.00157629-0.00280989j -0.000709654-0.000614984j 0.00083282+0.0026982j -0.000400954-0.00114847j 0.000743884+0.00254046j -0.00241848+0.000579525j -0.000841316+0.00270643j -0.0018661-0.00184941j 0.000237247-0.00268829j 0.00278082+0.00121726j 0.00121952-0.001219j 0.00385488-0.0027159j -0.00390318-0.00287647j -0.00359809+0.00596228j 0.0065543+0.00108947j 0.00163456-0.00659881j 
0.00245806+0.00537673j -0.00554476+0.00240389j 0.00153466+0.00595404j -0.00701025+0.00268002j -0.00411902-0.00321971j 0.000405095+0.0033789j -0.00189729+0.00146422j -0.00366693+0.000933355j 0.00312598+0.000213699j 0.000279535-0.00178786j -0.00395075-7.67815e-05j -0.00176621-0.00558163j 0.00118726-0.00246438j 0.0019071+0.000318662j -0.000172724+0.001099j 0.00151726+0.000493261j 0.00121727-0.000330371j -0.000502084-0.000498329j 0.00070477+0.0025229j -0.000405784+0.00282393j 0.00170319-0.00142316j 0.000840163+0.00200424j -0.00197755-0.00322723j -0.000963189+0.000747479j -0.00071188+0.000968239j -0.00192209+0.00298919j 0.000459065+0.00123263j 0.000356639-0.000333704j 0.00232716-0.00236545j -0.00109887+0.00033592j 0.00156842-0.00147507j -0.00107375-0.00104128j -0.00258565+0.00240658j 0.00188613-0.00265575j -0.00190625+0.000694812j 0.00257059-0.00239356j -0.000381598-0.00207468j -0.00297053+0.00172061j 0.000816511-0.000362646j -0.00226651-0.000884552j 0.00119846-0.000533396j 0.001899+0.000104597j -0.00121023+0.000368637j 0.00230327-0.000147278j -0.00110405-0.0023009j -0.00466576+0.00149596j 0.000627589-0.000540299j 0.00429827+0.00129074j 0.00547818+0.00202731j 0.00462482+0.0022079j 0.00460596+0.00725825j -0.00241282+0.00910102j -0.0062729-0.000705041j -0.00105464+0.00500555j -0.00321358-0.0068657j -0.00680209+0.00342145j 
-0.00289101-0.00414604j 0.00424396-0.00283444j -0.0012137-0.00520584j 0.00653155-0.00183122j 0.00286084+0.00397935j 0.000181141-0.0038095j 0.00286504-0.000998822j 0.00312784+7.94721e-05j -0.00266354-8.54814e-05j -0.000212049+0.00168072j 0.00271969+6.58071e-05j 0.000713863+0.00377481j -0.000789146+0.00107856j -0.00166581-0.000803025j 0.00120937-0.000576841j -0.00122838-0.000914535j 0.000639091-0.000221463j -0.000588712-8.2852e-05j -0.00089132-0.0019249j -0.000658041-0.00234405j -0.00198312+0.000945271j -0.000659594-0.00166918j 0.00101215+0.00186479j -6.60939e-06-0.000685631j 0.000489565-0.000807215j 0.0010654-0.00235083j -0.000243175-0.000345615j -0.00148172+0.00168788j -0.00074385+0.000499339j 0.000201953-0.00071016j -0.00156342+0.000826567j -0.000540683+1.97456e-06j 0.00114122-0.00137292j -0.00165985+0.00325347j 0.0013951-0.000155965j -0.00267684+0.00152154j 0.000532431+0.00145287j 0.00162599-0.0015445j -0.000465497+0.00032437j 0.000983637-8.45684e-05j -0.00135518+0.00100852j -0.000751635-0.000174459j 7.31183e-05+0.000521747j -0.00165567-0.00119881j 0.000905639+0.00259062j 0.00329186-0.00140429j -0.000501776+0.000584716j -0.00159049-0.00116879j -0.00204311-0.000416868j -0.00590661-0.00156152j -0.000816808-0.0065945j 0.00286642-0.000388314j 0.00483907+0.0022688j 0.00247987-0.00617289j 0.00786185+0.00364825j 0.00345355-0.00784535j 
0.000289704-0.00176173j 0.00177427+0.000270482j -0.00132826-0.0030183j 0.0038496-0.00123895j 0.00090301+0.00296986j 0.000768071-0.00113625j -0.000118954-0.000978408j 0.00272605-0.00223941j -0.00295465-0.000343577j -0.00147286+0.000199069j 0.00320171+0.00123496j 0.0017269+0.00230148j 0.00118636+0.00152782j 6.02515e-05-0.000533891j -0.000592777-0.00126284j -0.000700574-0.00131735j 0.000780073+0.00142868j -0.000276753-3.98789e-05j -0.000732811-0.00234141j 0.000479567-0.00212882j -0.00139842+0.00163467j -0.00159297+0.00141424j 0.000382053+0.00118492j -0.000899041-0.00057947j 0.000878158-0.00159222j 0.00130498-0.0014583j -0.00311083+0.000511648j -0.00254014+0.000456456j 2.61523e-06-0.000449063j -0.000768244+0.000599678j 0.00164466+0.000161449j -0.000301161+0.000352782j 0.00176945-0.00141016j -0.000953134-0.000154219j -0.000837751-0.000542994j -0.00131079+4.7725e-06j 0.000849931+0.00266237j -0.000531221-0.00153257j 0.000442196+0.00202376j 0.000647906-0.00203417j 0.00080783+0.000572071j -0.00186069-0.00127921j -0.000568986-0.00035676j -0.000362654-0.00110781j -0.000411409+0.00215163j -6.25903e-05-0.00211386j -0.00108721-0.000376478j -0.00171775+0.000631887j -0.00188101-0.00221443j 0.00102169+0.00207099j -0.00354121+0.000135532j 0.00441098-0.00232964j 0.00508395+0.00761312j 0.00633211-0.00556443j 0.00473738-0.00198924j -0.00209565-0.00456471j 
-0.00383426-0.0119003j 0.0120355-0.00381264j -0.00216676-0.0111632j 0.0125681-0.00390495j 0.00674081+0.00850032j 0.00275877-0.00780452j 0.00605392-0.00200446j 0.00706892-0.00098862j -0.00673137+0.000305919j 0.00242625+0.00305214j 0.00608099+0.00152904j 0.00167522+0.00779285j -0.00144485+0.00319857j -0.00192276+0.000763021j 0.00132594-0.00135783j -0.00138759+0.000174904j 0.00101704+0.00172619j 0.000713404-0.00201942j -0.00305463-0.00493429j 0.000271304-0.00781682j -0.00444669+0.000716537j -0.00176935-0.00186353j 0.0048049+0.00208114j -0.000710991-0.00034491j 0.000489633+0.000979938j 0.00107749-0.00484577j -0.0012812+0.000229178j -0.00584756+0.00162368j -0.00310742+0.000259656j -0.00105417-0.000229588j 0.000981245+0.00429945j -0.00062397-0.00118133j 0.00105581-0.00357519j -0.00375985+0.00631003j 0.00363447-0.00147266j -0.00423386+0.000769687j 0.00318693+0.00330591j 0.0039729-0.00630322j -0.000110503-0.00106358j 0.00213219-0.00119838j -0.00276741+0.00104634j -0.000967897-0.000879814j 0.0048048-0.00149146j -0.00273523-0.0024485j -0.000412435+0.00811402j 0.00778189-0.00121429j 0.0025369+0.00494931j -0.00687158-0.00128437j -0.00700839-0.00571814j -0.00272045-0.00461915j -0.000297676-0.00632851j 0.00499752-0.00781251j 0.0158311+0.00355293j 0.00346849-0.0148348j 0.0147861+0.00789702j 0.0078648-0.014668j 
