0.000388128+0.00147646j 0.00135019-0.000200618j 8.10766e-05-0.00122787j -0.00145857-9.66521e-05j 0.000160999-0.0008601j 0.000193244-0.000678945j 0.00198864+0.00167538j -0.000470906+0.00207215j 0.000896321+0.000596052j -0.00026326-0.00051289j 0.00101946-0.000354069j 0.000507452-0.000612541j -0.000136778-2.2818e-05j 0.000761106-0.000668278j -0.00129389+0.00095175j -0.0010998+0.00110399j 0.000895896-0.000606055j 0.000944493-0.000421348j 5.84636e-05-0.000161098j 0.00089013-2.73006e-05j 0.000406109+0.000188909j 0.000752383+0.000742685j 0.00170691+0.000924502j -0.00160557+0.00109947j 0.000424465-0.00130802j -0.00105704-0.000371105j -0.00111028-0.0012579j 0.00024791-0.000380675j 0.000171209-0.000602045j 5.44121e-05-0.000575758j -0.000604262+0.000709707j -1.97533e-05-0.00011154j -0.000604-0.000768998j 0.000678567-0.00136661j 0.000176045+0.0008643j -0.000762812+0.000554278j 0.00154341+8.73389e-05j -0.000318909+0.000793707j -0.00126749+0.00159051j -0.000943567-0.000263476j 0.000264836-0.000158636j -0.00110615+0.00242777j -0.00136584+0.000284646j -0.00175539+3.90715e-06j 0.000343657-1.88062e-05j -0.000664966-0.000113443j -0.000786583+0.00135495j 0.000929373-0.000491194j -0.00248012-0.000660142j -0.00041123-0.00147218j 0.0021762-0.000844753j -0.00136715+0.000289447j -0.00155822-0.000620594j 0.000867503+0.00101243j 0.00160229+0.00126726j -0.000646734-0.000283508j 0.000218737+0.000125277j 0.000893386+0.00107289j -0.000285077-3.65511e-05j -0.00132842-0.00103574j 0.000851164-0.00116163j 0.00192318-0.00199354j 7.30127e-05+0.000696343j 0.00207483+0.00167899j -5.00306e-05+0.00250794j -0.000349731-0.00034468j 0.00295567+0.00030585j 0.00199775+0.00257198j 0.000755103+0.00286865j 0.00193607-0.000248051j -0.00394008-0.00720893j -0.00735036+0.00408814j 
0.000530175-0.000314202j -0.000298902-0.000674602j -0.00237699+0.00128911j -5.96314e-05+0.00186309j 0.001644+0.00114585j -0.00297963-0.000737369j -0.000986513-0.00234428j 0.0011538-0.000403437j 8.11752e-05-2.07402e-05j -0.000530466+0.000358413j 0.000342688-0.00307413j -0.000338767+0.00178724j 0.000633353+0.000550296j -0.000372696-0.00233408j -0.000296295+0.000432104j 0.00270663+0.000125266j -0.00180916+0.000190881j -0.000972029-0.00101697j -0.000851384+0.000442j 0.00144822+7.81681e-05j -0.00049597-0.000221726j 0.000715566-0.000407713j 0.000642272-8.37303e-05j 0.000226142+0.00172705j -0.000141051+0.000384695j 0.000936599+0.00147302j 0.000951709+0.00157498j 0.0011307-0.000863509j -0.00148293-0.000591799j -0.000118505+0.000717378j -0.000527022-0.000459593j 0.000358629-0.000269747j 0.000125323+0.000329599j -0.0014346-0.00202776j 0.000139397+0.00045307j 3.38727e-06-0.00119228j -0.000775584+0.00205986j -0.000534182-0.00190262j 0.00112386-0.00136467j -0.000807434+0.000996473j -0.00104977-8.85932e-05j 0.00229368-0.0023668j 0.000711417+0.000536106j -0.000844737+0.00205691j 0.00011321-0.00100315j 3.51542e-05-0.000315499j -0.000232462-0.00110801j 0.00146782+0.000190433j -0.00274262-0.00104228j 0.000616962-0.00221851j 0.000156842+0.000141556j -0.00303699+0.00157734j -0.000519955-0.000821018j -0.000170711-0.00039597j -0.00106523+0.0013556j 0.00188278+0.00152583j 0.0004464-0.000814821j 0.00105746+0.00161322j -2.81343e-05+0.000983019j 0.000688319+0.00132378j 0.000655837-0.00254902j -0.00135867+0.00196642j 0.00273731+6.0942e-05j 0.00126603-0.000270601j -0.000477611+0.00250544j -0.0045424+0.00106452j -0.00265377-0.00180754j 0.000173853+0.00132214j 0.00323162+0.00064288j -0.00111639-0.00483832j -0.00762834+0.00384862j 0.00362719+0.00781534j 
-9.97703e-05+0.0004328j 0.000200703+0.000373843j 0.00105754-0.00200565j -0.00162292-0.000358077j 0.00139608-0.00214933j 0.000396309-0.000410576j 0.00179318+0.00212827j -0.00148107+0.0013027j 0.000710508+0.00149407j -0.00080622-0.000305773j 0.00038225+0.00083832j 0.000962607-0.000677855j -0.00127544+0.000490871j 7.93527e-05-0.00110114j -0.0017194+0.00106683j -0.00145431+0.000220039j 0.00223618-0.000538405j 0.000198036+0.000110479j 0.000962138-0.000625598j 0.000602364-0.000925939j 0.00102887-0.000379088j 0.000100697+0.00108797j 0.00194246+0.00113699j -0.00100571+8.22781e-05j -0.000370184-0.0020053j -0.00136234-0.000726808j -0.00237263-0.00168746j -6.47578e-05-0.000914646j -0.000702298+0.000351696j 0.000147469-0.000239135j -0.000317038+0.000960615j -0.000574481-0.000461677j -0.000702252-0.000963131j 0.000321692-0.00171509j 4.18685e-05+0.000562649j -0.00137137+0.00127867j 0.00232292-0.000303968j 0.000167267+0.000692351j -0.0019201+0.00151646j -0.000882051-0.00156087j 0.00065419+0.000248414j -0.00118108+0.00243559j -0.00237642+0.000344395j -0.000954062-0.00113477j -0.000584159-0.000484901j -0.00156608-0.000419443j -0.000876917+0.00145755j -0.000124373-0.000557565j -0.00164723+0.000216164j -0.00039084-0.00107351j 0.000716724-0.0015464j 0.000703786+0.000556779j -0.00231766-0.000837938j 0.0010716+0.000610216j 0.00229623+0.000273796j -0.00160284-0.0011877j 0.000667729-0.000787307j -1.40818e-05+0.000274048j 0.000986629-0.00182269j -0.000675326-0.00139151j -0.000798658-0.00124187j 0.00198213-0.00363095j 0.000533269-0.00188009j 0.000144627+0.00150877j -0.000993855+0.000980898j 0.000396534-0.000391749j 0.0032651+0.000317242j 0.00187924+0.000481763j -0.00245808+0.00274101j 0.00261741+0.0052645j -0.00295693-0.00609083j -0.00609729+0.00282817j 
0.00140891+0.00104854j 0.00122783-0.00165656j 0.00295308+0.00273887j 0.00365733-0.00130802j -0.00143799-0.00113501j 0.00188779+0.00171655j -0.000339935+0.00101225j 0.000501607+0.000153739j -0.000238069-0.000933743j 0.000549034-0.000844659j -0.000840825-0.000169569j -0.000287136-0.000484074j -0.000549315-0.00153147j 9.24048e-05+0.00165012j 0.00280391-0.00162836j -0.000505242-0.000493227j -0.000153901+0.000295688j 0.000864372+0.00034666j 0.00225351+0.000571456j -0.00119131+0.00114697j -0.00129099+0.000840259j 0.000780978-0.000898544j -0.000398121+0.000121029j 0.000301386-0.00039325j 0.000272852-0.000485846j 0.000351422+0.000170834j 0.00115143-0.000491857j 1.56405e-05+0.000882054j 0.000879477-0.000346119j -0.000656777-0.000276174j -0.000340357+3.8021e-05j 0.00037329+0.000997721j -0.000135677+0.00129221j 0.00188309+0.00265577j 0.000628891+0.000173696j 0.00204276+0.00077291j 0.000144247-0.00099101j -0.000377292+0.00234381j -0.000353094+0.000549167j 0.00073857+0.000777033j 0.000639684-0.00147496j -0.00130819+0.00286907j -0.00112374+0.0018498j -0.000549466-0.00012711j -0.000182793+0.0013833j 0.00143496-2.25237e-05j -0.000127617+0.0025543j 0.000347369+0.00033699j 0.00147295-0.000104213j -0.000531875+0.00222891j 0.00281709-0.000625372j 0.000678475-0.00271955j -0.00150647+0.000280982j -0.000753379-0.000228384j 0.00260588+0.00101865j -0.00249796-0.000575206j 0.000568743+0.00213282j -0.000695322-0.00176823j -0.000354896+0.00198903j -0.00233486+0.000294898j 0.0010991+0.00127617j 0.000901123-0.00231891j -0.00141154+0.00174737j 5.89328e-05-0.000304107j 0.00297788-0.00104087j 0.00606238+0.000516723j 0.00179034+0.00234086j 0.000837848+0.000505347j -0.00548905-0.00655679j -0.00816322+0.00609122j 0.00177491-0.00391591j -0.00315305-0.00193147j 
0.000370102-0.00054704j -0.000571658-0.000387451j -0.000701966+0.0010375j -0.00047036+0.000533899j 0.000609954+0.000785227j -0.00100735-0.000219028j 0.000636711+0.000684251j 0.000921141+0.00108233j -0.000191835-0.000131613j 0.000177792-0.00114305j 0.000706325-0.00233765j 0.000773026+0.00151295j 0.000269052-0.000160071j 0.000495006-0.00160488j -0.000213346+0.000496809j 0.000433404+0.000714413j -0.000554163+0.000594222j 0.00101716-0.00139576j 0.000364625+4.03333e-05j 0.00179175+0.000740827j 0.000577975+0.000459886j 0.000931996+0.000335611j 0.00171533+0.000955896j -0.000876013+0.00208409j 0.000223586-0.00125042j -0.000576221+0.000199497j 0.000152896-0.000876077j 0.00115615-0.000673776j -1.08489e-05-0.000364694j -0.000519658-0.000520095j -0.00135109+0.000720024j 0.000517196+6.04061e-05j 0.000155033-0.000444942j 0.000311624-0.00127971j 0.000235152+0.00168551j -0.000312961+8.4239e-05j 0.000565405+0.00156674j -0.00109561+0.000452187j -0.000809223+0.000813526j -0.00158495+0.00126173j -0.000497082-0.00059193j -0.00103911+0.00215626j -0.00124457+0.000989664j -0.0023001+0.00201269j -0.000402229+0.000262205j -0.000384421-0.000172363j -0.00104007+0.00180118j 0.00313455-0.000592083j -0.004563-0.000912049j -0.000209889-0.00258903j 0.00344017+6.75022e-05j -0.00297992+0.0015299j -0.00295652-0.00181359j -0.000403533+0.000170947j 0.00163185+0.00260788j 0.000677796+0.000519531j -0.000344377-0.000208775j 0.0019895+0.00110045j 0.000238593-5.3665e-05j 0.000452782+0.000474761j 0.000468479-0.00145542j 0.00134125+0.000302594j 0.000677891+0.000618737j 0.00253134+0.000966568j 0.00115866+0.00365224j -0.00116969+0.000756568j 0.00234084+0.000845126j 0.00239817+0.00466321j 0.00271604+0.000549972j -0.00241742-0.00347161j -0.00688234-0.00436512j -0.00443481+0.0072473j 
0.00113505+0.0010092j 0.00130697-0.00108693j -0.000853575+0.00183804j 0.000863722-0.000403033j -0.00381248+0.000896907j 0.000163629+0.000254426j 0.00125031+0.000480053j 0.00205361+0.00157592j 2.79605e-06-0.00196738j 0.00137427-0.000603478j 0.000215312-0.000174613j -0.00030548-0.000254582j 0.0011461-0.00189394j 0.000891016+0.00116063j 0.00159517-0.00110911j -0.00109181+0.00180095j -0.00078656-0.000105936j 0.00239515-0.00064614j 0.00137547-6.6805e-05j -0.000115589+0.00105586j -0.000183253+0.00180622j -0.000435598-0.000294473j -0.00111421-0.000875102j -0.00109051+0.000668865j 0.00186831-0.000375615j -0.000846056-0.00158742j 0.000691968-0.00184568j -0.00102927+0.00119001j 0.00327349+6.03679e-05j 0.000178501-0.00164386j -0.000379315+0.000878332j 0.00129013+0.00209037j 0.000222548+0.000409537j 0.00159153+0.00350062j 0.00109463+0.000533057j 0.00038459+0.000805256j 0.000700402-0.00203926j 0.000342202-0.000199907j -0.000277289+0.00149441j 0.00196109+0.00110328j 0.00114232-0.00123584j -0.00157051+0.00175009j 0.00141915+0.000809988j -0.00161507+0.000821754j 0.000506291+0.00240248j -0.00025918+0.000479996j 0.00148134+0.00126547j -0.000200453-0.00236126j -0.000418204+0.00121757j 0.00016268+0.0022453j -5.46087e-05-0.00121191j 0.000593503+0.000647923j 0.00119352+0.00254785j 3.38577e-05+0.000641126j 0.0015208+7.28025e-05j 0.00130115-0.000254856j -0.00132812+0.00150335j 0.00229793+0.000577661j -0.000728055+0.00133819j -0.00163201+0.0021652j -0.00163136+0.0022252j -0.000245855+0.00142218j -0.00323648+0.00221639j 0.0027779-0.00166134j 0.0051845+0.00039611j 0.0020361+0.00104125j 0.000748759+0.00110822j 0.00147683+0.00184745j 0.00522966+0.000665457j 0.00183856-0.00703395j 0.00810857-0.00679774j -0.00709624-0.00765973j 
0.000977533+0.00175128j 0.00186328-0.0011292j -0.0014639+0.00265473j 0.00216699-0.000693389j -0.0030156+0.00149132j -0.000840954+0.000878719j -0.00161912-0.00144648j 0.00073731-0.000156255j 0.000521193-0.00138871j 0.00106737+0.000527383j 0.000175899-0.0017339j -0.000375014+0.000680995j 0.00245874-0.000122893j -0.000154977+0.00075399j 0.000262991-0.00076164j 0.000958041-0.000607385j -0.00219722-0.000162178j 0.00023614-0.000765779j -0.00177248-0.000187273j 0.00143359+0.000543594j 0.000552988+0.00123702j -0.000125415-0.000796181j -0.00151255-0.00149706j 0.000375936+0.00102298j 0.000645321+0.00292006j 0.00141816+0.000562j 0.00194576+0.000669674j 0.000622605+0.000525325j 0.00043498-0.00141601j -3.80346e-05-0.000756266j 0.000348444+0.00063427j 0.00136761+0.000805587j 0.00113058-0.000246282j -0.000121032+0.000150115j -0.000372642-0.000349445j 0.000741271-0.00157099j -0.00250469+0.000968647j -0.00183215+1.10015e-05j 0.00196424-0.000805607j -0.000415524+0.00395016j -0.00221252+0.000673866j -0.000194048-0.00122416j 0.00356518-0.000835202j 0.000844908+0.00274241j 0.00162041+0.000631008j 0.00110189+0.00111802j -0.00021669-0.000630844j 0.00274985-0.000526562j -0.000958631-0.000651557j -0.00113768-0.00159597j 0.00299363+0.00321065j -0.00286575-0.000929438j 0.00012389+0.000335569j -0.00242207-1.70405e-05j -0.00296836-0.000601593j 0.00402367+0.00200326j -0.000689747+0.001901j 0.000480561-0.00141882j -0.00176557+0.00287129j 0.0012744+0.00100124j 0.00193387-0.000184361j -6.77153e-05+0.00551348j -0.000579649+0.00299161j 0.00249654+0.000877357j 0.00155354+0.00323913j -0.00227538+0.000613704j -0.00339511+0.00121672j -0.00481217+0.00182679j 0.00427496-0.00120076j -0.0012107-0.00739593j -0.00419543+0.00270155j 0.00235144+0.00438651j 
0.00208914-0.00211974j -0.00197733-0.00206205j 0.000920546+0.00151164j 0.000904878-0.000216174j -0.00104223-0.00097163j 0.00152952+0.00088068j 0.000517543+0.00340948j -0.00132767+0.00111897j -1.77964e-05-5.35701e-05j 0.00112407-0.0013159j 0.00106471-0.000468493j 0.00120313+0.00123323j -0.000668113-0.000240818j -0.000518181+5.62079e-05j 0.00294526+0.000521487j -0.00149769+0.000170854j 0.000413203+0.000439389j 0.00156695-0.000177183j 0.00161423+0.000379072j -0.000441197+0.000551819j 2.22372e-05-0.000110541j -0.000587274+0.00112213j 0.00101017+0.00120873j -0.000860289+0.000773953j -0.000922473-0.0011499j -0.00103781-0.000356874j -0.000852037-0.00225075j 0.000181848-0.00155592j 0.000405726+0.000860082j -0.00078215+5.22156e-05j -0.000986629+0.00123413j -0.00029469+0.00112602j -0.000149978-0.00123537j 0.000810473+0.00139783j 6.16106e-05+0.00231823j 0.0001006+0.00159879j 0.000307181-0.000317532j -0.000525898+0.00202648j 0.000541954+0.00204898j 0.000243834+0.00065362j 0.000530839-0.000168935j -0.00304073+0.00358777j -0.00334416+0.00213598j -0.000255273+0.00071296j -0.00161459+0.00114024j 0.000237194+0.000476698j 0.000351333+0.00321129j 0.00307817-0.0011181j -0.00336952+0.00138073j -0.00176478+0.000696259j 0.00348018-0.00108864j -0.00096226+0.000734797j -0.00315801-0.00200864j -0.00134134+0.000893958j 0.00344406+0.00291454j 8.26423e-05-0.000617764j 0.000390248-0.00122219j 0.000890352-0.00102254j 0.00133622-0.00101913j -0.000730181-0.000633969j -0.00103123-0.00149487j 0.00290754-0.00207835j -0.00136973-0.000222183j 0.00404045+0.00197542j 0.00299495+0.00310495j 0.00380977+0.000328918j 0.00440179+0.00584269j -0.00109132+0.00674499j -0.000808915-0.000374076j -0.000675717+0.000245258j -0.00650974-0.00884681j -0.00891384+0.00683001j 
0.00260579+0.000488172j 0.000330074-0.00236502j 0.000537173-0.00138161j 0.000258402-0.000820168j -0.00139227-0.00306447j 0.000388772+0.000776195j 0.00126014+0.00124462j -0.00121475+0.00113602j 0.00117915+0.000248199j 0.000673819+0.000220094j -0.000390023+0.00145083j 0.000240002-0.00111089j -0.000216537-0.00103224j 0.000180902+0.00067231j -0.000984369-0.000505174j -0.000663769+0.000483325j 0.0014744-0.00132399j 0.00101509+0.000663137j 0.00176633+0.000663472j 0.000305275-0.000940162j 0.000475621+0.000848605j -0.000623725+0.000750227j -0.000372051-0.00158916j -0.00100354-0.000202332j 0.00149221-0.000412893j 0.000167269-0.000196562j -0.000910056-0.0026344j -0.000826654+0.000310365j 0.000899501-0.00133103j 0.000599692-0.0012954j -0.000111818+0.00167425j 0.00080402+0.00120465j -0.00208307-0.000583415j 0.000334347+0.000654274j 0.000766626-0.000615503j 0.000139374+0.00212239j 0.00152582-0.0018172j -0.000903359+0.000914538j 1.60158e-05+0.000189607j 0.000828554-0.000265826j 0.00129969+0.000405981j -0.000633025+0.00276519j 3.05789e-05+0.000823943j -0.00103875-0.00136456j 0.000674837+0.000846208j -0.000842686+0.00110303j 0.000192422+0.000547457j -0.000976013-0.00242062j 0.000897946+0.0010743j -0.000565068+0.00163083j 0.000813407-0.00236714j 0.000783119+0.000652332j -0.000172968+0.00259189j 0.00115682-0.000650634j 0.00251714-0.000772127j -0.000529157-0.00144692j -0.00105418+0.00224251j 0.000433919+0.000267197j -0.0018322+0.00160774j -0.00296117+0.000380956j -0.0015875+0.00123822j 0.00255225-0.00148552j -0.000827765+0.000816554j 0.000232999+0.000796623j 0.000928987+0.000797649j 0.00299305-0.000202554j 0.00035128+0.000103958j 0.00278761-0.00562877j 0.00316375+0.00347683j 0.00322277+0.000397834j 0.00288682-0.00701618j -0.0068846-0.00304625j 
5.38683e-05-0.00111554j -0.00109997+0.000352138j 0.000767108-0.000819212j 0.000309636-0.00282597j -0.00370994-0.00293108j 0.00021105+0.0012038j 0.000146896+0.00136622j -0.00178749+0.00022448j 0.000785075+0.000810846j 0.00038314+0.00146223j 0.000594797+0.00308222j -0.000627954-0.00054717j -0.000649698+0.000401521j -0.00114376+0.000191788j 0.000334731+0.000365434j -0.00201638-0.00091534j 0.00169455-0.00167018j 0.00123753+0.000790951j 0.00176706-0.000989182j -0.000400192-0.00155996j 0.00161499+0.00130919j -0.0017027+0.000900548j -0.000836726-0.00149051j -0.000401699-0.00239912j 0.00038356-0.000554268j -0.00111832-0.00132294j -0.0017403-0.00211924j -0.00148578-0.000774954j 0.000602063+0.00127363j 0.000171469-0.00211307j -0.000706236+0.0010078j -0.000437004+0.000842851j -0.000623002-0.00104502j 0.000218181+0.0010198j -0.00109415-0.00105084j -0.00229341+0.00263706j 0.00015494-0.00177094j -0.00139074-0.00105016j -3.052e-05-0.000593808j 0.00115073-0.00183559j 0.000363043+0.00179475j -0.00243163+0.000459243j -0.00110421-9.36229e-05j 0.000384477-0.00253755j -0.00103023+0.00179185j -0.00171395+0.00102701j -0.00108058+0.00176259j -0.000716219-0.00169285j 0.00174402+0.000248962j 0.000772173+0.00240081j -0.00217316+0.000976782j 0.00507901+0.000420089j -0.000120568-0.00180301j 0.000151065-0.00085672j 8.92805e-05-0.000980249j 0.000757763-0.00110056j 0.000423412+0.000199911j -4.80804e-05-0.000150386j 0.00176603+0.0002229j -0.00179809+0.00151558j -0.00166956-0.000625227j 8.35163e-05-0.000660338j 0.000823888+8.77504e-06j -0.000251746+0.00101364j -0.000625971+0.00236353j 0.0024735-0.000930113j -0.0012605+0.00269834j -0.00891151-0.00595645j -0.00417421-0.00293714j 0.00253237+0.00910822j -0.00296385+0.0020255j 0.00181952+0.00218569j 
0.000789313-0.00132101j -0.001359-0.000741673j 0.000572778+0.000383589j -6.84981e-05-0.000875019j -0.000251834-0.0020219j -0.00297303+0.00126892j -0.000963177-0.00101083j -0.000533297-0.000253349j -0.0002753+0.000951096j 4.80862e-05-0.000407307j 0.000992836-0.000775298j -0.000776247+0.00152805j -0.00179299-0.000162596j -0.00241148-0.00323457j -0.000420179-0.00102598j 0.000804836-0.000110319j 0.000954489-0.001052j 0.000357464+8.59274e-05j 0.00198373+0.000602747j 0.00054492-0.00187811j 0.00109221+0.000885381j -0.00032577+0.00017838j 0.000558202+0.000186462j 2.1359e-05+0.000334205j 0.000107333-0.000180482j -0.00068538+0.000559579j -0.000245514-0.00172159j 0.000148429-0.00283133j -0.00173864-0.000728569j -0.0012267-0.000546129j -0.000978507+0.00239847j -0.000557112+0.00056746j -0.000577014-0.00208488j -0.00153288-0.00228759j -0.000650473+0.000769563j 0.000304624+0.0032797j -0.000108583+0.00180492j -0.00218039-0.000701137j 0.00059602-0.000257058j -0.000778225+0.00145752j 0.000609413+0.00154661j -0.00087003+0.0014117j -0.00217904+0.0013411j -0.000410822+0.000545029j -0.00154699-0.00137077j -0.00222077+0.00037677j -0.00104941+0.00216553j 0.00235124-0.00207383j -0.00417099+0.000274215j -0.000225789-0.000983792j 0.0025324-0.00195434j -0.00124936+8.65698e-05j -0.00582193-0.000432015j -0.000676148-0.00436955j 0.00107696+0.00322263j 0.00079373-0.00157026j 0.000638346-0.000784978j -0.00180847-0.000534947j -0.00140147-0.000867957j 0.00101568-0.000125499j -0.00445794+0.000643387j 0.00476868-0.000285847j 0.000301042-0.00301328j -0.000653767+0.00148337j 0.00141976+0.00164988j 0.000369539+0.00723389j -0.00416884+0.000724333j 0.00573704+0.000760445j -0.00295173+0.00521313j 0.000960347+0.00415003j -0.00689004-0.00784104j -0.0076861+0.00693053j 
