-0.0536891+0.216264j -0.216258-0.0508296j -0.139154-0.187445j 0.192628-0.133257j 0.00734746+0.133813j -0.147552-0.0230206j -0.0304001+0.107141j 0.0457919+0.000708841j -0.0233374-0.0051837j 0.0217026+0.00611216j 0.0293644-0.0741889j 0.0483961+0.12914j -0.159102-0.0495935j -0.123283+0.0829097j 0.0108224+0.109553j 0.0552892+0.166629j -0.00840827-0.0170618j -0.107981+0.0153266j 0.0767634+0.0273054j -0.016375-0.030614j -0.103459+0.0995667j -0.0271293-0.0432888j -0.0298675-0.118795j 0.0572947-0.0753352j 0.0521982-0.032175j 0.0411606-0.0735299j 0.0614529+0.029552j -0.0541195-0.0193735j 0.141427-0.0209964j 0.0197341+0.0676175j -0.0268454-0.0482695j -0.0587307+0.078989j 0.0398204-0.0093717j 0.0347012+0.0421077j 0.0343747-0.0695534j 0.120603+0.0182576j 0.131847+0.0165752j -0.0794394-0.0298877j -0.0351413-0.129232j -0.0383615+0.0317452j -0.0121912-0.00202011j 0.0571529+0.125761j -0.0214793+0.0218761j -0.00912472+0.0464811j 0.0851816-0.00414099j 0.0980575+0.0355785j 0.0118355-0.0147353j 0.0661953-0.00906951j 0.0430671-0.0525132j 0.00581453-0.100241j 0.0955308+0.0099476j 0.109349-0.0275487j 0.00988694+0.10561j 0.0653309-0.126082j 0.042568-0.0465647j -0.0187807-0.137253j -0.043357+0.0676479j 0.047946-0.0208669j -0.0818316+0.0137732j 0.04607+0.00549397j 0.0147938-0.00518617j -0.0419142-0.0404793j 0.073422-0.0484539j 0.066557-0.0684635j -0.0571272-0.0915912j -0.0646596-0.0359796j -0.116852-0.010471j -0.0286726-0.0242327j 0.0856066+0.0644959j 0.0106514-0.0796915j 0.016644+0.0547086j 0.077089-0.123762j 0.117557+0.023667j -0.235952+0.0925463j 0.0889128+0.235723j 0.133448+0.139897j 0.137375-0.132486j 
0.129866+0.159951j -0.160907+0.132067j 0.0827721-0.0654652j 0.0602193+0.0877808j -0.0143722-0.164172j 0.200162-0.0357911j -0.0661238-0.0437055j 0.105977+0.0655917j 0.0911685-0.184205j -0.104349-0.129401j -0.103336-0.0283948j -0.010685-0.102945j 0.178271-0.0987116j -0.121225-0.0215536j -0.0696464-0.133459j -0.0113452-0.0249692j 0.0493948-0.114865j 0.102924-0.0313743j 0.123419+0.11296j -0.00252078-0.0156161j 0.0681691+0.0427767j -0.065145+0.100242j -0.0163245-0.0299047j 0.0183135-0.0598539j -0.0829498-0.0153325j -0.0760779-0.0258668j 0.056324-0.066051j -0.0238196-0.0286741j 0.0615041-0.0457175j 0.037903+0.0219078j 0.00797441+0.00620275j -0.117604+0.010584j 0.0383263-0.0832372j -0.064249-0.0670961j 0.00872811-0.0812555j 0.0388318-0.0728282j -0.0357209-0.0315354j 0.0758331-0.053324j 0.0293643-0.0222884j 0.0342098+0.0146041j -0.0597202-0.0382131j 0.0739641-0.0113095j 0.0368586+0.124879j 0.0469998-0.0455583j 0.0658097+0.0560589j 0.0190612+0.0764847j 0.0202612-0.00426258j 0.0232632-0.065162j 0.0564601+0.0680706j -0.0656193-0.010182j 0.0609289+0.0407264j -0.0363497-0.066872j 0.0559551-0.0898727j -0.0855251-0.0459014j 0.0126749-0.058679j -0.0869425+0.0415508j 0.018401+0.0383154j -0.0841601+0.0545921j -0.122541+0.10186j -0.0549735+0.0116765j -0.0171639-0.150161j 0.0291465+0.0973453j 0.0168199+0.00442354j 0.170389+0.133691j 0.0477091-0.0549772j 0.0453629+0.0240184j 0.173003-0.069834j -0.0609654+0.13313j -0.000724273+0.142819j 0.127086-0.00437302j -0.102869-0.0791161j 0.011204+0.156671j -0.104937+0.0313865j -0.0266538-0.0921284j -0.0973466+0.0254232j 0.227985-0.0205235j -0.0222876-0.228008j 
0.097944-0.0274194j 0.0265426+0.0991264j 0.0965372-0.194283j 0.193957+0.0958388j 0.172057+0.0442126j 0.00128193+0.203678j 0.0736111-0.0664302j -0.0735787+0.0578383j 0.0472738+0.0569895j 0.0203346+0.121926j 0.222528+0.0427111j -0.0837511+0.077364j 0.022261-0.00369772j 0.0601126-0.130373j -0.0460532-0.00965215j 0.0680084-0.069291j -0.0109543+0.0794319j -0.111667+0.0113529j -0.0272258-0.0809573j 0.0761699+0.0298873j 0.0213604+0.0487399j 0.0326967+0.127216j -0.0513008-0.0323925j -0.0912813-0.112238j 0.00300817+0.135649j -0.0964033-0.00124327j 0.0370637-0.0289621j -0.041205-0.115471j -0.00498645+0.0161902j 0.0486953-0.019541j -0.00215004-0.0193131j -0.0191214-0.0224457j 0.0583+0.0305183j 0.019032+0.092838j -0.0426737+0.0329542j 0.0265271-0.0932779j -0.024697+0.0316946j 0.0968517+0.0150128j 0.0568113-0.0970342j 0.0426182+0.0290391j -0.12799+0.0207252j 0.0542244-0.0274173j 0.0235827+0.00507821j -0.0836644+0.0847247j -0.0286179+0.0502843j 0.0226943-0.0400341j 0.0192692-0.0267151j 0.019626-0.0380432j 0.0792293+0.0165158j -0.0192848+0.00422112j 0.0537131-0.054732j -0.054622-0.0518468j -0.0880273-0.00200766j -0.0056501-0.0465543j 0.0371221-0.058213j 0.00273471+0.0656269j 0.114317+0.0854151j 0.0164365+0.0356085j 0.0185957-0.0551839j 0.131007+0.0463608j 0.0690745+0.0731276j -0.0889816+0.13933j -0.0765987+0.149832j -0.030423+0.00901369j 0.215456+0.0563688j 0.0454604-0.169958j -0.122348-0.0470315j 0.0975403-0.0957475j -0.0560449-0.126556j -0.0452035+0.0216211j 0.0343329-0.0974672j -0.230227-0.0531223j 0.055715-0.205314j -0.145802-0.137524j -0.137682+0.138366j 0.0623293-0.0987452j -0.0996457-0.0626836j 
-0.00907925-0.00439981j 0.00395258-0.00802055j 0.0219621-0.00367168j 0.00363922+0.0243928j -0.000166935+0.000168044j 0.00374089-0.0113966j -0.0283158+0.00307905j 0.00169494+0.0259393j 0.0130767+0.000825409j 0.00807247-0.00411507j 0.00477754-0.0129218j -0.0064829+0.00480124j -0.00819385-0.023589j -0.0170479-0.00129104j -0.00543269+0.0165835j 0.00692792+0.01952j 0.0142295-0.00742555j -0.0154665-0.00120222j 0.0195903+0.0155437j -0.00493248-0.00850723j -0.0332038+0.0198371j 0.000112382-0.0045233j -0.000534577-0.0203869j 0.018964-0.00803446j 0.00338983-0.00718704j 0.00548725-0.0188486j 0.0156947+0.00641619j -0.0146623-0.0102216j 0.0343964+0.00884433j 0.00195665+0.00697411j -0.0054277-0.00530583j -0.0103597+0.0143296j 0.00867518-0.0106062j 0.00614771+0.00199529j 0.00466717-0.00723991j 0.0206746+0.00257769j 0.0146746+0.00380625j -0.00858963-0.0130244j 0.00103582-0.0311509j -0.00163566+0.00342605j -0.00446525-0.00927857j 0.0132432+0.0274759j 0.00327912-0.0101572j 0.00301462-0.000363485j 0.0179835-0.00419449j -0.0026196+0.0136152j -5.05779e-05+0.00595315j 0.0135206+0.00268075j 0.00292509-0.00159459j -0.00999305-0.0149867j 0.0221307+0.00230958j 0.0116655-0.0138386j 0.0127644+0.0133748j -0.00263247-0.023066j 0.00160684-0.0084668j -0.000900689-0.0142111j -0.00227308+0.00137667j 0.0190833+0.00300616j -0.00773894+0.0151951j 0.00404857-0.00551999j -0.00242946-0.00932365j -0.000893894+0.0181913j 0.012913-0.0177231j 0.0237905-0.0114179j -0.00896916-0.00491367j 0.00653962+0.00316151j -0.00832302-0.0040149j -0.00954982+0.00899908j 0.0185214-0.00109851j -0.0212142-0.01096j -0.0038095+0.0103863j -0.0123439-0.00624645j 0.00836309-0.0247579j 0.0021779+0.0225413j 0.0210939-0.002152j 0.0153682-0.0180177j -0.0192658-0.0148433j 
-0.0151034+0.00322864j -0.00383148-0.014881j 0.00880845-0.00595511j 0.0053773+0.00937593j 0.0114177+0.0222782j -0.0154731+0.0175361j 0.0115019-0.00355124j -0.0109061-0.00517824j -0.000768912+0.00901571j 0.0141087-0.00316285j -0.00763048-0.0234511j 0.0129147-0.0241919j 0.0369024-0.00929432j -0.0135048-0.00316962j -0.021161-0.0144298j -0.00529843+0.00341519j 0.0140044-0.00138259j -0.000604684-0.00610599j 0.00308321+0.0200695j 0.0123074+0.0112237j 0.0230475+0.00191991j -0.0104985+0.0222916j 0.0101222-0.00629627j 0.0108693-0.0102184j -0.019287-0.00159748j -0.0121007+0.00580478j -0.00089804-0.0134162j 0.00781724-0.00129288j 0.00716436-0.00805677j 0.0157174-0.00862819j 0.00879882+0.0151888j -0.0118597-0.0231922j -0.00357189-0.0108006j -0.000904068-0.0196373j 0.000645748+0.00378261j 0.00687419-0.0177234j -0.0110243-0.016859j 0.0122745-0.00820563j -9.07947e-06-0.00448209j 0.00738803+0.00468456j -0.00835277-0.00651129j 0.0139363-0.00995947j 0.0020805+0.0124639j -0.00153013-0.00858546j 0.00262447+0.00781983j -0.000367978+0.00577733j 0.0103984+0.00119546j -0.00232175-0.00461588j 0.0183853+0.00369185j -5.20156e-06+0.0055936j -0.00263441-0.00715333j -0.0117532-0.00864896j 0.0214353-0.00968797j -0.027592-0.00163681j -0.00239326-0.00259722j -0.0130709+0.00252112j 0.0148968+0.0148379j -0.00343399-0.000426455j -0.019001+0.0164663j 0.010248+0.0179525j -0.00234948-0.0187058j -0.00333716+0.0214832j -0.00248064+0.0107353j 0.0160427+0.00829636j -0.00219548-0.0197345j -0.00827645+0.00734844j -0.00529188-0.0139021j 0.0085855-0.0144032j -0.0022403+0.00379424j 0.00596083-0.0249018j -0.0213157-0.00322123j 0.00985396-0.00235606j 0.0156569+0.0116315j -0.00466964+0.00156438j 0.00106206+0.00463281j -0.0177012-0.0131354j -0.013734+0.0173394j 
0.0156803-0.00404224j 0.0044759+0.0155262j -0.00792415-0.0180058j 0.0184037-0.00823321j -0.0129436-0.00431421j -0.00213556-0.0203952j -0.0134619+0.0107874j 0.0091341+0.00157128j -0.0122915+0.0131167j 0.0277692+0.00343918j -0.0206131-0.0172496j -0.00953709-0.0292187j 0.0144453-0.0195872j 0.017307+0.01267j -0.0140164+0.0180075j 0.00687132-0.0265616j 0.014649+0.00921502j -0.0112568+0.0077197j 0.00744823+0.00514644j -0.0126271+0.00874477j 0.0130749+0.0098341j -0.00545199+0.00779063j 0.00302987-0.0101589j -0.00163297+0.00450361j 0.0164771-0.0131082j 0.00828197+0.0123901j -0.0147358-0.0082799j 0.00150541+0.00178251j 0.00957779+0.00634398j 0.0067397-0.00052362j -0.000175063+0.000581011j 0.00899201-0.00895741j 0.016366+0.00735566j 0.00393345-0.0114551j 0.00543409-0.0123129j 0.00442122+0.00908089j -0.0113001+0.00119335j -0.0070098-0.000812452j -0.000750767+0.0141998j 0.0053978-0.0027712j 0.00140497+0.00486201j 0.00298756+0.00222606j 0.00341117-0.0048877j 0.00781382+0.00638194j 0.00112604-0.0046351j -0.0104808-0.00987013j 0.0143072+0.00681638j -0.00970266+0.00410608j -0.0110338+0.0172601j 0.0110108-0.00071429j -0.0150096+0.00495398j -0.00242538+0.00481793j 0.0154773+0.00822519j 0.00133174-0.00191049j -0.0012015+0.0149823j -0.00704395-0.0132423j -0.0211942-0.00576015j 0.013281-0.0128522j 0.0105144-0.00301462j -0.00769228+0.0142309j 0.0195495-0.00109438j -0.00528703+0.0110671j -0.0101244-0.0263577j 0.000497733+0.00278068j -0.0283847+0.0108189j -6.00082e-06+0.0163125j -0.00552447+0.0190712j -0.0214321-0.0173124j -0.0108866+0.00996747j -0.00534241-0.00522217j -0.00558744+0.00501167j -0.00532516-0.00552351j 0.00992099-0.00836591j -0.00955848-0.0322491j -0.0308216+0.00950092j 0.0147211-0.00590553j -0.0054922-0.0145977j 
0.00579161-0.00658318j 0.00681271+0.00574125j 0.00896502-0.00600611j 0.0058047+0.00902661j 0.0143568-0.0175172j 0.0118894+0.0267302j 0.0329735+0.0115083j 0.0216273-0.023404j -0.0031507-0.00294654j 0.0202138-0.00370042j 0.00171114-0.0289136j 0.0119048+0.0256711j -0.0193532-0.00661666j -0.0201711+0.00574637j -0.00735543+0.013406j -0.0112668-0.00407749j 0.0118944-0.00781968j 0.00666461-0.0101324j 0.0123955+0.0135732j -0.0131974-0.00144132j -0.00578632-0.00652823j -0.00311338-0.0147043j 0.00629806+0.000719534j 0.00346412+0.0124155j -0.00537416-0.00431197j -0.00685926+0.00286413j -0.00263842+0.000452731j 0.00241642+0.00115768j -0.0064113+0.012887j 0.00441007+0.0014617j 0.0140935-0.00531015j -0.000256275+0.00430303j 0.00398817-0.00787747j 0.00605033-0.0175615j -0.0100595-0.0116044j -0.0172626+0.00457018j 0.00349013-0.0174549j -0.00524807+0.010729j 3.21197e-05+0.0059806j 0.000542834+0.00924067j -0.000479241-0.0156088j -0.0193558-0.00425224j -0.00993436+0.00252893j 0.00264355-0.00947911j 0.00789839+0.00267513j -0.0108408+0.00542165j -0.00761213-0.00316405j -0.00274228-0.000963975j -0.0178458-0.00183067j 0.0046318+0.00547686j -0.00492778-0.000340292j 0.0106869+0.00419206j 0.0198252+0.00647276j -0.00529231+0.00884533j -0.00556951+0.0103143j -0.00564277+0.0112438j 0.000322741-0.0143041j -0.000405852+0.000843759j -0.000748807+0.00730425j -0.0111022-0.00576075j 0.000283889-0.0158357j 0.0132549+0.0122297j -0.000825879-0.00705471j 0.0258302-0.00233682j 0.0165788+0.00947661j 0.0187866-0.0284182j -0.0117346-0.0159343j -0.000538547-0.000602685j -0.00255333+0.0123426j 0.0133433+0.0239951j 0.0398717-0.00301522j 0.00823161-0.0396523j 0.0233809+0.00898755j -0.00121967-0.00170653j -0.00127045+0.00166273j 0.00373449-0.00467697j -0.00449337-0.00366389j 
-0.00475226-0.012096j 0.0123411-0.00471091j -0.0147916-0.0127383j 0.0127602-0.0157027j 0.0268501-0.0128626j 0.0129864+0.0196506j -0.00770661-0.00157377j 0.00597911+0.0160188j -0.0100231-0.00952766j -0.0063+0.0273589j 0.0159264+0.00336747j -0.00795436-0.007746j 0.0165829-0.00540371j -0.00440219-2.80475e-05j 0.0120581-0.00616945j 0.00340275+0.019333j -0.00848082-0.0134834j -0.00615904+0.0176743j 0.00540472+0.00242822j 0.00641286+0.0122598j 0.00112034+0.00456492j -0.0138613+0.00534419j 0.00475998+0.0144749j 0.0170194+0.00640721j -0.0216235-0.00131004j 0.0065224+0.00271542j -0.0231952+0.00822061j -0.0062287+0.00679117j -0.0061919-0.00163741j -0.0112444-0.000276691j -0.0147171-2.89427e-05j 0.000536952+0.00232718j -0.0046657+0.00489873j -2.63821e-05-0.00498438j -0.00171717-0.00729911j 0.00169592+0.0103501j 0.00244668-0.00264233j -6.53468e-05-0.000982894j 0.000838169+0.0112653j -0.00711443+0.00263997j 0.0158562-0.0132312j 0.00269588+0.00214368j 0.00237647+0.0031307j -0.000240058-0.0232801j 0.00464005-0.0252196j 0.00391715-0.00237989j -0.0137261+0.00256913j 0.0123845+0.0129074j 0.000538183+0.00174384j -0.0037825-0.00230876j -0.020158+0.00742826j -0.00114766+0.0153296j 0.00519355-0.00876537j -0.00501581-0.00690084j -0.00741102-0.0138202j -0.00382126-0.0103676j -0.0273876-0.0041853j 0.00020188-0.0157918j -0.00836544+0.0136429j 0.0148442+0.00266757j -0.0158306+0.00628423j 0.00108327-0.0130202j 0.0170288+0.0132663j -0.000286927+0.0150723j -0.0197931-0.0119187j 0.00870191+0.0240056j 0.0195612-0.0304994j 0.0349445+0.000954967j -0.0136817-0.021416j -0.00227103+0.0173382j 0.0159855-0.0106499j -0.0234297-0.0092535j 0.00352394-0.0210282j -0.0163295-0.00880687j -0.00860101+0.0162185j 0.000451093-0.00613474j -0.00599552-0.000331216j 
0.00487919-0.0106857j 0.0108521+0.00498233j 0.0109605+0.00533834j -0.00547429+0.0111482j 0.00217818-0.0130409j 0.013613+6.1891e-05j -0.0062012-0.006212j -0.00177512+0.00896966j 0.00470212+4.0661e-05j -0.00111995-0.000197776j 0.000709579+0.00562885j -0.0119726-0.00209108j -0.000883081-0.0082609j 0.00378325-0.00525681j -0.0025927+0.00256244j -0.000593294-0.00469155j 0.00259466+0.00038864j -0.000163836+0.000212174j 0.00209493+0.000387037j -0.00359919-0.00259116j -0.00900249+0.00470449j 0.000835676-0.00155877j 0.00170394+0.00265767j 0.000601455+0.00331795j 0.00290234+0.000261543j 0.000652813-0.00477852j -1.89639e-05-0.000561229j -0.00316678-0.00301924j 0.00266547+0.00730233j -0.000673032+0.000591715j -0.00393947-0.00135041j 0.00384611+0.00827922j 0.00519508-0.00384128j 0.002155+0.00243432j -0.00179956+0.000815337j 0.0026898+0.003883j -0.000940564+0.00121689j 0.00171762+7.04003e-05j 0.00460456-0.00153857j 0.000851012-0.00190378j -0.00149252-0.00315305j 0.00185151+0.00339689j 0.00481801-0.00957224j 0.00461797-0.00200178j 0.00284451-0.00252426j -0.00739326-0.000245252j -0.00467921+0.00408003j 0.0015853+0.00207968j -0.0063374+0.00798851j -0.00665088-0.00248814j 0.00489717+0.00044171j 0.00130842-0.00222065j 0.00095829+0.00127355j -0.00349254-0.00482355j -0.00014992-0.00103865j 0.00281644+0.00370931j -0.0015436-0.00304973j 0.00460216+0.00241469j 0.00471026+0.00231468j -0.00117665-0.00317165j -0.000681069-0.00164809j 0.00143291+0.00789016j -0.000198068-0.00179738j 0.00398849-0.00124399j 0.00268172+0.00593413j 0.00660323+0.00118645j 0.00337794-0.00101481j -0.000362244+0.00250968j -0.00121547-0.0050765j -0.00971285+0.00371905j 0.00121714+0.00146926j -0.0112336+0.00394607j -0.00558555-0.0117252j 0.0131687-0.0019942j -0.0024488-0.0132206j -0.00226026-0.010755j -0.0106293+0.00232545j 
0.00923857+0.0166841j -0.0166854+0.00875926j -0.00710683-0.0167802j 0.0165825-0.00717869j -0.00244412-0.00669927j 0.00364301-7.44264e-05j 0.0032252+0.00627674j 0.0141451-0.00369858j 0.000671469-0.0112189j -0.00636444-0.00401819j -0.00312486+0.00415679j -0.00167658+0.00364197j -0.000701244+0.000479766j -0.000600738+0.00297698j 0.00330715-0.00198846j 0.00272066-0.00414647j -0.00632167-0.00330901j 0.00348262+0.00235849j 0.00280712-0.0042257j -0.000881984-0.00396907j -0.000931871+0.000119399j -0.00516667-0.00203872j -0.00619619+0.000273913j -0.00901251-0.00229181j 0.00520037+0.00261609j -0.000134228-0.000137757j 0.00309024-0.00119588j -0.00138814-0.000751533j -0.00303299-0.00137273j -0.00217833+0.00684042j -0.00144419-0.006978j -0.0061649+0.00512752j 0.00826961+0.00460996j -0.00328925+0.00619041j 0.000111359-0.00706331j -0.00151635+0.00435523j 0.00397564+0.00337741j 0.000326105+0.00407637j 0.000510306+0.00497151j 0.00028142+0.000959353j -0.000967407+0.00121044j -0.000611654+0.00255445j 0.00194344+0.0093228j 0.00211074+0.00676422j 0.00184299+0.00529802j 0.00696762-0.00242118j -0.00232873-0.00521413j 0.00212007-0.00272867j -0.0049018-0.000497604j 0.00265946-0.00569477j 0.00383539+0.00546164j 0.00326516+0.00173195j -0.00674217+0.0010793j 0.00949373-0.00636328j 0.00381708-0.00203997j -0.00142743-0.00139808j -0.00533443-8.29382e-05j -0.00385407+0.00401329j -0.00323251-0.00231979j -0.00230245-0.00105426j 0.0039261-0.00130605j -0.00152864-0.00201006j 0.00133505-0.00131903j 0.00430362+0.00240196j 0.00452469+0.00212018j 0.00272861-0.00428529j 0.00336314-0.00200724j -0.00465528+0.00536425j 0.00149298+0.00755425j 0.00607027+0.00505587j 0.00318007-0.0039379j -0.00280842+0.0046988j -0.00481692-0.00100145j -0.0100644-0.00700224j -0.00703914+0.00980011j 0.0161174+0.00497226j 0.00500667-0.016529j 
-0.00190028-0.00346011j 0.00372058-0.00126719j -0.000428998+0.0107089j -0.00963693-0.000373022j -0.00127742+0.00639007j -0.00314169-0.00544103j -0.00443628-0.00341825j -0.00820177+0.0024159j 2.54038e-05+0.00340422j 0.00250943+0.000605635j 0.000727942-0.00720913j 0.0040228+0.00139785j -0.00490343+0.000767625j -0.00626956-0.000515777j -0.000362095+4.03931e-05j -0.000106287+0.00574342j 0.00360535-0.00379317j -0.000691384-0.00125858j 0.00276873-0.000996789j 0.00222112-1.23618e-05j -0.00418289+0.00107518j 0.00755479-0.00638958j -0.00132526+0.000735473j 0.00439532-0.00338661j -0.00376966+0.000556491j -0.000912261-0.00576205j 0.00447609+0.00146993j -0.00288554-0.00104932j 0.00296284-0.00309271j -0.00296513-0.00181627j 0.000977279+0.00130008j 0.000137129+0.0029678j -0.00734732+5.42276e-05j -0.00112836-0.00273435j 0.000608402+0.00208296j -0.000255833-0.0036692j 0.00339463-6.359e-05j -0.00160046-0.00121834j -0.00751505-0.00556918j -0.00216841-0.00096012j 0.00054543+0.000688205j 0.000817337-0.000917874j -0.00320081-0.00180459j -0.00291526+0.00022799j -0.00105225-0.00141329j 0.00153699+0.00569589j 0.000502634-0.00345079j -0.000377399-7.83618e-05j -0.00142507-0.0060393j -0.00129724+0.0024827j -0.00134283+9.80009e-05j 5.02553e-05+0.000321567j -0.00123787-0.0020463j 0.0034149+0.00530932j -0.000727849+0.00142035j -0.00260741-0.00143522j 0.00382054-0.00170391j -0.00411523-0.00179186j 0.00269701+0.00254796j -0.000351282-0.00259576j -0.00289347+0.00367233j 0.00394687-0.00619711j -0.00274214+0.00147954j -0.00642951-0.00133879j -0.00378803-0.000137519j -0.00228923+0.000176893j 0.000784327+0.00613089j 0.001754+0.00206828j -0.00259241-0.00124159j 0.00707402+0.00255439j 0.00071817-0.00406569j 0.00678963-0.00162223j 0.000136027+0.00919139j -0.00376525+3.9621e-05j 0.000275205+0.00527686j 0.00476243+0.00328205j 0.00344963-0.00417962j 
