0.168927+0.0235044j 0.0238069-0.172421j -0.0303249-0.0127785j -0.0165399+0.0188615j -0.0174683+0.00353634j 0.00386953-0.0145496j -0.00222803-0.00694438j 0.00954345+0.0115692j 0.00247597-0.0195296j 0.01528+0.0164669j 0.0143433+0.00214956j 0.0143979-0.0162588j -0.0333158-0.00875914j 0.0145208-0.053874j 0.0442073+0.0114655j -0.00286433-0.172973j -0.17716+0.00469639j 0.0842072+0.106253j -0.114022+0.0947971j -0.064418-0.0613595j -0.0159165+0.0369212j -0.00993344+0.00658295j 0.00585062-0.0500604j 0.00208315-0.0408103j -0.0363144-0.00620418j 0.00548869+0.0234725j 0.00929818-0.0151406j 0.0107896-0.00327295j 0.0408093-0.0323807j 0.0239315+0.0085691j 0.0462153-0.00850515j 0.0257296-0.0165032j 0.0173262+0.0218094j 0.0371327+0.038434j -0.0210944+0.0529183j -0.101589-0.0261757j 0.0226928-0.0950861j 0.159453+0.0173304j 0.0141213-0.163409j 0.0367939+0.0641227j -0.0749779+0.0298773j 0.104901-0.107675j 0.140089+0.12348j 0.0483122+0.125363j 0.0770558-0.143332j 0.0290866+0.0838708j 0.0109986+0.0629874j 0.0951901-0.0535078j -0.072858+0.0822721j -0.0565076-0.0281222j 0.0720513-0.0946004j -0.0452172-0.0132248j 0.0251454-0.0252949j 0.031045-0.0170538j 0.113295-0.0320634j -0.00654542+0.00257497j -0.0122385+0.0574891j -0.05765+0.0329332j -0.0193317-0.03586j -0.0197909+0.0207818j -0.0554328+0.0023953j -0.0646973-0.00980269j -0.0435904-0.0513821j -0.0456661+0.0260762j 0.00870903+0.0122649j 0.0256666-0.0218722j -0.00816627+0.00828414j 0.048204+0.000870983j -0.0852359-0.0106817j -0.0838937-0.0167179j 0.0818421+0.00958149j -0.0497905-0.0107826j -0.0662318-0.0185444j 0.0434019+0.0119349j 0.00600991+0.015053j -0.0246402-0.014374j 0.0124452-0.0152893j 0.0565066-0.0238058j -0.00394559+0.0238098j 0.0068067-0.0313798j 0.111377+0.0196252j 0.00218024-0.0685336j 0.0631921+0.0568523j -0.0398543-0.0969592j -0.0497509+0.0435333j 0.11335+0.126268j 0.0611162-0.09011j 0.0284365+0.0276644j -0.0639023-0.0267497j -0.0351171-0.115863j -0.118794+0.127797j -0.0815553+0.115555j 0.111221+0.091121j -0.159875-0.19079j 0.179939-0.147257j -0.168466-0.258478j -0.25594+0.167249j 
0.00202866+0.00617313j 0.00654864-0.0018173j 0.0096517-0.00258907j -0.00125282-0.00299783j 0.000257688-0.00522102j -0.0126853+0.00329092j 0.00194506-0.00704381j -0.00943547+0.00311009j -0.00186251+0.0104349j 0.00118148-0.00474332j -0.0135211+0.000449199j 0.00433186+0.00427899j 0.0121487-0.000980435j 0.00071945+0.00436641j 0.00299132-0.00382556j 0.000744552-5.29614e-05j 0.00126288-0.00112429j 0.00390914-0.00975381j 0.00659645+0.00104675j 0.00499526-0.00869002j -0.00129912+0.00600228j 0.00352785+0.0034621j 0.00466995+0.00818109j -0.00280584+0.00426274j -0.00510743+0.00308251j 0.000404055+0.00106607j 0.00228302-0.00255083j 0.00137594+0.0070434j -0.00458455-0.00524997j 0.000211394-0.00580286j 0.00810513-0.0033647j -6.84073e-05+0.00255192j 0.00893512+0.00197668j -0.000248288-0.00645651j 0.012739+0.00507799j -0.00507089-0.00113458j 0.00401425-0.00612533j 0.00670851+0.000121806j 0.000538564-0.00760993j -0.00793084+0.00548124j -0.00445975-0.00916302j 0.00573727+0.0081763j -0.00940834+0.00555801j -0.003933+0.000128292j 0.000257604-0.00299236j -0.0107316-0.0047304j -0.000358734-0.00813132j -0.00871987+0.00622732j -0.00388811+0.00629732j -0.00080666-0.00462088j 0.00886827+0.00509468j 0.00572867-0.00254864j 0.0039079-0.00524583j -0.00233259-0.000938893j 0.00359528+0.00345011j -0.00832192+0.00074j -0.00107938+0.000212781j 0.00144532-0.00905609j 0.00373313+0.00936823j -0.0051021-0.0047394j 0.00363167+0.0068368j 0.00121204+0.0044113j -0.000507886-0.00183875j 0.00190323-0.0041144j -0.002978-0.00199658j 0.000445723-0.00112194j -0.00314899-0.00355213j 0.00309492+0.00241527j -0.00508682+0.00239062j 0.00760679+0.00203247j 0.00166911+0.00128724j 0.0101455-0.00418651j -0.000999516+0.0084269j 5.84623e-05-0.000525616j -0.00214598+0.000866773j 0.0019151+0.0061656j 0.000473097-0.00485153j 0.00635783-0.00344031j 0.00112597-0.00184779j -0.00642016+0.0014767j 0.00208626+0.0100712j -0.0087332+0.00834019j 0.00272456+0.00694566j 0.00381181+0.00537427j 0.0110331+0.00316931j 0.0048848-0.0105701j -0.0067843-0.000697661j -0.00365259-0.0019272j 0.0010168-0.00135096j -0.00624678+0.00167514j 0.0058302+0.00524739j 0.000352514+0.00551872j 0.00559747+0.000395549j 0.00763276+0.0034838j -0.00408549+0.00823181j -0.00655983+0.00222964j 0.00266911+0.00702676j 
0.000402561+0.00289879j 0.00315945-0.000946073j -0.000194536-0.00115026j 0.00134211-0.000597177j 0.000199556-0.00371798j 0.00311709+0.0041594j 0.000594197-0.00486887j -0.00153789-0.00262379j -0.00510332+0.000266644j -0.00241717-0.00431373j -0.000533562-0.00165561j -0.00229171-0.000314044j -0.000466717-0.00139607j -0.00190078-0.00118061j 0.000940341-0.00359585j 0.0020945-0.00509574j -0.00457931-0.00173304j 0.00726869-7.67177e-05j -0.000166203+0.00625222j 0.00992274+0.00115382j -0.00292919-0.000538953j 0.000608238-0.000193418j -0.0017921-0.000860041j 0.00241809+0.00844343j 0.00227562-0.00101081j -0.00307589+0.00309222j -0.00885435+0.00222234j 0.00626722-0.00314922j 0.0105715+0.0090349j 0.000546187-0.00156255j -0.011083+0.00801086j -0.00787118+0.0160707j -0.00188763-0.00396696j -0.00470907-0.00631166j 0.00636299+0.00585163j -0.00157746+0.00511183j -0.00219828-0.000815291j -0.000726265-0.00876206j -0.00813639+0.000518412j 0.00404099+0.0088156j -0.00772109+0.00382259j 0.000585221+0.00113311j -0.00288994+0.000845114j 0.00136867-0.00255287j 0.00246131-0.00520084j 0.00221441-0.00968469j 0.0104653-2.34782e-05j -0.00496693-0.00376557j -0.00710888-0.0042411j 0.00463667+0.00136273j 0.00053454+0.00292159j 0.00267048+0.00335345j -0.00505634-0.00109317j 0.00143821-0.00565351j -0.00172931+0.00117679j 0.00224345+0.000984683j -2.11246e-07-0.00392446j -0.00791233+0.00282573j 0.0017858-0.00471326j 0.00318672+0.00875085j -0.000739044-0.00199061j -0.0042998-0.00308067j 0.00331884+0.00516731j -0.000591393-0.00555347j -0.00153723-0.00243872j -0.00577716+0.00124191j 0.000613343+0.000858759j -0.00072393-0.00428914j -0.00211835+0.00132546j 0.00316318-0.00353216j 0.00784448+0.00189067j -0.00689353+0.00263872j -0.00141021-0.00362055j 0.00133135+0.00484496j -0.000403353-0.00141342j -0.0028614-9.14045e-05j 0.009894+0.00628475j -0.00719873+0.00380462j 0.00658474+0.00886157j -0.00108684+0.00834729j -0.00308532+0.00521877j 0.00928286-0.0105494j -0.0041576-0.00141561j -0.00273247+0.00287512j -0.004413-0.00176445j 0.00301213+0.00239366j -0.00225425+0.00558107j -0.0103296-0.00170023j -0.000928643-0.0101879j 0.00481171-0.00425737j -0.00327679+0.00100689j 0.00116624-0.000904323j -0.00126579-0.000744302j 0.00507708+0.000538585j -0.00176212+0.00441179j -0.00258981+0.00361605j 0.00377286+0.00286533j 
-0.00135693+0.00146174j 0.00180782+0.00141472j 0.00291995+0.00109543j 0.0057681-0.00373829j -0.000919618-0.00836417j 0.014459+0.00601685j 0.00190457-0.00958352j 0.00691734-0.00995601j -0.0129465-0.0089606j -0.00861509-0.00105551j 0.00708286-0.00333382j -0.00575198-0.00346564j -0.0056426-0.000586746j -0.00654836-0.00210104j 0.000675385-0.00946231j 0.000894571+0.000764641j 0.000712231-0.000907612j -0.00660024-0.00023807j -0.00110081-0.00743558j 0.0089345-0.00841305j -0.0130377-0.00460786j 0.00100094-0.0101229j 0.00658592+0.0140032j -0.00792403+0.00521227j 0.00680405+0.000312762j 0.0086769+0.00447368j -0.00640497+0.00479235j -0.00210172+0.00802989j -0.0107269-0.00625599j -0.00448402-0.00160767j 0.01181-0.0144648j 0.00104894+0.00379819j 0.00475079+0.00735915j 0.00354307-0.00446754j 0.00456652+0.00449883j 0.00536983+0.00329688j -0.00343713+0.00646809j 0.00398937+0.000423233j 0.000307128-0.0039522j -0.0014142-0.00561744j 0.00523986-0.00153759j 0.0005633-0.000794124j 0.00088759+0.00119339j -0.00211574+0.00369038j 0.00547613-0.0024314j -0.0036395-0.00121584j 0.00440371+0.000527298j 0.00179788+0.00238724j -0.00102735-0.00774943j -0.00807656+0.00294025j -0.00324549+0.00401018j -0.00199524+0.00183113j -0.0107011-0.00680825j 0.00113265-0.00387448j -0.00326103-0.00211202j -0.00356945+0.00397374j 0.00340691+0.00538922j -0.0054151+0.00828126j -0.00174973+0.00176545j 0.000600575-0.000316829j -0.00168962-0.0025554j -0.00388001-0.00503344j 0.00572529-0.00300426j 0.00536459+0.000507158j 0.00137748-0.00280976j -0.000544966+0.00354471j -0.00150459+0.00276398j 0.00112482-0.00249178j -0.000836004+0.000328602j -0.00274266-0.0019998j -0.00334578+0.00250427j 0.000434344+0.00561615j 0.00171086-0.00178291j -0.00118167+0.00341276j 0.000983529-0.00820538j -0.0047211-0.00779853j 0.00200218-0.00258119j -0.00362908-0.00189724j -0.00398216+0.00222406j 0.00654358+0.000421246j -0.00106238-0.00165168j 0.00266311+0.00457221j 0.00262503-0.00248081j 0.000451948+0.00406784j 0.0049473-0.00339872j -0.00155129+0.00278684j 0.00465689+0.00504178j -0.00619302+0.0041764j -0.00279686+0.00131432j -0.00332902-0.00206835j 0.000121876+0.00449975j -0.00513609-0.00559275j -0.00487263+0.00533816j -0.00488879+0.00244222j -0.00319204-0.00391462j -0.00290688+0.00098958j 0.000860976+0.00289397j 
0.00475775-0.00397677j -0.00477108-0.0045327j 0.0069583+0.0131946j 0.00222485-0.00291986j -0.00208944-0.00148993j 0.00107494-0.00847803j 0.00144915+0.00733179j 0.0144277+0.00417015j 0.00803356-0.00913293j -0.00591616+0.0203359j 0.00391231+0.00546508j 0.00808767+0.0025536j 0.00329526+0.00653074j 8.86885e-05+0.0052232j 0.00127842+0.000967251j 0.000563487+0.002659j 0.00292338-0.000269052j 0.00595859-0.00216624j 0.00328564+0.000896395j 0.0020144+0.000262994j 0.00214665+0.00138776j -5.07726e-05+0.00360001j 0.00105088-0.000164985j 0.000520688-0.00128938j -0.00231736+0.00312178j -0.00175259-8.49814e-05j 0.00244541-0.000742795j 0.000125493+0.000674738j -0.00080231-0.000762717j 0.000193159-0.00198047j 0.00221325+0.000415662j 0.000453948-0.00146357j 0.00287686+0.000436528j 0.00105317-0.000786463j 0.00299359+0.00134423j -0.00416458-0.000964883j 0.0010797-0.00508987j 0.00493445-0.00818638j -0.00779794-0.00507357j 0.00303423+0.00585138j -0.00538699+0.00377142j -0.00562139-0.000264957j -0.00127742-0.00359214j -0.00388864-0.00334958j -0.000405592-4.20272e-05j 0.00413618-0.00525754j 0.0037414-0.00137311j -0.00191286-0.00529231j -0.00226266+0.000565936j 0.00795104-0.00139801j 0.00278527-0.00232895j 0.000868774-0.000384903j 0.00129036+0.00308236j -0.00037839-0.00453883j 5.68461e-05+0.00159968j 0.00550598-0.00094102j -0.00262812-0.00686578j -0.00336849-0.00156959j -0.000482181-0.0055979j 0.00161168+0.00601515j -0.0011769-0.00111493j -0.001893+0.000103293j -0.000788571+0.00481547j -0.00505333-0.00362487j -1.22984e-05-0.00130873j -0.00312815-0.000370539j 0.000723374+0.000234711j 0.000696926-0.00149226j -0.00212899+0.0009829j 0.00225181-0.00175417j 0.006198-0.00205965j -0.0054181-0.00100261j -0.00336483-0.00429418j 0.00299403+0.00156582j -0.000634165+0.00158331j 0.00176577+0.0038175j 0.00818629+0.00767606j -0.00597161+0.00337491j 0.00676323+0.00318712j -0.00405077+0.00621781j 0.000435874+0.00353362j 0.00517994-0.0106458j -0.0039256+0.00180713j -0.00580974+6.34355e-05j -0.00788138+0.00105247j 0.00675193+0.00538225j -0.000934984-0.00060038j -0.00531515-0.00159993j -0.000874288-0.0126733j 0.00940563-0.0066772j -0.00776338-0.000477331j 0.00339725+0.00138536j 0.000458804-0.00316752j 0.00869549-0.00411645j 0.00268879+0.00802813j -3.77073e-05-0.000178521j -0.000142902+0.000470887j 
0.00858479+0.000153525j 0.00133056-0.00809761j 0.00786417-0.00756553j 0.000152339-0.00243039j -0.00259587-0.0103747j -0.00355537+0.0110237j -0.00117666-0.0116353j -0.00331612+0.00248339j -0.00558092+0.00627196j -0.00696139-0.00516111j -0.00831027+0.00374368j 0.00277728+0.00230026j 0.00880901-0.00222028j -0.00449301+0.0015619j 0.00322041-0.0102047j -0.00714756-0.00213994j -0.00246061+0.00790399j 0.00878744+0.00772551j -0.00894669+0.00620197j 0.00835289+0.00731318j -0.00422837-0.00671953j -0.00384256-0.00449099j -0.0100581-0.00480781j 0.00263605-0.000418457j 0.00637699-0.0049112j -0.00179256+0.0031502j -0.00900226+0.00631534j -0.000412446-0.00937365j 0.0111667+0.00702284j 0.00108081+0.004481j -0.00906456+0.0078537j -0.00265479+0.006654j -0.0096328-0.000641039j -0.000513891+0.00234236j -0.00842768+0.00274148j 0.00331249+0.00218107j -0.0036232+0.00560626j -0.00641123-0.00368608j -0.00344703+0.00683986j -0.00561924+0.00259943j -0.00223828-0.00506166j -0.00536361-0.00574412j 0.00571646-0.00664124j -0.00305754+0.00320289j -0.00461819+0.00364397j -0.00630272-0.0033889j 0.00272166-0.00590868j -0.000175553+0.000970498j 0.00317037-0.00362692j 0.000735763-0.00328666j -0.000203886-0.00712633j -0.00397371-0.0013746j -0.00256168-0.00182789j -0.00720834-0.00736429j 0.00686877+0.00344198j -0.000307225+0.00635114j 0.000551493+0.000361304j -0.00179732+0.00209855j -0.00327981+0.00600137j -0.00450886-0.00212384j -0.0011815+0.000442408j 0.00315477+0.00162368j 0.00120807-0.000635258j 0.0028014-0.00291125j -0.00440097+0.000393057j 0.00100552+0.000294865j 0.00041953+0.00045248j 0.00253454+0.00444487j -0.00366131+0.00180638j -0.00195887-0.000547214j -0.00351791+0.00294409j 0.0052978+0.00189269j -0.000588117+0.00236784j 0.0050691-0.00557452j -0.00135545-0.00455919j -0.000741387+0.00747251j -0.00141064-0.0061376j -0.00220291-0.00517927j 0.00275957-0.00505059j -0.00346995+0.00167192j 0.00826964-0.00175026j -0.00724164+0.00169668j 0.00796971+0.00610363j -0.00333143-0.00654799j 0.00320895-0.00170993j -0.0068326+0.00481158j -0.00176707+0.00101444j -0.00212393-0.00456056j 0.00243541-0.00785324j 0.0106431-0.00352739j -0.00701002-0.00262505j -0.0046922+0.00370709j 0.00384867+0.00540564j 0.00146273-0.00218684j 0.0010368+0.000416957j 0.00182065+0.00212502j 0.00192281-0.00157672j 
-0.00338538+0.00435937j 0.00401662+0.00197589j -0.0174005-0.00116759j 0.000992206+0.00490388j 0.00460167+0.00804562j 0.00516052-0.00147892j -0.00127251+0.00190123j -0.0074826-0.00217157j -0.000379151+0.00182319j 0.00404663-0.0123979j 0.0036976-0.0057145j -0.00814815-0.0019834j -0.0118001-0.00208625j 0.00159876-0.00588986j -0.000756273+0.00634637j 0.00188472-0.00979278j -0.00891852-0.00204676j 0.00610825-0.00943199j 0.0116992+0.00744476j 0.00778091-0.00236137j 0.00203363+0.00352073j 0.00319793+0.00408184j -0.000315958+0.00162461j 0.00441023+0.00682886j -0.00380815+0.00161144j -0.00397129+0.00217628j -0.00292992-0.00109245j 0.00578194-0.000629207j 0.0104042+0.00284467j 0.000714177-0.0046792j -0.00494074+0.0103435j -0.00438512+0.0140125j 0.00250163-0.00323174j -0.00489131-0.00532422j 0.0109985+0.00359954j -0.00504652+0.00401284j -0.000118432-0.00620246j -0.00422241-0.0115502j -0.0112671+0.00382897j -0.00212397-0.00369284j 0.00319579-0.00290226j 0.000994975+0.00405545j -0.00653449+0.000775191j 0.00163188+0.000483276j 0.00528418+0.00366466j 0.00192964+0.00550907j -0.0047554+0.00325202j 0.00346667+0.00108469j 0.00048074-0.00434496j -0.00258262+0.00109044j 0.00343659-0.00266847j -0.00480107-0.00267432j -0.00176574+0.000975561j -0.000432065-0.00108868j -0.00184346-0.0033238j 0.00131916+0.00140998j -0.000334992-0.0061403j 0.00220522+1.64389e-05j -0.00315719-0.00389626j -0.000968457-0.0060429j 0.00359222+0.000894629j -0.0026043-0.000261687j 0.00161572-0.0013993j -0.00340178+0.00358202j 0.0055627-0.000710983j 0.00216339+0.000983376j -0.00391136+0.000625173j 0.00116404+0.00129597j 0.000717624-0.00138019j -0.00114144-0.000607248j -0.00646848-0.00504459j 0.00561391+1.46277e-06j 0.0010775-0.000838159j 0.00599071-0.000681666j 0.0035711-0.00142361j 0.00373537-0.00331224j -0.00213109-0.00212719j -0.00426208-0.00456354j -0.00302602-0.00400502j -0.000260286-0.00414109j 0.00918009-0.00650936j -0.00330361+0.00472753j 0.000573996+0.0074679j -0.0014133+0.00347213j -0.00137124-0.00355636j 0.00620429+0.00949367j 0.0094174-0.00931589j 0.00560951+0.00710804j -0.000516387-0.00552514j 0.00492502-0.00212114j -0.000792457-0.00338023j 0.00101378-0.00686105j -0.00711662-0.00228577j 0.003684+0.000917592j -0.00171964+0.00326161j -0.00131408+0.000109519j 0.000314623+0.00123071j 
0.0030171+0.00119383j 0.00235185-0.00176092j -0.00153003-0.000526483j 0.000573175+0.000134491j 0.000131754+0.00210311j 0.00153686-0.000719223j -0.000152663+0.00015827j -0.000888175-0.00150999j 0.000628729-0.000622659j 0.0013344-0.00163668j 0.0012798-0.000467203j -4.97538e-05-0.00221892j -0.00208796-0.00130893j 0.0017211-0.00212081j -0.000767445+0.00224187j 0.00149465-0.00781841j -0.00464944-0.00202856j -0.00498674-0.00994131j 0.00519358-0.000931174j -0.00350315-0.00119502j 0.00177023-0.00500937j 0.00239686+0.0025894j -0.00104799-0.00425724j 0.00137071-0.00149341j 0.00057639-0.000779821j 0.00154902+0.0015591j 5.25703e-05+0.00253861j -0.000885756-0.00121501j 0.00169303+0.000102669j -0.00128916-0.000430965j 0.000277601-0.000362515j 0.00252926-0.000192768j -0.000185358+1.19896e-05j -0.00265417+0.000399221j -0.000564349-0.00158716j 0.000565703-0.00141719j 8.12292e-05+0.000699549j 0.00560851+0.0025431j 0.00266796-0.00526908j -0.00552314+9.7027e-05j 9.5772e-05-0.00351332j -0.0149852-0.00020544j -0.00146886-0.00891552j -0.00459322+0.00223052j 0.000839688-0.0029832j 0.00317883+0.00127047j 0.00216363-0.00814694j -0.00305113-0.0107478j -0.00502746+0.00043285j 0.00182414-0.000496966j 0.00377304+0.00621647j 0.000206252+0.00139477j -0.000536296-0.00509943j 0.00313726-0.00421561j 0.00624936+6.72943e-05j 0.000904119+0.000886784j 0.000355835-0.00304136j 0.00256443-0.00397854j 0.00409326+0.000908202j -0.00139024-0.000671815j -0.00317576+0.00334765j -0.00314173-0.00095151j 0.00122515+0.00165617j 0.00147475-0.00306583j 0.00306686-0.00172717j 0.000343034+9.15912e-05j -0.00359096-0.00133642j 0.00469006-0.000259129j -0.00444497-0.00105792j 0.00356961+0.00261101j 0.00310361+0.000240946j 0.00405658-0.001572j -0.00303327+0.000769513j 0.000938571+0.00414818j 0.00131299-0.00209405j 4.99299e-05+0.00319081j 0.00344835+0.00631737j -0.00113991+0.00231657j 0.00236415-0.00141252j -0.00525017+0.00121529j 0.00279817+0.00318376j 0.00207195+0.0018505j 0.00027156+0.00336004j -0.00427846+0.00343521j -0.000827708-0.00156854j 0.00218755+0.000108135j -0.00129362-0.0025769j -0.00200267-0.000525749j 0.00235671-0.00553229j -0.00119868-0.00147242j 0.00109344-0.00126928j 0.000158431+0.00153617j 0.000781488-0.000129153j 0.00723099+0.0010853j -0.00471261+0.00505396j -0.00416728-0.00361803j -0.00253325+0.00371967j 
0.00394077-0.00340785j -0.000519155-0.00265382j 0.000495837-0.00484233j 0.000297668-0.00270966j -0.000761829+0.00306418j 0.00140202-0.00227329j 0.000978592-0.00262675j -0.000261972-0.00159007j 0.00163518-0.00153518j -0.000460047+0.00103848j -0.000193061+0.000223255j 7.82196e-05-0.000907722j -0.000344788-0.00178723j -0.000746665+0.000828245j 0.00136694+0.00102224j -0.00194559-0.0031329j -0.00303355+0.00194696j -0.00854849-0.000601377j 0.000151131-0.00459009j -0.00255854+0.000229774j 0.000752567-0.0055842j 0.00237511-0.00444437j -0.00330518-0.00108469j -0.000897834-0.00301226j 0.00315019-0.00160458j 0.00583821-0.00108371j 0.00109099-0.00104225j -0.00425506-0.00121677j 0.00331525-0.00118498j -0.00172217+0.00290331j -0.002732-0.00124523j 0.000565559-0.0015428j 0.000828987+0.00182322j 0.000453842-3.48427e-05j -0.000185185-0.00101784j -0.00312699+0.00069091j 0.00076302+0.00221577j -0.000731262-0.000219531j -0.00046513-0.00267386j -0.00228807+0.00237447j -0.00245393-0.00244253j 0.000527537+0.00256531j -0.00236892-0.000650093j 0.00127588+0.000389025j -0.00123265-0.00206386j 0.00130788-0.0033519j 0.00362697-0.00141671j -0.0062856-0.00389338j 0.000936828+0.0025839j 0.00252393-0.000928224j 0.00100319-0.000664438j 0.000726457+0.000846024j -0.00046987-0.00362284j -0.00107664-0.00564513j 0.00344887+0.00297494j 0.000429205+3.73439e-05j -0.00114229+0.000488345j -0.00151762-0.00272468j 0.00105684+0.000845488j -0.00201217+0.00327518j -0.00213722+0.00173058j -0.000777479+0.000239588j 0.00193065-0.00150284j 0.00229661-0.00161596j -0.00216351-0.00287097j -0.000903822-0.00064044j -0.00122584+0.000335344j 0.00200968-0.00200406j -0.00384601+0.00242147j 0.0033132-0.00186664j 0.00276551+0.00279892j 0.000389189-0.00210528j -0.000933297+0.00348656j 0.000755811+0.001644j -0.00162665-0.000980973j 0.000851152+0.00211776j 0.00651258+0.000440603j -0.0005366+0.00295622j 0.000992427-0.00118355j -0.00206369+0.00314983j 0.00316258+7.18836e-05j 0.00274558-0.000724286j 0.00281578-0.00129042j 0.00351154+0.0023555j -0.00164007-0.00023575j -0.00460715-0.00298571j -0.00376375+0.000159161j 0.00214285-0.000513409j -0.000351987-0.00117434j -0.00382927-0.00102955j -0.00485059-0.00353063j -0.00135803+0.00148821j 0.000944987+0.0027242j -0.00181164-0.00636808j 0.000309118-0.00255854j -0.000338077+0.00188691j 0.00174194+0.000349669j 
-0.00265182+0.00071311j -0.000343205+0.000950368j -0.00109449+0.000949095j -0.000517577+0.000634431j 0.000236174-6.85481e-05j -0.000352265+2.40838e-05j -0.000143662+0.000688324j -0.000198447+0.00100091j 0.000333353+0.000430756j 7.64316e-05+0.000418019j -0.000567743-0.000281328j -0.000831819+0.00126085j 0.000213642+0.000220295j -0.000483093+0.000772246j 0.0002812-4.42732e-05j 0.000869884+0.00344434j 0.00133082-0.00045068j 0.00404987+0.00386942j -0.000393486+0.00175724j 0.00270117+0.0012319j 0.000362364+0.00238793j -0.000701743+0.000504025j 0.00125599+0.00163024j -0.00105574+0.0017706j -0.0014551+0.00314544j -0.000635015-0.000318163j -0.000857418-0.00113186j 0.00140712+0.000682499j 1.61885e-05-2.28106e-05j 0.00086517-2.11206e-06j 0.000627294+0.000162526j -0.00145104+0.000406898j 0.000158371-0.00115817j 0.00103608+0.000394189j 0.0021465+0.00106909j -0.000619404+0.000252002j 0.000670296-0.00170913j -0.00147813-0.000450523j -0.000421384+0.00177027j 0.00267122-0.000499325j 0.000387466+0.00207221j 0.00457001-0.000581835j 0.000645925+0.00238027j 0.00365502-0.0018181j -0.00267057+0.00128501j -0.00137638+0.00168783j -0.00178446+0.00172853j 0.00242853+0.00274701j 0.00175651+0.000651591j -0.00195091+0.000547281j -0.00128565-0.00307022j 4.60731e-05+0.000472781j -0.000148757+0.00293217j 0.00113585+0.0027991j -0.000663372-0.000862791j 0.0018665-0.000705052j -0.000627601+0.00270596j 0.00189752+0.00174971j -0.000506727-0.00132668j 0.000683376-0.000805593j -0.00138609-0.00253316j 0.00181678+0.000286348j 0.000819073-0.00168709j -0.000471756+0.000978948j 0.00191551+0.00279922j 7.17598e-05+0.000120714j 0.00090008+0.000343137j -4.03376e-05+0.00170534j 0.00255631-0.00175473j 0.00034398-0.000499385j -0.0017204-0.00119092j 0.00086932+0.0014875j -0.000365531-0.00112377j -0.0033297+0.000417714j 0.000239342+0.000697787j -1.28875e-05+0.000807502j -0.00116485+0.00205667j 0.00278826-0.00128228j -0.000893672-0.00229982j 0.00333892-0.00397864j -0.000386542-0.000853331j -0.0010182+0.00180902j 0.000175952-0.00312979j -0.000256318-0.00120125j -0.00209884+0.00185828j 0.000875691-0.000645369j 0.00194013-0.000278467j 0.000242141+0.00239261j 0.00204184+0.00153917j 0.00172955+0.00114558j -0.000205364+0.00440906j 0.000353219-0.00075625j 3.52083e-05-0.000360811j -0.00197477+0.000511585j 0.000475425+0.00221549j -1.02691e-05-0.00310335j -0.0037909+0.000791516j 
0.000786621-0.00319779j -0.00126634-0.000189841j 0.00105624-0.00319951j 0.00172565+0.000541028j 0.000662065+0.000828803j 0.000630094-0.00114767j -0.000632334-0.00025359j 0.00156166-4.35363e-05j -0.000632227+0.000180754j -2.42935e-05-0.0011152j -0.00107194+0.00015721j 0.00184902+0.000278564j 0.00011855+0.00103462j -0.0020345-0.000915953j -0.000412906+0.00173813j -0.00293236+0.0011584j -0.000135226+0.00168868j -0.00300379+0.00145321j 0.00100521+0.000153892j -0.0039657+0.000164547j 0.00167365+0.000436366j 0.00071041-0.0010076j -0.00173026-0.000719235j -0.0025602-0.00203659j -0.00199874-0.000917294j -0.00072958+0.000739131j -0.000903183-0.00132132j -0.00216797+0.000192778j 0.00167259+0.00224712j 0.000587734-0.000708555j 4.11867e-06-0.00123574j 0.000834551-0.00183872j 0.00277712+0.00147497j -0.000884394-0.00282403j -4.14613e-05+0.0032267j -0.0024868+0.000141405j -0.00198513+0.00066931j -0.00257549-0.00190494j -0.000909831+0.00042826j 0.00252892+0.00165047j -0.00180784+0.00196735j 0.00111625+0.000566176j 0.00424639-0.00151066j 0.00690232+0.00401661j -0.00361257-0.0070336j -0.00113619+0.00404572j -0.000430432-0.00389588j 0.00107719-0.00448178j -0.00405088+0.00163693j -0.000995748-0.000698971j 0.00138464-0.00256189j -0.000930849+0.0014727j -0.000607491+0.00154106j 0.00115104+0.00205357j 0.00433731+0.00402863j 0.00475646+0.000192614j -0.00480203+0.00657827j 0.00485772+1.3865e-06j 0.00309307-0.0022399j 0.00172073+0.000792693j -0.00266935-0.00211019j -0.000865097-0.0015748j 0.0027749-0.001696j 0.00172861+0.000870603j 0.00100031+0.0012801j -0.0015545-0.00178296j -0.00282484-0.000131473j 0.00149148+4.10935e-05j 0.00284257-0.000702371j 0.00248951+0.000719188j -0.00158579-0.00220776j -0.0010511+0.000117278j -0.000273934+0.00259432j -0.00159451-0.000785136j -0.000941692+0.00157988j -0.000621193-2.66237e-05j 0.000242505+0.00236967j 0.00226676+0.00595451j 0.000892292-0.00354791j 0.00391725-0.000382973j 0.00195527-0.00351497j 0.000266507-0.000739144j 0.00431758-0.00209897j 0.00261176-0.000431957j -0.00272565-0.00170655j -0.00280399-0.00343601j -0.000578034-4.86739e-05j 0.0010305+0.00252895j -0.00177035+0.00317019j -0.0051103+0.000360457j -0.00351621-0.00249571j -0.00150309+0.00155272j 0.000799964+0.00201698j -0.00150485-0.00274062j -0.00125707-0.00358299j 0.00282503-0.00821998j -0.0092789-0.00417411j 
