0.176391+0.0867161j 0.0868013-0.178j 0.218462+0.124588j -0.138556+0.249813j 0.183665+0.117803j -0.00334472+0.15219j -0.0542586+0.0986883j -0.118462+0.161882j 0.0976538-0.0807969j 0.0592635+0.0487647j 0.123161-0.0366077j -0.0788506-0.0592977j -0.0249518+0.00950684j -0.0730326-0.0118534j 0.156496-0.00795325j -0.0925962+0.0197005j -0.0243526-0.00930085j 0.0540323+0.0485634j -0.0404265+0.0969776j 0.117413-0.00903821j -0.0169538-0.00397189j -0.103957-0.118196j -0.102193-0.0422535j 0.0765677-0.0307415j -0.144547-0.145062j 0.00481381+0.185239j 0.0538452-0.244261j 0.224185-0.0087306j -0.0388152-0.323949j 0.321505-0.0393722j 0.176952-0.125641j 0.122422+0.176257j -0.0684774-0.108857j -0.113154+0.0713024j 0.0541404+0.050535j -0.00954257+0.069788j -0.0400313+0.0472921j -0.0628528+0.0168582j 0.039197-0.00525355j 0.0251531+0.0114049j -0.0398378-0.00434697j -0.0264007-0.0376464j -0.0133693-0.0225775j 0.0109275-0.0116934j -0.00798488-0.0118867j 0.00524763+0.00883154j -0.0116055-0.025438j 0.0230418+0.0067361j -0.00415636-0.00696922j 0.00788261+0.00583071j -0.000244882+0.000652955j 0.0158015-0.0310549j 0.00362249-0.00474271j -0.00744836-0.00329844j 0.012452+0.0198082j 0.00391004-0.0131366j -0.00400864+0.0141554j 0.00776486-0.00768972j 7.90174e-05+0.00409775j -0.000548415-0.00044931j 0.0179744-0.00305372j -0.0103583-0.0203775j 0.0106498+0.00678515j 0.00977266-0.0197423j -0.00783282+0.0094113j 0.000907478-0.0143587j -0.0207013+0.0127855j 0.0177985+0.0151363j -0.0115148+0.0321155j 0.0297558+0.00917713j -0.00253363+0.042248j -0.0419932-0.00230574j 
-0.252306-0.061751j -0.0608114+0.253588j 0.0175679+0.0311752j -0.0401367+0.031162j 0.0417964+0.0362006j 0.00563506-0.00819421j 0.0424074+0.0371265j -0.0559793+0.0610241j 0.0253422+0.0068254j -0.00398696-0.0266538j -0.00168724-0.0242102j -0.0324812+0.00753134j -0.0164712-0.00873904j -0.0315769-0.0182304j 0.0174737+0.0379271j -0.00224932+0.0152358j -0.0193032+0.0113836j 0.0269812-0.0194636j 0.0312152-0.0029455j 0.0113495-0.0156809j -0.00916397+0.0213179j -0.0202741-0.0232696j 0.0415912+0.0116178j 0.00394166-0.0531709j -0.0430615+0.00374435j 0.00957808-0.00555493j -0.088223-0.0482289j 0.0477849-0.0840206j 0.0306322-0.168906j 0.165601+0.0341543j -0.0229467+0.0663685j -0.0699289-0.0213713j -0.0712764-0.000283j 0.021717+0.0674128j 0.0323712-0.103092j 0.0971261+0.050398j -0.0712661-0.0557216j 0.187252-0.115469j -0.165106-0.151118j -0.0326787-0.0022076j 0.0124655+0.0504127j 0.0991176-0.0543847j 0.0596393+0.0785438j 0.0770369-0.0326233j 0.0787785+0.131478j -0.0102569-0.131179j 0.0479173+0.153249j 0.0279775-0.027986j 0.0186038+0.0138014j 0.0215364+0.0322478j 0.0667202-0.00133473j 0.10815+0.00121473j -0.0228848+0.0119563j -0.0274208+0.0144507j -0.00797277-0.0471053j -0.0422348+0.125209j 0.04908-0.161888j -0.0911111+0.0979081j -0.100142-0.00188482j -0.0649054+0.0944082j 0.109849+0.0369172j -0.0238673+0.0476557j -0.015745+0.0580858j -0.170913+0.114411j 0.193499+0.165776j 0.105476-0.0621034j 0.0719697-0.0448911j 0.037122-0.105413j 0.0705807-0.0179897j -0.0276745-0.0512364j -0.111448-0.325185j 0.323752-0.112594j 
0.00149145-0.0261759j -0.0266127-0.000687553j -0.0144121+0.0105139j -0.0114044-0.0144194j 9.56055e-05+0.00777213j -0.00356687-0.00302534j 0.00901724+0.000223837j -0.00276361+0.00904929j 0.00256449-0.00217622j -0.00513184-0.00685881j 0.00355315-0.00197645j 0.000172297+0.000533624j -0.000759867-0.0054532j -0.000120752+0.000482059j 0.00254616+0.000852013j -0.00163081-0.000423262j 0.00101033-1.42487e-05j 0.00407706-0.000672854j -0.000531188+8.80057e-05j -0.000443443+0.0011279j -0.00260124-0.00133161j -0.00178878+0.000954197j -0.00250966-0.000613669j 0.00348332+0.0027202j -0.00130317-0.00150986j 0.00225403+0.0028341j 0.0103734-0.00190686j 0.00144859+0.0112856j 0.0159798-0.00122429j -5.04957e-05+0.0186842j -0.0179919-0.0142463j 0.0139715-0.0180709j -0.0293481-0.00935153j -0.00528399+0.0334094j 0.0220286-0.00998006j 0.0106338+0.0136682j 0.00284692-0.0174172j 0.0415692+0.000123623j -0.0227839-0.0399211j -0.00397301+0.0145232j 0.017928+0.0131279j 0.0236054-0.0156066j -0.00244122+0.0211627j 0.0322284-0.0265783j 0.0100067+0.0289625j 0.0035031-0.0123993j 0.0081948+0.0293182j -0.0018603-0.0227636j 0.0123934+0.00139603j 0.0200072-0.00113163j 0.0170313+0.00492557j 0.0464747+0.000945438j -0.0251738-0.00378833j -0.019724-0.000722409j 0.00379018-0.0269953j -0.00630433+0.0283175j 0.0063476-0.0246034j -0.00877099+0.0190714j -0.0338233-0.030775j 0.00106464+0.0274022j 0.0220164+0.0125952j -0.0239589+0.0177093j -0.00516775+0.029789j -0.0294828+0.0277696j 0.0319729+0.00872582j -0.002652-0.0029444j 0.016393-0.00861004j -0.0104364-0.0133513j 0.00806599-0.0445143j -0.043683-0.00262142j -0.0384903+0.0123532j -0.012998-0.0399352j 
-0.0245567-0.019084j -0.0199461+0.0244031j 0.00192624-0.00589877j 0.00632062+0.00460362j 0.0110832+0.00464588j -0.00680167+0.00863563j 0.000620005-0.0092292j 0.00791362+0.0119408j 0.00263029-0.00283711j -0.010571+0.0152057j -0.00612053-0.00524005j -0.00175976+3.27912e-05j -0.0130314+0.00495044j 0.000919223+0.00460261j 0.00386446-0.00327502j -0.00250612+0.00842435j -0.00244024+0.00445782j -0.0182617-0.0103968j -0.00953871-0.00114122j 0.0101562-0.00468418j 0.0047768+0.0099733j -0.00160316+0.0116091j -0.00422097-0.00321674j -0.00129805+0.00784581j -0.00921842-0.000834876j -0.0013511-0.0026111j -0.0137792+0.012389j -0.0115769-0.00909468j 0.021092-0.0034338j 0.000953497+0.0229208j 0.00759168-0.0109027j 0.0108578+0.00813745j 0.0166854-0.0293916j -0.0325793-0.0168453j -0.014946+0.0110253j 0.0148243-0.0180244j 0.0111759+0.0369053j -0.036584+0.00301862j -0.00821488+0.00276462j 0.0125237-5.61525e-06j 0.00527838+0.00508793j -0.000637049-0.0010858j 0.00899998+0.00966322j -0.00629003-0.011719j -0.0138096-0.0116722j -0.00606323-0.00453363j -0.0153545+0.0126852j 0.0105605-0.00350071j 0.00133036-0.00722811j 0.000513416-0.00925247j 0.00123314-0.0242853j -4.49176e-05+0.0116309j -0.00285192+0.00581859j -0.0015007+0.00660938j 0.0120769+0.00614369j -0.0116441-0.0163402j -0.00340947+0.00652042j -0.0172703+0.0113891j -0.0107565+0.00504336j 0.00926124-0.00885548j -0.00507232+0.00551095j 0.00521941-0.00539799j 0.0138085+0.0110896j 0.00713875-0.00104339j 0.0330338+0.00722852j 0.0222828-0.0357578j -0.0146976-0.0269085j -0.0122071-0.0100972j 0.0354897+0.00903115j 0.00769719-0.0334957j 0.0182821+0.020393j -0.0197399+0.018059j 
0.0101033-0.000209225j 0.000135074-0.00994298j -0.0237707-0.0109332j 0.0109856-0.0255602j -0.00719296-0.00665002j 0.00508549+0.0144483j -0.022663+0.00619725j -0.00539164-0.0140243j 0.000907764+0.000574314j 0.0112888-0.00770159j 0.0105967+0.00243153j -0.000584622+0.00321915j 0.0113894-0.00192998j 3.45912e-06-0.00719915j -0.000456759+0.000421331j -0.00202338-0.00842831j 0.001657-0.0066883j 0.0160443+0.0139593j 0.0106557+0.00211206j -0.00395829+0.00414703j -0.00342652-0.0118918j 0.000285512-0.0143994j -0.00469956+0.00776441j 0.013038-0.00516439j 0.00698781-0.0105028j 0.000710844+0.00188598j 0.00256398-0.0228919j 0.0206941-0.000209866j -0.000655371-0.00628998j 0.00680832-0.00215908j -0.0323405-0.00571093j 0.00502338-0.0334306j 0.023826-0.0228059j -0.0235559-0.0231646j -0.0139424+0.00491075j 0.0143603-0.01408j 0.00603153+0.0290419j -0.0259869-0.00310407j -0.0146525-0.00157296j 0.0135734+0.000672857j 0.00879315+0.0038648j 0.00213486-0.00406825j 0.00903473+0.0135386j -0.0065457-0.0183322j -0.0117769-0.00974845j -0.0026866-0.00611958j -0.0121595+0.0139186j 0.00545573-0.00527837j 0.00364899-0.00886378j 0.00227823-0.0113972j 0.00413707-0.0247204j 0.0054379+0.00628635j -0.00588488+0.0083151j -0.00364001+0.0081124j 0.00767439+0.0009019j -0.00854881-0.0121999j -0.0047495+0.00704345j -0.0158543+0.0105862j -0.0174789+0.00288832j 0.0127657-0.00751031j -0.00110733+0.00297079j 0.00454636+0.000267346j 0.0157685+0.0112679j 0.00890677+0.00314455j 0.0302386+0.00215358j 0.0199143-0.0321943j -0.0178489-0.0279068j -0.01366-0.00723265j 0.0343906+0.00408271j 0.00481546-0.0316904j 0.0116268+0.0184799j -0.0185846+0.0113338j 
-0.00757858+0.0100668j 0.00992432+0.00740662j -0.00765077+0.0279689j -0.0294279-0.00900258j -0.00917798+0.00264012j 0.0243054+0.000815245j -0.00834986+0.0252524j -0.00390011-0.00629506j 0.00167566-0.00430284j 0.00696809+0.0193822j -0.00676697-0.00904042j 0.010971+0.0109566j 0.00308114+0.0103821j -0.00799655-0.00654176j 0.0103291-0.0122988j -0.00774631+0.00112295j -0.00255797-0.00726233j -0.0140972+0.010504j 0.00237312-0.0160826j 0.0117545-0.000344011j 0.00409356-0.00858477j 0.00679928-0.00155951j -0.015857+0.00340724j 0.015838+0.0193296j 0.0195096-0.00378065j 0.0116905-0.0225715j -0.027918-0.0124082j 0.00633135-0.0198079j -0.00351869+0.0140699j -0.0155529-0.00320197j 0.011413-0.0250311j 0.0250799+0.0117054j -0.000119899+0.0165343j 0.0167261-0.000367651j 0.00278284-0.00572125j -0.00179187+0.00705953j -0.00731855-0.0115648j 0.013331-0.00452113j 0.0048387-0.00227865j -0.00697999+0.00459177j -0.000800622+0.000593572j 0.00051461+0.00169469j -0.00666349-0.00313225j 0.00715841+0.00488853j 0.0073137+0.00372389j 0.00183104+0.00242002j 0.0038167-0.0070967j -0.00277154+0.0011932j 0.00131227+0.00479555j 0.0024294+0.0045611j 0.00199442+0.0121056j -0.000813713-0.00264981j -0.000317722-0.0047361j -0.000107463-0.00495001j -0.0032238-0.00150642j 0.00545608+0.00565591j 0.000606649-0.00288108j 0.00689499-0.00643199j 0.00572762-0.00647853j -0.0032885+0.00602296j 8.66006e-05-0.00103922j -0.00290879+0.0012577j -0.00994927-0.00217539j -0.00352133+0.00126197j -0.0145049-0.00121444j -0.0094443+0.0166217j 0.00991629+0.0117077j 0.00404508+0.00282842j -0.0148751-0.00725225j -0.0072327+0.0135643j -0.00530977-0.00433567j 0.00434384-0.00522436j 
0.0321095-0.00352542j -0.00262554-0.0313812j -0.013043+0.00111474j -0.00158707-0.0155485j -0.00360635+0.00107744j -0.0017739-0.0012902j 0.00186444-0.00425957j 0.00244327+0.00056577j 0.000229752-0.00321206j -0.0025892-0.0029093j 0.0041246+0.00173819j 0.00172399+4.17285e-05j 0.00182909-0.00414332j 0.00202786+0.00282304j 0.00132647-0.00335898j -0.001449-0.00152365j 0.00260694-0.00091013j 0.0014051+0.00168022j -0.00233092+0.00136686j -0.00105862+0.00413229j -0.00145011-0.00411112j -0.000966579+0.00246652j -0.0081471-0.00278721j -0.000658711+0.00837959j 0.0034431-0.00296348j 0.00126216+0.00497193j 0.0150185+0.00344146j -0.00635581+0.0132179j 0.00543783+0.014348j -0.0145936+0.00477191j -0.00606237-0.0194901j 0.019105-0.00647546j -0.014184-0.0135941j -0.012997+0.0128322j 0.01124+0.00864916j -0.00511831+0.00595708j 0.00849119-0.0063106j 0.00586949+0.00735545j 0.00252472-0.0114196j 0.00122213+0.0146823j 0.0139251+0.00400518j 0.00560359-0.0100308j -0.0106308+0.00429566j 0.0150648-0.0197066j -0.00330197+0.00308297j 0.00519235+0.00650852j 0.00280374+0.000660813j -0.00718531-0.012788j 0.011349-0.00140821j 0.0128751-0.00130683j 0.00716139+0.00235643j 0.0216619-0.00202254j -0.0139294-0.00524058j -0.00847426-0.00323909j 0.00158105-0.0143274j 0.00364831+0.00831335j -0.00475656+0.00746879j -0.000547076-0.000383624j -0.0119137-0.0204786j 0.00781399+0.00913368j 0.00413998-7.32586e-05j -0.0102778+0.00380632j -0.00735049+0.0118102j 0.00391808+0.00532023j 0.0020209-0.0114828j -0.00943134-0.000942512j -0.00582046-0.00284834j -0.0141198+0.00255938j -0.00616103-0.0235749j -0.0169004+0.00690823j -0.00231737+0.0389599j -0.0396339-0.00212185j 
-0.00576983+0.0031094j 0.00413295+0.00475675j 0.00323809-9.98127e-05j -0.000904696+0.00407015j -0.000418863-0.00502615j 0.00446426+6.0437e-05j -0.0046861+0.00420528j -0.00203078-0.00495103j -0.001077+0.000279349j 0.00854797-0.005158j 0.00258532+0.00338022j -0.0013455+0.000351224j 0.00580093+0.000780601j -0.000747656-0.00145929j -0.00146419-0.000836429j -0.000609688-0.00377921j -0.00092362-0.0020767j 0.00471103+0.00597058j 0.00393915+0.00155411j -0.00400601+0.000597066j 0.000869122-0.00475142j 5.73763e-05-0.00262767j 0.00198187+0.00334677j 0.00305924-0.00272893j -0.000943507-0.000487863j 0.0027874+0.00142629j 0.00333865-0.00504711j 0.00355061+0.00173562j 0.00126826-0.00804407j 0.00620284-0.000856263j -0.00637757+0.00542638j -0.00605464-0.00550099j -0.00742037+0.0158146j 0.0134926+0.00646724j 0.00154603-0.00036537j -0.00841047-0.00135643j 0.00425083-0.0124446j 0.00638221+0.005141j 0.00444221+0.00633503j -0.00559217-0.00696451j -0.00297467-0.0036465j -0.00140459+0.00550408j 0.00149352-0.00696057j -0.000160107+0.0107386j 0.00548716+0.00572429j -0.00318061+0.00508067j 0.0018402+0.00164491j 0.000485674+0.00208561j -0.00595878+0.0042699j -0.00595318+0.00258337j -0.00830988+0.00984892j -0.00603285-0.000718759j 0.00178817-0.00104681j 0.00335932-0.00362275j 0.00109817+0.00514108j -0.00554077+0.00213655j 0.00338174-0.00857745j 0.00760461+0.00128992j 0.00803876+0.000409942j -0.00744165+0.00235543j -0.00459262+0.00452797j 0.000195702-0.00333382j -0.0080704-0.00593619j -0.0109885-0.00449531j -0.00564018+0.00379518j -0.0048563+0.00358853j 0.00840465+0.0108331j -0.00130434-0.00270704j -0.00704354-0.0211199j -0.0207542+0.00343294j -0.00641209+0.0098611j -0.00922277-0.0058007j 
-0.00520006+0.00422333j 0.00431718+0.00406803j 0.00388886-0.00723308j 0.00740359+0.00475308j -0.00223386-0.000628725j -0.0011337+0.00245405j -0.0045149+0.00371641j -0.00445136-0.00358286j 0.000444987+0.0021092j -0.000286484-0.00846124j 0.00507938+0.000452933j -0.000513969+0.00171898j 0.0040273-0.00398948j 0.000466577+0.00199501j -0.00172481+0.000725309j -0.0068731-0.00225241j -0.00345538+0.00024865j 0.00290981-0.00298971j 0.00322441+4.76826e-06j 0.000791289+0.00459584j -0.00248201-0.00306736j -0.00392705+0.00200734j 0.000763928+0.000277961j -0.00305266+0.00241113j -0.0027641-0.0028118j 0.00331823+0.000429739j -0.00377609-0.00254412j -0.00172568-0.00560883j 0.00760099-0.00926042j 0.00594515+0.00604196j -0.00202187+0.00358013j -0.0033347-0.000795108j 0.00672606+0.0140791j 0.0136583-0.00615036j -0.000789816+0.00104326j 0.00244663+0.00194613j 0.00315413+0.0116918j -0.0105036+0.00965289j 0.00827355+0.00139371j 0.00154076-0.0071625j -0.00449599-0.000784403j 0.00505916+0.00829552j 0.00380798-0.000994229j -0.00138164+0.00432618j -0.00123536-0.00762656j -0.0018466+0.00271972j -0.00734031+0.00442193j 0.00914602-0.00121834j -0.00296623+0.00155628j -0.00315524+0.000214619j -0.00151649+0.00272232j -0.00155141+0.00863047j 0.000431494-0.00136178j -0.00419037+0.000503854j 0.0103225+0.00363659j -0.00393659-0.00805867j 0.0001564-0.00752314j 0.00218369+0.00427898j 0.00314101+0.000254184j 0.00211417+0.0031253j -0.0058136+0.00459877j -0.00583599-0.00165463j 0.00023212+0.00973465j -0.00682592+0.00106707j 0.0143647+0.00693338j 0.00479486-0.00950441j 0.00699658-0.000753159j -0.00248359-0.00845482j -0.0102697-0.017946j -0.0198454+0.0112771j 0.00638373+0.0120941j -0.0115221+0.00648742j 
0.00639013+0.0133033j 0.0137006-0.00711933j -0.00260944+0.00151777j -0.00123585-0.00325894j -0.00783133-0.00348999j -0.00478094-0.00827797j 0.004944-0.00605971j 0.00205312-0.00493327j -0.00399315+0.00345642j -0.00265365+0.000100404j 0.000266699-0.00560366j -0.00741805-0.000928935j -0.00334215-0.00322168j 0.00330411+0.00410337j -0.00139122+0.00337174j -0.00306554+0.00152389j -0.000767319+0.00180038j -0.00453105-0.00253855j 0.00239681+0.00305545j 0.000981705+0.00428662j -0.00425625+0.0058163j -0.00013989+0.00479148j -0.00118211-0.00488916j -0.00783298+0.0040127j -0.000631156-0.00118633j -0.00183856+0.00315406j -0.00463055+0.00130003j -0.00240107-0.00806584j -0.00526174-0.00443363j 0.00428259-0.00705285j -0.00248331-0.00265687j 0.00269769-0.0017132j -0.0114166-0.000282111j -0.00368694+0.0104626j -0.000475988+0.0170898j -0.026818+0.00534919j -0.0160203-0.011977j -0.0106753-0.0161688j 0.00277739+0.014736j 0.0060227+0.012236j 0.0113262-0.00410472j -0.00792172+0.00400788j -0.0123262+0.00189077j 0.00739025-0.0154446j 0.0134778-0.00853767j 0.0058506+0.0147844j 0.00219723-0.00861113j -0.0037583+0.000877508j 0.00543524-0.00226918j 0.00414463+0.000782558j 0.00437124+0.00338148j -0.0087756-0.00360477j -0.00436453+0.00734859j -0.00599758-0.0118807j 0.00432429+0.00466213j 0.00282085+0.00571993j -0.00860464+0.0117513j -0.00190879-0.0108183j -0.00650048-0.0143787j 0.0099525+0.00784944j 0.00190126-0.0038276j -0.00452001-0.0100172j -0.0218232+0.00814698j 0.00473885-0.00167127j -0.0118823+0.0142068j 0.0078148-0.00768121j -0.0186767+0.00445129j 0.0059354+0.0150206j 0.0126612-0.00902051j -0.00989017-0.0169646j 0.0188864+0.00654453j -0.00634391+0.0190042j 
0.00140878-0.00660353j -0.00651012-0.000743267j 0.0119427+0.0137744j -0.0150811+0.0104028j 0.000778963+0.00141867j -0.00670089-0.000921887j -0.00624103-0.0126334j 0.0064723-0.00631203j -0.00160989+0.00620047j 0.00427853+0.0146492j -0.0118977+0.00384349j -0.00689282+0.00149161j -0.00873797+0.00989786j 0.000393035-0.0037012j 0.000466084+0.00184084j 0.0120103+0.000420377j 0.00399886-0.00290412j -0.00290131+0.00497242j 0.0010081+0.00190213j 0.000146017-0.00396664j 0.00519174+0.0126586j 0.00718041-0.00768179j 0.000703574-0.00408426j 0.000116532-0.00718096j 0.00557101-0.000269993j -0.0121519-0.00302147j 0.000815742-0.00349905j 0.0107978+0.00165963j -0.0188695+0.00648733j -0.00442163-0.0183326j -0.00218941+0.00846831j -0.00864484-0.00324133j 0.00246344-0.00455449j -0.00452833-0.00196199j -0.00597413-0.00401026j 0.00609184-0.00951419j 0.00785645+0.00234255j 0.00508109+0.00270784j 0.000451954-0.00947946j 0.00559772+0.00190344j -0.00421849-0.0023263j 0.0081615+0.000444417j 0.000539732-0.00100159j 0.00633066+0.004887j -0.00250369-0.0037362j -0.00201383+0.00226968j -0.00215402+0.00848671j 0.00141288-0.00107785j 0.00322777-0.00361941j -0.00191532+0.00571829j 0.00151802+0.000672045j -2.89946e-05+0.00353566j 0.000184618-0.00473676j -0.00189888+0.00461491j 0.00424888-0.00117213j -0.00301956-0.00595524j -0.00299069-0.00125266j -0.00452422-0.00208271j 0.00569404-0.00438899j 0.000783795+0.00136153j -0.00477572-0.00323082j -0.00777276+0.000248805j 0.006452+0.00316749j 0.00544716-0.00551222j -0.00310149-0.00243083j 0.00789192+0.00248167j 0.00124321-0.0143575j -0.00986726+0.0018835j -0.00320811-0.00737604j -0.00694482+0.00320257j -0.00149291-0.00129729j 0.00123924-0.00191723j 
