0.0873195-0.291501j 0.292114+0.084278j -0.000602652+0.15413j -0.16463-0.00955712j -0.00864978+0.120175j 0.0561529+0.0726299j 0.120086+0.0434731j 0.11349-0.108588j 0.087098+0.0749677j -0.0375065-0.0236518j -0.114566+0.0149707j 0.0578033+0.0489669j 0.056033-0.191053j 0.0332759+0.0971823j 0.0570302+0.0747126j -0.00172363+0.0747712j -0.155934+0.0542869j 0.016793+0.0884355j -0.0646325+0.0278741j 0.156868+0.00322597j -0.126023+0.039471j -0.108967+0.0530354j 0.054691-0.0343535j 0.0675377+0.0627821j -0.0247587-0.0316951j 0.100761-0.0450345j 0.046793+0.00940523j 0.0381407+0.151827j -0.0129436-0.0377145j -0.0177954-0.0140075j -0.0994817-0.0907131j -0.0356739-0.0302441j -0.0262622-0.0295267j -0.0530649+0.0289681j -0.0525174-0.11792j -0.161435-0.0673295j -0.100783-0.0628099j 0.0520134-0.00646195j -0.00400054+0.16377j -0.0662985-0.0437224j 0.0135248-0.0876171j -0.0383354+0.0231149j 0.0908301-0.119087j 0.0788554-0.157656j -0.0190722-0.0152227j -0.0946675-0.0359027j 0.0248646+0.0298676j -0.0647664+0.0421478j -0.109864+0.0500441j 0.0731788+0.0927146j 0.0133339-0.0255848j 0.0261412+0.0739744j -0.144045+0.166088j 0.152863+0.135093j 0.285114-0.00202367j -0.00447172-0.284595j 
-0.109399-0.0839054j 0.084696-0.110638j -0.256958+0.0288539j -0.0270367-0.269033j -0.0143351-0.0356333j -0.0979009-0.150004j -0.277243+0.0919059j 0.0231059+0.221263j 0.00110647-0.0196745j 0.0272015+0.0877699j -0.0033728+0.0250304j 0.00484101-0.0886306j -0.164942-0.0472746j 0.0884673+0.0963487j -0.0673912+0.0816802j -0.0760217-0.0467204j 0.0495951+0.0113894j -0.0176445+0.0985873j -0.0221961+0.112745j -0.00914082-0.0743732j -0.0824315-0.0251883j -0.012584+0.101812j 0.0236179+0.0858791j -0.02668-0.108653j -0.00383941+0.0554123j 0.073759-0.0742955j -0.0352174-0.0177782j -0.12649+0.0303104j 0.0476226-0.00675955j -0.045953+0.00190399j -0.0293742+0.0251436j -0.0242994+0.0669297j -0.0929777+0.108732j 0.0066063-0.0887356j -0.0601007+0.0224744j -0.0272968-0.0351506j -0.122424+0.0393101j 0.0391134-0.0140433j 0.0140281-0.0596771j -0.0911075-0.0704422j 0.121011-0.00229655j 0.0417912-0.0677169j -0.0664884-0.00696717j -0.150124-0.102934j -0.0182264+0.0819877j -0.0633882+0.036496j 0.0549848-0.0885024j -0.0588348+0.0609352j -0.0497608-0.245329j -0.282415-0.0526427j -0.119317+0.153292j -0.0192733+0.102097j -0.0737029-0.20911j -0.202972+0.0660111j 0.107835-0.137381j -0.13789-0.108065j 
-0.018279-0.00507462j 0.00465256-0.0175722j 0.0241008+0.0086579j -0.0102283+0.0271534j 0.00409354-0.0087917j 0.00134853-0.00490784j -0.00809153-0.0132672j -0.0246033+0.00683086j -0.0137086-0.0198114j 0.00299218+0.00528462j 0.0197545+0.00382862j -0.00119337-0.0172211j -0.0199976+0.0276567j 0.000885572-0.0170193j -0.0026066-0.0124482j 0.0133565-0.00303398j 0.0265303-0.000880304j -0.000155524-0.0217762j 0.00581707-0.00800903j -0.03567-0.00581355j 0.0152311-0.0110111j 0.0115997-0.001689j -0.0102307-0.00687796j -0.0157583-0.0107474j 0.00472982-0.00754169j -0.0141843+0.0141097j -0.00493017+0.00835975j -0.00250051-0.0289824j -0.00310203+0.00337935j 0.00164488+0.0157722j 0.0124327+0.0126327j -0.000602357+0.0202366j 0.0190531+0.00113528j 0.0178044-0.0107343j 0.00541043+0.0116073j 0.01713+0.0132042j 0.0302963+0.0028869j -0.00370559+0.00501398j -0.000184728-0.0258209j 0.0177232+0.0113097j 0.0114313+0.00887579j 0.00715253-0.008347j -0.00281092+0.0201605j -0.000933638+0.0144527j -0.0101879-0.00866628j 0.00837641-0.0049044j -0.00200627-0.0030595j 0.00674361-0.0262835j 0.0258687-0.00712789j -0.00238232-0.00554157j 0.00936576-0.00629098j -0.00745827-0.0172559j -0.016423-0.0216426j -0.0184091+0.0184598j -0.00207672+0.025279j 0.0266568+0.00161665j 
0.0219593-0.00456178j 0.00483291+0.0219527j 0.0111067-0.00561337j 0.00606166+0.011663j 0.00142718+0.0282467j 0.0321579-0.0115046j -0.0220854-0.0132031j 0.00942256+0.0223715j -0.0126691+0.0251346j -0.0105235+0.00388676j 0.00332761+0.00552201j -0.0193903-0.0152715j -0.0266998+0.017635j -0.00289665+0.0164052j -0.02111-0.00483666j -0.00577653-0.0146945j 0.0126466+0.0154038j -0.00452527+0.00471698j -0.00607765+0.00308436j 0.00405403-0.0143442j 0.00361951-0.00829819j 0.00483515+0.0119315j 0.0149497+0.0158496j 0.00986554-0.00910521j 0.00166616+0.016642j -0.00273157+7.48268e-05j 0.00539721-0.0102744j -0.0100476+0.00580373j -0.0106134+0.00361935j -0.00731463-0.000664563j 0.00169944-0.0067428j -0.0148381+0.00883902j 0.00113963+0.0146983j 0.0163343-0.00939678j -0.00221695+0.0175957j -0.00234644-0.00520806j -0.022175+0.00430343j 0.000699405-0.00156971j -0.00534205-0.00039366j -0.00532299+0.0192319j 0.00961494+0.0032373j -0.0023771-0.00250131j -0.0116897-0.00728714j -0.0270428-0.0255643j 0.000145769+0.00777895j -0.0281536-4.33209e-06j 0.0110052-0.021455j -0.014201+0.00663775j -0.0132978-0.0205353j -0.00460427+0.0169425j 0.0175262-0.0106621j -0.0141628-0.00950054j -0.0113541+0.016577j 0.0172804+0.0104697j -0.0255539+0.00845678j 0.00801586+0.0250898j 
-0.00515877+0.0123661j -0.0125587-0.00513854j -0.00287364+0.0278226j -0.0291125-0.00236786j 0.026712+0.0089053j 0.00447385-0.0324776j -0.0163923+0.00529955j 0.0118396-0.00565374j 0.00326059+0.0189227j -0.0217552-0.0243655j -0.0308199+0.0102298j -0.00290675-0.0116907j 0.00369602-0.00622239j -0.0120971+0.0151898j -0.000629403-0.0141183j 0.00443811-0.0162778j 0.0184055-0.0170177j 0.00287382-0.00507391j -0.00266703+0.000329808j 0.0137345-0.00791161j 0.0042634-0.00402128j 0.00984902-0.0128535j -0.0159186-0.0090242j -0.0103417+0.0033632j -0.0156097-0.011055j -0.00668735-0.00183074j 0.0137023-0.00175716j -0.000767947-0.000408584j 0.00475564+0.0104984j -0.0138703-0.00857196j 0.00936496+0.00511457j -0.00631231-0.000736348j 0.00266128-0.00276952j 0.000583865+0.00205359j 0.00968877+0.00259589j 0.00662845+0.0119044j -0.00501273-0.017708j -0.00131354-0.000941681j 0.00456492-0.00631283j 0.022274+0.00876668j -0.017972+0.0197395j 0.00613528+0.0126288j -0.00535736-0.0205078j 0.0125334+0.0147896j 0.0231401-0.0127884j -0.00906884-0.0187639j 0.0260935-0.00979193j 0.00330942+0.0308571j -0.0121036+0.00525027j 0.0210024-0.00942662j -0.0279068-0.0288781j -0.0212502+0.0263382j -0.0217083-0.0169871j -0.0159875+0.0207589j 0.000621268-0.0113976j -0.0111903-0.000515084j 
0.000442302+0.0236934j -0.0235517-0.000147713j -0.0106329-0.0173715j 0.017535-0.0118688j 0.00118587-0.00723679j -0.0103232-0.00251419j -0.00175339+0.00756002j 0.00823994+0.00085219j 0.00176655+0.00467798j 0.00300637-0.00249405j -0.00409684-0.00536228j -0.00105814+0.00852541j 0.0105193-0.00593713j -0.00633974-0.000876235j -0.000204477+0.000219395j -0.00633574-0.00315353j -0.00610264-0.00606796j 0.000777855+0.00647892j 0.00330178+0.00299897j 0.0110851+0.00651697j 0.00285824+0.00833417j 0.0018452-0.00592905j -0.00162455+0.00452628j 0.00439153+0.00413852j -0.00298802+0.00655545j 0.00182462-0.00654965j -0.000124461-0.00515993j -0.000275117+0.00413053j 0.00503766-0.00105553j 0.00184482-0.00945017j 1.5067e-05+0.000684705j 0.00604326-0.0130754j -0.0116307-0.000447585j -0.010481+0.00812718j 0.000260488-0.000308979j 0.00441243-0.000261933j -0.00833373-0.000465676j 0.000139511-0.00351416j 0.00210589+0.00400995j -0.00516638-0.00536813j -0.0101211+0.00185277j -0.00209415+0.000712006j -0.00459614-0.00408066j -0.00120412+0.00589952j 0.00621312+0.00557414j 0.00402738+0.00555845j -0.000675202-0.00221215j 0.00312756+0.0113283j -0.00780135+0.00443224j -0.000514421-0.00270576j -0.00604757+0.00397434j 0.00437509+0.0029041j 0.0236271-0.0030309j -0.00349807-0.0218137j -0.0201358-0.0099775j -0.0101177+0.0202646j 
-0.0079052-0.0146891j 0.0142904-0.00755728j -0.00735485+0.0171034j -0.0174633-0.00562963j 0.0022515-0.00795618j -0.00872487-0.00329826j -0.00229927+0.00368187j -0.0072253-0.00239969j 0.00438624-0.0112855j 0.00263288+0.00212809j 0.000543108-0.000152468j 0.0101951-0.000742025j 0.00439461-0.00761065j 0.00370213-0.00425518j 0.00718451+0.00304803j 0.00539587+0.00519648j 0.000347356-0.00653699j -0.000946166-0.0017542j -0.0015374+0.00207835j -0.00704867+0.00177523j -0.0065405+0.0021427j -0.00251628+0.000672029j -0.00698003-0.00660479j -0.00710316+0.00135508j -0.00296441-0.0106023j 0.0052828+0.0012687j -0.000747614+0.00735466j 0.000556891-0.00384544j 0.00654756+0.000499907j 0.00241656+0.00395514j -0.00182584+0.00178897j 0.00545084+0.00318881j 9.70437e-05-0.00647879j -0.00400628-0.00442121j -0.00280462-0.00638863j -0.00322466+0.00182426j 0.00630257-0.00505971j 0.00391179+0.00390206j -0.00104109-0.000177303j 0.00242698-0.00999317j 0.00051137-0.00364203j 0.00347603-0.0014779j 0.00604099-0.00158429j 0.00923891+0.00343774j -0.0011981-0.000412947j 0.00340924-0.00477845j -0.000362459+0.0037155j 0.000429194+0.000893516j -1.67393e-05+0.00047283j -0.00351905-0.00483423j -0.00978808+0.0086625j 0.00407968+0.00725315j -0.00317403-0.0112894j -0.00937675+0.00185883j 0.0128886-0.00374321j -0.00377025-0.013448j 
0.00152954-0.00841756j 0.0085837+0.00211171j -0.00253014+0.0129283j -0.0115994+5.73933e-05j 0.00423513-0.00670272j -0.00299858-0.00573557j -0.00138434-0.00324646j -0.0108915-0.000603814j -0.00110093-0.00556235j 0.00294798+0.00271487j 0.00186576-0.00725592j 0.000533139-0.0102482j 0.000477919+0.00668999j -0.00265376-0.00127104j -0.0013354-0.00354723j 0.00679031-0.00384266j 0.00518759-0.0059137j -0.00828244-0.00312484j -0.00343604-0.00125945j -0.00772317+0.0010672j 0.00222935+0.00276776j 0.00572895+0.00183608j -0.00322614+0.00472005j -0.00428346+0.00602599j -0.00623912-0.00383476j 0.0006882+0.00266656j 0.00440799+0.00341147j -0.00408332-0.00220268j 0.00531739-4.99241e-05j 0.00309278-0.000765634j 0.00481421-0.00313886j 0.00398225-0.0026019j -0.00191184-0.00653886j 2.81888e-05-0.00421096j -0.00570249+0.00473173j 0.00131362+0.00303707j -0.00634071-0.00353994j 0.00407127-0.00169627j -0.00841766-0.000258964j -0.0044791-0.00643317j -0.0031878-0.000110827j -0.00394232-0.000423328j -0.00145922-0.00634692j 0.00580528-0.00423395j 0.00118045+0.00731787j -0.00428427-0.00476327j -0.000624024-0.00337066j -0.00459965+0.00593703j -0.0137867-0.000206385j 0.00206711+0.00814194j -0.0034289+0.00454659j 0.00243382+0.00654314j 0.0148978-0.000526095j 0.000395329-0.0173076j -0.0134397+0.0050272j 0.0046769+0.0124363j 
-0.0110083+0.00698986j -0.00756754-0.0111775j 0.000677015-0.022328j 0.0202517+0.00170365j 0.0115093-0.00807737j -0.015316-0.0072688j 0.00200321+0.0198576j 0.0198306-0.010146j 0.000379711+0.00613318j -0.00157324-0.00325271j 0.0067882-0.00412669j 0.0165283+0.00424743j -0.0100995-0.00930748j -0.0134154-0.00664554j 0.00507271-0.00945969j -0.00231102+0.00136499j -0.00313789+0.00462228j 0.0101827-0.00184083j 0.0131262-0.00268594j 0.0119237-0.00830272j 0.0199316+0.00890116j 0.00331521-0.00411308j -0.00270731+0.00641498j 0.00532983-0.00815807j 0.00211205+0.00581932j -0.0068945-0.016853j -0.00561843+0.00399691j -0.000986719-0.00759422j 0.00111786-0.00756958j -0.00632006-0.00546955j 0.00205644+0.0054184j -0.00305624-0.0146057j -0.00511933+0.00959919j -0.000669103+0.0157517j 0.00170069+0.00212097j 0.0163775-0.000641898j -0.000326486-0.00178475j 0.00748932-0.0029522j 0.00809199-0.00291919j -0.00377279+0.00563028j -0.000293851+0.0142936j -0.00349396-0.00948661j -0.00207849+0.00735147j -0.00108371+0.0102444j -0.00301032-0.0027734j 0.00628297+0.00253131j 0.000590127-0.00868046j 0.00844847-0.0124428j 0.00669785-0.0173473j -0.00917859+0.000244362j 0.00536299-0.0154175j -0.0211977-0.00564612j -0.00980836+0.00504463j 0.00854104+0.0115495j 0.00416864+0.0101277j 0.0108365-0.00365693j 
-0.0001175-0.00966317j 0.00989704+0.000361673j 0.00236316+0.00869268j -0.00759759+0.00471117j 0.00836929-0.0100142j -0.0093336-0.0109135j -0.00456521+0.00386225j -0.00385901-0.00182131j 0.00307365+0.00200576j 0.0038688+0.019728j 0.0183796-0.0227156j 0.0198376-0.00830937j -0.00518227-0.0067483j -0.0206035-0.00539372j -0.00965574-0.00976592j 0.0126884+0.0023947j -0.00148568-0.00231102j -0.0040327-0.014777j 0.00428576+0.00065132j -0.00586612+3.86669e-07j 0.00501945+0.0106932j 0.0120803+0.00589517j -0.00919128+0.00807471j 0.00149765-0.00243368j -0.00410018-0.00278481j 0.00137068-0.00750911j -0.00490475+0.00594347j -0.00225907-0.0110469j 0.0118994-0.00611545j 0.0081879-0.00597663j 0.00147032+0.00578794j 0.0050867-0.013416j -0.00767524-0.00450648j 0.000469774+0.00374859j -0.00701075+0.00461737j -0.000755992+0.0022143j -0.0102126-0.00208719j 0.0148905+0.00860321j 0.00209524+0.00475796j -0.0117937-0.0122973j -0.00651792-0.00105829j -0.00315536-0.00584809j 0.00830163-0.0079948j 0.00159715+0.000568561j -0.00189548+0.0138764j -0.00335728+0.00166396j -0.0107312-0.0134057j 5.048e-05-0.00606419j -0.0200513-0.00643454j -0.00153071+0.0112601j -0.00841508-0.00499598j -0.0101948+0.0162919j 0.00397504-0.00240282j -0.000159328-0.00673468j -0.014763+0.00950801j 0.00942224+0.0140041j 
0.00160159+0.00524896j -0.00533422+0.0013884j 0.00270893-0.0088606j 0.00884453+0.00204126j 0.00489577+0.00981991j 0.0157805-0.00797574j -0.00692211-0.0138676j -0.00368116-0.0010934j 0.00987034+0.00564731j 0.000645504+0.0038952j -0.00812892-0.00771772j 0.0108502-0.00406706j -0.00335897-0.0167127j -0.00772682+0.0119319j -0.00881727+0.00516513j -0.00218361+0.00397128j -0.0064919-0.00215152j -0.00212353-0.00562778j 0.00381109+0.00055366j -0.00259434+0.00215631j -0.00859524+0.0011426j 0.00111745-0.00298411j -0.0055956+0.0037052j -0.00428908-0.00834326j 0.00601009+0.00442213j 0.00818555-0.00169726j -0.00286081-0.00262366j 0.00260775-0.00316793j 0.000247999-0.000207483j 0.00219176+0.000823379j 0.00712131+0.0109564j -0.00622647+0.00497699j -0.00476379+0.000685284j 0.00159889-0.00628642j 0.00353288-0.0048868j -0.00222671+0.00251425j 0.00113644+0.00124343j 0.00446852+0.00886107j 0.00952544-0.000535257j 0.0075783-0.0023598j -0.00271568+0.0016202j 0.00839955+0.00312809j 0.00430456+0.00218748j -0.00788677+0.0158204j 0.00454038+0.00430585j 0.0123491+0.00927739j -0.0145654+0.00600666j 0.00246312-0.00539158j -0.00696248+0.00580272j -0.00582088+0.00847131j 0.00271855+0.0119398j 0.0104594+0.00461351j -0.0153863-0.000603433j -0.00152936+0.0148773j 0.000166249-0.00578396j -0.00581367+0.00014966j 
