0.000833127+0.0105711j -0.0109575+0.00139111j -0.00656243+0.00044458j 0.000617153+0.0061178j -0.00163102+0.00202837j -0.00269613+0.00279667j 0.00428672+0.00488048j -0.00245148+0.00122319j -0.00212672-0.00144833j 0.00226427-0.00210188j 0.00257294-0.00104909j -0.00270811+0.00440402j 0.00485275-0.00666915j 0.00442076+0.00691128j 0.00227134-0.0014062j 0.000604194+0.00250044j -0.00157906+9.96128e-05j -0.00535051-0.00120122j 0.00210517-0.000753873j -0.00614087+0.000800842j 0.000504272+0.00209765j -0.00297873+0.00126482j -0.000718205-0.00139028j 0.00180773+0.00469655j 0.00624228-0.00299787j 0.00473391-0.00156833j 0.00293822+0.000339177j -0.00531282+0.000442458j 0.000204218-0.00334298j 0.00247334-0.00203854j 0.0033714-0.00186019j -0.0030915-0.00321465j -5.78061e-05+0.00867451j -0.00265317+0.000167557j -0.00161913+0.00712211j 0.00312961-0.00633972j -0.0033391-0.000944192j -0.00132331+0.00401629j -0.000701502-0.00467967j 0.00200317+0.000712084j 0.000470125+0.00118418j 0.00281092+0.00157033j -0.00214929+0.00103133j 0.00395226-0.000689917j 0.00169358-0.00133713j -0.00515872+0.0038453j -0.00142739-0.000559433j 0.000421582+0.000243746j 0.000805947+0.00214833j 0.00154125-0.00158213j -0.000402713+0.0041093j -0.00480893+0.00100001j -0.00400662-0.00300909j -0.0106151-0.0086414j -0.00852847+0.0125832j 0.000144431-0.00562685j -0.00934831-0.0041091j -0.000348048-0.00280249j -5.55181e-05+9.82804e-05j 0.00766479-0.0024284j 0.000562453+0.00370613j 0.00118959+0.000645187j -0.00322155+0.00186945j -0.00418481+0.00177978j -0.00786002-0.00514427j 0.00446578-0.0107059j -0.00613064-0.00416051j -0.0178-0.0141698j -0.0160034+0.0159878j 
-0.00855941+0.0018959j -0.00219462-0.00715516j -0.00595708-0.00515462j -0.00445118+0.00674965j -0.0035022-0.00722877j 0.0030308-0.00308389j -0.0036073+0.00339908j -0.00535257-0.00104509j 0.000320529-0.0043092j 0.00366457+0.000532428j -0.00218481+0.00281903j -0.00702871-0.00291739j 0.00628606+0.00197029j -0.00441511+0.00201894j 0.00193644+0.00327052j -0.000525915-0.00170435j -0.000448916-0.00245519j 0.00290432-0.0064403j 0.0040111+0.00103725j 0.000906129-0.00451563j 0.000878856-2.14924e-05j -0.00139359-4.31692e-05j 0.00206377-0.00306813j -0.00094405-0.00272366j 0.00189787+0.007505j 0.0014291+0.00655426j 0.000451464+0.00331954j -0.00112372-0.00489741j 0.00512394+0.000305241j 0.0011952+0.000749628j 0.00308685+0.000506243j 0.00189226-0.0053895j -0.00725042+0.00247878j 0.00208093-0.00134152j -0.00626605+0.00107404j 0.00310831+0.00201359j 0.00173023-0.00168376j -0.00262143-0.00167548j 0.00229461-0.00134675j 0.000216428+0.000244662j 8.9504e-05-0.00338233j -0.000480291+0.00243689j -0.00295513+0.00237466j 0.00585134+0.00301772j 0.0049243+0.00374241j -0.00209557-0.0029222j 0.00317007+0.00278242j 0.000434013+0.000790788j -0.00223781+0.00184654j 0.00175689+0.00123687j -0.00196813-0.00439057j 0.00138439-0.00728604j 0.00371036-0.00848289j 0.0093285-0.0113699j -0.0111859-0.008338j 0.00811667+0.00104096j 0.00553923-0.0061383j -0.00188721-0.00345121j -0.00254902-0.00255017j 0.000436442+0.00352243j 0.000981443-0.00389674j -0.00417761-0.00285548j -0.00568866-0.00685573j 0.00303565-0.0081706j 0.00864599-0.00485305j 0.00965408-0.00353493j -0.00491157-0.00613312j 0.0172266-0.0108844j -0.0119948-0.0180801j 
0.00149081-0.00495428j 0.00522709-0.0001013j -0.00146435-0.000489877j -0.00142022+0.0011549j 0.000218424-0.00607615j 0.00446105-0.00346181j -0.00676329+0.000742425j -0.00264956-0.00138308j -0.00202599+0.00266154j -0.00372957-0.00521438j -0.000492108-0.00295844j -0.000210718-0.00288252j -0.00882664+0.00301196j -0.00267983-0.00721381j -0.000402856-0.00452383j 0.000650032-0.00806627j 4.82025e-05+4.00181e-05j 0.00369374+0.00597234j 0.00189669+0.000271689j 0.000600454+0.00655364j 0.000334926-0.00697509j -0.00028005+0.00276254j 0.00151705-0.000836272j 0.000245915-0.00329718j -0.0025864-0.00471873j -0.0023277+0.000946297j -0.00130561+0.000647391j 0.00638811+0.00247301j -0.000554855-0.00221176j -0.00143344-0.0024886j -0.00208768-0.000915709j 0.00165692-0.00090241j 0.0011195-0.000318499j 0.00579059-0.00274439j 0.000621101+0.000962738j -0.0030069+0.00461392j 0.00321549-0.00469304j -0.00122035+0.000157013j 0.00399729+8.20435e-05j -0.000975353+0.000173757j 0.00163763-0.00411129j -0.0043872-0.00310545j -0.00328844+0.0028723j 0.00134964-0.000908835j 0.00308197-0.000485812j 0.00255875+0.0115458j 0.00172422-0.00302597j -0.000293836-0.000201366j -0.00519794-0.00273471j -0.00128218+0.00134971j 0.000217987-0.00370766j 0.00484086+0.000813237j 0.00515498+0.00436164j 0.000970924+0.012839j 0.00252587+0.00477825j 0.00164964+0.00205509j -0.00448865+0.0023733j 0.00333887-0.00691788j 0.0021891-0.00298962j -0.00445117-0.00244711j 0.00483056+0.00220447j -0.0031044-0.0111868j 0.00187156-0.00187886j 0.00608953+0.000901023j 0.0114167-0.000986011j 0.0114565-0.00569558j -0.000351727-0.0143402j -0.00308569+0.0031372j 0.00733428+0.00773783j 
0.000208887+0.00134031j -0.0008694+0.00149941j -0.00344661-0.00209327j -0.00280158+0.00379212j 0.000496485-0.00435636j 0.00135703-0.000335707j -0.00358873+0.00151677j -0.000732065-0.00428641j 0.00168624+0.00459835j -0.00388213-0.00207984j 0.00254069-0.00333416j -0.000625308-0.000812823j 0.000371135+0.00604926j 0.000357056+0.00185514j -0.00495065+0.00420796j 0.00120458-0.00169375j -0.0035314-0.000668324j 0.00553777+0.00167005j 0.00242751+0.00111265j -0.00107773+0.00414027j -0.00294154+0.00222429j 0.000459011-0.000908436j 0.00368083+0.00244981j -0.00647924-0.00531632j -0.00429629+0.00523126j -0.00143083+0.000464426j 0.00322302+0.00186326j 0.00214831+0.00507628j -0.000975671+0.00402976j 0.00350204+0.00236672j 0.00277153-0.000983871j 0.00312985-0.00338279j -0.00506706-0.00492836j 0.00524016-0.00166776j -0.00287746-0.00314269j -0.000389825+0.00128335j 0.00142117+0.00439895j -0.00190367-0.00713918j 0.00440247+0.00563249j -0.000905349-0.00396899j 0.00765223+0.0014117j 0.00196258-6.54613e-05j -0.00441697-0.00374491j -0.0019578+0.000500104j -0.000271765+0.00281559j -0.00880727-0.00306443j 0.00110513+0.00220883j 0.0046869+0.00220384j -0.00510544+0.00214028j -0.00214922+0.00148029j 0.00349126-0.0072594j -0.00260558-0.000715909j 0.00359863+0.00433107j 0.00527692+0.00737367j 0.000211446-0.0126765j 0.00365173+0.00562256j -0.000531217+0.00355236j -0.00043865-0.000598911j -0.00790658+0.0114183j 0.00458565+0.00113867j -0.00763317+0.00695269j 0.0057975-0.000662397j -0.00539393+0.00572296j -0.00618129-0.000637126j -0.0029169+0.0052407j 0.010121+0.00663791j 0.00833502-0.00715315j 0.00160527+0.00160667j -0.000348712+0.00093287j 
0.00435864+0.00343592j -0.00462901+0.00387142j 0.00234378-0.00269881j -0.00200524-0.00271993j 0.00435925+0.0019549j -0.00256724+0.00211002j -0.00256671-0.00107184j -0.00351043-0.00382552j -0.00550364-0.000718988j 0.00353778-0.00593106j 0.00533874-0.00395329j 0.00320962-0.0034317j -0.00457863-0.00511704j 0.005026-0.00270115j 0.0029857+0.000528858j 0.00120673-0.00125583j -0.000780933-0.0025292j -0.00864927+0.000550171j -0.00109154-0.000397025j -0.00556474-0.00271684j 0.000747862-0.00277687j -0.00202621-0.00485614j 0.00477295+0.00316575j 0.00267474+0.000657082j 0.000697317-0.000953197j -0.00235048-0.00144418j -0.00273313-0.00151476j 0.00107601+0.00645774j -0.0023249-0.000309874j 0.00218473-0.00212593j 0.000746316+0.00134497j 0.00707758+0.0029768j -0.00429666-0.00394452j 0.00388547+0.00164148j -0.00248326+0.00183208j -0.00233291-0.0051743j 0.00795464+0.005884j 0.00320764-0.00138968j 0.00339233+0.00363255j -0.00464635-0.0075312j 0.00292243+0.00445428j -0.00252504+0.000849952j 0.00150427-0.00614103j -0.00301716-0.00254613j 0.00248515+0.00727341j -0.0102757-0.00261081j 0.00440436+0.00279306j -0.00292151-0.00446368j -0.00425351-0.00885508j -0.00859725+0.00663913j 0.00464267-0.00192616j -0.000850591-0.00102996j -0.00318653+0.00101519j -0.00208495-0.00100463j -0.00374071-0.00152138j -0.00156607-0.00175982j -0.000316737-0.00807028j 0.00324862+0.00341488j 0.00944567-0.00516247j 0.00159618+0.00446585j 0.00134932-0.00397074j 0.00741472-0.00180583j 0.00914348+0.000549964j -0.00399561+0.000316307j 0.00731956+0.000397708j 0.00516443+0.0191576j 0.0186827+0.00135226j -0.00601249-0.00210334j -0.00303712-0.000284009j 
0.00237106-0.00276751j 0.000932505+0.00246838j -0.00331021-0.00212754j -0.00133284+0.00168851j -0.000748917-0.00106591j 0.00223253+0.00380936j 0.00261771+0.00227432j -0.00400215+0.00618264j 0.00414057+0.00143907j -0.00316167+0.00369395j -0.00516294-0.00546217j 0.0005367+0.00121544j 0.00344242+0.0023383j -0.00235331-0.00358585j 0.000706013+0.000845745j -0.00282845-0.000993196j -0.00698431-0.00015982j -0.000831588+0.00206809j -0.000569153+0.00299332j -0.00407404+0.00129978j 0.000348375+0.00320567j -0.00174885+0.00201937j 0.00171478-0.0123368j -0.00197181-0.00544445j -0.00481361+0.0016045j 0.000738482+0.00439026j 0.00253152+0.00458948j -0.00126291-0.00442511j -0.000897044+0.000186814j 0.000167867-0.00119536j 0.000634105-0.00358876j -0.00342512-0.00630922j -0.0015674+0.00264458j 0.00277547-0.00238787j -0.00404242+0.00236646j -0.00884845-0.00188153j 0.00460224-0.0104401j 0.00210104-0.00158923j 0.000574057-0.00207455j -0.00171151+0.00799686j 0.00132325+8.10129e-06j -0.00278278-0.00266285j -0.00298887+0.00209644j 0.00179352+2.1518e-05j 0.00679333-0.0079251j -0.00113242+0.0066983j 0.00662536-0.00535379j 0.00502183+0.00584034j -0.00700109+0.00946759j 0.00549331+0.00210683j -0.00246932-0.00624569j -0.00354051-0.00223454j -0.00571246-0.000950884j 0.00423594-0.00696487j -0.00428273-0.00897122j -0.00256658+0.00249069j -0.00106371-0.00909077j -0.00224405+0.00987332j -0.00036557-0.0080021j 0.00819116-0.000149115j -0.00160167-0.00596164j -0.0056401-0.00170518j -0.000768039-0.00577905j -0.00475778-0.000205145j -0.00389279-0.0130914j 0.0109407-0.00151336j -0.000196595-0.00685066j -0.00438862+0.00259398j 0.00114158+0.00425953j 
-0.00256193-0.00227237j 0.00450071-0.00340041j -0.0041711-0.000385105j -0.00436587+0.0034068j -0.000804055-0.00237776j 0.00408184+0.00291953j -0.00212154+0.00202177j -0.00307029+0.00253422j 0.00650775-0.00383541j -0.00107863+0.00715273j -0.00770273+0.000853813j 0.00103543-7.37474e-07j 0.00288786-0.00137497j -0.00195326-0.004898j 0.00833282+0.0028393j 0.00469008-1.68258e-05j -0.00212051+0.00240037j -0.00198102+0.000897732j -8.87166e-05+0.00159408j -0.00195474-0.00145539j 0.017419-0.00393803j -0.00443705-0.000371531j -0.00325805-0.00340036j -0.00135295+0.000787315j 0.0119682-0.00107687j 0.0042477+0.00037477j 0.000347003-0.000104754j 0.000786458-0.00714174j 0.00948612-0.000989807j -0.00358057-0.000679133j 0.00050955-0.00478107j 0.00165074-0.00319082j -0.000580389+0.000763752j -0.0110794+0.00518854j -0.00519506+0.00308671j -0.00426736+0.00261145j -0.00688235-0.00205675j 0.0048071-0.000688468j -0.00738865+0.00722332j -0.00155489+0.00217238j -0.00486938-0.00594203j 0.00106131+0.00247468j -0.00433154+0.00039501j -0.00452007+0.00799217j -0.000918773+0.00484811j 0.00161346-0.00202908j -0.00660521+0.00226647j -0.00328549-0.000828534j -0.00446751-0.00652117j -0.00304567-0.00367853j 0.00252734-4.1416e-05j 0.00194252+0.00119743j 0.00106467+0.00767877j -0.0147339+0.00551255j 0.000957903+0.00385118j 0.00154589+0.00550675j -0.00981678+0.000291684j 0.00681585+0.00252413j -0.00428552-0.00236313j 0.00197881-0.00866371j -0.00453646+0.000371566j 6.68378e-05-0.00145579j 0.00211835-0.00582776j -0.000273538+0.0037865j -0.0122101+0.00960186j 0.00441801+0.00457924j 0.00177007-0.00179934j -0.00380716+0.00514061j -0.0050981-0.00110205j 
0.00247901+0.00122297j -0.00111183+0.00474693j 0.00212116+0.00417254j 0.00340303+0.000245178j -0.00391954+0.00393713j -0.00623725-0.000937381j 0.00582772+0.00208085j -0.00123136+0.000723105j 0.00883228+0.00122797j -0.000680927+0.00116566j -0.00390218-0.00126177j 0.00301384-0.00276881j 0.0119673+0.00229102j 0.00331602+0.00342515j 0.00420823-0.00338569j -0.00735765-0.00155038j 0.00657158+0.00351629j -0.00290413-0.000932127j -0.0022914-0.00126892j 0.00390266+0.00155088j 0.00260491-0.00478072j -0.00621915+0.00361629j -0.00549358+0.00125699j -0.000674786-0.0014192j 0.0104464-0.00139069j 0.00387124-0.000924955j -0.00107595+0.000458139j 0.00286178+0.00344283j 0.00480856+0.000195745j -0.00187149+0.00135444j -0.00263732+0.00124137j 0.00114564+0.00525916j -0.00198817-0.00358487j -0.0154186+0.00355797j -0.00141245+0.0007612j 0.00770377+0.00465733j 0.000891197+0.000536831j 0.0070093-0.002528j -0.00249125-0.00274192j -0.00337584-0.00132047j -0.00991563-0.00134836j 0.00679783+0.00116751j 0.00175025+0.00191855j 0.00485778-0.00444503j 0.00812369+2.87262e-05j -0.00720127-0.0021271j 0.00368816+0.00230479j -0.00362997-0.00318471j -0.00441676-0.00164687j -0.00415447-0.000780521j -0.00238012+0.00151062j 0.00204969+0.00518087j 0.000546271-0.00153953j 0.00875781+0.00246182j -0.00192675-0.00540753j 0.00143897-0.00465455j 0.00700997-0.00197577j 0.000408305+0.004219j 0.00296374+0.00489914j -0.00476333+0.00789875j 0.00295768+0.00109705j 0.00524057-0.00164644j -0.00414161+0.00949019j -0.00221984+0.00374404j 0.0113884+0.00606118j 0.0030671-0.000514023j -0.00303283-0.00410209j 0.0103724+0.00337118j 4.28321e-05+0.00296497j 
-0.00183057+0.00193985j 9.93076e-05-0.00128526j -0.00145481-0.00234513j -0.00329212-0.000761937j -0.00113684+0.000371992j -0.00368347-0.000697324j -0.00305461-0.000811893j 0.00149407-0.00539911j 0.00339715+0.00136429j -0.00745344-0.00132772j -0.00254166+0.000186703j 0.000794599-0.00290438j 0.00198755-0.00259845j -0.000377431+0.00166292j -0.00406084+0.000247157j -0.00393146+0.0026007j -0.00247479-0.00280481j 0.00353738+0.000224821j -0.00138888+0.00107201j 0.00046023+0.000861611j 0.00143192+0.00311263j 0.00355107-0.000385724j -0.00429076+0.0046987j -0.00196148-0.00272358j -0.00256169+0.00184716j 0.00373222+0.000434531j 0.0026563+0.0011385j 0.0041355+0.00356995j 0.00499163-0.000729919j -0.00322106+0.00132359j 0.00409872+0.00800441j 0.0098142+0.00321384j -0.00276583-0.00025291j -0.00793928-0.00258781j -0.000196371+0.000696167j 0.00179835-0.00421501j -0.00707375-0.00233338j 0.00711463-0.00124821j -0.00905095-0.0067264j -7.97987e-05-0.0052551j -0.000877715+0.00356819j 0.00137824+0.000105625j 0.00159975-0.00622675j -0.0035861-0.00803342j 0.00275512-0.0030048j 0.00760213-0.000826481j -0.000792048-0.00555691j 0.000419896+0.000365353j -0.0121549-0.00245474j -0.00856943+0.00342235j 0.0104511+0.000510505j 0.00663745-0.00793506j -0.000252547-0.000239803j -0.00154005-0.00211182j 0.0143735+0.00218111j -0.00226846+0.00402084j -0.0079526-0.00191943j 0.000577524-0.00486108j -0.00670674-0.0103932j 0.00512646+0.00426963j -0.00201524-0.00640778j -0.00372209-0.00163297j -4.63462e-05-0.00205618j -0.000946209-0.00884967j 0.00322315-0.0180246j -0.0038313+0.000640362j 0.00265854+5.74402e-05j -0.00301471-0.00394371j 0.00503095-0.00159073j 
0.00366813-0.00315407j 0.00116187+0.00565268j 0.0015829-0.00165056j -0.00057087-0.00402431j 0.000310186-0.00356543j -0.00114971-0.00350103j -0.00586568-0.0105083j 0.00168823+0.00350893j -0.00429665+0.00175558j -0.00353489-0.00945866j 0.00332186+0.00438706j 0.00396049+0.00406994j -0.00766781-0.00346163j -0.00295514-0.0035658j 0.00583985-0.00306454j -0.000242523-0.00706163j -0.00487661+0.00141244j -0.0026087+0.00417001j 0.00547213+0.0103914j 0.000876559+0.00816567j 0.000458339-0.000654153j 0.00127007-0.000540736j 0.000699207-0.00377166j -0.00045356-0.0063328j 0.00594921+0.00620487j 0.000151831+0.00186082j -0.00373127+0.00576758j 0.00357744+0.007946j 0.00596202-0.00571098j -0.00152411-0.00120812j -0.00750977-0.00711158j -0.00130484-0.00133545j 0.00541818-0.00860228j -0.00751956-0.00421249j -0.0044007-0.00516924j 0.00417078+0.00477708j 0.00641601+0.00566063j 0.00601512+0.00836746j -0.00342979+0.00312429j 0.000650164+0.00166033j -0.00391782+0.00779817j 0.00727057-0.00400142j -0.00100621+0.0108305j -0.00122269-0.00260443j 0.00165634+0.00143725j 0.00291054+9.95846e-05j -0.000959062+0.000977728j 0.00177075+0.000913417j -0.00701782+0.00827996j 0.000483954-0.00348559j -0.000809255-0.00261654j -9.40216e-05+0.00115919j 0.00348798-0.00354285j -0.00268657-0.00588393j -0.00174794-0.00628236j 0.00380912+0.000543187j 0.00266962-0.00196613j 0.00428702+0.00130732j 0.00147143+0.00289288j 0.000988186-0.000118694j -0.00198732+0.0010525j -0.00560287+0.00118767j -0.0053391-0.00205364j 0.00606693-0.00704374j 0.000169668-0.00441713j 0.00300444-0.00123418j 0.0022508+0.00111689j -0.00237652-0.0093908j -0.00371016-0.00625721j 
-0.000836657-0.00197611j 0.00152881+0.000539617j -0.000828864+0.00299641j 0.000489292-0.000515384j -0.000417924+0.000944415j 0.00265731-0.00217595j -0.000504502-0.00438474j -0.00177414-0.00124026j -0.00235992-0.00555989j 0.003683+0.00134717j -0.00219575+0.00357709j -0.00138837-0.00529675j -0.00254952-0.00647319j 0.00172481+0.00630924j 0.00372176-0.00264215j -0.000552553-0.00731272j -0.000607759+0.00535826j 0.00250188+0.00286161j -0.00269385-0.0117675j -0.00133207+0.00241836j 0.00181986-0.00632377j -0.00106634+0.00368442j 0.00352833-0.0052417j 0.000778656-0.00437149j 0.00432267-0.000457718j 0.000792981+0.00799276j -0.00512483-0.00641861j 0.00333966+0.00645792j 0.0021519-0.0023636j -0.000830997+0.00355596j 0.002017+0.0129712j 0.00298771+0.0162446j 0.00250024+0.0135021j 0.00393696-0.012261j 0.000701584-0.000770078j 0.00311605+0.0029719j -0.00154523+0.00712318j -0.000467139+6.84421e-05j 0.000828614-0.00160771j 0.000153538-0.00963783j 0.00417643-0.0105123j 0.00113132-0.00413077j 0.00383511-0.0172699j -0.00204108+0.00486092j 0.0046611-0.00563642j -0.00364587-0.00172387j 0.00537821-0.00316232j -0.00328758+0.0023127j -0.00418108+0.00820743j 0.00130718+0.00523969j 0.00231483-0.0025744j 0.00223768-0.000409072j 0.000585073+0.00191201j -0.00258051-0.00177012j -0.00150872-0.00388716j 0.0014582-0.00231476j -0.000637866+0.00190265j -0.00276859-0.00125017j -0.0014587+0.000348176j 0.00286891-0.00151728j 0.000598853-0.00282422j 0.00235741-0.00554284j 0.00260285-0.00622777j 0.00204471+0.00364675j -0.00214572-0.00110792j 0.00144053-0.00245807j -0.00270741-0.00426349j -0.0013353-0.000463594j -0.00403726-0.00278938j 
