-0.0839282+0.0897145j -0.192361+0.273044j 0.00737372+0.000265016j -0.033671-0.0149865j -8.73234e-05+0.00545812j -0.0229427+0.0333201j 0.0128674+0.0160451j 0.0233559-0.00301094j -0.0035773+0.0059757j -0.0247195+0.0099093j -0.00655985+0.00256616j 0.00278566-0.0112024j 0.00520031-0.0044158j -0.00165858-0.00998623j 0.00302206+0.0088407j -0.00803298+0.00539246j -0.0125581+0.00431988j 0.0109626-0.00100859j 0.00431392+0.000787536j 0.00379745-0.000237166j 0.0024644-0.00780662j -0.00390985+0.000875991j 0.00348172-0.00639969j 0.0133264-0.00650797j 0.0013404-0.00183741j 0.00441842-3.35742e-05j -0.00256863+0.00151991j 0.00134388-0.00189424j -0.00482878-0.00149706j -6.38283e-05+0.00232855j -0.00231761+0.000702676j -0.0109483+0.00567252j 0.00205253+0.00167404j 0.00159024+0.00133929j -0.00806291+0.00391467j 0.00828813-0.00335371j 0.0142758-0.0069674j -0.00862684-0.000170477j -0.00567039+0.00589628j 0.0118047-0.00262964j 
0.0918786+0.0853445j 0.277744+0.195343j 0.000399426-0.00809971j -0.0160221+0.0343819j 0.00635037+0.000486848j 0.0328002+0.0225585j 0.0148727-0.0108316j -0.00113585-0.0231794j 0.00480802+0.00164454j 0.00900367+0.0243135j 0.00159964+0.00754427j -0.0111082-0.0025237j -0.00531781-0.00271785j -0.0112477+0.00362227j 0.00727259-0.00362597j 0.00556351+0.00631379j 0.00326897+0.0117109j -0.00104323-0.0107912j 0.00126242-0.00350701j 0.000286924-0.00523302j -0.00767777-0.000958687j -0.000130463+0.00413732j -0.00684882-0.00387341j -0.00579375-0.013099j -0.00221934-0.000485507j -0.0006271-0.00452437j 0.00135234+0.00304059j -0.00161677-0.000863367j -0.000773986+0.00611327j 0.00237449-0.00102451j 0.00112567+0.00270597j 0.00570513+0.0119995j 0.0013852-0.00344843j 0.00264264-0.00161085j 0.00350153+0.00852945j -0.00244981-0.00719273j -0.00755657-0.0138681j -0.00246096+0.00887866j 0.00704576+0.00504793j -0.00197984-0.0116242j 
0.0152098-0.0635794j 0.0449506-0.205997j 0.00372648+0.00128343j -0.0059634+0.0210976j -0.00704381+0.00302536j -0.0157468-0.0124771j 0.00904512+0.00669355j -0.0104607-0.0108623j -0.0107878+0.0108389j 0.00524721-0.00284218j -0.000478039-0.00943104j 0.00758727+0.00275501j 0.0102591-0.00594259j 0.0109666-0.0111179j 0.013574+0.00159503j 0.00790053+0.013837j 0.00677659+0.00070655j 0.000619887-0.000357385j 0.000943537+0.00240629j -0.00971929+0.0137415j -0.00945341-0.00958501j 0.0027356-0.00606252j -0.00694356+0.000624965j -0.00552696+0.00249583j -0.00270063-0.00802007j -0.00811723+0.00208882j 0.00813809-0.00599262j 0.0010329-0.00402895j -0.0118379+0.000123561j 0.0066337+0.0106075j 0.00409752-0.00212781j 0.0105525-0.00682398j 0.0131148-9.71954e-05j -0.00314247+0.00792524j 0.0101114-0.00597289j -0.00743597-0.00269377j -0.00842469-0.0100666j 0.00813797-0.0212031j -3.76853e-06+0.0152102j -5.77095e-06+0.00220883j 
0.087173+0.0253418j 0.271031+0.0687439j 0.00163833+0.00073003j -0.032102-0.00946648j 0.000904941-0.00461202j 0.0112218-0.0242731j -0.0107516+0.0156553j 0.0168492-0.0128972j -0.0149387-0.0183395j 0.00182191+0.00563881j 0.00544589+0.00163257j -0.00502859+0.0106299j 0.00780381+0.0102325j 0.00622962+0.0122744j -0.00199425+0.00518316j -0.00685787+0.00787994j -0.000110688+0.00111037j 0.00119282-0.00200472j -3.02828e-05+0.00439486j -0.0114056-0.011354j 0.00321437-0.00182001j 0.00389541-0.00829018j -0.00463408-0.00309407j -0.00391817+0.00264923j 0.00430139-0.0079471j 0.00074457+0.000509458j -0.0031657-0.000154529j 0.000726964+0.00243832j 0.00164857-0.00277655j 0.0020332-0.0023517j -0.00126293+0.0110274j 0.0062674+0.00151799j 0.00426843+0.00507635j -0.00202585+0.00452496j 0.00145112+0.00508928j -0.00188884+0.00995069j -0.00151667-0.00179336j 0.0101299-0.00290682j -0.0049879-0.00225051j -0.0012959+0.0033842j 
-0.051908+0.0302878j -0.170865+0.100628j -0.00337-0.00214733j 0.0298586-0.0210924j 0.0023508+0.00549371j 0.0124358-0.00159111j -0.000350324-0.00740255j 0.0075628-0.000828554j 0.00818416-0.00846464j -0.00761777+0.0102321j 0.00432114+0.00718422j 0.00523477-0.0156801j 0.000680529+0.00311915j 0.00415915-0.00254455j 0.0106583+0.00182309j 0.00383589+0.00600552j 0.00242853+0.009394j -0.00343886+0.00497834j 0.00335352-0.00148133j 0.00699147-0.0049441j -0.0070616-0.00986607j 0.0108073-0.00705929j -0.00599739+0.00228504j 7.04482e-05-0.00471231j 0.0126397-0.0132263j 0.00347158+0.0109847j -0.000611882-0.00497936j -0.00243352-0.00516604j 0.00334358+0.0119841j 0.00447648+0.0119877j -0.0169308+0.00445428j 0.00855886-0.00878194j 0.00804606+0.00960889j 0.00217545+0.00303242j -0.010002-0.00338495j -0.00919515-0.000261975j -0.00181914-0.0069345j 0.000791497-0.00945622j 0.00312988+0.00686371j 0.000295826+0.000216694j 
-0.0159839+0.0479382j -0.0419492+0.137957j 0.00131938-0.00159781j 0.00966803+0.00257048j -0.00505476+0.00118611j -0.00267137+0.0183335j 0.00613629+0.00498689j -0.00561417-0.0069764j -0.0139809+0.00270267j 0.0104758+0.0093024j 0.0183056-0.000752121j -0.0150622-0.0209939j 0.0121418+0.0100611j 0.0100123+0.00150889j 0.00285689+0.00412789j -0.0100878-0.00294978j 0.0108464+0.00544505j 0.00924717-1.9255e-05j -0.00276611-0.0029136j -0.0117828-0.00290773j -0.00175473-0.0010794j 0.0084197+0.00731358j 5.10694e-05+0.0017278j -0.0122695-0.00795754j -0.000297912-8.44139e-05j 0.00335914+0.0102238j 0.00742773-0.00713845j -0.00336799-0.0054763j 0.00168777-0.013632j 0.00978099+0.00843974j 0.00131044-0.00498346j 0.00121601-0.00495565j -0.00174722-0.000561122j -0.0121197-0.0043967j 0.00724616-0.000466519j -0.00949857-0.00742887j -0.00432886-0.00449235j 0.0116144+0.0103009j -0.00215312-0.00298042j -0.0045473-0.00550279j 
-0.0171818-0.00226813j -0.0291427+0.00813739j 0.00162074+0.00303477j -0.0147244-0.00957007j -0.00321479-0.00358868j -0.0174822-0.0169807j -0.00358111-0.0115726j -0.0121974-0.0133045j 0.00640153-0.00665361j 0.00371822+0.0144464j -0.00784054+0.010303j 0.00209478-0.0108302j -0.00731373-0.00761322j -0.0114023-0.011335j 0.00238394-0.0020957j -0.000253617-0.00512984j -0.0018979+0.00141037j 0.00655372+0.010644j -0.0042224-0.0075945j -0.000313372-0.00459422j -0.00134843-0.00288361j -0.0110128-0.00794354j 0.00566269+0.0041189j 0.00115253-0.00450936j -0.0101752-0.0133656j -0.00568097+0.000285694j 0.00356652+0.00451057j 0.00114726-0.000809306j 0.012454-0.00815401j -0.000651278+0.00169018j 0.00702882+0.0143503j -0.00456957-0.00913307j 0.00947046+0.000395161j -0.000683998-0.00587009j 0.00332537+0.010957j -0.00226303+0.000470884j 0.00134178-0.000846604j -0.0016272+0.00277687j 0.00180017-0.00173128j 0.000106484-0.00177925j 
-0.000669792+0.031762j -0.0195611+0.105904j -0.00498624-0.00365384j 0.0185585-0.0207547j 0.00334783+0.0066276j 0.0107798+0.00451414j 0.00208841+0.000238821j -0.00069866+0.00265594j -0.00432338+0.00246461j 0.00457582-0.00166988j -0.000298466-0.00304009j -0.0207682-0.00109782j 0.00640131+0.00308784j -0.00753568-0.00619306j 0.000814984+0.00212568j -0.00839946+9.30926e-05j -0.00536785-0.006042j 0.00312749+0.00310083j 0.00214739+0.00289203j -0.00191497+0.00114454j 0.00430641-0.00254739j -0.00197225-0.00681449j 0.000324118-0.000224296j 0.00102128+0.00568925j -0.000319657-0.00467295j -0.01139-0.0106546j 0.0208145+0.000243024j 0.00389795+0.00497604j -0.000158349+0.00254731j -0.00464952-0.00858291j 0.00390436+0.011171j 0.00987955+0.0127432j 0.00510751+0.000449591j 0.000189305+0.00315841j 0.00696472+0.0125873j -0.00508311+0.00330906j -0.00459056-0.00626819j 0.00449538-0.00121768j 0.0012585+0.00223063j -0.00157983+1.75648e-05j 
0.0246679-0.0485948j 0.0758884-0.171298j 0.00480761-0.000674236j -0.00868737+0.0404364j -0.00351006-0.00650205j 0.00311446+0.00170085j 0.00663917+0.00828473j 0.00766979-0.005181j -0.0025453+0.000338005j -0.00650498+0.00241526j -0.00418999+0.00676112j 0.0142799-0.0105136j 0.00309042+0.000757385j 0.00754083+0.00255832j -0.00451237+0.00794895j -0.00164164-0.00895236j -0.00210165+0.00167799j -0.00356306+0.00622842j 0.00600862-0.00338624j -0.0051325+0.00986116j 0.00886204-0.00337546j 0.00293284+3.885e-05j -0.00674042+0.017655j -0.00176646+0.00844099j 0.00878606-0.000746813j 0.00236538+0.00261549j -0.00183523-0.0154993j 0.000175674+0.000457691j 0.00947198+0.00134921j -0.000692283-0.00440225j -0.00503652-0.00253461j 0.0103522-0.0138203j -0.00737941+0.00489863j -0.00107641-0.00179805j 0.000820321-0.00923497j -0.00144467+0.00397478j -0.0030259+0.0117704j 0.00452439+0.00504212j -0.00130647-0.00867512j -0.00210103-0.000138858j 
-0.00213199-0.0191537j -0.0152297-0.0579653j -0.00189192+0.00304314j -0.00341354+0.0012055j 0.00185048-0.000131101j -0.00837434-0.0150188j -0.00743839+0.00965093j 0.00521102-0.00195937j -0.0131583-0.00884631j 0.00254044-0.00320789j 0.00419989+0.00117177j -0.0112827-0.0123313j -0.00668934+0.0148327j -0.00410198+0.00628989j 0.00107135-0.000915291j 0.0028466-0.00900815j 0.00240067+0.00291265j 0.00457415+0.0085338j 0.00406943+0.000789618j 0.00943668+0.0039932j -0.00970486-0.00465677j -0.00185254+0.0118443j 0.0067142+0.00759154j 0.0114455+7.36638e-05j -0.00360565+0.00246703j -0.0117025-0.0081283j -0.00324111-0.0145801j 0.00563903-0.000424798j 0.00254798+0.0061722j -0.00730418+0.0104952j 0.00792255-0.0062958j 0.00719873-0.00368259j 0.00204699-0.00504835j 0.00598666-0.00306397j 0.00423892-0.00431431j 0.00813715-0.00439236j -0.00159697-0.00184392j -0.00826783-0.00596065j 0.00283808+0.00471388j 0.00402995+0.00207491j 
0.0384564-0.00123623j 0.0930176-0.000635456j -0.00905198-0.00629906j 0.0151828+0.00196564j -1.904e-05+0.00642089j 0.0147824+0.000555351j 0.019154-0.0049569j -0.00961211-0.0119921j -0.006228+0.0206307j 0.00903774-0.00339304j 0.00135721-0.0173485j -0.0108569+0.0049085j -0.00127025-0.00493343j 0.00086839-0.00432595j -0.000796882+0.00474801j 0.000501963-0.00451068j -0.00210821-0.00154465j -0.00873643+0.00376293j 0.00607082-0.00711501j -0.00945173+0.00433835j 0.0068006-0.00684854j -0.00809244-0.00085216j -0.00102023+0.00370954j 0.0045005-0.00256085j -0.00215107-0.00298462j 0.0191231-0.000187409j -0.000852166-0.00210524j 0.000395838-0.00142222j 0.00746571-0.000981498j -0.0172717-0.00197021j 0.0072298+0.00134598j 0.00166127-0.00689446j -0.00293827+0.00564442j 0.0071181-0.00164675j 0.00029141+0.00124987j 0.0180469+0.000720476j 0.00601448+0.00670364j 0.00365169+0.000958409j -0.00990006-0.00189999j -0.00135383+0.00104862j 
