0.00148532+0.0143885j -0.00252911-0.0164658j 0.00291973-0.0208722j 0.0231827+0.0560076j 0.0099261+0.0204855j -0.00391998+0.00857455j -0.0171694-0.0110532j -0.017006-0.0140841j -0.0065468+0.0102307j 0.00104589-0.00431782j 0.01022+0.0084416j -0.00676605-0.00105515j -0.011462-0.00968152j 0.00213638+0.010861j -0.00251148+0.00344436j 0.00215334+0.00583566j -0.00793508+0.00262965j -0.000973422+0.00023896j 0.0104929+0.0110217j -0.00144035-0.0118507j 0.00630039+0.00316215j -0.00586209+0.00388443j -0.00506901+0.00238914j -0.00168795-0.00440693j 0.00596695+0.00276407j 0.000763109-0.00374452j -0.0039174-0.0108785j -0.00307994-0.00177767j 0.00291743+0.00179825j 0.00227695-0.00546436j 0.00567011+0.00179336j -0.00329982+0.00368415j 0.00523408+0.00856538j -0.00302484-0.0117756j 0.0138849+0.000365004j -0.00245099-0.0159219j 
-0.012153+0.00212007j 0.01731-0.00460686j 0.0216056+0.00244381j -0.0590625+0.0230207j -0.024149+0.00903916j -0.00838517-0.00381656j 0.00867341-0.0160602j 0.0131232-0.0158374j -0.0104032-0.00623283j 0.00650582+0.000641065j -0.00620379+0.00850539j -0.000125975-0.00512095j 0.00718797-0.00854876j -0.0121945+0.0011085j -0.00269615-0.00240631j -0.00754992+0.00158906j -0.00344884-0.00853279j -0.000904839-0.000975651j -0.00829426+0.00874551j 0.0124815-0.000624223j -0.00072841+0.00531617j -0.00374066-0.00872478j -0.00431011-0.00445149j 0.00499526-0.00277841j -0.00186233+0.00511801j 0.000999913+0.00123512j 0.00913112-0.00396469j 0.0011041-0.00309954j -0.00370556+0.00574202j 0.00445698+0.00343534j 0.00282814+0.00606961j -0.00178016-0.00544827j -0.0116462+0.00553714j 0.00850855-0.00281069j -0.00100354+0.0156799j 0.0130806-0.00127873j 
-0.00138232-0.00641554j -0.000559449+0.00944013j -0.00449936+0.00868855j -0.0281731-0.0219385j 0.00565771-0.000665733j 0.00249286-0.000894079j 0.00200938+0.00513706j -0.00734884-0.00127712j -0.0052389-0.00605376j 0.00295022+0.000125578j -0.00416324-0.00159238j -0.00345236-0.00570608j -0.0109215-0.00106999j 0.000108407-0.00807768j -0.0132986+0.00358347j -0.0136871-0.0158261j -0.0123707+0.0106328j 0.000773243-0.00133348j 0.0101297-0.00405158j 0.00197604+0.00630257j 0.00859066+0.00486694j 0.00301128+0.00540208j -0.0152658-0.0015158j 0.00691636-0.00124357j 0.00617393-0.0002361j 0.00632397-0.0108636j 0.00684823+0.00529582j 0.00152254-0.00237521j -0.00614061-0.013276j 0.00872195-0.00591236j 0.0059259+0.0085159j 0.00985691+0.0087648j 0.00426881-0.0179359j 0.0150376+0.00199893j 0.0225435-0.00697206j 0.00612505-0.00451503j 
-0.00618514+0.000845901j 0.00934857-0.00624233j 0.00321533+0.00953432j -0.0313235+0.0320993j 0.0016438-0.0120168j -0.000684691-0.00545822j 0.0148204+0.0018318j -0.00608007+0.0150512j -0.00960992+0.00988388j -0.000852137-0.0142688j -0.00793606+0.00525739j -0.006929-0.000872803j 0.000827172+0.0184173j -0.00348812-0.000774892j 0.00277523+0.00749967j -0.0134547+0.0189839j 0.00417686+0.0040039j -0.00262525+0.00348794j -0.00754627-0.00649879j 0.00739373-0.00489331j -0.00228833-0.00773352j -0.00683231+0.005637j -0.00286705+0.00737109j -0.00396528-0.000605625j 0.00646668-0.00775214j -0.00253407+0.00428748j -0.000310067+0.00426925j 0.00223245+0.000577864j -7.13536e-05+0.000289977j 0.00985299-0.00281949j 0.00612864-0.01209j -0.0115147+0.00126558j -0.0030742+0.00388947j -0.00430084+0.00420804j 0.00698355-0.0108567j -0.00148743+0.00306102j 
-0.0044218+0.00541231j 0.00725617+0.00240411j -0.011352-0.0197219j -0.0244933+0.000743355j 0.00487854+0.00890641j 0.0174028+0.017667j 0.0161026+0.000362314j 0.0116616-0.00103385j -0.00209182+0.0037906j -0.0076379-0.0061311j -0.00755168+0.00179269j -0.00507471-0.00502668j -0.00821617-0.0193471j 0.00300393+0.0124591j 0.00793865+0.00255605j -0.00152441+0.00560228j 0.0121006+0.0103581j -0.00210895+0.000605285j -0.00709995+0.00630958j -0.0003389-0.00988298j -0.00915599-0.0030282j 0.000541802+0.0114695j -0.000138328-0.00536313j -0.00232501+0.0060618j -0.00434492+0.00507634j 0.00039489+0.0028055j -0.00210788-0.0106184j 0.00340733+0.00457174j 0.00227211-0.0086885j -0.00159885+0.00156441j -0.0017986+0.00570405j -0.00321878+0.00951649j -0.00381432+0.00151155j -0.000768383-0.0115313j -0.00323738-0.000839614j 0.00437131-0.00935897j 
-0.00290288-0.00166856j 0.00248949-9.42418e-05j 0.00620597-0.00363662j 0.00475443-0.00922756j 0.00022109+0.0020258j -0.00944324+0.0113975j -0.00752283+0.0118114j -0.008265+0.00708259j -0.00218738+0.000644528j 0.0100462-0.018365j 0.000368555+0.00428481j 0.00710771-0.0157148j -0.00109443-0.0094534j -0.00859794+0.00129879j -0.0169989-0.000998895j -0.0159675-0.00208613j -0.000373589-0.000883722j -0.00413368+0.00132946j 0.00223652+0.00513056j 0.0005627-0.0051781j -0.00231806-0.00100148j 0.0039181+0.00558387j 0.00182488-0.00618822j 0.000385571+0.00351371j 0.00105476-0.00607766j -0.000414833+0.00933235j 0.00372025-0.000429794j -0.0029201-0.00703233j -0.00627248-0.00060565j -0.00369952-0.00529169j -0.0034121-0.00381397j 0.000472549+0.0169213j -0.00223617+0.00196784j -0.00102637+0.00987969j -0.0105746+0.00378801j -0.000862804+0.00658808j 
0.00125214-0.00017575j -0.0013151-0.00835733j -0.0318948+0.00102404j 0.0074739+0.0285985j 0.0206113+0.0106541j 0.017665-0.00398137j 0.001575-0.000382741j -0.000234919-0.00677134j 0.0105985+0.00227044j 0.000494715-0.00187202j -0.0059246-0.00106712j 0.00689281+0.00229559j -0.00896346-0.000657461j 0.00914326+0.00700244j -0.0196778-0.0100934j -0.00322259-0.00526124j 0.00406678-0.00350879j 0.000228173+0.00283609j 0.00636846+1.6607e-05j -0.00775774-0.00283611j -0.00705479+0.00592361j 0.0101696-0.00613512j 3.93783e-05+0.0114775j 0.00383806-0.00184758j 0.0030869-0.000755722j 0.00938708+0.0038504j -0.00272598-0.00103586j 0.00336267-0.0113259j -0.00961563+0.00985842j 0.00234214-0.00221091j -0.00744785-0.011276j 0.00979871-0.00281716j 0.002178+0.0129893j 0.00210381+0.0036908j -0.00522665+0.00393853j -0.000695905+0.00126677j 
-0.00312657+0.00237561j 0.000961088-0.00243024j 0.00928267+0.00171888j -0.00196402+0.00753803j -0.00621692-0.00230408j -0.00777295+0.00915992j 0.00385181+0.007948j 0.00168899+0.0136334j 0.000850464+0.00398593j -0.000731791-0.0099943j -0.000782758-0.0116385j 0.0028254-0.00138441j 0.0093867-0.0137692j -0.0020859+0.00705253j 0.000523899+0.00426366j 0.0107316-0.0123247j -0.00504132+0.0158289j 0.00202745+0.003659j -0.00103791-0.0126707j 0.0045563-0.00516807j 0.00052831+0.00654936j 0.00129234-0.00717999j -0.00202468+0.0141525j 0.00164741-1.92867e-05j 0.00615138-0.0106627j 0.00357195-0.00381522j 0.00562931-0.00129689j 0.00936276-0.0155418j -0.0102328+0.00994085j 0.0114687-0.00714403j -0.00288501+0.00125867j -0.0043344+0.000915644j -0.000417978-0.000452109j 0.0060477-0.00150426j -0.00268828+0.000451557j 0.00484501+0.00290231j 
-0.00735613+0.00183209j 0.0014257+0.00606775j -0.00219103-0.0128719j -0.00233044-0.0245519j 0.0166834-0.00277319j -0.0169718+0.00262942j -0.00783781+0.00360135j -0.0123808-0.00226231j -0.00176579-0.00164039j 0.011816+0.000193217j -0.0119625+0.0039581j 0.0103662-0.00016528j 0.000726771+0.00277695j 0.00554116+0.00384816j 0.000157887+0.00684352j -0.00591414+0.0140053j 0.00411756-0.00148238j -0.00555909+0.000883223j -0.00514546-0.000291589j 0.00461826+0.00141822j -0.0125886-0.00274878j -1.41655e-05-0.00173747j -0.00726717-0.00197061j -0.00603744+0.000727969j 0.00626455+0.00525677j 0.00261793+0.00156523j 0.000741936-0.00473113j 0.0142963+0.00882979j -0.00114766-0.00238144j 0.00717685+0.0115112j -0.00419559+0.00184496j -0.00783566-0.0101297j 0.000332539+0.00278759j 0.00465118-0.00622j 0.000326946+0.00346586j 0.00439215-0.00112319j 
0.00776318-0.00116246j -0.0131859+0.00104454j -0.0170652+0.0290636j 0.0243056+0.00637891j 0.00287961-0.0112289j 0.012549-0.00170404j -0.00194387+0.000440434j 0.0073474-0.0016478j 0.0130676-0.0129703j 0.00362234-0.00825791j 0.00553688+0.0121244j 0.011816-0.00736828j 0.0086626-0.00483063j 0.00485843-0.00328848j -0.00810551+0.0195418j 0.00843501+0.0155306j -0.00600611+0.00167949j -0.00100212+0.00121054j 0.00792337+0.0024243j -0.00187087-0.0015548j -0.0064283+0.00433401j 0.00380911+0.00564615j 0.00223938-0.00530212j -0.0019539+0.00320069j -0.00256263+0.00346394j 0.00156808-0.00261354j -0.00117512-0.00333392j 0.00533398+0.0069286j 0.00284463-0.00851409j -0.00377944+0.000172065j -0.0105119+0.00944778j -0.000414255+0.00213684j 0.00534524-0.00337366j 0.0028047-0.00857074j -0.00534697-0.00411235j -0.000255683-0.00527269j 
-0.00618745+0.00285957j 0.00672656-0.00754261j 0.00608977+0.000859496j -0.00461833+0.0186852j -0.00104171+0.00356543j -0.00976116-0.00471234j 0.00166936-0.00373389j -0.000774581+0.00312635j -0.00383409+0.00456272j -0.00989954+0.000497383j 0.00304734-0.0100516j -0.00929907+0.00463736j 0.00230913-0.00162768j -0.0049135+0.00517036j 0.00239778+0.013376j 0.00491649+0.00185456j -1.88868e-05+0.0078176j 0.00139413-0.00432168j 0.00386029-0.00557999j -0.00248974-0.00233445j -0.00414198-0.0131417j 0.00998345+0.00608064j -0.0054644-0.00979169j 0.00543854-0.00459546j 0.00349221+0.00156123j 0.00590498+0.00470743j 0.00542069-0.0020077j -0.000906357+0.0170675j -0.00969379-0.00691511j -0.00172914+0.0076016j -0.00379487-0.00017859j 0.0118033+0.00226457j -0.000479713-0.00178768j 0.00717856+0.00413776j -0.00358651-0.00132272j 0.00236249+0.00320517j 
