0.00674733-0.00642097j -0.00454247-0.00573949j -0.00717917-0.00319195j -0.00426328+0.0141463j 0.00704236-0.00201101j -0.0130408-0.00417669j 0.00138973+0.00805384j -0.0032999-0.0063478j -0.00700234-0.000842697j 0.00629784+0.00128312j -0.00219003-0.00767925j -0.000304633-4.14261e-05j -0.00146502+0.00129789j -0.00292166-0.000873824j -0.00119201+0.000989936j 0.00237236+0.000730733j -0.00385148+0.000973133j 2.98991e-05+0.00199906j 0.00101354+0.0043075j 0.0041496+0.00169896j 0.00451812-0.0200306j 0.0185717+0.00687017j 
0.00531058+0.00254789j 0.00846525-0.00225077j -0.00345825-0.000140064j -0.0145366+0.00123982j 0.0165688-0.00353367j -0.00950477+0.00293118j -0.00105943-0.00236552j -0.0116461+0.00347809j -0.0189907+0.00174791j 0.00314479+0.000104817j -0.00127688+0.00122281j -0.000819239-0.000513597j -0.00255867-0.000458738j 0.0204232+0.00240931j -0.012542-0.000965959j -0.00038297-0.000164577j -0.00936007-0.000887515j 0.0162616+0.00253575j -0.0132751-0.00881122j 0.00648948-0.0027593j -0.00732601+0.00223801j 0.00203822-0.00409139j 
0.00958741+0.00345239j 0.00215366-0.00813505j 0.00110014-0.00520062j -0.0115994-0.000742691j 0.000419668+0.00432352j 0.00247604-0.00712937j -0.000420804-0.00158975j 0.00386097-0.00049959j 0.0063254-0.00385247j -0.00191041+0.00124977j -0.00125222-0.00548418j 0.00569266-0.000775118j 0.00233309+0.00451251j 0.00802116-0.00503303j 0.0018892+0.00032184j 0.00761376+0.00204304j 0.00390032+0.00663535j 0.00254999-0.00182372j -0.00752735+0.00225698j -0.00540294+0.00163141j 0.0132956+0.0130858j -0.0165109+0.00824394j 
0.00476187+0.00583653j -0.00311855-0.0152483j -0.000556791-0.00674026j 0.00197893+0.00835864j -0.00471385-0.00821505j -0.000687477-0.00840229j -0.000265585+0.0108024j 0.00184959-0.00289889j 0.000931418+0.00913329j -0.00053906+0.00611893j -0.00552899-0.0203815j -0.000326631+0.00190338j 0.00462152+0.0039548j -0.0057452+0.0102336j -0.000773173+0.00408422j -0.00289964+0.0123161j 0.00492393+0.0119464j -0.00645029+0.00432326j 0.00453227-0.0169337j 0.00752273-0.00895166j 0.00580325-0.011822j 0.00315878-0.00782957j 
0.00764838-0.00465122j -0.0045949+0.00235113j -1.16882e-05-0.000616182j -0.00172381-0.00179428j -0.00736701+0.000651541j -0.00182474-0.000958941j -0.00819997+0.00550132j 0.00632401+0.00157712j -0.00135206+0.00227101j 0.00614683+0.00532616j -0.00501651+0.0124596j -0.00575091+0.000813742j -0.000671349-0.00778615j 0.000524608-0.00371428j -0.00579326+0.00121287j -0.0050512+0.00140958j 0.00454209-0.0118629j -0.0029111-0.00370441j -0.0183107+0.00244484j -0.000343318-0.00513262j 0.0123089-0.00386643j -0.000751052+0.0126338j 
-0.00498646+0.00749432j 0.00452284-0.00276145j 0.00190127-0.00464146j 4.13163e-05-0.00417011j -0.00185345+0.00328938j 0.00305055-0.0096144j 0.0033289+0.0146323j 0.000970408-0.00482142j 0.00323808+0.0060172j -0.0005358+0.00284559j 0.00719231-0.00697469j -0.00335362+0.0140704j -0.00416077+0.00216066j 0.00653395+0.00142234j -7.09552e-05+0.00832662j -0.00400909+0.0165292j -0.00688557+0.00091502j 0.0028206+0.00312864j -0.00992432+0.00847815j -0.0112985-0.00433817j -0.00791329-0.00310887j -0.00903277-0.00108294j 
-0.0118083-0.000408272j 0.00247895+0.00571654j 3.89666e-05-0.000203127j 0.000327051-0.00314794j 0.0044697+0.00244706j 0.00488285-0.00565637j 0.00494924+0.0118311j -0.00503544-0.00427966j -0.0028229+0.00200251j -0.0112269+0.0073188j 0.00168426-0.000832621j 0.00197734+0.0111503j 0.00845545+0.000798933j 0.00849788+0.000111618j -0.00263943+0.000190023j -0.00505614+0.0132804j 0.0050367+0.00233624j 0.00466651-0.000455375j -0.00215566+0.014189j -0.00473667-0.0013586j 0.00148831-0.00189459j -0.0119413+0.000411036j 
0.00619364-0.00709279j 7.80451e-05+0.00658643j 0.00059755+0.0019055j -0.00988284-0.00955932j -0.00237672+0.00665588j -0.00484537+0.00647697j 0.0064414+0.00761583j 0.000312567-0.00164862j 0.00152019-0.00129581j 0.00624497-0.0036303j 0.00115309+0.00354044j 0.00947735+0.0104167j -0.00368862+0.00823274j -0.00458067+0.00431426j 0.00184814-0.00403845j 0.00598764+0.010202j -0.00671619+0.00679219j -0.00567941-0.00199246j 0.00242702+0.0127442j 0.0039368+0.0040238j 0.001661+0.00849242j 0.0110143-0.00476755j 
0.00511151+0.0109487j -0.00469913+0.00110758j -0.00246418+0.00231834j 0.00945338-0.0105434j -0.000953247-0.00700766j -0.00765044-0.00324476j -0.0067591+0.000526895j -0.00307461+0.00349481j -0.00223043+0.00107101j -0.00353738+0.00797777j -0.00508046-0.00227848j -0.0071231+0.00743362j -0.00437025-0.00284375j -0.00735174-0.00342318j 0.00708864-0.00168329j -0.0117259+0.00275937j -0.00528473-0.0024289j 0.00276142-0.00803615j 0.000868494-0.00226581j 0.00376143+0.00935523j -0.00909506+0.00753895j 0.00866842+0.00895737j 
0.00797182+0.00780351j 0.00332659-0.00486797j 0.0013044-0.00355957j -0.00285595+0.00552356j -0.00763293+0.00394488j -0.00221551-0.00338907j -0.00147265-0.00784283j 0.00679702+0.000227796j 0.0096011+0.00182223j 0.0157353-0.00816887j 0.00797471-0.00667879j -0.00433893-0.0062874j -0.0170727-0.00115403j -0.00284768-0.000977761j 0.00403717+0.00705842j 0.00685939-0.00768376j -0.0129138-0.00271879j -0.00516486+0.00396802j -0.00698909-0.00560014j -0.0091129-0.00206696j -0.00969721-0.00113102j 0.00581129-0.0030616j 
-0.00392981+0.00124013j 0.000654693+0.00825269j 0.00444954+0.00204195j -0.00368675-0.00718029j -0.0100843-0.00118073j 0.00855449-0.00461207j 0.00325043-0.00551896j 0.00639567-0.00674687j 0.00475274+0.00866852j 0.00561376+0.00146596j 0.0116842-0.000208248j 0.0114374-0.00636856j -0.00195553-0.0158581j 0.000869553+0.00410367j -0.00449047+0.00660464j 0.0110327-0.0035077j -0.00609835+1.59334e-05j 0.00490091-0.00594917j -0.0113974-0.0051608j -0.00117989-0.0123336j -0.00267628-0.00317267j 0.00234115-0.00780833j 
0.000412822-0.0021867j 0.00607145+9.04176e-05j 0.00363638+0.00207337j -0.00615519+0.0039986j -0.00678038-0.00483831j -0.00212221+0.0105787j 0.000434317+0.00413079j -0.00461549+0.0111817j 0.00150582-0.00179882j 0.00681721+0.011617j -0.00401649+0.00917145j -0.00276139-0.00054752j -0.0089096+0.00137691j 0.00589321+0.00157084j 5.57923e-05-0.0106124j -0.00431701+0.00620746j 0.00685944-0.00686538j -0.0128496+0.000407611j 0.00223038-0.00892117j 0.00028061-0.00820646j 0.00213741-0.00183208j -0.00306873-0.00767129j 
0.0039712+0.00715474j 0.00184408-0.000504704j -0.000178762+0.00391299j 0.000532885+0.00126377j 0.00159179-0.00495373j 3.14832e-05+0.00280732j -0.00237743-0.00386113j 0.000981938+0.011454j 0.00130508-0.00534534j 0.00483439+0.00660191j 0.000678617-0.00490328j -0.00479415+0.00853694j -0.00283894+0.00889726j 0.000319187-0.00401308j 0.00294089-0.0123364j 0.0032504+0.00516849j -0.00289449+0.00331829j -0.00216919+0.0045143j 0.00573245-0.00962568j -0.000894603+0.00562827j -0.00550743+0.0130705j -0.00173191-0.00571943j 
-0.00442733-0.00133984j -0.00536586-0.00798385j -0.00412182-0.00340802j 0.00675449+0.00733917j 0.00532639+0.0024429j 0.0052021+0.00711307j 0.00596209+0.00363251j 0.0053937+0.0111819j -0.00584794-1.37433e-05j 0.00709279-0.00292814j 0.00367899+0.0130248j -0.00934627+0.00367715j 0.0074985+0.0103042j -0.00131207-0.00627184j -0.00626829-4.91387e-05j 0.0045685+0.0106844j -0.00144724-0.0128503j -0.00202822+0.0144248j 0.00556908-0.000810606j -0.0031232+0.00223814j -0.00464848-0.00787372j 0.00100997+0.00868664j 
-0.00377482-0.00519871j 0.000373254-0.00955995j 0.00218512-0.00319135j 0.00376549-0.0111725j 0.00523332+0.00223709j 0.000134914+0.000496318j -0.00128696+0.0065496j -0.00321593-0.0073008j -0.0034591+0.00032774j -0.000651244-0.00720245j -0.00292913+0.00423456j -0.00241379-0.00755745j 0.00339837-0.000203917j -0.00335017+0.00221568j -0.00537622+0.00989605j -0.000112848+0.00135822j 0.00285746+0.00115338j 0.00430241-0.00425783j 0.00534765+0.00529761j 0.00138053-0.000969503j -0.0026515-0.00519727j -0.00300737+0.00531959j 
-0.00269927+0.00475729j -0.0079846+0.00172115j -0.00384018-0.00270769j 0.00128195+0.0044103j -0.000127527+5.48194e-05j 0.00498977-0.00293876j 0.00257279-0.000215833j 0.00227809+0.00296314j -0.00476882+0.00253369j -0.000736702-0.00806774j 0.00420282-0.000726123j -0.00293503+0.006271j 0.00550354+0.00356626j -0.00224169-0.000600779j -0.00304771+0.00215341j 0.00378989-0.00403339j -0.00185528-0.00309388j 0.00168774+0.00550642j -0.00299943-0.0013552j -0.00133641+0.00578554j -0.00200661+0.00364333j 0.00180407+0.00483169j 
