-0.0045186-0.00213987j 0.00803021-0.00580554j -0.00849404+0.00693711j -0.0245899+0.0057608j -0.00947925+0.00331939j 0.0131487+0.0016312j -0.00197808+0.000842142j 0.0211562+0.00273761j 0.00140327+0.00272627j 0.00965976-0.00373216j -0.0102954-0.00291075j 0.0176621+0.00432048j -0.00925416-0.00783124j 0.0178739+0.00723481j 0.00723372-0.0112755j 
0.0050513-0.00171293j 0.0133156+0.00339067j -0.00927856-0.00392829j -0.00425592-0.0037032j -0.00775117-0.00336082j 7.38203e-05-0.00592702j -0.00162235-0.00547219j 0.0149476-0.00533438j 0.000902821-0.00439789j 0.00560251+0.00965612j -0.00514629+0.00548732j 0.018881-0.00120774j -0.00701475+0.00251743j -0.00524087-0.00509486j -0.00937288+0.0152584j 
0.000634828+0.0100319j -0.0061553+0.00929906j 0.00665377-0.00588953j 0.00572618+0.00566043j 0.00475701-0.0051369j 0.00650665-0.00681126j 0.0064061+0.000271367j 0.00671172+0.0062158j 0.00608447-0.00183602j -0.0105228+0.00116832j -0.00738029-0.000885236j 0.00390658+0.00984335j -0.00692984-0.00101756j 0.00876676-0.0144849j -0.0204829-0.0127012j 
0.0132125+0.00852454j 0.00565429+0.00946055j -0.00483211-0.00292908j -0.00128305+0.00781808j -0.00927106-0.00402885j -0.00831104-0.00625523j -0.00733105+0.00246804j 0.00113488+0.00321884j -0.00895772-0.00551906j 0.0121411+0.00145049j 0.00650594+0.00294124j -0.00104247+0.00482124j 0.0052566+0.00940687j 0.00122705-0.0125368j 0.0103725-0.00225554j 
0.0112113-0.00753112j 0.00412157-0.00169356j -0.000310654+0.00307525j 0.00936962+0.00289159j -0.00447748+0.00996932j -0.00688109+0.00522428j -0.00383844+0.0100929j 0.00562976+0.00280029j -0.00663125+0.0103412j 0.0019045-0.0109781j 0.00580431-0.00792582j 0.0068211+0.0039166j 0.00346544-0.0074088j -0.00363065-0.00379314j -0.00394679-0.0195304j 
-0.00501594+0.000661218j -0.00335434+0.00417998j -0.00217053-0.00421606j -0.00763141-0.0109484j 0.00741523+0.00541526j 0.000607567+0.000583046j -0.00595087+0.0135186j -0.00306739-0.0019633j 0.00607251+0.00827154j 0.00538498+0.0048092j 0.00387385-0.00807729j -0.00274267-0.0120631j -0.0118371+0.00810002j 0.0109779+0.00193974j 0.00430214+0.00495624j 
-0.0061143+0.00546298j -0.00910187-0.00263766j 0.00717472+0.000474222j 0.0106243+0.00500475j -0.00497789+0.000364639j 0.00166268-0.00626678j -0.0217795-0.0137864j -0.00380483-0.000138251j -0.00629332-0.00313949j -0.00250913+0.0072758j 0.0114963+0.0118453j 0.0063774+0.00510444j -0.00893516-0.0132401j 0.00868151+0.0098494j 0.00661085-0.0015572j 
-0.0031265+0.00507278j 0.00444478-0.00342032j -0.00626276+0.00650174j -0.00930609+0.0121254j 0.00590477-0.00964242j 0.000836878-0.00217645j 0.00742667-0.0079863j -0.0043137+0.00446234j 0.0121457-0.00844112j 0.00462921-0.00430329j -0.00624389+0.00357749j -0.012213+0.00844295j 0.0105018-0.000392446j 0.000960571-0.00106335j 0.0131613-0.00626292j 
-0.00900073+0.00707769j 0.00269287+0.00498663j -0.000604172-0.00484459j 0.00243784-0.00171271j 0.00508699-0.000886468j 0.00268162-0.00276624j -0.00880597+0.0118676j -0.00736948+0.00291596j 0.00526044+0.00105233j 0.00633249+0.0012621j 0.00743355-0.00497596j 0.000277005-0.000296431j -0.00734389+0.00807263j 0.00993374-0.00735449j 0.00844031-0.00310594j 
0.00377424+0.0179529j -0.00219889-0.00992562j -0.0038775+0.00315998j 0.000991314-0.00847617j -0.00110385-0.00509069j -0.00363004-0.0095517j -0.000702809+0.0100628j 0.000360711+0.00965105j 0.000843674-0.00877495j 0.000560165-0.00116603j 0.00293256-0.00734299j 0.00267258-0.00627384j 1.5359e-05+0.00406171j -0.00292417-0.00262668j 0.00131354-0.0100992j 
-0.00322841-0.00701708j 0.000741585+0.00110916j -1.88201e-05+0.00626259j -0.00111511+0.00411829j 0.00361803-0.00876487j -0.00206045+0.0107139j -0.00631444-0.000341003j -0.00316605-0.00165851j 0.00833742-0.0111262j 0.00453901-0.00629154j 0.00106661+0.00230562j -0.00395959+0.00498485j -0.00669098+0.000503201j 0.00572778+0.000620737j 0.0011328-0.00147634j 
