0.0047849-0.00654806j 0.00629059+0.00431048j -0.00176862+0.00647333j 0.00629316+0.00110274j 0.00237643+0.00177051j 0.000201496+0.00150527j 0.00398164-0.00246455j 0.000464563+0.00461553j -0.00210665-0.00154741j 0.00372282+0.000115128j 0.000118986-0.00473699j -0.00184973+0.00242537j -0.00237667-0.00335011j 0.00367753-0.001479j -0.00147259-0.00216563j -0.0011278+0.000642053j 0.000842862-0.00105284j 0.00143364+0.000260357j 0.000341852+0.00318246j 0.000806037+0.000668982j -0.00393874+0.00177138j 0.00137133-0.00124481j 0.00133049+0.00267538j -0.00306391-0.00268379j -0.00016422-0.000644015j 0.000136097+0.00123222j 0.00235215-0.00108737j -4.88286e-05+0.000504945j -0.000431602+0.00127082j 0.0017303-0.000502437j -0.000265194-0.00236707j 0.00285936+0.000881978j 0.00329931+0.000311065j 0.00105051-0.000367637j 0.00208253-0.000382294j 0.00147823-0.00114252j -0.000388306+7.27516e-05j -0.000700996+0.00162147j -0.00135268+0.00112573j -0.00143149+0.00292317j -0.00207495-0.00171466j -0.00197494-0.000887773j -0.00248167+0.000252998j -0.00109065-0.002309j -0.000724851-0.00166166j 0.00101834+8.1958e-05j -0.00131383-0.00218972j 0.00314443+0.000181128j 0.000286133-0.00123073j 0.000252019-0.00230299j 0.00276421-0.00171918j 0.000449821+0.000718421j -0.000668423+0.00261245j 0.00103384-0.000427175j -0.000449087-0.00107249j 0.000643523-0.00242236j 0.000189114+0.0014023j -0.00115067+0.00760203j 0.00988747+0.00444284j 0.00182988-0.0104087j 0.000227897-0.00131993j -0.00761823+0.00327174j -0.000990676-0.000834202j -0.00585429+0.00592602j 0.00445774+0.00302849j 0.00566939+0.00250831j 0.00642974+0.00698075j -0.00517133+0.00775713j -0.00852528-0.0117357j -0.0126+0.00834166j 
-0.0050192-0.0047081j 0.00453585-0.00507241j 0.00431446-0.000872486j -0.00146466-0.00444355j 0.00225705-0.00555302j 0.00514092+0.00109042j -0.00309347-0.003891j 0.00240798-0.002333j 0.00104385+0.00118332j 0.00320008-0.00326051j -0.00616297-0.00178904j -0.000570354+0.00319559j -0.00158693-0.00050096j -0.000383965-0.00443203j -0.00331201-0.000402642j -0.000109605-0.000507567j -0.00348784+0.00223141j 0.000127758-0.00188105j 0.00103916-0.00143424j 0.000424335-0.000550731j 0.000381176+0.00252543j 0.00083427+0.00165373j 0.000992428+0.000748358j -0.00193911+0.000316188j -0.00103971-0.000960706j -0.00099335-0.00110505j -0.000101641-0.0039282j 0.00105476+0.0032633j 0.000591914+0.00214922j -0.00213217+0.00148407j -0.000433734+0.00213248j 0.000763992-0.00159373j -0.000206812-0.00179606j 0.000452486+0.000285166j -0.00252669-0.000599839j -0.00341432-9.50034e-05j 0.00127502+0.000739192j -0.000466704+0.000356721j -0.00242735+0.00154507j -0.000572968-0.000918037j -0.00168978-0.000529415j 0.000214437+0.00182168j -0.000299699-0.000167767j -0.00152289-0.00135405j 0.000923788-0.00229714j -0.000513621+0.00015065j -0.00237269+0.00255445j 0.000968223-0.00108219j -0.0011788-0.000742224j -0.00137717+0.0034004j -0.000391133-0.00116264j 0.00222325-0.000757648j 0.00222343+0.000882496j 0.0016847-0.00118831j -0.00264253+0.000174333j -0.00276159+0.00183484j -0.00362476-0.0011748j 0.00601435+0.00156613j 0.00204444-0.00988535j -0.00963275-0.00218718j -9.66076e-05-0.0038606j -0.000139052+0.00650063j -0.00520625-0.00256941j 0.00595578+0.00690817j 0.00316119-0.00720075j 0.00778894-0.0054546j 0.00134315-0.00553834j 0.00707218+0.0013526j -0.0138402+0.00680754j 0.00627569+0.0137491j 
-0.00424137-0.00533837j 0.00474829-0.00436748j -0.00144721+0.000566523j 4.01037e-05+0.000679456j -0.000946307-0.00226832j 0.00342753-0.00263094j -0.000258813-0.00222522j 0.00168456+0.00504128j -0.00495816+0.00358484j -0.00458672-0.00541423j -0.002953+0.00162308j -0.00269962+0.00114619j -0.00137542-0.000485917j -0.000990331+0.00461068j -0.00220505-0.00394544j -0.00165247+0.00215099j -0.0018708-0.00377735j -0.00302375-0.00221619j 0.00165498-0.00336185j 0.000713668+0.0028036j 0.000918869-0.000541009j 0.00261166-0.000291362j 0.00421989+0.00195753j 0.00206578+0.0028737j -0.00285217+0.00202447j -0.000110463-0.000454098j 0.00073854+0.00185781j -0.000770939+0.00287021j -0.000473379+0.00121291j -0.00221564+0.00139127j 0.00392906+6.44341e-05j 0.00110698+0.00217031j -0.000618571-0.00115045j -0.000232416-0.000250364j -0.00166468-0.00386181j 0.00161059-0.00249932j 0.000179683-0.000475118j 0.000846465-0.00125464j 0.00383577+0.00278048j 0.000481024+0.00397258j 0.000571844+0.00217903j 0.0002301+0.000911875j 0.00223843-0.00157624j 0.000661553+0.000243089j -0.000501447-0.00258529j -0.000708606-0.00137311j 0.00304491+0.000262075j -0.00614663-0.0030134j -0.00202227+0.00247588j -0.0018667+0.00123183j -0.00127087-0.000284923j 0.00291076-0.000614354j 0.000114483-0.00472716j -0.000585134-0.00141733j 0.00342542-0.000218155j -0.00149686+0.00178246j 0.00392973-0.00154751j 0.00441129-0.00311358j -0.00584833-0.0054001j -0.00256604-0.0014951j -0.000441806-0.00250603j -0.000862431-0.00362041j -0.00284055+0.0102235j 0.00673983+0.00133878j 0.0013004-0.000813179j -0.00505729-0.00142436j -0.00722565+0.0080073j -0.00433496-0.00835428j -0.0101528+0.00421549j 0.00471163+0.0106007j 
-0.00509664+0.00541293j -0.0058615-0.00510359j -4.57729e-05-0.00246402j -0.00311418-0.000268552j -0.00405256+0.000516679j -0.00133931-0.00367519j -0.00244162+0.00178748j 0.000336559-0.000552986j 0.00163621+0.00180615j -0.00528321-0.000400846j 0.00084712+0.00639943j 0.00275729-0.00203251j 0.00110224+0.00223488j -0.00301725+0.000917523j 0.00217268+0.00198468j 8.63623e-05+0.00122099j 0.000472+0.00148593j -0.00033488-0.00122296j -0.00321814-0.00157386j -0.00123413+0.00114217j -0.000522751-0.000413819j -0.00165313-0.000540169j 0.000609671-0.00359453j -0.000760488+0.00106705j 0.000857682-0.000720756j 0.00120602+0.00157526j -0.000730382-0.000734158j 0.00146469-0.00364909j 0.00154977-0.00342501j 0.00137465+0.00122961j 0.00137113-0.000190246j -0.000206776-0.000434201j -0.000370535-0.000861094j 0.000111047+0.000512435j -0.00238714+0.00256751j 0.00181434+0.000684421j 0.00206915-0.00124549j -0.00108495+6.68498e-05j 0.0032747+0.00103614j -0.000763762-0.00128435j 0.00308632+5.12586e-06j 0.00171566-0.00104683j 0.00315997+0.00121731j -0.00102565+0.00203701j 0.000682989+0.0053498j -0.0004043+0.00232679j 0.00787316-0.000121652j 0.000625943+0.00410291j -0.00159399+0.00176765j 0.00315074+0.000679927j 0.000182448+0.00179784j -0.000654102-0.000822023j 0.000450187-0.00688361j -0.00333372-0.00487985j 0.00282872-0.00249694j 0.00574065+0.00802843j -0.000578719+0.00194297j -0.00472647-0.00734581j -0.0101424-0.00056554j 0.0060919+0.00320073j 0.000962788+0.00171194j -0.00241171+0.00597735j 0.00242803+0.00391792j -0.000648023-0.00367351j -0.00109637-0.00126291j -0.00184786-0.00174697j -0.00726684+0.00525614j -0.00544496-0.00692453j 0.00804105+0.00733216j 0.00786325-0.00553392j 
-0.00274831-0.000732076j 0.000209489-0.00177905j 0.00697148-0.00279399j -0.00298444-0.0056652j 0.00333828-0.00241965j 0.00111567+0.0035775j -0.00296107-0.00170559j 0.00102076-0.00448425j 0.00269619-0.00138045j 0.00291486-0.000828101j -0.0021954-0.000351271j 0.00143294-0.000858978j 2.02333e-05+0.000429507j -0.00391765-0.00369729j -0.000216547-0.000257999j 0.00141683-0.00178699j 0.000921651+0.00309165j 0.00110841-0.00149878j 0.00135828+0.00061612j 0.000465749-0.000771316j 0.00422158+0.00390272j -3.38953e-05+0.00281068j -0.00237488-0.00127204j -0.00253333+0.0055174j -0.00234044-0.000594868j 0.00031762-0.00249832j -0.00569394-0.00418412j -7.55556e-05+0.000522139j -0.000989719-0.001187j 0.0007891-0.00233509j -0.00148564+0.00296584j -0.00225216-0.00506022j -0.00192768-0.00190563j 0.000313032+0.00169808j 0.00036273+0.00262238j -0.00383928-0.000427874j 0.000761983-0.00200279j 0.00160517+0.00135453j -0.0003457-0.00092028j -0.000992552-0.000656615j -0.00450457+0.0017021j 0.000781905+0.00104221j 0.000561316-0.00170419j -0.00100814+0.00424401j 0.00240947-0.00403505j 0.00431462+0.000476453j -0.00296999-0.0015854j 0.00470083-0.00584967j -0.000893533+0.000863038j 0.000155714-0.000833845j -0.0020049-0.00472238j 0.000394615-0.00144801j -0.00277218-0.00118666j -0.00369399+0.000974401j -0.00402555+0.00263983j 0.00292412-0.00307203j 0.00134992+0.00394647j 0.0026853+0.00272387j -0.00286588-0.00504888j -0.00798707-0.00281263j -0.0005962-0.00300663j 0.0136698+0.00901551j -0.00331973-0.00129222j 0.00604513+0.00494895j -0.00347704-0.00471675j -0.00217699-0.0116467j 0.00332581-0.00866469j 0.0102041+0.00168776j -0.00170389+0.0069507j 0.00950891+0.00223302j 
-0.00311405+0.00215203j -0.00240209-0.00185338j 0.00115481+0.0024205j 0.00164184-0.000899962j 0.000633148+0.000566507j -0.00209512-0.00191418j -0.00133628-0.00259425j 0.00730184-0.00141232j 0.00146951+0.00500587j -0.00272869+0.00434502j 0.00154989-0.00167803j 8.1638e-06+0.00269108j -0.00193924+0.00192094j 0.00369875-0.00269535j -0.00362544+0.00136112j 0.000588716+0.00377634j -0.00236855-0.00143618j 0.000357055-0.000419931j -0.00308609+0.00262375j 0.00116586-0.000600436j -0.00323962+0.00113247j -0.003156-0.00421651j 0.00181406-0.00480162j -0.000375431-0.00254246j 0.00246546+0.000833064j 0.000606959+0.00238064j 0.00309373-0.000806964j 0.000905682-0.00123131j -0.00102304+0.00224195j 0.000415198-0.00213851j -0.00427703-0.00227816j 0.00141747-0.00144162j 0.00209303-0.00113639j 0.00157532-0.00339742j -0.00156588+0.00270211j -0.00169522+0.00167589j -0.00189478+0.000544191j -0.000812003+0.0052368j 0.000657642-0.0052151j 0.00514174+0.00199001j 0.00462643-0.000552155j -0.00119316-0.00114287j -0.00105714+0.0016098j 0.000428777-0.000464475j -0.00406777+0.00262303j -0.00194011-0.00105602j -0.00121184-0.00473784j -0.000462377+0.00361773j 0.00318709+0.00308643j -0.00184365+0.00145988j -0.00196977+0.000482107j -0.00445913-0.00280335j -0.00332646+0.00102104j -0.00474127-0.000453473j 0.000640574-0.00615891j 0.00200794+0.000531036j 0.000237946-0.00429691j -0.000104132+0.00143282j 0.00162483+0.00477342j -0.00813693-0.00705727j -0.00109953+2.76766e-05j -0.000619894+0.0103367j 0.0141921-0.00107704j 0.00119663+0.000342839j 0.00455244-0.00449171j 0.00360735+0.00616372j 0.0121061+0.00691699j -0.00751345+0.00888487j -0.00806339+0.00356611j 0.00540892+0.00739275j 
-0.00302158+0.00698476j -0.00747929-0.00125247j 0.00540316+0.00293924j 0.000978862-0.00281781j -0.000344045+0.00544159j -0.00735901+8.15852e-05j -0.000880716+0.00221275j 0.00260017-0.00178459j 0.00500701+0.00147105j -0.0013755+0.00479741j 0.00335983+0.00350387j 0.00417954+0.000561614j -0.000685438+0.00088233j 0.0042836+0.00112624j 0.000577203+0.00522173j 0.0039516+0.00130461j 0.00214411-0.000331062j -0.000320814+0.00573214j 0.00114296+0.00195775j 0.000607713+0.000594615j -0.000273865-0.000167399j -0.00214857-0.00176377j -0.00260656-0.000183354j 0.00226552+0.00215529j 0.00504077+0.00266598j 0.00218615+0.00196056j -0.000569259+0.000819882j 0.00111209-0.00150955j -0.000567605-0.00160076j 0.00177161-0.00152428j -0.00297866-0.00034824j -0.0033882-0.000887625j -0.000288006+0.00255362j -0.00191171-0.000183913j 0.00367168-1.56402e-05j -0.000476785-0.000953315j -0.0015702-0.000690296j -0.000197803-0.00185753j -0.00289251-0.00273553j 0.000911473-0.00265228j 0.00191117+0.000852594j 0.00113498-0.00135309j -6.66764e-05-0.000304178j 0.00221891+0.00200281j 0.00206569+0.000963088j -0.00204023-0.00102531j -0.000833447-0.0016598j 0.000620407-0.000693722j 0.0027151-0.00572437j 0.0068471+0.00186712j 0.00362016+0.00693j -0.00119743+0.00316124j -0.0031464+0.00145432j 0.000200348+0.000185797j -0.00628246-0.00028186j 0.0045212-0.000546645j -0.00474594+0.00236641j -0.00359772-9.49573e-05j -0.000349635-0.00106045j -0.00382091-0.00400129j -0.00039553-0.00173403j 0.00829073+0.00190689j -0.00057331+0.00223408j -0.00104702+0.00272505j -0.00348097+0.00286497j -0.00502132-0.00332929j 0.0122083+0.00654969j -0.00350328+0.00754306j 0.00557221-0.000857561j 0.00548894-0.00167478j 
0.00480909+0.00081984j -0.00249511+0.00481878j -0.00391494+0.00473416j 0.00315657+0.0030823j -0.00474665+0.000286482j 0.000150306-0.00645391j 3.20272e-05-0.00221307j 0.00222918+0.00216586j -0.00284813-0.00447246j 0.00402842+0.00181453j 0.00415505-0.00288227j 0.00104181+0.000975643j -0.00285333+0.00464276j 6.02641e-05+0.00140922j 0.000867223-0.00210411j -0.00540038+0.00194368j 0.00191955+0.00246478j -0.00456118-0.000638176j -0.00411773+0.00338284j -0.00404122-0.00601562j 6.82943e-05+0.00289989j 0.0010179-0.00403592j 0.00289624-0.00202036j -0.00250063+0.00220222j -0.00319236-0.00105546j -0.00429445-0.00167008j -0.000136041+0.00470836j -5.95157e-05+0.00581825j 0.00246599+0.00421141j -0.000493799+0.000740356j -0.00514779-0.00120012j -0.000319924-0.0012646j -0.00134932-0.0027765j -0.00296496-0.00087057j 0.00302114-6.78156e-05j 0.00421357+0.000373585j -0.00225976+0.000561509j -5.67962e-05+0.003311j -0.00586249-0.002482j -0.00263793+0.000845635j -0.00434281-0.000758396j 0.000805073+0.00109576j 0.000740238+0.00527481j -0.00628417+0.000303274j 0.00366158-0.00357099j 0.00216061-0.000708066j 9.5159e-05+2.11846e-05j 0.00466702+0.000350652j 0.00203989-0.00215242j -0.0036625+0.00378442j -0.000591099-0.00223964j 0.0016477+0.000130227j -0.000215222-0.00243879j -0.00262196-0.00450464j -0.00475356+9.52467e-06j 0.00148902-0.002204j -0.00328062+0.00275334j 0.00248051+0.00710116j 0.00728444-0.0052964j 0.00397284-0.00255345j 0.00376363+0.00188925j 0.0039451+0.00576166j -0.00489053+0.000382751j 0.00981651+0.000702859j -0.0030396-0.0153675j 0.0111507-0.0103634j -0.00181966+0.000517928j -3.14327e-05+0.000636954j 0.00169515+0.00110135j -0.00244233+0.00158703j 
0.000775283-0.000895462j 0.000453285+0.00142462j 0.00289773-0.00242455j 0.000464531-0.000534745j 0.000628124-0.00138785j 0.000361829-0.00138425j 0.000507529-0.00223276j 0.00386798+0.000344119j -0.00202525-0.000977473j -0.00134996-0.00145531j 0.00257626+0.000328259j 0.0015532-0.000414451j 0.000735778+0.00503164j 0.00448191-0.00115583j 0.00138965-0.00308608j -0.00136516+0.00108222j -0.00473306-4.93768e-05j -0.000391823+0.00265235j -0.000815378-0.00441885j -0.000184499-0.00102145j 0.00215624+0.00277452j 0.000571603-0.00400533j 0.00789718-0.00440884j 0.00422469-0.0006024j -0.00129762+4.79432e-05j -0.00147135-0.00352781j 0.00354439+0.00217435j 0.00367421+0.00144485j 0.00309951+0.00488815j 0.000730559+0.0035028j 0.000926573+0.00110077j 0.0039531+0.00342544j -0.00251974+0.0011529j -0.0034559+0.00200188j -0.00722851-0.00348488j -0.00280463-0.000382258j -0.000776769+0.00510372j -0.00279184+0.000115418j 0.00360642+0.00559961j 0.00123538+0.000776331j -0.00104908-0.00179124j 0.000322401+0.00117526j -0.0009775+0.000182028j -0.00523179-0.00226131j -0.00338486-0.00113983j -0.00330505+0.00256962j -0.00101956+0.0019782j -0.00155306+0.00672058j -0.00768504-0.00178227j 0.00135338+2.93994e-05j 0.00663153-0.00438051j 0.0080709-0.00162432j 0.000961352-0.0037874j -0.0017177-0.00571205j -0.00209647+0.00308906j -0.00135851+0.00212704j -0.00103277+0.00497575j 0.00340722-0.00277099j -0.00235703-0.00254557j -0.00468441+0.00647523j -0.00223423+0.000900593j -0.00771323-0.00729929j 0.0085429+0.0121303j 0.012749-0.0105145j -0.00297594-0.00587575j 5.06135e-05+0.00261065j 0.00685803+0.000145235j -0.00226046+0.000468304j -0.00545739+0.00533062j 0.00728926-0.000327213j 
0.000487662+0.00174338j -0.00191617+0.00161736j 0.000173027-0.00236099j -0.00197454+0.0014797j -0.00206724+0.0017789j -0.00074727-0.00210894j 0.000800392+0.00194915j -0.000558119+0.0017782j -0.00570355-0.00157051j -0.00319939-0.00323889j 0.00455691+0.00124235j 0.00180092-0.00229632j -0.000917798+0.00574502j 0.00112182+0.00152339j 0.00486123+0.000997601j 0.00254645-0.00147693j 0.000673694-0.00831254j -0.00101572+0.00187643j 0.0014382-0.00207385j 0.00207435+0.000366675j 0.00267428+0.00156818j 0.000186501-0.000293136j 0.00134056-0.000699543j 0.00772523+2.89005e-06j 0.00153015-0.00188241j 0.00243125-0.00259406j 0.00282207+0.00317229j -0.00376751-0.00364775j -0.00105569+0.00115316j -0.00244285+0.000239599j 0.00117918-0.00166544j 0.00343629+0.00402347j -0.00303704+0.00119926j 0.00216659-0.00646373j 0.000576432-0.00611044j 0.00359683+0.000275255j -0.00185686+0.00198306j -0.00314746-0.00071055j 0.00455875-0.000430236j -0.00183969+0.00473013j -0.000761587+0.000404667j -0.0032256+0.00208136j -0.00114733-0.00144085j 0.00170075-0.00498513j 0.00044971+0.00377825j 0.00254203+0.000154898j 5.55312e-05+0.00136327j -0.000851642-0.00398239j -0.00231119+0.00647333j -0.00277495-0.00709999j -0.000380555-0.00409886j 0.00237739-7.31878e-05j -0.0038226-6.36789e-05j -0.00265861-0.00159915j 0.00340575-0.00233424j 0.00347926-0.00453104j 0.00979052-0.00280383j -0.00369151+0.0113643j -0.00659989-0.00324313j 0.0079299-0.00574506j -0.00558764+0.00100859j -0.00211878+0.00690216j 0.0082071+0.00661722j -0.00215508+0.0040011j 0.00412229+0.00330152j -0.00731724-0.000778011j 0.00813948-0.00232828j -0.00162048+0.00538347j 0.00416642-0.00610946j -0.00474493-0.000830989j 
0.00259971-0.0010577j -0.000683437+0.00180589j -0.000157818+0.00461462j 0.002532-0.000564242j 0.00107996+0.0030815j -0.00371159+0.000599547j 0.00215834+0.00143284j -0.00218938-0.000499294j -7.44964e-05-0.000549211j 0.000583836-0.00101125j -0.000588848+0.000247552j -0.000626588+0.00442479j -0.00185989-0.00447798j 0.00322947-0.00187257j -0.00140429+0.00169193j 0.00406568+0.00243194j 0.00521411+0.000558367j 0.000722539+0.00463385j 0.00327374+0.00389234j 0.000760642+0.00426791j -0.00255562+0.00145868j -0.00248746-0.00150629j -0.00215438+0.00131817j -0.00254055+0.00015273j 0.00258266+0.00412769j 0.000324201+0.00325059j 0.00448668-0.00200245j -0.0030545-0.00372214j -0.00246814+0.00060285j 0.00235538-0.00460883j -0.00157642-0.00109729j 0.00181563-0.00121669j 0.00328826+0.00235444j 0.0051934+5.97824e-05j 0.00299432+0.000871577j -0.00350833+0.00336474j 0.000482782+0.00121263j -0.0031484+0.00142701j 0.0068655-0.000181817j -0.00254837+0.00158456j -0.00326993+0.000439181j -0.00286888-0.000444668j 0.00292939+0.00164545j -0.000698377+7.63983e-05j 0.000729495-0.000828676j -0.00159865+0.00489513j -0.00227979+0.002432j 0.00840671-0.00315573j -0.00548056+0.00286265j 0.00426247+0.0010607j 0.00565493-0.00468961j 0.00135357-0.00246262j 0.00108857-0.00119832j 0.000936256-0.000602918j 0.000781631+0.0030895j 0.00104306+0.000843256j 0.00206584+0.00743899j -0.00573861-0.00332201j 0.00469543-0.0136606j 0.00597644+0.0065149j -0.000549335-0.00285467j -0.0128807+0.00719012j -0.00305747+0.00401733j -0.00835234-0.000388942j -0.00160111+0.00449923j 0.00793802-0.00874086j 0.00816793-0.000416557j 0.00150221+0.00659285j -0.00755456+0.00145617j -0.00495643+0.00907575j 
