0.00110743+0.00461261j -0.00231028-0.000731311j 0.000460779+0.00273135j 0.00150384+0.00293503j 0.00217262+3.11984e-05j -0.00030954-0.0040396j -0.00248078-0.000224006j -0.000624212-0.00201879j 0.000114922-0.00189213j 0.000167409-6.39607e-05j 0.000104586-0.00196149j 0.00277492-0.000500109j -0.000818765+0.000509017j -8.6377e-05+0.000490517j -7.42059e-05-0.00216021j 5.79188e-05-0.00116933j -0.000836523-0.000337262j 0.000640583-0.00125877j 2.89736e-05-0.000800048j 0.00190506-0.000341672j -0.000926728+0.000308014j 0.00123963+0.000342343j 0.00102648+0.000448681j -0.000759516+0.000461601j 3.72826e-06+8.01238e-05j 0.000787107+0.000804037j -0.000751996+0.000657739j -0.00202681+0.00051591j 1.13087e-05-0.000374345j 0.00018741+2.01433e-05j -0.00132352+0.000927422j 0.00104593+2.64129e-05j -0.000497264+0.000408478j -0.000449185+0.00058039j -0.000939748+0.000358571j -0.000249311+0.000772005j -0.000355325+0.00129094j 0.00183697-0.000216019j 0.000992183-0.000600603j 0.000403277+0.000425415j 0.000450008+0.00105409j 0.000557088+0.000246876j 0.000796255-0.000874969j -0.000602332-7.76417e-05j -4.3158e-05-0.000173506j -0.00071884-0.000243951j 0.00114014-0.000994545j 0.000305943-0.000834039j -0.00141127-0.000492409j 0.00079442-0.00035031j 0.000443574+0.00132367j -0.000162078-0.000483926j -0.000372078+8.89972e-05j 0.000184156-0.000542645j 0.00105558+0.000157937j 0.00173142+0.000604155j -0.000115991-0.000414279j 9.05107e-06+0.000211287j 0.00232639+6.55458e-05j -0.00225432+0.00107325j 0.00105761-0.000867401j 0.000588024+0.00141843j 0.000816152-0.00130675j 0.000167003-0.00135537j -0.00224383-0.000255534j -0.000457784+0.000543378j 0.00272535+0.00158343j -0.000193787-0.00139056j -0.0010858+0.000475983j 0.00875229-0.00086574j 0.00449569-0.00953453j -0.0217553-0.00324606j -0.0146867+0.0137986j 0.00835782-0.00611352j 0.110605+0.00159427j -0.0848975+0.0019624j -0.338009-0.00291064j 
-0.00234858-0.000728469j -0.00111945-0.00465072j -0.0014502-0.00295133j 0.000323717+0.00274584j -0.000201428-0.00423753j -0.00316263+0.0004243j -0.00013859+0.00038508j 0.000729978+0.00131908j -0.00119816-0.000760032j -0.000165388+7.61125e-05j -0.00193893+0.000139958j 0.000429436-0.00151702j 0.00193949+0.00100144j -0.000443852+0.00101524j -0.00117856+0.000333746j -0.000843759+4.08312e-05j -0.000590535+0.000802668j -0.00129862-0.00133652j -7.38819e-05+8.49802e-05j -0.000276578-0.000894116j 0.00105459-0.000643049j 0.00210461-0.00109782j 0.000413958-0.000529943j 0.00102921+0.000592195j -0.000516671-0.000285611j 0.000542178-0.000437862j 0.000441482+0.00065086j -0.000298139+0.00152388j -0.00136249+0.000704429j -5.75293e-07-0.00109556j -0.000389868+0.00120916j -0.00135468-0.000566369j 0.000631866-0.00069051j 0.000877018-0.000242935j -0.00036522+0.000229495j 0.000868565-0.000294466j 0.00106302+0.000215435j 0.00112497-0.000780915j 0.000332316+0.000595881j 4.63708e-05-0.000471845j 0.00136651-0.000568685j 0.000748161-0.000853881j -0.00104504-0.000165164j -4.36754e-05+0.000500651j 0.00127941+5.06229e-05j 6.09041e-06+0.000312525j -0.000287661-0.000713738j 0.000305689+0.000582496j -0.000313649-0.00020649j -0.000568285-0.000682569j 0.000822317-4.41425e-05j 0.000563402+1.17177e-06j -0.000653414+0.000628265j -0.000143235+5.50133e-05j -0.000187206-0.000410781j -0.000186489+0.000160374j 0.000153757+0.000300909j 0.00374588-0.000535035j 0.000246276+0.000778085j -0.000479429+0.00220415j -0.00192295-0.000718398j 0.00117059-0.00110642j -0.00145299+0.0010562j 8.73696e-05-0.000787655j -0.000316731+0.000955527j 0.00384865+0.00145493j 0.000490748+9.5612e-06j 0.000343831+0.000664925j -0.00159804+0.00232886j -0.000926423-0.00194674j -0.0182826-0.00160023j -0.0124971+0.0164981j 0.0148173+0.00233749j 0.10934+0.000744635j -0.00845982+0.00605522j 0.337659+0.00285422j -0.0848982+0.00202085j 
-0.00473877-0.000540174j -0.00149643-0.00600217j -0.000678603-0.000156888j -0.00180924+0.000863196j 0.00126984-0.00248896j -0.00357404-0.00119656j 0.00334383+0.00308926j 0.00139795+0.00208216j 0.00233858+0.00403392j 2.79111e-06-0.00137984j -0.0021712+0.000537064j -0.00151689+0.00121598j 0.000283502-0.00225856j -0.00231381-0.00266907j 0.00280788+0.00247286j 0.000603708+0.00109915j -0.00178457+0.000266606j -0.00169831-0.00157522j 0.000888417-0.00286919j 0.00150645-0.00227731j 0.00361288+0.000137254j -0.00036541+0.00108198j -0.00249423+0.0018646j 0.00054258+0.00241474j 0.000468435-0.00179798j -0.000919954+0.00018038j 0.00316107-0.00296266j 0.000717004-0.00150852j -0.00161975+0.000233721j -0.000105116+0.000560935j 0.000363724-0.00143723j -0.000415038-0.000266988j 0.00253274-3.60734e-06j 0.00128588+0.000262355j 0.00129315-0.0022002j 0.00140938+0.000107927j -0.000598256-0.00176404j 0.00176823+0.000988081j 0.000268908+0.00147192j 0.000149368+0.00137492j 0.000109737-0.000724493j -0.000812038-0.00111128j 0.0033362+0.00127699j 0.000354458+0.000169212j 0.000796857-0.00079275j 0.00344634+0.00106618j 0.000519268-0.0020455j 0.0019634-0.000308928j -0.00236328+0.00132518j 0.00183355-0.00284633j -0.000777005-2.25708e-05j 0.00410853+0.00022991j 0.00397184-0.000768204j -0.00593165+0.000541801j 0.000712729-4.79977e-05j -0.000216965-0.00191175j 0.00315961+0.000558732j 0.00181519+0.00295725j -0.00117026+0.000901577j 0.00475987-0.00274141j 0.00230082-0.00234907j 0.00221447+0.00134835j -0.00626422+0.00585521j -0.000546198-0.00074469j -0.00134498+0.00747153j 0.0193924-0.00157888j -0.0047175-0.00670639j -0.0138832-0.00417583j -0.053807+0.0115749j -0.0243888+0.0113499j -0.114214-0.01939j 0.0178789-0.0100127j -0.0991322+0.00848402j 0.0571294-0.0192991j -0.316378-0.00799356j 0.00963944+0.0130459j 0.0243306-0.00802286j 
0.00111325+0.00626411j -0.00506993-0.00107925j -0.000902072+0.000314707j -4.52985e-05-0.00087533j 0.00303728+0.00187643j -0.00122907-0.0026647j -0.00363224-0.00102125j 0.0024869+0.00292287j -0.00150414+0.00249724j 0.00211005+0.00100011j -0.00024462-0.000678584j 0.00237338+7.55042e-05j 0.00497054-0.000726938j 0.000888954-0.000376221j 0.00041387+4.0905e-05j 0.000642485-0.00127593j -0.000929362-0.00229232j -0.000627891-0.000526964j 0.00152734-0.000138859j 0.00573243+0.00110551j 0.000394798+0.00101284j 0.00131252-0.000654598j -0.0033021-0.000303667j -0.00121519+0.000270188j 0.000355165+0.000213312j 0.000360115+0.000347635j 0.00355904+0.00060181j 0.00168228+0.000278648j -0.00144089-0.00106968j -0.00320432+0.000696515j 0.000870686+0.000583051j -0.00147103+0.00170408j -0.00165651+0.000496107j -0.000598397-0.000316327j 0.00110747+0.001956j -0.000630923+0.000950962j 0.00406676+0.000754663j -0.000690857+0.000137182j 0.000911678-0.000208378j -0.00204561+0.000507869j 0.00128861+0.000519898j 0.00252167-0.000500408j 0.000804184+0.000300301j 0.00124051-0.000168253j -0.00377984+0.00052406j 0.000646525+0.000617153j 0.000119896-9.38342e-05j 0.00111071-0.000218769j 0.00470346-0.00187716j 0.00221046-0.000864265j 0.00117365+0.000767633j 0.00138801+0.00149137j -0.00284042+0.000664742j 0.00231663-0.0016158j -0.000800931+0.00243687j 0.00250301+0.00408081j -0.00178597+0.00105793j 0.00574788-0.00246234j 0.00254971+7.36919e-05j -0.00108432+0.00246205j -0.000607315+0.00172607j -0.000894133+0.001716j -0.00734868-0.00032262j 0.0137187-0.00768562j -0.0234129+0.00211071j 0.00377595+0.0133293j -0.00310668-0.00250046j 0.0202799-0.00694228j -0.0171356-0.00293872j 0.136621+0.00306765j -0.0299203+0.0179342j 0.012929-0.0212274j -0.00151347+0.000558402j 0.303029+0.00638596j 0.0567285-0.0209596j 0.0260654-0.00908326j -0.0114839-0.0134274j 
-0.00259538+0.000187713j -0.00144866-0.00307104j -0.00335111+0.00438932j 0.0036563+0.00664771j -0.00407498-0.00600688j -0.00184423-0.00461404j 0.000963075+0.00288582j 0.00339153-0.00347806j 0.00170725-0.00542454j -0.00184317+0.000667486j -0.000411409-0.000447265j -0.000490116-0.00135157j 0.000817485+0.0028276j -0.00220681+0.00274299j -0.00104914-0.00107402j -0.00113736+0.000169176j -0.00208215+0.00171512j -0.00234211-0.00524056j -0.00244076-0.00134667j -0.000513601+0.00069583j 0.00306497-0.00294664j 0.00101011-0.0023285j -6.94674e-05+0.000312654j -0.000318707-0.000386989j 0.00368751-0.00033666j 0.00219669-0.000393422j 0.0064783+0.00195169j 0.00155866+0.00242082j -4.63069e-05+0.00220631j 0.000330804-0.00159704j 0.00382618+0.00340563j 0.00260785-0.00311565j 0.00212283-0.00214224j 0.00134774+0.000765503j 0.00595055-0.00150963j 0.00270586-0.00102092j 0.00508481+0.000967224j -0.00304527+0.0029333j -0.00346102+0.00237572j -0.000996026-0.00132946j 0.000690944-0.00078079j 0.00276449-0.000147671j -0.00689385-0.00154645j 0.00325626-0.000229526j 0.0019677+0.000770996j -0.00147074-0.00223981j -0.00503298-0.00195711j -0.00354424+0.000610986j 0.0044541-0.00329146j -0.00685434+0.000107497j 0.00387418+0.000543913j 0.0023962-0.00180121j -0.00268023+0.00344468j -0.00371714-0.00215829j 0.00880363-0.00373432j 0.0080192-0.00356332j 0.00426578-0.0020352j -0.00822312-0.00233945j -0.00955358+0.0118189j 0.00850487+0.0142753j 0.00379422-0.00620926j 0.0109894-0.00794386j -0.0230862+0.00848282j -0.0412899+0.00567405j 0.0248396+0.0105124j -0.010638+0.00642806j 0.0578488+0.0027321j 0.0261639-0.00724995j -0.0898931+0.0116469j -0.0218429+0.0200033j 0.0220999-0.00467149j -0.00720707+0.0047794j 0.31259+0.01152j -0.00501202-0.0161759j 0.012917-0.00783034j 0.0201414+0.00402925j 0.0122904-0.0138172j 
-0.00639656-0.00391409j 0.00179472-0.00536958j -0.00240525-0.00733438j -0.00561671+0.00232179j -0.00139368-0.00553555j -7.30335e-05+0.00757766j 0.00488844-0.00117197j 0.00150738+0.000989034j 0.00032834-0.0011744j 0.000102091+0.00100738j 0.000652702-0.00136233j -0.00624845-0.00402101j 0.000975525+0.00388527j -0.00147032+0.00413509j 0.00388423+0.0042615j 0.00375204+0.00187783j 0.00195304+0.0013012j -0.0036369+0.00231119j -0.000840338+0.0067539j -0.00272524+0.0016863j 0.00207572-0.000633718j -0.00399937-0.002308j -0.00141828-0.00260015j 0.00141496-0.00202816j 0.000309426-0.00113882j -0.00318823-0.00351237j 0.000786024+0.00258721j 0.00118186+0.000747889j 0.00277662+0.00138684j -0.00288872-0.00206478j 0.0016526+0.000118249j -0.00250356-0.00124135j 0.0044743+0.00028007j 0.00334485-0.00013712j -0.00604114+0.000798689j 0.00127866-0.000605148j -0.00258092-0.00316218j -0.00571289+0.00372901j -0.000526765+0.00119886j 0.0043937-0.00434972j 0.00329607-0.00371025j -0.00527514-0.00169519j 0.00275439-0.000704454j 0.00038958+0.000178263j -0.000948594+0.00661209j 0.00447498-0.00143444j -0.00487714+0.00769075j 0.000587881+0.00639312j -0.00205705-0.0022563j -0.00186342+2.68049e-05j 0.000652439-0.00468934j 0.000162945-0.00540542j 0.00462264-0.00205885j -0.00834191+0.00569522j -0.00290678-0.0031446j -0.00174261-0.00333931j 0.00301899+0.00709807j -0.00129622-0.00502091j 0.00630079-0.00604065j 0.0280223-0.0044561j -0.0112076+0.0112767j 0.0152786-0.0247533j 0.0268778+0.00016514j -0.0359897+0.012471j 0.0235131-0.00783266j 0.0646764+0.0217295j -0.0477194+0.00653079j -0.0326066+0.0125416j -0.00482357-0.0103572j -0.0329974-0.00766084j -0.0166384+0.00405032j 0.276268+0.00860308j 0.000680054+0.000306116j 0.00511177-0.0112491j 0.0102213+0.00893551j -0.00774226+0.0220064j 0.0326567-0.000287938j 
-0.000597903+0.00892982j -0.00967793-0.00389581j -0.00492471-0.000715499j -0.00100026+0.00361108j 0.00324627-0.00397313j -0.00321433-0.00413985j -0.00262884+0.00160069j 0.00420036+0.000145975j -0.00041665-0.00191905j 0.00123548+0.00506756j -0.00356555-0.00339988j 0.00332282-0.00316138j 0.00707651+0.00130967j -0.004489+0.000348507j -0.00197707+0.000249945j 0.00376812+0.00285313j -0.000478324+0.00182144j -0.00319428-0.00372287j -0.00253262+0.00055243j 0.00435026+0.000238586j 0.0054359-0.00189136j 0.0076076-0.00191591j -0.00287328+0.000945963j 0.00361788+0.000913264j -0.000257198-0.00280385j 0.00322276-0.00259869j 0.00114215-0.000577371j -0.000269232-0.000314809j -0.00538056+0.00153736j -0.00339823-0.00209732j -0.00288881+0.0030052j -0.0047807+0.00118891j 0.00221708-0.000319043j 0.00219775-0.000344363j -0.00275061-0.00107098j 0.00520335+5.64753e-05j 0.00316322-0.000918258j 0.00119471+0.00133827j 0.00109028+0.00255175j -4.93226e-05-0.000965646j 0.00566061+0.000811693j 0.00473396-0.00210423j 0.00444534+0.000478865j 0.00243435-0.000111463j -0.00347334-0.0040523j 0.00766712-0.000172335j 9.56963e-05-0.00362243j 0.00565534-0.00173043j -0.00179392-0.000161404j 0.0159215-0.00459753j 0.0054735+0.00286551j 0.0076834-0.00604898j 0.00675598-0.00153113j -0.00930102-0.00402926j -0.00552053-0.00205348j 0.00662119-0.000208609j -0.0123003+0.00493226j 0.0248059+0.00506487j 0.00118343+0.00166509j 0.0058254+0.0152068j 0.00697793-0.0170417j 0.0269061-0.00817352j -0.0262159+0.00450751j 0.00309799+0.00581621j -0.106859-0.0260806j 0.081015-0.0130977j -0.0275287+0.0245954j -0.00216652+0.00476201j 0.00559435-0.00677816j 0.0147458-0.0270377j -0.268589-0.00599908j -0.00933702-0.000982296j -0.00412817-0.000748499j -0.00608858+0.00835447j -0.0251115-0.00642339j 0.0297663-0.00248672j 0.0026446-0.0202113j 
0.00685191+0.0021597j 0.000471837+0.00633025j -0.00124015-0.00434698j -0.000130188+0.000200161j 0.00158946+0.00484997j 0.00390603+0.00312945j -0.00634379-0.00107655j -0.00177058-0.00507851j -0.0046016-0.00330481j 0.00133118-0.00060922j 0.00433483-0.00276308j 0.00660048+0.00146519j 0.00497029+0.00157665j 0.000470785-0.00239867j 0.000175571-0.00526942j 0.00127153+0.00129613j 0.00378568+0.00375785j -0.000357339+0.00450984j -0.00337506+0.00231862j 0.00446248-0.00316235j -0.00246403+0.00150938j 0.0021271+0.00193872j -0.00278936-0.0004115j 0.0016486-0.000261172j -0.0011415+0.00261747j 0.0068945+0.0012973j -0.00556169-0.00121036j 0.00506564-0.000760354j -0.0038228-0.00120901j 0.00155678+0.000813235j -0.00251129-0.00053719j -0.00727058+0.0022559j -0.00861753+0.000923039j -0.00267461-0.000640911j -0.00240097+0.0010274j -5.41517e-05+0.000892628j 0.000458047-0.000233905j 0.00549051-0.00481942j 0.000345073-0.00355168j -0.00311566-0.00104439j -0.00664163+0.00462098j 0.00353338+0.00227043j 0.000420188-0.0025629j -0.000321738-0.00187229j -0.00117909+0.000960116j -0.00275039-0.000646419j 0.000600591+0.00372484j 0.00107803-0.0005319j 0.00170872-0.00441712j 0.0101493+0.00599598j 0.000878471+0.0010437j 0.00569827-0.00175926j 0.00159388-0.0020511j 0.010853-0.00564024j -0.010325+0.000954934j -0.00231542+0.00776293j -0.0302534+0.00284693j 0.0159431+0.00676859j 0.0212632+0.00128395j -0.030033+0.00384312j 0.0141762+0.0016576j -0.0440007-0.00521937j 0.0583511+0.0042188j -0.0889091+0.0283467j -0.0701356+0.02069j -0.0552826-0.0367905j 0.0111549+0.0118005j 0.0410428+0.013875j 0.0110155-0.0191528j 0.240994+0.00700594j 0.015426-0.0298472j 0.0286683-0.00144993j 0.0196117-0.0260191j 0.0430245-0.0108293j 0.0193284+0.01118j 0.00551082-0.0111494j -0.0148122-0.00177998j 
0.00184396-0.0029652j 0.00452302+0.00157927j 0.00312337+0.00548046j 0.00751063+0.00231126j -0.000674562+0.00174057j 0.00056617+0.00394761j -0.00665362+0.00418414j -0.00620732-0.0102839j -0.00248637-2.27643e-05j -0.00324426-0.00675175j -0.000432847-0.00593089j 0.00456353+0.0012533j -0.00400715+0.00236578j 0.00424931+0.000519939j -0.00105491-0.000867401j -0.00609163+0.00204048j -0.000513302+0.00724058j -0.0035701+0.00328458j 0.00108302+0.00283193j -0.00267938-0.00369355j -0.00795698-0.0011528j -2.88523e-05-0.00256992j 0.0065687+0.00108344j 4.91481e-05-0.00105993j -0.000235233-0.00123187j 0.00434004-0.0015109j -0.001248+0.00327264j -0.000979773-0.00170051j -0.000691057+0.00507588j 0.00470194-0.00289356j 0.00526913+0.00143145j 0.00315909+0.000870718j -0.0124919+0.000230785j -0.00713129+0.00317669j 0.0055983-0.0037734j -0.00621162+0.000160189j 0.00513647-0.00542786j 0.00668008-0.00254929j 0.0021838-0.00382768j -0.00489753-0.00265626j -0.00641676-0.000139014j 0.00367701-0.00211046j -0.0129733+0.00191243j 0.000597316-0.0022035j -0.00310305-0.00036831j -0.0101176+0.00142172j -0.0151358+0.000307342j -0.00927314+0.00280451j 0.0301406-0.00198852j -0.0314735+0.00361555j 0.00444999+0.00489087j 0.0112765-0.0220117j -0.0200198-0.0091204j 0.0176313-0.0023546j 0.0301582-0.00797993j 0.00411652-0.011688j -0.0180356+0.00652062j -0.0327329-0.00465373j -0.0118311+0.0105681j -0.00934591+0.00928637j -0.0377847-0.00386849j -0.051523+0.0122876j -0.0109858+0.0229751j -0.0264909+0.0163673j 0.0462865+0.00727896j -0.00303814+0.00297799j 0.0824456-0.00459332j 0.0326875+0.0164769j 0.206854+0.00498134j -0.0114432+0.0285253j -0.0127398+0.0229275j 0.0281254-0.000924374j -0.0140206-0.00986264j -0.0343186+0.00509502j 0.026206-0.0317539j 0.0015485-0.0315145j -0.0438241+0.00428936j 
0.00131837+0.00374505j -0.00822476-0.0018532j -0.0104277+0.00128082j 0.00665413+0.00784343j -0.00355442+0.00110197j -0.0112922+0.000225678j -0.00630811-0.00784742j 0.0118271-0.00383463j -0.00427331-0.00377876j -0.00372621-0.00544277j -0.00434784+0.000874288j 0.00192664+0.00204487j 0.0183707-0.00156141j -0.00378379+0.00341192j 0.000307487-0.00626996j 0.00122789-0.00245007j -0.00147548-0.00160524j -0.00241687+0.00344647j 0.00298937+0.00273794j -0.000865792-0.00128966j 0.012825-0.00349608j 0.00926071+0.0045212j -0.00545585+0.00381809j 0.00764474+0.000390523j -0.00474743-0.000603551j 0.000913731+0.0016111j 0.00774401+0.000229684j 0.00509068-0.000550958j -0.00930726+0.00328155j -0.00321887-0.00608891j 0.00155355-0.000794336j -0.00898465+0.00221001j 0.00494505-0.0055445j 0.00953458-0.00390331j 0.00423979+0.00175609j 0.00521455-0.00491279j 0.00740605+0.00438708j -0.00230512-0.00315374j -0.00290766+0.00700782j -0.00717669-0.00112655j 0.00495522-0.00385591j 0.00339454-0.00537618j -0.00156298-0.00220586j 0.00805863+0.00665269j -0.00251813+0.00450974j 0.0118597+0.00033597j -0.0117747+0.00361445j -4.16591e-05+0.0108365j 0.0262554-0.00166889j 0.00157247-0.00270758j 0.0107459-0.00264475j 0.00740968-0.000898623j -0.0129642+0.00476597j -0.0291789+0.0159639j 0.000980144+0.000230841j -0.0311826+0.00997239j 0.00111464+0.00967573j 0.0138836-0.00108932j 0.0313802+0.0148963j 0.0131841-0.0174675j 0.0593698-0.0105229j -0.0237443-0.00658135j -0.0209572-0.0141132j -0.0406066-0.0108313j 0.0247387-0.00124364j 0.0237541-0.00525259j -0.0218592-0.0103078j 0.177948-0.0011828j -0.01619-0.000172482j -0.0138595+0.0142838j 0.0481416-0.0147645j -0.0154799-0.0480691j -0.0258193+0.00218715j -0.00994518-0.0399797j 0.0286938-0.0378383j 0.0845655-0.000226154j 0.0128267-0.0632094j 
-0.0134045-0.00471839j 0.000809945-0.00638916j -0.00646511-0.00924251j -0.0132159+0.00250619j -0.00646328+0.000208261j -0.000593238+0.00124752j 0.0164428-0.000215545j 0.00211792+0.00274623j 0.000284369+0.000241028j -0.00515293-0.00516407j 0.00678801-0.00205669j -0.0178063+0.00683122j 0.00160418+0.00813751j -0.00438598-0.00458099j 0.0103929-0.00146874j 0.0047061+0.00184251j 0.00323744+0.00149615j 0.00044016+0.00368075j -0.00530002+0.00146934j -0.00901501-0.00559964j 0.00918297+0.00548817j -0.0146577+0.00753124j -0.00987786-0.0030332j 0.000587399+0.00102719j 0.00826693+0.00471164j -0.00417348-0.00154137j 0.00331548+0.00277037j 0.00816484-0.00449648j 0.00784971-0.0028997j 0.00515902-0.000701305j 0.00274706-0.00461189j 0.00114396-0.00345925j 0.0125164-0.000183681j 0.00292924+0.000487656j 7.97913e-05-0.00289728j 0.00151876-0.00312201j -0.0162458-0.000932907j -0.0110956-0.00737866j -0.00623497+0.000298949j 0.012115-0.00287809j -0.0137786+0.0055015j -0.0225652+0.00740416j 0.0191402-0.00404194j 0.00401738+0.00137767j -0.013979+0.00482158j 0.0146043+0.000295052j -0.0119658+0.00603822j -0.010112+0.00714073j -0.00328568+0.0115503j -0.0212149+0.00612067j -0.0107591-0.00614491j 0.00354213+0.00140414j 0.0178754-0.0158116j -0.00570177-0.0092293j -0.00581705+0.00393127j -0.00841635-0.0172751j 0.0197106+0.00449966j 0.00464212+0.0170162j -0.0597459+0.00582672j -0.00237765+0.0224739j -0.00581992-0.00431443j -0.00956539+0.00925947j 0.0338593+0.00623433j -0.0176278+0.0115429j 0.0384872+0.00757389j -0.0599069-0.0142797j -0.108411+0.00276659j 0.0117505+0.0108914j 0.0749716+0.0113618j 0.0351831+0.0144184j -0.0138295-0.0394412j -0.0512281+0.018634j -0.00852822+0.0343682j 0.00283197-0.0509648j 0.0391489+0.0264161j -0.019182+0.0693403j 0.0896979+0.00443683j 
