-0.0972451-0j 0.0144885-0j -0.20074-0j -0.0249328-0j -0.000123449-0j 0.673713-0j 0.680695-0j 0.00119703-0j 0.00120944-0j 0.172734-0j 0.00148306-0j 0.00149843-0j -0.020548-0j -0.00257287-0j -0.00254648-0j -0.00574037-0j 0.000855257-0j -7.51236e-05-0j -7.59021e-05-0j 0.00104084-0j 0.100762-0j -0.00463892-0j 0.13959-0j -0.00334855-0j 0.000691152-0j -0.0166053-0j 0.0004989-0j -0.000276021-0j -0.0119863-0j 0.000841128-0j 0.000607158-0j -6.74637e-05-0j -0.000161012-0j -5.45189e-05-0j -0.000223059-0j -3.93538e-05-0j 
-0.016624-0j 0.00120469-0j -0.00825826-0j -0.00209366-0j -0.143932-0j -0.00119703-0j -0.00120944-0j 0.690523-0j 0.697679-0j -0.000150757-0j 6.13381e-05-0j 6.19738e-05-0j -0.000420478-0j -0.000143279-0j -0.000141809-0j 0.143017-0j -0.010364-0j 0.000600989-0j 0.000607217-0j -0.00411982-0j -8.79413e-05-0j 0.115575-0j -0.00012183-0j 0.0834266-0j -0.00837538-0j -0.000339797-0j -0.00604567-0j -1.15003e-05-0j -0.000245279-0j -0.00332932-0j -0.00240323-0j 0.000539709-0j -6.70852e-06-0j 0.000436151-0j -9.29366e-06-0j 0.00031483-0j 
0.0353647-0j 8.8734e-06-0j -0.000247169-0j -0.280901-0j 7.27433e-06-0j 0.00254648-0j 0.00257287-0j -0.000141809-0j -0.000143279-0j -0.0202266-0j 4.51798e-07-0j 4.5648e-07-0j -1.25849e-05-0j 0.658833-0j 0.652076-0j 0.00208758-0j 5.23796e-07-0j 4.4267e-06-0j 4.47257e-06-0j -0.000123306-0j -0.0117988-0j 0.00168702-0j -0.0163456-0j 0.00121775-0j 4.23291e-07-0j -1.01701e-05-0j 3.05548e-07-0j 0.220635-0j -7.34117e-06-0j -9.96463e-05-0j -7.19285e-05-0j 3.97533e-06-0j 0.128704-0j 3.21255e-06-0j 0.1783-0j 2.31894e-06-0j 
-0.0249328-0j 0.00121225-0j -0.000359853-0j 0.00137446-0j -1.47021e-07-0j 0.172734-0j -0.169556-0j 0.000150757-0j -0.000147983-0j -0.00952227-0j 0.000124087-0j -0.000121804-0j -3.6835e-05-0j -0.0198544-0j 0.0202266-0j -2.09491e-05-0j 1.01856e-06-0j -6.28555e-06-0j 6.1699e-06-0j 1.86585e-06-0j 0.763823-0j -0.00118938-0j -0.540624-0j 0.00168042-0j 5.78284e-05-0j -0.0020913-0j -8.1703e-05-0j 4.71405e-05-0j 0.0029547-0j 0.000105933-0j -0.000149668-0j -8.0345e-08-0j -0.00378134-0j -4.56157e-06-0j 0.00267639-0j 6.44483e-06-0j 
0.000106481-0j -0.142696-0j -0.0206795-0j 8.9092e-06-0j 0.000604777-0j -0.00148306-0j -0.00149843-0j 6.13381e-05-0j 6.19738e-05-0j -0.000124087-0j 0.695391-0j 0.702597-0j 0.100776-0j 4.5648e-07-0j 4.51798e-07-0j 6.28555e-06-0j -0.00842332-0j 0.000368029-0j 0.000371843-0j 5.33347e-05-0j -7.23842e-05-0j 5.0795e-06-0j -0.000100278-0j 3.66657e-06-0j -0.00680707-0j 0.0814393-0j -0.00491361-0j 2.92811e-08-0j 0.058786-0j 4.31009e-05-0j 3.11119e-05-0j 0.000330503-0j 1.70806e-08-0j 0.000267087-0j 2.36627e-08-0j 0.000192793-0j 
-0.0014753-0j -0.0206795-0j 0.00201778-0j -2.64468e-06-0j 1.24751e-06-0j 0.020548-0j -0.0201699-0j -0.000420478-0j 0.000412741-0j 3.6835e-05-0j 0.100776-0j -0.0989218-0j -0.00983312-0j 1.23533e-05-0j -1.25849e-05-0j -1.23958e-06-0j -1.73753e-05-0j 5.33347e-05-0j -5.23534e-05-0j -5.20408e-06-0j -0.0029547-0j -7.03768e-05-0j 0.0020913-0j 9.94321e-05-0j -0.00098648-0j -0.558273-0j 0.00139375-0j -1.4527e-08-0j 0.788758-0j -0.00029546-0j 0.000417442-0j 6.8175e-07-0j 1.16527e-06-0j 3.87062e-05-0j -8.24765e-07-0j -5.46862e-05-0j 
0.0797206-0j 0.000123449-0j -2.43456e-05-0j 0.000290935-0j -0.000209939-0j 0.00574037-0j -0.00563475-0j 0.143017-0j -0.140386-0j 2.09491e-05-0j 6.28555e-06-0j -6.1699e-06-0j -1.23958e-06-0j -0.00204917-0j 0.00208758-0j -0.00976211-0j -1.51169e-05-0j 6.15856e-05-0j -6.04525e-05-0j -1.21453e-05-0j -0.00168042-0j -0.554241-0j 0.00118938-0j 0.783061-0j -0.000858257-0j -7.03768e-05-0j 0.00121259-0j 3.22082e-06-0j 9.94321e-05-0j -0.000689549-0j 0.000974231-0j 7.87217e-07-0j -0.000258356-0j 4.46941e-05-0j 0.000182861-0j -6.31461e-05-0j 
-0.000123449-0j 0.0822902-0j 0.000169745-0j -1.47021e-07-0j 0.0014545-0j 0.000855257-0j -0.000839521-0j 0.010364-0j -0.0101733-0j 1.01856e-06-0j 0.00842332-0j -0.00826834-0j 1.73753e-05-0j 5.14159e-07-0j -5.23796e-07-0j 1.51169e-05-0j -0.0100768-0j -0.000426678-0j 0.000418827-0j -8.80136e-07-0j -8.1703e-05-0j 0.000858257-0j 5.78284e-05-0j -0.00121259-0j -0.572106-0j 0.00098648-0j 0.808301-0j -4.832e-10-0j -0.00139375-0j -4.99695e-05-0j 7.05995e-05-0j -5.454e-06-0j 3.87596e-08-0j -0.00030965-0j -2.74336e-08-0j 0.000437489-0j 
-0.00104329-0j -0.00722816-0j -0.0010475-0j -8.7292e-05-0j -0.00592558-0j -7.51236e-05-0j -7.59021e-05-0j -0.000600989-0j -0.000607217-0j -6.28555e-06-0j -0.000368029-0j -0.000371843-0j -5.33347e-05-0j -4.47257e-06-0j -4.4267e-06-0j -6.15856e-05-0j -0.000426678-0j 0.706354-0j 0.713674-0j 0.102365-0j -3.66657e-06-0j -4.97687e-05-0j -5.0795e-06-0j -3.59249e-05-0j -0.000344808-0j -4.31009e-05-0j -0.000248895-0j -2.86895e-07-0j -3.11119e-05-0j 0.0827232-0j 0.0597128-0j -0.00323826-0j -1.67355e-07-0j -0.00261691-0j -2.31846e-07-0j -0.00188898-0j 
0.0144549-0j -0.0010475-0j 0.000102209-0j 2.59124e-05-0j -1.22231e-05-0j 0.00104084-0j -0.00102169-0j 0.00411982-0j -0.00404402-0j 1.86585e-06-0j -5.33347e-05-0j 5.23534e-05-0j 5.20408e-06-0j -0.000121037-0j 0.000123306-0j 1.21453e-05-0j -8.80136e-07-0j 0.102365-0j -0.100481-0j -0.00998814-0j -0.000149668-0j 0.000689549-0j 0.000105933-0j -0.000974231-0j -4.99695e-05-0j 0.00029546-0j 7.05995e-05-0j 1.42335e-07-0j -0.000417442-0j -0.567074-0j 0.801192-0j -6.67976e-06-0j -1.14173e-05-0j -0.000379242-0j 8.08102e-06-0j 0.000535813-0j 
0.0038333-0j 5.75086e-07-0j -2.85313e-07-0j -0.000654674-0j 6.71055e-09-0j 0.000276021-0j -0.000270942-0j -1.15003e-05-0j 1.12887e-05-0j -4.71405e-05-0j 2.92811e-08-0j -2.87423e-08-0j -1.4527e-08-0j -0.216576-0j 0.220635-0j 3.22082e-06-0j 4.832e-10-0j 2.86895e-07-0j -2.81616e-07-0j -1.42335e-07-0j 0.00378134-0j 0.000182861-0j -0.00267639-0j -0.000258356-0j 2.74336e-08-0j -8.24765e-07-0j -3.87596e-08-0j -0.00921202-0j 1.16527e-06-0j -8.08102e-06-0j 1.14173e-05-0j 3.66723e-09-0j 0.738936-0j 2.08206e-07-0j -0.52301-0j -2.94165e-07-0j 
