-0.14492-0j 0.695261-0j 0.702466-0j 0.143998-0j -0.0104351-0j 0.0839991-0j -0.00843285-0j 0.116368-0j -0.00608715-0j 0.0578079-0j 0.0505819-0j 0.0146556-0j 0.0495496-0j 0.0353999-0j 0.0128237-0j 0.020864-0j -0.00691317-0j -0.00604903-0j 0.012562-0j -0.00592558-0j -0.00423344-0j 0.00897471-0j 0.0052895-0j -0.0024951-0j 
-0.000211379-0j 0.143998-0j -0.141349-0j -0.00982909-0j -1.52206e-05-0j 0.788434-0j -0.000864146-0j -0.558044-0j 0.00122091-0j 0.000170419-0j -0.010178-0j -0.00203654-0j 0.0102624-0j 0.00733182-0j 0.121629-0j -0.0127176-0j -1.00835e-05-0j 0.000602221-0j -0.122638-0j -0.000607217-0j -0.000433816-0j -0.0876168-0j 0.151978-0j 0.000752489-0j 
0.00146448-0j 0.0104351-0j -0.0102431-0j 1.52206e-05-0j -0.0101459-0j -0.00122091-0j -0.576031-0j 0.000864146-0j 0.813848-0j -0.00118822-0j 0.0709642-0j 1.02914e-06-0j -0.0715529-0j -0.0511199-0j -6.14639e-05-0j 0.0886715-0j 6.98607e-05-0j -0.00417231-0j 6.19738e-05-0j 0.00420692-0j 0.00300557-0j 4.42762e-05-0j -7.68006e-05-0j -0.0052134-0j 
-0.0104351-0j -0.04926-0j 0.0505819-0j -0.0102024-0j -0.0711347-0j 0.00604845-0j 0.0584227-0j 0.00837923-0j 0.0421718-0j -0.400492-0j 0.34481-0j 0.0010553-0j -0.343279-0j 0.727883-0j -0.000908572-0j -0.144545-0j -0.000497791-0j 0.00042858-0j 0.000904539-0j -0.000426678-0j 0.00090472-0j -0.00191797-0j 0.000380876-0j -0.000179662-0j 
-0.0102431-0j -0.0505819-0j 0.0510853-0j 0.010178-0j 0.0709642-0j -0.00559665-0j -0.0590282-0j -0.00846606-0j -0.0390217-0j -0.393124-0j -0.353919-0j 0.00103588-0j 0.346837-0j 0.247792-0j 0.000932575-0j 0.697311-0j -0.000488631-0j -0.000439902-0j -0.000913913-0j 0.000431099-0j 0.000307992-0j -0.000652931-0j -0.00183741-0j 0.000866721-0j 
0.000869593-0j 0.0124886-0j -0.0128237-0j -0.121921-0j -6.16116e-05-0j 0.0722801-0j 5.06014e-05-0j 0.100133-0j 3.6526e-05-0j -0.0010553-0j 0.000908572-0j -0.387811-0j -0.000904539-0j 0.00191797-0j 0.333891-0j -0.000380876-0j 4.14825e-05-0j -3.5715e-05-0j -0.332409-0j 3.55565e-05-0j -7.53933e-05-0j 0.704835-0j -0.139968-0j 1.49718e-05-0j 
0.000853593-0j 0.0128237-0j -0.0129513-0j 0.121629-0j 6.14639e-05-0j -0.066881-0j -5.11258e-05-0j -0.101171-0j -3.37976e-05-0j -0.00103588-0j -0.000932575-0j -0.380675-0j 0.000913913-0j 0.000652931-0j -0.342712-0j 0.00183741-0j 4.07193e-05-0j 3.66585e-05-0j 0.335854-0j -3.59249e-05-0j -2.5666e-05-0j 0.239946-0j 0.675231-0j -7.22267e-05-0j 
-1.52206e-05-0j -0.0102024-0j -0.010178-0j 0.000696401-0j -0.000103757-0j 0.0567721-0j 0.0059868-0j -0.0401826-0j -0.00845847-0j -0.00118066-0j -0.0693819-0j -0.000146643-0j -0.071098-0j 0.150755-0j -0.00861754-0j 0.0881076-0j -7.26075e-07-0j -4.2668e-05-0j -0.00883068-0j -4.37233e-05-0j 9.27101e-05-0j 0.0187244-0j 0.0109434-0j 5.41838e-05-0j 
0.0590299-0j -0.00589094-0j 0.00604903-0j -0.000603668-0j -0.00418233-0j 0.00035788-0j 0.00343494-0j 0.00049579-0j 0.00247947-0j 0.000497791-0j -0.00042858-0j 4.14825e-05-0j 0.000426678-0j -0.00090472-0j -3.5715e-05-0j 0.000179662-0j -0.410394-0j 0.353334-0j 3.55565e-05-0j -0.351766-0j 0.745879-0j -7.53933e-05-0j 1.49718e-05-0j -0.148119-0j 
0.0579438-0j -0.00604903-0j 0.00610923-0j 0.000602221-0j 0.00417231-0j -0.000331148-0j -0.00347053-0j -0.000500928-0j -0.00229426-0j 0.000488631-0j 0.000439902-0j 4.07193e-05-0j -0.000431099-0j -0.000307992-0j 3.66585e-05-0j -0.000866721-0j -0.402843-0j -0.362669-0j -3.59249e-05-0j 0.355411-0j 0.253918-0j -2.5666e-05-0j -7.22267e-05-0j 0.714551-0j 
0.000121765-0j 0.0403829-0j 0.0402861-0j 0.00011905-0j -8.62717e-06-0j 0.00970519-0j 0.000497791-0j -0.00686921-0j -0.000703305-0j -4.85714e-05-0j -0.00285431-0j -1.2314e-05-0j -0.00292491-0j 0.00620193-0j -0.000723635-0j 0.00362467-0j -0.000846546-0j -0.0497475-0j -0.000741533-0j -0.0509779-0j 0.108093-0j 0.00157233-0j 0.000918939-0j 0.063174-0j 
