0.0668317+0.1079j -0.0892936-0.0403065j -0.026479-0.115645j 0.0218313-0.107849j 0.0360277-0.00246091j -0.0351733-0.0391501j -0.00622164+0.0477637j 0.053042+0.0105763j -0.0978826+0.00998986j -0.0423844-0.0559563j 0.0689822-0.0781734j 0.000223637-0.0383132j 0.0562974+0.0878297j 0.139814+0.0735473j 0.0257434+0.00734613j -0.0125453-0.0632082j 0.068622+0.0741404j 0.00585201-0.0288245j 0.0144424-0.108219j -0.0394919+0.0414672j 0.0274028+0.0386071j 0.0596224-0.0514844j 0.00168871+0.0255038j -0.00407448+0.0207286j 0.0303497+0.0315521j -0.0194167+0.0328175j -0.0149716+0.000153552j -0.00770606+0.0535149j -0.0758622-0.00737085j -0.0291088+0.0157606j -0.0929443+0.0143368j 0.05772+0.00838772j 0.0111349-0.0994706j 0.0397116+0.0335627j -0.0541656-0.0442442j 0.0468717+0.0325168j -0.0533211-0.0478336j -0.0239127-0.00575229j 0.0157409+0.0280592j 0.00371137-0.00929244j -0.0286402-0.0127608j 0.00331728-0.0331812j -0.000688764+0.0589561j -0.0221006+0.0324131j 0.0109234+0.0274235j 0.0184168-0.0200088j -0.0207707+0.0143108j 0.0220113+0.00346335j 7.34288e-05+0.0110582j -0.00919129-0.00117424j 0.0109896-0.0100611j -0.0471015+0.013244j 0.01392-0.000714671j -0.033409+0.00312339j 0.0275636-0.0232834j 0.030508-0.00751091j -0.0137945-0.0116716j -0.00414075-0.000682371j -0.0244124-0.00504973j 0.0275863-0.00647564j -0.0199587+0.00323126j -0.0117145+0.00138737j 0.0407683-0.00329296j 0.00320229-0.0141032j 0.00477804-0.00759373j 0.0335427+0.0356323j -0.00149226+0.00501399j 0.0144987-0.000800155j 0.0355429+0.0161952j -0.0295776+0.00430246j -0.038919-0.035361j -0.00440674+0.00954089j -0.0333943-0.0130325j -0.00938903+0.000517081j -0.00903455+0.000330566j 0.0608081+0.0155278j -0.0364817+0.0155942j -0.0161816+0.018802j 0.00283319+0.0528561j -0.00804919-0.0299328j -0.00855321-0.0844375j 0.00460742+0.0242414j 0.0554097-0.0453778j 0.0437139-0.00847057j 0.0926882-0.0479221j -0.000870425+0.0591475j 0.0435995-0.0133205j 0.0308764+0.00901506j -0.11803-0.0791969j -0.0822477+0.0413286j 0.00751473+0.0512753j -0.0201284+0.0210566j -0.00846004+0.0121764j -0.0280288-0.0268279j 0.145371+0.0747184j 0.00787328-0.0492114j -0.132845-0.118078j 
-0.0856628-0.00546257j -0.110785-0.110337j -0.0325582-0.021684j -0.040927+0.0688552j -0.0104524-0.0291683j -0.00209976+0.030051j 0.111214-0.0355169j 0.05534-0.0877489j 0.000315329+0.0739532j -0.0643268+0.0369394j -0.0876912-0.0949853j -0.0216144+0.0372854j 0.102274-0.0346334j 0.0411557-0.0570443j -0.0760118-0.0646537j 0.0464675+0.0705721j 0.0184394+0.0463343j -0.013621+0.0988952j 0.0075439-0.0387983j 0.0385388-0.0377415j 0.033905-0.0481219j -0.0298258-0.0211348j -0.00316181-0.0486613j -0.00187685-0.0206206j 0.0456013-0.041682j 0.0440999+0.0116742j 0.0536348+0.0117779j 0.0527725+0.0151477j -0.0759604+0.0564754j 0.0391347+0.00331684j 0.0449933+0.0702787j 0.0265228-0.060758j -0.0929012-0.0309772j 0.0206251-0.000755448j -0.0232682+0.0503972j -0.0550165-0.0548222j -0.0429463-0.0275428j -0.0170002-0.0264163j -0.0227501-0.00656398j 0.0256267+0.00500138j -0.00400538-0.00124443j 0.000562168-0.0388665j 0.0194529-0.0502385j -0.0326906+0.0141115j -0.00223442+0.00772719j 0.0180882-0.029262j 0.010204+0.0021429j 0.0255778-0.0455149j 0.0722191-0.0403202j -0.0110432-0.00149215j 0.0210673-0.0183751j 0.0152035+0.00711257j 0.00403311+0.00871066j -0.00224618+0.0308903j -0.0210152+0.0210495j 0.00108218-0.00342079j -0.0149775+0.0130501j -0.000501437-0.00714505j 0.00350012+0.00983769j 0.0153885-0.0195521j 0.0175931-0.00517699j 0.000417342-0.0051222j -0.00207891-0.0100012j 0.0306378-0.0142909j -0.0237691+0.00133913j -0.0105406+0.00592873j -0.00445738+0.00481843j -0.00439619-0.00536113j 0.00977753-0.0107279j -0.014516-0.000804977j -0.0522354-0.0196141j 0.0160689+0.0182949j -0.00778979-0.00753041j 0.0207045-0.01388j -0.0200655-0.00452957j -0.00647146-0.052939j 0.0302756+0.0594175j 0.0273964+0.0348268j 0.0420923+0.0245885j -0.00666503-0.000870281j -0.0648163+0.0682315j 0.0468806-0.0364407j -0.0482724-0.0366735j 0.050976-0.0266346j -0.0442698-0.0618826j 0.00335144-0.0514459j 0.0128639-0.0475436j 0.0077694-0.0267457j -0.1066+0.06886j 0.123958+0.0827119j 0.00996644+0.0549491j -0.0106516+0.0123379j 0.0249215-0.0265528j -0.107557-0.0442785j 0.00661861-0.0781965j -0.113733-0.0948385j -0.0337522+0.0735364j 
0.125027-0.0580572j 0.104419-0.023633j 0.135411-0.0817442j 0.0949711+0.0790586j -0.0079852-0.00954522j 0.150657-0.201311j 0.0619897-0.0947827j 0.0459964-0.167153j -0.0761388-0.106612j 0.0676756+0.232587j -0.0209978-0.313337j -0.0117121+0.12525j -0.317554+0.0892657j 0.128849-0.360709j 0.392466-0.281486j 0.0803356-0.106551j -0.0439037+0.105413j 0.0532288-0.0534478j -0.0137639-0.0148294j -0.0242193-0.0266115j -0.0285521+0.0398422j -0.0260253+0.0200098j -0.0496494+0.0283866j -0.0332124+0.0339167j 0.00587937-0.0119795j 0.0118268+0.0219962j -0.0066453+0.0543658j 0.0039598+0.0165433j -0.00905392+0.0334458j 0.0174275-0.0259135j -0.0130161-0.0325142j 0.0314847+0.0390086j -0.052454-0.0571308j -0.0121122-0.00617924j 0.0307941+0.0313852j 0.03784-0.0498266j 0.0242336+0.00856916j 0.000907997+0.00494397j -0.0107367+0.0142975j -0.0151629+0.020804j 0.0106728-0.0206251j -0.00609351-0.00959208j -0.0265073+0.0224374j 0.00990672+0.0172568j -0.00314628+0.0143644j -0.0303951-0.00188729j -0.0100397+0.0177003j -0.0178962+0.0346676j -0.0117302-0.0119237j -0.00530885+0.00130237j -0.0240122-0.00718889j 0.0240439-0.00450223j 0.00638638-0.0365752j 0.00863706-0.000753453j 0.0103137+0.00474578j -0.0134682-0.00367555j -0.00403369-0.01384j -0.00388935+0.0139357j 0.000260157+0.00865333j -0.016436+0.0246966j -0.00886422+0.0162051j -0.00944977+0.014542j -0.00705574+0.0248199j -0.0153935+0.0416282j -0.00294265-0.013637j -0.0130216-0.0117959j 0.00147329-0.00208773j 0.00243435-0.00438705j 0.00412317-0.0354479j -0.00945708+0.00680248j 0.0169525-0.0113283j 0.00336223+0.00174035j -0.0137017-0.00638811j -0.0159922+0.00914199j 0.00828154-0.0110225j 0.00534132+0.0206271j 0.0388335+0.0163131j 0.0192932+0.0239765j -0.00763498+0.0187713j -0.0218275+0.00362416j -0.0119482+0.0177611j -0.0302425+0.0145745j 0.0384504-0.0197343j -0.00712542+0.00955225j -0.0014089+0.029041j -0.000265413+0.00150517j 0.000988354-0.0230437j -0.00490201+0.0248512j -0.00369725+0.0142611j -0.017657+0.00617931j 0.0277092+0.0199667j -0.0393084+0.0499806j -0.029196-0.0320915j -0.0110373+0.000828293j -0.0284283-0.0295255j 0.0973159-0.0880966j 0.0570038+0.0655283j 
0.0865733-0.17319j -0.0156607-0.0130095j 0.102169-0.0756804j 0.148234+0.207211j -0.101909-0.0920352j 0.0522991-0.0142917j -0.118825+0.0848484j 0.104013-0.0937428j 0.0301504+0.066417j 0.423192-0.0937568j -0.116027-0.157529j -0.241218+0.262314j 0.140405-0.200799j 0.200449-0.0461595j -0.362293+0.141911j 0.0194151+0.0715336j -0.103008+0.266728j 0.0323448-0.0209188j 0.00434862-0.0716171j -0.0119375-0.0504221j 0.00459453+0.0451907j -0.012333-0.0125653j -0.00619102+0.0198735j -0.00427748+0.00973329j -0.020171+0.00788906j -0.0224825-0.00734502j 0.0132531+0.0539531j 0.0165374-0.00415213j -0.0232452+0.00377217j 0.00332343+0.0327954j 0.00230862+0.0206372j 0.0544053-0.0410595j 0.0319954+0.0482882j -0.0768937+0.032909j 0.00750206+0.04385j 0.00965898+0.0211515j -0.0220154+0.0181424j 0.00505883-0.00612094j -0.00709226+0.02206j -0.00242045+0.0497517j 0.00129275+0.00371414j 0.00180218-0.0207026j -0.0260147+0.0269145j -0.00536686+0.00546077j -0.0075259+0.0197225j -0.0147775-0.0293213j -0.0111083-0.000209194j -0.0166796+0.030266j -0.010543-0.00482868j 0.00191835-0.0186276j 0.000425829-0.0191779j 0.00224552+0.0200548j -0.000410148-0.0106351j -0.0100235-0.00504119j 0.0127742+0.00288222j -0.00626192-0.000842759j 0.0114724-0.0121274j 0.00457386-0.0134907j -0.0148576+0.00861474j 0.0015687+0.0127415j 0.001085+0.00361559j 0.00776277+0.0122527j -0.00614756-0.000256484j 0.00323673+0.0167466j -0.000860287-0.0012808j -0.0182458+0.00992856j -0.00134168+0.0183888j 0.0204931+0.0199407j 0.00972347+0.00648805j -0.0139062+0.0216549j -0.0128264+0.0138996j 0.0179631+0.0165957j 0.00035109+0.00104082j -0.00189569+0.00153508j 0.019922-0.0113373j 0.0127232-0.0114843j -0.0126872-0.0108938j 0.012268-0.00281402j -0.0117761+0.0194576j -0.0365417+0.0109462j 0.0338947-0.0204684j 0.00212886-0.00559567j -0.0203024+0.00303263j 0.0134567+0.040112j 0.0149534+0.00599208j -0.0139582-0.0121563j 0.00605704-0.00413549j 0.0184389+0.00947949j -0.000505878-0.00356243j -0.0113305-0.00147425j -0.0062715-0.00336621j -0.0229136-0.00791607j 0.0172687-0.0457066j 0.0121592-0.0197587j -0.0409126+0.0279808j 0.0570649+0.0129549j -0.0377783+0.057708j 
0.0402213+0.0416559j -0.0765643-0.00960014j -0.0784488-0.0241254j -0.100281-0.0957083j 0.0496782+0.0315585j 0.00492124+0.135097j 0.156612-0.214901j 0.23122+0.333466j -0.0665427-0.246114j 0.0205124-0.191336j -0.386997-0.131621j -0.124787+0.167048j 0.103954+0.0950985j 0.16478+0.0217354j 0.065718+0.106687j -0.0719238-0.0770888j 0.00767635-0.0193203j -0.0273765-0.0290275j 0.0360151+0.0379039j -0.00789497+0.0106827j -0.00458243-0.0259443j 0.0564072+0.00184211j 0.00416357-0.0219295j -0.0113742-0.0460217j -0.0124606+0.0141661j 0.000413874-0.0151212j -0.00604893-0.0311947j -0.0320337-0.0196242j -0.0244154-0.0065914j -0.0185301-0.05738j 0.0110837-0.00728204j 0.0378974-0.0303264j -0.0142625-0.00884775j 0.0234565+0.0257917j 0.020635-0.0251408j -0.0104756+0.0164191j -0.00889018+0.00204645j 0.00789868+0.0182805j 0.00892787+0.000364313j -0.00477275-0.00595818j -0.0196529-0.00461401j 0.00692942+0.0186475j 0.0062667-0.00213465j 0.000488622-0.00709407j -0.0101157-0.0168178j 0.011932+0.00558547j -0.00174956+0.000619667j -0.00671096+0.00288529j -0.00799434-0.000938733j 0.00313971+0.00304577j 0.00560641+0.0013749j -0.0139855-0.00453858j 0.0100575+0.0113626j 0.0101188-0.0236118j 0.017502+0.0047911j -0.000499521-0.0224979j -0.00803591-0.00231116j -0.00692403-0.0171661j 0.00533763-0.0101795j 0.0170883-0.00629223j -0.000740956+0.0172122j 0.00280398-0.00483818j -0.00571557+0.00581943j -0.0124023+0.0148003j 0.00645033+0.00272454j -0.00371718+0.000490633j -0.00479604-0.0145902j 0.0282106-0.00643766j -0.0239754-0.00877992j -0.000587686+0.012813j 0.00316559-0.0202332j -0.000601682+0.00388669j 0.00846525-0.0366793j -0.0198197-0.00884394j 0.00578229+0.015022j -0.00194176+0.0265218j 0.00639033-0.0210132j 0.0109525-0.026095j -0.0027641+0.00435349j -0.00934644-0.0188717j 0.00859228+0.0105933j -0.012885+0.0129365j -0.0189776-0.0036276j -0.0107343-0.00284032j -0.00501983+0.0131608j -0.00312235+0.017806j -0.00171638-0.00177884j -0.00441911-0.00143794j 0.0171329+0.00309465j 0.00476151-0.00461853j 0.00223834-0.0194915j -0.000921401+0.00277268j 0.00799998+0.00600293j 0.00841186+0.00662128j -0.00211859+0.0290108j 0.00447156+0.019396j -0.000727233-0.0124654j 
-0.0270587+0.00622476j -0.0525125-0.0216598j -0.0699636+0.0185286j -0.00977395+0.108367j 0.205263+0.0456478j -0.0578786-0.14603j -0.0102111-0.0136027j 0.305102+0.0162632j 0.148512-0.228809j 0.0235731+0.186988j -0.123387+0.0919517j 0.132656+0.0471198j 0.0546463-0.00888781j 0.0427336+7.2709e-05j -0.0937451-0.0412511j -0.0321347-0.0396383j 0.0503489+0.0397887j -0.031491-0.00941183j 0.0195474-0.0389942j -0.000120732+0.0290654j -0.0169788-0.000647181j 0.0102274+0.0253381j -0.00735074+0.0114931j -0.0225994-0.00207779j 0.0196347-0.0072558j -0.0220687-0.0171541j 0.0340244+0.0113853j 0.0169367+0.0630064j -0.00243031-0.00787996j -0.0425+0.0261968j 0.0425188-0.0200151j -0.0384644+0.02225j 0.00576504-0.00660235j -0.0054081+0.00963032j 0.0124696+0.000413871j -0.00126562+0.0046587j 0.00566198-0.006581j -0.00239962+0.00461692j 0.00693856+0.0131494j 0.00950036+0.000497609j -0.0107828-0.00478205j 0.00125327+0.00412554j -0.000195798+0.0123131j -0.00173304+0.00599026j -0.00179699-0.00136495j 0.00705408-0.0120042j -0.000851699-0.00567806j 0.00344738+0.00850694j -0.0105329+0.00292903j 0.00502104-0.00427853j 0.00225176+0.00471543j -0.0148594-0.012917j 0.00511512-0.000133985j 0.00597385+0.00145619j 0.011174-0.00824672j -0.0099068-0.0117138j 0.00270804-0.00540139j -0.0181753+0.00899849j 0.00530725-0.0110004j -0.0040135+0.0160651j -0.00580096+0.0148017j -0.0163056-0.00516389j -0.0251546-0.000331162j 0.0301028+0.00726157j -0.0171482-0.0125132j 0.0225388+0.00764867j -0.00823172-0.0308394j 0.00435144+0.0170223j -0.0148528+0.00708328j -0.00419221-0.00666016j -0.00666014+0.0154992j 0.0254433+0.0105738j -0.0107449-0.00622955j 0.00735278+0.00475302j 0.0274372-0.00792808j 0.0306924+0.0206832j -0.00191578+0.0188161j 0.00541445+0.00572307j -0.0179671-0.00355287j 0.0216503+0.010411j 0.0129086-0.00221051j 0.00261898+0.00590975j -0.00400714+0.00385243j -0.0170078-0.00855279j 0.00739641+0.0130104j -0.00759426+0.000416392j 0.00373972+0.00213693j -0.00847556+0.0103693j 0.00951444-0.00392228j -0.00610321-0.0101573j -0.00666328-0.00259504j 0.00053747+0.00497745j 0.00111854-0.00741158j 0.0007831+0.00205613j 0.0126098+0.0135285j 0.00582778-0.00137013j -0.00199228-0.00972175j 
-0.0637957-0.00974274j -0.0346777+0.00116564j -0.0402753-0.0183584j -0.0399545+0.138969j 0.0172808+0.0468943j 0.0826135-0.105444j -0.091201-0.0379854j 0.0957616-0.0790457j 0.154051+0.228834j -0.173038+0.188312j -0.0705518+0.0831878j 0.0913581+0.0800599j 0.113224-0.0827191j -0.00100281-0.0269867j -0.126111-0.128238j -0.0223425+0.0229797j 0.0639804+0.0371009j -0.0252684-0.00747622j 0.0286494-0.0610004j -0.0200909+0.0251706j 0.0077009+0.0101283j 0.00493868-0.00203867j 0.0207117+0.0164394j -0.0308499+0.0202278j 0.0284225-0.0231988j 0.0257597+0.0202962j 0.0329199+0.0477711j -0.0257131+0.00841673j 0.0055138-0.0480937j 0.00741863-0.0244224j 0.0151832+0.000352067j -0.0102476-0.00467857j -0.00749868-0.0277617j -0.0191306+0.00169178j 0.00308988-0.00682527j 0.00787742+0.00132432j 0.0181074-0.0180431j -0.0104609-0.00765914j 0.00972405+0.0206647j 0.0119984-0.000408488j -0.00461508+0.00521687j -0.000711372-0.00676587j -0.00465596+0.0264859j -0.00554603+0.0108018j 0.00575762+0.00734995j 0.01115-0.0166362j -0.00666758-0.00658199j 0.00234065+0.00595495j -0.0154089+0.00845102j 0.000176621-0.00275649j 0.000811667-0.00123488j -0.0207763-0.00926509j -0.000192585+0.00850388j -0.00743285+9.59173e-06j 0.013166-0.0148827j -0.00638211-1.81271e-05j 0.00127665-0.000548594j -0.000680215+0.00515208j 0.0059191-0.0123244j -0.00621448-0.00452653j -0.0024081+0.0161985j 0.0119422+0.025493j 0.00330394-0.00556103j 0.012407+0.00126828j -0.0104538-0.0281678j 0.00734217-0.00874069j 0.00807919+0.0462575j 0.0118079-0.0167069j 0.0153279-0.0149611j -0.00352459-0.0300001j -0.000399472-0.00339043j 0.0101691-0.00125689j -0.00476129-0.0144186j -7.9066e-05-0.0112461j -0.00346614+0.0143741j -0.00517964+0.00136282j -0.0241734+0.0078522j -0.00537005-0.004371j -0.00344034+0.026957j 0.00214484-0.00596067j 0.00694033-0.0224715j 0.0077258+0.0324174j 0.0079254-0.00834835j 0.000365811-0.00918718j 0.0242203+0.0148116j -0.00575897+0.00136792j 0.0161301+0.00525834j -0.00437602+0.0324345j -0.0018133-0.0107355j -0.0255669+0.00182737j -0.00207683+0.00268364j -0.00351325-0.00299048j 0.000749896-0.0208699j 0.0161488-0.00161081j 0.0349731+0.0109204j 0.0145406+0.00370044j -0.0220484-0.0211132j 
-0.0051491-0.128965j 0.0647564+0.0906271j 0.142967-0.149457j -0.0297097+0.026894j -0.0856505-0.138951j 0.141476+0.000860069j -0.0245574+0.0801767j -0.200282+0.0157198j -0.0870277+0.469124j -0.149336-0.114071j 0.171635-0.0064195j -0.0557895+0.0782432j -0.012614-0.056883j -0.077374+0.0137625j 0.0350383-0.0596929j 0.0222662+0.159161j -0.0213371+0.0700295j 0.0390008-0.031074j 0.0183085+0.0160847j -0.0110233-0.0299235j -0.00461577+0.0176335j -0.000277672-0.0126722j 0.00754891+0.00366586j 0.0484539-0.0234943j 0.0393024+0.00524676j -0.0175636-0.0133844j 0.0114062-0.0028369j -0.0177009+0.0161297j 0.0115494-0.0105606j -0.0223673-0.0376711j -0.0157112-0.00976402j 0.0105199+0.000537744j -0.00525442+0.0262896j -0.0113665-0.0187245j -0.0109169-0.00764656j -0.00467485+0.0147237j -3.49963e-05-0.00371525j 0.0022589-0.00771992j 0.0114337+0.0137439j 0.00170275+0.0217505j 0.0177595+0.0255222j -0.00346532-0.00366772j -0.00796165+0.0106255j -0.000244259-0.0113811j -0.000459869+0.01041j -0.0044314-0.00325986j -0.00180722+0.00219146j -0.0150899+0.0157859j -6.22398e-05+0.00647118j 0.0140123-0.000537099j -0.00948747-0.00254107j 0.01018+0.0241615j 0.0059668-0.00931767j -0.0147136-0.00640065j -0.0014071+0.00857573j 0.0159249+0.0123908j 0.00813079-0.00409389j 0.0318729-0.0165024j -0.000682476+0.00330675j -0.00339658+0.00740466j 0.00773448-0.0131498j -0.0206326-0.0133465j 0.00120036-0.0168137j -0.00206399-0.00629838j -0.020413-0.0189647j 0.00454806+0.00829327j -0.014345-0.00928995j 0.0105251-0.039293j 0.00363174+0.00893951j 0.00444815-0.00137269j 0.0238648+0.0139542j 0.0230156-0.0168227j 0.00639304-0.000347496j 0.000211862+0.00768041j -0.00919815+0.021363j 0.00493663+0.0171226j 0.00549715-0.0044816j -0.00270395+0.00106944j -0.00536754-0.00959977j 0.00123612+0.000756278j 0.0217357+0.000386855j -0.0045024+0.0094284j 0.000838695-0.00799039j -0.00343292+0.00871753j 0.00687114-0.00178001j 0.00481997-0.00576406j 0.00460445-0.00710414j 0.00865834+0.00918682j 0.0192523-0.00901677j -0.0194116+0.000187305j 0.000129285-0.0196143j -0.00498069-0.00140103j 0.00181012-0.0111284j 0.0260327-0.0120529j -0.0199609+0.00408726j 0.0202709+0.0229142j -0.00791874+0.0134073j 
-0.00746738+0.0872831j -0.0438547-0.10209j -0.105659+0.00386377j 0.124923-0.079814j -0.0883373-0.0129937j -0.18154-0.0209665j -0.0459479+0.0797925j -0.0187868-0.2502j -0.0882926-0.125706j 0.132472+0.050431j 0.201997-0.125286j -0.000202686-0.222996j -0.00571928+0.0591312j 0.153483+0.0224288j -0.0150359+0.0622564j -0.0120163-0.135719j 0.00708141-0.0537869j -0.0285634-0.00813523j -0.0363582+0.00970216j 0.0149983+0.0179176j 0.0183478+0.00985164j -0.00525405+0.0300875j -0.0446983-0.00872586j 0.030672+0.0561608j -0.0367317+0.0247473j 0.0069295-0.0351302j -0.0276478+0.0150762j -0.0328818+0.0337112j -0.0290205+0.00610494j 0.00400297+0.00180707j 0.0135567+0.00633283j -0.00885233-0.0103734j 0.00328417+0.0111086j 0.0187383+0.0107165j 0.0160956+0.00330959j -0.0077965+0.00118897j -0.00408025+0.00627814j 0.00260048+0.0163123j -0.00250126-0.0132794j 0.0015911-0.0118561j -0.0103515-0.0239386j -0.000882818+0.0138722j 0.00832322-0.00753962j 0.0118168+0.00113818j -0.00103077-0.0103365j -0.00458739+0.00794317j 0.00357511-0.00147232j 0.0175342+0.00427493j 0.0010768-0.00685901j -0.00255595+0.00951084j -0.000272083+0.0191497j 0.0018731-0.0130718j -0.00739763+0.00840233j -0.00452188+0.011454j 0.00207031-0.00248964j 0.0290472-0.0103862j 0.00149687+0.00501261j 0.00374224+0.00225037j 0.0141658-0.00440706j -0.0298255-0.0163994j -0.0144775-0.00423675j -0.00315609+0.0166529j -0.01714+0.0171623j -0.00340601+0.0160353j 0.00398823-0.00535139j -0.00279542+0.00147051j -0.00467113+0.0262589j 0.00702814-0.0181823j -0.030586+0.00423778j 0.00620428-0.00037362j -0.0263585-0.00241045j 0.0163982+0.000520714j 0.0165389-0.0112317j 0.00156721+0.000712917j 0.00955645+0.00597212j 0.000874495-0.00316138j -0.00409667-0.00197925j -0.00807484-0.00217994j -0.0101964-0.0112295j 0.00242036+0.00492217j 0.000336396+0.00608031j -0.0141485-0.0121976j -0.00335262+0.00180767j -0.00380919+6.39175e-05j -0.00563893+0.000299521j -0.00453781+0.000798395j -0.00603826-0.000912962j -0.00820182-0.0106384j 0.00366891+0.00431914j 0.0110701-0.00866016j 0.00132177+0.00183931j 0.00564097+0.00858859j -0.00192382+0.0111138j -0.00879997+0.013393j -0.00615614-0.00217699j -0.010847-0.00563446j 0.0168238-0.00304126j 
0.00974276-0.162475j 0.169272+0.138376j 0.22035+0.169954j -0.0565106+0.120445j 0.270055-0.120248j -0.0182937+0.104881j 0.280783+0.121641j -0.02505+0.122848j 0.0562563-0.265213j 0.12523-0.0339509j -0.0260835+0.108882j 0.0117998+0.0744038j -0.172958-0.0574939j -0.340772-0.0258037j 0.0276862-0.0329181j 0.123225+0.200343j 0.000726563+0.125944j 0.0622082+0.0726478j -0.00164815-0.0425343j 0.0195203-0.0327188j -0.0263651-0.00626197j -0.00966923-0.0370461j 0.0245305-0.0266214j 0.037009+0.0244458j 0.0120707+0.00612183j 0.0110197-0.0177189j 0.0161892-0.0108844j -0.0122021-0.00616248j -0.0109619-0.00117466j 0.00852809+0.00231764j -0.00287679+0.0213398j -0.0104899+0.0150421j -0.00183406-0.0169632j -0.0215674+0.00175654j -0.0370552+0.0211309j 0.0322507-0.0291229j 0.00182476-0.00755791j -0.0130774-0.0369502j -0.0109474+0.0170595j -0.00151936+0.0187344j 0.0261853+0.0271054j 0.00190872-0.0409498j -0.01312+0.00211155j -0.0218077+0.0066922j -0.0010721+0.0359248j 0.00197844-0.0128815j -0.00957245-0.00693629j -0.0115927-0.0156461j 0.0106935-0.00227731j 0.00403097-0.0169065j 0.00174852-0.0144104j 0.0184677+0.0130605j 0.0112666-0.0128621j -0.0139862+0.0199737j -0.0116402+0.00751196j -0.0119123-0.0199526j 0.00845854-0.00447997j 0.0107167-0.0228621j 0.0146377-0.00252494j 0.0422879+0.0055452j -0.0149827+0.0186595j 0.000771971-0.00535439j 0.00149825-0.0149443j -0.00508346+0.0154336j -0.00825008+0.0115469j 0.0190511+0.0024903j 0.0316599-0.00827469j 0.0269646-0.0162005j -0.012216+0.00984094j -0.00891213-0.00783909j 0.00162266-0.0234153j 0.013327-0.00266049j 0.00156764-0.00211374j -0.00862448+0.00327312j 0.00612747-0.0137365j 0.00118727-0.00978277j 0.0226929+0.000341996j 0.00241689+0.0179119j 0.0175576+0.0240187j 0.00886802+0.00426952j -0.0140906-0.0137605j 0.0397247+0.00685811j 0.0130073+0.00448838j 0.00995418-0.004104j 0.0106997-0.0163326j -0.000190932+0.0015159j 0.0137247+0.00196623j 0.0167833+0.000541468j -0.0422271-0.00511893j 0.00101729+0.0274454j 0.00341527+0.0314078j -0.0146342-0.0174297j -0.00087606-0.0142589j -0.0198036-0.0289627j 0.0236338-0.0114679j 0.00741404-0.0343074j -0.0238688+0.00936698j 
-0.234595-0.0126747j -0.0171794-0.130892j 0.0927845+0.312134j -0.0399028+0.142651j 0.0694448+0.165243j 0.0237051+0.237302j 0.343527-0.0520899j -0.175988-0.286229j -0.0283405-0.00829724j -0.19065+0.12155j -0.115441-0.176392j -0.0557224-0.0504783j 0.0825655-0.058173j -0.104467-0.0406614j -0.0780139-0.101074j -0.00204396-0.103408j 0.190672+0.0373458j 0.00244875+0.0894909j 0.00326761-0.0786902j 0.00131157-0.000375129j -0.0251128+0.00359871j 0.0482828-0.0818113j -0.00532867+0.0286638j 0.00949105+0.0148268j -0.0129894+0.0059408j -0.0460315+0.0226881j -0.0284977+0.0132134j -0.00464406+0.0115821j -0.00604096-0.00768286j 0.00512917+0.00591704j -0.00917081-0.0352996j -0.004137-0.0255729j 0.0199716+0.00801992j 0.0128449-0.0125019j -0.00269111-0.0427937j 0.0010499+0.0271911j 0.0147593-0.0163567j -0.0181757+0.0114275j 0.0299868+0.0315364j 0.0364289-0.00311673j 0.0033372-0.0149839j -0.0117932+0.000685706j -0.00041627+0.0292339j -0.00815381+0.00411387j 0.0227064+0.0196043j 0.000497191-0.0126351j 0.00392496-0.0409939j 0.00794108+0.00567048j -0.0155364+0.025551j 0.0103599-0.0154309j 0.00901567+0.0147541j 0.000699525-0.00502528j -0.0319836+0.0153236j -0.00628825+0.00481893j 0.0202358-0.0230258j 0.0213182+0.0213523j -0.0124934-0.000171475j -0.00581447+0.00577615j 0.020824-0.00988477j 0.0185587+0.0156534j -0.00666285-0.019886j 0.00273923+0.000409868j 0.0155409-0.0183814j 0.0074707-0.017089j -0.0173355+0.00393702j -0.00915161+0.00789466j 0.00372874+0.0042762j -0.0058853+0.018111j -0.00944376-0.000256651j -0.00558694+0.00275317j -0.00284104-0.00284021j -0.00197233+0.00090455j -0.00994288+0.014055j -0.00828095+0.00067872j 0.0111705+0.00327947j 0.00714326+0.00798217j -0.0344159+0.00423521j -0.00438162-0.0211445j -0.0189813+0.0171311j -0.00541797+0.00509519j 0.0309071-0.023354j -0.00205359+0.0317379j 6.31926e-05+0.00579434j -0.00563141-0.00763073j 0.0234793+0.0222791j -0.00479325+0.00619372j 0.00533631+0.0104498j -0.0071137+0.0350921j 0.0207097-0.0158257j -0.0436762-0.0202536j -0.00824739-0.0150714j 0.00337496+0.00654296j -0.00765833-0.0187308j 0.0366512+0.020996j 0.0329352+0.0251576j 0.00779999+0.0394492j -0.0118178-0.041469j 
