-0.0517316-0.0710783j -0.0861842-0.109856j 0.0289355-0.158916j 0.0170727+0.0119164j -0.0434588+0.0719695j -0.00787721+0.0525101j -0.0117774+0.000866906j 0.0952403-0.059189j -0.0248816+0.0436302j 0.0208596-0.00351324j 0.0115298+0.00509688j 0.00363704+0.0101988j 0.0445913+0.00997141j -0.0283797+0.0070413j -0.0164887-0.000663089j -0.0334414+0.018377j -0.033076+0.00873588j -0.00420144+0.0180072j -0.0253175+0.00549774j -0.0347309+0.019744j -0.0362125+0.00526807j -0.00382179-0.0212257j 0.0293542+0.0133383j 0.00295972+0.0258554j 0.0217168+0.018999j -0.00215929-0.019545j 0.0654738+0.0616869j 0.0492095-0.0107367j -0.0312963-0.0121391j 0.0116197+0.0334229j 0.0154148-0.0113624j -0.00212468-0.0703516j 0.0117815+0.0604594j 0.0540901-0.12159j 0.0672908+0.0690629j 0.0323649+0.0108549j -0.0476038-0.075275j 0.193768-0.00820475j -0.0422271-0.0868637j 0.0113966-0.0287028j 0.0780109+0.0248877j 0.0680544+0.0584614j 0.045495+0.103965j 0.0412943-0.0407621j 0.0059808+0.038999j -0.0270112-0.0531898j 0.031146-0.0349154j -0.00276803-0.0457761j 0.0729146-0.0256873j 0.00584356+0.0316341j 0.0416798-0.00387374j -0.0533045+0.0148983j -0.0112247-0.0151791j -0.0457183+0.0164891j -0.0187215-0.0214836j 0.0482571+0.00787236j 0.0220284+0.0163491j 0.0474514-0.0104719j -0.0225536-0.000379372j -0.00309661+0.0101519j 0.0231602-0.00512435j 0.00322208+0.0152934j -0.0308501-0.0302278j -0.00805159-0.00495816j -0.0220596-0.027738j -0.00174577+0.0048341j -0.030062-0.0303377j -0.0530252-0.00923774j 0.0165638+0.00561614j -0.0596761+0.0252318j -0.0132565+0.00303187j -0.00212941+0.016386j 0.0347768+0.0416185j 0.02142+0.0348065j 0.00914793+0.0334045j -0.0296167-0.0329546j -0.0162354-0.00406668j 0.0411204-0.00135682j -0.0112476+0.0152699j -0.0477722-0.0188911j 0.0763903+0.0478643j -0.000105462+0.0217936j -0.0533367+0.00194398j -0.0469022-0.0346563j -0.0605399-0.0811459j -0.00227281+0.0665186j 0.100865+0.163452j 0.168004-0.0841327j -0.0629236+0.122026j -0.110274+0.0121257j 0.0455325-0.13643j 0.0541684+0.0896657j -0.176394-0.0429339j -0.0148515-0.000455001j 0.062655-0.0116151j 0.143296+0.0599421j 0.0604308+0.0141111j -0.119442-0.143859j 
-0.0883105-0.108645j 0.0535136+0.0738137j -0.0102543-0.0118722j 0.030762-0.164386j 0.0233767+9.31826e-05j 0.00896599-0.0220022j 0.074522-0.0792405j 0.0266554-0.0185965j 0.0385691+0.00655064j -0.0265639+0.0328256j -0.00621468+0.0133266j -0.0629866-0.00711423j 0.0752777-0.00779537j -2.93214e-05+0.0127296j -0.025859-0.00196824j 0.041816-0.0215453j 0.00821441-0.00386669j -0.0576997+0.0292335j -0.0189931+0.00183566j -0.00815437-0.000232468j 0.00131847+0.00561529j 0.00908916-0.00277494j -0.0107311+0.0023879j -0.0116845-0.0444396j 0.0110954+0.00313131j 0.0113697+0.00521902j -0.0339383-0.0191806j 0.0338415+0.077166j 0.00400429-0.0159465j -0.00200147+0.020415j 0.0417654+0.0302101j 0.0720428+0.0145832j -0.0618696+0.0889236j 0.0696717+0.0675661j -0.0168591+0.0793846j -0.0616653-0.00343738j 0.0841386-0.0946608j 0.0353095+0.112431j 0.165078+0.011447j -0.0418731+0.0238857j -0.0628789-0.056585j 0.0716287+0.0333336j -0.048985+0.0434451j 0.0224226+0.0962139j -0.0230297-0.062029j 0.0021303-0.0556047j 0.0160972-0.0116258j 0.0015327-0.00224681j 0.00558833+0.0541171j -0.0907428+0.0180937j 0.0382477-0.025193j -0.0163253-0.00233481j 0.0255152+0.019931j -0.0181906+0.00230934j 0.0642396-0.010541j -0.0332255-0.0187879j -0.0249021-0.0222868j -0.0131357-0.00646227j 0.0252346+0.0029245j -0.02504-0.0141443j 0.0505141+0.000105313j 0.0229688+0.0233334j -0.0303825-0.00893645j -0.0165559-0.0176864j 0.0528451-0.0224408j -0.0265944-0.012921j 0.0230276-0.0218079j -0.0187165-0.00241117j 0.00141408+0.0123683j 0.0672259+0.0139662j 0.00880065-0.00188606j -0.00130566+0.0136829j 0.0398189+0.0282242j -0.0203488+0.0185351j -0.0114192-0.0254503j 0.0375932+0.0154051j -0.0330781+0.013194j -0.0166826-0.0129924j 0.040486+0.0363809j 0.026316-0.0187831j 0.0313211+0.0248472j -0.0495191-0.0452548j 0.00285088-0.0676549j -0.0404872-0.011697j 0.0368929-0.00526289j -0.130851-0.0343942j -0.0846087+0.0910567j 0.0317328+0.240358j -0.1481+0.0367747j 0.0542728-0.00781557j 0.0451695+0.0360982j -0.17933+0.0593273j -0.0533473-0.0688559j 0.0726293+0.107618j 0.140814+0.0404205j -0.0790506+0.0240616j 0.117122+0.139633j 0.065648+0.0112881j 
0.128303+0.016098j -0.0264899-0.0132674j -0.00672732-0.034318j 0.0312496+0.0249852j 0.012283+0.0245197j 0.0133629-0.076334j 0.0167908+0.0406922j 0.0246936-0.144633j 0.102066-0.0312094j 0.0264775-0.00348736j 0.0946384-0.0824908j -0.0311435+0.107088j 0.104822-0.106344j -0.0124773-0.10135j -0.0197055+0.0612567j -0.0404661-0.0619275j -0.0377946+0.0183357j 0.0761897+0.0283051j -0.00894242-0.00792574j 0.0243021+0.0398974j -0.0217047+0.0265858j 0.0222694-0.0167397j 0.00355034-0.0229631j 0.00512581+0.104801j -0.00654701+0.0729231j -0.0470519+0.00110001j 0.0137747+0.0258613j 0.069332+0.0108959j 0.0833216+0.0630993j 0.0473214+0.0854129j 0.0157494+0.0284393j 0.0313796+0.0638464j 0.0203004+0.114984j -0.0563691+0.00458615j -0.19059+0.0216408j 0.121206-0.114839j -0.0949847+0.101211j -0.0300964+0.0923065j 0.0389168+0.0881992j 0.153713+0.162311j 0.0216664-0.0328178j 0.0519567+0.163245j -0.022545+0.139512j -0.0376045+0.086872j 0.218717-0.195j -0.0765018-0.135986j -0.0878385-0.0146574j -0.107264+0.136997j -0.00148529+0.0914468j 0.113988+0.00394139j -0.0254507-0.00734858j 0.0310475+0.00878345j 0.0192628-0.0293798j 0.00726-0.0739503j -0.100604+0.0383632j 0.0152255+0.0390306j -0.0326652+0.0174836j -0.0125099+0.0214205j -0.0104575+0.0258242j -0.008169+0.0234984j -0.0551625+0.0701122j 0.0180316-0.0199489j -0.0214985-0.0374532j -0.0126389-0.0573802j -0.0578268-0.00938954j 0.0391292+0.0170056j -0.0483013-0.0110612j -0.0129136-0.0319643j 0.0354724+0.016193j -0.0425541+0.0240512j -0.0183154+0.00333059j 0.0477997+0.00788955j -0.0343042+0.0105079j 0.0766051-0.0298885j 0.00723973+0.0202127j -0.0636279-0.0206927j -0.00594145+0.0941468j -0.0147241+0.068731j 0.0484694-0.0443975j -0.0266769-0.0693904j 0.0571431+0.0100079j 0.0151915-0.00950689j -0.0236709-0.00052059j -0.0371067+0.00594504j 0.0646742+0.0892794j 0.0128-0.110142j -0.0427849+0.0774653j 0.0141257-0.000789474j 0.0512681-0.030328j -0.0427359+0.0413255j -0.0116433+0.0295993j 0.0511934-0.00226401j -0.00474632+0.0112216j 0.101358+0.114851j -0.00909283-0.0140947j 0.010401+0.1369j -0.133837+0.237597j -0.203936-0.0644646j 
0.0448956+0.00551316j 0.129254+0.00521309j 0.00693269+0.00434265j 0.0297115+0.0285578j 0.0521293+0.103891j -0.0271833-0.103756j -0.0258522+0.038743j 0.00136463-0.0541296j 0.0190811+0.0317361j 0.0246267+0.00497351j 0.0219294+0.00527935j 0.0476789-0.0209338j -0.0412777+0.00425928j 0.0120918-0.0113551j -0.000435437-0.010076j 0.0223717-0.0383495j 0.0121962-0.043596j -0.0519012-0.0598221j 0.0285102+0.0118686j -0.00402089-0.0805074j 0.0387241-0.0342036j -0.0144156-0.0044692j -0.0416341+0.0313108j 0.147806+0.0220392j 0.0685867-0.0545196j 0.000281493+0.0615339j 0.153367-0.0653542j -0.153042-0.0271318j -0.00603598-0.0229394j -0.0246529-0.0773194j 0.0491546-0.0545421j 0.0796546-0.0510758j 0.122162+0.0142594j 0.0907226+0.0101458j 0.0208014+0.0146223j -0.0595087-0.29974j -0.0276791-0.0711764j -0.0396941+0.141406j 0.0148877-0.129708j 0.1107-0.158265j 0.0238737+0.0638798j 0.0735657-0.00428397j -0.0157679+0.0202133j 0.124339-0.137908j 0.0913619+0.13694j 0.266203-0.213759j -0.00670466-0.135181j -0.0174205-0.0556752j -0.160647+0.09054j 0.0327811+0.084288j 0.00654056-0.0206584j 0.0157541+0.0299334j -0.0354187+0.0730049j 0.0635827-0.0506346j -0.0370674-0.0401451j 0.0321818+0.0166402j 0.0265823-0.0193965j -0.00345921+0.0359831j 0.00896791+0.000184015j 0.0212025-0.0297059j -0.0430475+0.00709196j 0.0160119-0.0239563j 0.0242832-0.000848272j -0.0011005-0.00824361j -0.0279319-0.0191292j 0.0183674+0.0161807j 0.00068505-0.00070854j 0.0614126-0.00191708j -0.0127699-0.000423941j 0.0630376+0.0311495j 9.99577e-05+0.0132425j 0.00879041+0.0156646j -0.0463702+0.061051j 0.0025164+0.0024121j -0.00304181+0.0489511j -0.0135126+0.0313353j 0.0382008-0.0724668j -0.0235013+0.0191884j -0.0224714-0.119282j -0.00428088-0.0332483j -0.00833291-0.0410486j 0.0446189+0.0354568j 0.0628421-0.00720178j -0.0176563+0.0299137j 0.00961255-0.0878362j -0.112302+0.0420848j 0.0493123+0.0212067j -0.0157239+0.0237907j -0.0035596-0.0767675j 0.0156861+0.0977984j -0.0746349-0.000517982j 0.0315225+0.0135742j 0.00358052-0.0539785j 0.0607048-0.0489296j 0.0367671-0.0602143j 0.0781342-0.0602764j -0.204215-0.0421669j 0.112947-0.238497j 
-0.0226666+0.00600184j 0.0416805-0.0372773j -0.0186763-0.0448816j 0.0955303+0.0333366j 0.119689+0.124339j -0.0308476-0.0915675j -0.0317453+0.0160884j -0.00710763-0.0630991j 0.0571719-0.019315j 0.0500705+0.0561098j -0.0160249-0.0308576j 0.021674+0.00232708j -0.0729905-0.0250366j -0.0314254-0.0131891j 0.0513211-9.21541e-05j -0.0678231-0.0607176j 0.0229601-0.0479603j 0.0374142-0.0371467j 0.0038849+0.0506852j 0.0407139-0.016067j 0.00142497+0.0371381j 0.0801338+0.00408041j -0.0258122+0.057517j -0.0403817-0.00299233j -0.025156+0.0962759j -0.00669317-0.021595j 0.0143717+0.0929766j 0.075372+0.113678j -0.0059221-0.119045j -0.168984-0.0660666j 0.203869-0.0453183j 0.0499896-0.206547j -0.0101604-0.0468584j -0.103697+0.058587j 0.0153917-0.130487j -0.217675+0.164231j -0.000728373+0.0389241j -0.00200947-0.0326206j -0.0361395+0.0492992j -0.0171147+0.181139j 0.262231+0.0405157j -0.130323+0.227209j 0.333928+0.0133579j -0.0896854+0.213867j -0.0928298+0.11033j 0.0251436+0.0401211j -0.0249513-0.0508838j 0.0658961-0.0653667j -0.0344792+0.0104552j 0.0247586+0.0583829j 0.0130534-0.00486631j -0.00478654-0.00857958j -0.0418105+0.0334672j 0.0133366-0.0138682j -0.0252152-0.0343706j 0.0254169+0.00553338j 0.0105145+0.027249j 0.011587+0.0364641j 0.0240719+0.00533298j 0.0312153-0.00111517j 0.0252685+0.00640638j 0.0286877-0.0339214j -0.0258399-0.00135428j -0.0337677+0.0113298j 0.0193141-0.0423414j 0.00192421+0.040945j 0.0121186-0.00126232j -0.0050951+0.0143311j -0.00825884-0.0310733j -0.00157939+0.0239069j -0.0210569+0.00135687j 0.0346899-0.0142516j -0.025027+0.00485036j 0.0288545+0.0146407j -0.000392967+0.00480926j -0.00863037+0.0255303j -0.0328161+0.0223963j -0.0118951+0.00363666j -0.0224168+0.0391899j -0.0321353-0.032785j 0.0160618+0.031607j 0.0394722-0.0359314j -0.0781088-0.064206j 0.0145553+0.017964j -0.0186742-0.0737954j -0.00181415+0.0358196j -0.0215625-0.0125022j -0.0437612+0.0149907j -0.00522396-0.0373355j -0.0263232-0.027135j -0.0185364-0.0295511j -0.0469833+0.0053874j -0.00550183+0.0319096j 0.00387208+0.066578j -0.136037+0.106498j 0.113001+0.0994756j -0.0238405-0.0344231j 0.0157662-0.0614225j 
0.0365083+0.0269662j -0.0198263-0.00738243j 0.0432953+0.0177995j 0.0671098+0.0641271j 0.0428711+0.0216404j 0.00606699+0.0532599j -0.0490035-0.0458824j 0.0202803+0.0905093j 0.0126432+0.0722015j 0.016374+0.0617713j -0.0624891+0.0484308j 0.060247-0.049889j 0.0463747+0.00860998j 0.0396843+0.0545081j 0.0163031+0.102107j 0.0421846+0.0930684j -0.0313891-0.0110904j 0.038525+0.0664644j 0.0482605+0.0421025j -0.0650313+0.052077j -0.0210753-0.0582082j -0.182094+0.0225065j -0.0833128+0.0473048j 0.0178351-0.104729j 0.0576414+0.039818j -0.142334-0.103572j 0.121731-0.207979j 0.0797422-0.113716j 0.0920498+0.0599421j -0.128413-0.0100497j 0.0269846-0.114952j -0.169898-0.178416j -0.0142872-0.0163742j 0.00299426+0.0114772j -0.156641+0.0912528j -0.0472776+0.0749459j 0.0138584-0.0334993j -0.145084+0.0692292j 0.160325+0.0218257j 0.177478-0.0428752j -0.103408+0.0682312j -0.0905045-0.187671j -0.0861763+0.107226j -0.0847255-0.118066j 0.0885265-0.00792335j 0.0380603+0.0560092j -0.0546759+0.0167873j -0.00901004-0.0405101j -0.0156268-0.0445957j 0.0362504-0.0207993j -0.00949395-0.0168882j 0.00853081+0.0283762j -0.0172818-0.0225928j -0.00526544+0.022738j 0.0216466-0.036544j -0.00778063-0.030044j -0.00880424+0.016865j 0.0123567-0.0296807j -0.00584479-0.019088j 0.000273797+0.0150362j 0.0177047-0.0343432j 0.0214043-0.0332247j 0.0070723+0.0162689j 0.0356748+0.027612j -0.0102675+0.0227449j 0.00873486-0.00140239j 0.0203175+0.0255586j 0.0390187+0.0137023j -0.0402011-0.00331598j -0.0133549-0.0499738j -0.0334436+0.00386355j 0.0274-0.021909j 0.00594508+0.0481917j 0.0654902+0.0302107j -0.010573+0.0168653j -0.0182642-0.00929607j 0.032744+0.0116261j 0.0335993+0.0324116j 0.0518674+0.0547576j -0.00564367+0.0262578j 0.0186881-0.0133021j 0.0536172+0.00177316j 0.0140837+0.0562007j 0.0589298+0.0358014j -0.0116633-0.0149705j -0.00958313+0.0185115j -0.0219428+0.0281041j -0.00380142+0.000350442j -0.00604095+0.049685j 0.00831492-0.00677551j 0.0245121+0.0302307j 0.00333862-0.00372656j 0.00761569-0.0405806j 0.0650873-0.0360524j -0.0407153-0.0773974j -0.0500736+0.014601j -0.0291846-0.0451015j 0.0138283+0.00158158j 
0.0310873+0.00737012j 0.0786259-0.00508066j 0.0344882+0.0478092j 0.00915184+0.0103717j 0.0201847-0.00957509j 0.0494629+0.0402973j -0.0229588+0.00711927j 0.00818637+0.012694j 0.0637474+0.0586985j -0.0577445-0.0393371j 0.0832642-0.0202658j 0.0731432-0.00990262j 0.0695954-0.0628702j -0.0319437+0.0583788j -0.025542+0.0371718j -0.0132693+0.0946235j -0.0590274+0.0149216j 0.0558253-0.0537288j -0.0362876+0.0630653j 0.112116-0.0225797j -0.0344138-0.0249525j 0.0487923+0.0262718j 0.030476-0.0673491j -0.0517758-0.0121103j 0.0908946+0.0708082j -0.10301+0.05794j -0.167708-0.0132338j -0.253818-0.092285j 0.103462-0.0525j -0.0379104+0.32605j 0.0241033-0.132999j 0.0306325+0.123218j -0.0102247-0.0567484j 0.154498+0.0443534j 0.122797-0.0755165j -0.10638+0.0474294j 0.01175-0.0150805j 0.208597+0.0406954j 0.159354-0.0366304j -0.0786831+0.0118843j 0.0479045-0.174528j -0.0276463+0.108419j 0.0918701-0.150606j 0.0308577-0.0091714j -0.0749937-0.00924491j 0.105504+0.00646997j 0.0230748-0.00463492j 0.00883036-0.0111627j -0.0554441-0.00946273j -0.0239063-0.0118793j -0.0132315+0.00450394j 0.0140542+0.0407782j 0.00721239+0.0323239j 0.0151712-0.0125748j 0.0103467+0.0168771j -0.0168536+0.00375773j 0.000540919-0.024346j -0.014248+0.00790409j 0.00493396+0.00132145j 0.0245642-0.0127203j -0.00887763+0.00191658j 0.0267867-0.0408718j 0.0146191+0.0107282j -0.023504-0.0174615j -0.0486979-0.0121622j -0.0139276+0.0216158j -0.0149953-0.0104381j 0.00595292-0.00525942j 0.0232708+0.0247209j -0.0577901-0.00626337j -0.0108068+0.0370136j 0.00852363-0.0229347j 0.0186173+0.00370047j 0.00283691-0.0381302j 0.0497293-0.0259292j 0.0387102-0.00767289j 0.00384432-0.000778098j 0.016633+0.0198644j 0.0335301+0.00862335j 0.00757876+0.0292674j -0.00446672+0.0017385j 0.00409901-0.072814j 0.0587011+0.0280144j 0.00340382-0.0358611j 0.0154563+0.0297934j -0.0412663+0.0351803j -0.0178086-0.0157843j -0.000636448-0.0598639j -0.00921822-0.00296258j -0.004568+0.0335445j -0.0198356-0.00324684j -0.00657847+0.0440221j -0.0509752+0.017177j 0.00440683+0.0146778j -0.00699337+0.0444729j 0.0313157-0.0396332j -0.0173044+0.00311509j 0.0248517-0.00150096j 
0.0635476-0.0454746j -0.00685784-0.00301136j -0.047712-0.00888265j -0.099329+0.0372135j -0.0992111+0.0240681j -0.0377302+0.0469863j 0.0374671+0.0191165j 0.0154832-0.0184631j 0.00786748+0.127904j -0.0381818-0.0656594j 0.0791261+0.085525j -0.0098746-0.0155644j -0.00811896-0.0335165j 0.0954815-0.00982634j -0.0645463+0.044073j 0.0968285+0.00868035j -0.0326961+0.0297388j -0.0363139-0.0138818j 0.00501451-0.111264j 0.108142-0.0589445j -0.014501-0.0442706j 0.0793672-0.000296934j 0.0148923+0.102293j 0.0542045-0.118566j 0.109435-0.0979178j 0.00320925-0.0174944j -0.12943-0.0209615j 0.0939495-0.0237624j 0.182111+0.120343j -0.0522668-0.10503j 0.133479-0.139739j 0.210579-0.0937409j 0.0481045-0.0483994j -0.171637+0.0516184j 0.104545+0.0354858j 0.00480305-0.0574045j 0.0896893+0.0208859j 0.0841254-0.0773629j -0.00575703+0.2018j -0.185749-0.0667803j 0.140549-0.148476j 0.082003-0.10501j 0.0357915-0.0889459j 0.146374-0.131072j 0.00340388-0.0183763j -0.00784513-0.0446058j 0.0863281-0.0747653j -0.0327706+0.027748j 0.00116978+0.00953817j -0.0374332+0.00364307j 0.00396718-0.0421107j -0.0150551+0.0555615j 0.0162731+0.00260371j 0.00258531-0.0106878j 0.00584932-0.00849918j -0.021002+0.0129317j -0.0158182-0.0266527j -0.00764485-0.0166909j -0.0106118-0.0294724j -0.0256848-0.00747632j -0.0215837+0.00417079j -0.0265373+0.0138797j -0.0125664+0.0350151j 0.0112172-0.0437605j -0.0263665+0.00988623j 0.0108279-0.0331614j -0.0189155+0.0432412j -0.0174779-0.0120815j 0.0100169-0.016284j -0.0174323-0.0295009j -0.0113984-0.0173469j 0.0212684-0.00787698j 0.00824266+0.0314431j 0.010831-0.052343j 0.0113006+0.0131864j -0.0106091+0.0479379j 0.025668-0.00623234j -0.0404389+0.00341657j 0.00603228+0.00449693j 0.0115467-0.0124779j -0.000623974+0.0453022j -0.000182672+0.0337996j 0.00806243+0.0208514j -0.0228285-0.00554604j 0.0134101-0.0132728j -0.0175465+0.00910285j 0.0205214-0.00361545j -0.0176159+0.0135262j 0.0375605+0.0274824j -0.0143207+0.00437301j -0.0165014-0.0122741j -0.0271636+0.0112887j -0.0217631-0.0171498j -0.0461882+0.0232486j 0.083463-0.0308213j 0.018799-0.0871014j 0.00106638+0.0424128j -0.0326472-0.00681134j 
0.000257538-0.0331812j -0.0228386+0.028208j -0.0229453-0.0287113j -0.072283-0.029389j -0.0205012-0.0398464j -0.00440466+0.028588j -0.0423375-0.00207878j -0.025796-0.00731992j 0.0135502+0.0998093j 0.0462005+0.00885455j 0.00424704-0.0230487j 0.0635697-0.00816374j 0.0232062+0.0328101j 0.00865599-0.0763566j -0.000509717+0.0875862j -0.0101616-0.0148011j 0.0134397+0.00315392j -0.0274772-0.00213323j 0.0068006+0.127406j -0.00406209+0.0798261j 0.103809-0.115624j 0.0148373+0.0794847j -0.0881654+0.0729547j 0.0156464+0.0545291j 0.128047-0.0524737j -0.151264-0.162044j -0.0883051-0.0515616j -0.0751718+0.0587384j 0.0241274-0.0131329j -0.00231593-0.0225077j 0.19171-0.0168733j -0.0712115-0.0141253j -0.133417+0.149186j -0.0787391-0.0919262j -0.0476516+0.128904j -0.0932653+0.130092j 0.0393383-0.182429j 0.0537831+0.00517054j 0.0748099+0.0559527j -0.110246+0.0578304j 0.00193864-0.0198029j 0.0495297-0.0865315j 0.00305956+0.026751j 0.0693311-0.0164699j -0.033233-0.00481284j 0.010553-0.0259268j 0.0274117-0.0088679j -0.00690386+0.0330453j 0.0424185+0.0133305j -0.0255079+0.0220051j 0.00377674-0.0387078j -0.0112226+0.0155485j 0.00467695-0.0583832j -0.0366618+0.00093081j 0.0366678+0.0105729j -0.0156551+0.0136197j -0.0203091+0.01477j -0.0022954-0.0169061j -0.0143738+0.000830637j -0.0136764+0.00565981j 0.00465635-0.0104103j 0.0154686+0.00215573j 0.018735-0.0129348j 0.0250772-0.0116367j 0.0188403+0.00626098j -0.00501543-0.023539j -0.0168239-0.015463j -0.000759177-0.0179307j 0.0283915-0.0335946j 0.00953711+0.00261558j -0.00755599-0.00119544j -0.0240594-2.1563e-05j -0.0129036-0.00151475j 0.0395418+0.00947552j 0.0165626+0.0184462j 0.00943367+0.0304954j -0.000880204-0.00466262j -0.00767624-0.0151524j 0.0411468-0.00436122j -0.0119047-0.0165819j -0.0200279-0.00458042j -0.000278515+0.0152172j 0.00137607-0.0011679j 0.00574589-0.0345984j -0.0136646+0.0176691j -0.00822582+0.0160924j -0.00940621+0.00849886j -0.0124711+0.0351845j -0.00867118+0.0199217j 0.00499504-0.0118514j -0.0175729+0.000478242j -0.0251218+0.00428099j -0.0198963-0.00245806j -0.00219547+0.0276238j 0.0352281-0.0337996j -0.0305576-0.0145414j 0.0333412+0.0173252j 0.00540533+0.0252659j 
0.0269679-0.0162921j -0.0420912+0.0248452j -0.0554232+0.0193215j -0.0455588+0.00514572j -0.00663963-0.0357424j -0.127667+0.0312779j -0.00274018-0.0734184j -0.00109813+0.0490349j -0.00353743-0.0871806j 0.096094+0.0312533j -0.0558424+0.0538778j -0.0144703+0.00767012j 0.012716+0.0223317j 0.0488335-0.0218118j -0.01853+0.0725964j 0.0447907+0.043504j -0.075838-0.0713844j 0.0935212-0.0832436j -0.11107+0.0211883j -0.00149534-0.0857902j -0.119633+0.0954275j 0.00122179-0.105462j -0.0461113-0.22398j 0.0560525+0.00729169j -0.150785+0.0775764j -0.0049919-0.0447496j 0.11104+0.127744j -0.0662919+0.0719472j 0.148775-0.0344831j -0.154403+0.107155j -0.0347571+0.0769607j -0.00576328-0.035733j 0.173681+0.0132137j 0.0278475+0.170443j 0.188434-0.0377688j -0.0439312-0.169079j 0.0526692-0.106658j 0.0140096+0.156912j 0.0164431+0.0192376j -0.0505902+0.158565j 0.0352379-0.105333j -0.049295+0.0128827j -0.0390644-0.0202873j 0.0984473-0.0171776j 0.104607-0.012925j -0.00457543+0.001136j -0.00617176-0.00101518j -0.00109433+0.0288146j 0.0117276+0.0333617j 0.00962415-0.0310393j -0.0284395+0.00771659j -0.0167337-0.0366259j -0.0102265-0.0416185j -0.00141332-0.00381481j 0.00170772+0.00398747j -0.00919092-0.00841009j -0.00464845+0.000958196j 0.0218181-0.0325613j 0.00353922-0.0223775j 0.00147228+0.00261179j 0.0317124+0.0170599j -0.0322509+0.0509737j 0.0119397-0.0139872j -0.00276018+0.00811964j 0.0257068+0.010107j -0.0334441+0.0179826j 0.0162337-0.00778197j -0.0103525+0.0175082j -0.030992+0.0165418j -0.0105721+0.0267404j 0.00813025-0.0204485j 0.0172856-0.00339482j 0.0097366-0.0376021j 0.0317386+0.0205223j -0.000830951-0.0200338j -0.0202904+0.0256585j 0.0128953-0.0119636j -0.0362448+0.0284082j 0.0168316+0.0224898j -0.0187321+0.00431461j -0.0116759+0.00319893j 0.0206826-0.000363377j 0.00449484-0.0244321j -0.00682563+0.00604175j 0.0122285+0.0188577j 0.00508789+0.0204892j 0.00390723+0.0123856j -0.00989073+0.000352664j 0.00643206+0.006618j 0.0161267-0.0148417j -0.00167416+0.00379699j -0.0224025+0.00981805j 0.00849324+0.00638832j -0.0168809+0.0236967j 0.0195031-0.00767666j -0.010175-0.0194346j 0.0107398+0.00116138j -0.00724802+0.0358627j 
0.00154622+0.0101233j 0.0317491+0.0199009j 0.0330061+0.00816858j -0.0447446-0.0339388j 0.016852-0.0838923j 0.00705711+0.0177914j -0.0416696-0.0148073j -0.0749955+0.0632973j -0.0272736+0.00619883j 0.027497+0.0962691j -0.0208242-0.0392389j 0.0796762-0.120921j 0.028306+0.0651283j -0.072944-0.0534739j -0.000127332+0.0144288j 0.0264807+0.0721717j 0.0222377+0.0641219j 0.000652632-0.0442008j -0.0250053+0.0231532j 0.0792744+0.00187765j -0.203329+0.11739j -0.0894402-0.0369642j -0.1371+0.0844797j 0.0167737+0.0878384j 0.0908512+0.11681j -0.0376336+0.112148j 0.0218002-0.0992968j -0.102273+0.0680308j -0.12292+0.0774605j 0.00442455-0.041519j 0.207714+0.119956j 0.0763627+0.0809277j -0.0906283+0.139609j -0.12881-0.121156j -0.0603022-0.131275j -0.144118+0.0225851j -0.00548823+0.0127759j -0.0108427-0.00108783j 0.0267076+0.101683j -0.142601+0.117358j -0.0122156-0.0370127j -0.0137676+0.00245949j -0.0390424-0.0364358j -0.011192-0.00271896j -0.00439952+0.00291777j 0.0841158-0.0613098j -0.00560364+0.0328258j 0.00860575+0.0116115j -0.0187986+0.0190458j -0.00266565-0.0153878j -0.00808004-0.0163758j 0.00655159-0.018262j -0.00540915-0.0193127j -0.0135083+0.0190874j 0.0442277+0.011264j -0.024473-0.00290573j -0.00603756+0.013448j -0.00637683-0.0143455j -0.0016205+0.0189169j 0.0117173-0.0212752j -0.00590423-0.0213894j 0.00394584-0.0157193j 0.0176661-0.00124956j 0.0123155-0.0133403j 0.00231848+0.0106905j 0.0125247-0.0134974j 0.0524641+0.00709369j -0.00114286-0.0031016j -0.0226067+0.0273574j 0.00470667+0.00983768j -0.0165032-0.0377449j 0.054351-0.00381811j -0.0278596-0.0216501j 0.0174785+0.00905819j 0.00326186+0.0176098j 0.00631267+0.0137773j -0.00746907+0.010608j 0.019842-0.0191028j 0.0259745-0.0135953j 0.0247307+0.0249394j -0.00873378+0.0062951j 0.0105365-0.00436801j -0.0135244-0.0233198j -0.0100053-0.00457643j -0.0167322+0.0228398j -0.00806583+0.00666177j -0.00255986-0.0399994j -0.00876741-0.00321293j -0.00678791-0.0113641j 0.0192842+0.0112179j -0.0327119+0.0135765j 0.00188881-0.013241j -0.00969426+0.021194j 0.00314167+0.00752874j -0.0130173-0.0208831j -0.0288141-0.0139661j -0.0108854-0.0132046j 0.0267354+0.0155549j 
