0.000107513-0.0167233j 0.0356143+0.00494892j -0.0532444-0.045246j 0.00732007-0.000917865j 0.00170784-0.00720311j 0.032777-0.0149111j 0.0696813-0.0873574j 0.131801-0.00777374j 0.00139642+0.0136245j 0.0161915-0.00681803j -0.0461048+0.042844j 0.0290696-0.00386158j -0.0128094+0.0323755j -0.00105043-0.00149834j -0.0205986-0.0314062j 0.0108185+0.00393023j 0.0187062+0.0299173j 0.020579-0.0118118j -0.00303242-0.001801j -0.0201627+0.00398313j 0.0135693-0.00732186j 0.00170755+0.0048337j -0.0180256-0.00929854j -0.0111448+0.0151332j -0.000646415+0.0104574j -0.0194587-0.00508376j -0.000998435-0.00637708j -0.00631588-0.00168314j 0.0146854+0.00730153j -0.0155084+0.00759955j -0.0383261-0.0119634j 0.0144137-0.0260364j 0.0172939+0.0195852j 0.0134579+0.00458514j 
0.00744592-0.00302572j -0.0312382-0.0150358j 0.109308+0.0714673j -0.0204698-0.0438772j -0.00271898-0.00970796j -0.0433115-0.0693458j -0.112156-0.0280396j -0.209458-0.106174j -0.0179843-0.00618625j 0.0357976-0.00493087j 0.000396405-0.0193455j -0.0242599-0.00840523j -0.0231175-0.0277217j -0.0268423-0.00912372j -0.010106+0.0367202j 0.0182115+0.00180215j -0.0323863-0.0651283j -0.00553328+0.00457049j -0.0169892+0.00632283j 0.00359967-0.0104007j 0.00429701-0.00048923j -0.00721629-0.0276414j 0.0160064+0.0412923j 0.00266715-0.000563736j -0.017748-0.0484018j -0.0176071+0.00441836j -0.0209865-0.00210205j -0.015185-0.0214343j -0.0256514-0.00709338j -0.0266765+0.000297003j 0.0271769+0.0261078j -0.000478857+0.0280989j -0.0108529-0.0374779j -0.0294579-0.0716892j 
-0.0246448-0.0138982j -0.0451574-0.0069502j 0.0663341+0.00871451j -0.00508861-0.0188898j 0.0244955+0.00196274j -0.13031+0.0328947j 0.145294+0.149175j -0.0561273+0.105419j -0.0423663+0.00221351j 0.0232819-0.0114154j 0.0102431-0.0282333j 0.0168676+0.0143185j -0.0308263-0.0320106j -0.00415075-0.00782089j 0.027426-0.0110465j 0.000205561-0.00599193j 0.00385201+0.00777266j 0.0134728+0.0451703j -0.0200536+0.0229224j -0.0383331-0.0470451j -0.0108429+0.00308121j -0.014243+0.0127616j -0.00595251-0.0126714j 0.0111752+0.00253787j -0.00915502+0.0270789j -0.0207014-0.0105631j 0.0198247+0.0140451j 0.0169037+0.00358769j -0.00528346+0.014826j -0.0315884-0.0177286j -0.00698711-0.0220775j -0.0119002-0.000897626j 0.0182234+0.0364803j -0.0179896-0.012596j 
-0.00227733-0.0207041j -0.00588318+0.0184449j 0.0119154-0.0787591j -0.0220657+0.0106501j -0.0114917+0.0224959j 0.0699902+0.0248827j -0.00467294+0.162388j 0.0106431+0.187831j 0.0314071-0.000563289j 0.00534206-0.0136622j -0.00237743+0.000801422j -0.00428133+0.0186637j 0.00180818+0.014868j 0.0159252-0.0161527j -0.0133739-0.0407114j 0.00575998+0.00875397j -0.000552818+0.0367465j -0.0117783+0.0345109j -0.00931991-0.00976589j -0.0118196-0.0216998j 0.0136313+0.0194451j -0.00309151+0.0380986j -0.00697085-0.0412781j 0.00867303-0.0327818j 0.00830142+0.0505156j -0.00134386-0.020589j -0.00957929-0.0155598j 0.00865782+0.00794786j 0.0192553+0.0189916j -0.00265451+0.00310999j -0.00876057-0.0143692j -0.00257033-0.0131825j 0.00208271+0.0426971j 0.0178558+0.0523003j 
-0.0296897-0.00793075j -0.0482803-0.035812j 0.128697+0.0403779j -0.0154987+0.0236813j 0.0906085-0.0108096j 0.0294575-0.00103912j 0.100364+0.0658491j -0.146605+0.0556603j 0.00241119-0.0249485j 0.00690344-0.0123877j 0.000930488-0.0420327j 0.030772+0.00608291j -0.0467715-0.015277j -0.00315353+0.00341368j 0.00919462+0.017271j 0.00755346-0.0227393j -0.0158404-0.0288645j 0.00484651+0.0453177j -0.00462481+0.0228838j -0.0266-0.0365255j 0.0136173+0.0215169j -0.00999693-0.0133887j 0.00196651+0.0194038j 0.00593034-0.00242594j -0.0228768+0.00641878j -0.0150538-0.0240181j -0.00560653-0.0143746j -0.0110559-0.000889118j -0.0151886-0.00833331j -0.0253502+0.00802062j 0.023012-0.0242976j 0.0214172+0.0259159j 0.0433898+0.0250097j -0.0304477-0.0424015j 
0.0228932+0.0052049j -0.00564372+0.0460668j 0.0671059-0.132278j -0.0119649+0.00729307j -0.0573705-0.00170924j -0.0387692+0.0734361j -0.0861247-0.0365356j -0.15576+0.200766j -0.0116445-0.00720498j 0.0153192-0.0406121j 0.0172468-0.0202787j -0.0374188-0.00334518j 0.00125195+0.0370096j -0.00502541-0.00959498j -0.0207598+0.00229824j 0.00046234-0.00988118j -0.0033091+0.0141571j -0.0120466-0.00703182j -0.0170174+0.0345409j 0.0106993+0.0688517j 0.000767442-0.0236519j -0.00507389+0.0487795j -0.000122555-0.000332005j -0.00495839-0.00364335j 0.016043+0.0108486j 0.0104477-0.00525525j -0.0143775-0.00221145j -0.00151531-0.0188712j -0.0119658-0.0138114j -0.00850772+0.0172199j 0.0450585-0.0184305j -0.0314672-0.00755382j 0.0144365-0.00870012j -0.0173091+0.0451477j 
-0.0404899+0.0414458j -0.0554997+0.0301975j 0.0753144-0.0734894j 0.0049009+0.00443934j 0.0481658-0.0657782j 0.0155454+0.0181023j 0.230148-0.219784j -0.0112852+0.0601567j -0.0411183+0.0633949j 0.0152765-0.0105029j -0.00860583+0.0136015j 0.0283746-0.0549084j -0.0451118+0.057563j 0.00298083+0.0117418j -0.0149504+0.0417744j 0.00641631-0.0120717j 0.0140033-0.00909253j 0.00654356-0.00514939j -0.0145374+0.0110879j -0.00269079+0.00494362j 0.00898758-0.0274143j -0.00365138+0.0221339j 0.010486-0.00418268j -0.012732+0.0296429j -0.0214915-0.0116212j -0.00471406-0.0108401j 0.0106987+0.0151007j -0.0264379+0.0161386j 0.00383969-0.00325716j -0.0398026+0.0282898j -0.00790922+0.0084734j 0.0359613-0.0178241j 0.0264851-0.0179733j 0.0146382+0.0076054j 
-0.0566392+0.00226186j -0.0146219-0.0316345j -0.0239829-0.00147452j -0.0399262+0.0548159j 0.105548-0.00568881j -0.0543761+0.00356564j 0.0257544-0.023297j -0.00958319-0.0078138j 0.0131156+0.0333953j -0.0239444+0.0127733j -0.0155828-0.0126108j 0.0282136-0.033028j -0.0416947-0.0360292j -0.00915624+0.0254017j -0.00637295-0.0196758j -0.0165545-0.0342006j 0.0166121+0.0240074j -0.00705485-0.000854304j 0.0299307+0.0019724j -0.0220317-0.00242002j 0.0258842+0.0108672j 0.0114043+0.0104038j 0.00746381+0.0361712j 0.000997866-0.0083597j 0.00552775+0.00935552j 0.0226965-0.0126178j -0.0084363+0.010494j 0.00209278+0.00457267j -0.0106988+0.022346j -0.00501728-0.00307917j -0.0113236+0.00240228j 0.0112907+0.0128567j 0.00442883+0.0123251j 0.00304235-0.00771916j 
-0.00326431-0.0402457j 0.0135114-0.00970397j 0.0131947-0.000267267j -0.0629035-0.0248979j -0.0270246+0.0954799j -0.0650386+0.00363656j 0.0267795+0.065266j -0.030527+0.0533733j 0.0254959-0.0123918j -0.0275173-0.0168112j -0.0131488+0.0279513j -0.0239924+0.058261j -0.0228721-0.00104541j 0.014214+0.00272532j -0.013895-0.0227361j -0.0210336+0.00162069j 0.0109354+0.00788518j -0.00954665+0.038528j -0.00120764-0.0101312j 0.0206429-0.00402453j 0.000620433-0.0121925j -0.00200015-0.0112086j 0.0420581-0.0207341j -0.00238449-0.00878751j 0.0102351-0.00604326j -0.0112819-0.0168994j 0.00837789+0.0074367j 0.000447299+0.0166729j 0.0127029+0.014712j -0.00300819-0.00738341j 0.00109102-0.0121468j -0.00393046+0.0194895j 0.00178085+0.0221542j -0.00908413+0.00994489j 
-0.00153241+0.0121998j 0.00466122-0.0155555j 0.0110646+0.0551019j -0.0453575-0.0315196j -0.0365862+0.0232311j -0.032368+0.00701991j 0.0331521-0.17266j -0.0177621-0.114706j 0.0482396+0.00287804j -0.00217098-0.0128602j 0.0170478-0.0234653j -0.0106286-0.00783236j 0.00492162-0.0157537j 0.0288767+0.0130956j -0.00593717+0.0531963j -0.00654564-0.0232463j 0.0283861-0.0650411j -0.000774033-0.021292j -0.0208212+0.00698756j -0.0535699+0.0208396j 0.00565699-0.0137634j -0.00340903-0.0103695j -0.00639502+0.0354464j 0.0199919+0.0141846j 0.0150962-0.0414594j -0.00403476+0.0302766j 0.002177-0.00932703j 0.00576519+0.00338945j 0.0074437-0.0119279j -0.00655211+0.0100296j 0.00979911+0.0244279j 0.0102534-0.000266779j -0.00418892-0.0288377j -0.00182324-0.0622194j 
0.0169362-0.0302472j -0.0289433-0.0141188j 0.117516-0.0660403j 0.0152051+0.0447991j -0.0401984+0.0239605j 0.00703766+0.0549976j -0.226339+0.115031j -0.293431+0.225447j 0.0162479-0.00511792j 0.0416087-0.00657768j 0.0322156-0.0303502j -0.0395963+0.0219188j 0.00027022-0.00158655j 0.00313342+0.0467392j -0.0154246+0.0135945j -0.00272553-0.038074j -0.0252913+0.0208278j -0.00495274+0.0258019j -0.00877397+0.0256216j 0.0191232-0.0449981j 0.00119233+0.00601989j -0.0339369+0.0248287j 0.0116616-0.015752j -0.00795197+0.00630165j -0.0136714+0.0231436j -0.00975766-0.0103102j -0.0119507-0.00564957j 0.0116831-0.00515401j -0.0280084-0.0084616j -0.00894137+0.00299945j 0.0745637-0.00718404j -0.0102393+0.0428266j -0.00956948+0.00967176j -0.0415368+0.00682783j 
