0.00792501+0.0347958j 0.020537+0.00407966j -0.0198298+0.00821535j 0.0166861+0.0520389j 0.00471824+0.00738375j 0.0027388-0.0284298j -0.0260881+0.0115285j 0.0102149-0.0181766j 0.0233872+0.0511346j 0.00740572+0.0388244j -0.00622848-0.036631j -0.00494223-0.0166621j 0.0158656+0.0421294j 0.00853304-0.00757264j -0.0102876-0.0274868j -0.0281029-0.0245255j -0.0133664-0.00541327j 0.000978734+0.0232714j -0.0133436+0.0047016j -0.0264303+0.0309074j -0.000625308+0.033227j 0.0196285+0.00499585j 0.00197566+0.0341047j -0.0174823+0.0135746j 0.0192026-0.00572159j -0.0130231+0.0115114j 0.0107534-0.0213798j 0.0219983+0.0530069j -0.0183239-0.0582655j -0.0122967-0.0172244j -0.0165448+0.0165309j -0.0103159-0.0347256j -0.0152466-0.00897275j 0.0166815+0.0485085j 0.00387957+0.00690768j -0.0194195+0.00764245j 0.0302333+0.0141502j 0.00820933-0.0191686j -0.035814-0.0209251j -0.0202715-0.0204151j 0.0103176-0.0331277j -0.0263537+0.0258865j 0.0479184+0.0230133j -0.00332177-0.0427858j -0.0125193+0.0589705j 0.00831178-0.0639133j -0.035616-0.040074j -0.00420571+0.112813j 0.00659044+0.00812074j 0.0203465-0.00893795j -0.0576487-0.00719774j 0.0413507+0.147646j -0.0364757+0.0572601j 0.0111332+0.060548j 0.0295771-0.0785061j 0.0258915-0.0678697j -0.0352536-0.00388332j -0.0243008+0.00153782j 0.00463667-0.048541j 0.0449701-0.0384277j 0.0752702-0.000586502j -0.0260857+0.000763617j 0.0453685+0.0438625j 0.0265146+0.017437j -0.000737484-0.0479956j 0.0320517+0.0919616j -0.00424377-0.0474452j 0.00156703+0.116919j -0.0123314-0.0312555j 0.00273288+0.0128398j 0.0404007-0.0228295j 0.00791942+0.0154721j -0.0110939-0.0348183j -0.00547554+0.00621234j -0.0117026-0.0175098j 0.0200977+0.0301315j -0.0131658-0.0326907j 0.0168676+0.0156791j 0.0120131+0.0132247j -0.0258241+0.0205153j 0.0226173-0.0249209j 0.000728873+0.0536193j -0.00332268+0.0187407j -0.0188684-0.00281169j -0.00252764-0.000981749j -0.00555739-0.00360288j 0.0268297-0.0171261j 0.0199215+0.019572j -0.00874896-0.0253342j 0.0160531+0.0470911j 0.00803092-0.00270702j 0.0355565-0.0151849j -0.0178327+0.052989j -0.0421549+0.077927j -0.0256526-0.295308j 
0.0201604+0.00725556j -0.00810213-0.036879j 0.0126297+0.0460154j 0.0216448-0.0083015j 0.0113221-0.00772224j -0.0130012-0.00826287j 0.0176825+0.0457555j -0.004558-0.022203j 0.0261159-0.0224299j 0.0153463-0.00571385j -0.0200453+0.00462606j -0.00306992+0.00158624j 0.0252374-0.015695j -0.00379762-0.020252j -0.00714964+0.0165075j -0.0128121+0.0441424j -0.000907134+0.0287693j 0.00714481+0.0145571j 0.0050111+0.023j 0.0251863+0.0396792j 0.0224184+0.00771776j 0.0021385-0.0380346j 0.026189+0.00619045j 0.00767212+0.0252221j -0.00112118-0.0403176j 0.00759179+0.0243618j -0.0226865-0.0325914j 0.0132999-0.0316182j -0.0279936+0.013704j -0.0121758+0.0169781j 0.00902706+0.0185906j -0.0164598-0.000172029j -0.00502796+0.0290378j 0.0183895-0.014132j 0.00653905+0.00428236j 0.00398945+0.0355176j 0.0147611-0.0557227j -0.0161121-0.019063j 0.00441819+0.0668185j -0.0026351+0.0302034j -0.00851164-0.0297586j 0.017584+0.0634101j -0.0072617-0.0845509j -0.028083-0.0155208j 0.0280009+0.0388568j -0.0430678-0.0140976j -0.0231045+0.0551051j 0.0567783+0.0169041j 0.00813099-0.017277j -0.0107098-0.0307972j 0.00706703+0.110432j 0.0798711-0.0523934j 0.0324416+0.068398j 0.0237675-0.0128006j -0.0461675-0.074934j -0.046826-0.0538575j -0.00537717+0.0614447j 0.0163398+0.0503144j -0.0292919-0.00824045j -0.0273821-0.0898864j -0.0136039-0.139842j 0.00040548+0.0482471j 0.0232232-0.0788499j 0.00151854-0.0454904j -0.0254913+6.46334e-05j 0.0456697-0.0500132j -0.0222923+0.00712228j 0.0640835-0.000689872j -0.0172247+0.0170683j 0.00722632-0.00813709j -0.0157145-0.0740852j 0.00695522-0.0157097j -0.0276848+0.00793555j 0.00841356+0.0134845j -0.00240167+0.0193422j 0.022741-0.0359525j -0.0162693+0.0198301j 0.00880293-0.0247218j -0.00226403-0.0131563j 0.00456913+0.047123j -0.0166368-0.0578093j 0.0251599-0.0136034j -0.00540238-0.0108206j -0.0128991+0.0135558j 0.0124596-0.000200418j 0.00302054-0.0136729j -0.0136683-0.032218j 0.0112504-0.0268505j -0.0200056+0.00666061j 0.0094739-0.00879607j -0.0106981-0.0480891j -0.022336+0.0110577j -0.0358813+0.00547832j 0.0241375+0.296234j -0.0410857+0.0885243j 
-0.0287478-0.0100091j 0.00897301+0.00910171j -0.00072676-0.0119845j -0.0153037-0.0345472j -0.0211936+0.0418681j 0.0222305+0.0296437j -0.0301251-0.00224739j 0.0111206+0.0506236j -0.0337351-0.0232928j -0.0236601-0.0532635j 0.0346984+0.0127684j 0.000707063+0.0614178j -0.0340106-0.0162009j 0.00458493+0.0273487j 0.019828+0.0472917j 0.00167009-0.00219665j 0.00764694-0.000592678j -0.024344-0.0211263j -0.00905135+0.0263979j -0.0105636+0.0878016j 0.0344424+0.0309044j -0.00711522+0.0224059j -0.0386999+0.03209j -0.0287686-0.0392371j -0.00791411+0.050293j -0.021965-0.0249328j 0.0323727-0.012589j -0.020202-0.0673497j 0.0462798+0.0549903j 0.0105205-0.0376323j -0.0109235-0.0114641j 0.0194126+0.0025107j 0.0201713+0.0353729j -0.0230381-0.0455512j -0.0126231-0.0325155j -0.0203978-0.0243068j -0.011815+0.07604j -0.00437874-0.0166475j 0.020859+0.0874299j -0.00174506+0.0373725j 0.0392066+0.054473j 0.0393779+0.0578732j -0.044172-0.0867171j 0.0824149+0.0392303j -0.0451081-0.0545586j -0.0142941-0.0647509j 0.0192682-0.0597336j 0.0384412+0.0185185j 0.0162564+0.0663465j -0.0493094+0.0174838j -0.0260842+0.0899582j -0.0126682+0.105039j -0.00338054-0.0222013j -0.0238364-0.0381157j 0.0497989-0.0531091j 0.0197296-0.0558938j -0.0104537-0.006572j -0.00848042+0.0948553j -0.000649032+0.00387887j 0.0299342-0.0428412j 0.00371694-0.0910039j 0.00545277-0.00452048j -0.0115068-0.0115001j -0.000275031-0.0335674j 5.54148e-05+0.00500127j -0.0314522-0.0263817j 0.00272032+0.0104966j -0.0255973-0.0128043j 0.028057+0.0192058j -0.00289044-0.0140043j 0.0167067-0.0139994j -0.0156831-0.0158683j -0.0177626-0.0171074j -0.0255086-0.00302965j 0.00742032+0.0231015j -0.0240461+0.000143046j 0.0174969+0.00186907j 0.00233297+0.0055091j 0.017507+0.0111108j 0.00713751+0.0366959j -0.0112078-0.047601j -0.005081+0.00966017j 0.0190543-0.0195935j 0.0494049+0.00794299j 0.0306056+0.0261967j -0.0127231+0.0102689j -0.00131068-0.0446268j -0.0249555+0.0280877j -0.0125123+0.0431647j -0.0373674-0.000793273j -0.00440836-0.0110056j 0.0402099-0.0200648j -0.00783237-0.245286j -0.0069015+0.118478j 0.0393075+0.0529138j 
0.010578-0.00848481j 0.0451159+0.0180354j -0.0373188-0.0345475j 0.0237267-0.0377698j 0.0244213+0.0137998j 0.0224264-0.0208548j -0.0548298-0.00990659j 0.0330166+0.0266304j 0.0506591-0.026381j 0.00113856-0.0264176j -0.00639634-0.0189246j 0.0146304+0.00271452j 0.03585-0.00767163j 0.0300185-0.00879254j -0.0130631+0.00768774j -0.0731665+0.0212146j -0.0358236+0.0231738j -0.000763453+0.016217j 0.00495338+0.0239283j -0.0381559+0.0321406j 0.0420461-0.0635802j 0.063084+0.0393758j 0.00429877+0.0480758j -0.0751172+0.04334j 0.0822615+0.0393642j -0.0218209-0.00369022j 0.040344+0.0134791j 0.0112429-0.0137786j -0.00222739+0.00497899j -0.0155355-0.00717699j -0.0454035-0.00771585j -0.0189568+0.016734j 0.0130214-0.00511552j -0.0032633-0.0167739j -0.000270723+0.0140854j -0.02763+0.015614j 0.0470953+0.0407509j 0.0182388+0.0293293j -0.0132308-0.00850621j -0.00442686+0.0108449j 0.0216089+0.00895333j -0.00703568-0.0714923j 0.0354959+0.0366011j 0.0206766-0.0397746j -0.0479596-0.0459842j 0.0190086+0.117732j -0.055156+0.0215498j -0.0163341-0.160556j 0.0335809-0.00290315j 0.0417906+0.0715743j -0.0336332+0.0218744j 0.0739642-0.120344j -0.0721177-0.0834729j -0.00498096-0.0447857j 0.0304884+0.0455174j 0.0275723+0.0581617j -0.0367216+0.0136599j -0.00246855-0.0100597j 0.0245489+0.065535j 0.0536467+0.0241463j 0.0547921+0.00315922j -0.0193878-0.00765362j 0.0384484-0.0220854j 0.0208936-0.0112328j 0.0161062+0.0427703j 0.00707699-0.0566406j 0.00575749+0.0410057j -0.0197423-0.091389j 0.00344528+0.00915016j 0.00426491-0.0156394j 0.0427432+0.0182631j 0.00656999-0.00525256j -0.00654078+0.0448084j -0.0186857-0.00555021j 0.00716843+0.000661286j 0.0157541-0.0168358j -0.00973923+0.00968584j 0.0104498-0.032677j 0.0191878-0.0019814j -0.0255315-0.0216759j 0.011428+0.0185435j -0.00840368-0.0490626j -0.022731-0.00414482j 0.00935692+0.0113146j -0.00800072-0.0419843j 0.0235016-0.00244034j 0.0321241-0.0184261j 0.0014748-0.0194238j -0.00403252+0.0203023j 0.025722+0.0251107j 0.0932727+0.00944189j 0.0324401-0.0994831j -0.0535722+0.0025436j -0.0882377-0.164886j -0.0312444+0.204861j 
-0.0223087-0.0146969j 0.014185-0.0276852j -0.0355882+0.036219j -0.0208358-0.0017128j -0.0199885-0.000858879j 0.0231416-0.00244525j -0.0322148+0.00728827j -0.00648996-0.0363478j -0.0176995-0.00270625j 0.0016374-0.0014265j 0.033195-0.00278297j 0.000303285-0.0246991j -0.0300703-0.00663355j 0.0198054-0.00422708j -0.0189614+0.0014123j 0.00124951+0.0184629j -0.035546+0.00993504j 0.00388468+0.0258802j -0.0551543+0.0247135j -0.160069-0.0293337j -0.0657866+0.0747589j -0.014609+0.0290369j -0.0872896-0.0211198j -0.0297763-0.0271032j -0.00982448+0.033076j 0.00235647+0.0412175j 0.00179701+0.0497888j -0.00742537-0.0196464j 0.0237865+0.0194788j 0.0112986+0.0509375j -0.0181845-0.0135227j 0.000552357+0.00679172j -0.0134813+0.0473456j -0.0153373-0.0299102j -0.0159179+0.0371015j -0.00911214+0.0406861j -0.0528611-0.119162j 0.0400162+0.0178299j -0.0263484+0.0479381j 0.00855097+0.0183572j -0.0260115-0.0323868j -0.0405563+0.0797819j 0.0427157-0.0547766j 0.00695061+0.0193062j 0.0126185+0.00208983j 0.0139911+0.0175701j 0.0144277+0.0855238j -0.0712621-0.00496741j -0.0330608-0.0311417j 0.0212844-0.0540365j -0.0203021+0.0603953j -0.109224-0.119637j -0.0253737+0.043645j -0.0122807-0.00999119j 0.0444948+0.00503464j 0.0480607-0.00308514j 0.00781148+0.0566529j -0.0291679-0.013772j 0.0304589+0.00939301j 0.0245296-0.0264973j 0.0289517-0.081217j -0.00380396+0.044312j -0.0235508-0.0822712j 0.00205326-0.0235833j 0.0331609+0.0128889j -0.0331684-0.0584148j 0.0119102-0.00181041j -0.0526231-0.0143244j 0.0102445+0.0391093j -0.00236583-0.0111603j 0.0112562-0.0464452j 0.00826712-0.00769129j 0.0281027+0.0256261j 0.00331967-0.0031539j -0.00428004+0.0164759j -0.0171292-0.0288647j 0.0284757+0.0265496j 0.00328093-0.0148122j -0.00341506-0.0117874j -0.0012932+0.0263495j 0.0160332-0.0255698j -0.0196847-0.0157993j -0.000301822+0.00805409j -0.015023+0.0160053j -0.0125441-0.0227602j 0.000284222+0.00397792j 0.00320618-0.00233407j 0.010315-0.00275259j 0.0320431-0.0100632j -0.085206+0.0120285j 0.0575219+0.0447856j 0.0425612+0.0497791j 0.040441+0.0669637j -0.0584823+0.1588j 0.0669789+0.173499j 
0.0208987-0.0218048j -0.0182464+0.00624254j 0.0306401+0.00580599j 0.0675086+0.000632624j -0.00255428-0.0251417j -0.0409544+0.0130997j 0.00262345-0.0271774j -0.0521967+0.00364077j 0.0665467-0.0266114j 0.0494678-0.0144391j -0.0449736+0.02004j -0.0479948-0.0157034j 0.0538065-0.0272182j -0.00484184+0.00699912j -0.0461244+0.0255722j -0.0303838+0.000314431j -0.00733097+0.0120574j 0.0424103-0.0255812j -0.00397409+0.00406542j -0.0550619+0.0575727j 0.0632338+0.09314j 0.0633217+0.0074986j 0.00898445-0.00607713j -0.00371576-0.015163j 0.0286666-0.0146198j 0.0277448-0.0346367j 0.0233984+0.0533379j 0.0307967-0.00277779j -0.0390241+0.019145j 0.0103638+0.0106906j -0.0059222-0.0170102j -0.005586+0.039269j -0.0160163-0.0116476j 0.021923-0.0213967j 0.042337+0.0149894j 0.00574154-0.0439435j -0.0365555+0.0120908j -0.000305654-0.010304j -0.0223184+0.011788j -0.0184583-0.0288j -0.0220426+0.0999088j 0.0169048+0.0252188j 0.0404703-0.0229303j -0.0273688+0.112771j 0.0337695-0.0830743j -0.0165705+0.00307209j 0.0192542-0.0104527j 0.0537546+0.0444053j -0.0275115+0.0324016j -0.0427953-0.0556563j -0.0603625-0.0851359j 0.00381502+0.0197828j 0.0374134-0.0270228j 0.0418689-0.0272924j 0.0180852+0.0994717j 0.000817716+0.0436204j -0.0116256-0.0514879j -0.0588911-0.0316949j -0.0311567+0.00679709j 0.0184142+0.087029j 0.0568119+0.075527j -0.00267154-0.0419798j 0.0284409+0.0302178j 0.0249381+0.0241285j -0.0229554-0.00546324j 0.0525733-0.00452398j -0.0310645+0.00697755j 0.0538706-0.0269146j -0.0234936+0.0138828j 0.00435824-0.0198339j 0.00678852+0.0439543j 0.0075936-0.0279713j -0.0131462-0.0151629j 0.0117162-0.014803j -0.0227534+0.0157385j 0.0158099-0.0105744j -0.00919676-0.00328348j 0.00555174+0.0140231j -0.00206174+0.00846612j -0.0163897-0.0100688j 0.0084776+0.0147691j 0.0113902+0.0198721j 0.0293157-0.0134993j -0.0127944-0.000374144j -0.0182214+0.0155558j -0.0200033-0.0346967j -0.0179101+0.0545653j 0.0362548+0.00925715j 0.00119536-0.00487183j 0.0884456+0.041874j 0.0315452-0.0334544j 0.0217632+0.158787j 0.00853583-0.0828018j -0.00647959-0.0988874j -0.0713706+0.0222593j 
-0.00332501+0.00713405j 0.0159804-0.00309298j -0.0376766-0.0184145j -0.0401505-0.0191693j 0.0173873-0.0122669j 0.0214924-0.0191943j 0.0121638-0.015979j 0.0303832+0.00799017j -0.0200864-0.0264187j -0.0290231-0.0279848j -0.00536559+0.0156404j 0.0620519-0.032332j -0.00953046-0.0260193j 0.0352071-0.0296452j 0.00531884+0.0115694j 0.036512+0.0521555j -0.0287184+0.0700202j -0.00728754+0.0351978j 0.00524493-0.0279223j 0.0432317-0.00475193j -0.0589307+0.0413313j 0.00432473+0.0239406j 0.0263896-0.0148117j -0.0142116+0.0525514j 0.0288733-0.00314912j -0.00174403-0.00497727j -0.024489-0.0268492j -0.0317849-0.0265126j 0.013489+0.011682j -0.0135919-0.0179266j 0.00476614-0.00316809j 0.0133076+0.0233292j 0.00398547+0.00375436j -0.0517614-0.0375574j -0.030276-4.87037e-05j -0.0116366-0.000403685j 0.039918+0.00889307j 0.0192363-0.00382437j 0.0380236+0.0461709j 0.0322183-0.0114122j 0.0137091+0.0528743j -0.0133017+0.0703296j -0.0277764-0.0467336j -0.0117889+0.0155458j -0.021101-0.0334967j -0.0351378-0.0789238j -0.017344-0.019064j -0.0587364+0.0757866j 0.0210787+0.0466832j 0.0111224-0.0566817j -0.00502809-0.0419574j -0.0117269+0.0334203j -0.0641272-0.0141747j -0.0320714-0.0232476j 0.0224765+0.0455367j 0.000390633-0.0167525j -0.0145764-0.0165514j 0.0268479-0.0110387j 0.0274458-0.00939945j -0.00851744+0.00993897j -0.00955071-0.00314548j -0.0151733-0.00177737j -0.00905019-0.00427294j -0.0155354+0.00173385j 0.0323141-0.0178413j -0.0420816-0.00805115j 0.030087-0.00201524j -0.0381492+0.0217455j 0.0195146+0.0169308j -0.00523896+0.000414673j 0.0183086+0.00156096j -0.0123811-0.0207288j -0.00295003-0.0226375j -0.0138954-0.0270104j 0.035546+0.0103982j -0.00133446-0.0127205j 0.0274168+0.00703992j -0.00641688-0.00561913j -0.00165978-0.000915661j 0.0138157+0.00935873j 0.00872606-0.0192341j 0.00138325+0.00388457j -0.0353606+0.0459178j 0.0126874+0.0139989j 0.0436427+0.00162609j 0.0416412+0.00582974j 0.00554532-0.0264387j -0.00572957+0.0318524j 0.023219+0.0411449j -0.0443414+0.0102324j -0.00189875-0.00141088j -0.0246766+0.0729714j -0.0333658-0.128587j -0.0193246+0.00427204j 0.0362179+0.00453095j 
0.0195608-5.13531e-07j 0.0125462-0.00118341j -0.017322-0.0142665j 0.0145709-0.0244682j 0.0233299-0.00500097j -0.00307134+0.00889412j 0.0111062+0.046107j 0.0194131+0.0145849j 0.0382232+0.00933385j 0.00709937+0.00368987j -0.0110961+0.024197j 0.015026-0.015454j 0.030497+0.0345053j -0.0177109+0.000749574j -0.0315819+0.0411157j -0.0363258+0.0135089j 0.00177529-0.058719j -0.0367318-0.080968j -0.00965352-0.0559549j -0.0486288-0.0144267j -0.0632766+0.0252792j -0.00638597+0.0359402j 0.0219717-0.0309579j 0.00862536-0.00889272j 0.0217457-0.0159858j 0.00236725+0.0144186j -0.0189151-0.0336992j -0.0131592-0.0488462j 0.000935927+0.0220945j -0.00598078+0.00631268j 0.0193698+0.0221287j 0.0171444-0.0102423j 0.0320934-0.018291j 0.0166373+0.0298256j -0.0307433-0.0101356j 0.0077763-0.0205522j 0.0420626+0.0568977j -0.012192-0.0378707j -0.0351696+0.0316274j -0.0597296+0.0304242j -0.000416175+0.0246137j -0.0109521-0.0693759j 0.021183-0.0526756j -0.0404791+0.00544131j -0.00791325-0.0191422j 0.030885-0.0222288j -0.017611-0.0137426j 0.00476322-0.0488541j 0.00923061+0.0013293j 0.0275959+0.00870872j -0.0113355+0.0043838j 0.0291416-0.00265166j -0.0363054-0.005863j 0.0158594-0.0362251j -0.00337948-0.0015175j 0.0128603-0.00845911j -0.0134345-0.0383483j 0.00314165+0.0345153j -0.00554219-0.0143869j 0.010139-0.0220428j 0.0211417+0.00409992j -0.0227701-0.013658j 0.00830861+0.0147423j 0.0127422-0.017273j -0.0121797+0.00454151j 0.00920277-0.00970259j -0.00213922+0.0284216j -0.00549616-0.0260131j -0.0206108+0.0160589j 0.00627918+0.00410199j 0.0173493+0.020209j 0.00212415+0.000357516j -0.00816554+0.000569231j -0.000117325-0.0200724j -4.45718e-05+0.0128275j 0.00829465-0.00427834j -0.0188716+0.00706157j 0.0113356-0.001841j 0.0257091-0.00658664j -0.0187695-0.0207891j 0.00828539+0.0156002j -0.000140619-0.00530495j -0.000374788-0.0218511j -0.0128124+0.0170918j -0.0214515-0.01088j 0.0328188-0.0165014j -0.00700162+0.0174011j 0.00686668-0.0450859j 0.00171275+0.0575153j 0.0183404-0.00103662j 0.0339609-0.0108957j -0.00481454-0.0408127j -0.0139606-0.068128j -0.0288941-0.00865291j -0.0244766+0.000549934j 
-0.00132549-0.00922091j 0.0137862-0.0136441j -0.0243714+0.0148274j -0.00136901-0.0164047j 0.00269973-0.00977599j 0.0125861+0.00753928j -0.00752181+0.0261764j 0.0090364-0.00335051j 0.011727-0.00295643j 0.00302592+0.011179j 0.0127481+0.00265993j 0.0122706-0.00575107j 0.0100892-0.0189195j -0.00771273-0.0325292j 0.0124778-0.00894304j -0.034867-0.0165073j 0.0127007-0.0309165j -0.0378637-0.00457187j -0.00263315+0.0134533j -0.0254118-0.0374982j -0.00672553-0.0362371j -0.0240261+0.0104434j -0.0174766-0.00653531j -0.00832504-0.00360302j 0.0188709-0.0355322j -0.000415523+0.00180357j 0.0155171-0.0116813j 0.00248121-0.0362029j 0.00509028+0.0151803j 0.0103301+0.0202056j -0.00692689+0.000951456j -0.0115823+0.0160304j 0.00515648+0.00940715j 0.0322904+0.00298401j 0.00974085+0.00207765j -0.000205211+0.0063817j 0.0214612-0.0192181j -0.0243089-0.0172931j -0.0215415+0.0306569j 0.0161851+0.01124j 0.0345514+0.0253073j -0.00479873+0.0145815j 0.0221489-0.0514648j -0.0172471+0.0337029j -0.0219075-0.0169911j 0.0120414-0.0222952j 0.0187122+0.0209959j -0.00166666+0.0173102j -0.00356524-0.00680918j -0.0145946-0.0523958j -0.0405238-0.0103465j -0.0313579-0.0246622j -0.0190638+0.0136731j -0.0015202-0.0143236j 0.0381439+0.0274125j 0.0293185+0.0132854j -0.0266457-0.000120978j -0.0227013-0.00437733j 0.00262865-0.000798911j 0.0285668+0.00632465j 0.0430067-0.00461149j 0.0055924+0.00564928j 0.0125157-0.00477683j 0.00801527-0.00593558j 0.007476+0.00646876j 0.00923957-0.0151082j 0.012166-0.00349665j -0.0151194-0.00804902j 0.00812049+0.00517332j -0.0109547+0.00644445j 0.0300417+0.00348821j -0.00892344-0.0194809j -0.0048251-0.0096286j 0.0134341-0.00642648j 0.00129622-0.0058305j 0.0145033-0.00767317j 0.000130751+0.0126977j -0.00224691-0.0184889j 0.0121061+0.00241596j -0.0147834-0.00263543j 0.00814339-0.000457955j -0.0147935+0.00602772j 0.00737715-0.00507264j -0.00330232+0.0148604j 0.0199881+0.00598077j -0.00293935-0.00661713j 0.00596687+0.00155238j -0.00197153-0.0164219j 0.00288653+0.0276211j -0.00694123+0.0170757j 0.037958+0.00499216j 0.0250557+0.0582993j -0.0076477-0.00397703j -0.0345491+0.0215157j 0.00387679+0.0268443j 
-0.0017627+0.0163402j -0.0142467-0.0020811j 0.00873543+0.0050601j -0.0247288+0.0107652j -0.00224934-0.00323524j -0.00331586-0.00755786j 0.0305863+0.010342j 0.0175884+0.00706631j -0.0170326+0.0129058j -0.00533324+0.00690592j 0.00778209-0.0134522j 0.0104327-0.025316j -0.00619847-0.0230344j -0.0105634-0.00198629j 0.00197674+0.0223416j -0.00219347+0.0229993j 0.0246898-0.046009j -0.00798701+0.0103941j 0.0107793+0.019414j 0.0256681+0.04998j 0.00512523+0.0158614j -0.01342+0.0183582j -0.00459113+0.0229847j 0.0207706-0.00100183j 0.00447935-0.0144503j -0.00608459+0.0101191j -0.0167163-0.00767029j -0.0306338+0.00756396j 0.0348352-0.0235051j -0.0054615+0.00237859j -0.0190678+0.0178876j -0.000124589-0.0115628j 0.00694056-0.00543572j -0.00441339+0.0268472j -0.0151449+0.00389978j 0.00507116-2.59281e-05j 0.00498135+0.0055323j -0.0129587-0.00027811j 0.0156354-0.019573j 0.014545-0.0033958j 0.0272439+0.00234818j 0.0219787-0.0175536j -0.0154643+0.00603756j -0.0283086-0.00380178j 0.00256685+0.00115149j -0.000819978-0.0224841j 0.0108794-0.00556192j -0.00511553+0.018124j 0.00644769-0.00441162j 0.00491391-0.0114978j 0.0551748-0.00690217j -0.0316899+0.027687j 0.00638063+0.0062786j -0.0193607+0.00349643j -0.0189105-0.00935445j -0.0132687-0.0165645j 0.00231207-0.00360407j 0.0324636-0.00348181j 0.00545105+0.000327403j -0.0250765-0.00181277j -0.0485823+0.00456542j 0.0132224-0.00692629j -0.035243+0.0183368j -0.0177559-0.00230382j 0.025703+0.0016325j -0.0223111+0.0195219j 0.00870367-0.007694j -0.0222019+0.0170567j 0.000267332+0.00119088j -0.00320212+0.00302624j -0.0148716+0.00204335j 0.00123091+0.00616997j 0.00408369-0.00434664j 0.0185385-0.00486683j 0.0152346-0.00386997j -0.0100695+0.00477223j -0.00130635-0.00175855j -0.0170086-0.00224033j 0.0150217+0.0126913j 0.0109608-0.00189243j -0.0098995+0.0080597j -0.0101582+0.01072j -0.001053-0.0108974j 0.0115425+0.012324j 0.00575926+0.00781661j 0.00717432-0.000243716j -0.0160503-0.00148529j -0.0172785+0.00595151j 0.00562485+0.00968677j -0.0286368-0.0209171j -0.0363523+0.00119388j -0.0249506-0.00666727j 0.00352096-0.0130232j 0.0258302+0.00651635j 0.0253989-0.0280393j 
-0.00501046+0.00158855j -0.00248606+0.000530169j 0.00821554+0.0127636j -0.00220723+0.00365758j -0.00902429+0.00210048j -8.7096e-05-0.00545181j -0.022764-0.0226812j 0.00201333+0.00469631j 0.00310643-0.0130765j 0.00633671+0.0137345j 0.00021561-0.0260075j -0.0158857+0.0473692j 0.00656345+0.0106064j 0.013962-0.0425325j 0.0115141-0.00370573j 0.000707353+0.0397153j 0.00446717-0.00924558j 0.0118608-0.00200984j 0.0243173-0.00452893j 0.00989914-0.0149393j -0.00205931+0.00287609j -0.018846+0.000986949j -0.000884292+0.0175282j -0.00414624+0.00502827j 0.000931247-0.00449404j -0.0246285-0.0144264j -0.00694966+0.0144109j -0.0286066+0.0169985j -0.0302016+0.00793077j -0.00394311-0.00153078j 0.00818935-0.0201584j 0.0239013+0.00560919j 0.0113145+0.0134929j 0.0095443-0.0119231j 0.00517118-0.00214943j -0.00689042+0.0108772j -0.0476135-0.0090099j 0.0398185+0.00623941j 0.0145729+0.000107918j -0.00193915-0.00838316j -0.00227088+0.000518218j 0.0195728+0.0224902j 0.0198575-0.000146876j 0.0252684+0.00146104j -0.00106977+0.00683901j 0.0142089+0.00478315j 0.0145242+0.00646366j 0.00137685+0.028334j 0.010421-0.000928861j -0.00455416-0.0211286j 0.00520589-0.00112154j 0.00239206-0.00375036j 0.0124926-0.0115657j 0.00200842+0.0050013j -0.00681272+0.0106464j 0.00559196+0.00812491j -0.00898932-0.00693922j -0.0105606-0.00990542j 0.00438626-0.0104171j 0.00707485-0.00364268j -0.0162956+0.00901226j -0.00598353-0.0072748j -0.00493922+0.00120038j -0.0178965-0.00272597j -0.0121548-0.00910759j -0.000523211+0.00762611j 0.0121666-0.0114851j 0.00223484+0.0129221j 0.00256545+0.00426656j 0.024018+4.26457e-05j -0.0075927-0.0172804j 0.00563328-0.0115715j 0.011846+0.00340556j 0.000183045+0.00334297j -0.00229186+0.00424337j -0.00638586-0.00691994j 0.0100376+0.0145724j 0.00593783+0.00763546j 0.00206782+0.00567875j 0.00242669-0.003989j -0.00429863-0.00121378j -0.00229177-0.000138907j 0.00664304+0.00425795j 0.00350331-0.00460434j 0.00472425+0.00441798j -0.00995697+0.00255853j 0.00271309-0.00294674j 0.00217803+0.0154184j -0.00697805-0.0109066j -0.00221556+0.00263557j -0.00653006+0.00235487j 0.00525542+0.0314203j 0.00563618+0.00897153j 0.0060665+0.00882953j 0.00585721+0.000555265j 
