0.00626878+0.0206084j -0.0477927-0.0372997j 0.0667973-0.0279532j 0.120471+0.0573279j 0.0163678+0.0706881j -0.0455195-0.0310448j -0.0596777+0.00899374j -0.079106-0.0879764j -0.0250878+0.00663601j 0.0227248-0.0342804j 0.0362497+0.0238711j 0.0278695-0.0223028j 0.00840819+0.0143701j -0.0214341+0.00888548j -0.0233548+0.0079993j 0.00487604+0.0141555j -0.0206281-0.0202924j -0.00611726+0.017073j 0.0122333+0.0181243j 0.00333661-0.0172384j 0.0178896+0.0222996j -0.0163447-0.00507527j 0.00375824+0.0212598j -0.0115664-0.0328417j 0.018567+0.012906j 0.0114309-0.0125182j 0.00425699-0.0104141j 0.000113199-0.0245348j 0.000344572+0.016427j -0.00734662-0.00161701j 0.0150281-0.0160653j -0.00959926-0.0145932j 0.0184951+0.0297719j -0.0107745+0.0050578j -0.00514013+0.0137539j -0.00659469-0.0299747j 
-0.059079-0.0825023j 0.0774+0.0982223j 0.0548949+0.0058249j -0.130094-0.105308j -0.0972345-0.102661j 0.0200779+0.0405722j 0.0164993-0.0141043j 0.156225+0.193727j -0.00203314-0.0537877j 0.00288181+0.0193695j -0.0335329-0.0198289j -0.0186108-0.00297518j 0.0292827+0.00659203j 0.00553074-0.0254283j -0.0152873+0.00783282j -5.192e-05+0.0341777j -0.0242505+0.0137315j 0.0125438-0.00530592j -0.0060538-0.0411818j 0.034532+0.0411471j -0.0190699-0.00859841j 0.0104972-0.0386832j -0.0153518-0.0127939j 0.0164668+0.0643121j -0.0231845-0.0474193j -0.00382238+0.0442558j 0.00139046+0.037196j -0.00361635+0.00646622j 0.00777138+0.0144512j 0.0245493-0.000108215j -0.0261409-0.00958223j -0.00748951+0.00335075j -0.0380646-0.020705j 0.0151872+0.01877j 0.0228674+0.00450631j 0.0181104+0.0983751j 
0.106579-0.0271603j -0.0909703+0.0459678j -0.0683066+0.0395786j 0.190391-0.210723j 0.0464204-0.0381262j 0.0282757+0.0108416j 0.0556648+0.0832155j -0.103825+0.0127109j 0.0778101-0.0122162j -0.0255336+0.000374806j 0.0442721-0.0333756j 0.0130502+0.00818934j -6.32279e-05+0.0149963j 0.00566799-0.0262377j 0.0120959+0.0163154j 0.00159457-0.0153053j 0.0152868-0.0165204j -0.0119808-0.0247831j 0.00819311-0.0263511j -0.0735893+0.00185293j 0.00142684-0.0198682j 0.00695882+0.00913993j 0.0361503+0.0148999j -0.00853689-0.00100891j 0.00943308-0.0272978j -0.00135371+0.0138239j -0.0205534+0.0215652j 0.00754551+0.00124489j -0.0023991-0.0122967j -0.0118841-0.00811206j -0.0206859+0.0067012j 0.0160413-0.0068179j 0.0344597+0.00411783j -0.0162845+0.0103086j -0.0244337-0.0385024j -0.0233873+0.0152994j 
0.124274+0.0779292j -0.0646248-0.0439687j -0.0535314+0.00847655j 0.0949003-0.0641095j 0.0228971-0.00982569j -0.0291127-0.0147378j 0.117989+0.0866817j -0.116425-0.0694805j 0.139036+0.0846081j -0.00672988-0.0548064j 0.0345135-0.0260598j -0.0185934-0.000334418j 0.0131781+0.0363842j 0.0219511+0.0237786j 0.0234453+0.00673927j -0.0255188+0.00260013j 0.00159964-0.0284712j -0.0196108+0.0111098j 0.0283186-0.00757908j -0.0514747-0.0161948j 0.0164117-0.00423504j -0.00789059+0.0374003j 0.010508+0.0308297j -0.020647-0.0286975j 0.00457036+0.0109961j -0.0178354-0.0318701j -0.00542461+0.00350379j 0.0112082-0.00806686j -0.00199608-0.0100204j -0.0248926+0.00125586j -0.0085422+0.00762941j 0.0203907+0.010495j 0.0419543+0.00170458j 0.0017048+0.0279059j -0.0445331-0.0335431j -0.0203472-0.0429374j 
0.0619884-0.039087j -0.0318137+0.108395j -0.0956725-0.0500542j 0.0639287-0.168265j 0.0300927-0.126602j 0.00252183+0.0868816j 0.0125569+0.0665672j -0.0431676+0.20864j 0.0304107-0.00911502j -0.00494135-0.0113374j 0.0295912-0.0684397j -0.016747-0.0207564j -0.0123381+0.00128478j -0.00885361-0.00125635j 0.00611951-0.007428j -0.0320134+0.0164227j 0.00259025+0.00294565j -0.00687288-0.0142063j -0.0130589-0.030582j -0.0252257+0.0174496j 0.00937763-0.0259565j 0.000332119-0.0144921j -0.00924426-0.0032952j -0.00206231+0.0609716j 0.00945479-0.0381805j -0.00968079+0.0480164j 0.00932808+0.0262369j 0.00345028+0.00341211j -0.0033469-0.0160902j 0.00182957+0.0171092j -0.00990538+0.00816514j 0.0106347+0.00883964j -0.00231376-0.00767177j 0.00596026+0.0146143j -0.00091009-0.0140309j 0.00275949+0.0734557j 
0.0465112+0.125579j 0.0727745-0.0674934j -0.30637-0.0765051j -0.228128+0.170958j 0.0160884-0.0225581j 0.071048+0.0694385j 0.0676504+0.0731745j 0.0636247+0.0238853j 0.0257454+0.0953039j -0.013919-0.063319j -0.0164625+0.000635767j -0.018642-0.0456495j 0.0227413+0.0331308j 0.0352246+0.0113783j -0.0128672-0.00677228j -0.0243538-0.0146862j 0.0255375+0.00413954j -0.0031068+0.0164766j 0.0124313-0.0435701j 0.00665806-0.0300415j -0.0471992-0.0455413j 0.013655+0.0386816j -0.00798593+0.00932892j 0.0118696-0.00736114j -0.0102026-0.00310515j -0.0246848+0.000315453j 0.00732702+0.0146975j 0.00956772-0.00821618j -0.022829+0.0269393j 0.0168574-0.0118328j -0.0185491-0.0176665j 0.00480112+0.0192279j -0.00503598-0.00861443j 0.0373813+0.00250511j 0.0011958-0.0357855j 0.0152892-0.0301681j 
-0.0989583+0.101334j -0.0329268+0.0189846j 0.240969-0.456516j 0.0863482-0.0624502j 0.0127033+0.0924353j -0.039988+0.165961j -0.101837+0.0572421j -0.0341231+0.0956313j -0.0967051+0.0673488j 0.0380663-0.0407864j 0.016232-0.0499506j 0.00249395-0.00759213j -0.0131225-0.0113468j -0.0110194-0.0304551j -0.0325396-0.00454524j 0.0315322+0.00432606j -0.00553836+0.0178491j 0.0135016+0.0230685j -0.0276003-0.00480205j -0.00294641-0.0133661j 0.031481-0.0231921j -0.0126339+0.0349454j -0.0201097+0.0063917j -0.0128791+0.0159689j 0.000380483-0.0416571j 0.00804399+0.0309991j -0.00108281+0.00294925j -0.0068921+0.0263732j 0.0142961-0.00496119j -0.00825057+0.0090201j 0.0320276-0.00868165j -0.0227811+0.034289j 0.000322072-0.012361j -0.0275112-0.00353409j 0.0120443-0.0276021j -0.0040552+3.83136e-05j 
-0.00581403+0.0146469j -0.0649997-0.0651892j 0.170888+0.229964j 0.295339+0.368293j -0.0158944-0.110095j -0.069234-0.00432425j -0.0871737-0.0459489j -0.00561438+0.10407j -0.0135056-0.0133237j -0.0179184-0.0442035j 0.0112813+0.0313711j 0.0382812+0.0130598j -0.0112879+0.00775634j -0.0326438+0.0113896j 0.00708768+0.01639j 0.020192+0.00923124j -0.0139031+0.0128062j 0.000821087+0.000545792j 0.0254598+0.0135353j -0.0243172+0.0290701j 0.0433307-0.0141692j 0.00195923+0.00511207j 0.0138762+0.0161057j -0.0189569+0.0261784j -0.0132267-0.0145157j -0.00917471-0.0107212j -0.000794883+0.016729j 0.00178429-0.00652093j -0.0042136+0.0161182j -0.00104534-0.0257659j 0.0146004-0.0077343j -0.019961-0.00786568j 0.03222+0.0284207j -0.0243678-0.00268736j 0.00285266+0.00028279j -0.0177063+0.00236118j 
0.0544819+0.107113j -0.0452447-0.021899j -0.237651-0.231256j 0.0208213+0.232302j 0.0955051+0.0481546j 0.0924022+0.0206428j 0.0229043-0.109023j -0.0361667+0.00695477j 0.0234217+0.00612541j -0.0147082+0.00876984j 0.0112235-0.00523797j 0.000538611-0.0150945j -0.00271683-0.0154321j 0.0273907+0.0119691j 0.0200525-0.0156272j -0.0169489+0.0119481j -0.00116268-0.00719429j -0.0185569-0.00815402j 0.0122562-0.0156559j -0.0293411+0.00469163j -0.00288481-0.00620974j 0.00697301+0.0132411j 0.00903574+0.00344643j 0.00336638-0.0044766j 0.0293617-0.0186789j -0.0187076-0.00494032j -0.0228083-0.0206701j -0.0211343+0.0150552j -0.0183708+0.0117476j 0.00499314+0.00164267j -0.0143611-0.017364j 0.0336355+0.0235216j 0.0214738+0.028115j 0.000824147+0.00837135j -0.0109939-0.0143971j -0.0185848-0.0153001j 
0.0243868-0.084366j -0.0418562+0.0315701j -0.338863-0.018535j 0.343212+0.0118384j 0.101791+0.00493179j 0.129725-0.00598495j -0.235454-0.0485957j 0.143115+0.0660264j -0.133246-0.052521j -0.00556985+0.066262j -0.0149959+0.0118121j 0.0300874+0.00785409j -0.0593157+0.0239928j 0.028459-0.00193454j -0.00744312-0.000996022j 0.0251469+0.0106994j -0.032474+0.0485708j 0.0108755-0.00156194j 0.024632+0.0250928j -0.0277282-0.00312533j -0.0234429+0.0246148j -0.00623843-0.0347759j 0.0100673-0.0295062j 0.0116193+0.0254172j -0.00691423-0.00845599j 0.012317+0.0201039j -0.0165445+0.0123535j -0.00677207-5.2775e-05j -0.0104107-0.00966539j -0.0255935-0.00347202j -0.00459314+0.0142368j -0.00550828+0.000886988j -0.00879707-0.0137266j -0.00353964-0.0285166j 0.00334209+0.0399113j 0.0162405+0.0431995j 
0.0473234+0.0815225j 0.0061688+0.018485j 0.193411-0.0547186j 0.145586+0.159931j -0.21652-0.119784j 0.00275791+0.100326j 0.121494+0.0619388j 0.212977+0.156788j 0.0912962+0.0829038j -0.061865-0.0622467j -0.061054+0.00429429j -0.0723112-0.0236108j 0.057918+0.00365684j -0.0115938-0.0198138j -0.00218658+0.0105532j 0.00386376-0.00122875j 0.0212834+0.038782j 0.0212993-0.0234828j -0.00531359-0.034385j 0.0065041+0.0196993j -0.0077015-0.0345284j -0.0146565+0.0151991j 0.00987576+0.0204477j -0.00248104-0.00122145j -0.0290671-0.0369574j -0.00106775+0.0363823j -0.0153293+0.0228906j 0.00128262+0.000291308j -0.00762381+0.00792593j 0.00982365+0.00723439j -0.0221726-0.0323165j 0.0299216+0.0241425j -0.034949-0.0279346j 0.0264409+0.0306615j -0.0159877-0.0220952j 0.0266077+0.0489231j 
0.0624704+0.0270931j -0.0285016+0.0023869j 0.0378351-0.164574j 0.254338-0.238851j -0.122385+0.157045j 0.030105-0.0914394j 0.0174582+0.00199764j 0.123741-0.191683j 0.0384866+0.0313213j -0.0389907+0.00799176j -0.0473493-0.00983691j -0.0239036+0.00723323j 0.0280284-0.005563j 0.0167952-0.0160321j 0.0087564-0.0207836j 0.00802263-0.00795353j -0.0259402-0.017865j -0.00864024+0.012452j -0.0149434+0.0252154j -0.0569723+0.000595299j 0.000508625+0.009623j 0.0130764+0.00132325j 0.0252707-0.0266281j 0.0116322-0.050257j -0.0459506+0.055167j -0.013017-0.0389785j -0.00395231-0.0315541j -0.00424763-0.00341006j -0.0125067+0.00114237j 0.0106409+0.0218218j -0.00860176-0.000756893j 0.017791-0.0110932j 0.0123675-0.00236641j 0.0201863-0.0114851j -0.0171581-0.00286493j -0.00630086-0.0551275j 
-0.0213471-0.0109325j -0.0192731+0.0146161j -0.048688+0.193131j 0.0450467-0.212708j 0.0519542-0.139138j 0.110038+0.0600397j -0.0302672+0.151843j 0.0856824+0.164879j -0.03581+0.0019932j -0.00284941-0.0731234j 0.0481992-0.0396198j -0.0249014-0.0286046j -0.0505419+0.0197669j -0.032063-0.0150007j -0.00992379-0.00219825j -0.00883938-0.0269388j 0.0378685-0.0185569j 0.0432275+0.0756412j -0.0167111-0.0533891j 0.0287452+0.00402743j -0.0122859-0.0347398j -0.024581+0.0471822j -0.0311475+0.0138715j 0.00379967+0.0041762j -0.00461013-0.00561432j 0.0355096-0.00667805j 0.00196764-0.0112523j -0.00764037-0.00270036j -0.00478221-0.00347081j 0.00159677+0.0153114j -0.0041264-0.042735j -0.00203632-0.0164386j 0.0128634-0.0557451j -0.00723178+0.0287967j -0.00386573-0.041293j 0.0114214+0.0207893j 
-0.0648121-0.010603j -0.0507553-0.0924715j 0.112308+0.163782j -0.0213033-0.0710645j 0.0448332+0.0835929j 0.180369-0.0370816j 0.0865754+0.0498293j 0.00459477-0.193177j -0.0953279-0.0154489j -0.0314382+0.00112215j 0.00238663+0.0501665j 0.0176312+0.0286978j -0.0715639-0.0128344j 0.0224452-0.0197886j 0.0118512+0.0190186j 0.0284416-0.0201314j -0.0292061-0.0101066j -0.0035331+0.0254715j 0.0179701-0.00122468j -0.029122-0.010799j 0.0537018+0.0176966j 0.0178079+0.0261866j 0.0350946+0.0225621j -0.00260524-0.0101619j -0.00649121+0.013575j -0.00327526+0.0141968j -0.0380689+0.0165444j -0.013094-0.00550341j -0.0162934-0.0227382j -0.000667348-0.0336989j 0.000820653+0.0131563j 0.0237129-0.0389432j -0.00593234+0.0300857j 0.0157462-0.0291151j 0.00561059-0.00692243j -0.0094584-0.0504446j 
0.0435175+0.0414585j 0.108171+0.0332378j -0.0425692+0.0598096j 0.000438792-0.0930609j -0.0983759-0.0244287j -0.291322-0.125588j -0.148923-0.014284j 0.00146481-0.0759196j 0.0597331+0.0742475j 0.0961497+0.0183056j -0.0658541+0.0158302j 0.0694829+0.0276215j 0.0824782+7.36046e-05j 0.0111842+0.0122977j 0.0308614-0.000400637j 0.027213+0.016009j -0.0449922-0.0245715j -0.0042012+0.0126628j 0.0150739-0.0206649j 0.00454867-0.00132219j -0.0375772-0.0116212j -0.022294+0.0234832j 0.0103935+0.0026772j 0.0280854+0.0020439j 0.0028545-0.0129516j -0.028785-0.0084413j -0.00302805+0.0245906j -0.000143488+0.00742302j 0.00944195+0.0052352j 0.0228841+0.0102449j -0.00943898-0.00833819j -0.00491681-0.0446641j 0.00260864+0.00940637j 0.0292732+0.0033299j 0.00521705-0.00922978j 0.00707407-0.0107681j 
-0.00722438-0.00416698j 0.0172836+0.0143546j -0.0455784-0.0377685j -0.109358-0.0394917j 0.0147632-0.00984631j 0.0419426+0.0663354j 0.0442909+0.0346725j -0.0037674+0.0174578j -0.00799701-0.000193256j 0.00443271+0.0181595j -0.0185041+0.0126361j 0.00791634+0.0183277j -0.00461015-0.00871712j 0.0316054-0.0263237j 0.00802181+0.0124898j 0.00611321+0.0139435j -0.0247943+0.0263829j -0.00467438-0.0240537j 0.0158204-0.0341801j -0.0171912-0.0111125j 0.00698448-0.00957429j 0.0178163+0.00158826j 0.0350602+0.0251402j 0.0254285+0.0371837j -0.0382574-0.0749237j -0.0196072+0.0222391j -0.0177485+0.0100309j 0.0113031+0.00290862j -0.0350095-0.0427031j -0.00114711+0.0101769j -0.000341534-0.00963848j -0.00526844-0.00862635j 0.0136656+0.00819863j 0.0168205+0.0131275j 0.013842+0.00361186j -0.00719426+0.025021j 
