-6.29928e-05-0.00105189j 0.00234979-0.00339308j -0.00304301-0.000255807j -0.00248067+0.00471898j 0.00187233-0.00118646j 0.00281675+0.000281972j 0.00126776+0.00225416j 0.00238151-0.00325752j -0.00240694-0.00210643j 0.00286577+0.00201928j -0.00449698+0.00174005j 0.000679462-0.00733472j 0.0105153+0.00957503j -0.0428072-0.0115677j -0.737494+0.0191991j 
0.00127831-0.00423739j 0.00356781-0.00820826j -0.00239038-0.00222578j 0.00618592+0.00743395j -0.00287088-0.00345886j 0.00275188+0.0041467j 0.00242539+0.00212418j -0.0127314-0.00445685j -0.00671093-0.00582497j 0.00422482+0.00349512j 0.0211505+0.00178614j -0.0443151-0.00651236j -0.0611696-0.0116708j -0.504551+0.0168654j -0.0271937+0.00786303j 
8.73517e-05-0.000982039j -0.000749289-0.000774046j 0.00526161+0.00486932j -0.0103856-0.00626221j -0.016555-0.0083964j 0.00829408+0.00464301j -0.0392348-0.0103212j -0.00682204-0.00280929j 0.040103+0.00590764j -0.0358593-0.00147356j -0.0306882-0.00157443j 0.0180944-0.00434337j -0.311086+0.0124623j -0.00819963+0.00232938j 0.0292253+0.00072764j 
0.00178987-0.00488141j -0.00405435-0.00657718j -0.00177823-0.00534473j 0.0281961+0.00521247j -0.0224482-0.00287348j 0.00608362+0.00352449j 0.0132811+0.00126253j -0.0509251-0.000973882j 0.0241261+0.00315976j -0.0669944-0.00469276j 0.0641108-0.00174824j -0.222675+0.0103712j -0.00361285-0.00418947j -0.0440032+0.00676832j -0.05669+0.000778835j 
0.000233781+0.00142789j 0.00283447+0.00347997j -0.00674138-0.00268533j -0.0123346-0.00175227j 0.00461428+5.48243e-05j 0.0192996+0.00152079j -0.0167841-0.00442259j 0.0238445-0.000821937j -0.0351222-0.000890585j -0.00283059+0.00172228j -0.211752+0.00803783j -0.059035+0.000393021j 0.0108453+0.000853935j 0.0179422-0.00229506j 0.0319134-0.000383977j 
-8.58466e-05+0.000115829j -7.21544e-05+0.00075685j 0.0101091+0.00482557j -0.018881-0.0026988j -0.0170814-0.00602079j -0.0926245-0.00332107j 0.00477065+0.00400269j 0.0335625-0.000201196j 0.00757703+0.0028075j -0.152257+0.00358404j 0.0296461-0.0057406j 0.0386309-0.0030375j -0.032121+0.00424011j 0.0120938-0.000378476j 0.00151219+0.000168626j 
-0.00136095+0.00554007j 0.0118912+0.00570166j -0.00282879+0.00344435j -0.062546-0.0019948j 0.0934166+0.00433985j 0.0533281-0.00146823j 0.0469249+0.000170992j 0.0656303-0.0033772j 0.047651-0.00566841j 0.00602998+0.00267157j -0.0264302+0.00272128j 0.0539969-0.00755534j 0.0151728+0.00142567j 0.0560503-0.00517351j 0.0458283+0.000146226j 
0.000108809+0.000540133j 0.00323409+0.00183353j 0.00199593+0.00124556j -0.0794899-0.0042685j -0.0810962-0.00517976j 0.0580655-0.000726344j -0.018653+0.000344853j 0.00612657-0.00175917j -0.00375888+0.00172244j -0.0290284+0.00343941j -0.0263591+0.00206741j 0.001153-0.0017821j -0.0370865+0.0038733j 0.0117078-0.000713071j 0.0290526+0.000630766j 
0.00242034-0.00106465j 0.00225013+0.00263825j -0.109543-0.0118004j 0.0210792+0.00387491j -0.0172809+0.00106148j 0.0503485-0.001743j 0.0601036-0.00601314j 0.00871793-0.00295218j -0.0977469+0.0107154j -0.0176187+0.00505513j -0.0460645+0.00761702j -0.049609+0.00541527j 0.0374563-0.00393594j 0.00359726-0.000554197j 0.00907072+4.5483e-05j 
-0.00678513-0.00970492j -0.0911263-0.0119957j 0.0598703-0.00756845j 0.0465901-0.0125515j -0.0309208+0.00360128j 0.0161884-0.00627141j 0.0286714-0.00798779j -0.0577821+0.00600808j -0.00607607+0.00300306j 0.0106757-0.00401872j 0.035388-0.00272275j -0.0541399+0.00800897j -0.025407-0.00203208j -0.0519621+0.00579489j -0.192558-0.0070321j 
0.00113377+0.00499894j 0.0272357+0.00810639j -0.0203852+0.00400206j -0.0204807-0.000648063j 0.0134219-0.000564673j 0.00106443+0.00138399j -0.00767513-0.000207289j 0.0264848-0.000211203j 0.00082132+0.000756573j 0.00193908+0.000383966j -0.0330592+0.00108028j 0.0365356+0.000685899j 0.00784058-0.00572489j 0.154262+0.00541211j -0.562677-0.0246991j 
-0.0753616-0.0289928j -0.0670026+0.01724j -0.0447692+0.0145269j 0.0692492-0.00817434j -0.0585193+0.0019673j 0.00511856-0.00256637j -2.18574e-05-0.00162539j -0.03772+0.00324089j -0.0103427+0.00198614j -0.021301+0.00020794j 0.0124862-0.000773602j -0.05216+0.0037856j -0.0260192+0.000663249j -0.0805273+0.000830123j 0.00105918+0.000376826j 
0.00473976+0.00635698j 0.0127458+0.00376362j -0.00757095+0.00128359j -0.0227487-0.00139128j 0.021167+0.000550159j 0.00958939-0.0011126j 0.000474697-0.000244221j 0.0354822+0.000286122j -0.0028789+0.00158996j 0.0118347-0.000819166j -0.0591669+0.000452142j 0.0875922+0.000776638j 0.043717+0.00436949j -0.798966-0.0118281j -0.0130362-0.00372527j 
-0.000758863-0.00197749j -0.00317566-0.000759213j 0.00384905+0.00106569j 0.00478496-0.001193j -0.0035546-0.00187685j -0.0134974+0.000888253j -0.00185266-0.00167147j -0.00400693-0.000608176j 0.0127668+0.000998239j -0.0288282-0.000355249j 0.0187437-0.000555353j 0.0686946-0.00101744j 0.911223+0.00456277j -0.00625759+3.67915e-06j 0.0151202+0.00221206j 
0.00196061+0.0027522j 0.0128194+0.000197215j -0.00290215+0.0010994j -0.0290674+0.000499789j 0.0283235-0.000332454j -0.000223517-0.000283384j -0.0125942+0.000810875j 0.0605533-0.000520338j 0.042802-0.00093783j 0.00607236+0.000805538j -0.0361804-0.000309762j -0.937106-0.00433295j 0.0576822+0.00228226j -0.00668392-0.0011127j 0.0093431+0.000949315j 
-0.000139256+0.00148379j 0.00449677+0.00105387j -0.0169497+0.000495605j -0.0175638+0.000357351j 0.0113522-0.000124206j 0.0301538-0.000228984j 0.012585-0.000513106j 0.0563974-0.000695256j -0.036985-4.90713e-05j -0.00505008+0.000705371j 0.948765+0.00325018j -0.0322692-0.000770705j -0.0118496+0.000597185j -0.00998599-0.00132655j 0.00513291+0.000391334j 
-0.000448441+0.000895319j -0.00204597+0.000170446j 0.00888732-0.000853653j 0.0054275-0.000201008j -0.00610661+0.000729863j 0.0102793+0.000201254j 0.0134309-0.000317871j -0.0291085+0.000205681j 0.197988-0.000396384j -0.950918-0.000649996j -0.00269086+0.000191953j 0.0108477+0.000221879j 0.00225323-4.23714e-05j -0.00973866-0.000877335j -0.00317436-0.000555428j 
0.00138958+0.000322563j 0.0040302-0.000480002j 0.0163659-0.000182023j -0.00337037-9.84569e-05j 0.0235056-0.000373217j -0.00659386+4.28455e-06j -0.0234586+0.000353705j -0.00853637+0.000128365j -0.957393-0.001418j -0.201004-0.00071623j -0.0234115-0.000445014j -0.02236-0.000494323j -0.00528992-0.000178284j 0.00661184+0.000457234j 0.00134997+0.000281545j 
0.00102522+0.00167047j 0.011115-4.36803e-05j -0.0172125+0.000527886j -0.0373606+0.00117801j 0.0260393-0.00021096j 0.0350255+8.3061e-05j -0.0267557+0.000633316j -0.987212-0.000682079j 0.00103368-0.000423058j 0.0239588+0.000765989j 0.0254606+0.000501334j -0.0187996-0.00106738j 0.0104381+0.000699237j 0.00582566-0.000240704j 0.0044138+0.00085415j 
0.000997675-6.99186e-05j 0.00578621-0.000315598j 0.00214428-7.34076e-05j -0.00162183+0.000329382j 0.024945-0.000135609j -0.200498+0.000570546j 0.961726-0.000271674j -0.0375995-0.00014535j -0.00414568-0.000335595j 0.00713414+0.000164332j -0.0173551-0.000420276j -0.00735219-0.000274332j -0.0213866-0.000709834j 0.00259991+9.28629e-05j 0.00283354+0.000481033j 
0.00272733-0.000403389j 0.0083121-0.000788427j 0.00440826-2.74465e-05j 0.00722481-0.000162096j -0.00699245+0.000231704j 0.957399-0.000383603j 0.195923+0.000338547j 0.0308199+0.000359807j -0.000178555-0.000173401j -0.014052-0.000159439j -0.0132487-0.000503359j 0.0117783+0.000521459j 0.00560634+0.000147064j 0.00523005+0.000624021j -0.000449098-5.13068e-05j 
0.000499327-0.00153855j -0.00555254+0.000455806j -0.0141555+0.000601734j 0.143948-0.00120493j 0.958762-0.00153163j 0.0143846-0.000421962j -0.0312936-0.000264191j 0.00110357+0.000336497j 0.0152101+0.000330702j -0.0204313-0.000599724j -0.00520289-0.000108293j -0.000451114+0.000519324j -0.0164395-0.000722832j -0.00271323-7.37882e-05j -0.000546677-0.000315862j 
-0.00275155-0.00160947j -0.0269742+0.00213927j 0.0619372+0.000102149j -0.955525+0.000186816j 0.142346+9.2662e-05j 0.00129998-0.000430844j 0.00804973-0.000716325j 0.00461635+0.000489134j -0.00250887+0.000463834j -0.00143406-0.000517416j 0.00787984+4.66618e-05j -0.00434098+0.00032686j 0.00128752+0.000343712j -0.0125698-0.000773742j -0.0051674-0.00140724j 
-0.0112716+0.000893935j 0.0148206-0.000820629j 0.958959-0.0012602j 0.0763815+0.000435925j 0.00805115-0.000438564j 0.0131087+0.0002225j 0.00573592+0.000346287j -0.0102589-0.000418865j -0.00466582-0.000479492j 0.0126038+0.000205469j 0.00281063-0.000302523j -0.00670356-0.00106572j 0.00702779+0.000606221j 0.00109295-8.83261e-05j 0.000935587+0.000398711j 
0.01105-0.00209496j -0.95853+0.00161309j 0.00643697-0.00156032j -0.00296734+0.000137782j 0.0117854+0.000201285j 0.00766309+0.000322208j 0.00366544-0.000263541j 0.0118044+0.000544763j -0.00201915-5.25748e-05j 0.00615908-0.000288795j -0.0100486-0.000881273j 0.00918456+0.000842828j 0.00809797-0.000229003j 0.0106109+0.00190465j 0.00207666+0.00136417j 
-0.94921+0.00339403j 0.0111275+0.00232743j -0.00933447+0.00129853j -0.0095883-0.00191498j 0.0117851+0.000683551j 0.00351837-0.000221553j 0.00236776-0.000407609j 0.00549552+0.00094468j -0.000981456+0.000513157j 0.00366762+2.08857e-05j -0.00341252-0.00048195j 0.00430087+0.00139637j 0.00366942-3.17058e-06j 0.00289351+0.00120429j -4.28747e-06+0.000422601j 
