0.00046557+0.0164495j 0.0205595-0.00666906j -0.0247664+0.0140712j -0.00896486+0.02903j -0.0130919-0.0123611j -0.0140802+0.0219784j 0.0165559-0.000698052j 0.0133201-0.00320729j -0.00305688+0.0439606j -0.0141443+0.0161399j 0.00572803+0.0272747j 0.00385725+0.00633291j -0.0124128+0.00464263j 0.00867543-0.026363j -0.0140442-0.0214009j 0.00121417-0.00837365j -0.0334746-0.00926006j -0.00218474+0.0289632j 0.0165664+0.0625256j -0.00772858+0.00480221j 0.00318011-0.00063252j -0.000719668+0.0215459j 0.0154484+0.00137264j 0.0114141-0.00394575j 0.0082582+0.0115308j -0.0313671+0.00450011j 0.0266163+0.0224372j -0.0054562+0.0146907j -0.00257527-0.00103173j 0.0340407-0.0375319j 0.0195615-0.0149435j 0.00464361-0.00596484j 0.00679213+0.0329123j 0.00654965+0.0096842j -0.0026504+0.0336885j -0.0135566-0.0170366j 0.0212583+0.0147611j -0.0245188+0.00805548j -0.00791171+0.0243374j 0.00352173-0.0382965j -0.0597071-0.0219343j 0.0118621+0.0210102j 0.023292+0.0280718j 0.0184597+0.00336716j 0.00572863-0.0289871j -0.0241153-0.041811j 0.0233667+0.0341162j 0.0177959-0.033142j 0.00272166-0.0258624j -0.0569027+0.0221206j -0.0269212+0.0296227j 0.0120743-0.00171669j -0.0248851-0.000777265j -0.0183441-0.00962642j 0.0201896+0.0206444j 0.0308439+0.0338653j 0.00546477-0.0338801j -0.0243482-0.0529746j -0.00558859+0.0051286j 0.053678-0.0321134j -0.0103771-0.0155174j -0.00714215+0.024218j 0.0457867+0.0137615j 0.00641397+0.010608j 0.00624041-0.0297342j -0.00825119+0.00114746j -0.00164606+0.0302988j -0.028336-0.00937661j 0.0210424+0.00529211j 0.00974555+0.00851231j -0.00293837-0.0151211j -0.0267529-0.00230369j -0.00876748+0.0167451j -0.000188886+0.0438031j 0.0229474+0.0364954j -0.0306937+0.0210611j 0.0624543-0.00108066j -0.0231782+0.0133297j -0.00955794+0.0465412j -0.0248321+0.0352187j -0.0068537+0.0554965j -0.0184726+0.0195815j 0.0110576-0.0354887j -0.0408191-0.0438052j -0.0281353+0.0251292j 0.00610769+0.016912j -0.00349419-0.00885862j -0.0209091-0.0167737j -0.0157457-0.000829518j -0.0117571+0.0026534j -0.0145129+0.0199596j -0.0474624+0.0266923j -0.0190539-0.0677378j -0.0103635-0.00685304j 0.015891-0.0288645j -0.0832149-0.0374881j 0.0386951-0.0991323j 
-0.0189607+0.0024573j -0.00242908+0.0215626j -0.00734389-0.0243064j -0.0218804-0.00516977j 0.0177475-0.00936533j -0.0148591-0.0208069j 0.00248181+0.0241805j 0.00184799+0.014654j -0.0392368-0.00268668j -0.00430203-0.0176435j -0.0201297-0.00538705j -0.0106653-6.79451e-05j -0.00658262-0.0105381j 0.029676+0.0106628j 0.0239771-0.0123088j 0.00478997-0.000847242j 0.0212377-0.033696j -0.0194205-0.00559409j -0.0499573+0.0108293j -0.0105518-0.0158543j 0.00953983+0.000696098j -0.0144655+0.000864383j -0.00413238+0.0178741j -0.00680055+0.0162879j -0.00392004+0.00613811j 0.00219681-0.0331854j -0.0186848+0.0216194j -0.00743317-0.0112671j -0.0082341-0.0042187j 0.0258579+0.0388995j 0.00283049+0.0238255j 0.00211272+0.00303588j -0.0293188+0.00756671j -0.00818254+0.00550813j -0.0291246-0.00619834j 0.00968355-0.0155507j -0.0181878+0.0235558j -0.00538601-0.0283503j -0.0215113-0.00895407j 0.0329462+0.00924804j 0.0231963-0.0617856j -0.0212749+0.010994j -0.0258174+0.0252478j -0.0134524+0.025809j 0.0212915+0.0107614j 0.0348603-0.0177874j -0.0321027+0.0276858j 0.0426737+0.0196197j 0.0249282+0.00219222j -0.0296255-0.0621789j -0.0325138-0.0312001j 0.00111946+0.0117425j 0.00685312-0.0346283j 0.0112195-0.0184011j -0.0261698+0.0222621j -0.0365556+0.0328655j 0.0372486+0.00806114j 0.0533844-0.0236579j -0.00488942-0.0113088j 0.0331218+0.0643246j 0.0109878-0.00851194j -0.0157553-0.0129335j -0.00822337+0.0495177j -0.00630033+0.0098551j 0.0323874+0.0104707j 0.000171263-0.00342469j -0.0379001-0.00424206j 0.0050196-0.0315546j -0.0122239+0.0246676j -0.0011845+0.0106654j 0.0197634-0.00383973j 0.00549515-0.0271004j -0.0130804-0.00897572j -0.0421659-0.00346452j -0.037284+0.0289609j -0.00630252-0.0426624j -0.0150143+0.0667514j -0.00732496-0.0284021j -0.0397579-0.0106016j -0.0282131-0.0249745j -0.0534386+0.00582876j -0.00706176-0.0168533j 0.0356254+0.0281189j 0.0387364-0.0434704j -0.0208151-0.0335819j -0.00877375-0.00602755j -0.000107116-0.0059614j 0.00351202-0.0122372j 0.0169389-0.0119592j -0.00887091+0.0208406j 0.00757231+0.00324522j -0.0158809-0.0624447j 0.058249-0.0285294j -0.00700564-0.0185812j -0.00988456-0.0193133j 0.0384709-0.0910355j 0.0900198+0.0354336j 
-0.00913999+0.0109946j 0.0203019+0.0146446j -0.0261704-0.0200717j -0.0102267-0.0136159j 0.0161898-0.0187257j -0.0274857-0.018835j 0.0194959+0.00481846j 0.0128914+0.0165113j -0.0207012-0.0230054j -0.0168216-0.0271648j -0.0314414-0.00913257j -0.0218792+0.00888586j -0.00858681-0.00335123j 0.0241791+0.000995084j -0.0026224+0.0168898j 0.00433971-0.00647549j -0.0124094-0.025227j -0.0268807-0.0178617j -0.0493876-0.0174212j -0.0357744+0.0160879j -0.008352-0.015611j -0.0231418-0.00594173j 0.00548778-0.00449647j 0.00601086+0.0397733j -0.0123547-0.000140203j -0.0260452-0.0244906j -0.0153835-0.0116836j -0.010171-0.0200721j -0.00121723+0.0252183j 0.0616654+0.00935419j 0.0332464+0.0248243j 0.00380824+0.0322363j -0.0337689-0.00403316j -0.00448619-0.000802647j -0.0499389-0.0163224j 0.00991484+0.008385j -0.00610085+0.0106027j -0.0145988-0.00371695j -0.0196285+0.0192464j 0.0395669-0.0105584j 0.00109858-0.0144974j -0.0254418+0.0253573j -0.0124159+0.0208825j 0.0309523+0.0473555j 0.0351083+0.0122866j 0.0646838+0.00673482j 0.0078295+0.0245829j 0.0147395-0.0402182j 0.00495104-0.000450078j -0.0157805+0.00827144j 0.00132425-0.00131728j -0.00526393+0.00820561j -0.0506447-0.0227786j 0.00708079-0.00940647j 0.0248812+0.0251528j -0.0145624+0.0380614j 0.0336191-0.0083603j 0.0380559-0.0247011j -0.0320736-0.00533934j 0.0551772-0.00399338j 0.0138245+0.00321718j -0.0214758-0.0129964j 0.0127322-0.013685j 0.00777209-0.0345155j 0.0343857-0.0167301j -0.0166383+0.00273004j -0.0219569+0.0517897j -0.0210802+0.00618529j 0.0142745+0.0338329j -0.0159679-0.0216224j 0.0153388-0.0208819j -0.0130818-0.0109383j -0.00409414-0.0204382j -0.0329631+0.00534693j 0.00521901-0.00152649j -0.0448358-0.0343913j 0.0497006+0.033329j -0.0370809-0.0274008j -0.0245039+0.0156251j -0.0381767+0.000579235j -0.0297481-0.0215354j -0.0186853+0.00468602j 0.0290019+0.0012168j -0.00818622-0.0151537j -0.023697-0.00948025j -0.0051658+0.0077108j 0.00393044-0.00699223j 0.0284768+0.0318577j -0.0162058+0.00697126j -0.0138928-0.0125026j 0.00374087+0.00636265j -0.0463056-0.023994j 0.0572045-0.0069644j -0.0256681-0.0114304j -0.00421797+0.115522j -0.0532601+0.0118352j 0.0355631+0.0147178j 
0.0208227+0.00779073j 0.019282-0.00585726j -0.0203019-0.00144633j 0.00479417-0.00427329j -0.0207574-0.0152219j -0.0266161+0.00990556j 0.0141393-0.00871102j 0.00601954+0.00210993j 0.0135139+0.00502593j -0.0321198+0.00251611j -0.0118511+0.0136307j 0.00286588+0.0170551j 0.00318242+0.00560665j 0.00358862-0.0117508j -0.0174223-0.00603288j -0.011117-0.00179945j -0.0513253+0.00459474j -0.0142272+0.0117931j -0.00238944+0.0261909j -0.0111281+0.018259j -0.00578996+0.00471075j -0.000652885+0.0125229j 0.00487716-0.0068248j 0.0366198+0.0109224j -0.00229126-0.00360701j -0.0376702+0.0104499j 0.00696417+0.0120277j -0.016504+0.00558739j 0.0195505+0.0225146j 0.0205053-0.0437145j 0.030006-0.0154049j 0.0316075+0.0121181j 0.0169168+0.0264891j 0.0102915+0.00274591j -0.021062+0.0268908j -0.00664429-0.00454985j 0.0204839+0.00658656j -0.0182772+0.0116095j 0.00906742+0.0157466j -0.00710957-0.0359874j -0.033634-0.00336271j 0.0393875+0.0221372j 0.0457042+0.0100873j 0.0708148-0.00820478j 0.0028017-0.0215972j -0.00768755-0.0412442j 0.0400427-0.00518738j -0.01515-0.0179509j -0.00229844-0.0118401j -0.0130941+0.0234634j -0.0193439-0.00492687j 0.0160864-2.43687e-05j -0.0568976+0.0262422j -0.0270948-0.0127194j 0.0382892-0.0224052j 0.050707+0.00954034j -0.00210147-0.032467j -0.0379605-0.036625j -0.0269489+0.032933j 0.0336141-0.0443634j 0.00232618-0.00932624j -0.0137724+0.0124169j 0.0186184+0.00133333j -0.0135844-0.00513593j -0.0107841-0.030887j -0.00160475-0.00243829j 0.0307312+0.0371471j -0.0118583+0.0100186j 0.0432796-0.000397965j 0.00156108-0.0118918j -0.0261328-0.00370654j -0.0335786+0.0036912j -0.0133091+0.00532915j 0.0243004+0.024738j 0.0263827-0.00156048j -0.0321548+0.0188821j 0.0397735+0.0037693j -0.0249366+0.00369093j 0.0423273+0.022299j 0.00370038+0.0272855j 0.00964932+0.0159941j 0.0121942-0.00751321j -0.0205478-0.0273947j -0.0367245-0.0182766j -0.011374+0.0150005j 0.0163667+0.0143432j -0.00194803-0.0235548j 0.0131864+0.000566137j -0.0194953-0.0181986j 0.0137125+0.0249479j 0.016526-0.0124077j -0.0611931-0.000569924j -0.0387126-0.056082j -0.0198233+0.0610833j 0.0296603-0.0137552j -0.0281366-0.00153213j -0.036541+0.0171782j 
0.00114959+0.00304512j -0.0220587+0.0154233j 0.0339158-0.0157221j 0.0466458-0.00734278j 0.0124503-0.0092212j 0.010645-0.0213694j 0.013614+0.0121067j -0.0175722+0.00975199j 0.0505804-0.0155776j 0.0227638-0.0194184j 0.0321819-0.0157845j -0.017674-0.00726006j -0.00741613-0.000385805j -0.00123819+0.0176615j -0.0211012+0.0085002j -0.00111278-0.00693086j 0.00909864-0.0119205j 0.0377745-0.0313442j 0.0647212-0.0483224j -0.0185605-0.0121024j 0.0424393-0.0143661j 0.0274156-0.00622994j 0.012256-0.0122825j -0.0486093+0.0267359j 0.0270383-0.017351j 0.00514159-0.0149841j 0.0361386-0.0315745j 0.022891-0.0145289j -0.0396972+0.0199553j -0.0210556+0.0184804j -0.03288+0.038604j -0.0365203+0.0187751j 0.0272828-0.0265771j 0.0170001-0.00715349j 0.023688-0.0449029j -0.03624+0.022147j 0.00969906-0.00507962j 0.000445933+0.00876353j 0.015806+0.0158353j -0.0114801+0.0116944j -0.0397183+0.0265931j -0.000398617-0.00950619j 0.0244472-0.0143397j -0.0185105+0.0518354j -0.0155791+0.0334785j -0.0374957+0.0706117j 0.0370486+0.0116606j 0.0196778-0.0496598j -0.0124871-0.0114002j -0.0544357+0.0642733j 0.0271772+0.0456493j 0.0150625-0.014902j 0.00591731-0.0415905j -0.0122173+0.0176156j 0.0181053+0.0350653j 0.0227132-0.0031249j 0.00141268-0.00193361j -0.0375619+0.0184662j -0.00295594-0.0173994j 0.0190758-0.0190506j -0.0227148+0.0177859j 0.0381277-0.000276136j 0.0428082-0.0295742j 0.0357431-0.0152138j -0.000188667+0.00956509j 0.0105175-0.0130883j -0.00855425+0.0456632j -0.0281409-0.00489943j -0.0160519+0.0130322j 0.0692448-0.0503055j -0.00353805+0.005887j 0.00223199+0.00518051j 0.00345209+0.00999106j 0.0175133-0.0133561j 0.0435762-0.00272614j 0.0393188-0.0400033j 0.0034667+0.0144113j 0.0313955-0.0275794j 0.00705114+0.0131766j 0.0221816+0.00930059j 0.0277866-0.0153894j 0.00797431-0.00670777j 0.00464369-0.00196862j -0.0330458-0.0103384j 0.0369706-0.00417508j 0.018567+0.00366313j 0.0124921+0.0157023j -0.0571455+0.0576744j 0.0012639-0.00316642j 0.00284156+0.00246062j -0.00761295+0.0191809j -0.0238456+0.0112801j -0.0641497-0.0136578j -0.0458563-0.0170925j -0.0944097+0.0205644j 0.00141946-0.0305369j -0.0498227+0.00584776j 
-0.000143249+0.0108157j -0.000279369+0.0059743j -0.00417039-0.0185867j -0.00608149-0.019536j -0.0150245-0.02003j -0.0122576+0.00265201j 0.00112842-0.0100633j 0.00626278+0.00768585j -0.0238454-0.0176976j -0.00922824-0.0113584j 0.00127763-0.0106123j -0.00200097+0.0105142j -0.00290849+0.0104037j 0.0065915-0.002003j 0.0275168+0.0145163j -0.00937882-0.000338976j 0.00637918-9.25144e-05j -0.0344259-0.0263771j -0.0282924-0.0266736j 0.0109703+0.0170942j -0.00843446-0.026323j -0.00411575+0.000756711j -0.0240841-0.00953795j 0.0274968+0.0366636j -0.0047225-0.0201088j -0.00523638+0.0127862j -0.0383621-0.0175043j -0.0216981-0.0177636j 0.0264651+0.0330488j -0.0145762-0.0155563j 0.0239469+0.00672153j 0.0332954+0.0256247j -0.0243003+0.00129334j -0.0144123-0.0156652j -0.0256636+0.0113509j 0.0148775+0.020417j -0.00886755-0.00954194j 0.0191867-0.0032552j 0.038616-0.0107972j -0.014293-0.00652815j 0.0294219+0.029891j 0.012761+0.0204037j -0.0074251-0.0205952j 0.0467541+0.000364027j 0.0222603-0.00817324j 0.0446317-0.012599j 0.0205547-0.0370506j -0.0784655-0.0107384j -0.0177871+0.00690361j 0.0765496+0.050521j 0.0530841-0.0305094j -0.0131129-0.00864065j -0.00374697+0.0124145j 0.0199789+0.0029085j 0.0393207-0.0348135j 0.0191131-0.017194j -0.0156843-0.0177894j -0.00258141+0.00821934j -0.0060601+0.0164168j -0.0510091-0.0401984j 0.0060847+0.0103956j 0.0194448-0.0244494j -0.0470632-0.030484j -0.041816-0.016077j -0.014702-0.0075826j 0.0107482-0.00433044j 0.0745011+0.00427129j 0.0108104+0.0332557j 0.00990872+0.00404121j -0.036828-0.0473551j -0.00418928-0.0129761j 0.0244386-0.00340412j -0.000810226-0.00167254j -0.00308907-0.00122062j -0.0196932-0.039665j -0.00993986-0.0029869j -0.0166303-0.0224842j -0.0177546-0.00446438j 0.0216984+0.0124618j 0.0177762+0.0118733j -0.0135397+0.0123967j -0.00547565-0.021696j -0.011129-0.0430791j 0.0389819+0.034762j 0.0086987+0.00212876j 0.0113712-0.0184433j 0.0125995-0.0238529j 0.0783698+0.0356805j -0.00360481+0.0279569j -0.00584318-0.00165667j 0.0307429+0.0143933j 0.0445345+0.0589055j -0.0267387+0.010046j -0.0296002+0.00754018j 0.063508+0.04502j 0.031024-0.000848331j 0.0146157+0.00223671j 
0.0147443-0.0186713j 0.00853333-0.0182216j -0.0241179+0.0173843j -0.0187756-0.00884579j -0.0154936+0.0161426j -0.00681894+0.0326038j 0.0049296-0.016381j 0.00264379-0.00698204j 0.000466189-0.0179174j -0.0207518+0.0392217j -0.0245207+0.0324354j 0.012405+0.00601329j 0.0101867-0.00916362j 0.00161391-0.00233689j -0.0159935+0.0259039j -0.00135304+0.0210504j -0.0177739+0.0549824j -0.0029863+0.0192842j -0.00707152+0.0161062j -0.00259748+0.0183992j -0.0176179+0.0321361j -0.00099029+0.0019734j 0.00874645-0.00253604j 0.0327019-0.0418709j -0.0227237+0.0192437j 0.00245718+0.0433833j 0.0152107-0.00317923j 0.000592172+0.0298508j 0.0383871-0.0179175j -0.0145993-0.0427525j -0.01554-0.048032j 0.0328506-0.030427j 0.0294313-0.0111678j 0.0115017+0.00654258j 0.00480324+0.0222591j 0.00254335+0.00926721j -0.000670907-0.0173644j -0.0107705+0.0375887j -0.0186334+0.0173271j -0.00869606-0.0202244j 0.00448137+0.0118786j 0.0193734-0.0559132j 0.0238369-0.0303934j 0.00280943-0.0934558j -0.0273547+0.00115403j -0.0240152+0.00101425j -0.0191656-0.0132182j 0.0119259-0.015416j 0.00176834-0.00414531j 0.0117261-0.00939185j -0.0476117+0.0495746j -0.00495659-0.00333435j 0.00752492+0.0883337j -0.0163863+0.0140518j -0.0310565-0.0327774j -0.00445835-0.0263169j -0.0216503-0.00616479j -0.0219764-0.00429325j 0.032259+0.0433788j -0.00897569-0.0687572j -0.00498702-0.0128693j -0.0140324+0.0186582j 0.0310849-0.0213368j 0.011512-0.0144508j -0.0241936-0.0199124j -0.00913637+0.00440171j 0.000924748+0.0135836j 0.00663562+0.0159426j 0.0129814-0.0412518j -0.0186575+0.024387j 0.00686446+0.0153837j -0.0125526+0.0282531j 0.00578022-0.00806741j 0.0108594-0.0031945j -0.0190247-0.0181445j -0.00381748+0.0471233j 0.0213563-0.0408331j -0.000532806+0.0297726j -0.016968-0.0204038j -0.008449+0.00955139j -0.0181494-0.0211051j -0.0115042+0.0121082j -0.0151543+0.00156114j -0.00160944+0.0282818j -0.0366973+0.0324302j 0.00190537-0.0119129j -0.0340485+0.026852j -0.00612636-0.0099344j 0.0112314+0.0499574j -0.0125055+0.0346902j -0.00726377-0.020057j -0.0170072+0.0596277j -0.00501248+0.0199991j 0.0449273-0.032959j -0.00134232-0.0039091j -0.0262577+0.0439223j 0.0134904+0.0480841j 
-0.0178306+0.0136961j -0.0144356-0.0108051j 0.0193156+0.0256561j -0.00494001+0.0328107j 0.0175895-0.0216178j 0.00506672+0.00544772j -0.00996757+0.020015j -0.00563502-0.00371027j -0.0226719+0.0136304j 0.0229386+0.00723307j 0.0174303+0.038311j 0.007535-0.00618983j -0.0180787-0.0292318j 0.00608292+0.019595j 0.026336+0.0320271j 0.0234101-0.0214922j 0.0274624-0.000174158j 0.0186305+0.0138838j 0.00311888+0.020683j 0.0182295-0.0086431j 0.020146+0.044978j -0.0160449+0.0308826j 0.0143472-0.00801311j -0.0372057-0.0039285j 0.0369388+0.059691j 0.00817363+0.00589501j -0.00374306-0.00615443j 0.0170794+0.00590928j -0.0320859-0.0074838j 0.00702081-0.0540852j -0.015478-0.0232916j -0.00604993+0.0164592j -0.0396383+0.00715976j 0.023758+0.0193435j -0.0231889-0.0272454j 0.0311214-0.012058j -0.00719227-0.0159567j 0.0264622-0.000825508j 0.0113487+0.0632109j -0.00536402-0.00973194j 0.0121186+0.0352565j -0.0482725+0.0807104j 0.0340027+0.0345881j -0.0330138+0.0220747j -0.00511372-0.0201993j 0.0438221-0.00784267j 0.0253416+0.0630481j -0.0301698-0.0594603j 0.00780083-0.0153289j -0.0364187+0.0107896j 0.0515175+0.0420275j 0.00626994+0.0069202j 0.0324647+0.0093486j 0.0135827-0.00286947j 0.0341127+0.0194988j 0.00417391+0.0377273j 0.014791-0.0113504j 0.0098669-0.0552074j 0.00600478-0.00587646j -0.0147859-0.0459221j 0.000645623-0.0119643j 0.0128057+0.021884j -0.0120742+0.016376j -0.0199045-0.0131569j 0.00716879-0.0265313j 0.000295409+0.00847283j -0.00684209+0.0856223j 0.00114957-0.0255473j -0.00102676+0.0140569j 0.0205678+0.060794j 0.00738243-0.0345984j 0.025546+0.00396192j -0.0177661-0.00743183j -0.00603289+0.0398047j -0.00848914+0.0330734j 0.00729113+0.0111544j -0.0142503-0.0323204j -0.00105746+0.0165962j -0.0104879+0.0447604j -0.0151695+0.0533119j -0.0293489-0.00450079j 0.023432+0.0359284j 0.0161166-0.00878995j 0.0429965+0.0115366j 0.0210272+0.0476098j 0.00612645+0.0322253j 0.0499435+0.0105258j 0.018978+0.0255814j -0.0111679-0.00900818j 0.00439712+0.0759682j -0.0240607+0.0101974j 0.0119818+0.0322411j 0.0207124-0.0672533j -0.0199552-0.0138351j 0.0111732-0.0038288j 0.0373731+0.0593084j 0.0333157-0.0396988j 
-0.00312331+0.000814748j 0.00202276+0.0137906j -0.000207764-0.0318944j 0.010018-0.0221101j 0.00191539+0.00578046j -0.0143688-0.00220144j 0.000787437+0.0359088j -0.000912228+0.0194486j 0.0163239-0.0496722j 0.000410571-0.012986j 0.00367166-0.0335025j 0.00326598-0.0148581j 0.000306249-0.0485999j -0.00280561+0.0457616j -0.00883148+0.0318701j 0.0142792-0.00147164j -0.0189497-0.00251859j 0.0116458-0.0146014j 0.00310026-0.0753768j -0.00796634-0.0383601j 0.00840158+0.00129923j -0.00299099-0.0345171j 0.0192443+0.0159283j -0.00152866+0.0166719j 0.0117547+0.0259887j -0.000861702+0.00758101j 0.00831364-0.0139694j 0.00781516+0.0269125j -0.0061976+0.0198571j 0.0116047+0.010737j 0.0221276-0.0166976j 0.0217784+0.0266926j -0.0278645-0.0355586j 0.0201775+0.0189791j -0.021364-0.0761925j 0.0352326+0.0339265j 0.00748864-0.0493546j -0.00481688-0.0191167j -0.0213988-0.0128328j -0.00271686+0.0605176j 0.0155548+0.0808098j -0.000430987+0.0155032j 0.05884-0.0271815j 0.00865885-0.0288068j -0.0324238-0.00130063j 0.015864+0.0582745j 0.00747894-0.019896j -0.0235946+0.0209007j 0.00371758+0.0228315j 0.00542241+0.013841j 0.0114709-0.0224416j -0.000898278-0.0140414j -0.0121017+0.0118432j 0.00790477+0.0205062j 0.0352397-0.0566849j 0.00203306-0.0785796j -0.00561711+0.0282468j 0.00661308+0.0557907j 0.0104715+0.00744354j -0.0012467-0.0230667j 0.0106335+0.0177905j 0.00759694-0.0496234j 0.0156979+0.0254906j 0.0101331+0.020522j 0.0076031+0.0107696j -0.0279974-0.0371316j 0.00441258-0.0127275j -0.0160521-0.011256j 0.0165893-0.000613008j -0.0214401-0.010984j 0.0114321+0.0309949j 0.00497129+0.00738985j 0.00479114+0.0143185j 0.015154-0.0188823j 0.0244268-0.0183873j -0.0180992-0.0147097j 0.0350575+0.0181104j -0.0125399-0.0132374j 0.0130283-0.0357855j -0.0191673-0.0358893j 0.00971664-0.0421127j 0.00519465-0.00967163j -0.00972817+0.0375245j -0.0207203+0.0730887j -0.0202175-0.0285578j -0.00301281-0.00396912j -0.00590078-0.0156707j 0.00559895-0.0183524j -0.0511341+0.0142005j -0.00251721+0.0581866j -0.0207206+0.0307193j -0.00381775-0.0198957j -0.0208943+0.056053j -0.00117534+0.0134612j 0.00827625-0.0107083j -0.0315584-0.0316777j -0.0146418+0.0577739j 
-0.0163958-0.00892089j 0.00136958-0.017975j -0.00311015+0.0236376j 0.000865028-0.00650897j 0.0248586+0.0014921j 0.0127968+0.0224564j 0.0256773-0.0283928j 0.017003-0.00246199j -0.0235842-0.0120319j 0.0168537+0.0210357j 0.0144637+0.0166146j -0.011286-0.00926225j -0.0346145+0.0102702j 0.0108208-0.0136588j 0.000784651+0.0107631j 0.00124878-0.00317519j 0.0204494+0.0402385j 0.0193552-0.0124753j 0.0108177+0.0121919j -0.0107374+0.0244238j 0.0368016-0.0322357j -0.00920831+0.0165976j -0.00847698-0.038513j -0.0382962-0.0162551j 0.0235791-0.0140389j -0.0058952+0.000504546j 0.00873027-0.0256065j 0.0352787-0.013828j -0.0243575-0.00950108j -0.006388-0.00935431j -0.0102763+0.00416356j -0.0466138-0.0385747j -0.00262203-0.00528422j 0.00434755-0.0432718j -0.0135944+0.0499231j -0.0243774-0.0107j -0.00361872-0.00110303j 0.0121087+0.0235503j 0.0344302+0.0139607j 0.00904501-0.0244161j -0.022003+0.00122864j -0.00828912+0.000194545j -0.0395722-0.0802947j -0.0528062-0.0191888j 0.037055+0.0244762j 0.00766925-0.0243788j 0.0312244-0.0369444j 0.0109318-0.0166649j -0.0102046-0.0206669j -0.0680008+0.0600287j 0.0347342+0.0253397j -0.00162504-0.0236422j 0.0325687+0.0335259j -0.00769926+0.0206912j -0.00893225-0.0135859j -0.00976935-0.00584288j 0.0248131-0.0280367j -0.0124222+0.000356359j -0.0121848+0.0159624j 0.0122622-0.0351051j -0.0185306-0.0134082j -0.00269889+0.0401803j 0.0267356-0.0502395j 0.00498472-0.0165105j 0.0134218+0.00256753j -0.000515858+0.0307769j 0.00386398+0.0208399j -0.0201802+0.00752002j -0.0149169-0.0370973j 0.0495072-0.0298508j 0.004567+0.00189343j 0.00271411+0.0272514j -0.0115124+0.0113553j -0.0278604-0.0288692j 0.0227713-0.0448759j -0.00757328+0.024696j 0.0268528-0.0440995j -0.00776836+0.0142j -0.0264224-0.0104081j -0.020938+0.0511103j -0.025376+0.00951683j -0.0150702-0.0187757j 0.0575454+0.0154464j -0.0103564+0.0176311j -0.0126024+0.00722775j 0.00548302-0.0116462j 0.018026+0.00939214j -0.0334443-0.00271335j 0.00724492-0.0129303j 0.0213527-0.0321363j -0.000498514+0.0286157j -0.00724044+0.0554491j -0.0062492+0.0285236j -0.0311206+0.0270726j -0.0146417-0.019437j -0.021581+0.0436347j 0.030339+0.0371726j 
-0.00670565-0.0145441j -0.00787758-0.00170552j 0.00467268+0.0234759j -0.0163101+0.00859776j 0.0083391+0.0234333j 0.00397649-0.00229893j -0.0366621-0.00950143j -0.0164145-0.00744957j 0.0116378-0.00591722j 0.0137758+0.0198552j -0.00776681+0.0217433j 0.0194639+0.00163509j 0.0471171-0.00386114j -0.0362814-0.00499941j -0.025552+0.019898j 0.0123744+0.00890658j 0.0222032+0.00277087j -0.00365504+0.0175578j 0.0176195+0.00193499j 0.027804+0.00555732j -0.0347418+0.0314884j -0.00718558-0.017695j -0.00335726+0.0102606j -0.0121991-0.0360366j -0.0494182+0.0280564j 0.014826+0.00255814j -0.0105002-0.0145084j -0.0221665+0.016465j -0.0120705-0.0414793j 0.0074523+0.015557j 0.0183784+0.0271838j -0.0183246-0.00428044j 0.00726033-0.0537941j -0.0123067+0.00719649j 0.0452671-0.0217388j 0.00163698+0.032899j 0.0364614-0.010312j 0.0347244+0.0137546j -0.0125104+0.0124893j -0.0302042-0.014517j -0.0498243+0.0271324j -0.0949185-0.0211486j 0.00133414+0.0217106j -0.000600041-0.0232253j 0.0167225-0.0145949j 0.0132096+0.0429144j -0.0172495+0.0371225j -0.0185678-0.0361101j -0.0232688+0.00785439j 0.0233152-0.0268968j 0.0245537+0.0615241j -0.00806708-0.00432083j -0.0138565+0.0158583j -0.00191217+0.0316055j 0.0371623+0.0539845j 0.0317373+0.0045981j -0.00856896+0.0132909j 0.0030997+0.0201486j -0.00425908-0.00885396j 0.0102911-0.0220792j -0.00278283+0.00366191j 0.0298617+0.0103536j -0.0389452-0.0248107j -0.0207163-0.0123644j -0.0037219-0.000512187j 0.0189676+0.00406804j -0.026348+0.00532015j 0.00963931+0.00608205j 0.00666546-0.00476793j -0.0311729+0.00372237j -0.0016301+0.000597794j -0.000580237+0.0205975j 0.00821437-0.00433651j -0.00473774+0.00434216j -0.00952852+0.0155566j -0.00389675-0.00168426j -0.00584131-0.00751086j -0.00781158+0.00198988j 0.0144911+0.00616374j -0.0231193+0.00683185j 0.0443608-0.0030318j -0.0145132+0.0109739j -0.0325229-0.011254j -0.0636431+0.00369318j 0.0226248+0.0337231j -0.000398171+0.0174263j -0.0153392+0.0472367j 0.0298606+0.0418435j -0.0193571-0.01757j -0.0333462-0.00657732j -0.034749+0.0138776j 0.0266029+0.00873643j 0.0283369+0.00960436j 0.00666227-0.0213076j 0.00692735-0.0014882j 0.0122877+0.00929219j -0.00498215+0.00941823j 
