-0.179392+0.0103306j -0.176028-0.00182562j -0.128637+0.00351055j 0.158314+0.000497241j 0.0969448+0.0184412j 0.0683363+0.000449681j -0.043697+0.0114611j -0.0246942+0.0124943j 0.0388416-0.00151379j -0.0687248-0.00616403j -0.0383953+0.00629537j -0.0147173+0.0130702j -0.0835211+0.000355088j -0.0174722-0.00915877j 0.00600464+0.0108538j -0.152219+0.0131473j -0.0130184-0.0187513j -0.0795157-0.0215659j 0.052725+0.0347822j 0.214092-0.00563844j -0.00753969+0.0204537j -0.00119316+0.00383276j 0.0221143+0.0154506j -0.0267008+0.00563953j 0.0332235+0.00801282j 0.00853679-0.0110844j -0.0226495+0.00366083j -0.00276045+0.00381365j -0.0400217-0.00965955j -0.00969574+0.00383951j -0.0334275+0.000272934j 0.0248414+0.00252387j -0.00648621-0.00770311j 0.122186+0.00980014j -0.09013-0.00324757j -0.0449553+0.0286883j -0.0308163+0.00156374j 0.0652653+0.00885954j -0.0413569-0.0198078j 0.031759+0.0153482j -0.0105662+0.0125725j -0.00607818+0.000673714j 0.0636491+0.0101996j 0.0425646+0.0170653j 0.0211098+0.000219868j 0.0267354-0.00300784j 0.0149326+0.00595211j -0.00197456-0.00245207j -0.0365516-0.0140537j 0.0188746+0.0168751j 0.0211181-0.00395597j -0.00235126+0.0138905j 0.0170298-0.012288j 0.00135689-0.0101797j 0.00932336+0.00168941j -0.0397819-0.00582094j 0.00874529-0.0663806j 0.0304488-0.0331578j -0.0829023-0.000345766j -0.0246675-0.0312073j -0.00506045-0.0321403j 0.0143686+0.00843067j -0.0167571+0.0261655j 0.0167247+0.0150949j -0.0303578+0.0211174j -0.0215157-0.00675158j -0.00020099+0.0124165j -0.0255299+0.008455j -0.01884+0.000298457j -0.00950217-0.0149885j 0.00447761-0.000185553j -0.00323423-0.00647059j 0.0179961-0.00218871j 0.00262091+0.0136657j 0.0269948+0.00858851j -0.0183425-0.014693j -0.00535695-0.00149757j -0.0106342-0.00111862j -0.0024501-0.00516694j -0.011891+0.00398543j 0.00757097-0.0111198j 0.0104799+0.00177162j -0.0598635+0.00714452j 0.0354519-0.0159023j 9.35388e-05-0.0311472j -0.00447397+0.075247j -0.0388697+0.00120458j 0.0654068+0.122206j -0.091879+0.0921407j -0.0163083+0.0219308j 0.0500513-0.0333282j -0.0577237+0.037068j -0.124298-0.00153672j 0.0985002+0.155849j 0.12935-0.103126j 
-0.116123-0.00676492j 0.0538937-0.0177674j 0.0456019-0.00201908j 0.142097-0.00789865j 0.0140982+0.0150557j -0.00636399-0.00907936j 0.000258766+0.0032947j 0.00714947+0.0132462j -0.0670852-0.0138324j 0.0575811-0.00679413j 0.0165171+0.00192039j 0.0175594+0.00315772j 0.0169882-0.00272158j 0.00925059-0.00655384j -0.00207364+0.0107379j 0.0861613+0.00804779j 0.307185+0.00518309j -0.147492-0.00942384j -0.1021+0.0379921j -0.0451109+0.0227224j -0.053101-0.000467295j 0.0422114-0.001378j -0.0208409-0.00442167j -0.0227883-0.0255774j 0.0144524+0.00336558j 0.0385296-0.0192842j 0.00107842-0.0161073j -0.0201431+0.00517781j 0.00143799-0.0137435j -0.00869322-0.00347533j -0.0309286+0.0145829j -0.0218274+0.00487141j 0.0807131-0.00212589j -0.0319037+0.0194547j -0.0331472-0.0215393j -0.127879-0.0204568j 0.037839+0.00259317j 0.0335222+0.0193639j 0.089066+0.0043629j -0.0158106+0.00213923j -0.0461862-0.0201268j -0.0170203-0.00228758j -0.00946292+0.015761j -0.0167068+0.0132459j 0.0186686+0.011881j 0.0237373+0.00500437j -0.0256175-0.00269868j -0.00263128-0.000195429j 0.00252659-0.00472312j -0.0316362+0.00803991j 0.00610525+0.00722736j 0.0150837-0.00141802j 0.007023-0.00915168j 0.0267565+0.00746004j -0.000820928+0.0103967j 0.0110368-0.0192718j 0.0814332+0.00613723j 0.0415234+0.0542264j 0.00844553-0.0423962j -0.00605433-0.0330328j 0.0610924+0.00309442j -0.0398672+0.0221479j -0.0365783-0.00096051j -0.0233439+0.00978299j -0.00117604-0.00711236j 0.00271005-0.00863562j 0.00982328-0.0160862j -0.0210222+0.00209917j 0.00924752-0.00815922j 0.00251957+0.0079962j 0.0178783-0.000561752j 0.000565146+0.0034941j -0.010087-0.00100487j -0.016458+0.00865636j -0.0312069+0.00647191j 0.0293877+0.00131973j 0.00381908-0.0128132j -0.00483956+0.00982841j 0.0202085-0.00310197j 0.00598193-0.00739312j 0.00363493-0.0036792j -0.00475334+0.00690971j -0.030381-0.0303003j 0.0144795+0.00437728j -0.0225811+0.0179241j -0.0607467-0.0101189j -0.0120771-0.0608401j -0.170364+0.0810903j -0.0657686-0.105081j -0.0211012-0.0140631j 0.0240046+0.0404725j -0.026413-0.034014j 0.00653082-0.135969j -0.162688+0.0953669j 0.0913131+0.153806j 
-0.0119405-0.0110645j 0.0465621+0.00671787j -0.0248587-0.006828j -0.0589029+0.000954589j 0.0337541-0.0533383j 0.0107324-0.000770416j 0.00658263-0.0141996j -0.0203699-0.0341237j 0.00960676+0.00134114j -0.00726308+0.00806486j -0.013703-0.0266221j -0.0163886-0.0667488j -0.0281767-0.00946163j -0.0122612-0.0039539j -0.013752-0.0215387j 1.55673e-05-0.0253883j 0.0702094+0.020606j -0.0584328+0.0402586j -0.0243098-0.0303918j 0.0915948+0.000744638j -0.0142976-0.0092692j 0.011285+0.0133179j -0.00130122-0.0137035j -0.0223748+0.0139888j 0.013565-0.0122808j 0.013522+0.0232781j 0.0104589-0.00755455j 0.0108036-0.00451602j -0.0107062+0.0163055j -0.0124813-0.00738309j -0.0274853-0.0131326j -0.0288505+0.00380076j 0.0230979-0.0124344j 0.043827-0.00544568j -0.0536329-0.0135755j -0.0383752-0.00813669j 0.0147614+0.0046524j 0.0197934-0.000940517j 0.0187037-0.0074621j -0.00425031-0.00507632j -0.0353826-0.00377543j 0.0370389-0.016626j 0.0295146+0.0347188j 0.011284+0.0127679j 0.00748854-0.0319572j 0.00749839-0.0078344j -0.00140892-0.0215949j 0.00525625-0.0126157j -0.00101567+0.0119207j 0.00300455+0.0111397j 0.00266709+0.00361913j -0.00826287-0.0283634j -0.0220414+0.00342401j 0.00925756-0.0283015j 0.0069474+0.00030356j -0.0363967-0.00520296j 0.0179331+0.019447j 0.0325186-0.0289635j 0.00199152-0.00223502j 0.000390288-0.0068897j -0.0209742-0.00379097j -0.016463+0.000869186j -0.0041649-0.000171266j -0.00062503+0.000516311j 0.0118232+0.00383592j -0.00492227+0.000229067j 0.00801618+0.0074989j -0.00631556-0.00385735j -0.00116404-0.000435817j -0.00712695-0.00603937j 0.006656+0.000706297j -0.000692922+0.00191275j -0.00410834+0.00271554j -0.00628489+0.00170163j 0.0128186+0.00532366j 0.00226083+0.0135536j -0.00159422-0.0068256j -0.00823183+0.00312041j -0.000142731-0.00783844j -0.00350995+0.00447768j 0.00369694-0.00988048j -0.00233244+0.0134018j -0.0132431-0.000356274j 0.00204846-0.0031443j -0.00567151+0.00424887j -0.0221542+0.0394958j 0.00260016-0.0121812j -0.0138506+0.0490902j -0.0554267-0.00223033j -0.0138072-4.8078e-05j 0.0317258-0.00939056j -0.0226241+0.0177421j -0.034224-0.0377007j -0.00575951+0.0844464j 0.0727144+0.00203531j 
0.0163703+0.00690494j 0.463402-0.00794816j 0.376897+0.00547692j -0.405942-0.00181199j 0.132404+0.00827399j 0.0293584-0.00564466j -0.00311875-0.00202654j 0.00867676-0.00262146j 0.104473+0.00364005j -0.067605+0.000254689j -0.0314906+0.00111284j -0.0617985+0.000933776j -0.0406525+0.00295994j -0.0657469+0.00201174j -0.0937059-0.00489566j 0.0644517-0.00502317j -0.0634768-0.00983005j 0.0701523+0.00188063j -0.1696-0.00131804j 0.116644-0.0102845j 0.00687563+0.0150145j 0.00055426+0.0184336j 0.0256492+0.0201406j 0.00769494+0.0241699j 0.0183813-0.0156564j 0.0482338+0.0124999j 0.0370154+0.00382194j -0.0110071+0.000430924j 0.0485257-0.000904027j -0.0294078-0.0144348j -0.0936761-0.0160194j -0.0585661+0.0174064j 0.00215575+0.00700041j 0.0161912+0.00424183j -0.0127466-0.00461484j -0.0151031+0.0336076j 0.0454748-0.0029746j 0.0250831+0.00749718j 0.00376736-0.0378827j -0.00396983+0.000937786j -0.0144029+0.0375574j 0.0143619+0.0326432j 0.039717+0.00638562j -0.0180191+0.0174908j -0.0326509+0.0121781j 0.0423679+0.00202609j -0.0191148-0.000134204j -0.00466704+0.00429892j -0.00944473-0.019072j 0.0150009+0.00188167j -0.00127277-0.0170551j 0.0275968+0.0194279j -0.00919023+0.00948265j -0.0386829-0.0252414j 0.0121273+0.029124j 0.0155011-0.00642285j 0.00905438+0.00600726j -0.00177226-8.07848e-05j 0.0152863-0.0122414j 0.0184738-0.00793907j -0.0292855+0.037395j -0.0200015+0.00444524j -0.0180845-0.00666393j -0.00479913-0.0109451j 0.00550056-0.0178985j -0.00501135-0.00345369j 0.0168619-0.00757446j -0.00956921-0.00781545j 0.0113619+0.000481988j -0.0126374+0.0202413j -0.00615089+0.00650219j -0.00938205-0.00206196j 0.00358773+0.00544261j -0.0118149-0.00375366j 0.0228894+0.00312151j 0.0220907+0.010611j 0.0166037-0.00117147j 0.000733303-0.00116796j -0.00444002-0.00951682j -0.00613731-0.0130009j -0.00201782-0.00239623j 0.0134744+0.0244462j 0.0223071-0.0149717j -0.0191549+0.0491306j 0.0182482+0.0173306j 0.00634989+0.0437327j 0.0408642-0.025989j -0.00580475-0.00519505j -0.0686766-0.00377784j -0.0127523+0.00144687j 0.0198623-0.0197882j 0.00158698+0.0251115j -0.0141646-0.02795j 0.00758853+0.0631164j 0.0541664-0.0164609j 
0.184645-0.00246341j -0.0404108-0.00963964j -0.161488-0.00334486j -0.132168-0.00100944j -0.0027118-0.0120194j -0.0678437+0.00658448j 0.0340511+0.00648829j -0.0750405+0.0109266j 0.095864-0.0145533j 0.00896647-0.00666213j 0.0358027-0.00949039j -0.00472424-0.0416966j 0.085661+0.00233786j 0.056662-0.0212207j -0.191651-0.0002136j -0.0350454+0.0140468j 0.0327151+0.009479j -0.153409-0.0156852j 0.0289195+0.0448968j 0.0266489+0.0285406j 0.015692-0.0192424j -0.041846-0.00642808j 0.00576832-0.0196543j -0.00909877+0.0187752j 0.0224396-0.00373314j -0.0102004+0.00776673j 0.0227998+0.001608j 0.00212722-0.00124711j -0.00851234-0.00402066j 0.0113159+0.0213905j -0.0262075-0.00657168j -0.00616423-0.00994478j -0.00863962-0.00452383j -0.00236792+0.0344584j 0.00277256+0.0170751j 0.00186095+0.00546215j -0.00308165-0.00669124j -0.025587-6.53748e-05j 0.00829102-0.0178548j 0.0108629+0.00489162j -0.00164773+0.00975291j -0.000676609+0.0237456j -0.00431187-0.00600167j 0.0299869+0.0138423j 0.000909647+0.00144855j -0.0148194+0.00431484j -0.0122513+0.00466091j 0.00253883-0.0190437j -0.000477558-0.0136593j 0.0070649-0.0225379j -0.027537+0.0125092j 0.00999817-0.0103554j -0.00995337+0.0243348j -0.0181851+0.0323959j -0.0247368-0.0108657j 0.00934709+0.0156712j -0.0190191-0.00584954j -0.0245273-0.0186171j 0.010815+0.00995274j -0.0211087+0.00743254j -0.0327771-0.00392681j -0.00283964-0.000550584j 0.00386547+0.0101606j 0.0188524+0.00701175j -0.00591608-0.0112172j -0.00666231+0.00828681j 0.00541698+0.00195414j 0.00622+0.0110524j 0.00580331+0.00683419j 0.00609425-0.0141825j 0.0102501+0.00746164j -0.00242406+0.0124343j -0.0107257-0.0102906j 0.00959432-0.0118276j 0.00317455-0.0104549j 0.00421202+0.0034286j -0.00022966-0.00648864j -0.0123455-0.0380942j -0.020902+0.00348911j 0.000686389-0.014095j -0.000647699+0.0124835j -0.00309747-0.00637701j -0.00522242-0.0250035j -0.00303595+0.00343589j -0.0523566+0.0098264j -0.00790954-0.000749274j -0.000854663+0.025452j -0.00131062-0.00305871j -0.00661651-0.0217734j -0.00126239-0.000528078j 0.000203827-0.00186652j 0.000136557+0.00333804j 0.00990589+0.00174544j -0.0156692-0.00131258j 0.00251077+0.0101281j 
0.056736-0.0129766j -0.033688+0.00534661j -0.103853-0.000918093j -0.0159069-0.0134515j 0.0278265+0.0119321j -0.10542-0.0102622j 0.0237327+0.00224526j -0.0628929+0.0277773j 0.00103225-0.00505257j 0.0328448-0.00497559j 0.0312723+0.016722j -0.0670863+0.0270605j 0.110733+0.0135838j 0.0271833+0.0106929j -0.0418667+0.00282028j 0.0892328-0.00264623j -0.0878718+0.00681571j -0.0313004+0.0243662j 0.0245551-0.0327289j -0.0277315+0.0138956j 0.00303763-0.068851j -0.0322738-0.00844741j -0.0178129-0.0435972j -0.0191797+0.0372046j 0.039041-0.0265336j 0.00975116+0.0359861j 0.0373995+0.0223856j 0.0132308-0.00826124j 0.0156029+0.00712532j 0.00803834+0.0128769j -0.0095183-0.0428105j -0.0440906-0.0114471j 0.0059406+0.00999745j 0.0324822+0.00507336j -0.0204442+0.0364096j -0.0438046-0.00428919j 0.00798259-0.0001733j -0.00155373-0.00360466j 0.015508-0.00648805j 0.00716565-0.0103344j -0.0209252-0.00770604j -0.0227405+0.0223281j -0.0104657-0.00626823j 0.0191508+0.0124185j 0.00028399+0.0208712j 0.00618751+0.0202832j 0.010018+0.0260679j 0.00826651+0.00384559j 0.001006-0.00550655j 0.00680604-0.0133185j 0.0142054-0.00571106j -0.00994899+0.010402j 0.00946544+0.0141824j -0.0287018-0.00459529j 0.00117849-0.0137309j -0.0120384+0.0325995j -0.01682+0.00256192j -5.2185e-05-0.0356456j 0.00764817+0.0284571j -0.0240313+0.0208126j -0.0179349-0.0011971j -0.0179337-0.0147587j 0.00999476-0.00683882j 0.0102727+0.00547285j 0.0232912+0.000475757j -0.0116901-0.0034789j 0.000863307+0.0167022j 0.0114445+0.000159039j -0.00131248+0.00909719j -0.00398926-0.010809j 0.00533002+0.0039574j 0.00280235-0.00128855j -0.00612069-0.00859939j 0.0107375-0.00142594j 0.000179657-0.00346737j -0.00418709+0.0174632j -0.0148595+0.00688821j -0.0115001-0.0144662j -0.00153566+0.00729681j -0.00623305+0.00624746j -0.00564114-0.000522575j -0.00681414-0.00206006j 0.01446+0.006943j -0.0168635-0.019597j -0.0287849+0.0117153j -0.0256853+0.0273629j 0.00785728+0.0206141j 0.00316453+0.0118899j -0.0131327-0.0302927j -0.00456459+0.0027575j 0.0185017-0.0145831j -0.0217751+0.0290947j 0.000615254-0.0127613j -0.0122942+0.0336765j 0.0319264+0.0124757j 
-0.0137015+0.0102976j -0.0350765+0.019135j 0.00230337+0.000457451j 0.0700421+0.00667384j -0.04708-0.0202465j -0.0278923+0.0251343j -0.0182454+0.00259119j 0.0325379+0.00424946j -0.0414193+0.0107552j -0.0199059-0.00509899j 0.00646355-0.000472417j 0.0418599+0.00458438j -0.0185599+0.0103442j 0.0262738-0.00241448j -0.0244677-0.0176801j -0.0901284+0.00175068j -0.012949-0.0342555j 0.0251729-0.0261474j 0.0399612-0.00663626j 0.0160247-0.0175203j -0.00300592+0.004901j -0.0213103+0.00395116j 0.00827845+0.0107219j 0.00363169+0.0560532j -0.00348019+0.0178933j 0.0112161+0.00329114j 0.00894108+0.0284329j 0.00368077-0.00752968j -0.00177246+0.0131831j 0.0225196+0.0410365j 0.0475246-0.0174295j -0.00108389-0.0330651j 0.02209-0.0137832j 0.00253241-0.00593382j 0.0180974+0.0412118j -0.034812+0.0249758j -0.0107769+0.000978996j -0.00397877-0.0133363j 0.0511128-0.0156527j -0.0260851-0.0122889j -0.0230989+0.0152728j -0.0106257+0.00272005j -0.0180889+0.0244807j -0.0100164+0.0027868j 0.0139481+0.0073099j -0.0160859-0.0059606j -0.0080398+0.0038657j -0.0104219+0.00534146j 0.0131461+0.000178292j -0.0176547-0.0123083j -0.00828352+0.00245529j -0.00986784-0.00373564j 0.00696104+0.0153581j 0.0187339+0.00831714j -0.0163021+0.00670971j 0.0108802+0.018769j 0.00118492-0.0214366j 0.00148634-0.00091461j -0.00918593+0.0108562j -0.00779569+0.00429015j 0.022097-0.0183133j 0.0011918+0.00876334j -0.00622097+0.0120506j 0.000922856+0.0130476j 0.0165516+0.00585387j 0.00350783+0.00024473j -0.00680756+0.00398297j 0.00323634+0.0042779j -0.00597118-0.000992271j -0.0033536+0.0102572j -0.00804229-0.0129506j 0.00850729-0.00571929j -0.0032099+0.00454578j 0.00312785+0.00457798j -0.00309435+0.00430331j -0.0270664-0.00850331j 0.00417983-4.6177e-05j 0.0011646+0.023951j 0.0102715-0.0248919j 0.00055739+0.010089j 0.00565229+0.00157024j -0.0193253-0.0104565j -0.023996+0.0401033j 0.00860802-0.0273335j 0.0155426+0.0113024j -0.0115956-0.00484918j -0.0111719+0.0127887j -0.0140133+0.0433128j 0.0186961-0.0407929j 0.000445815-0.00154831j 0.00535221+0.0115774j -0.0157144-0.00558799j -0.00743328-0.00685289j -0.0309161+0.00825305j 0.0151216+0.0315555j 
0.0579931+0.00116753j 0.0388874-0.00905861j -0.0417212+0.00302219j -0.0871452-0.000967888j 0.00483969+0.00934895j 0.0341316-0.012086j 0.0336393+0.00126454j -0.0332232-0.014766j 0.0103404-0.000705042j 0.0101485-0.0043289j -0.0088051-0.00605708j -0.000723422-0.0030234j -0.00577532-0.00399806j 0.0181759+0.00394086j 0.0474183+0.0072042j 0.0404632-0.00897861j -0.00176232+0.016696j 0.00300994+0.0196472j -0.0354109-0.00602614j 0.0116254-0.00266828j 0.00750353-0.0239916j 0.0146275+0.0153627j -0.000919969+0.0182734j 0.00731567+0.00278422j 0.00825499+0.0688704j -0.0043716-0.0532244j 0.00859431-0.0368952j 0.00366782+0.0104642j 0.00151163-0.0249091j -0.0109646+0.0666591j -0.018892-0.00195702j -0.0092517-0.0256261j -0.00400966-0.0245963j 0.00219301-0.00247851j -0.00698168-0.00715113j 0.0135833-0.00674072j 0.0135621+0.00188713j -0.000317366+0.00347749j -0.00440014-0.00695367j 0.010994-0.0146858j -0.0153366+0.0131794j 0.00932302+0.00667246j 0.00781185+0.00675355j -0.00274926+0.0153371j -0.0101413-0.00800763j -0.0278371-0.0133958j 0.0103168-0.0088341j -0.00106141+0.0321994j -0.0207592+0.00831091j 0.00216592-0.0217265j -0.00753035+0.0281115j 0.0132678+0.0193826j 0.0167619-0.0199771j -0.0178615-0.0127733j 0.0201172+6.73157e-05j -0.00282667-0.00458126j 0.00221801+0.00333646j 0.0100157+0.0108081j 0.00643356-0.00815781j 0.0093042-0.00386673j 1.39246e-05+0.00772703j -0.00333966-0.00142877j 0.00018311-0.00308937j 0.00676635-0.000235345j -0.00391624-0.0059754j -0.00348049+0.00205144j 0.00343465+0.00304964j -0.00740473+0.00217375j -0.00358741-0.00171892j 0.00527366+0.00435239j 0.000551547-0.0046055j -0.000782302-6.81873e-05j -0.00463422-0.00311834j -0.00287058-0.00415571j -0.00126726+0.00627277j -0.00045001+0.00239994j 0.00269941-0.00383971j -0.00176985-0.00453335j 0.00116068+0.00346957j -0.000434723-0.00919681j 0.00443636+0.00151123j 0.00280856-0.00215523j 0.0133106-0.0105785j 0.00546814+0.00124618j -0.00176506-0.00593195j 0.000315645+0.00576908j 0.000849178-0.00263803j 0.00346003-0.0065509j -0.00959571+0.00791266j -0.000623152+0.00111816j 0.00125827-0.00385975j 0.000777661+0.00468648j -0.00187606-0.00136911j 0.00681035+0.00680556j 0.00419813-0.00825757j 
0.372072+0.0154613j -0.16711-0.0154383j -0.492099+0.00922256j -0.165612-0.00190327j -0.0732965+0.0177055j 0.0300223-0.0108936j 0.0947715-3.63213e-05j -0.0948072-0.0181852j 0.00781357+0.0114018j 0.0607966+0.00240748j -0.00933507-0.00301722j 0.0305002-0.00856748j -0.021584-0.00695975j 0.0412378+0.00160325j 0.0413052-0.0013205j 0.0276216-0.0122317j 0.00538405+0.0032482j -0.0220329+0.0151012j -0.0261989-0.00611023j 0.0442401-0.0176562j 0.0515924+0.0235487j -0.0185902+0.0097842j 0.0196531+0.033862j 0.0087834+0.00257166j 0.0295171-0.000283125j -0.0103203-0.00412896j 0.0222189-0.00609602j 0.00690032+0.00508923j 0.00527461-0.00166635j 0.00386528-0.012728j 0.0117906+0.00168277j -0.0147784+0.00974322j 0.0107892+0.0220795j 0.0191535+0.0069023j 0.0229573-0.00333788j -0.0239015+0.0369896j 0.0303183+0.0054204j -0.0446217+0.0149151j 0.043596-0.0121445j 0.0126656+0.0517842j -0.00628734+0.00584749j -0.00883771+0.00653775j -0.00887997-0.00761357j 0.0315075+0.00571873j -0.0114846-0.0120897j -0.0123283+0.013585j -0.00184919+0.00654615j 0.0242623-0.00465571j 0.00978162-0.0175184j 0.01422+0.012703j -0.0151982+0.00411741j 0.00320544+0.0052815j 0.00543367-0.00363878j 0.0127117-0.00259024j 0.0121771-0.017294j 0.00222429+0.0317865j 0.0124247+0.0152424j 0.0194987-0.00623917j 0.0157902-0.0153926j 0.0102255-0.00534043j -0.00172143-0.0183266j -0.00654882+0.00324382j -0.0082993+0.00609599j -0.00577674+0.00979535j 0.0273662-0.0127564j 0.0102062+0.0141322j 0.00234997-0.00257597j -0.00251164-0.0159234j -0.00872738+0.000919563j 0.00744946+0.00622919j -0.00466749-0.0155705j 0.00670871-0.000239646j -0.00333149+0.00891051j -0.0155302-0.00366943j -0.000896795-0.002698j -0.0187504-0.00154249j -0.00307244+0.00605228j -0.00771293+0.00616211j -0.000135463-0.00414942j -0.000333672+0.00159824j 0.00659394-0.00153517j -0.0161035+0.00762106j 0.000151075+0.0154724j 0.000711878-0.0166114j 0.00258386+0.00349238j -0.0126252-0.00483539j 0.0073346+0.00818332j -0.0194635+0.0287624j -0.00494132-0.044818j -0.00308765-0.00432021j 0.00828575+0.00713187j -0.0062339-0.0014761j 0.00444319-0.0157275j -0.0390102+0.0213145j 0.0210591+0.0334146j 
0.025754-0.0272372j -0.0497123-0.0080861j -0.135683+0.00454402j 0.0581948-0.00946345j 0.0416603-0.0310865j -0.0774108-0.0151579j -0.0534583-0.0141174j -0.0173553+0.00728369j -0.0565018-0.0102124j -0.0327023+0.00636249j -0.0326381+0.00750837j -0.053428+0.0160676j -0.0411103+0.0170955j -0.0283857+0.00563209j 0.035587-0.00528886j 0.00482202+0.0113796j -0.0632442-0.0225494j -0.0698626-0.016717j -0.0726196-0.00667407j -0.0193305+0.0247141j -0.0157177+0.0124275j -0.0203991+0.0473447j 0.013775+0.00994905j 0.00362101+0.0114896j -0.0160997-0.00214657j -0.0289245-0.00689143j -0.00187302-0.0232821j 0.00714612+0.00581652j 0.00682139-0.0119635j -0.000245333+0.00319388j 0.0031784+0.0113566j 0.00463178+0.00110202j 0.0254653+0.00468866j -0.0190525-0.0033209j 0.0206577-0.0366804j 0.0259359+0.0128201j 0.022087-0.00144316j 0.00305945-0.00158898j -0.0048574-0.0031726j -0.0158832+0.0230827j 0.00338725+0.0227535j -0.0175861-0.00704868j 0.00832965+0.0238148j 0.0133495-0.0158194j 0.00484097-0.00145862j -0.00670668-0.0101229j 0.0229082-0.00544027j 0.00919966+0.0136754j 0.00341016+0.00417162j 0.015457+0.0211183j 0.000223491-0.0135536j -0.000985996+0.0128833j -0.0098939-0.0149085j -0.00545185-0.0112845j 0.0174479-0.00662744j 0.0130353-0.000536217j -0.00182079-0.00731155j -0.00462984-0.00951803j -0.00982196-0.0156128j 0.0123377-0.0125518j -0.00798538-0.0110474j 0.00489608+0.00443836j -0.0158456+0.0170279j 0.00784786+0.00657302j -0.0141636-0.0148163j -0.00187551+0.00392083j -0.00339575-0.0039853j -0.00256598+0.00457438j -0.00484647+0.00189098j 0.0130883+0.00355185j 0.0024821-0.00119823j 0.0035622-0.00152279j -0.0082433-0.0119334j -0.000188723-0.00836722j -0.0170791-0.0101391j 0.00356924+0.0160075j -0.00566882+0.00307968j -0.00606374-0.0136227j -0.00922309+0.0155922j -0.00335125-0.00652295j -0.0128025-0.00850859j 0.00552216+0.00196617j 0.014668-0.0251163j -0.00773986+0.00656923j -0.00613774-0.00185977j 0.00295619-0.0216151j -0.0049126-0.000160361j -0.0136582-0.00571084j -0.000501447-0.0082697j 0.00113843-0.00449561j -0.0114822+0.0105944j 0.0168656-0.0171274j 0.00824512+0.00144742j -0.0124107-0.0127738j -0.0124915+0.00648066j 
0.361995-0.00831852j 0.109885+0.0139315j -0.206883-0.00945657j -0.346063+0.00185826j -0.0417149-0.00735176j -0.0295385+0.0207362j 0.044376-0.0148859j -0.0474691+0.00191341j -0.0114803-0.00446475j 0.0370076+0.000316171j -0.0103632-0.00394572j 0.0254051+0.0115505j -0.0281098-0.00506186j 0.031726+0.00479312j -0.00991421-0.00324686j -0.00215194+0.00241973j 0.0220436-0.00701742j -0.0099488-0.00877538j 0.011005-0.00261122j 0.0270077-0.0045708j 0.0630602+0.0050089j -0.00272262+0.000920111j 0.00928058-0.0223925j -0.0120224-0.0404098j 0.0597113+0.0162843j 0.029211-0.0259065j 0.0698726-0.00930482j 0.0307876+0.0023508j 0.0233621+0.00140527j 0.00143502-0.00705683j -0.0236274-0.0013213j -0.0590984-0.00846286j 0.0056173-0.00779496j 0.0404526-0.00645713j -0.0633725-0.0168735j -0.00211943-0.0178987j 0.0672999-0.0021714j -0.0484378+0.00581587j -6.97127e-05+0.0118551j -0.00819547+0.00554j -0.0163891-0.0350282j 0.0336258+0.0160989j 0.00106796+0.00419681j 0.00578563-0.0250493j -0.0376478-0.0157546j 0.0224564+0.0261424j 0.0157623+0.0133478j 0.0110875+0.013875j -0.00760339-0.00686678j 0.00839302+0.00782316j 0.0158428+0.0169835j 0.00863274-0.00013551j 0.0162628+0.00254952j -0.00295665+0.0139107j -0.00153503+0.015045j -0.017806+0.0220741j -0.0109331-0.0114836j -0.00426585+0.0191185j 0.00315112+0.00683348j -0.0177468+0.00882419j -0.00650967+0.0229508j -0.0151186-0.0181097j 0.00421941-0.0210311j -0.00266199-0.0140384j 0.0113468-0.00961721j 0.00125166+0.00803102j 0.00782341+0.0089255j -0.00280197-0.0197038j -0.0040314-0.00150814j -0.00721637-0.00383365j 0.00693817-0.0131108j 0.00697597+0.00218981j -0.00130327-0.0072268j -0.00209999-0.00877698j 0.00963518+0.00218944j -0.0161569+0.00920638j -0.00377477+0.000546538j -0.0118824-0.00812106j -0.00427382+0.0126437j -0.00327224-0.009443j 0.0168036+0.00249418j -0.00797713+0.0119615j 0.0312376+0.00627j 0.000395915-0.00692951j -0.00867414+0.000807676j -0.0151793+0.0420123j 0.0297567-0.000731571j 0.00969508-0.0138491j -0.0334463-0.00623024j -0.00665453+0.00598637j 0.0255754-0.0275567j -0.0248101+0.0454352j 0.00127931-0.0201809j 0.00482862+0.0457779j 0.0386378-0.00167075j 
