0.0297227+0.00158682j 0.0734146-0.0107824j -0.0652532+0.00554913j -0.0285512-0.00155803j -0.028237-0.0016691j -0.00519429+0.00160412j 0.0119833-0.00148776j 0.00348481-0.00109428j 0.0322922-0.000977264j -0.0237966+0.00305505j 0.0673213-0.000363377j -0.00786622+0.00191945j -0.241806-0.00296216j -0.0720802+0.00552982j -0.000577997-0.00231624j -0.0678351+0.00289227j 0.090019-0.0050925j -0.00481253-0.00650723j 0.0325217-0.00080481j 0.00332596+0.00158174j 0.0375491-0.000167202j -0.00804149+0.00102638j -0.0186991+0.000959702j -0.000833639+0.00683142j 0.0159872+0.00494283j 0.00279008-0.00275368j 0.0701822-0.00267308j 0.0191116+0.000530232j -0.00124571+0.00207579j -0.00853827-0.000701202j 0.001038-0.00243629j 0.000381016+0.00132746j 0.017372+0.00358535j 0.0302928-0.000504283j -0.0030439-0.00683109j 0.0202201+0.00564966j -0.0529375+0.00292307j 0.0459466-0.00390481j 0.0666183-0.00642543j -0.0652008-0.00159989j 0.0637867+0.0025187j -0.0306288-1.16741e-06j 0.0880726-0.00849659j 0.0881451+0.000894675j 0.0863349-0.0110662j -0.254268-0.0111485j 0.0123617-0.0426827j -0.017347-0.00117344j 0.0237184-0.0114277j 0.0175517+0.00834412j 0.00782172-0.00615922j 0.00628696+0.00239708j -0.0226919-0.00308807j -0.0607118-0.0159619j 0.0452941+0.00448498j -0.0390111-0.00486531j -0.017184-0.0114j -0.00301413+0.00543826j -0.0477163-0.0239988j 0.0932911+0.00202151j 0.0449778-0.0200523j 0.00148643-0.0227997j 0.00862585-0.0306325j 0.080907+0.0589938j 0.0297088+0.00352873j -0.0350327-0.000637188j -0.27111+0.0229731j -0.329654-0.118207j 0.273607-0.0725475j 
0.0683978-0.00164282j 0.0229048+0.00190177j -0.0213412-0.00711354j -0.0117489-0.00399176j -0.0102577-0.0014455j 0.0214908+0.00563784j 0.0145451-0.00211061j 0.00387305+0.00384556j 0.014346+0.000285341j -0.00409059-0.000735035j -0.00739964+0.00455901j -0.112316+0.00429542j 0.0479341-0.00636972j -0.210719+0.000649227j 0.00467632-0.00392489j 0.0735111-0.00104987j -0.00810514-0.0095478j 0.00725168-0.00373032j -0.0069423-0.00527048j 0.0052409+0.00796818j 0.00964078+0.00330254j 0.00199553-0.000618555j -0.0221517+0.00582642j -0.0244007-0.00466867j 0.0313133+0.00139341j -0.0244508-0.00500354j -0.00447881-0.00729008j 0.022196+0.00792251j 0.00724472-0.000228479j -0.000945277+0.00121691j -0.00992796-0.00234085j 0.00941959+0.000508203j -0.00780857-0.00598856j -0.0034487-0.00525057j -0.030261-0.00292411j 0.01996-0.00509084j 0.00637931+0.00856035j -0.0131065-0.00416114j 0.0156785-0.00683363j -0.0865386+0.00222213j -0.0103659-0.00115891j -0.0803688-0.00742321j -0.159688-0.00131974j 0.234089-0.00195895j -0.00143433-0.00988281j 0.0997999-0.038927j 0.191302+0.010545j 0.00880125-0.0076694j 0.00344231-0.00755383j -0.0325591+0.00835633j 0.0231426+0.00419285j -0.0107534+0.00581094j 0.00336912-0.00777665j 0.0234542-0.0196141j 0.0369865+0.00174362j -0.00476639-0.00961725j 0.00285737+0.0116532j -0.0283577+0.0055458j 0.0268114-0.00546309j 0.00542784+0.013769j 0.0505724+0.00283201j -0.0129649+0.0109921j 0.106398+0.0320261j -0.179397+0.0423896j -0.00683198+0.0114169j -0.0107756-0.00897606j -0.125435-0.101144j 0.324153-0.079202j 0.320629+0.112494j 
0.0214815-0.00716356j 0.00429983-0.00241768j 0.012923-0.0046052j 0.0346617-0.0127911j 0.0231138+0.00304638j 0.0125503+0.0171214j 0.0473216+0.000671903j -0.0130087+0.0135663j 0.0569945-0.00537284j -0.037234-0.0103168j -0.0266654+0.00112391j -0.00862922+0.00803287j 0.179972+0.00482958j -0.16608-0.0053022j 0.0310335-0.0159872j 0.139914-0.00283391j -0.0390294-0.000966845j 0.0517536+0.000232682j -0.0191125-0.0259219j -0.0163221+0.0178721j 0.000225434-0.0053675j -0.0096884-0.00357585j 0.0106034+0.0207482j -0.0235653-0.0186748j 0.0410872+0.00211748j -0.0057338-0.00693871j 0.0281888-0.00149802j 0.036433+0.00523252j 0.00772483-0.00668183j 0.00641935+0.00773751j -0.0346705+0.0068273j 0.0189836-0.0198401j 0.00122961-0.0166405j -0.0215021+0.00456306j -0.0724712-0.0184202j 0.0253054-0.0218586j 0.000812776+0.00599412j 0.0116434-0.0247627j -0.0558628+0.0299869j 0.014415+0.0183067j -0.0426889-0.0464303j -0.020497-0.0156381j 0.113422+0.0460813j -0.0482179-0.0213522j 0.124892-0.0493821j -0.001186-0.0176089j 0.0035964+0.0803818j 0.00616748-0.00714873j 0.0417053+0.000184919j -0.0266305-0.000686606j 0.0188622+0.024763j 0.00965411+0.0109275j -0.0146071-0.0180658j -0.00479019-0.0331427j -0.0189489+0.00564515j -0.00893819-0.0205046j 0.00537173+0.0530567j 0.00838036-0.000122245j 0.0109819+0.0186951j 0.0145878+0.0436799j -0.0239645+0.0448388j 0.0394491+0.00295639j -0.00892021+0.049203j -0.0865947-0.0249523j -0.0181521-0.00374509j 0.00134052+0.0171505j 0.000750758-0.0131448j -0.168376-0.0102914j -0.012511-0.025573j 
0.0241759+0.00720292j -0.0193844+0.00303265j 0.0134707+0.0086463j -0.0220754+0.0152116j -0.00338682+0.0116846j 0.00917465-0.0118736j -0.0144214+0.0103718j 0.032843-0.00515914j -0.0384892+0.00284574j 0.00344272-0.00172711j -0.0270281+0.00752226j -0.0276276-0.00201431j 0.080627+0.00635264j 0.193026-0.00555098j -0.00142406+0.00175817j 0.0564624-0.0207903j -0.0107487+0.00963973j 0.021783+0.0132808j 0.0233491+0.00547593j 0.00740211+0.00257685j -0.0623928-0.0212602j -0.047881+0.0167817j 0.0390849-0.00729117j -0.00345132-0.0139602j -0.0235322-0.0117137j 0.0155062-0.00664656j -0.0189548+0.0129266j 0.0278193-0.00968707j 0.00109121-0.0117054j 0.00647987-4.56989e-05j -0.00967478-0.00316113j 0.0181107+0.00625149j -0.0173894-0.0140173j 0.0167574-0.0286042j 0.0271938+0.0340723j -0.05512-0.00107838j 0.0558098+6.00454e-05j 0.0139785+0.0463212j 0.0176251-0.0132646j 0.0365919-0.0139683j -0.00556882+0.0109984j -0.0373744-0.0129072j 0.0163214+0.0114152j 0.0825368-0.0277523j 0.0821527+0.0565639j 0.020053+0.0392408j -0.0671196+0.0310915j -0.00249797+0.0024184j 0.0144617+0.0120079j -0.000353977-0.0146322j -0.00374051+0.00358345j -0.0053912-0.000322708j 0.0118802+0.000131256j 0.00141564+0.0229766j 0.0320431-0.0069131j 0.0147404+0.0130586j -0.0139581-0.00496069j -0.00401008+0.0026269j -0.00249812+0.0120003j -0.062671+1.98468e-05j -0.0264567+0.00515447j -0.037077+0.022758j -0.0865705+0.00845909j -0.0434522-0.0872778j 0.0142167-0.00962743j -0.0179213-0.000714433j -0.0359943+0.0219931j -0.051794-0.0149427j 0.183275+0.00996586j 
0.0036991+0.00739455j -0.00959969+0.00209454j -0.00604563+0.03134j 0.0105641+0.02149j 0.0863436-0.00380343j 0.0185803-0.0516684j -0.125269-0.0017143j -0.081117-0.0216778j 0.0904609+0.0043466j -0.0193034+0.016626j 0.10244-0.00375303j 0.0215763-0.0138113j 0.0192831-0.0175048j 0.0192046+0.00788788j 0.0153263+0.0195688j 0.0635804+0.0232703j 0.0490495-0.00206369j -0.0453468+0.0246325j -0.00859162-0.00602412j -0.0145147-0.0204616j -0.00888447-0.00991623j 0.0234466-0.0118607j 0.00243723-0.00915218j -0.000410073-0.00526055j -0.0232816-0.015433j 0.00328987+0.00675838j -0.0131422-0.017723j 0.00174577-0.00260601j 0.00432973+0.00476438j 0.00914939+0.00403202j 0.00279125+0.0199905j 0.0201781-0.00700558j -0.00950392+0.00202756j 0.0254342+0.0314325j 0.0167869-0.0200642j -0.0171768+0.000410408j 0.0446244-0.00635037j -0.0351172-0.0139124j 0.00173972+0.00532046j -0.0287475+0.00794079j 0.0303209-0.00962118j -0.00326825-0.0214636j 0.022612+0.0257871j -0.00853981+0.00308091j 0.012249-0.013618j 0.01435+0.0144791j 0.00930045+0.00377278j 0.00313682+0.00275801j 0.000486634+0.00319667j -0.000313565+0.000319884j 0.0140794+0.0111878j 0.0055785+0.00134667j -0.00447196-0.00416279j -0.00489294-0.0118201j 0.00110355-0.0030573j 0.000955542-0.00242565j -0.003107+0.0119739j 0.00690815-0.001239j -0.000835963+0.00760436j -0.0374355-0.00718943j 0.00477296-0.0184437j 0.0210777-0.00193013j -0.00326023+0.00976739j -0.00617283-0.0013456j -0.00290833-0.00268211j -0.000826428+0.00474139j -0.00731119+0.001063j 0.00501515-0.00150654j 0.0217777-0.00170571j 
-0.000889565+0.00251918j -0.019235-0.00599215j 0.0318312-0.00445419j 0.100352+0.00374843j 0.00927012-0.000415606j 0.0138462+0.0108224j 0.0860593-0.00740616j 0.0127271+0.000483701j 0.0392995+0.00427808j -0.134687-0.015632j 0.0201416-0.00552942j 0.0946222+0.00253084j -0.0165195+0.0102344j 0.0291924-0.00230457j -0.0440401-0.00434136j 0.0379438-0.0286282j -0.02631+0.0311486j 0.0273339-0.00338307j -0.0115165-0.0287609j 0.00744844+0.0218632j 0.00206041+0.0406447j 0.00416416-0.0570214j 0.00830076-0.00409831j 0.0208627-0.00383443j -0.0087587-0.00429217j 0.0191018+0.0516099j -0.0306994-0.00923893j -0.0123785+0.0136113j 0.018226+0.00292956j 0.0112001+0.00981976j -0.0109125+0.0347393j 0.0195793-0.0159412j 0.0237809+0.00893214j -0.00597988+0.0434145j 0.0128105-0.0219645j -0.0344793+0.0152512j 0.00993891+0.00463925j 0.00192618-0.0240577j 0.0244359+0.0118998j 0.0150068-0.00508633j -0.0360108-0.0321646j -0.0223669-0.0280773j 0.00853547-0.00806976j 0.022731-0.0198007j 0.0428676+0.0283382j 0.0102217+0.00513453j -0.0192762+0.00239411j 0.00212148+0.0194143j -0.00190532+0.00414576j -0.0124168-0.0152172j -0.00512622-2.95865e-05j -0.00419229-0.0038489j 0.00417221+0.00393649j 0.0133346-0.00868904j 0.0139475-0.019134j -0.00187256-0.0137449j -0.00348801-0.00841641j 0.0166916-0.0130113j 0.00631071+0.0170717j -0.00245228-0.00695892j -0.0123788+0.00654763j -0.00657966+0.0060289j -0.0338686-0.0101928j -0.04096-0.0306032j 0.00693168-0.0038213j -0.00522862+0.00238923j -0.00218066+0.0205072j 0.0233859-0.00546591j 0.067837-0.00284275j 
0.0387433-0.00211469j -0.0135243+0.0140034j -0.0420475+0.0230752j 0.0298579-0.0145756j 0.03763+0.00709904j -0.0444638-0.00822924j -0.0483715+0.000328286j 0.0515118+0.00221279j -0.0571953-0.00830707j -0.0958312+0.0118228j 0.0146683+0.00766087j -0.113942+0.00347501j 0.0111308+0.00479329j 0.0391016+0.00616005j -0.0310439-0.0388076j 0.0831186-0.00417659j 0.0167792+0.0291552j 0.00543687+0.0213157j -0.000447429-0.0182558j -0.0208536+0.0424039j 0.006502+0.0338536j -0.000272301+0.00166908j 0.0333545+0.0234511j -0.0214334-0.00529079j -0.00615997+0.0307065j 0.00355543-0.00360204j 0.0039847-0.0209236j 0.0270426+0.0160666j 0.015938-0.0121432j 0.00466467+0.00491881j -0.0334017+0.0071294j 0.00613241+0.015965j -0.029084+0.000623865j 0.0123735-0.0289174j -0.0327317+0.0176718j -0.0245585-0.00646605j 0.00858242-0.00886752j -3.50002e-05-0.0277003j -0.00716589-0.0491427j -0.023344-0.038706j 0.000100899+0.000882899j 0.0126241+0.00332372j 0.00806484+0.010296j -0.0298733+0.0108678j 0.0714581-0.00484497j 0.0310297-0.00518337j -0.0337411-0.0203412j 0.00293893-0.00275802j 0.0273172-0.0121622j -0.0111074+0.00747701j 0.00596909+0.00643759j 0.00187955+0.00952889j 0.00241-0.0152878j 0.00540519-0.0283805j -0.0122775+0.0106678j 0.00478793-0.00651253j -0.0219499+0.0211032j -0.000226225+0.00590563j -0.000355905-0.00228384j -0.0228823+0.0151747j -0.0150672+0.00627659j 0.0185739+0.026935j -0.0171463+0.00827176j -0.0406695-0.00580532j 0.00129949-5.90572e-05j -0.00171454+0.00110318j 0.033622-0.0107222j -0.0341298-0.0219033j -0.0346912-0.00786101j 
-0.01484+0.00383492j 0.0215109+0.00110351j 0.0461724+0.00266869j -0.0301485+0.00154265j 0.0164362+0.00430401j -0.0220776+0.00142647j -0.0167171+0.00273318j -0.00274334+0.00101423j -0.0868772+2.04019e-05j 0.0728439-0.00280639j 0.0884812+0.00255055j 0.200571-0.000871737j 0.0331495+0.0111021j -0.489067+0.00124147j 0.067891-0.00439294j -0.0767587-0.0151059j -0.0182719+0.0217658j -0.0362296+0.00158647j 0.00745649-0.00514999j -0.00419758+0.014791j 0.0577792+0.00558094j 0.00991437-0.00366775j -0.0440949+0.00136655j -0.0130919-0.00190744j 0.0546153+0.000948062j -0.0351352+0.0104643j 0.0442067+0.00707934j -0.0190512+0.00284387j -0.0253336-0.00052328j -0.0277944-0.000418942j 0.0327522-0.00715811j 0.0100767+0.00325638j 0.0420306-0.00893546j -0.0542129-0.00758479j -0.0347561+0.0116032j 0.132343-0.00934629j -0.0173477-0.000585839j -0.0488811+0.0164247j -0.0406625+0.00462024j -0.0121801+0.00474412j 0.0372146+0.00621778j 0.0256838+0.0172076j 0.044558+0.00029089j -0.137932-0.000526586j -0.131783+0.000655358j -0.0838789+0.0116206j 0.202367+0.0150709j 0.00315626+0.0110592j -0.0121485+0.00435723j -0.00135837-0.00720328j 0.0249432-0.00695708j 0.0148567-0.00482345j -0.0393408+0.00772652j -0.0176335+0.0149631j -0.054189+0.00360107j -0.0405361+0.00462759j 0.0705008+0.00964501j -0.0118947-0.00416166j 0.0266321+0.0113959j 0.113236-0.0048137j 0.0867323+0.0110561j 0.09294-0.0349076j 0.19583+0.00771575j 0.0391298+0.0365248j -0.0134766+0.00484988j 0.0234682+0.00473224j -0.0889794+0.00526218j -0.00378479+0.079392j -0.0971206-0.0268061j 
0.0425607-0.00252025j -0.0206177-0.0146774j 0.0423877-0.000344085j 0.0859895+0.00207116j 0.0427551-0.00639595j 0.0428242+0.00573164j 0.0775455+0.00166329j -0.0041195-0.00128408j 0.0994578+0.00155416j -0.0776196+0.000657332j -0.0304311-0.00171901j 0.0139999-0.00266142j 0.27111-0.00286135j -0.175643-0.00132542j 0.0378428+0.00593688j 0.226279+0.0022968j -0.0557595-0.00273011j 0.07356-0.0175484j -0.0132559+0.0216134j -0.0150967-0.007507j 0.0042203-0.00808649j -0.0174821+0.0103975j 0.0191813-0.00530842j -0.0234563+0.0196642j 0.0654598-0.00238054j -0.0231725+0.00252063j 0.0346279+0.00634706j 0.0860265-0.0118305j 0.0118074+0.00461676j 0.00893808-0.00447047j -0.0532876-0.0090929j 0.0240269+0.00284254j -0.0078221+0.00397405j -0.0207247-0.00185471j -0.108899+0.00800099j 0.0330675+0.0022489j -0.0108202-0.00744299j 0.0477028+0.021925j -0.0309478-0.00202961j 0.0645115-0.00404151j -0.0724213+0.00686555j -0.00315875+0.016784j 0.180884-0.0167032j -0.0433741-0.00934883j 0.248154+0.0066058j 0.0674526-0.00159541j 0.0527609+0.00226439j 0.0223342-0.00642874j 0.0965652+0.00594947j -0.0649376+0.00327909j 0.0274502+0.00730357j -0.0029941+0.00682483j 0.00337898-0.00922822j 0.0237234-0.0154611j -0.0291417+0.00406648j 0.00388437-0.0117758j 0.0220203+0.00346235j 0.00501207+0.0126758j 0.045525-0.0170504j 0.000363285+0.0234529j -0.00026597+0.00731059j 0.0279479-0.015769j -0.0208923+0.0108363j -0.256127-0.0112404j -0.0342424-0.00484417j 0.00968072+0.0104055j 0.0663026+0.022787j -0.0835511-0.0626301j 0.003518-0.0705265j 
0.0106526-0.0106923j 0.0120839-0.00251492j -0.0642805-0.00329904j -0.0481957-0.000326458j 0.116122-0.0037505j 0.00265988+0.00425067j -0.176887-0.000408192j -0.0941336+0.000232959j 0.20914-0.000602839j 0.0444103+0.000699086j 0.373585-0.000269746j -0.241037-0.00173593j 0.146051+0.000568443j 0.191276-0.0016442j 0.0465143+0.00150737j 0.113138+0.000971095j 0.133168+0.00375869j -0.0962448+0.000125642j -0.0285996+0.00840994j -0.0548887+0.00161778j -0.048404+0.0015003j 0.0359258-0.00483505j -0.0395118-0.00387377j -0.010679+0.00647576j -0.00275044-0.00626822j -0.0201029+0.0115198j -0.0371525-0.00420829j -0.00726275+0.00047039j -0.0101425+0.00174109j 0.0262025-0.00248889j 0.0193605+0.00326702j 0.0750837-0.0053761j 0.0299466+0.0137039j 0.0858985+0.0023446j -0.0328877+0.00508831j 0.0258277+0.00195017j 0.189235-0.0138812j -0.0526656+0.00786997j -0.0646223-0.0110417j -0.0909045-0.00344373j 0.235857+0.00457723j 0.00723169-0.0030489j 0.11022+0.0205985j -0.0353299+0.000538466j -0.0434798-0.00556702j 0.0799585+0.024887j 0.0788407+0.00368941j 0.00261134-0.000270969j -0.00242619+0.00560891j 0.0265482-0.00980995j 0.0361004+0.0108562j 0.0353562+0.0039907j -0.0199782-0.00998989j -0.0355357-0.00565284j -0.000381721+0.00515236j 0.0332701-0.0089565j -0.00196213+0.0142061j -0.0121162+0.0286818j 0.0377791-0.0155953j -0.12548-0.0150852j -0.0401437-0.0570768j 0.105021-0.0241106j 0.0725461+0.0434041j 0.0309692+0.0378222j -0.00755235-0.00187317j 0.00208578-0.00131196j -0.0384274-0.0260036j -0.0322657+0.00328377j -0.0121539-0.00479449j 
-0.0713279-0.00271985j -0.000897937-0.000565987j 0.0581777+0.00829137j -0.0935431+0.00282906j -0.178294-0.00569502j -0.0968548-0.00336204j 0.11908-0.000691623j 0.0646583-0.000443135j -0.0717919-0.00258361j 0.104751+0.00280082j 0.284621-0.00453171j 0.0533391+0.00211852j 0.221159+0.0023915j 0.0848271-0.00346254j 0.010721-0.0013873j -0.0893439-0.000280199j 0.00283683+0.0022663j 0.0312194-0.00838371j 0.0729641-0.00661879j 0.0123162+0.00518314j -0.0886343+0.00704045j -0.0522696-0.00741699j 0.0220018-0.00456924j 0.0909946+0.00493169j 0.00330759-0.00216723j 0.0462844+0.0108156j 0.057902-0.0157995j -0.0321263+0.00469915j -0.0506437+0.0120385j 0.00970915-0.00192325j 0.0263558-0.00753444j 0.0261791-0.00798566j 0.0590859-0.00459844j 0.0034802+0.00255921j -0.00765763+0.00996211j 0.0770585-0.00231979j -0.0347084+0.00492035j 0.0925311+0.0172832j -0.113812-0.0115701j 0.127994+0.00501609j -0.0817225-0.00793758j -0.0873595+0.00588605j 0.0777787-0.0292983j 0.18853-0.0165285j -0.122189+0.00795713j 0.00952752-0.0259098j 0.0314936+0.0315093j -0.00261975+0.0163849j 0.0111644+0.00127584j -0.0203492-0.017238j 0.0198116-0.00514865j 0.0175562-0.00501762j -0.0227679+0.00423828j -0.0335277+0.0198732j 0.0279943-0.00632268j 0.01519-0.00756721j 0.0584202-0.0310473j 0.0176053-0.0130302j -0.0112877-0.0174594j 0.0119167+0.0393471j -0.0453609-0.00449749j -0.125415-0.0711727j 0.00721139+0.0152697j -0.00499183+0.0609205j 0.00215162+0.00331615j 0.0167494-0.00898317j 0.0329032-0.0483664j -0.0534147-0.0652874j -0.0342407+0.0299817j 
