0.133467+0.0148036j 0.15279-0.00631578j 0.0346817-0.065557j -0.0005944-0.00551809j 0.0070201+0.0735275j -0.00992392-0.0247123j -0.0154131+0.013j 0.021809+0.0274242j 0.0257441-0.0109384j -0.0117804-0.0261435j -0.00564491-0.0249007j 0.025277-0.0187464j -0.020613+0.0183307j 0.0229451+0.0188676j -0.0162016+0.0105736j 0.00764911+0.00501276j 0.00876749-0.00720434j -0.0196643-0.000783997j 0.00457486+0.00615129j 0.00106633-0.0263023j 0.0100503+0.00644859j 0.00924584+0.00607763j -0.0100308-0.0102875j -0.0191648+0.0159322j -0.0140135-0.0117147j -0.0023136+0.0022939j 0.0165926-0.0131204j 0.00808328+0.020069j -0.0208597-0.0106184j -0.0133938+0.00235601j -0.0126895+0.0024894j -0.0106897+0.0239378j 0.0107934-0.00356964j 0.0135114+0.00971446j -0.00322179+0.00600104j -0.000937446+0.00159245j 
-0.0444516+0.000795542j -0.968206-0.000791344j -0.0290761-0.00454341j 0.0168583+0.00219107j 0.0651442-0.00427767j 0.00859189-0.0180628j 0.0269776+0.00306648j 0.0147056-0.0216563j 0.0393007+0.0117385j -0.0257979-0.0453219j -0.0163215+0.00941547j -0.048445+0.0300494j -0.00468321+0.00875418j -0.041881-0.000576626j -0.0197663+0.0654916j 0.00755194+0.0173521j -0.000679482+0.00301666j -0.00319209+0.00255901j -0.00414275-0.00367668j 0.00640202+0.00103385j 0.0441319+0.00929499j -0.00434534-0.00299775j -0.00282043-0.000255649j -0.0106659-0.00340271j -0.00682212-0.000979744j 0.00654998-0.00261395j -0.0347823-0.00851917j -0.0217075-0.00878502j 0.0176649-0.00296211j 0.00597739+0.00335354j -0.00742044+0.000773136j -0.00667926+0.00772171j -0.0252448+0.0153149j 0.0333839-0.00191288j 0.00954126+0.000622277j 0.023471-0.00240963j 
0.983545-0.00333189j -0.0825656-0.000563069j 0.074753+0.00405705j 0.0247528-0.00142143j -0.020366+0.00455125j -0.0168106+0.040516j -0.0562451-0.000725672j -0.0164761-0.0182474j 0.0444888+0.015435j -0.0306882-0.0445264j 0.00990862+0.0147735j -0.0443101+0.0437712j -0.0193223+0.0253195j 0.00483521-0.00576536j 0.00560852-0.0170655j -0.014226-0.0292896j -0.00408934-0.0111526j 0.0314127+0.0114354j 0.0131985+0.011943j 0.00764928+0.000585354j 0.00188709+0.00655249j 0.00168879+0.00438642j -0.00904793-0.00135626j -0.035701-0.00277662j -0.032756+0.00770182j -0.00303298+0.00304704j -0.00382184-0.00204127j -0.0045341-0.00173077j 0.0166261-0.00367442j -0.00896478-0.00355531j 0.0451972-0.00951981j -7.61461e-05+0.000700411j 0.00565759-0.00559468j 0.00142886-0.000518059j -0.00142253-0.00184859j -0.0108606+0.00157016j 
0.0557983-0.0272418j 0.179068-0.0613038j 0.0557258+0.0336135j -0.0738172-0.0617179j 0.56018+0.256357j 0.0407383+0.0317375j 0.0121349+0.0198505j 0.0547654+0.0223208j 0.0124996+0.0310447j 0.0194428+0.0109318j -0.0280099+0.0214338j -0.000673027-0.0250234j -0.0197326-0.0265611j 0.00676008+0.143889j -0.0198695+0.0731976j -0.0179773-0.0126239j 0.00178636-0.0175194j -0.000774924-0.00691183j -0.0065058+0.00132274j -0.0096805+0.0160618j -0.0176838-0.00498919j 0.00695476-0.00112954j -0.00355752-0.00895532j -0.0136565+0.0206146j -0.0129748+0.00174822j 0.00246592-0.00530411j -0.000902812+0.00748488j -0.0161182-0.0233348j -0.00947228-0.00396739j -0.0187128+0.00991981j -0.0218057+0.00849669j 0.00705935+0.00630487j 0.0193376+0.0580938j -0.00934883+0.0171954j 0.0459195-0.0461165j 0.0284056+0.0300504j 
0.0305277+0.0176281j 0.10516+0.091861j -0.0085944-0.0106193j 0.0512682+0.0373941j 0.245765-0.631681j 0.00398676-0.0302662j 0.00476312-0.0152798j 0.00897887-0.0507827j 0.016513-0.0178864j 0.009542-0.0246079j 0.00978288+0.020176j -0.0208457+0.000661226j -0.0249326+0.0329363j 0.132835+0.00956443j 0.0758375+0.00642605j 0.000759159+0.00241894j -0.000648983+0.00795669j 0.00458935-0.00968957j 0.00743408+0.00372406j -0.00496456-0.0129637j 0.00143228-0.00974402j 0.00202895-0.0192217j 0.0230632+0.00514337j -0.00749463-0.0164716j -0.00931-0.0142614j 0.0189684-0.00720521j -0.00723152+0.00435124j 0.0287019-0.0234049j 0.0131148+0.01193j 0.00435178-0.00326093j -0.0177428-0.0138765j -0.0135834+0.0339109j -0.00809056+0.0156107j -0.0100503-0.00820566j 0.00655122+0.0322264j -0.0161918+0.00783651j 
0.0578797-0.0552663j 0.0131845-0.0314297j 0.115747+0.0933464j -0.478531-0.440024j -0.107028-0.125963j 0.0587422+0.0592539j 0.00722367+0.033123j 0.064365+0.035902j 0.0212509+0.0673022j -0.0263527+0.0223524j -0.00915551+0.0599744j 0.00203694+0.0250653j 0.0178573-0.0524595j 0.0169136+0.0127263j -0.0016329+0.000808691j -0.0203747-0.0148527j -0.000192881-0.0294179j -0.00248509-0.00679623j -0.0141056+0.000849114j -0.00292241+0.0222891j -0.0116872-0.00514028j 0.0144374-0.00732451j -0.0176066+0.00231204j -0.00688529+0.00778477j 0.00780676-0.0285548j 0.0013394+0.00780155j -0.0264807-0.00443618j 0.0177562+0.0120905j 0.00665157+0.0282902j -0.00372823+0.0174269j 0.004042-0.0201124j -0.0260116+0.00860796j 0.0102838+0.00763974j -0.00521784-0.0122374j 0.00438357-0.00471928j 0.00340991+0.00488829j 
0.0646701+0.0181727j 0.0296617+0.0509687j 0.0645488+0.0617021j -0.42169+0.539583j -0.0394806+0.0108416j 0.0462159-0.00557737j 0.0138205+0.0118365j 0.0456624-0.0770746j 0.0695592-0.0157412j 0.0269944+0.0220758j 0.0549834+0.0283505j 0.0214564-0.0105659j -0.0539999-0.0138244j 0.0350903-0.0036664j 0.0119249+0.0132745j -0.012094-0.00801239j -0.00129021-0.00408244j 0.00844645-0.0169972j 0.00399096+0.00394563j -0.0157253-0.0100696j 0.00142064-0.0124707j 0.00934074-0.00900605j 0.0282474-0.0166734j -0.00158683-0.00196234j 0.0199217+0.0136828j 0.00879842-0.000459976j -0.00490008-0.0249094j -0.0147096+0.00632345j -0.0127671+0.0179654j 0.00270343-0.00705877j 0.0105802+0.00462373j -0.0132305-0.0138442j 0.00357225+0.0135564j 0.0105736-0.00828879j 0.00748653+0.00760506j -0.00351265+0.00377523j 
-0.00549636-0.123063j -0.0190985-0.021777j 0.324971+0.532465j 0.192141+0.0652708j -0.0312457-0.0311199j 0.0978788+0.199363j -0.0181498+0.0915964j -0.0124349-0.00934023j -0.0411712+0.0214206j 0.00105267-0.00304063j -0.00509269+0.0138431j -0.00114251-0.0241825j 0.0277308+0.00637145j -0.00710703+0.00471649j -0.0037041-0.00166687j -0.0407328-0.0355186j -0.00925304-0.074114j 0.0207454-0.0058722j -0.04536+0.0232175j 0.000175787-0.012564j 0.0207589-0.0126289j 0.00244632-0.00794447j 0.0202614+0.0377688j -0.0113489-0.00927826j 0.00334657-0.00176939j 0.00921424+0.00731684j 0.0130422-0.00833106j 0.0255136-0.00863453j 0.00676294+0.00369415j 0.00143189+0.00294122j -0.00244587-0.0118931j -0.00458707+0.00899111j 0.0032081-0.00108214j -0.00528464-0.0020607j -0.00258162-0.00628091j 0.00405251+0.000951509j 
-0.0562111-0.0855368j 0.00138505-0.0237606j -0.537758+0.345505j -0.0886537+0.00384883j 0.039624-0.00732843j -0.209358+0.127326j -0.120475-0.028192j 0.0149166+0.016285j -0.0309973-0.0172648j -0.00304212-0.000934343j -0.0340407+0.000205159j 0.0224377+0.00522792j 0.00548056+0.0206894j -0.0225111+0.00696603j -0.00630627-0.0143811j 0.0421769+0.00143774j 0.00322404+0.000465837j -0.0185577+0.00095826j -0.0189883+0.0181172j -0.0291381+0.0101193j -0.0129844-0.020174j -0.00710203+0.00415788j 0.00536835-0.0225845j -0.0311474+0.0129616j 0.00405524-0.00841551j -0.00263464-0.0156497j -0.0169866-0.00969348j -0.0100074-0.0224561j 0.0036279-0.0146468j -0.0159888-5.86399e-05j -0.0117728-0.00354963j 0.0151511+0.00894834j -0.00680883-0.00889438j -0.00682012+0.00583088j -0.00454437-0.00557278j 0.00041419-0.00113041j 
-0.0192973+0.00526328j -0.041095+0.00420929j -0.0354131-0.00552309j 0.0564856+0.00988047j -0.25152-0.0543233j -0.00688419-0.026916j -0.0251876-0.00635113j 0.00403517-0.0535234j -0.0321455-0.0151454j -0.00931778-0.0187603j -0.0358529+0.0400685j 0.0190308-0.000875654j 0.0193676+0.0674021j -0.174455+0.207469j -0.235391-0.164717j -0.00409123+0.00569319j 0.0107158+0.0175236j 0.0128594+0.0271278j 0.00382226-0.00198585j -0.0212722-0.0306885j 0.00892823+0.00552607j 0.00765692+0.00496164j -0.00437142-0.00925527j -0.00240711-0.0201491j 0.00180913-0.00187768j 0.0246015+0.0113816j 0.002967+0.000823329j 0.016058+0.00247022j 0.0168596+0.0183355j -0.0198105-0.032807j -0.00651918-0.0174454j -0.0230112+0.0349958j 0.0509464+0.00633498j -0.0277212-0.0402032j 0.0439481-0.172855j 0.0866901+0.0563792j 
-0.00130875-0.0173662j -0.00699125-0.0513792j 0.00337105-0.00213431j -0.0136408-0.00240447j -0.110827+0.0141708j -0.0242507+0.00768522j 0.00510836-0.0020208j -0.0653338+0.0295506j 0.00958572+0.00769487j -0.00614501-0.00717365j 0.0846131-0.0660204j -0.00541097+0.0146663j -0.0193892-0.00516354j 0.354794+0.256194j -0.266523+0.356633j 0.00374345+0.0048655j -0.00103421-0.0132285j 0.0422486-0.0205227j -0.00632796+0.00407388j 0.00103498+0.025423j -0.000164548-0.00101557j 0.0335905-0.0107746j -0.0128833+0.0222223j 0.00236322+0.0134156j 0.0142028-0.00903477j 0.00046503-0.00035812j -0.00924262-0.00466808j 0.0176939+0.00370669j -0.0269806+0.00395314j -0.0275801+0.0425748j -0.0197708-0.00977927j 0.0115872-0.0275232j -0.0286397+0.0787989j -0.015619+0.0516856j -0.073376+0.0141463j 0.0386038-0.023775j 
0.00332152-0.00555214j 0.0357711-0.0129589j -0.0695173-0.00197147j 0.0993593+0.00812374j -0.0395676+0.0288289j -0.00334098-0.0441417j -0.0483409-0.0066372j 0.0341814-0.0954346j -0.0578922-0.0320865j -0.0355908-0.0090396j -0.154769+0.218156j 0.0309953-0.0530579j 0.261093+0.152454j 0.148791-0.0192439j -0.0277786+0.198544j -0.000798577+0.0377464j 0.0176672+0.0230319j 0.0238109+0.0278629j 0.00986448-0.00455567j -0.0336416-0.0375573j 0.0116703+0.00619822j 0.0186123-0.00914485j -0.00053401-0.0215526j -0.000761018-0.028455j -0.00132531+0.00689287j 0.0401427-0.00493226j 0.0187711-0.00375549j -0.0276259-0.00571781j 0.0112107+0.0338407j -0.023164-0.0308946j -0.00547254+0.0639615j -0.0519016+0.0959131j 0.00924823+0.0104462j -0.0512213-0.0687599j -0.0276703-0.0133276j 0.0142887-0.00114608j 
0.0400341-0.0025236j -0.0534748-0.0068129j 0.0155602-0.00720865j 0.0482916+0.00579527j 0.0524956-0.0252771j -0.00727271-0.000367234j 0.00208919+0.00544974j -0.00943087-0.000151054j 0.0944065-0.0968098j -0.201875+0.232239j 0.00812493-0.0149854j -0.248692-0.20839j 0.00190981-0.0423226j -0.0531891+0.112947j -0.0954983-0.0597231j 0.00600526-0.00712067j -0.000816291-0.00462515j 0.0115357-0.00437638j -0.000101686+0.00367082j -0.0071572-0.00377403j -0.00674096-0.00798383j 0.00558553+0.000596331j -0.038019-0.0213052j 0.0276442+0.0253698j -0.0153572+0.00865534j -0.00328628+0.00102733j 0.0198532+0.0521408j -0.0480132+0.0596722j -0.0113045+0.00304753j -0.00812786+0.00900548j 0.00987483+0.0726479j -0.00290308-0.0218566j -0.0363712-0.0122684j -0.0124931-0.00958546j -0.0186895+0.0130572j -0.0102179+0.00190719j 
0.0213337-0.000113627j 0.0189214+0.00305106j 0.000735593+0.0118043j 0.0117253-0.0219751j -0.140992+0.0896758j -0.00604798+0.0077269j -0.0165809+0.00551878j 0.00769794+0.00134461j -0.0113431-0.0243271j -0.0868111+0.0715786j -0.079387-0.0389017j -0.0426688-0.063566j 0.045878+0.0333589j 0.14336-0.315757j 0.289213+0.175638j 0.0059753+0.00757243j -0.00426365-0.00462915j -0.0191342-0.0214663j -5.61698e-05+0.00108412j 0.00852025+0.00225339j 0.000678576-0.00316312j -0.0166785-0.0249522j -0.010017+0.000249397j 0.0122442-0.0110319j -0.00317315-0.0241589j -0.00837255-0.0142283j -0.00475524+0.0208031j 0.00442973+0.0186319j 0.0129952+0.0177859j 0.021289+0.0188385j 0.0129878+0.0342538j 0.0147783+0.0123296j 0.125609+0.0437217j 0.02959+0.0244578j 0.0501435-0.0396081j 0.0400428-0.00837776j 
-0.0011247-0.0235041j -0.00619471+0.0139262j -0.0195326-0.00819144j 0.0210523+0.0143643j -0.00630595-0.00580847j -0.0418652-0.00698632j 0.00635291+0.00279169j -0.112115+0.00399764j 0.0257834+0.0280626j 0.0278565-0.0166264j 0.342953+0.303579j -0.0409748-0.0514224j 0.292854-0.368554j -0.0661822-0.0272427j 0.0663057+0.0104366j 0.0481064+0.00467012j -0.00132205-0.00719886j 0.0670234-0.00987653j -0.00463028+0.00485174j -0.00474559+0.017133j -0.000596806-0.000605891j 0.0406887-0.0161486j -0.00132448+0.0227209j -0.0337296+0.0201042j -0.0288441+0.000440408j 0.000455432+0.0116571j -0.0107531-0.00407373j -0.00389041-0.0133126j -0.017897+0.0331163j -0.0394743+0.0344486j 0.0439139-0.0159341j 0.0519545-0.0125875j 0.0144255+0.0164952j -0.0540092+0.0143137j -0.0186977-0.00244538j 0.0137798-0.00182656j 
-0.0183966+0.00615983j -0.019936+0.00496812j 0.0561946-0.017577j -0.0306845+0.0298727j -0.0129947-0.0124951j -0.0346768+0.0381168j 0.0616798+0.0111005j -0.215063+0.21267j 0.217523+0.190262j 0.111545+0.0959465j -0.171294+0.0798862j 0.0129115+0.00696284j 0.0143298+0.162257j -0.00789328-0.00721099j -0.00158747-0.0319388j 0.021319-0.0217041j -0.0196432-0.021748j 0.0128343-0.0380632j -0.0180003+0.00408249j 0.0434372+0.0655737j -0.0194148-0.00887518j -0.0128316-0.00390847j -0.00785376+0.0739699j -0.0341403+0.0709121j 0.0243533-0.0169584j -0.0328898+0.0332142j 0.0181736-0.0482147j -0.00523927-0.0154597j 0.00461022-0.00695299j -0.00473688+0.0541293j 0.0049409+0.0143596j 0.00753458-0.0317082j 0.00324494+0.00819271j 0.00695218+0.00305625j 0.000185156+0.00781415j 0.000314001-0.000386708j 
-0.0123049-0.0586781j -0.00111678+0.0661536j 0.0050316-0.00929629j -0.00210549-0.00341436j 0.0142801-0.00906559j -0.00525367+0.00329372j 0.0089539-0.00604385j -0.0130803+0.0119509j 0.145453+0.140588j -0.320082-0.314243j 0.0431492-0.0600557j 0.331441-0.356814j -0.00143523+0.0213603j -0.0177166-0.00294871j -0.00102024-0.0128871j 0.00907705-0.000332848j 0.00359336-0.0049528j 0.00780607+0.0011171j -0.00522686+0.00394592j 0.0248083+0.00831226j 0.0668653+0.00905536j 0.0133884+0.00333227j 0.000184102+0.00844557j 0.00377603-0.00183021j 0.0340322-0.00670311j 0.0026901+0.00219202j -0.0443954+0.00500791j -0.0428507+0.0115998j -0.00647306-0.00164975j -0.0111938+0.00221834j -0.0567484-0.000523447j 0.0111949-0.00267828j -0.0035005-0.00118203j 0.00356322-0.000206145j -0.00499281+0.00272018j -0.00287161+0.000412368j 
0.0150537-0.0110299j -0.0104823+0.00322712j -0.0350305+0.0236468j 0.0587321-0.0326156j -0.055409+0.0100973j -0.0258144-0.00753361j -0.0325503+0.00682412j -0.123662-0.0976079j -0.163085+0.0985211j -0.0861122+0.0345458j 0.151578-0.292349j -0.029887+0.0329996j -0.262394-0.207703j 0.036139-0.00901433j 0.0600116+0.0358581j 0.0188406-0.00117494j -0.00343049+0.000518866j 0.0355697-0.012888j 0.00246752+0.00181068j -0.00915116-0.00598123j -0.000356827-0.0117321j -0.00225999-0.0620752j -0.0106944-0.000114037j -0.0296736+0.0141977j 0.0246585+0.0430718j 0.0135344-0.00502383j 0.0355964+0.00161216j -0.0200835+0.000838782j 0.0559705+0.059859j -0.00113333+0.0275368j -0.0116954-0.00431893j -0.0334635+0.0266656j 0.0439713+0.00515528j -0.0258153+0.0110741j 0.00653864-0.00962462j 0.0169881-0.000170432j 
0.00249227-0.0165601j -0.000395659+0.0249673j -0.0126702-0.0165491j -0.092111+0.0235957j 0.0658153-0.0114326j 0.0350974-0.0372171j 0.0143697-0.0244669j -0.304977-0.283855j -0.215686+0.320994j -0.117937+0.175084j -0.142622+0.0260053j -0.0134577-0.0399074j 0.0437705+0.0549788j -0.047369-0.00404952j 0.00364429-0.0112659j 0.00298914+0.0214401j -0.0130544+0.00720798j 0.116482+0.077717j 0.0339731-0.0104574j -0.0476116-0.0171994j -0.0214302-0.0126409j 0.0295827+0.0165613j -0.0468703-0.0099524j -0.0550227-0.0141108j 0.0153481-0.0247503j -0.030164+0.002145j 0.0187918+0.00556076j 0.0341372-0.00167165j -0.0239519-0.010292j -0.0489717-0.0236257j 0.00377724+0.00106696j 0.0530359+0.000744125j -0.0335184+0.000915465j -0.000323752-0.00907332j -0.0224766+0.0019004j -0.00998666+0.000358018j 
0.0487501-0.00595621j -0.0445837-0.00408438j -0.0241726+0.0163498j -0.0369956+0.00102306j -0.0342735-0.00823208j 0.0016208+0.00067188j -0.0225623-0.0107932j 0.0374637+0.0639102j 0.1411-0.127218j -0.194014+0.19873j -0.0344439-0.0411727j -0.238741-0.248599j 0.00339496+0.0039063j -0.000608817+0.000620504j 0.00522449-0.00149448j -0.00584668-0.00460912j 0.00205764+0.000650563j -0.0141638-0.0181315j -0.00195153-0.00245762j 0.0139248-0.0254631j 0.0188149-0.0881156j -0.00179238-0.0177591j 0.0538243+0.0195041j -0.0333056-0.0230212j 0.0022844-0.0483655j 0.0111159-0.00572708j -0.0158242+0.00705364j 0.0553452-0.00374795j 0.0108845+0.000474966j 0.00628322+0.00797294j -0.0149526-0.000551877j -0.00173711+0.000601113j 0.00701852-0.0013927j 0.00127347+0.00387246j 0.0050174+0.000212561j 0.00334648+0.000663732j 
-0.0465508+0.0315961j -0.0105297+0.011886j 0.108012-0.0712609j 0.00302872+0.00730148j -0.00332385-0.00698432j -0.273521+0.119263j 0.19587+0.282278j 0.036264-0.0919398j -0.0727321-0.00525668j -0.0309931+0.00599559j -0.0363721+0.00648145j -0.00817236-6.21971e-05j 0.00457164+0.0286243j -0.00281266-0.00474748j -0.00420407-0.00694548j 0.172975-0.0543472j -0.0202849-0.136558j 0.00941854-0.0235842j -0.103813+0.142118j -0.025018+0.0134719j -0.00363893+0.000923796j -0.00793821-0.00114578j -0.0374377+0.028568j -0.0163905+0.0239473j 0.00144102-0.0104642j -0.0179871+0.0190854j -0.0027569+0.0247305j 0.000226552+0.0137257j 0.00674123+0.00255328j -0.0153811+0.0131615j 0.00321029+0.00497022j 0.0205545-0.0128382j -0.00146559+0.00382838j -0.0038257-0.000357895j -0.0094474+0.00401948j 0.00192886-0.00123851j 
0.0123293+0.000762381j -0.0183852+0.0069676j -0.0349865+0.0435438j 0.0855985+0.0156178j -0.0289771-0.0143496j -0.0602957-0.0972703j -0.14132+0.0385707j -0.186819+0.240288j 0.208172+0.207079j 0.0968888+0.0732801j -0.0045731-0.0156146j 0.00937889+0.0122646j -0.077275-0.0337654j 0.0038773+0.00838927j 0.0386927+0.00440076j 0.0418493+0.0553793j 0.0132028+0.0472145j 0.0751346-0.138349j -0.0157688-0.0213024j -0.0739234-0.0116982j 0.0196884+0.0479497j -0.00773467-0.0471084j -0.0133011+0.0045669j 0.0306807+0.00603634j -0.0195127-0.00518587j 0.0436167+0.000951736j 0.00389354-0.000497603j -0.00410718-0.00600329j 0.0384942+0.0232933j -0.00533146+0.00466243j -0.00672694-0.00112421j -0.0109775+0.0130277j 0.027098+0.00142633j -0.0201748-0.00362917j -0.00169678-0.00377158j 0.0112678+0.00313016j 
