0.309338+0.198114j -0.176987+0.293324j -0.0285982-0.00505144j 0.0282854-0.0448205j 0.132053-0.0240128j -0.00406949+0.00106604j 0.0077456-0.00855701j -0.0179366-0.0124794j -0.00420929+0.0315905j -0.00723887-0.0339901j 0.0118345-0.0213161j -0.0084461-0.0324937j -0.0279397+0.0189569j -0.0097931-0.00182012j 0.0200482+0.00389249j 0.00522968+0.00326711j 0.00818151-0.00191331j -0.000582821-0.0102887j -0.0156191+0.00151465j -0.00403683+0.00468484j 0.00735701+0.0155808j 0.00982896-0.00730397j -0.00986946-0.000533828j 0.00259368-0.0195041j 0.0237696+0.0203111j -0.00654013+0.00821687j 0.0274011-0.00106974j 0.00182355+0.01757j -0.0158828-0.0115867j -0.00483456+0.00862129j -0.00559682+0.00829636j -0.0235103+0.0109314j -0.00941882+0.0257357j -0.00361864+0.00643994j -0.00275532-0.012557j 0.00738786-0.00200824j 
-0.316758+0.385948j -0.394006-0.309111j -0.0160032+0.0319737j -0.0381259-0.0159359j 0.0236354+0.106831j 0.000594429+0.00634657j -0.0153199-0.0156123j 0.0128362+0.0143822j 0.0365934-0.0320986j 0.0489735+0.0020006j 0.000190649-0.0243936j 0.0448517-0.00881102j 0.00780446+0.0156007j -0.0334163+0.0163689j -0.0272071+0.0194957j -0.00856855-0.00276842j -0.0111843-0.00669072j -0.00530553+0.00834286j 0.0203961+0.00271577j -0.000686331+0.0107395j 0.00828407-0.0163585j 0.00172051-0.00769665j -0.00290768+0.0200431j 0.00267318+0.00253971j 0.016732+0.00962833j -0.0045576+0.0133395j 0.0177802-0.00593087j 0.00109604+0.00793264j -0.00529285+0.0219811j 0.00282959+0.00151562j -0.00194672+0.00650052j 0.0148957+0.0115018j 0.0154218+0.00560967j 0.0109203-0.00274418j -0.00957018+0.00157225j 0.000297998+0.00240395j 
-0.241935-0.23812j 0.255926-0.248984j -0.0650726-0.00669902j 0.0299146-0.0899303j -0.0368357-0.00881983j -0.000313559+0.00917229j -0.0251628+0.00335933j 0.000283457+0.0109432j -0.0113889-0.0216924j -0.00967896+0.0353619j -0.0151946+0.0128905j 0.00525168+0.0327633j 0.0323363-0.0282329j 0.0103124-0.00119536j 0.0156493-0.0181725j 0.00177311+0.00500509j 0.00113341+0.0240347j 0.00993904+0.00460835j -0.0091016-0.0230226j 0.00857961+0.0106223j -0.0159227+0.00541744j 0.00135746-0.00693911j 0.0165437+0.00395454j 0.0037401-0.0159742j 0.0293392+0.00412756j 0.00684828+0.00804999j 0.0224907-0.0205596j 0.00125836+0.0144334j 0.0185986-0.00526852j 0.00355671-0.00342442j 0.000154862+0.0115978j 0.00125693-0.01213j -0.0101025-0.00326637j -0.00820592+0.00488705j 0.00852678-0.00280082j -0.00279514+0.000612526j 
0.0263567-0.0021213j -0.0449791+0.0510779j 0.116467+0.229047j 0.207695+0.228951j -0.109031-0.162971j -0.0620323-0.0139626j 0.00615683+0.0136995j 0.0356851+0.0263112j 0.0133258+0.000853193j -0.0209901+0.0148057j 0.0772332+0.00498002j 0.0195963-0.0218584j 0.0581682-0.0122035j -0.040276+0.00557596j 0.11523-0.0384031j 0.0300814-0.0188687j 0.0166805+0.00758674j -0.0265793+0.00508666j 0.00878016-0.00161628j 0.010096+0.0108171j 0.00394749+0.021551j -0.0141869-0.0249492j 0.0114282+0.0134459j -0.0016987-0.0213111j -0.0018997-0.0268385j -0.0231007+0.000695211j 4.89653e-05+0.0178055j -0.0141308+0.00438944j 0.00597628-0.0126131j 0.00864491-0.0173767j -0.00322937-0.033027j 0.00497213+0.0239429j -0.0121015-0.000986028j -0.0278498-0.00572207j -0.029085+0.0270096j -0.0540147+0.000839867j 
0.0168086-0.0105874j -0.00907177+0.0181927j 0.346171+0.0535397j 0.081677-0.333049j -0.29822-0.0962676j 0.00143754+0.0398884j 0.0796764-0.0108758j 0.094142-0.0247436j 0.0354205-0.00193644j 0.0153223+0.0200847j 0.0819978+0.0104913j -0.0260794-0.0253919j 0.0620026+0.0127726j 0.0555929+0.0610822j -0.145047-0.113578j -0.000367688-0.0258739j 0.019683+0.00433416j -0.00621706-0.0056157j 0.0143941-0.00894933j 0.017526+0.00682378j 0.00580942+0.0213804j 0.000571729-0.00122394j 0.0300373+0.0091273j -0.025951+0.0164999j -0.0349943+0.00998802j -0.00750009-0.00500685j 0.0191718-0.0125249j -0.00854603-0.00108375j 0.00152464+0.00865677j 0.0196136-0.0318954j -0.0194577+0.0137988j -0.0119938-0.011031j 0.0232931+0.00707511j 0.00836153+0.00897167j 0.0299197-0.00661983j -0.0387174+0.035833j 
-0.0598293-0.0554164j -0.114446+0.04184j 0.45408+0.113963j -0.104587+0.630242j -0.443152-0.0128208j 0.0545412-0.0341315j 0.0444847+0.0244406j 0.0477215+0.044701j 0.0198104+0.00838043j 0.0117825-0.0203774j 0.00179238+0.0681953j -0.0101741+0.00837377j -0.000965137+0.0514854j 0.0436225-0.0111816j -0.0732994+0.0276996j -0.0137322+0.014234j -0.00982419+0.00855657j 0.00706931+0.00632077j -3.05021e-06+0.0107597j -0.0041393+0.0079758j -0.0121088-0.00157845j 0.000575288+0.00934433j -0.01171-0.00229613j -0.00561961+0.00366606j 0.00315173+0.00575197j -0.00248908-0.00206972j -0.00229196-0.0120075j 0.00559233-0.00999164j -0.000279123+0.00474463j 0.0101212+0.010243j 0.00822546+0.00252942j -0.000575023-0.00156776j -4.05765e-05-0.00110197j 0.00849287-0.00882664j -0.00287192-0.00608376j 0.00029111-0.000288926j 
-0.0682227+0.00849914j 0.0117929-0.0778873j -0.116612+0.273196j 0.382201+0.0802537j 0.15169-0.242082j -0.0518502+0.034493j -0.0175509+0.00581551j -0.00103263+0.00953309j -0.00526969-0.000499356j -0.0150039-0.01136j 0.0137613+0.108266j 0.0173892+0.00328129j 0.0325311+0.0921357j -0.047402+0.0271723j 0.0861103-0.0362112j 0.00876088-0.000860185j -0.0201314-0.0107932j -0.0270315-0.0112115j -0.0208169-0.00221474j -0.0385264-0.00594912j -0.00982882-0.0104644j 0.00479016-0.0341022j 0.00963349-0.0120813j -0.00351194-0.0226143j -0.0166119-0.00617516j 0.00174356-0.0155601j 0.0202159+0.00205688j 0.0258283-0.00741668j 0.0238463-0.00450778j -0.0176587+0.00415201j -0.0138678-0.000430724j -0.0171449+0.00911303j 0.00772543-0.0121304j -0.0280197+0.033851j -0.00931419-0.000181969j 0.0128622-0.0250235j 
0.0155697+0.105938j -0.0669008-0.0159616j 0.035321+0.0381441j 0.152837-0.35428j -0.0244103-0.0810716j 0.0623697+0.0260585j -0.0291112+0.041441j -0.065451+0.0507565j 0.00128769+0.0339789j -0.0307112+0.0104049j 0.0557446-0.0597637j 0.0285044-0.00804415j 0.0450192-0.0406924j -0.0341491+0.0292534j 0.060391-0.0557976j 0.0304937+0.0199909j -0.016438+0.0130367j 0.00967883-0.0142855j -0.00438693+0.00752859j -0.0257808+0.0425443j 0.00153967+0.0130573j 0.0211474-0.00736607j 0.0178587-0.00058627j 0.00422777+0.00792147j 0.00532512+0.0132818j 0.00356412-0.000276216j -0.013389-0.0143305j -0.0156506-0.025685j 0.000743605-0.00858886j 0.000450713-0.0397785j 0.00807306+0.00421519j -0.00208826-0.00222451j 0.00360824-0.00239215j -0.0164456+0.0487919j -0.00742296+0.0074471j 0.0052855-0.0132392j 
0.0039718+0.0137601j -0.00411561-0.00176429j -0.0500538-0.0473993j 0.0631543-0.0146973j 0.136583-0.0315039j -0.00998478+0.107431j 0.00350267+0.179999j -0.0117841+0.147751j 0.0146025+0.118287j 0.0306256-0.0500747j 0.0210921+0.153007j -0.0522302+0.0640591j 0.0516811+0.263549j 0.0359829+0.0640202j -0.280539-0.0960457j -0.0590046+0.099201j -0.00464662-0.0477135j 0.0200478-0.049081j -0.00660753-0.012712j 0.000897518+0.00309465j 0.0147281-0.0520362j 0.000947292-0.00368859j 0.0118367-0.0266608j -0.00784647-0.0228518j -0.0202067+0.0148962j 0.00597783-0.0010257j 0.0321043-0.00830897j -0.0183226-0.00746635j -0.0012361+0.00187312j -0.0218431+0.011769j 0.057108-0.0186993j -0.0112058-0.0114668j 0.0026994-0.00875392j 0.00736969-0.0204268j -0.0205542-0.0438856j -0.1314-0.0296391j 
0.0342799+0.00820039j -0.0558463+0.020381j 0.0123222+0.0114259j -0.0089864+0.00529236j -0.0375624-0.00328969j 0.0349524-0.0280681j -0.0051756-0.0095642j 0.0238222-0.129851j 0.0468989+0.179448j -0.0422164+0.0644032j -0.09792-0.272288j -0.0336022+0.0443338j 0.107335+0.203653j -0.263538-0.0572623j -0.0668805+0.00732085j -0.0013747-0.0215975j -0.00479036-0.0173992j -0.005002+0.00335284j -0.000483401-0.0177177j -0.00734844+0.00443265j -0.00615993+0.00338752j 0.00851417-0.00851598j -0.0178662-0.0120841j 0.0265739-0.00694011j 0.0218513+0.00264491j -0.000584293-0.00199801j -0.0129602+0.000402227j 0.013373-0.00881181j -0.00592579-0.000695655j 0.012249+0.0062806j 0.0188812-0.0100637j 0.00700455-0.0171973j 0.0286532+0.0266844j -0.00773169-0.00974213j 0.0875955+0.00816095j 0.00308318+0.0118772j 
-0.00359073+0.00104549j -0.00600874+0.00516571j 0.0220964-2.75511e-05j -0.0628976-0.00681111j -0.0321927+0.0133433j -0.104389-0.225717j -0.163478-0.192489j -0.0596759-0.0452011j -0.118034-0.119591j 0.00632028+0.0233242j 0.0104308+0.138228j -0.0259423-0.0513563j -0.021384+0.224638j -0.0288003+0.00172963j 0.171291+0.0620601j -0.0359926-0.0475666j 0.043302+0.0375755j 0.0117273-0.00105284j 0.0207744+0.0206241j -0.0189409+0.0139933j 0.0157815+0.000853703j -0.00588908+0.0139081j 0.0217269+0.00304042j 0.00646843-0.00532331j 0.0135669-0.0240505j -0.00517504+0.0267235j -0.0147875+0.0361894j -0.00843802-0.00126579j -0.0142685-0.0192819j -0.0111754-0.0481621j 0.00139986+0.0583113j 0.0506412+0.0287002j -0.0116794-0.0070886j -0.156878-0.0473506j -0.0229106-0.0183691j -0.00264426-0.0660068j 
0.0198325-0.00704613j -0.00291696-0.00532442j 0.00789104-0.00715661j -0.02259-0.00445262j -0.013464+0.0049896j -0.0360946-0.125049j -0.00356391+0.0860782j -0.171387-0.215086j 0.239969+0.202144j 0.0156972+0.0384995j -0.0668997+0.195594j 0.00341247+0.0215844j 0.0436738-0.10573j -0.224461-0.0682689j -0.0247412+0.0134722j -0.0295792-0.0111631j -0.00625598+0.0076401j -0.00787512-0.0127947j -0.0201692-0.00893389j -0.0219388+0.0164608j 0.00658204-0.00343271j -0.0128256+0.0263519j -0.0161092+0.0131988j -0.00091722-0.0275927j 0.00516427-0.0245283j 0.0150138+0.0246279j 0.00731326+0.0149121j 0.0143929-0.015105j -0.0585116-0.0231897j 0.0229148+0.0133746j -0.00990346-0.0122884j 0.0811545+0.0129723j -0.0462983-0.0293799j -0.0168674-0.00651804j -0.00745975-0.0517092j 0.0022347-0.0112741j 
0.0190684+0.0303241j 0.00960803+0.0132254j -0.0206594+0.0731355j 0.00414812-0.0252563j -0.103778+0.0120969j -0.00890829-0.0951773j -0.082814-0.107066j -0.0589225+0.0190371j -0.119109-0.04672j -0.0308848+0.0220152j 0.0333605-0.114113j 0.122068-0.0783613j -0.0185364-0.499269j 0.126285-0.0687397j 0.487556+0.0563682j 0.0800453-0.0754556j 0.00324812+0.0492397j -0.0313998+0.0375985j 0.0136822+0.0230834j 0.0034816-0.0208772j -0.0376169+0.0347133j -0.0120455+0.0115264j -0.00997098+0.0385558j -0.0204874+0.0154992j 0.00673144+0.0137159j -0.0285377+0.00746035j 0.000795788-0.027563j -0.0287947-0.00842838j 0.0099372-0.000894537j 0.0637429-0.036641j 0.0506327-0.0335125j 0.00508206+0.0261739j 0.00250396-0.0128456j -0.0770151-0.0910131j -0.0503732-0.0176135j -0.0941438+0.0624086j 
0.0259519-0.00551939j -0.0145204+0.00849618j -0.00162316+0.0326839j 0.0706275+0.0262671j 0.0177701-0.0427685j 0.142782+0.0550883j 0.244121+0.0655361j -0.212908-0.130027j 0.154583-0.15137j -0.0148945+0.0177066j 0.0243292-0.0403357j 0.0110181+0.0567222j -0.288063-0.119381j -0.234141+0.0902126j -0.15766+0.139729j 0.00186109+0.0126622j -0.0239047+0.0112644j 0.010312-0.00372984j -0.0463677+0.00919783j -0.0130678+0.0055467j 0.0459026-0.0383687j 0.00205204-0.0167837j 0.0199673-0.0370174j 0.0132973-0.0257716j -0.0087303+0.0191349j 0.0185313+0.0167433j 0.00655408-0.0167118j 0.0076232-0.0103135j -0.00877375-0.00162012j -0.0732769-0.0690177j -0.0123278-0.0117794j -0.00616731-0.0020234j -0.0202105+0.0119136j 0.0377608-0.0801512j 0.00183001-0.012306j 0.025862+0.00548109j 
0.0179837+0.05146j 0.0268563+0.0197126j 0.0181084-0.0516104j 0.0055295+0.00212079j 0.092935+0.000346846j -0.0197282+0.108648j 0.127284-0.0135102j 0.0120749+0.088671j -0.104048+0.0391658j 0.123892-0.0968497j 0.0393058+0.520246j 0.0403951-0.0157776j -0.115138-0.207777j 0.493728+0.0565315j -0.109731-0.02917j -0.0113836+0.0432044j -0.00856746-0.00239988j 0.034573-0.0133828j -0.00456531+0.0134183j 0.000437705+0.027566j 0.00599553-0.0115609j 0.0255989-0.00233762j -0.00906385+0.0121996j 0.0170976-0.0171212j 0.00701305-0.0228954j 0.0225537-0.0145201j -0.0122679+0.00914929j 0.00931647-0.0176186j 0.0071811+0.0502975j -0.0188429-0.0279852j -0.00142723+0.00622576j -0.0191477-0.0688927j 0.0678547+0.0106504j 0.0128838+0.0469714j 0.0776979-0.0271886j 0.0503479-0.0283738j 
-0.00854666+0.00973858j -0.0156548+0.0586759j -0.000152326+0.0163565j -0.0443122-0.0363747j 0.0427805+0.0191351j -0.181971-0.0270582j -0.269229-0.137421j 0.385319-0.0663191j 0.190488-0.515842j -0.0182365-0.0241208j -0.0412314+0.0924858j -0.126395-0.0907701j 0.084947+0.161502j -0.0288197-0.0584068j -0.101601-0.0920482j -0.0352035-0.0638957j -0.00501722+0.0534989j -0.00961227+0.0282262j 0.0305039+0.0390673j 0.0140211-0.00254571j -0.0328057+0.00221858j -0.00553323+0.00469604j -0.0237803+0.030419j -0.0203441-0.00341155j 0.00918335+0.00438248j -0.00899436-0.0155706j -0.012319-0.0110723j -0.012533-0.00843622j -0.00180471+0.0229058j 0.0269409+0.0067209j -0.0134507-0.0350426j -0.00558103-0.0169559j 0.00298058-0.00239618j 0.0146575-0.0358757j 0.00698699-0.0128221j 4.12619e-05+0.0276929j 
0.0278977+0.00184472j -0.0192258+0.0134189j -0.010686-0.0379652j -0.0981752-0.0233337j -0.0655527+0.058729j -0.249197-0.138006j 0.0239007+0.174402j -0.155341+0.100329j 0.102032-0.060071j -0.0129307+0.0505739j 0.312292+0.0692581j -0.0102776-0.00589173j 0.0478933-0.00468598j -0.235177+0.129769j 0.121591-0.078285j 0.00500086+0.0266088j 0.0499727-0.0150147j -0.0883226+0.0654162j 0.00771853-0.00511162j -0.00147943+0.00894043j -0.0173601+0.0391114j -0.045224-0.048486j -0.00584194+0.00533205j -0.00432028+0.00177927j 0.00615504-0.0133577j -0.0484756-0.0543917j -0.00107978+0.00914788j 0.000873004-0.00691396j 0.00216924+0.0467127j 0.048996+0.0246621j 0.00527255+0.0152985j 0.0197572-0.0666347j -0.0475664+0.0308771j -0.0272617+0.0707125j -0.0543955+0.014825j -0.0433068-0.00397085j 
0.0190371-0.00574927j 0.0211409-0.0372575j 0.0152288+0.0504355j -0.0723828-0.0431336j 0.0247864+0.0490543j -0.456292-0.134392j 0.309796-0.27398j 0.0219315-0.351416j -0.0546527+0.19821j 0.126506+0.0810549j 0.120545+0.169662j -0.0277092-0.0135775j -0.0307093+0.0688582j 0.019996+0.108175j -0.0636296-0.0445134j 0.0377962-0.113031j 0.0460118+0.0379605j -0.0648717-0.018299j 0.0139698-0.00508337j -0.000105467-0.0446546j -0.0315574+0.0143633j -0.0290037-0.0295514j -0.00841088+0.00117764j -0.00912626+0.0140697j 0.0145644+0.0175135j -0.0271585-0.0237492j -0.00983836-0.0193701j -0.00187039+0.0140011j 0.0150183-0.00909026j 0.0177769+0.0300177j -0.00857096-0.0215881j -0.0131239+0.0350491j -0.00498764+0.00599841j 0.0100445-0.0535206j -0.0125833+0.0210423j -0.012114+0.0351629j 
0.00439632+0.021742j -0.00252391+0.0140359j -0.0198638+0.00595442j -0.0127876+0.0227945j 0.0207445+0.0149229j -0.0461847+0.00393581j -0.139692+0.0582657j 0.13958-0.0754795j 0.191347+0.147004j 0.0197828-0.0266595j -0.141067+0.169645j 0.00900083-0.0396156j 0.226329-0.247297j 0.0770675-0.163503j 0.0146858-0.0927513j -0.0016285-0.00851128j -0.0243715+0.043428j -0.0303165+0.00201816j -0.00947449+0.0134873j -0.00179061-0.031875j 0.00537437+0.0227785j 0.0131698-0.042995j 0.00639514-0.0162043j 0.0123964+0.0148467j 0.00313527-0.00769984j -0.00557347-0.00558798j 0.000518352+0.0176277j 0.00210669+0.0387759j -0.00234531-0.0063818j 0.0298551-0.071987j 0.0165577+0.00573825j 0.00236333+0.0201591j 0.0145466-0.035316j -0.000378564+0.0341531j 0.00877357-0.00388604j -0.012997+0.0151519j 
-0.00193759+0.0187836j -0.0144108-0.00015242j 0.141323-0.0236058j 0.0601843-0.127333j -0.0727904-0.0647862j 0.187901-0.0677073j -0.142488-0.0627087j -0.19435-0.0413664j -0.0610192+0.0522309j 0.0141572-0.0415827j -0.186614+0.249236j 0.00656972+0.0184803j -0.105414+0.142656j 0.0259957-0.0481441j -0.000398016+0.0716505j -0.0911423+0.0982731j 0.0122819-0.0194133j -0.0144466-0.0557734j -0.00236088-0.0102073j 0.00796455-0.0568284j -0.00632283-0.0206415j 0.0393386-0.0742152j 0.00159648+0.00853207j 0.00796675-0.0130148j 0.0081535+0.0421568j 0.0364308-0.0881616j -0.0169316-0.0321223j 0.00115473-0.0208092j -0.0121773+0.0244752j -0.0291785+0.092124j -0.0236857-0.0128115j 0.00742786+0.00282836j 0.0186982-0.0287461j -0.012315-0.041352j 0.0313721-0.0556504j 0.0397228-0.0541187j 
-0.0471938-0.0209773j 0.0244146-0.000835728j 0.00895708+0.0108129j 0.026035-0.0269725j 0.00837418-0.0228984j 0.0668959+0.0261191j -0.188661+0.0255118j 0.123391+0.0464208j 0.197174-0.372559j -0.0359473-0.0543402j -0.0502076+0.105432j -0.0376668-0.0552355j -0.0210629-0.0720548j -0.0269514-0.0427486j -0.0364048-0.0034985j -0.00230974+0.0191651j 0.0724398+0.0441479j 0.0363493-0.0174817j 0.0732746+0.00378904j -0.0263025-0.020291j -0.0128047+0.0369816j 0.0179148+0.0138231j -0.00653531+0.0630965j 0.00395409+0.0382725j -0.0199365-0.00449154j 0.00931453-0.0147057j 0.0197116-0.000653755j 0.0316051+0.00529231j 0.00796843+0.0302454j 0.00503596-0.0268164j 0.00649553+0.00157282j -0.00390485-0.0128524j 0.00530875-0.017104j 0.00140085-0.0085665j 0.00616998-0.0250551j 0.00650693+0.00772567j 
-0.0027187-0.0165832j 0.0012854+0.0164475j 0.0338392-0.115943j -0.0778709+0.0275299j -0.0670778+0.0503095j 0.159293+0.0406417j -0.184739+0.20815j -0.165648+0.239781j -0.0260334+0.0114933j -0.0456669-0.0516224j 0.0266549-0.00738427j 0.0243049+0.0336343j 0.0205001-0.00524217j -0.0188302+0.00153634j 0.0227313-0.030256j 0.135475+0.118223j -0.0850989-0.00474084j 0.0328181-0.109766j -0.0319231+0.016469j -0.0726215+0.0122804j -0.0150918-0.0916353j 0.0223955+0.00795821j 0.0256985-0.0345007j -0.0307572-0.0223932j 0.0271522+0.0154914j 0.0237859-0.00182727j -0.0162716-0.0067331j -0.029218-0.00393602j -0.0161858+0.0274502j -0.0177771+0.00983289j -0.00900829+0.000185182j 0.00134489-0.0502867j 0.00476676+0.00320317j 0.00549853+0.0583987j 0.0058865-0.0245032j -0.00118035-0.0521904j 
