0.0106964-0.0020676j 0.00124103+0.00905739j 0.00764212+0.00899604j -0.0149031+0.0053282j -0.00359791+0.00799197j 0.00263999+0.00659947j 0.0144077-0.00642648j 0.000617005+0.00522855j -0.0019817-0.000671993j 0.000734387+0.00826974j 0.00872131-0.00641513j -0.000920777+0.00800932j 0.0100327-0.00618532j -0.00215223+0.00785608j -0.00327279-0.0022862j 0.00125881-0.00808439j -0.000699616+0.00191298j 0.00551956-0.00674153j 0.000910284+0.00566366j -0.00247343+0.00432845j -0.00466524+0.00222143j 0.000909642-0.00206788j 9.6841e-06-0.00596578j 0.0010233-0.0110358j -0.00417742-0.00720316j -0.00167341+0.00308334j -0.00655159+0.00142693j 0.000948873+0.00463777j -0.000470484-0.00998598j -0.00456222+0.000779435j -4.39381e-05+0.00620136j 0.00110439+0.00587024j -0.00232611+0.00245318j -0.000752407+0.00361881j 0.000146922+0.00100309j 0.00395847+0.00196774j -0.00445662+0.00317385j -0.00812282-0.010268j -0.000803181-0.0128066j -0.00995201+0.00565125j -0.00348026+0.00445008j 0.0082271+0.012532j -0.00253793-0.00459721j 0.0058051-0.00843425j -0.0063841-0.00111827j 0.000195535+0.00130196j -0.0075934-0.00539412j -0.00799551+0.00420213j -0.0119204+0.00221772j 0.0061321-0.0114455j 0.00462455+0.0107772j -0.00627535-0.0100561j -0.0148992+3.99277e-05j 0.0101616+0.0116311j 0.00669463+0.0122885j 0.00687442+0.00470536j -0.010262-0.00364747j 0.00197082-0.008296j 0.00535198+0.0326522j 0.0438677-0.0135372j 0.0079635-0.0358077j -0.0114473-0.0187841j -0.0139455-0.00538112j -0.00462249+0.00343045j 0.000524668+0.0117683j -0.00415706+0.0119766j -0.00117811-0.00526043j 0.00225486-0.0284494j 0.000643352+0.0174132j -0.00174864-0.0168687j -0.0697072-0.0282718j -0.0278033+0.0749767j 
0.000167408-0.00945987j 0.0107874-0.000858152j 0.00855976-0.00515827j 0.00367597+0.0108156j 0.00432654-0.00217369j 0.00747362-0.00213649j -0.00727512-0.0126161j -0.00115099-0.006307j 0.00431049+0.00159992j 0.00924081-0.00110793j -0.00507053-0.00750954j 0.00905817-0.00194667j -0.000200741-0.0102943j 0.0132502+0.00216429j 0.000323105+0.00387422j -0.00685534+0.00014114j 0.00196174+0.00182605j -0.00825565-0.00473608j 0.01159+0.00184399j 0.00480476+0.0056445j 0.000683555+0.00794947j -0.000254341-7.09642e-05j -0.00341015-0.000426292j -0.00735404+0.000394641j -0.00768619+0.0061089j 0.0039233+0.00259611j -0.00100575+0.00671155j 0.00149168-0.00149864j -0.0109616-0.000505477j -0.000456984+0.00527304j 0.00744974+2.25047e-06j 0.00597299-0.00267781j -0.00351668+0.00326317j 0.00265314+0.000316007j -0.000566731-0.00124975j 0.00388153-0.00426582j 0.00462451+0.00299716j -0.00925611+0.00818666j -0.00803275-0.00143561j 0.0032064+0.00862147j 0.00543452+0.00328203j 0.0128831-0.00754797j -0.00594725+0.00647804j -0.00656239-0.00721229j -0.0032466+0.00706746j 0.00782748-0.00153133j -0.0127501+0.00545099j 0.00523721+0.0110426j 0.00413858+0.0120618j -0.0131706-0.00738533j 0.00473542-0.00571636j -0.000813153+0.00272189j -0.0029372+0.0202835j 0.0156456-0.00649082j 0.0126011-0.00371996j 0.00753369-0.00481624j -0.00201552+0.0105862j -0.00207012-0.0109081j 0.030111-0.00932984j 0.00405201-0.0432004j -0.0349681-0.00221342j -0.0141747+0.00371158j 0.0011975+0.0179125j 0.00489476+0.0178202j -0.00168851+0.00122524j 0.00124226-0.00280843j 0.00175502-0.0285588j 0.00521579+0.00512002j 0.00143478-0.00524793j 0.0145227+0.02426j -0.0299231+0.0714694j 0.0683426+0.0282745j 
-0.00118528-0.00643729j 0.00633331-0.0032072j 0.0007624-0.00291064j -0.00170095+0.00444153j -0.00794371+0.00122072j 0.00100461-0.0049614j -0.00233975-0.010608j -0.0055632+0.00588469j 0.0103537-0.00312614j -0.00464971+0.00413482j 0.00449219-0.0144169j 0.0085367-2.65853e-05j -0.00849358-0.00757939j 0.00750828-0.00257438j 0.000454102+0.00521216j 0.000727999-0.00909979j 0.00114752+0.00199402j -0.0025198-0.00836386j 0.00987075-0.000519188j -0.000803518+0.00640902j 0.0020099+0.002528j -0.00234136+0.00291809j -0.0027417-0.00118403j -0.000355666-0.0125238j -0.00555071+0.0100166j -0.00101875+0.00588975j 0.00117186+0.00500303j 0.00585705-0.00100957j -0.00282219-0.00839906j -0.000460459+0.00403136j 0.00375082+0.00848279j 0.00663384-0.00533979j -0.00440577+0.00836677j 0.00393028+0.000588264j -0.00345978+0.000790571j -0.000125992+0.000700305j 0.0031863-0.000653057j 0.00114466-0.00307676j -0.00103233-0.0164858j -0.00661998+0.0167892j 0.00160253+0.00535396j 0.00316886+0.0087526j -0.00448144+0.00644553j -0.000347956-0.0129713j -0.00839491+0.00176643j 0.00278648-0.0100742j 0.00366985+0.00988265j 0.00419127-0.00640815j 0.0067863-0.0103504j -0.013241-0.0205443j 0.00533375+0.0296902j 0.000965328-0.0395686j -0.00959984+0.00919992j 0.00900842-0.000144083j -0.00416142+0.00260906j 0.0023981-0.00381046j 0.00478546-0.00271436j -0.00733108-0.0238542j 0.0147892+0.0118928j -0.029412-0.0268675j -0.0290798-0.00600058j -0.00138247+0.00721377j 0.0030493+0.0191122j -0.00447582+0.00414474j 0.00604012+0.00385864j 0.00343757-0.0156981j 0.00682758+0.0106494j -0.0127964-0.00375342j -0.0367692-0.0280283j 0.0174172-0.0873491j 0.0069247+0.00234673j 0.0217209+0.00830467j 
0.00262344-0.00168526j 0.00241227+0.00597701j 0.00772737+0.00369286j -0.00378814-0.000489745j 0.00152703-0.00355186j 0.00489914+0.0038336j 0.00655327+0.00352943j 0.00121766-0.00280206j -0.000132101+0.00380726j -0.000408275-0.00362838j -0.00029155+0.0057497j 0.000683332+0.00305581j 0.0131821-0.00297967j 0.00301036+0.00316742j -0.00159354-0.00464014j 0.00476725+0.00359771j -0.00378875-0.0015636j 0.00247483-0.000232751j -0.00461699+0.00163066j -0.000257422-0.00354273j -0.00736187-0.00164671j 0.00103744-0.00447958j 0.000546353-0.00250148j 0.00105149+0.00174799j -0.00898968-0.00736561j -0.00402309-0.00415161j -0.006243-0.00319451j -0.000336425+0.00410605j 0.00406635+0.00206135j -0.00240264-0.00263858j -0.00270756-0.000187006j -0.00137833+0.00478824j -0.006799-0.00698243j -0.00530113+0.000894055j 0.00264943-0.00103185j 0.00317335+2.67198e-05j 0.00330696+0.00742244j -0.00464324+0.00361046j 0.00603718+0.00495607j -0.0129173-0.00899178j -0.00302152-0.000124136j -0.00158261-0.000351143j -0.00391427-0.00647276j 0.00117651+0.00047205j 0.00124805-0.00571237j 0.0100686+0.00772181j -0.0122674-0.00795065j -0.00211832+0.00327269j 0.0038303+0.00813331j 0.00809563-0.00930333j -0.00806556-0.000380357j 0.0108315+0.0123518j -0.00660083-0.0136173j 0.0114012+0.0103805j 0.00808992+0.00286948j 0.0077836+0.0057327j -0.00513902+0.0036971j 0.0109047-0.00432477j 0.0275537+0.0243579j 0.0424585+0.0037411j -0.0217766-0.0453001j -0.0219365-0.0268647j -0.0217334-0.0127825j -0.00613669+0.0225728j 0.000196042+0.0159355j -0.00756823-0.0147279j 0.028442+0.0204887j -0.010909-0.00666527j 0.0226274-0.0510761j -0.00582537-0.000434057j -0.0302341-0.00844833j 0.00681501-0.000993259j 
0.0064581+0.000730325j 0.00579983+0.00047645j 0.00336018+0.0010488j -0.0148947-0.000448277j -0.0144908+0.00158786j 0.000756959-0.000103858j 0.0146822-0.00146238j -0.00415872+0.00537859j 0.0111906+0.00204882j -0.00754333+0.00196654j 0.0133293-0.00366481j -0.00523082+0.00011988j 0.000210288-0.00315107j -0.0026917-0.000114048j 0.00577387+0.0032475j 0.00367843-0.004583j -0.0028046+0.00260324j 0.0057414-0.00117881j -0.00539945+0.00233707j -0.00708671+0.00086786j -0.00118525+0.000643845j 0.000873505+0.000387918j 0.00428895+0.000857096j 0.00981144-0.00581819j -0.00244251+1.20406e-05j 0.000425925+0.0027336j -0.00195872-0.000870979j 0.00239788+0.00449888j 0.00470303-0.00438226j -0.00190634-0.00159709j -0.00777581+0.00358828j 0.00421056-0.000356979j -0.00680637+0.002163j -0.000722664-0.00293195j -0.00593546+0.0016128j -0.00610574+0.00521153j 0.00117979-0.00650401j 0.000608046-0.00854872j 0.0176149-0.00690686j -0.0202342-0.000813132j -0.00349522-0.000764545j -0.00756127+0.00402559j -0.00145478+0.000349142j 0.0182439-0.00230972j -0.00485168-0.000984203j 0.00780063-0.000459376j 0.00128702+0.00863078j -9.45905e-05-0.00809475j -0.004426-0.0115991j 0.0182991-0.00293729j -0.0139032+0.0142039j 0.013682-0.0207815j -0.0182189-0.00858804j 0.00443665+0.00678495j -0.0128719+0.0067686j 0.00636334+0.00330219j -0.00210373-0.0147239j 0.0136354+0.000591329j -0.0262147+0.0206584j 0.0298736+0.0339894j 0.0426746+0.0222981j 0.0152539-0.00168291j -0.0114941-0.0346481j -0.0255336-0.0269795j -0.00576469+0.0174478j -0.0194548-0.0247138j 0.00401103-0.00252814j 0.0177475+0.00864855j -0.0481364-0.0273701j 0.0229205+0.00416169j -0.0117299+0.00208679j -0.0346991-0.00439205j 
0.00777624-0.000644498j -0.00165044+0.00491096j 0.00302052+0.00343797j -0.00433335-0.00477172j -0.0025785-0.00731839j 0.000442555+0.00365125j 0.0126732+0.00749318j -0.00831826-0.00323581j -0.000310877+0.00597828j -0.00498997-0.003615j 0.0177001+0.0101495j -0.00321094+0.00123606j 0.00902186-0.00421442j -0.00890459+0.00185659j -0.00130715-0.00183847j 0.0102117-0.000354911j -0.0013136-0.00334309j 0.0135929-0.00239833j -0.00347+0.00129478j -0.00287249-0.00847768j 0.000646372-0.00296605j -0.00394644-0.00435008j -0.00390664-0.00164135j 0.0137073+0.0048674j 0.00168853-0.00281453j -0.00558774-0.00105464j 0.00423176+0.00128271j 0.000272869+0.00115746j 0.0146763+0.000481219j -0.0012618-0.00283722j -0.0157592-0.00210103j 0.00178964+0.00610101j 0.000285588-0.00812758j 0.00137094+0.00400295j 0.00114763-0.005474j -0.00574918-0.00362146j 0.00232859+0.00666662j 0.00648826+0.00362225j 0.0168816+0.0104215j -0.0131045-0.0129481j -0.00711509-0.00411561j -0.0152126+0.00181993j -0.00124425-0.00621844j 0.0118569+0.00772305j -0.000250605-0.0093012j -0.00159353+0.00397749j 0.00102505+0.00553332j 0.00728556+0.000763841j 0.0178775-0.00203746j 0.0252811-0.0106473j -0.0403679+0.00470594j 0.0487378+0.0128837j 0.00831017-0.0260579j -0.0148117+0.00348957j -0.0232401-0.0188098j -0.00358091+0.000759594j 0.0142242+0.000203213j 0.0252058-0.0114563j -0.0241406-0.0159805j -0.0148455+0.00183434j 0.00265827+0.00368813j 0.0112733+0.0287112j 0.0268216+0.0186326j 0.00497621-0.00500022j -0.0202856+0.0111823j 0.0030713-0.00253549j -0.0103568-0.0168642j -0.00934552-0.0214078j 0.0305939-0.0235852j 0.0806918+0.0270704j 0.0182588+2.70936e-06j -0.0183915-0.00277926j 
-0.0029091+0.00290403j -0.00715748+0.00114012j -0.00838131+0.00150403j 0.014868+0.00643902j 0.0126052+0.00704631j -0.00500703+0.00642561j -0.0150329-0.000990254j 0.00197611-0.000273752j -0.0109112-0.00375034j 0.0138297+0.00467075j -0.0107646-0.0026958j -0.00344664+0.00205832j -0.00619402+0.00355561j -0.00574149+0.00445749j 0.00361536-0.00395418j -0.00958826-0.00168154j 0.00726549-0.00218602j -0.000387126-8.66574e-05j 0.00462654-0.00698888j 0.010025+0.00336609j 0.0126867+0.00156516j -0.00319123-0.00333871j -0.00311799-0.00219274j -0.00898458-0.00377763j 0.0101789-0.0105124j 0.00857106+0.00138918j 0.00619158-0.00148834j -0.0013506+0.000487417j -0.00711503-0.00315168j 0.0043111+0.00182501j 0.00592432-0.000273134j -0.000994474+0.00434919j 0.0249369+0.00115279j 0.00371153-0.000118128j 0.00613083+0.00310329j 0.00550122+0.000731451j -0.0212364-0.00243806j -0.00566127-0.010529j -0.0283176-0.00744824j 0.0306684+5.18439e-05j -0.00213252-0.00312469j 0.00298049-0.000115558j 0.00751622-0.00718142j -0.0121021+0.00198565j 0.0148857+0.00567124j -0.0231688-0.000540571j 0.00937389-0.0127975j -0.00636773-0.0161958j -0.00729858-0.00677774j -0.000323795+0.0107744j 0.0159717+0.00916915j -0.0294583-0.00128705j 0.046775+0.000198135j -0.0249961-0.00158959j 0.0129548+0.00734134j -0.018785-0.00826216j -0.00461765-0.00723253j -0.011931+0.0201789j 0.0130543+0.00615576j -0.0268566+0.0247283j 0.0106789-0.0107751j 0.016121-0.00107944j 0.00588922-0.0195555j 0.00913821-0.0116505j -0.0115577-0.000573925j -0.00938332-0.0475088j 0.00765835-0.0114661j -0.00322927-0.0389115j 0.023318-0.0202723j -0.0378372-0.00935959j 0.015617-0.0160614j 0.0127723+0.0139221j 
6.17731e-05-0.000940963j 0.00798606+0.00032897j 0.00677471-0.00145151j 0.00502862-0.00384716j 0.00973751-0.00726983j -0.000633085+0.00691286j 0.00329067+0.00415064j 0.00251674-0.00940739j -0.00221838+0.00213151j 0.00281112-0.00360146j 0.00269596-0.00210768j 0.00470042-0.00869383j 0.00189988+0.00151833j 0.00169683+0.0116634j -0.00836585+0.0043281j 0.000891622+0.000674863j -0.00435713-0.00259035j -0.00635427-0.0129139j -0.00624781+0.00155531j -0.000425504+0.0018222j -0.00267346+0.00493807j 0.00121568+0.00410795j -0.00567726+0.00697785j 0.00122208+0.0079532j -0.00813468+0.000561033j -0.0033268+0.00960505j 0.0018005+0.0124689j -0.00933367-0.00761085j 0.000780884-0.00927956j 0.00534087+0.00474328j 0.00441508-0.000266535j -0.00354356+0.0117789j -0.00990837-0.00276946j 0.00536039+0.00820234j -0.00243248-0.0124507j -0.00604678-0.00186493j 0.0101801-0.00293214j 0.00643358-0.00118474j -0.00678869-0.00421377j 0.00516758+0.00118431j -0.000730241+0.00142898j 0.000761695+0.0272791j -0.0111494-0.0111133j -0.0188646+0.0150394j -0.0101132-0.0206672j -0.00912422-0.0144807j -0.0143598+0.00168549j -0.0188194-0.000528253j 0.00356978-0.00822601j -0.0256083-0.0200177j 0.0223229+0.0159486j -0.00719577-0.00187076j -0.0149678-0.0153813j 0.00708622+0.00118035j 0.00955336-0.0201124j 0.00269573+0.0235037j 0.00436411-0.00425297j -0.0279178-0.0181326j 0.0115671-0.000947184j 0.00731386+0.0288972j -0.0138718+0.00870608j -0.00294915-0.0175835j -0.0148559-0.0118039j -0.00541431-0.0177115j 0.0128681-0.0128338j 0.0230904-0.00814479j -0.00889447-0.068894j -0.0497092+0.00684527j -0.016091-0.0140265j -0.0276325+0.00690097j -0.0137526-0.0178404j 0.0135096-0.00370365j 
0.00248431-0.00175237j 0.00668403-0.00312999j 0.00101444-0.00741894j -0.0122666+0.012838j -0.00529232+0.00530263j -0.00869783+0.00352585j 0.00954647-0.0113801j 0.00164442-0.0066921j 0.00653879-0.00242801j -0.00706866-5.50574e-05j 0.0103163-0.0098274j -0.0103599-0.00489447j -0.00535813-0.00488777j -0.00507797+0.00815843j 0.00206026+0.00741869j 0.00469696-0.0041972j -0.000684324+0.0044909j 0.00227483-0.00470606j 0.0024249+0.00772872j -0.00884457+0.0141243j 0.00128108+0.0145518j -0.00657798-0.0038599j 0.00178152-0.00625688j 0.0108475-0.00404249j 0.00281112-0.00141767j 0.00117517+0.00714993j 0.00287395+0.0197618j -0.00308797-0.00096703j 0.0111132-0.00927703j -0.000710811+0.00528035j -0.009985-0.00224642j 0.000580132+0.012311j 0.000894898+0.0138278j -0.00365862+0.00424864j 0.00257851+0.00199067j -0.00499422+0.00388907j 0.00711483-0.0121492j 0.00644532-0.00815118j 0.0163228-0.0235986j -0.0073727+0.0110687j -0.00173854-0.0052497j 7.6834e-05+0.0207317j 0.00237574-0.010619j -0.00108542-0.00293032j -0.00232891-0.0102923j 0.00287693-0.0258842j 0.0107446+0.00311861j 0.00659794-0.00387472j 0.0151338+1.40873e-05j 0.0148686-0.00460748j -0.0220242+0.00373312j 0.030506+0.0152176j 0.00653222+0.0123063j -0.0148563-0.00860004j -0.0168796+0.00387882j -0.0198697-0.0158058j 0.002311-0.00110781j 0.0262432+0.0022426j -0.0276864+0.0106155j 0.00748124-0.017107j 0.0365579-0.0349616j -0.0049681-0.0441491j 0.00404549+0.000991482j 0.00498989+0.0117638j -0.0153078-0.0220032j 0.0542759-0.00163994j -0.00362005-0.0135362j 0.0290528+0.00878337j 0.0201436+0.0126762j 0.0301089-0.00941208j 0.0162596+0.016777j -0.0161297+0.0185442j 
-0.00513683+0.00088411j 0.0007091+0.00170626j -0.0073114+0.000136446j 0.00464501-0.00322397j -0.00628131-0.00571906j 0.00163249+0.00306165j -0.00180583-0.00668287j -0.011095-7.59679e-05j 0.00346492+0.00348j -0.00506574-0.00472007j -0.00158334-0.00695694j 0.000710287+0.00821814j -0.00789245+0.00160226j 0.00684797+0.00560996j 0.00256747+0.006776j 0.00264337+0.0053425j 0.00192264-0.000252747j -0.00213689-0.00380994j -0.00557988+0.00192813j 0.0066022+0.0019606j 0.00691601-2.21617e-05j 0.00890081+0.00055436j -0.0042623+0.00968896j 0.00868377-0.00205623j -0.00298135-0.000964898j 0.00644843+0.00654619j 0.0172783+0.000420353j 0.000204539+0.00697352j -0.00310239-0.00567207j 0.00664504-0.00739705j -0.00257848+0.00403722j 0.00883157+0.00832499j 0.0047592+0.0072795j 0.0145905-0.00393022j -0.0110901-0.008958j -0.00966501+0.00803432j -0.00479994-0.001039j 0.00251596-0.00623569j -0.00968552+0.00106387j 0.00579374-0.00424633j -0.00719713+0.0110403j 0.0116315+0.0057022j -0.0154062+0.000586925j 0.0020517+0.0141814j -0.0145417+0.00529639j -0.029612+0.0138134j 0.00299071+0.0115624j -0.00820704+0.0202231j 0.00302672+0.0084033j -0.00448842+0.000700804j -2.64985e-05-0.0126007j 0.00452193-0.00525442j 0.00109473-0.00383569j -0.0153669+0.0223373j -0.0162725+0.00158784j 0.00436701+0.0403925j 0.00945071+0.00107821j 0.00446768+0.0265702j -0.0190283+0.0271276j -0.0136168-0.00484687j 0.00881737-0.0151055j 0.0172397-0.0103843j 0.00447925-0.00492137j 0.00620845+0.0214674j -0.00209562+0.0287343j 0.0048135-0.0395239j -0.0555985+0.0149911j -0.00306746+0.0326805j 0.0127377-0.00655744j 0.0115486+0.00627814j 0.0190905-0.00127978j 0.000704104+0.0215729j 
-0.00018958-0.0065173j -0.00473123-0.00351834j -0.00491455-0.00630726j 0.00365008+0.00867784j 0.00578118-0.00335962j -0.00584476-0.000355238j 0.00598696-0.00322493j 0.00270146-0.00756003j 0.00432591-0.00569457j 0.00477549-0.00424906j 0.00472644-0.000485331j -0.00504396+0.000408537j 0.00292797-0.00866392j -0.00676066+0.000276871j 0.00606742-0.00797476j -0.00573683+0.00770993j -0.00146419-0.00165762j 0.00221951-0.0038455j -0.00475717-0.00609232j 0.00143638+0.00510425j 0.00207414+0.00632348j -0.00256324-0.00209467j -0.00543324-0.00017927j 0.000399817+0.0014706j 0.000648188-0.00204247j 0.000722708-0.000762869j 0.000139205+0.00483543j -0.00472129+0.000854366j 0.00200486+0.00321291j 0.00269701+0.00864964j -0.00179392+0.000391744j -0.00396092+0.00291j 0.00331833+0.00129867j -0.000283678+0.00554307j 0.0043459-0.00442931j -0.00265423-0.00901027j -0.00400837+0.00370053j -0.00464655+0.00461278j -0.00772173-0.00473695j 0.00282235+0.0122052j -0.00532688+0.00529215j -0.00808499-0.00368913j -0.00156175-0.00459838j -0.00418018+0.000955269j 0.00314582+0.00295586j -0.00899288-0.0122984j -0.0113105-0.00349698j -0.0267279-0.00403178j -0.0155079+0.0140843j 0.00841261-0.00410616j 0.0131965+0.00661407j -0.00966941+0.00280103j 0.000633278+0.0175024j -0.00609208-0.019951j 0.0150714-0.00707228j -0.00738062-0.000363931j -0.00857091+0.0187577j 0.00102047-0.0161127j -0.00249718-0.00863213j 0.0526654-0.0603599j 0.0375478-0.0274654j 0.0154373+0.0020697j -0.0419139+0.0182953j -0.0456761+0.0202718j -0.00882215+0.00766933j -0.00882714+0.00768758j -0.00295696-0.00206698j -0.0246495-0.00839064j -0.00908376+0.00556552j -0.00288477-0.00398078j -0.00876517+0.0372843j -0.0344707+0.00559551j 
