0.0724518+0.053947j 0.034186+0.0322616j 0.0212108-0.0269369j -0.0402328-0.000572017j -0.113303-0.127223j -0.0150178+0.025063j -0.0205246+0.0807821j 0.0304693+0.0408601j 0.0586621-0.0333803j 0.0119364-0.10095j -0.0283079-0.0298737j -0.0131738+0.0101971j 0.0291314+0.0227932j -0.0341944-0.0171934j -0.037396+0.0241058j -0.0259459+0.00857277j -0.0479917-0.0246544j -0.0232822-0.0383627j 0.0131644-0.0154084j -0.0267859+0.0063838j 0.00464793-0.0198028j 0.00762405+0.00546553j 0.0370974-0.0150161j 0.0124397-0.013125j -0.0721899+0.0191136j 0.0816101+0.0505548j 0.156469+0.0774118j -0.0352317-0.110011j -0.0215361-0.137849j 0.115271+0.125743j 0.112399-0.0573532j -0.0286972-0.000473589j 0.078556-0.00459637j -0.0361526-0.0258564j 0.0346487+0.0106632j -0.0248141+0.00773883j 0.0447325-0.00905443j -0.0274599-0.0225649j 0.0128194+0.0716852j -0.00610189-0.0277687j -0.033028+0.0529173j 0.0160277+0.00905265j -0.0259276-0.0290013j 0.0301669+0.071374j -0.0148356+0.0544698j 0.0617928-0.0310706j -0.107731+0.0149338j 0.15315-0.0260356j -0.179793-0.167505j -0.0530832+0.0228881j -0.00979177-0.182419j -0.233059+0.0545893j 
0.0296594-0.0166071j 0.113984+0.133765j 0.0507252-0.0170652j 0.0322261-0.0453924j 0.0393851-0.0726106j 0.0222117-0.0407864j -0.0269137-0.0265687j 0.0545558+0.0580907j -0.0652266-0.0403664j 0.0644198+0.0707763j 0.0350286+0.00138394j 0.0176655+0.0140596j 0.0314178+0.0305991j -0.0269419+0.0143353j -0.0372282-0.0451028j 0.00138468-0.0591963j 0.0768864+0.0333581j 0.0468272+0.0586881j 0.0216361-0.00613611j -0.0393609+0.0124566j -0.0295886-0.0473574j -0.0357219-0.011305j 0.0119944+0.0998743j -0.0964817+0.0252577j -0.0511299+0.0167237j -0.0394333-0.00546158j 0.0459266+0.0932305j 0.0140238-0.0226818j 0.136403+0.0706629j -0.148263-0.0330983j 0.11615+0.0708392j 0.0317619-0.0164256j 0.00775391+0.0359528j 0.0176127-0.0319315j 0.00671351-0.0170014j -0.0267871+0.0297014j 0.00785833+0.0174458j 0.014561+0.0426746j -0.0574971+0.0257916j -0.0504104-0.00453517j -0.0105577-0.0323615j 0.0547157+0.0361367j -0.0362365-0.0104747j 0.0726997+0.0379534j -0.105954+0.00176376j 0.19401+0.15601j -0.0541318-0.115417j 0.0448465+0.0854521j 0.132242-0.0723736j 0.0162124-0.0164269j 0.212921-0.0456783j 0.0515798-0.182007j 
-0.0526597+0.0269379j 0.00490474-0.0309587j 0.110731+0.0178041j -0.000839898-0.0391458j 0.0586866-0.104233j 0.00103186+0.0352192j -0.0319057+0.0119298j -0.0516899+0.0410879j -0.0515511-0.0271398j 0.022581-0.0117949j 0.0187895+0.0158798j 0.0656195-0.0495777j -0.0185273+0.0502161j -0.0244896-0.0055555j 0.00515159-0.010905j -0.0789668-0.0271962j 0.00119456-0.0608446j 0.0632309+0.0957333j -0.018354+0.0167039j -0.0554523+0.0144598j -0.0563181-0.0974234j -0.149052-0.0830909j 0.06414+0.0382995j -0.0663617-0.0408117j 0.000894971-0.0371631j -0.0445829+0.163708j 0.0746995+0.125127j -0.100978+0.000358397j -0.154329-0.0309852j -0.0850703+0.0510759j -0.123883-0.0109017j 0.0412321-0.0501253j -0.0520963-0.00581388j 0.0447064-0.0192269j 0.0436584+0.0128055j 0.000252716+0.0290861j -0.0526889+0.00848255j 0.00512591-0.00667755j -0.0235825+0.053102j 0.0178538-0.00253316j 0.0561657+0.107251j 0.0426339+0.00398041j -0.114393-0.167799j 0.131589-0.0258471j 0.0575062+0.137989j 0.0352735+0.0222043j 0.014078-0.0205356j -0.122492+0.0672346j -0.124964+0.0150879j -0.0447209-0.0752533j -0.0515274+0.163287j 0.0615648+0.105294j 
0.0454368-0.0257285j 0.0341589-0.0414486j 0.0158048-0.0122151j -0.0768067-0.0646577j 0.00876309-0.0771988j -0.00490675-0.0314426j -0.0350283+0.0423843j 0.0147384+0.0281626j 0.0236609+0.0128269j -0.0702909-0.0703037j -0.0440738+0.0270242j -0.00953559+0.0322032j -0.0170388-0.0630278j -0.0219112-0.0567924j 0.066+0.0699892j -0.0152304+0.0282431j -0.0672796-0.123408j 0.103064-0.184433j -0.00721692-0.069989j -0.00762869+0.0710957j 0.0786062+0.204862j -0.128208-0.0704901j -0.0673113-0.00281908j 0.0110428+0.127609j -0.0483014+0.0618547j 0.0875751+0.0531342j 0.102871-0.00211899j -0.0654505+0.0369598j -0.142531-0.0465618j -0.126442+0.137647j -0.0294913-0.0563921j -0.00974014-0.0660547j -0.0298699-0.00393024j 0.00299169-0.02762j 0.0119667+0.0033937j -0.0270332+0.0254965j -0.0132163+0.0360253j -0.0831628+0.0363931j 0.114785+0.0608111j -0.000371992-0.0329478j 0.0263151+0.0519967j 0.0858362-0.0305574j 0.0188598+0.0350926j -0.0129334-0.0828279j 0.0708473+0.0621042j 0.0312674-0.12976j 0.0476617+0.00123145j -0.0709261+0.040439j 0.152795+0.0291196j -0.0516868-0.131219j 0.0254553+0.0972691j 0.0527457-0.182065j 
0.0456013+0.0254712j 0.0642979+0.0413612j 0.0793397-0.0265937j 0.108408+0.0384756j 0.0214143+0.093794j 0.0472088+0.0100794j -0.0545112+0.0315199j -0.034124-0.012077j -0.0483195-0.0515592j -0.113157-0.0316669j 0.00518306+0.0638332j 0.10876-0.00408022j -0.0870281-0.0614044j -0.0256918-0.049677j 0.053849-0.0971891j 0.0270292-0.00840786j 0.00819701-0.0815896j -0.0413007-0.0966341j -0.062767-0.0720611j -0.0347511-0.0961781j 0.0965245+0.146293j -0.0670019-0.0162788j 0.110812+0.082337j -0.0268786+0.05264j -0.0290616+0.0442431j -0.0182866+0.119713j -0.0300148-0.0709141j 0.0537051+0.0486456j 0.0517515+0.160104j -0.0307054-0.0109195j 0.0624302-0.0442525j 0.0341502-0.00941337j -0.0423789+0.0279575j 0.0418416-0.0226211j -0.0087335-0.04659j 0.132614+0.019323j 0.00385813+0.0142971j 0.0833026+0.0270302j 0.00247015+0.014941j -0.0319948+0.03388j 0.0539644+0.093614j -0.0965169-0.0481176j 0.136563-0.00917568j 0.049407-0.0191667j 0.130654-0.0323639j 0.0499199+0.00104488j -0.140142-0.0248423j 0.0352395+0.0140094j 0.0366476-0.00622845j 0.048729-0.0538615j -0.0856515-0.030464j -0.0333893-0.0930576j 
0.0395396+0.0266626j 0.0037413-0.0592997j -0.0471177+0.0645673j -0.0156367-0.0119126j 0.00189557+0.15664j -0.0481756+0.012035j 0.0837459+0.0449569j -0.018146-0.0258541j 0.00872759-0.0724882j 0.0105721+0.0328983j -0.0306822+0.0158037j 0.00381494-0.0148874j -0.0633861+0.0450403j 0.0888776+0.029656j 0.0661286+0.0141894j -0.0945421-0.0602243j -0.0684145+0.0870826j -0.0313809+0.103255j -0.025003+0.0140279j -0.015109+0.00539987j 0.0353738-0.0891976j -0.187545-0.0179045j -0.0344061+0.0938511j -7.95692e-06-0.00272715j 0.0441324+0.0149847j 0.0460334-0.0428877j 0.00524989+0.163868j 0.055307+0.0411367j -0.120153+0.023108j 0.0105243+0.00904677j -0.0500478-0.0593698j 0.0154532+0.00688817j -0.0322454-0.0112239j 0.00045799+0.00257857j 0.00408443+0.0473987j -0.00129671+0.0148109j 0.0383646-0.0134331j 0.0764105+0.0669665j 0.0670842+0.059576j -0.0469347+0.0359311j -0.0378836+0.0404577j -0.00210153-0.00109671j -0.0709043-0.0461875j 0.0721506+0.120488j 0.0699178-0.0175262j 0.0881743-0.046735j 0.0591461-0.0818182j 0.0873172+0.0816612j 0.146041-0.0693946j 0.0141551+0.116489j 0.101932-0.0474412j 0.014782-0.0961762j 
0.093058-0.0161622j 0.0642505+0.0437516j 0.0274552-0.100022j 0.11404-0.0107646j -0.0276243+0.0486622j -0.036813-0.0838274j 0.0773086-0.0152589j -0.047899+0.1028j 0.0199106+0.0510084j 0.0674598-0.0641583j 0.0140896+0.0662382j -0.121342+0.102714j -0.0481955+0.0526885j 0.0439265-0.000271391j -0.0606908+0.131833j 0.0225196-0.0935572j 0.030496-0.116533j 0.00185786-0.108282j -0.017016+0.121792j 0.0518527+0.0884493j -0.0961305-0.0442959j 0.0201022+0.0278669j -0.0635902-0.0604042j -0.0641893+0.0173873j 0.0621131+0.0238576j 0.0118413-0.037381j 0.0730589-0.0269724j 0.112324+0.0471138j 0.10849-0.0116292j 0.00754504+0.0153713j 0.0645445-0.0326328j 0.122053+0.0269216j 0.119097+0.0295947j 0.0550806+0.0215821j 0.0483163-0.0152954j 0.131398+0.0193398j 0.0376168+0.0394422j 0.00510118-0.0272031j 0.00730745+0.0112581j 0.0346243+0.0285926j 0.0141763-0.128914j -0.0107399-0.0656442j 0.112557+0.0610197j 0.0281053-0.0819659j -0.0815977+0.0401927j -0.075062+0.00375169j -0.0592175+0.0206955j 0.00768573-0.0344395j -0.00869477+0.0107936j 0.0338878-0.0369339j 0.0195043-0.0410396j 0.0238638-0.0512013j 
-0.00231274+0.147119j -0.0298427-0.0119053j -0.0159652-0.0225001j 0.00508268-0.00574009j -0.019662+0.0128753j -0.074958+0.0419157j -0.0144853+0.0426248j 0.0873697-0.0147892j 0.0306714-0.00562405j 0.0285612-0.0833136j 0.0672038+0.117999j 0.0328698+0.0181128j 0.0323393-0.142259j -0.0149851-0.112114j -0.0374421+0.195979j 0.0640818+0.0134155j 0.0378006-0.168153j -0.106171-0.2071j 0.000259421-0.0854515j -0.0327103+0.107439j -0.0195127+0.0107945j -0.0839492-0.0750856j -0.0557985-0.0183079j -0.00149314+0.0395326j 0.0460009+0.00480615j -0.15623-0.00414485j -0.0769748-0.190586j -0.000754325+0.0112105j 0.045913+0.044442j 0.0152584-0.0296593j -0.0718993+0.0928992j -0.0424845-0.0261725j -0.0350796-0.0128751j 0.000529722+0.0742352j -0.0624433-0.00130401j 0.00954537-0.0336766j 0.0161794-0.0693514j -0.0381645-0.00467036j -0.138819-0.0198866j -0.0065124-0.0509434j -0.0622236-0.0802675j 0.0700641-0.0103618j -0.0772243-0.000701902j 0.0169231-0.0342179j -0.090726+0.0659418j -0.0115653-0.0330022j -0.0078044+0.0223788j 0.0340584-0.00263891j 0.00778578-0.0979417j -0.0294327+0.0229657j 0.08957+0.0785192j -0.0487004+0.0896383j 
0.100856+0.048813j 0.0258034-0.0173911j 0.0136082+0.0138282j 0.0173569-0.0423404j -0.00658689+0.0159264j -0.0987437-0.017862j -0.0493121+0.0716598j 0.190439+0.0669107j -0.0122464+0.108477j -0.0371627+0.105416j 0.0666673-0.111607j 0.000657445+0.0440573j 0.087105+0.0205492j -0.128416+0.0324202j 0.0283154-0.106301j 0.123645-0.0231365j 0.00271386-0.000570503j -0.0389395+0.0928553j -0.0106659+0.0409217j 0.0632147-0.0609769j -0.0650989-0.00490464j -0.00294827+0.0777321j 0.00264322+0.0450245j 0.0732028-0.0121065j 0.0387874-0.0288189j -0.0376973-0.0141646j 0.0079333-0.0364279j -0.0756123+0.0358969j 0.0622645-0.0228305j 0.0777775-0.014248j 0.0921797-0.0597872j -0.0879748+0.0190008j 0.0779615-0.0358063j 0.00223074-0.000734186j -0.00745687-0.0541265j -0.0356986+0.0030519j 0.131886-0.0562555j -0.0258507-0.0995774j -0.0390796-0.0340515j 0.0429071-0.00826233j -0.0629638-0.0518471j -0.0220257-0.0632479j 0.021005-0.00244301j 0.0409656+0.0110252j 0.0616891+0.0954959j 0.18465-0.0182938j -0.060904-0.0672147j -0.0209167-0.0127982j -0.112973+0.026692j -0.0669055+0.107693j 0.0191546-0.0458848j 0.0313316+0.0186159j 
-0.00312907-0.0132126j -0.0170822+0.0863673j 0.000381116-0.0432018j -0.11295+0.0136187j -0.0163783-0.0258529j 0.0455421+0.0889096j -0.00420344-0.069103j -0.0439945-0.0161167j -0.0015851-0.0758097j 0.120947+0.0175211j -0.00447894+0.142281j 0.147669-0.0113233j -0.0204854-0.0236839j 0.0821105-0.117143j -0.0645852-0.00426993j -0.0460885-0.024862j 0.0355279-0.014974j -0.0402818-0.148492j 0.0506916-0.0539417j -0.00847703-0.0698839j 0.078667-0.0340887j 0.0638444+0.0125572j 0.127721+0.0841047j -0.0329052+0.00122276j -0.0571704+0.0570851j -0.0599861+0.0754865j 0.0304695-0.00954509j -0.10698+0.0140248j -0.0193713-0.0587303j 0.0772601+0.0250683j 0.0763846-0.0735085j -0.0152994-0.0341686j -0.0169791+0.117765j -0.0976287-0.0580199j 0.00437246-0.0493561j 0.0846032-0.0544453j -0.028292+0.0599221j 0.0381148+0.105966j -0.00575814-0.0654778j 0.00415565-0.048391j 0.00429559-0.00662564j 0.0934858-0.104413j 0.0555578+0.00381295j -0.086461-0.11614j 0.0779893+0.0778473j 0.12848+0.0415498j -0.0402545+0.0473617j -0.0942046+0.0854407j -0.0586578+0.114306j -0.0527831+0.0404316j -0.0606397-0.0470233j 0.0785116-0.0337569j 
0.0154538-0.0198733j 0.0249291-0.0054385j -0.06203+0.0318744j -0.0751286-0.0331559j -0.144116+0.000427481j 0.0570259+0.0367325j 0.0139097-0.0428905j 0.0194985+0.00965669j -0.000303515+0.0485954j 0.000144399+0.0241645j -0.0392444-0.0261285j -0.000852455-0.0948059j 0.181614-0.0159778j 0.0161099+0.0308046j 0.0011004-0.0592738j 0.010378-0.106625j 0.00798207-0.0227463j -0.0675223+0.123444j -0.00340614+0.0116863j 0.00124632-0.0331549j -0.0547701-0.12997j -0.146946+0.0578402j 0.0292019+0.0218116j 0.000377491+0.0574851j 0.226781+0.124651j -0.0367603-0.0138022j 0.0628254-0.08509j 0.0634812-0.00714975j -0.0275053+0.0240716j -0.076381-0.0711533j -0.0357125-0.0968715j 0.0369284+0.065086j -0.0363095-0.0493267j -0.000312492-0.0134894j -0.0120316-0.00580236j -0.00956714-0.0397098j 0.0982855+0.0445755j 0.00337329-0.0136133j 0.0826495+0.00778174j -0.0167519-0.0685141j -0.0914782-0.0531269j 0.15855+0.0342818j -0.00488334-0.0223953j 0.000904312-0.0896744j 0.0938099+0.0855529j 0.00735016-0.0585638j 0.0541166-0.0220128j 0.121758-0.127281j 0.207981+0.0229909j 0.124392-0.0168758j 0.0703623-0.171192j 0.0440374-0.0789454j 
