-0.0111808-0.0159973j -0.122751-0.101306j 0.000608676+0.108667j -0.039589+0.0197138j 0.00808869-0.0144283j -0.00362927+0.0332603j 0.015343+0.00109704j -0.0349258-0.0270021j 0.0204923-0.0176072j 0.0367151+0.0481029j -0.00115864+0.0129874j -0.0121879-0.0119788j -0.0658276-0.0160346j 0.0584118-0.00926599j -0.00997346-0.041531j -0.030404-0.0897866j -0.00352823+0.0393813j 0.0262601+0.0960975j 0.0291784-0.0391697j 0.0428656+0.0582933j 0.00832586-0.0326357j 0.00182605-0.0429352j -0.0235916-0.0226238j -0.0304864-0.0428819j -0.0277943-0.0320416j 0.0267217-0.00554867j 0.0299102-0.0485917j 0.0039008-0.019622j -0.0130327-0.00264404j -0.0115808-0.012422j 0.00334283-0.00878281j -0.0261428-0.00925399j -0.00270672+0.0135076j 0.00991696+0.00539432j -0.00302079-0.00612883j 0.00475308+0.00181893j -0.0187132+0.00833956j -0.000174968-0.0270629j -0.0842689-0.050507j -0.00807995-0.0131794j 0.0642308+0.00834672j -0.0222546-0.0413456j 0.102239+0.0201841j 0.0804601+0.00122233j -0.0304442-0.118195j 0.0892251+0.0941108j 0.0992384-0.0456618j -0.0250578+0.00694408j -0.0396844+0.0153032j 0.0385375+0.039677j -0.0456576+0.0210617j -0.0205983+0.00836089j 0.0244218-0.0173679j -0.00552805-0.0448542j -0.0722266-0.0108431j 0.00465175+0.0345069j -0.0358674+0.0674061j 0.0147357+0.0333837j 0.049129-0.0108318j -0.0636679+0.0214567j -0.0199912-0.0650286j 0.10529+0.0150961j -0.164696+0.0504606j -0.254221-0.218401j 0.0574945+0.0506596j -0.0262808+0.0338135j 0.0179794-0.0445773j 0.0221778-0.125241j -0.197246+0.103182j 
-0.120198-0.0885505j 0.0032013+0.0212455j 0.00972793+0.0110451j 0.0595109-0.0532972j -0.00250446+0.0181848j -0.0240897-0.00889j 0.00187133-0.0237051j -0.0142697+0.00314479j 0.0385369+0.0117541j 0.00391946-0.0294182j 0.0152416-0.0178924j -0.00544126+0.0240002j 0.0156386-0.0194375j 0.0881383+0.0672092j -0.00039484-0.064124j 0.0310691+0.0173788j -0.0321337-0.041212j -0.0302437+0.0189333j 0.000824793-0.0204069j -0.0288117-0.0595713j 0.00760309-0.053964j 0.0237936+0.0350112j 0.0119856+0.0315838j 0.006361+0.0219651j -0.013786-0.0278573j 0.00721513+0.00275629j 0.0314341-0.0219105j 0.0329391-0.0117829j 5.89225e-05-0.00528478j 0.0120107+0.00484361j 0.000659372-0.0206245j 0.024382+0.028014j 0.0257827+0.0139094j -0.0234167-0.0634922j -0.00409537-0.0407612j -0.0239032-0.0468874j -0.0136678-0.0174562j 0.0770897+0.00864592j -0.00574912-0.0051403j -0.00658588-0.0440605j 0.0362683+0.0424231j 0.0359073+0.0240538j -0.0750427+0.0742607j -0.0182767+0.078966j 0.128389+0.0309004j -0.103819-0.058769j 0.119558+0.0992645j -0.0020938+0.0108375j 0.0152703-0.0182051j 0.0115306+0.00656405j -0.0117722-0.0309965j -0.00348396-0.0088903j 0.0340608+0.0193317j 0.0334911+0.0274131j 0.0575987+0.0019371j -0.0749065-0.0108327j -0.0919485-0.013003j 0.0158214-0.0234784j -0.0252623-0.0143903j -0.174816-0.135588j 0.0875706+0.101657j -0.019643+0.0837391j -0.141428-0.129018j 0.173121-0.111532j 0.0235114+0.0168247j -0.0333895-0.0161418j 0.164029+0.0977743j 0.167957-0.112796j 0.041197-0.149959j 
0.0427501-0.0782234j 0.0178742-0.0151875j 0.0243613+0.00295017j 0.0149283+0.0952877j 0.104827-0.0336703j -0.0119517-0.0097926j -0.110047+0.075446j 0.0771738+0.159465j -0.0123103+0.0788111j -0.0241836+0.0336811j -0.0463385-0.0255515j 0.106174+0.0755878j -0.0877798+0.121983j -0.0497016-0.0184563j 0.00506039-0.0202545j -0.0466754+0.104519j 0.0638563-0.0243948j -0.0431805-0.0226936j 0.0180994-0.00532562j -0.0517904-0.0767641j 0.0236076-0.010821j -0.0332761-0.0304838j -0.0161314-0.00905742j 0.0333894-0.0072332j 0.0437187-0.06189j 0.0603576+0.0365836j -0.0706117-0.0239365j 0.0511703-0.0739963j 0.083998+0.0260211j 0.0386118+0.0487729j 0.0783223+0.0344775j -0.0701056-0.0490662j -0.00913556-0.00302037j -0.0323433+0.00294801j 0.115949+0.0351632j -0.0346382-0.100058j 0.0341381-0.0477748j 0.0353589-0.0659228j 0.10774+0.103912j 0.01923+0.0745339j -0.0428813+0.0382493j -0.0256543+2.48888e-05j 0.0790934-0.0531308j -0.0165652-0.0461657j 0.0235528+0.00744804j 0.0224806-0.0329766j 0.0786616+0.0234759j -0.00743204-0.018566j 0.00987591+0.0204248j 0.0146136-0.0239647j 0.00777338+0.0349774j 0.0184031+0.0917361j 0.00723974+0.0330339j 0.0105428-0.0151869j -0.0550651-0.00823889j 0.0122607-0.00501664j -0.0604125-0.0226075j -0.0204164+0.00569993j 0.0351375+0.00632559j 0.105274-0.0206687j 0.122018+0.166832j 0.0226581-0.0717899j -0.0560339+0.0299294j -0.021838+0.0230632j -0.0357899-0.0211038j -0.0102964-0.0161435j 0.0317822+0.0304334j 0.0149655-0.0689205j -0.0489602+0.0819588j 
-0.00698287+0.0166108j -0.121617+0.0648319j 0.042108-0.00885728j -0.0535829-0.0431342j 0.0159292+0.0703804j 0.0247199-0.00270293j 0.00742814-0.017581j -0.0548769-0.0329729j -0.0349649-0.0318771j -0.020891+0.0217122j -0.0358536-0.013713j -0.137804-0.0211011j -0.0335263+0.00271326j -0.0786169-0.0910335j 0.0122752-0.010277j -0.00684176-0.00319015j 0.0498081+0.0827607j 0.0721743+0.0379554j -0.0454028+0.100456j 0.0491204+0.0286135j -0.0185538+0.049065j -0.00673127-0.00470441j -0.0491723-0.00854888j -0.0436754-0.00533738j 0.0073131+0.0267363j 0.00837422-0.00439883j -0.06711-0.0332988j 0.00498173+0.0202383j -0.0489735-0.0245575j -0.0214685-0.0114328j 0.0258786-0.00875345j -0.0451859+0.0164548j 0.0206621-0.0745002j 0.0297786+0.00234979j 0.0280578-0.0580148j 0.0670464+0.045429j 0.079436+0.0394191j -0.0604464-0.078049j -0.0923623+0.102267j 0.0651373-0.0496631j -0.110034-0.117121j 0.00192293+0.0969431j 0.0282288-0.00557253j -0.0787132+0.00854477j 0.0375471-0.038153j 0.12408+0.000259807j 0.0344873-0.10498j 0.0495666+0.00922295j -0.0231367+0.0144646j -0.0148231-0.0595188j -0.0286753+0.0296122j -0.0307556-0.004629j -0.0249015-0.0338675j 0.0380905-0.0530715j 0.00967226+0.00668646j 0.0951681+0.104691j 0.0137493+0.0435492j -0.0636317+0.0183121j -0.0167709+0.00563826j 0.0991133+0.0672842j -0.0988345+0.116483j -0.00448491+0.0611886j -0.132719+0.00937341j 0.0957207+0.0086095j -0.0636625-0.0296157j 0.052156+0.0342143j 0.103517+0.0844926j 0.0601029-0.145981j -0.00756443-0.0880773j 
0.0895566-0.00367295j 0.0261051+0.0067309j 0.0717375-0.00578411j 0.0238246-0.0865173j -0.0717075-0.0304924j -0.0150439-0.0404801j 0.105665-0.015411j -0.0242085-0.128661j 0.0704154-0.0417736j -0.00628686-0.0507184j -0.0145883+0.0642089j -0.0138905+0.0228541j 0.0635205-0.0474232j 0.0148892+0.102683j 0.0137181+0.00835958j 0.0162946-0.0736116j -0.0195097+0.0154779j -0.0392866+0.0222064j -0.036267-0.046539j -0.00244472-0.00873184j 0.00992779-0.052367j -0.00483819-0.0579447j 0.0519854+0.017324j -0.0898161-0.0397187j -0.0872928+0.0199696j 0.00192341+0.0262206j 0.00294387-0.0371372j -0.0567563-0.00335895j -0.0468214-0.00711509j -0.0039726-0.00602824j -0.000997835-0.00780669j 0.00404135+0.0947524j -0.0274955-0.107715j 0.00741921-0.041928j -0.00674331+0.0408045j 0.0161795-0.0220615j 0.0857781-0.00458594j -0.0222383+0.0444616j 0.117117+0.0335852j -0.00570505+0.0625479j -0.0737031+0.0457046j 0.0826878+0.0356673j 0.0252506-0.0821654j 0.0336593+0.0507693j 0.0422121+0.0366747j 0.0606237-0.103424j 0.0582874+0.0100453j 0.0158167-0.00483764j 0.022069+0.00199571j -0.0178998-0.0279986j 0.0400311+0.0144506j 0.013135-0.0347176j -0.0286291-0.0536053j -0.039106-0.00499061j -0.0565205-0.000388621j 0.0329588-0.0224765j -0.0807164-0.0214335j 0.0312405+0.0203873j 0.078005+0.0154769j 0.17209-0.0643316j 0.123853+0.153917j 0.0499685-0.130128j -0.0633922+0.0725761j 0.027044-0.000498385j -0.0419967-0.0353068j 0.000157092-0.0372973j 0.053514-0.0206408j 0.0123281-0.0481759j -0.0565771+0.131101j 
0.0217982+0.00645276j 0.012797-0.015903j -0.051926+0.00418622j 0.00458902-0.0327029j 0.0457717+0.0684646j -0.0286815-0.0440385j 0.0203946-0.00957667j 0.0111046-0.098237j 0.0147618+0.0711575j 0.0647063+0.00101141j 0.138784+0.0952141j 0.0366838+0.039997j -0.136847+0.0416825j 0.166549+0.202959j 0.0677895-0.024703j -0.0247895+0.0167568j -0.0495536+0.0111775j 0.0778762-0.0122761j 0.044761+0.086284j -0.0539711+0.00842749j -0.0424838-0.00736556j -0.0157083-0.00202727j -0.00442425+0.0462056j -0.0165954+0.0121132j -0.0606324-0.0647707j -0.00306684+0.0245934j -0.0632799-0.116557j -0.00130172-0.0199737j 0.00818809+0.0555626j -0.0101013+0.0663245j -0.0175976+0.0284495j 0.0147416-0.0263608j -0.00120246-0.00461984j -0.0923892-0.0598092j -0.0573674-0.0725895j 0.0370386-0.0170991j 0.0118495-0.0458254j -0.0695282+0.0711151j 0.0687689+0.129406j 0.059631-0.0386623j 0.0595341-0.0700215j -0.00975106-0.0135426j -0.048365-0.017573j 0.0173985-0.0214j -0.0671445-0.0820037j 0.123917-0.0634067j 0.0950167-0.0223127j 0.018001-0.0363073j -0.053816-0.00801862j 0.0419846+0.0319889j 0.00396113+0.00594816j 0.0676805+0.0322868j 0.0303892-0.0154323j -0.0299309-0.0398287j -0.0639794-0.0371283j -0.0868945-0.0520687j -0.0881089-0.0624095j -0.0587574-0.017669j 0.034748-0.019216j -0.00595654-0.0350188j 0.11606+0.117479j -0.0060063+0.00505461j 0.00851258-0.0361549j -0.160359-0.00902729j -0.0196549-0.0343476j -0.0162862+0.0193194j -0.0801724+0.117564j 0.0347274-0.0416865j -0.00441114+0.137003j 
-0.0157064-0.00275918j -0.058981+0.0675086j -0.0447359+0.0510586j -0.0124758+0.0835269j 0.00628179+0.00295593j 0.0184264+0.028936j 0.0631751+0.0152531j -0.0222702-0.0116745j 0.00730634-0.0562054j 0.130718+0.142891j -0.0784962-0.0649729j -0.04097-0.135092j -0.0513538-0.146203j 0.055146-0.0587569j -0.00456887+0.0463452j 0.0396595-0.0729125j -0.0401726+0.00282146j 0.0223941-0.0341314j 0.0237441+0.00280771j 0.00839308-0.083511j -0.0561828+0.0753698j 0.0174031-0.0248688j 0.0545444+0.0328695j 0.00300228-0.0174729j 0.0209687-0.0140442j -0.039918-0.0161323j -0.0369485-0.00787724j 0.0170611+0.0703373j -0.0231891-0.0203591j -0.0408729-0.0262973j -0.11128-0.0131932j -0.0262405-0.0817263j -0.0781386-0.0109245j -0.00407518-0.060709j -0.0581165-0.115326j 0.00251447+0.0685096j -0.0477853+0.071998j -0.028347-0.0296149j -0.0208028-0.0556043j -0.00840807+0.0631076j 0.100149+0.0201525j -0.058638+0.0103756j 0.0933943+0.00906909j 0.0780167+0.0169317j 0.0203748-0.0124782j 0.0374812+0.00153624j 0.0380605-0.0172879j -0.0200099-0.0157082j -0.0076498-0.0208895j 0.10377-0.0153078j 0.00491452-0.00422827j 0.00455117-0.0676409j -0.0100936-0.0275877j 0.0973637+0.0636735j -0.0680502-0.0716826j -0.0324077+0.0411879j -0.0728914-0.10845j -0.0174439-0.107722j -0.012419+0.0115959j 0.038298+0.0300775j 0.103624+0.09576j 0.0497497-0.063326j 0.0690862+0.00318964j 0.0690759+0.136603j -0.0983513-0.0400335j -0.0237805-0.0246604j -0.0610882+0.00648008j -0.0631891-0.00184946j 0.0419822-0.0597582j 
0.010854+0.0193414j 0.044764-0.038185j 0.030554-0.0352547j -0.0975767+1.43194e-05j -0.0273311-0.0837482j 0.00746587+0.0396566j 0.0346464+0.0351517j -0.0539753-0.0355474j 0.17906+0.065813j 0.108852+0.0599952j 0.00602796+0.05858j 0.00711535-0.0190301j 0.0090739-0.0815505j -0.0264895+0.0739577j -0.0455958-0.0486162j 0.0313806-0.00619331j 0.0288976+0.0252304j -0.0501319+0.0346328j 0.0418466+0.0515636j 0.0294941+0.0283973j -0.0172887-0.0150372j -0.0893414+0.0311413j 0.0286989+0.0160291j 0.00543048+0.061596j -0.114639-0.0102522j 0.052822+0.0288736j 0.0677623+0.0667098j -0.0564318+0.0148005j 0.0236952-0.0428238j -0.0126083-0.131469j -0.0671556-0.0468309j -0.0359511+0.0850449j 0.0584825-0.0333577j -0.0960378-0.0765166j 0.0179283-0.0502773j -0.102768-0.100137j 0.022118+0.00875439j 0.029759-0.0304471j 0.115829-0.0423138j 0.153447+0.0610456j 0.00838557+0.0272604j -0.0148904+0.0401782j 0.0933301-0.113016j 0.124592-0.033261j -0.0435957+0.0683618j 0.0308401+0.0917543j -0.125786+0.0108784j -0.00480883+0.0352417j -0.0106328+0.0259114j -0.00272732+0.0492086j 0.0541317+0.0220267j -0.035032+0.00879952j -0.0676956-0.0155906j 0.00294976-0.0696059j -0.0316714+0.00602407j 0.0852762+0.000355366j -0.0185641+0.0234915j -0.00935476+0.0598678j 0.0634298+0.0438352j -0.0519112-0.0462364j -0.0429087-0.028651j -0.0235054+0.0482866j 0.0452281-0.10378j -0.0228184-0.0239871j -0.0149787-0.0137706j -0.00131335-0.00539807j -0.0785666+0.0380637j -0.0863984+0.158577j -0.058548-0.0714889j 
0.0263218-0.0405932j 0.0178253-0.0154742j 0.0467765-0.0145691j 0.00901016+0.0277604j -0.0984942+0.00430041j -0.0826965-0.0216475j -0.0382139-0.0650842j 0.0408292-0.0437697j 0.023073+0.0129645j -0.0167077+0.0723328j 0.0147497+0.0612578j -0.00119397-0.115591j 0.113703+0.0046283j -0.166027-0.180696j 0.0167995+0.0219631j 0.0337332-0.00986706j 0.139742+0.0441575j -0.0397607-0.0412939j 0.0139312+0.00434054j -0.0396654-0.036469j 0.00195624+0.0121637j -0.00202409+0.0186583j 0.042267+0.0613888j 0.0336976+0.00983488j -0.00558007+0.0199519j 0.0241981+0.0172825j 0.0215789+0.0283861j -0.0207053-0.00240673j -0.0140695+0.0436753j -0.0807235-0.0109948j -0.060517-0.0347436j 0.000388545-0.0203005j 0.0323453+0.0427775j 0.0187848+0.137089j -0.0778476+0.0405431j 0.0143888+0.0511729j 0.0578148+0.0716684j -0.00953503+0.0822335j -0.0084111-0.0229136j -0.0790444-0.0822961j -0.0719665-0.0797043j 0.0323909-0.0171733j -0.0442+0.000304939j -0.0473852-0.00741044j 0.0245293+0.00781361j 0.00208512-0.00111911j 0.00504403-0.00584019j -0.00433114-0.0401259j 0.0217776+0.00325853j 0.0464841+0.023087j 0.0229706+0.00596693j -0.00611062+0.0187734j -0.00190337-0.0399946j 0.00181739-0.0105695j -0.024582+0.0176741j -0.0118536-0.0396939j -0.0130471+0.0151083j -0.0565864+0.0263085j -0.0174277+0.0335745j -0.0174492+0.0116981j 0.0582532+0.0427567j 0.0307513+0.00779701j -0.0568468-0.0262872j 0.0127479-0.0296337j -0.00160653-0.00480452j -0.00967216-0.0123905j 0.0811223+0.090903j 0.0439721-0.0461989j 0.0285708+0.019472j 
0.00978913-0.0502529j -0.015637-0.0647183j -0.0197794-0.0695906j 0.0157085+0.0362976j 0.0504544-0.0444764j -0.122422-0.0183228j 0.141191+0.0259835j 0.0656368+0.0897314j 0.0114333-0.0961149j -0.231089+0.0274086j 0.0395466-0.0218206j 0.106709+0.0409156j 0.139336-0.065683j 0.0549869+0.0775577j -0.0512528-0.0433792j 0.136069+0.0101588j -0.0345985-0.0186803j -0.0298419+0.0507268j -0.0237293+0.0391368j 0.04674-0.0395277j -0.0162838+0.0572938j -0.0465647-0.0395757j -0.0590924+0.0193082j -0.0353415-0.0756108j -0.11667-0.0507127j -0.0454747-0.0625879j -0.0698289-0.0207233j -0.0761303+0.154324j -0.125297-0.0330467j 0.0396255+0.115492j 0.0273452-0.058856j -0.0251344+0.0684071j 0.0680203+0.0236519j -0.0949165+0.0215328j -0.0644208+0.0666315j -0.0634149+0.0364619j -0.0546777-0.0914017j -0.137013+0.00427919j -0.0240965-0.0127651j 0.0564198-0.0707577j -0.0721459+0.00199953j 0.00861083-0.0521626j 0.0814375+0.0334514j -0.0904208+0.00230064j -0.0211372+0.0109527j -0.0429883+0.000101716j 0.0449228-0.02518j 0.00358948+0.0103975j 0.0197156+0.0157244j 0.00393028+0.00743179j 0.0220161+0.0144531j -0.0391546+0.00680054j -0.0298427+0.0271113j 0.0127496-0.0456453j 0.0057828-0.0235887j 0.0619885+0.0309533j -0.0212306-0.026134j -0.00261352+0.0368201j -0.0308869-0.0538705j 0.0158208-0.0491129j -0.0447156-0.00964948j 0.00459345+0.0229512j -0.0128789+0.00811683j -0.0159004+0.0714506j -0.00800849+0.0106828j 0.0247246+0.0134945j 0.0424328+0.0191452j -0.0979549-0.0397841j 0.0323539-0.0255813j 
-0.0247895+0.0052885j -0.0126466+0.0521883j -0.0313486-0.00283766j 0.0131942+0.0551063j -0.0819467+0.0587614j 0.0212119+0.0352823j -0.0272991-0.00909444j -0.00431188+0.0550618j 0.114529+0.0376068j -0.0976828-0.0998991j 0.0812533+0.0519948j 0.0921171+0.0727935j 0.265008-0.0174753j -0.0511363+0.00751136j -0.00914116-0.0577685j 0.0888863-0.0209979j -0.00582037-0.00483565j -0.000840421-0.0191914j -0.0478273+0.00700235j -0.0179472+0.00435771j -0.00577439+0.00364518j 0.0449024+0.065417j -0.0393814+0.0330496j -0.116132-0.0802682j 0.0804501-0.0590184j -0.0535045+0.0233175j -0.00115103-0.0323731j -0.0112658-0.0433749j 0.0738124+0.0450106j -0.0683119+0.0295586j -0.000201987+0.121547j 0.0680742-0.0289739j -0.0937378-0.0572266j 0.0110458-0.0195506j 0.0940314+0.0391672j -0.135158-0.0773517j 0.0113046-0.0138731j 0.023271-0.0334478j 0.0408931+0.0730666j 0.0110292+0.0169668j -0.0120575-0.0627899j -0.00081757+0.0695732j -0.0493705+0.0713844j -0.0908626+0.050259j 0.0212002-0.0630423j 0.037072+0.00344244j -0.0327747-0.0384248j 0.0152902+0.0317075j 0.0162671-0.0202511j -0.0529337-0.043706j -0.00621191-0.0306403j 0.0402909+0.0064196j -0.0353505+0.0227313j 0.0531923+0.0112634j 0.02828+0.00627812j -0.00365199+0.0354731j 0.0132665-0.00313921j 0.0521189+0.00124514j -0.00302486-0.0108177j -0.0106502+0.0717924j -0.0210151-0.0151283j -0.034392+0.0297518j -0.00416669+0.013003j 0.0087614-0.00135236j -0.0430703-0.0241197j 0.0243845-0.0220487j 0.00639795-0.0271361j 0.00744392-0.0561115j 0.0167295-0.0606634j 
