-0.00768445+0.0298196j -0.0461223+0.0254055j 0.0337224+0.073149j -0.0773974-0.0412785j -0.00246196-0.0603485j -0.00659671-0.0417794j -0.0306468+0.0901634j -0.028334-0.14761j 0.0762817+0.0578785j 0.0856172-0.00767845j 0.118667-0.141464j -0.106311+0.0136823j -0.0616023+0.0458748j -0.00210347+0.15027j -0.0830608-0.134451j -0.0585049-0.0287073j -0.150206-0.0752332j -0.0728137-0.000587459j 0.0327549+0.230567j 0.264274-0.0335402j 0.030714+0.109772j -0.101262+0.121299j 
-0.0593911+0.0337021j 0.0190745-0.0280247j 0.0670055+0.0410268j 0.0851383+0.0899845j -0.0153345+0.00773736j -0.00200751-0.14896j 0.0301905-0.0766189j -0.0245573+0.0340742j 0.0452374-0.027458j 0.0151249+0.130318j -0.00656397+0.0309684j 0.0815635+0.0220745j -0.0909547-0.0914574j -0.070499+0.135945j 0.236051-0.0307992j 0.00654212-0.0282724j -0.0740028-0.00478412j 0.0485191+0.0956909j 0.254667-0.0587264j -0.0107779-0.206819j 0.0827906-0.125382j 0.0411251+0.0890187j 
-0.0184844+0.0683799j -0.0262037+0.0710809j 0.0434473+0.0734229j -0.0736258+0.0379213j 0.0973515+0.105962j 0.0133124-0.0117644j 0.183175-0.107992j -0.140691+0.0758598j 0.0426072+0.0796677j -0.0572816+0.0790107j 0.198028-0.0816549j 0.136301-0.0372629j -0.147739+0.236584j 0.188338-0.0174664j -0.0758242-0.146058j 0.314234+0.104517j 0.0962097+0.268328j -0.0171339-0.29848j -0.0735963+0.138394j 0.00167638+0.00510192j -0.015061-0.0174698j 0.0423927+0.0260044j 
0.0104878-0.0514442j 0.024871-0.00513797j -0.083493-0.0309429j 0.0671441-0.0532808j 0.150337+0.118902j -0.230683-0.0277663j 0.122097-0.13931j 0.125802+0.158871j 0.0957632+0.132326j -0.314125-0.260192j -0.128047-0.0636767j -0.274504-0.00680298j 0.169134-0.312806j 0.0692589-0.00938379j -0.166619+0.0318854j 0.141157+0.139736j -0.247192+0.0763244j 0.134725-0.177678j -0.00324734-0.0339494j -0.120103-0.0243962j 0.0391478+0.0144058j -0.00553797-0.0717892j 
-0.0225781+0.0231382j -0.0295308-0.0236112j 0.105001-0.00195261j 0.076876+0.0349394j 0.000178802-0.0833962j -0.0498157-0.0905287j -0.0199495-0.00646014j 0.00152125+0.0128511j 0.144636+0.154061j -0.0484953+0.0538552j -1.62383e-05-0.174094j -0.102011+0.00667688j -0.163419-0.213088j -0.12247+0.312754j 0.0605386-0.24999j -0.0919261-0.108876j -0.164182-0.122553j -0.0654887+0.0190113j 0.252834+0.118813j 0.114899-0.172159j 0.0459384-0.0131113j 0.00362495+0.0488533j 
-0.0721082-0.0177762j 0.0384803+0.0447711j -0.108754+0.137676j -0.0848712+0.0280728j -0.00930055+0.154243j -0.0484799-0.213389j 0.114775-0.0414341j -0.0341403-0.17673j 0.0449937-0.257926j 0.185724-0.0747891j -0.0449421+0.160771j 0.0933109+0.00579833j 0.255737-0.0284163j -0.0151688-0.162108j 0.212361+0.322436j 0.0491801+0.0964912j -0.0790421-0.0137658j 0.0887391+0.0780413j -0.0224052-0.0463675j 0.0458551-0.0401628j -0.00241064-0.0337717j 0.0370114+0.045043j 
-0.0571668+0.00697656j 0.033594+0.00480161j -0.040425-0.0329518j 0.110397-0.0796224j -0.0355535-0.119779j 0.0518361+0.00675814j -0.0869166-0.0291936j -0.176174+0.284074j -0.129392-0.0350509j -0.092484+0.0680772j -0.202804+0.00447207j 0.290562+0.033226j -0.0487086-0.0798547j -0.110024+0.106647j 0.286804+0.132096j -0.0729908-0.0676094j 0.109516+0.0878012j -0.0183846+0.116941j 0.077978-0.203713j -0.217282-0.101486j -0.0106041-0.0615656j 0.0661911-0.0534245j 
0.0445039+0.0566746j 0.0309351-0.110302j 0.237178-0.117876j 0.153307+0.326017j -0.0785292+0.243945j -0.0673686-0.0247425j 0.119275-0.0943848j 0.335084-0.230266j 0.107994-0.0862406j 0.111807+0.200861j 0.195261+0.226191j -0.12835+0.0747682j 0.0152232-0.0850006j 0.0997268-0.190444j 0.0823408-0.0674485j 0.0686318-0.058655j 0.0260336-0.0267094j 0.0930487+0.0152073j 0.16835-0.0842373j -0.0287141-0.0807478j -0.0852716-0.0757762j -0.0262248+0.000170478j 
-0.0568464-0.0470061j -0.0686529+0.0551071j -0.131556-0.10536j 0.192188-0.045933j 0.0450348+0.155316j 0.244653-0.247735j 0.249698-0.129443j -0.0105589+0.0929195j 0.190099+0.239843j -0.014063+0.29879j 0.144267-0.126086j 0.245704+0.00565268j -0.0308288+0.0813729j -0.107063+0.0910378j 0.102057+0.0528422j 0.128696+0.113109j 0.06578-0.0606463j 0.0436878-0.127559j 0.0592459+0.0529076j -0.0128135-0.0283539j 0.0102835-0.0524513j 0.0097219+0.0197762j 
0.0403812-0.0855092j -0.0362405-0.0736797j -0.117322-0.189516j 0.204747-0.0903647j -0.0153532+0.0182268j 0.116787-0.0321153j -0.0509965+0.0253155j 0.213263+0.0429203j 0.0736184+0.145748j -0.0570308+0.0718508j -0.0978869-0.0357044j -0.0938341+0.00832083j 0.0804241-0.123003j -0.129046-0.0338021j -0.074911+0.089258j -0.0966576-0.0878919j 0.00689147-0.200119j -0.0114058+0.0579607j 0.025845-0.0972125j -0.0557932+0.0886291j 0.0138914+0.0324954j -0.0831301-0.0263701j 
0.033316+0.0342531j 0.00654742-0.0201553j 0.0999596+0.000997188j -0.0215027+0.0523313j -0.0478073-0.0953638j -0.0157779+0.0964581j -0.109494+0.0589431j 0.0232495-0.0639722j -0.0356514-0.073082j 0.0161829+0.000824294j 0.0350555-0.00108388j -0.0340922-0.0147343j -0.0734454+0.0380899j -0.0409774+0.0141084j 0.0236014-0.0824777j -0.101103-0.0460409j 0.0068465-0.0317372j -0.0245961+0.08697j 0.023719+0.00413851j 0.0454953-0.0170571j -0.0117454+0.018278j -0.0118583+0.00180488j 
