-0.145289+0.17239j -0.176545-0.152311j -0.0727967+0.166789j 0.181459+0.065739j 0.0941777-0.125278j 0.0374435-0.0795278j -0.116448-0.167786j 0.174225-0.106771j 0.0337887+0.00935553j -0.181579-0.156145j 0.0511489-0.117982j 0.0274765+0.00632411j 0.0509438+0.169729j -0.0821098+0.0109511j 0.0347373+0.0345247j -0.115363+0.00439061j 0.0711728+0.0178933j -0.158115+0.246259j -0.0160106+0.147366j 0.0621334+0.10055j 0.147142-0.0593362j -0.177095-0.00538924j 0.0745425-0.0218859j -0.111013-0.0915025j 0.0610951+0.0904522j 0.0224225-0.016985j 0.247169+0.073803j -0.0336628+0.227166j 0.0622327-0.152128j -0.17174-0.0684158j -0.0870617-0.268383j -0.275539+0.0918598j -0.0679862+0.0999746j -0.0949828-0.0739088j -0.0516491+0.029896j -0.00790662+0.0130163j -0.0329178+0.061296j 0.074402+0.0399109j 0.00362486-0.0530396j 0.0202832+0.00896435j -0.0178838+0.00117026j 0.00282122+0.00480874j 0.020724-0.0202356j 0.0128631-0.0327934j 0.00852622+0.0149815j -0.0239916-0.0153373j -0.00963727+0.00963723j 0.0208778+0.0207586j -0.00951541+0.00103076j 0.00781835-0.01645j 0.0176621+0.0131987j -0.0260833+0.0229805j 0.0325528-0.011271j -0.0191572+0.00737642j -0.0049276-0.0276944j -0.00724607+0.00996998j -0.00371861+0.0127293j -0.00917039+0.00834961j -0.0301278-0.0241104j -0.0128328-0.0115014j 0.0135975+0.0109081j 0.0172319-0.0283794j 0.0166501+0.0188722j -0.0153833+0.00581778j -0.00784989-0.000163689j -0.000169319-0.0289748j 0.025292-0.00989875j 0.00571975+0.00355404j 0.0266144+0.00141707j 0.00395911+0.0287866j 0.0668556-0.012045j -0.00949251-0.0656846j 
0.0557644+0.122207j -0.122917+0.053484j -0.222215-0.117857j -0.130608+0.229252j 0.0188497+0.0741066j -0.0665712+0.22989j 0.230847+0.13472j -0.0662795+0.0260573j 0.046063+0.0199383j -0.2008+0.0705876j 0.0914314-0.0573804j -0.107467+0.0988802j 0.108837-0.026109j 0.0700669-0.0733294j 0.118941+0.0995455j -0.00996743-0.0753778j -0.0721274+0.0252005j 0.106212+0.135319j -0.143283-0.0269876j 0.0112203+0.119999j -0.084225-0.0431269j 0.0247517+0.0605676j -0.0488659-0.162249j -0.174822+0.170336j -0.0555409-0.176104j 0.21275+0.10344j -0.134929+0.28566j -0.210888-0.0824391j 0.10601-0.00451738j -0.00845724-0.116917j -0.255813-0.0512382j -0.0516391+0.254625j 0.0327265-0.102392j 0.10764+0.0299262j 0.0197952-0.0511644j -0.015128-0.0535211j -0.053787-0.0307788j -0.0467236+0.0296315j -0.0104782+0.010188j 0.0355058+0.00209812j -0.0261023+0.0195077j 0.00785934-0.00398037j -0.0227578-0.0118084j -0.0157785-0.0215468j -0.0201818-0.0049788j 0.00666254-0.00622366j -0.00570997+0.0305611j 0.00332488+0.013438j -0.00499631+0.0178666j -0.00730396-0.0201478j -0.00964052-0.0253085j -0.0193436-0.00680344j 0.00670837-0.0129947j -0.00883717+0.00589093j 0.00948662-0.0106221j -0.021687-0.00335063j -0.00800471-0.0105238j 0.008078-0.0161941j -0.0236592+0.00448006j -0.00630806+0.0169955j 0.00277446+0.0141891j 0.00322881+0.0067484j 0.015255+0.0151033j 0.010131-0.0102592j 0.00887186-0.00930067j 0.00306856+0.0144026j -0.0182185-0.00661727j 0.0121384-0.0119637j 0.0124671+0.0316169j -0.0298467+0.0140186j 0.0106871-0.028997j -0.0283113-0.00989629j 
-0.0453723+0.111247j -0.112643-0.0498787j -0.00108666+0.124694j 0.109092-0.00220929j -0.0118821+0.0206773j -0.0267649-0.00024557j 0.00806567+0.0740058j -0.0719803+0.00901699j -0.014729-0.0257087j 0.0171619+0.0273615j -0.0181552+0.00917905j 0.00373287-0.00056214j 0.0106468-0.00993767j 0.0118385-0.011397j 1.18042e-05-0.0214513j 0.0317533+0.0105562j -0.025675+0.0100165j -0.00322205-0.060081j 0.00870407-0.0360249j -0.00817606-0.0141374j 0.00349362+0.014434j 0.0373786-0.00836512j -0.0318416+0.00802422j 0.0489976+0.012108j -0.0241042+0.000782815j 0.00741259+0.00893386j -0.0789526+0.0157202j -0.0248098-0.0611464j -0.0898765-0.00160315j 0.0137214+0.0836453j 0.102142+0.0452754j 0.0522921-0.0972876j 0.155467-0.158934j 0.141985+0.167552j -0.00193578-0.0207812j 0.0105344+0.0178417j -0.089358+0.0701825j 0.130966+0.0643095j 0.058468-0.12656j -0.0838795+0.0694212j -0.0375359-0.0678575j 0.0948697-0.0622041j 0.0780291+0.0496021j 0.101879-0.0161475j -0.0307725-0.0426216j -0.0694924-0.0472817j 0.0577999+0.0662173j 0.0558747+0.134105j -0.0732731-0.0569005j -0.00298918+0.0507107j 0.0885173+0.0161341j -0.107868+0.016632j 0.0309908-0.0183876j -0.041011+0.0230157j 0.0381989-0.112467j -0.065618+0.0774071j 0.1285-0.014448j -0.0472689+0.091884j -0.00942845-0.0766143j -0.0560853-0.0171937j 0.0945831+0.0326778j 2.76153e-06-0.0290929j 0.055124+0.0316063j 0.0616492+0.114319j 0.0703612-0.143291j 0.0486913+0.00891766j 0.00913952-0.102782j 0.0973066-0.00757693j 0.184305-0.0995354j 0.120949+0.198705j 0.193827-0.0199116j -0.0127719-0.193038j 
0.0891777+0.0831919j -0.0820446+0.087821j -0.0365325-0.0129563j -0.0183976+0.00913432j -0.0939056+0.0363758j 0.0755144+0.0558566j -0.00521881-0.0654734j 0.0187983-0.0581573j 0.0242252-0.0447412j 0.0134496-0.0208j 0.0394152+0.0199217j 0.0294398-0.0188928j -0.0236001+0.00822252j -0.00471159-0.022067j -0.0131579-0.0102259j 0.0056135+0.0062887j 0.00226629+0.000730657j -0.0237296-0.0103492j 0.0186897-0.010434j 0.00866456-0.0255077j -0.0159034+0.0236822j -0.00648356-0.00841204j 0.00086051+0.0481204j 0.0283823-0.0136864j 0.0381843+0.00352097j -0.0011723+0.0140806j 0.019662+0.00831353j -0.0299743+0.0175688j -0.0598214+0.0771523j 0.0810977+0.0649611j 0.0735744-0.0167121j -0.0187652-0.0674823j 0.0208331+0.0584315j -0.0571506-0.00332908j -0.166429-0.00328441j 0.0948676+0.271975j 0.104071-0.193887j -0.16902+0.110613j 0.150698-0.0317266j 0.105879-0.0266871j 0.00934976+0.115519j 0.0665793+0.0440022j -0.034812-0.108291j -0.149471-0.0826293j -0.0789315-0.163169j -0.134164+0.0728494j -0.0375154-0.0110702j 0.0172083+0.00101267j -0.00569216+0.0390285j 0.0107609-0.0312399j 0.0403658-0.061606j -0.0179353-0.0765777j -0.0873893-0.0410594j -0.140172+0.0753284j 0.0446846-0.0646147j 0.084106+0.00221793j -0.0721232-0.0852771j 0.0831191-0.0332652j -0.147853+0.0818088j -0.0904124+0.0875765j -0.00721598-0.0547589j 0.0897559-0.0415118j 0.0878707+0.234846j 0.0411773+0.0355044j 0.196767+0.0235146j 0.10655+0.0825177j 0.0358882+0.161815j -0.116568+0.0687995j 0.0960083+0.121138j -0.143993+0.110782j 0.0291881-0.19183j -0.189211-0.026251j 
-0.0796574+0.0354486j -0.0361814-0.0797114j 0.0893473-0.0462177j -0.0552337-0.0753674j 0.0202222+0.064239j 0.0652912-0.0219047j -0.00741816-0.0404695j -0.0325198-0.02385j 0.0560043-0.0097083j -0.0116727+0.0587018j 0.0130818+0.028119j 0.00695779+0.0277346j -0.00400053+0.0265441j -0.0101793-0.0196733j 0.0261645+0.00921493j -0.00570989-0.0048977j -0.0105546+0.0157539j 0.00422242+0.0144839j -0.0109339+0.0081994j 0.0285643+0.0164383j -0.0139462+0.00924177j 0.00920472-0.0227266j 0.019685-0.0184203j -0.00602902+0.0180677j -0.025982-0.0051626j -0.00398691+0.00413454j -0.0366563-0.0001674j 0.00367657-0.0341461j -0.0300595-0.074127j -0.0789303+0.0281513j -0.0606173+0.0692859j 0.0730945+0.0562927j -0.144921-0.0960835j 0.0861316-0.148239j -0.0548529+0.122475j 0.208611+0.031873j 0.0130666-0.129264j 0.0306906+0.0478896j 0.174804-0.0846748j 0.0330704+0.226577j -0.0801607+0.0944656j 0.0134715+0.15388j 0.0337165-0.00162504j -0.00328678+0.117024j 0.109135-0.0576309j 0.0789909-0.00503749j -0.150076-0.0431129j 0.0246065-0.0125781j -0.163659-0.0330742j -0.112641+0.00949325j 0.011352+0.0309407j 0.0565625+0.0450975j -0.084155+0.0147836j -0.09606-0.0305856j 0.00567654+0.0514641j 0.133894-0.0428612j 0.0279169+0.0417824j -0.00669572+0.16153j 0.154823+0.064753j 0.0230688-0.0529531j 0.082094-0.173778j 0.0288259+0.194326j -0.0541584+0.0971427j 0.242742+0.0576554j -0.0557108-0.136452j -0.0148836-0.241663j 0.276532-0.117253j 0.127831+0.188995j -0.150445+0.105334j -0.0907652-0.137311j 0.0718818+0.0125206j 0.0119205-0.0731785j 
0.0451978-0.060166j 0.0605428+0.0497052j 0.0139304-0.0731728j -0.0681761-0.00955908j -0.00685453-0.0011484j 0.0165827+0.0171071j 0.0111942-0.0332802j 0.0281292+0.00632533j 0.00362878+0.00828594j 0.00165643-0.00967809j 0.0141898+0.00783616j 0.00429661-0.00599757j -0.0158439-0.00360325j -0.00123908+0.00715054j -0.00745561+0.00611193j -0.0122712-0.00722757j 0.0107712-0.0076831j 0.00832918+0.0156029j -3.56111e-05+0.00767329j -0.000813617+0.00102117j -0.00963427+0.00354488j -0.010111+0.00634008j 0.00922077+0.00270866j -0.0158357-0.000651944j 0.0131248-0.00400601j -0.00564835-0.00175783j 0.0275634-0.011807j 0.0137197+0.0244616j 0.0347468+0.022439j 0.0130909-0.0268696j -0.0389004-0.0158177j -0.0154877+0.0320866j -0.0816723+0.0659113j -0.0537663-0.0921163j 0.00776617+0.0199892j -0.0109523+0.0113341j 0.0991856-0.0341393j -0.0729594-0.0541621j -0.037203+0.0726968j 0.0737521-0.0622104j 0.0411605+0.0645097j -0.0655672+0.0534833j -0.0503137-0.0601643j -0.0904967+0.0150836j -0.00935034+0.0183191j 0.0267629+0.0554136j -0.0397117-0.0568557j -0.0183532-0.116428j 0.047657+0.0488784j 0.00952303-0.0301269j -0.0678884-0.0245428j 0.0769947-0.0271761j -0.0378946+0.0133102j 0.00874134-0.00144j -0.014922+0.0725968j 0.0484763-0.0387015j -0.104711+0.0034187j 0.0446444-0.0675469j -0.00409436+0.0472328j 0.0351922+0.025969j -0.0764447-0.00903186j -0.000197693+0.0274256j -0.03306-0.00134756j -0.0575532-0.0701298j -0.000374149+0.094078j -0.02218+0.0289422j 0.017846+0.0808814j -0.0465793+0.0404108j -0.0784083+0.0813561j -0.103863-0.0798725j -0.107816+0.0161389j 0.00954935+0.102672j 
-0.00896449-0.0521433j 0.050725-0.00798225j 0.0342282-0.0244766j -0.0241036-0.025696j 0.0296717-0.00797424j -0.00773759-0.020521j -0.00239489-0.00188624j 0.00789976+0.0209442j -0.00605782+0.0204652j 0.00218082+0.0111185j -0.009494-0.010009j -0.0111127+0.00112959j 0.00241322-0.000348832j 0.00466387+0.00921055j -0.00160954+0.00729263j -0.00796568+0.001767j 0.00346361-0.00364786j 0.0139581+0.00293685j -0.00289896+0.00442298j 0.00398667+0.00621588j 0.00493873-0.00966092j 0.00410411+0.000722817j 0.0073975-0.0113799j -0.00925375+0.00023996j -0.0068063-8.03474e-05j -0.0126196-0.00903442j 0.00716906-0.0111888j 0.0107119-4.26305e-05j 0.0287113-0.0157543j -0.0237064-0.0284404j -0.0351795-0.000592697j 0.00550533+0.0335994j -0.0463886-0.00758098j 0.0109382-0.041599j 0.0388469+0.0393148j 0.00470261-0.0905237j -0.0104052+0.0394437j 0.0310919-0.0457377j -0.0567895+0.0367934j -0.0185469+0.0192134j 0.0228616-0.00707473j -0.0538308-0.0379845j -0.00980923+0.0524571j 0.0349262+0.0359626j 0.0482693+0.0647368j 0.0842572-0.0178166j 0.0011254-0.0184336j -0.00876019-0.0319098j 0.0046981-0.01237j -0.012144-0.00397483j -0.0340387+0.0283618j 0.0183152+0.0284432j 0.0361536+0.0264408j 0.0573465-0.031535j -0.0207885+0.0711162j -0.008003-0.0388826j 0.00355203+0.0481208j -0.0372314-0.00228854j 0.0743991-3.4832e-05j 0.0516571-0.0494891j -0.0285454-0.00212617j -0.0393919+0.0433148j -0.0631531-0.0805729j -0.00535614-0.0330575j -0.0684582+0.0348052j -0.0792715-0.0201788j -0.0102131-0.0297171j 0.000406447+0.001418j -0.0598625-0.00619893j 0.0034543-0.0765202j -0.0258854+0.0599157j 0.0599841+0.0225238j 
0.00688318-0.00433277j 0.00257271+0.00567264j 0.00612484-0.0054369j -0.00576239-0.00646284j 0.00824595-0.00718475j 0.00821121-0.000721444j -0.0100945-0.0106251j 0.00669714+0.00543779j 0.0041316+0.00695551j -0.0125095-0.00149828j -0.00643276-0.00849488j 0.00875167+0.00662759j 0.000837158+0.00652639j 0.00957859+0.00103177j 0.00184947-0.00855556j -0.00229294+0.012796j -0.00276684-0.00215776j -0.00329723+0.00205839j -0.00566511+0.00807359j 0.00763268-0.00614615j 0.00237345-0.0102958j 0.00855187-0.00539538j 0.00307038-0.00334419j 0.0114204-0.00824274j 0.00541128-0.00532889j -0.00544999-0.0123774j 0.00101302+0.010161j -0.0113211-0.0141285j 0.00455749-0.0061024j -0.0078056-0.00200732j 0.00649202-0.00977213j -0.00522879-0.00378695j 0.0123711-0.0129621j 0.0120946+0.011307j -0.0126287+0.0147887j 0.0160354-0.00407211j -0.0187491-0.00188614j 0.00984051+0.0178401j -0.0229719+0.00412038j -0.0142324-0.00330363j -0.0515316-0.00602221j 0.00621665+0.0549712j 0.00261958-0.0314299j -0.0198212-0.0172272j 0.00733318+0.00399468j -0.0201816+0.0189974j -0.026604+0.0263674j -0.0188334+0.000160535j -0.0131545-0.00960012j -0.0202717+0.0157045j -0.024053-0.0085751j 0.0406566+0.00591821j -0.0235817-0.0199907j -0.0125988-0.0280147j 0.00958325+0.00836269j 0.00962378-0.00569267j -0.000112479-0.0054254j 0.0119615+0.0120651j 0.00750509+0.00258428j -0.0203549+0.000976293j 0.0227285-0.0458387j -0.00200381+0.0171091j -0.0234092-0.0269967j -0.0161085+0.0269003j -0.00246906+0.00101404j -0.00549565-0.00583994j -0.00333319-0.00955904j 0.0218337-0.0112493j 0.0313783+0.013889j -0.00437135+0.0288973j -0.0080317-0.00552652j -0.00530647+0.00640821j 
-0.00425654+0.00920393j -0.00764592-0.00401546j -0.00492623+0.0239738j 0.0202071+0.00560733j 0.0199014+0.0143844j -0.013348-0.0140149j -0.00167287+0.0152967j -0.0198275-0.0104832j -0.00127503-0.00283998j 0.0104257-0.0253236j -0.0100639+0.00412654j -0.0115208+0.0325207j 0.00950127-0.00843622j -0.0148277-0.00564135j 0.012867-0.00729547j 0.0110762-0.00851341j 0.0028198+0.0122402j -0.0330297+0.000877276j -0.0122045+0.0019582j 0.00223222-0.00152947j -0.00438123-0.0127241j -0.0111142+0.000396259j 0.0010958+0.00143131j 0.000647105-0.00760563j 0.00291111+0.00368915j 0.0265258-0.00290176j 0.00888041+0.00408173j 0.0182169+0.00984962j -0.02032+0.0152243j 0.0133333+0.0134891j -0.00492276-0.0030509j -0.00472827+0.00650984j -0.000611381-0.0197301j 0.0197606-0.000407092j -0.00980498+0.0114897j 0.0196643-0.00413988j -0.00630711-0.00362614j 0.00517481+0.00208917j -0.0140994+0.000223361j -0.00945741+0.00201094j -0.0125335+0.00195171j 0.00561109+0.0026704j -0.00576671-0.00413649j -0.00265771-0.010056j 0.00781024+0.00899062j 0.000885506+0.00222695j -0.00992946+0.0121834j -0.00593275+0.00296524j -0.00722931-0.0124128j -0.00518255+0.00212457j -0.0120943+0.00684034j 0.00175784+0.00335042j 0.00796311-0.00494811j -0.00410265-0.00675222j 0.0133837+0.00727661j 0.00124064-0.0107067j 0.00950382+0.0086285j -0.00992577+0.00275371j 0.00604759-0.00178489j -0.00833695-0.0138263j 0.00602744-0.0121487j -0.00611386+0.011557j -0.0193784-0.0113015j -0.0018556+0.0188567j 0.000802347+0.00345916j -0.0107514-0.000620551j -0.00283693-0.00749734j -0.0084598-0.0130463j 0.0233041+0.00433813j -0.00733073+0.0202109j 0.0111885-0.00533778j -0.00518016-0.0111267j 
-0.00510849-0.00543502j 0.00437556-0.00661268j 0.0044886-0.012303j -0.00828021-0.00214531j 0.011438-0.0186596j -7.5749e-05+0.00305514j -0.00813059-0.0103348j 0.00195075-0.00199494j -0.00537069+0.00505566j 3.4647e-06-0.0154089j -0.0182202-0.0253967j -0.00702603+0.0260253j 0.00494163-0.00739117j 0.00450182+0.00982978j 0.0218339-0.0145722j -0.00874846+0.00300077j -0.0022615+0.00775955j -0.0193263-0.0145975j -0.00779859-0.00189207j 0.00655103-0.00255072j 0.00430797-0.0261272j 0.0128844-0.00512061j -0.00677636-0.00807275j 0.0125938-0.0144396j 0.00523064+0.0029085j -0.00591557-0.0208768j -0.00663133+0.00456666j -0.00170535-0.0303586j -0.00724314-0.0117671j -0.0139349+0.00864691j -0.00943421-0.00408762j -0.00290378+0.0106443j 0.00606444+0.00607699j -0.00619607+0.00711888j 0.00656758-0.0122189j -0.0253699+0.00547267j 0.0135298+0.0167515j 0.00497852-0.0114141j 0.0136767-0.00861785j 0.00641849+0.00219512j 0.0201566+0.00669548j 0.00809531-0.0147863j 0.00432762+0.0112847j 0.0127604+0.0186289j -0.00753989-0.00472683j 0.00975468-0.00435218j 0.0158006-0.0172245j 0.0144818+0.0012917j 0.00581934+0.014331j 0.0114411-0.00351905j 0.00917873+0.00180256j -0.0131706-0.00398333j -0.00182074+0.0163923j 0.000351999+0.0178116j -0.0159816-0.0100813j 0.00156513+0.0166577j -0.00188412+0.00542895j -0.000680859-0.00590969j -0.00154894-0.00683429j 0.0161915+0.00690725j -0.0117113+0.0181188j 0.00674359-0.00911496j 0.0192121+0.0111056j 0.00280887-0.020462j 0.00297-0.0132174j 0.00532023+0.00125547j 0.00486611-0.000115038j 0.00207419+0.0217233j -0.017874-0.0102013j 0.01082-0.0108062j 0.00389426+0.0101429j 0.0108755-0.00410329j 
0.00192674-0.000358628j 0.000768398+0.00278055j -0.0109138+0.006025j 0.00134065+0.0084077j -0.0131098+0.0187686j 0.0189328+0.0088895j 0.0116763-0.00748327j -0.0117318+0.00074971j -0.00156741-0.0026397j 0.00599832+0.00342927j -0.016088+0.000270754j 0.00237819+0.00998552j -0.0034434-0.00883052j 0.00272878+0.0141621j 0.00336643-0.00368941j -0.0130135+0.00672489j 0.00266015+0.0098083j -0.000561644-0.00291663j -0.00423153-0.00711589j -0.00462453+0.0130717j 0.00893764-0.00265859j -0.00149657+0.00846394j -0.0104612-0.0100296j -0.0267869-0.0122567j 0.00812939+0.00339967j -0.0130877+0.0111345j -0.00576758-0.0140881j 0.00788294+0.00137174j 0.000476503+0.0111918j 0.0117052-0.00195166j 0.004113-0.00769615j -0.0076115-0.00441846j -0.0116131+0.0097548j -0.0100749-0.0137956j -0.0297936+0.00545774j -0.0198743+0.0270541j -0.000572774+0.0423067j 0.0349963+0.0215199j 0.0163823+0.00994387j -0.0364534+0.0112651j -0.00710142-0.0178776j -0.0156709+0.0138722j 0.000628228+0.0114625j 0.00216811+0.0133793j -0.00174637-0.0078735j 0.012602+0.00984162j -0.0124764+0.0157881j -0.0102636-0.00668386j -0.00981416+0.000415356j -0.0214118-0.0194837j 0.00547675+0.00494191j 0.0182203+0.00696708j -0.0208976+0.0137114j -0.0027902-0.0263426j 0.00645515+0.0112126j 0.00715433-0.00595074j -0.0102099-0.00197247j -0.014344+0.0167755j -0.00728007+0.0237653j -0.0157812+0.0161901j -0.0142994-0.0160461j -0.0106765-0.0129679j 0.017314+0.00757886j 0.0132071+0.00733969j 0.0246348-0.00632822j -0.0309612+0.0356613j -0.0290428-0.0489472j 0.030767-0.00664063j -0.00650804-0.00302689j 0.00558083-0.00725846j -0.00583288-0.000581758j -0.000992959+0.00549845j 
