-0.0896087+0.0349309j -0.0440574-0.0908323j -0.00998982-0.163428j -0.143578-0.00885138j -0.0758219+0.0634217j -0.109569+0.019599j -0.130502-0.159511j 0.168778-0.159621j 0.0150975-0.0698043j 0.0452316+0.0348083j -0.0260824+0.00522458j -0.112163+0.0997309j -0.190051-0.0676514j -0.0958709+0.0363619j -0.0777737+0.0878423j 0.0287239-0.0124858j 0.0497897+0.0118234j 0.0895637+0.0466087j 0.0541696-0.0162142j 0.110441-0.145559j 0.0495188+0.131323j 0.110532-0.127797j -0.00773032+0.0191434j 0.101356-0.0866591j -0.0662523-0.0123053j 0.0411375+0.0734427j 0.0217002-0.0172965j -0.023603+0.062322j -0.053485+0.0579628j -0.0328466-0.0966001j 0.0253806-0.0495923j 0.185922+0.0847998j 0.13382+0.0420837j -0.0611241+0.091814j -0.00184621+0.00468152j -0.0035772+0.0911568j -0.0137449+0.0239691j -0.0112889-0.0565573j -0.0443597-0.113784j 0.00655776+0.0130189j 0.0194585-0.0378603j 0.0650292-0.0356529j 0.0986375+0.115861j 0.0350814+0.0970568j -0.0104479-0.0556292j -0.0483265+0.124241j -0.0632322-0.0738074j 0.00609859+0.0174111j -0.0810917-0.0470547j 0.052892-0.0979634j -0.0752183-0.0528639j -0.0198126-0.0129828j -0.0115939-0.018387j -0.0378112+0.109632j 0.0250433+0.0566609j 0.0167565+0.0588803j 0.0442617+0.00949831j -0.049719-0.080373j -0.0433949+0.002795j -0.0407978+0.0570803j 0.00651169+0.0490611j 0.028636-0.0485006j 0.0928776-0.0786941j 0.0718537-0.121895j -0.0447999-0.0272438j -0.0468555-0.0253437j -0.0801286-0.0933869j 0.079526-0.0535653j 0.184381+0.0524321j -0.111335+0.034081j -0.0617335-0.091305j -0.0928177+0.0602932j -0.103343-0.183663j -0.0935211-0.0352834j 0.00762434-0.114781j -0.0862875-0.120445j -0.128518+0.082804j 
0.0156734+0.0954561j -0.0989311+0.00922927j -0.0659003-0.062814j -0.0464326+0.0787136j 0.0513353-0.111306j 0.0831286+0.0943095j -0.0589435+0.0143775j 0.018924-0.0147287j 0.0130144+0.0340818j 0.0827473+0.105796j 0.0761929-0.235013j 0.139757-0.071332j 0.0970535+0.0661962j -0.0775848-0.0386979j 0.0522423-0.0585581j 0.104091+0.0474273j 0.0420553-0.0429583j 0.0127559+0.0261558j 0.0916985+0.0525906j 0.0877335-0.0212368j 0.013638-0.109063j 0.26392+0.0781451j 0.115691+0.110171j 0.11293-0.0202266j -0.0997262-0.000216725j -0.0554376-0.0748381j 0.0533269+0.134916j -0.0547772-0.0279316j -0.0429732+0.113301j -0.0435386-0.0646332j -0.049952+0.0658116j -0.212037-0.0225585j 0.0408373-0.108193j 0.0727896+0.0573385j -0.0146047+0.0457868j 0.0695438+0.0439032j 0.0314104+0.0438174j 0.0232103+0.00563199j -0.0293134-0.0939104j -0.0229995-0.0119003j -0.0362818-0.0148209j -0.0571373+0.0324628j -0.00705512-0.113692j 0.101212-0.0816515j -0.0625288-0.0173055j 0.0756746+0.059355j -0.0841289+0.1423j -0.0777772+0.0125221j -0.0094335+0.160461j -0.0947477+0.0140762j -0.139409+0.0771128j 0.0414078-0.0798718j -0.0104639+0.0320062j 0.116256+0.102503j -0.0540224-0.00631309j -0.0761168+0.00636282j -0.00272291-0.0220721j -0.0480447-0.0850769j 0.03573-0.0227602j -0.013769-0.0250374j 0.0373983+0.0666962j -0.00142158-0.057356j 0.041928+0.117731j 0.125895-0.00500549j 0.0461214-0.0526779j 0.0105155-0.0780111j 0.0566618-0.118969j 0.0168739+0.118507j -0.108933+0.167299j -0.0626772-0.0949025j 0.120481-0.0901166j 0.0176678-0.0293282j 0.137952-0.0531239j -0.034489+0.00254521j 0.0175421-0.059391j -0.145721+0.0585068j 0.0572002+0.139768j 
0.00721487+0.0723706j -0.0773693+0.00182737j -0.0155045-0.126329j -0.109871+0.0189799j -0.0470151-0.127924j 0.0819738-0.0162563j -0.0173931-0.0573736j 0.123691-0.0589001j -0.054618-0.0994844j 0.11578-0.0229596j -0.0514644-0.154572j 0.00626568-0.0746861j 0.0238966-0.0730393j -0.0803485-0.0236839j -0.0380263+0.0340984j -0.0505666+0.0671778j -0.0198699-0.201157j -0.0733375-0.0308358j -0.00832753-0.0770607j -0.105983+0.233792j -0.070032+0.175678j -0.167443+0.000808703j -0.0884394-0.0911381j -0.0924033+0.0439085j 0.0239105+0.050587j 0.253063+0.0646458j -0.0324781-0.087457j -0.132479-0.087669j -0.0919801-0.0140603j -0.0189366+0.124999j -0.0386483-0.020558j -0.00951968-0.0561218j 0.0247765+0.0140262j 0.0720245-0.0238564j -0.0554534-0.0852281j -0.0649268+0.0108367j 0.0296761-0.0895867j 0.0334505+0.0401453j -0.134689+0.125506j 0.0878974-0.0215299j 0.0457706+0.00142997j -0.000921209-0.0823847j 0.0507775-0.0413124j -0.0262787-0.0213621j -0.00503359+0.0205806j -0.00184558+0.040554j 0.147191+0.043078j 0.00203532-0.0439819j 0.165091-0.065189j 0.0404165-0.0523066j 0.029854-0.00622667j 0.0911285+0.0513728j 0.101255+0.0426291j 0.0648642-0.0408127j 0.0154774+0.0112689j -0.109304-0.0547269j -0.025435-0.103091j -0.0371794+0.0522157j -0.141216+0.0107422j 0.0316308-0.15323j -0.0453944+0.142989j 0.107747-0.111628j -0.0728683-0.114797j 0.156376+0.115411j 0.0836016-0.0718569j 0.1012+0.0501894j 0.0363456-0.00781397j -0.062095+0.0335912j -0.0845723-0.125141j -0.0910392+0.00592529j -0.0184044+6.7714e-05j -0.0547135+0.0117063j 0.00658714-0.0428416j -0.162095-0.111999j 0.111354-0.170061j -0.046169+0.0620186j 0.0587175+0.0406861j 
0.0148416+0.0309327j -0.0326037+0.013081j -0.037708+0.0678489j 0.0784726+0.044218j 0.165782+0.0165312j -0.0913381+0.175245j -0.028336-0.139363j 0.0843164+0.096879j 0.0768322+0.100065j -0.0880054-0.0252152j -0.0749623+0.00927344j -0.136324-0.00811574j 0.0285198-0.176265j -0.173345-0.0830187j -0.00723182-0.0437734j -0.0346805+0.205974j -0.0895193+0.105724j 0.0537304-0.161218j -0.188271-0.0416986j -0.15744+0.0481046j 0.00820389-0.107232j 0.173633-0.0669153j -0.00163557-0.0740178j -0.0346954+0.00744256j 0.0468951+0.00247254j -0.0299595-0.0382932j -0.0853597-0.0814193j 0.0108352+0.00502908j 0.0402666+0.0992539j 0.048208+0.0480211j 0.00434307-0.131972j 0.00320706-0.0621817j 0.0153859-0.0647631j -0.0774615-0.0543616j -0.0434202+0.0359143j -0.0706367+0.04351j 0.054322+0.0371596j -0.00156291-0.00317195j -0.149719+0.0314583j -0.0566454+0.0220098j -0.115818+0.0108646j -0.0332473-0.0800418j 0.0373445+0.0783927j -0.0228698+0.0114068j -0.0750856+0.0746213j 0.0879673-0.0306458j -0.06383-0.020816j 0.0511533+0.00740998j 0.0565506+0.0990179j 0.0887369-0.0949844j 0.0661025-0.0764664j 0.0319635+0.0532649j -0.00366576-0.0180384j -0.0883642-0.125482j -0.0373268-0.0950242j -0.174971-0.0349503j -0.0317619+0.0781123j -0.0398255-0.105983j 0.156865-0.0459878j -0.0137507-0.0337493j -0.049624-0.12356j -0.0582395-0.0897688j 0.0272878+0.0104799j 0.0507841-0.0765167j -0.0096807-0.106591j 0.0524462-0.044994j 0.0563373-0.135945j -0.148194-0.0264711j -0.0152325-0.0755469j -0.112027-0.0188229j 0.138099-0.143311j 0.108604+0.234248j -0.184812+0.0469825j 0.0716789-0.0111259j 0.00515002+0.0641875j 0.0103367+0.0125843j 0.0116901-0.012177j 
-0.0565315-0.0715083j 0.0736674-0.0518564j 0.0460451+0.121165j 0.111527-0.0545654j 0.0566034+0.117413j -0.0899253+0.106261j -0.147534-0.00640972j -0.0132065-0.0872366j 0.0279026-0.136274j 0.25832+0.0186681j -0.029336-0.149192j 0.0450865-0.0522913j 0.0214104+0.0414124j 0.117384-0.016245j 0.017021+0.101417j -0.101477-0.110728j -0.0412823+0.0842752j -0.0377149+0.0210185j -0.0794088-0.0441893j 0.107649+0.0840685j -0.0553718-0.0501198j 0.034163-0.00918222j 0.0678822-0.112955j -0.103858+0.153133j -0.0198486+0.0012803j 0.0446808-0.00764723j -0.0953276+0.0146437j -0.0472754+0.0130767j -0.0336344+0.0751087j -0.091938+0.00812304j -0.0820149+0.0660941j -0.0502919-0.0742793j 0.0717039+0.157037j 0.00155433+0.0344891j 0.0657814+0.0475552j -0.0592626+0.00729651j 0.103567+0.0181185j 0.0126949+0.0167412j -0.00343818-0.0813697j -0.0343559-0.0448775j 0.00912411+0.0412238j -0.0436037+0.0370154j 0.0303166-0.033963j -0.0584721+0.0727858j -0.0319296+0.0621473j -0.113842+0.0928918j 0.0377412+0.144867j -0.086503+0.0237638j -0.0976029-0.00247595j -0.0131516+0.0114749j 0.0948214+0.011881j -0.124823+0.0505983j -0.0812681-0.00700476j 0.000188801+0.0151576j 0.00605752+0.00241472j -0.0540009-0.0180137j 0.00618047+0.157955j -0.208708-0.00823192j 0.0956368+0.0424923j 0.0297879-0.162271j -0.0546622-0.0918566j 0.0360891-0.164049j -0.0407253-0.118754j 0.117014+0.0142035j -0.0562388-0.103017j 0.080919-0.0109344j 0.0301915+0.14314j 0.229785+0.0107168j -0.126089+0.204804j 0.0824179+0.197394j -0.104909+0.0320684j -0.000664319+0.0298044j -0.0896394-0.00628446j 0.126502-0.0459648j 0.0390042+0.132391j -0.00568552-0.0421859j -0.0412716+0.0096474j 
-0.117926+0.00796943j -0.00754167-0.112976j -0.070396+0.0284452j 0.0196319+0.0480386j -0.122366+0.0531604j 0.0263224-0.0885153j -0.00141915+0.129973j -0.0926113+0.028401j 0.243942+0.00997392j 0.04201+0.116038j -0.102866+0.0351811j -0.0369291-0.0471681j -0.0049688-0.0495965j -0.0680157+0.150331j 0.15667-0.0128683j 0.0475243+0.0724425j -0.0188382-0.110884j -0.0574267-0.15702j 0.0406541+0.0187869j -0.0479934-0.0619967j -0.0723327+0.00469361j 0.0390112+0.00718753j -0.00682013-0.0394145j 0.0712119+0.103111j -0.0235857+0.0684784j 0.0825095-0.0358961j -0.0817792+0.0949372j 0.00391048+0.00551393j -0.118235-0.0736377j 0.0238485-0.00402755j 0.149746-0.130659j -0.0534567-0.0997975j -0.00992792+0.0550492j 0.00907225+0.0310544j 0.0628368-0.166674j -0.0679623-0.0441125j -0.0348259+0.0351069j 0.060888-0.0346469j 0.0142541-0.0958208j 0.0574786+0.0205554j -0.0372138-0.0286619j -0.053598+0.0812543j 0.00146145-0.0961951j 0.116086+0.0487654j -0.22682+0.0840391j -0.113881-0.000997024j -0.00254242-0.0564429j -0.00766886+0.113149j 0.0829823-0.00488743j 0.0316983-0.0136938j -0.0234114+0.101985j 0.129685+0.0984376j -0.0188704+0.0186108j -0.0338812-0.155838j 0.0253687-0.0139862j 0.123038+0.186381j -0.0745529+0.034419j -0.00885725-0.19165j 0.056892-0.0187154j 0.15604-0.0507487j -0.0133331+0.127238j -0.0424+0.0134292j -0.0914163-0.0551032j -0.00374499+0.0131329j -0.18304+0.0408783j -0.135398-0.162892j 0.0314601-0.16628j -0.135775+0.0260798j -0.0311365-0.0300593j 0.103823+0.0515923j -0.0433083+0.159188j -0.144189-0.0397669j 0.0168993-0.0892692j 0.0622598-0.0268144j 0.0194789+0.0709802j -0.0121796-0.0169416j -0.0174307+0.015996j 
-0.00941661+0.0838099j -0.0849515-0.00767803j 0.0562113+0.0558265j 0.0690855-0.0735208j -0.131073-0.010217j -0.0336597-0.0716681j -0.0749264-0.0368147j -0.0357406-0.0549172j 0.0467795+0.233646j -0.0908741+0.076144j -0.0298242-0.0529438j 0.048912-0.0810954j 0.0172019-0.00154535j 0.00343555-0.0343601j -0.0692602+0.16528j -0.0828323-0.0245527j 0.0319869+0.0312499j -0.0284005+0.044115j -0.10851-0.0209241j -0.0293267+0.0977101j -0.0142048-0.014891j -0.0417192+0.0217939j 0.0348009-0.0064447j 0.0745241-0.100403j 0.0891403-0.0190139j -0.00393266+0.0873352j 0.154778+0.166698j 0.0815664+0.0971709j -0.031722+0.0678872j 0.0832072+0.0560971j -0.134041-0.150081j -0.0166199-0.00926115j 0.07504-0.00888676j 0.0908708+0.0587589j 0.0700648-0.12455j -0.0530851-0.0969383j 0.0443802-0.0157867j -0.00148767+0.0282907j 0.0492574+0.158718j -0.0595305-0.00770951j -0.0316809+0.0731437j 0.0983179-0.00357882j -0.0287431+0.0957894j 0.043808-0.0413782j -0.162244-0.0446785j -0.0393102+0.078604j 0.0367418-0.0920363j 0.0835889-0.121935j -0.0917296+0.101003j -0.0509038+0.0138376j -0.0786283+0.110744j -0.189803+0.0694099j 0.106335+0.0150201j 0.0397627+0.0623084j -0.22201+0.100401j -0.26437-0.0418806j -0.0319272+0.184791j 0.091556+0.196622j -0.154237+0.0905441j -0.0399236+0.0392138j 0.0272861-0.0575442j 0.103732+0.0583276j -0.0477755-0.07109j 0.0137574-0.0156235j -0.0995277+0.109204j -0.13786-0.0418248j -0.0860411-0.125425j -0.051176+0.0990235j -0.0407642+0.0439259j 0.0829291+0.017963j 0.0286298+0.0850523j -0.0387605+0.0669258j -0.0593474-0.00791252j 0.0290042-0.0470462j 0.0387318+0.0305625j -0.0123205-0.00199747j -0.00316385+0.0133766j 
0.0315367+0.00176606j 0.00199121+0.0306532j -0.00114435+0.0368957j 0.0265013+0.010985j 0.032354-0.0248287j 0.035947+0.0101094j 0.0257293+0.0438459j -0.0406202+0.0411348j -0.0209161+0.00776652j -0.0170997-0.0143463j 0.0330078-0.0100428j 0.0607452-0.0156924j 0.0552807+0.0243495j 0.0284348-0.00909624j 0.0241469-0.0192574j -0.00713892+0.011117j -0.00626735-0.00211649j -0.0142556-0.0060286j -0.0124187+0.0204734j -0.0374545+0.0360999j 0.00591076-0.0570371j -0.0267106+0.0620632j 0.0098432+0.0127899j -0.0247128+0.0168651j 0.0103266+0.00138381j -0.0193719-0.0408302j 0.00457758+3.58601e-05j 0.00565353-0.0277389j 0.0244555-0.000335896j 0.00726043+0.0362379j -0.0207823+0.0248615j -0.072312-0.0299586j -0.0634309-0.0288605j 0.0398458-0.0242705j 0.00506348+0.0109125j 0.0131825-0.0280954j 0.0161559-0.0262751j 0.00677649-0.00851009j 0.0095293+0.0276301j -0.00594418-0.00576993j -0.0141387+0.0264317j -0.0202386+0.00734623j -0.0405886-0.043013j -0.0160025-0.047255j 0.0218486+0.00200403j 0.0450358-0.047544j 0.021308+0.0409722j -0.00172343-0.0103823j 0.011295+0.0325181j -0.0328586+0.0321838j 0.0251158+0.0323304j 0.0104473-0.00608274j -0.0079207+0.00481281j 0.0187646-0.0348483j -0.021311-0.0184908j -0.00358517-0.0170948j -0.0152908-0.0138785j 0.0145195+0.0249475j 0.00313641-0.0106018j 0.00329735-0.0192294j 0.000729868-0.0166569j -0.00333502+0.0136537j -0.0115366+0.0377341j -0.0167095+0.040723j 0.0357772-0.00116469j 0.0260934+0.00631736j 0.0391399+0.00895607j -0.0262219+0.035533j -0.0487805+0.029798j 0.0249275-0.031677j 0.0327756-0.00224123j 0.0296316-0.0275381j 0.042429+0.0325111j 0.0219915+0.00797642j 0.00492878+0.0198578j 0.017531+0.0330862j 0.0376201-0.0173774j 
0.00391532-0.0350598j 0.0385697+0.00776905j 0.0101879+0.0451841j 0.03415-0.01783j -0.00860109+0.0328326j -0.00968884-0.0251933j 0.0129833+0.0276152j -0.0407528+0.013796j 0.0114356-0.0105262j -0.0056835-0.037574j -0.0242277+0.067033j -0.0092275+0.0201203j 0.000975196+0.0117802j 0.0398481+0.0232538j -0.00120679+0.00417478j -0.0287698-0.0363796j -0.0223114+0.0224342j -0.00845078-0.0145384j -0.0257759-0.0162933j -0.029027-0.0101231j -0.00934275-0.0106118j -0.0739252-0.0208681j -0.0182394-0.0246764j -0.0423503+0.0125046j 0.0191639+0.00201014j -0.00371384+0.00414846j -0.0206606-0.0177638j 0.0228085+0.00774786j 0.0409822-0.0408854j 0.0160345+0.0189972j 0.018785+0.00771229j 0.0430914-0.000566796j -0.0287925+0.0545449j -0.0230706-0.0408371j 0.0037272-0.00390305j -0.0163599-0.019751j -0.0259941-0.00678659j 0.00177545-0.0117827j 0.0281326+0.0209201j 0.00932137-0.00188725j 0.0157598+0.00859319j 0.00829738+0.00443396j -0.000132783+0.0119228j -0.0519228+0.0265544j 0.0110447+0.0289263j -0.0321112-0.0394854j 0.0446321-0.0349407j 0.0199535+0.00723023j -0.0245321-0.0468142j 0.0143847+0.0145766j 0.0439603-0.025446j -0.023111+0.0175544j 0.00973859+0.00350412j -0.0343395-0.0380655j 0.0118886+0.00940401j 0.0361385-0.000339349j 0.00282714+0.0144726j 0.0145741+0.0198374j 0.0172272-0.00183479j 0.0106879-0.00610796j -0.0177678-0.0287485j -0.00602675+0.0335438j -0.0194699-0.013891j -0.0477114+0.00526417j -0.00831997+0.0310057j -0.00279598+0.0313295j 0.0092584+0.0589837j -0.0133306-0.0343435j -0.0214121-0.0241389j 0.045285+0.0292937j -0.0105128+0.0382125j 0.00787419-0.00465598j -0.00691202+0.0305496j 0.0267768+0.00563602j -0.0025438+0.0396728j 0.043813-0.0133027j -0.0108196-0.0391565j 
0.00377846+0.00428954j -0.00588892+0.00195772j 0.0058948-0.00192105j 0.000315186-0.00110038j 0.0142277-0.0106796j 0.00635564+0.00475258j 0.0226556+0.000888212j 0.00401148+0.0140342j -0.00709192-0.000386455j -0.0115416+0.00967165j 0.0180981-0.0120733j -0.00442525-0.0136664j 0.0185338-0.0020616j -0.00918235-0.0211834j -0.00360992-0.00950123j -0.000602202+0.00275713j 0.0167947-0.0164031j -0.0102783+0.00238761j -0.00108025-0.00264286j -0.00152109+0.0234728j -0.00278503+0.0290677j -0.00664087+0.0028069j -0.0103697+0.00556286j 0.000189111-0.000403181j 0.00325231-0.00399539j 0.0206543+0.0131547j -0.00659089+0.00722922j -0.00643617-0.0326141j 0.000651683+0.00451796j -0.00370058+0.000935546j -0.0130119+0.0107246j 0.0205488+0.0159817j 0.00299783-0.00408654j 0.0175609+0.00778825j -0.0151817-0.00103507j -0.0141094-0.00270592j -0.0124387-0.0099623j 0.0231141-0.0369742j -0.0348939+0.0146215j 0.0203548+0.00456051j 0.0168145+0.00513888j 0.0141725-0.0232054j 0.0208391-0.00268905j -0.0124568-0.000856442j 0.013783+0.00528573j 0.00212907+0.00090564j 0.031635+0.00713205j 0.0181478-0.000389394j -0.00143169-0.005822j -0.00559471-0.0277553j -0.00841851+0.00356482j 0.0040275-0.00185835j 0.0187775+0.0189853j 0.0333335-0.0110526j -0.00919641+0.0213981j -0.00246575-0.0047375j 0.0011716-0.0194779j -0.00742396-0.00916339j -0.016576+0.00875058j -0.0032257-0.00872094j 0.0132262+0.0223188j 0.0164223-0.0197357j 0.00956278-0.000152666j -0.00965188-0.0216024j 0.0228682-0.00872136j 0.0187622-0.0142105j 0.0026057-0.0117652j -0.0153065+0.0104785j -0.00683435-0.00603821j 0.00261226+0.0100886j -0.0068721+0.000970984j 0.00832643+0.011387j -0.00870515+0.00665782j -0.00929573+0.012613j -0.0113732-0.0121389j -0.000100942+0.00691888j 0.00525124-0.00187754j 
0.00105186-0.00407057j 0.00392759-7.51204e-05j 0.0108995+0.00274501j -0.00061045-0.00910091j 0.0124713+0.0076002j -0.00515131+0.00930694j 0.0104459+0.00504526j -0.000320623+0.00839604j -0.000895424-0.0112942j -0.0140143-0.00288576j 0.0207081+0.0176552j -0.00576073+0.0202207j -0.00669246+0.00164226j -0.0046589-0.0093622j 0.000627633-0.00136203j 0.000495083-0.0148907j 0.035216-0.00898046j 0.00237107-0.00556561j 0.00172279+0.00287304j -0.0199297-0.0214517j 0.00520235+0.0237483j -0.0151197-0.0137025j -0.00128986-0.0063937j 0.00223524-0.0174994j -0.00937484+0.00555525j 0.00279985+0.00547915j 0.0106291-0.0053946j -0.026956-0.00559812j 0.00440502-0.0127914j 0.0166117-0.00886152j 0.0111522+0.0131968j -0.00977222-0.00153866j 0.00515798+0.00571226j -0.00433922-0.0137054j 0.00384225-0.00587163j 0.00625471+0.0406411j -0.00484727-0.00639604j -0.0040775+0.00899142j 0.0235551+0.00714616j 0.00199021-0.00488929j 0.0105002+0.000215083j -0.000731418+0.0177838j -0.00106398+0.00285507j -0.0048255-0.00808056j -0.00547713-0.00283084j 0.0091235+0.0102472j 0.0130649-0.00947161j -0.0085928+0.00116267j 0.014434-0.0166068j -0.0175219+0.0239097j 0.00343643+0.00311143j 0.0182846-0.0444832j 0.00834521+0.00508716j -0.0072954+0.0023639j 0.0230262+0.00150185j -0.0238209+0.0104586j -0.0179435-0.022155j 0.0175007+0.0090252j -0.0113879-0.0151859j -0.00131319+0.00625284j 0.016287+0.00353693j 0.0186569+0.0113589j -0.0144125+0.00217102j 0.0207644-0.0186521j 0.00634478+0.0118645j 0.0152443+0.0109596j 0.00327352+0.00302115j -0.00161136-0.0128924j -0.000490545-0.00334498j -0.00612084+0.0131866j -0.0139073-0.00102847j -0.00599033+0.00722575j -0.0112437-0.00744646j 0.0119415+0.00853382j -0.00723462+0.0113798j 0.00341707-0.00198171j -0.00197697-0.00459948j 
