0.023431-0.00811872j -0.0145007+0.00261218j -0.000393036-0.00299909j -0.00524069+0.00359923j 0.0201685-0.00139342j 0.00530835-0.014981j 0.00174802+0.0439828j 0.0143666-0.00938322j -0.00132127-0.000343788j 0.0385496+0.0144114j -0.00303542-0.0295164j 0.0184218+0.0349234j -0.00483513-0.00755542j -0.00171337+0.0169356j 0.03007+0.0212715j 0.0372033+0.0273966j 0.0183073-0.060724j -0.0378999-0.022451j -0.0192846+0.00723596j 0.0327628-0.039816j -0.0176057-0.0218849j -0.0132719+0.0473781j -0.043551+0.0438186j 0.00877916-0.00195603j -0.0748042-0.0491086j 0.0299522-0.0121207j 0.0627711+0.0279756j -0.1683-0.134555j -0.126779-0.0623358j 0.0997169+0.0332929j 0.00153882+0.00957563j 0.0763209-0.0290061j 0.280604-0.282597j -0.0120422+0.0430314j -0.0115248+0.284528j -0.242082-0.213971j 
0.00344482+0.00562337j -0.0311807+0.00888549j -0.00506181+0.00613222j 0.015038+0.00466052j 0.033684+0.0298317j -0.0172138+0.00597795j -0.0379979+0.012428j 0.0526668-0.00579941j 0.0366567+0.0314878j -0.0364563+0.0320012j 0.0324884+0.0446581j -0.0496794-0.00424142j 0.00724452+0.00676098j -0.0153901-0.0183862j -0.00714353+0.0194383j -0.049982+0.0315121j -0.0111781+0.025353j -0.0458626+0.0670236j -0.048339-0.0141047j -0.0377753-0.0486641j -0.00373011-0.00583128j 0.0386397+0.00797663j 0.107892+0.0626773j 0.0505297-0.0234353j 0.0563085+0.0382705j 0.0337551-0.0372945j -0.00300754-0.0166048j 0.0986654+0.0261114j -0.0228161-0.119779j 0.101368+0.125833j -0.0301109+0.141137j -0.16556+0.101762j 0.115526+0.118142j -0.264662+0.214426j 0.175254+0.210856j 0.0242923+0.205348j 
-0.0264699+0.0301264j 0.0455098-0.0441133j -0.0179359-0.00127292j 0.0369901-0.0195636j -0.0955494+0.0246411j 0.0423182+0.0129728j 0.0329259-0.0665767j -0.127933-0.0620737j -0.0422612-0.039345j 0.0152879-0.0843833j -0.068406-0.10062j 0.0710176-0.0230521j 0.00553291+0.0170184j 0.045353+0.0511226j 0.00418122+0.0241123j -0.0284657+0.0361491j 0.0218678+0.00611431j 0.0928522+0.00824861j -0.00588183+0.0132828j 0.00138812-0.0180255j -0.0486873+0.0811276j -0.0109197+0.00452646j -0.0840186-0.0823081j -0.0520804+0.0213122j -0.195713-0.0728154j -0.0108061+0.0418316j 0.0553337-0.0885642j 0.112815+0.200354j 0.0463384-0.236339j 0.0560428+0.129814j 0.182358-0.37742j -0.400181-0.0451222j 0.12099-0.040146j 0.0796161+0.180126j 0.0289558+0.0452521j -0.0834984-0.0449802j 
-0.0341876+0.00615587j -0.0339909+0.0431751j 0.0280496-0.0115953j -0.0179176+0.0121322j 0.10827+0.0168761j -0.0307993+0.0141647j -0.0730751-0.000448956j -0.0946963+0.0300258j 0.0440678+0.0243869j 0.0126907+0.0341497j 0.00675021+0.0236886j -0.158047+0.0309786j -0.0254632-0.0216469j -0.0436318-0.126764j -0.0153922+0.00306595j -0.0538743-0.0122848j -0.0457079-0.00655604j 0.0583014-0.00587586j 0.116537+0.0114086j 0.107288-0.0303332j -0.0132014-0.0230887j 0.0820005-0.0852748j 0.126338+0.116864j 0.196016+0.184467j -0.259572-0.206034j 0.1426-0.409251j 0.111915-0.334402j 0.0183326-0.133431j -0.276974-0.0597803j -0.30121+0.012095j 0.119005-0.0714468j -0.00570004-0.0781265j 0.0746148-0.0152566j -0.00140151-0.0106794j -0.00362178-0.00775331j -0.0225383+0.000215173j 
0.0197514-0.0480462j -0.0372858+0.0284179j 0.0118524-0.0301633j 0.0110191+0.0176469j 0.0643596-0.0220879j -0.0541105-0.00545185j 0.00267952+0.0110683j 0.0204948+0.0445365j 0.00208969-0.0303641j 0.00855095+0.0619791j 0.00632033+0.0115046j -0.0200405-0.0164846j 0.0106088-0.0223747j 0.023826-0.000915366j -0.0505325-0.0165237j -0.0300978-0.00705338j -0.0358954+0.029404j 0.0274073-0.0640773j 0.0950645-0.00733149j 0.025771+0.041561j 0.055878-0.03475j -0.00599415+0.0339164j -0.0694874+0.0306245j -0.075034-0.064961j -0.103221-0.0900303j -0.131698-0.0232694j 0.0813369-0.175112j 0.0768019+0.0905561j 0.0275782+0.237558j -0.227319-0.252875j 0.0354759-0.152018j 0.100915+0.00047305j -0.281645+0.172447j 0.188599-0.127805j -0.117101-0.189362j 0.16387-0.0956084j 
-0.0928396+0.115435j 0.0749975-0.0181741j -0.0103911+0.0647622j 0.0400756+0.00260639j -0.118869-0.023088j 0.117072+0.0600975j -0.00685315-0.0804496j -0.149849-0.0398216j 0.00404071+0.0277421j -0.0566309-0.180013j -0.0822101-0.0832733j -0.0677598+0.0746672j -0.0244156+0.0472754j -0.0495556-0.0627111j 0.0544657+0.0154198j 0.0184734-0.0330079j -0.00683436-0.0697319j 0.12604+0.0943029j 0.0769356-0.0194971j 0.112755-0.0224367j -0.0734746+0.0248446j -0.0103035-0.18652j 0.063993-0.116361j 0.117012+0.3449j 0.226415+0.12868j 0.240488-0.124859j -0.289212+0.235955j -0.198549-0.0874207j -0.0245756+0.140154j -0.0221155-0.0698301j -0.0173921+0.0757207j 0.122085-0.0100864j -0.0522323-0.0301517j 0.0681743-0.0936383j -0.0692195-0.0141037j -0.0209878-0.071867j 
0.0639111-0.0441441j -0.0628595-0.0530621j 0.00157875-0.00439117j 0.00330696+0.0545099j 0.0499381+0.0586366j 0.0207268-0.0495359j 0.028501+0.0300899j -0.0297568+0.0185331j -0.0321405-0.0135681j 0.0010096-0.0589796j -0.108865-0.00225299j -0.0864473+0.0130415j 0.0131546-0.00132539j 0.0100599-0.0775167j 0.0318069-0.050022j -0.0196818+0.0194622j -0.00506672-0.00776777j 0.039993-0.0127622j -0.0191413-0.0518689j 0.102196+0.0293272j -0.1078-0.0908716j -0.11815+0.0239492j 0.160489-0.070926j 0.036758+0.251921j 0.0972226+0.0808317j 0.0823045-0.0737764j -0.12238-0.0660705j 0.205508+0.283808j 0.0228963+0.0131871j -0.0719327+0.101587j 0.0348439+0.0811311j -0.214981+0.121289j -0.135565+0.211414j -0.170417+0.1877j 0.136129-0.0695613j 0.189229+0.113806j 
0.197081-0.120454j -0.107143-0.148238j 0.0418664-0.0296521j 0.0185766+0.103651j 0.0841019+0.0834435j 0.0180601-0.166495j 0.175356+0.185319j 0.00228443+0.0288609j -0.120553-0.0733185j 0.157405-0.0351953j -0.1751-0.108831j 0.0289598+0.0464501j 0.00660984-0.0106143j 0.0522624+0.00775374j 0.0835416-0.0570298j 0.120913+0.140231j 0.0252438-0.115006j -0.119635-0.0758361j 0.0247043-0.0153894j 0.206755+0.0886749j -0.118884-0.217448j -0.350779+0.249751j 0.0251139-0.24387j -0.0589447+0.16782j 0.00569456-0.00435261j 0.0277133+0.00368065j -0.030981-0.00460874j -0.0112664-0.071589j -0.0572521+0.0256174j -0.00822351+0.013283j 0.0572825-0.0292405j 0.0428293-0.0397723j 0.0370371-0.0625013j 0.0438014-0.054853j -0.0117465+0.0406132j -0.0601913+0.0249577j 
0.187408+0.0501043j 0.112224-0.192026j 0.0185821-0.124482j -0.0151131-0.0254741j -0.0283388-0.165787j -0.153364-0.0705504j 0.0393388+0.0270394j 0.0115737+0.0323371j -0.181133-0.0884877j -0.115539+0.0460476j 0.0973336+0.0963287j -0.080887-0.0189122j -0.0550021-0.0985699j -0.0257214-0.0202735j -0.290075-0.0752764j 0.1184+0.0617311j 0.137761+0.0597084j -0.0284797-0.0138652j 0.104529-0.120807j -0.141393+0.179357j -0.0727654+0.298124j -0.000406262+0.0747063j 0.102826+0.130675j 0.0666962+0.0723391j 0.02279+0.0196384j 0.0282422-0.0733319j 0.0408303-0.0799896j -0.00741036-0.0795075j -0.116598+0.0267914j -0.040467+0.0227959j -0.0597593+0.225089j 0.113867-0.0158622j 0.0361754-0.0270129j -0.147291+0.0328759j 0.0524714+0.0452345j 0.000540031-0.0103401j 
0.057945+0.109964j 0.156172-0.136107j -0.0666167-0.076049j 0.0430459-0.0281271j -0.157363-0.144033j -0.0192388+0.0160737j 0.050221-0.0560514j -0.159198-0.0983713j -0.154381-0.0961378j -0.0767218-0.0921174j -0.0297938-0.0724641j 0.0036695+0.0462874j -0.02706-0.0343427j 0.0376478+0.059996j -0.160924-0.0376536j 0.0720649-0.0131878j 0.132444+0.0203735j 0.0898357+0.110888j 0.0687353-0.0906217j -0.111876+0.163755j -0.0849217+0.228103j 0.00915888-0.00667004j -0.0368594-0.102196j 0.00565998+0.0448096j -0.0597121-0.087779j 0.0374391-0.0225037j -0.035934-0.0209082j -0.00219123+0.0365441j 0.0240344-0.0338519j -0.0311884-0.00795443j 0.0973532-0.178053j -0.112566+0.0448365j -0.0103203+0.00897951j 0.11317-0.0759186j -0.0541894+0.0330226j -0.0327274+0.0235658j 
0.0626181-0.00890142j 0.0132483-0.0602959j -0.0152765-0.0333344j -0.0325682-0.00166116j 0.0117116-0.010203j -0.0535216-0.048878j 0.043655+0.0422908j 0.0435668+0.055503j -0.0606746-0.0436052j -0.00197818+0.043924j -0.00650673+0.034134j -0.0305219+0.0214052j 0.00593626-0.0153564j 0.0521333+0.0803735j -0.0584862-0.0301251j 0.0354226+0.01723j 0.0476357+0.0155181j -0.0388798-0.0526114j 0.0032519-0.0435089j -0.0562595+0.0198347j -0.00632886+0.0658301j -0.0488706+0.071902j -0.0242897-0.00247996j -0.0464759-0.0131182j 0.0257298+0.0941922j -0.0608287+0.0554512j 0.0107617-0.00989413j 0.0198073-0.0191838j 0.023887-0.0282949j 0.0185833-0.0667668j -0.0114933+0.0236264j 0.0301414-0.0610756j -0.0370438+0.0450209j -0.0308686+0.0431225j 0.0156443-0.0423945j 0.0236676+0.0174971j 
