-0.0828328+0.0941005j -0.0976679-0.0872594j -0.0321226-0.207248j -0.204602+0.038895j -0.0832414+0.0851855j -0.104679-0.0936634j 0.0721906-0.0803981j 0.108734-0.0102764j -0.128345+0.021863j 0.139675-0.040482j 0.0135359-0.259244j -0.035951-0.0805561j -0.23547+0.0619373j 0.193265+0.0453686j 0.00274284+0.0951362j -0.00334015+0.03047j -0.0645564-0.0861401j 0.061959+0.230815j 0.0248434+0.0594654j 0.0843451+0.0689644j -0.0140507+0.0425204j 0.0615649-0.049105j -0.0582169-0.0659695j -0.0607036+0.0721866j 0.127832-0.103616j 0.106221-0.0458237j -0.081542-0.00678689j 0.0888406-0.119581j -0.146384+0.0913097j 0.0435544+0.0679074j 0.0873715+0.107224j -0.0238508+0.0593026j 0.0169081+0.048418j -0.152305-0.141042j 0.0506187-0.041984j -0.0401394-0.0276317j -0.108308-0.106398j 0.0692438+0.0562031j 0.0704504+0.00576137j 0.0723728-0.179118j 0.0619616+0.133263j 0.151737-0.070295j -0.0276005+0.213657j 0.204333+0.0576304j -0.168838+0.0433318j -0.0566139-0.185225j 0.114288-0.062568j 0.0674077+0.0573292j 0.0100881+0.0813521j -0.0769839+0.0412325j 0.0365713+0.0117218j -0.0507609-0.0119702j 0.00759864-0.0354767j -0.0662553+0.00361118j -0.0199854-0.0580118j 0.0259722+0.0489402j -0.0319263+0.0251479j 0.0140578+0.0419873j 0.0259301-0.05145j -0.025308-0.00656341j -0.000904634+0.00443853j 0.0225267-0.0307949j -0.00735913+0.00352526j -0.016806+0.0156439j 0.0168193-0.00870436j -0.0134704+0.0162811j 0.000455443-0.008745j 0.00817885+0.0129392j 0.0142525+0.0175197j 0.026744-0.00774733j -0.00631027-0.0188223j -0.00563113+0.0181844j 0.0238036+0.0046155j -0.0284649+0.0106954j -0.00486781-0.0252264j 0.0276564+0.0208817j -0.0138736-0.00557398j -0.000703066-0.00590002j 0.0107366+0.00383353j -0.00756759-0.00950358j 0.0179052+0.0026026j 0.0110433-0.0270793j -0.0147175-0.0119443j -0.0144224+0.0107997j -0.000701136-0.00292737j -0.0037979+0.01496j 0.0102424+0.0259854j 0.00487487+0.0133459j -0.0328766+0.00720925j -0.0268469-0.00255107j 0.00928314-0.000357172j 0.000300216-0.0155721j 0.0298003-0.0110004j 0.00697554+0.0255371j 0.0379335-0.00834503j 0.0157611+0.0411605j 0.0545225+0.0243187j 0.0273271-0.0534003j 
0.0177248+0.133839j -0.135123+0.0136229j 0.0414507-0.033898j -0.0249259-0.0204384j 0.0982654-0.151931j 0.177387+0.0819764j 0.0662162+0.125651j 0.063343+0.222522j 0.191923-0.093673j 0.136724-0.150278j -0.0121955+0.0225844j 0.122119+0.160651j 0.168202+0.0281867j 0.0874841-0.00601237j -0.0595018-0.171924j 0.0281741-0.0305922j -0.0252027+0.096343j 0.0469176+0.0771131j 0.121819-0.0831326j 0.0554358+0.0975501j -0.0675412+0.039154j 0.0680257+0.0125213j -0.0824031+0.0237282j -0.138883+0.104523j 0.00390075-0.144353j -0.166687+0.0470714j 0.0537463+0.00602578j -0.0218973-0.10483j 0.0248766+0.0108471j 0.0955337-0.02338j 0.0635266-0.0866906j 0.110835-0.0266656j -0.0570593-0.132009j -0.064112+0.0968692j 0.0512813+0.0256402j -0.193667-0.231207j 0.224069-0.146402j 0.0159184+0.0470289j -0.0973112+0.0309633j 0.110632+0.108724j -0.0823542+0.134533j 0.13477+0.107605j -0.0842217-0.00192421j -0.0428137+0.0863646j -0.109025+0.166993j -0.173667-0.0904706j -0.055023-0.00322433j -0.0679049-0.149206j 0.121857-0.0935997j 0.0568515+0.0406431j -0.0663848-0.00187407j -0.00150254+0.0481755j -0.00107779+0.00346069j -0.0325421-0.00902379j -0.00699825-0.0183515j -0.0334171+0.00232784j 0.00654546-0.0445229j -0.0240651+0.00691055j -0.00480927+0.0240831j -0.00884734-0.0166808j -0.00332402-0.0254097j -0.0366122-0.0226362j -0.00263915-0.020964j -0.0291328+0.00188612j 0.00404743-0.0181928j 0.0143874+0.0198774j 0.016561-0.00716475j -0.0161201-0.00917893j -0.0169674-0.00238921j 0.00474825+0.000485432j 0.00928002-0.000538814j -0.0204254+0.0238638j 0.0196581+0.00215058j -0.00901457+0.0237709j -0.00827686-0.00710356j -0.00144728-0.00540617j 0.00891325-0.02902j 0.0195593-0.0111391j 0.0113677+0.0337719j 0.000819175+0.00704469j 0.00185898+0.000322854j -0.0104976+0.004585j -0.0256689-0.00290558j -2.85381e-05+0.00427992j -0.0142015+0.022021j -0.00182209-0.00633275j -0.00205333+0.0237177j -0.00659956-0.0159565j 0.00909493-0.0102969j -0.0131579-0.00616825j 0.00974372+0.0124936j 0.00386791-0.00169445j 0.00581486+0.0118498j -0.0141072+0.00696243j 0.0143559+0.0303905j -0.0291309+0.0195549j 0.0463328-0.0293536j -0.0277408-0.0445643j 
0.081099+0.0317229j -0.0315833+0.0789409j 0.15635-0.0863941j -0.100327-0.146756j 0.0747348+0.119692j -0.108556+0.132355j -0.0835319-0.00586525j -0.12094+0.0442997j -0.0787331-0.0236314j -0.0397179+0.178064j 0.09532+0.00637567j 0.00784898-0.117785j 0.102714+0.0428367j -0.00977773-0.172135j -0.116333+0.0373544j -0.0395388-0.0376848j -0.121976+0.0412283j 0.0340708-0.00922993j -0.0591363-0.0931355j 0.0787488+0.08793j 0.2439+0.0110658j 0.0433405+0.080072j -0.0323392+0.0355508j 0.0902079+0.0303268j 0.0248323-0.0525798j 0.0265885+0.0287984j 0.0571722-0.0667068j 0.0775169-0.0111778j 0.012108+0.0582356j 0.0247862-0.185752j 0.12233+0.000916658j 0.108449-0.0869842j 0.00583396+0.175606j 0.155395-0.0992041j 0.0920121+0.140746j 0.137975-0.00144872j 0.0924132+0.0621658j 0.299007-0.0255199j -0.100313-0.342291j -0.140766+0.142891j 0.143004+0.233745j 0.21965-0.12717j -0.0813686-0.0141992j -0.0305106+0.104363j 0.0550018-0.029113j 0.0304844+0.0495637j -0.0104917+0.0176232j -0.00145998-0.0376458j 0.0385963-0.0109813j 0.0286422+0.0288758j 0.0332272-0.030527j -0.00174324-0.0674497j 0.0579351+0.0266164j -0.0181067+0.0228921j 0.0285789-0.00561192j -0.00124833-0.00436077j -0.0182697+0.00186384j 0.0224831+0.00900128j -0.0357717-0.00153913j -0.0198322+0.00889392j 0.00253884-0.0190753j 0.0121491+0.000291727j 0.0057618-0.00240423j 0.0120384+0.00606778j 0.000344699-0.030085j 0.0205763+0.0174648j 0.0141945-0.0338622j -0.0128528+0.0100586j -0.00759781+0.0130473j -0.00106512-0.000377844j -0.00552585+0.00756842j -0.0118377-0.0113615j 0.0081705-0.00657916j -0.00402196+0.00437982j -0.007499-0.00228161j -0.00763158-0.0113416j 0.00697677-0.000385971j 0.0269265-0.00210862j 0.0050525+0.00155634j -0.0132636-0.0052916j 0.00717275-0.00473102j -0.00712156-0.0075446j 0.00421515-0.00620912j -0.0112982+0.00703762j -0.00624132-0.000964116j 0.000466109-0.0074145j -0.0102821+0.00191686j -0.00756685+0.0017712j -0.0155467-0.0080809j -0.00141953-0.0266712j -0.0100581+0.016j -0.0181352+0.00251041j -0.0195901-0.0138688j 0.0044559-0.023622j 0.0273743+0.0161354j -0.0163899+0.0287879j 0.00602372-0.0198968j -0.0194033-0.00490493j 
-0.0542195+0.0885895j -0.0914303-0.0596725j -0.0450256-0.140914j -0.123436+0.0331053j -0.0386406-0.000318098j -0.060159+0.0275706j -0.0657983-0.0975543j 0.0810797-0.0554913j 0.00925762-0.0383988j -0.0487744-0.00191468j -0.0136541+0.0477388j -0.0114251+0.0176847j 0.0709503-0.0124487j -0.023865-0.0127679j -0.0152775-0.0241064j 0.00151817-0.00352911j 0.00479577+0.0140363j 0.00807268-0.0616639j -0.0216656+0.000139426j -0.0113549-0.0404074j -0.0193524-0.0170961j -0.000659173+0.0142165j 0.0133443+0.016362j 0.0424237-0.0101568j -0.00978858+0.0337985j -0.0235339+0.0128107j -0.00665727-0.0126739j 0.0078563+0.0162707j 0.0427324-0.00427912j -0.0117334-0.0143978j -0.0546513+0.00343069j 0.00181676+0.000432333j -0.00341388-0.00199023j 0.0561655+0.0149744j -0.0213595+0.00686354j 0.0252769+0.0109796j 0.0333469+0.00779849j -0.0436613-0.00951235j -0.0240637+0.0199239j -0.00987194+0.0477256j -0.0656933+0.0249378j -0.00512507+0.0570167j 0.0944108-0.0930259j -0.0840406-0.132927j -0.00371009-0.101323j 0.105068+0.0110014j -0.0142157-0.0101601j -0.00625946-0.00645916j -0.0213359-0.196027j 0.221788-0.0770378j -0.00352222-0.106232j -0.0415194-0.0964259j 0.0127449-0.0675765j -0.0839038-0.0841405j -0.0452754-0.0324707j 0.104639+0.0222912j -0.017444+0.033135j -0.0953666+0.0368129j 0.0602629-0.0792749j -0.0770584-0.0444453j -0.168417-0.000620914j 0.157149-0.0722216j 0.111896+0.0109659j -0.0647558-0.0555084j -0.0156308+0.0119791j -0.044555+0.0979211j 0.0492774+0.0785396j 0.061284+0.120901j -0.0287144+0.00530279j 0.00988509-0.00358047j -0.0646933-0.0418543j -0.0829473+0.0136514j 0.015482-0.017531j -0.0778284-0.0584584j 0.00417781-0.107156j 0.00764653+0.144987j 0.0676757-0.0268369j -0.113486+0.0475014j 0.0446342-0.0150037j -0.00675544+0.0545786j 0.0746837-0.0167019j -0.016744-0.101703j -0.0314659-0.0579329j 0.0244319+0.100307j -0.046618+0.114372j 0.0143358-0.0552708j 0.044672+0.0735894j -0.0637257-0.0470637j -0.0215117+0.0257451j -0.0769098+0.0893083j 0.151503-0.110766j 0.0617692+0.0512294j 0.0748904-0.109963j 0.152412+0.135051j 0.158785+0.00714463j 0.0283609+0.183029j 0.129018+0.096264j 0.104182-0.128353j 
0.0647941+0.0889643j -0.0878219+0.0611822j -0.0346983-0.0335149j -0.0172078+0.0534038j 0.0677528-0.0774936j 0.0626427+0.0386714j -0.00267225+0.029179j -0.00119941+0.0102806j 0.0119555+0.00380958j -0.0456801-0.031754j 0.0496363+0.0146805j 0.0143365-0.12062j -0.0687135+0.0183398j -0.0249963+0.0228773j 0.0167809+0.016672j -0.018697+0.0016654j 0.0203215-0.0239386j 0.0227804+0.00434985j -0.0324112+0.0147609j 0.015061-0.00871354j -0.00410906-0.0239765j 0.0113402+0.0103606j 0.000804463-0.00862175j 0.019015-0.0487007j 0.0341358+0.0293109j 0.0237844+0.0195204j -0.0240256-0.00501947j -0.00455222+0.028869j -0.003968-0.0282992j -0.0283369+0.0100344j -0.00122449+0.0102845j -0.0150577+0.0171688j 0.0436051+0.0192515j 0.0249293+0.00398894j -0.0370391+0.00526648j 0.00874204+0.00706416j -0.0347707+0.0301088j -0.0294596-0.00503828j 0.0193731+0.00657979j -0.00458087-0.0358295j -0.0231013+0.0051448j 0.00861277+0.00546605j 0.0350391-0.0796004j -0.0572333-0.0217567j 0.0735917+0.0172841j -0.0120308+0.0454889j 0.0955199-0.0589677j 0.120742+0.139206j -0.00981746+0.0850436j -0.035361+0.0313796j 0.0195545+0.0201653j -0.00213244-0.108967j 0.107881-0.214655j 0.221451-0.108181j -0.0980848+0.0640306j -0.209663-0.0936163j 0.00930169-0.124545j -0.122766-0.0722114j -0.0271142-0.0175318j -0.0437515-0.0632743j 0.0224512-0.0380746j 0.0199184+0.0397228j -0.137925-0.137991j -0.0981238-0.0137209j 0.0694843-0.0858918j 0.0303838-0.00719573j 0.0609163-0.0090433j -0.0156785-0.129925j 0.00637118-0.0956448j 0.0452025+0.0600676j -0.103323+0.104806j -0.0295674+0.0339713j 0.0229992+0.00679268j -0.0349755+0.174844j -0.084463-0.023034j 0.0221471-0.0889421j 0.0534156-0.0540944j 0.0861166+0.010563j 0.103922+0.0491433j 0.174325+0.037808j 0.0511943-0.0394878j -0.124023-0.0826244j -0.0641709+0.00405105j -0.0524151-0.104564j -0.0675027+0.046375j 0.0195567-0.013903j -0.0283663+0.117057j -0.0228151-0.0236592j -0.0537431-0.152267j 0.0326212-0.0814276j 0.166964+0.1267j -0.0621983+0.121633j 0.0015308+0.0838193j -0.171896+0.0928782j 0.0315604+0.0343437j -0.059529+0.0590874j 0.146195-0.104599j -0.101098-0.142194j 
-0.0826877-0.0469035j 0.0460391-0.0797925j -0.0343421+0.0807025j 0.0684548+0.0209647j 0.00101108+0.0723992j -0.0662475+0.0502216j -0.0632582-0.0142355j -0.0283214+0.00194878j 0.0664532+0.0172236j -0.00660112-0.0447253j 0.0478142-0.00247384j -0.0143979-0.040716j -0.0130352+0.00565622j 0.0356529+0.0289164j -0.00748565-0.0114431j -0.013311+0.0677154j 0.0350904-0.00870185j 0.0593124-0.00712727j -0.00833209-0.0608297j 0.0307326+0.0204119j 0.0228797+0.00740278j -0.00207458+0.00309117j -0.0136469-0.00555174j -0.00239745+0.0217486j -0.0299103-0.00526988j -0.0118831+0.0222118j 0.0152408-0.0238208j 0.015319-0.0154038j -0.0125035+0.0306576j 0.0212007-0.0239236j -0.00721536-0.00621954j -0.0255164-0.00202857j -0.014996-0.0153173j -0.0123287+0.00402343j -0.0037799-0.0175302j -0.0216162-0.00552648j 0.0338729-0.0121404j 0.0514709+0.0142915j 0.0005163-0.036915j -0.00117393+0.0047874j 0.0455671-0.00281655j -0.0013004-0.0332859j -0.0576845+0.0133885j 0.00697075+0.0511377j -0.0828942+0.0576349j -0.0594122-0.0745036j -0.0226382+0.0726391j -0.146563-0.0369587j -0.0836642-0.120558j 0.0451347-0.0615138j 0.124114+0.0626347j -0.0580945-0.161277j -0.00885669-0.14215j 0.154909+0.0319547j -0.0309332+0.244924j -0.135987+0.0422137j -0.155538+0.111579j -0.114969-0.0592883j -0.0849458+0.0556484j -0.0448031-0.143016j 0.0257477-0.0515481j 0.03842-0.0467153j 0.132833-0.0430153j -0.0396774+0.0171418j 0.0720613-0.000748645j -0.0381501-0.136884j -0.0523073+0.0104993j 0.0520941-0.0360888j 0.128799-0.014226j -0.0149509+0.0948725j -0.024821+0.0230568j -0.0549744+0.0232277j 0.0257524+0.166241j 0.040908-0.00367431j -0.0298668+0.0153005j -0.0512179+0.0261793j -0.0207706+0.0491975j -0.109603+0.0426271j -0.0520762-0.0877527j 0.161663+0.151994j -0.151787+0.0517205j 0.0255095-0.0565043j 0.00682757-0.00732317j 0.180941+0.0312596j -0.0934634+0.0562944j -0.0815829+0.182295j 0.085477+0.0461013j 0.0985085+0.107555j -0.211953+0.099032j -0.0293267-0.133477j 0.0227147-0.0974088j 0.027722+0.0290915j 0.0594445-0.0195127j 0.0526116+0.123229j -0.226704-0.0429193j 0.0474242-0.221718j 0.0073961+0.0847502j 0.0820358-0.0103815j 
-0.0593549+0.0042988j -0.00496792-0.0583574j -0.0490507-0.0295274j -0.0427317+0.0337218j -0.091021+0.0242157j 0.0648928-0.0934811j 0.0326862+0.109573j -0.0759008-0.0404451j 0.026941-0.0220301j -0.0487505-0.0358066j -0.0128693+0.0509158j 0.0446928+0.00257016j 0.0132805+0.0182659j 0.0195631-0.0318202j 0.0153725+0.0127766j 0.00533919+0.0298403j -0.0159062+0.00767987j 0.0329615-0.00137292j -0.00526056+0.00924356j 0.0235964+0.0123406j 0.0338972+0.00156934j -0.0061199+0.036j 0.00428696-0.0103812j 0.00254252+0.0293957j 0.00374146-0.00737617j -0.00425873+0.0150282j -0.00399313-0.0243525j -0.00434977-0.00984547j -0.00274975+0.0220912j 0.0122366-0.00849819j -0.0211702-0.000267008j -0.0305799+0.00894388j -0.0114509+0.00302877j -0.022624-0.00631719j -0.00542776-0.0236094j 0.0224455+0.00166996j 0.0199385-0.00214068j 0.0249083-0.0171998j -0.02652-0.0211745j -0.0011421+0.0259882j 0.0239785+0.0314435j 0.029505-0.0153096j 0.0399769-0.000689018j -0.00507968-0.0456988j 0.0509544-0.0129119j 0.0028901+0.0973958j -0.20219-0.0505656j 0.108219-0.169796j -0.0594017+0.191215j -0.148907-0.163309j -0.0651654+0.00352751j -0.161459-0.117905j 0.16893-0.0815695j -0.0273272+0.0420987j -0.00374237-0.164073j 0.0110637+0.014688j -0.00439313+0.0305362j -0.114314+0.0340151j 0.0726752+0.121611j 0.0263352-0.0936404j -0.0110211-0.00924528j -0.0511385+0.00177583j 0.00314035-0.0052496j -0.00673363-0.0696558j 0.00212362+0.121818j 0.0704966-0.0386899j 0.0383612+0.112337j -0.154105+0.0385806j 0.0952188-0.0831263j 0.0354356+0.0322729j 0.011283+0.0223295j 0.0164941+0.0536977j -0.132793+0.0121816j -0.071689+0.07343j 0.0944953+0.00244248j -0.0565958-0.104007j 0.0239452-0.037601j -0.132441-0.00755582j -0.0844945-0.0815492j 0.0362502+0.00457461j -0.0667217+0.0281806j -0.139354+0.0532778j -0.0492913-0.105902j 0.0564296+0.0232636j 0.00473821+0.180541j 0.0374282-0.119077j -0.0399192-0.134093j -0.17987+0.00973631j 0.0329956-0.00278098j -0.0821139-0.0128049j -0.18865+0.0324455j 0.117495-0.291993j 0.252383+0.188743j -0.12574+0.105192j 0.00733452+0.000371774j -0.00491998+0.000470136j 0.0288164+0.023539j 0.0226523-0.0303807j 
-0.030866+0.0791073j -0.0801244-0.0304936j -0.00335525+0.0744154j 0.0857169-0.0217491j -0.0971677-0.0601208j 0.0217934-0.0508603j -0.0172103-0.0104262j 0.0106203-0.0197064j 0.0153281+0.0647811j 0.0431107-0.0329584j 0.00226288-0.0146134j -0.00681632-0.025068j 0.00834807-0.032984j -0.0295263-0.0355277j -0.0270123-0.000172724j 0.0299618-0.00967552j -0.00233623+0.00691042j -0.0247583-0.0226801j -0.0237169+0.00475008j 0.0362693+0.0135918j 0.0367515-0.031183j 0.0233779+0.0197003j -0.0311138+0.00661869j 0.026945+0.0154299j 0.00473484+0.0450069j 0.00317245+0.00337915j 0.00274494+0.0040708j 0.0148415-0.0338662j 0.040679-0.013415j 0.00851733-0.0426807j -0.023059+0.0232562j -0.00154526+0.0176795j 0.0120846+0.0297601j 0.00533605+0.0149601j -0.0500516+0.00364488j 0.00145321-0.00432889j -0.014314-0.0265823j 0.0331788-0.0392639j -0.041098-0.0145239j 0.0234896+0.0129182j 0.0846645-0.031059j -0.0361955-0.0781102j -0.0819811+0.0168597j 0.0382979+0.0782439j -0.0370113-0.0672703j 0.0213987-0.0407193j -0.0369112-0.138871j 0.121311-0.0756148j 0.0171291-0.0364235j 0.0728942+0.0062632j 0.0184706+0.0978631j 0.137561-0.0444886j -0.0292153+0.0725705j -0.0144218-0.0577919j -0.0501115+0.0343154j -0.0671581-0.114418j 0.133718+0.02976j 0.00293931+0.0780576j 0.130023-0.058507j -0.109687+0.102043j 0.175077-0.062084j 0.0106568+0.0106964j 0.00242481+0.00751837j -0.0237087-0.0220293j -0.0302727+0.1029j -0.0551421-0.0440845j -0.0127486+0.167488j 0.0186815-0.0977227j -0.0561721-0.108838j 0.0274228-0.104991j -0.0627387-0.103151j 0.119398+0.0698466j -0.0406289+0.137507j 0.0183296+0.0136399j 0.0375786+0.107142j 0.0710156+0.0939579j 0.112829+0.000738073j -0.0804852+0.101522j -0.0434174-0.00878806j 0.102675-0.0764197j 0.000278925-0.181678j 0.0738844+0.065622j -0.0357529-0.00532521j -0.186519+0.0227274j -0.181763-0.0861573j -0.194524+0.0948857j 0.253106+0.107185j -0.0709727-0.269954j 0.114829-0.191667j 0.128248-0.0586823j -0.118768-0.048503j -0.0437914-0.135053j 0.0894433-0.0944875j 0.0912663+0.0350162j -0.0612696+0.0749014j -0.0647211-0.0653839j 0.0207028+0.00470844j 0.00453481-0.0223303j 
-0.0311173+0.0122999j -0.0154098-0.0335651j -0.00906159-0.0393322j -0.0307065+0.00580999j -0.0299154+0.0105781j -0.0284432-0.0118089j -0.0068946-0.0329735j 0.0279908-0.0149579j -4.03642e-05-0.00497183j -0.00261473-0.0027817j -0.0136543-0.00833507j -0.0162203+0.014092j 0.0107885+0.00218433j 0.0113647-0.00274843j -0.00540926-0.00627597j 0.00126981+0.00594571j -0.00176586+0.0108286j 0.00140733-0.00747383j -0.000251648+0.00296094j 0.00305592-0.0113507j -0.00228942+0.00358264j 0.00848938-0.000176336j 0.00297205+0.00494645j 0.0065289+0.00746496j -0.00585591+0.00694602j -0.0112651-0.00177076j -0.00232788-0.00399697j 0.00341476-0.0027699j 0.0073665+0.0121925j 0.00226709-0.00195688j -0.0148818+0.00881217j -0.00311165+7.14453e-06j -0.00513041-0.00423345j 0.0042104-0.00173007j -0.00301458-0.00323713j 0.00470288+0.00220259j 0.00818629-0.00818539j -0.00276974-0.000135638j -0.00599853+0.0027143j 0.00523819+0.0137992j -0.00382745+0.0077533j -7.77411e-05+0.00975384j 0.0158329-0.00039254j -0.00137215-0.0252494j -0.00721209-0.0284844j 0.0265548-0.00198265j -0.00608823-0.0102842j -0.00760832-0.0316326j 0.015845-0.0710853j 0.0544506-0.0145979j 0.00975434-0.00997827j -0.015265-0.0466455j -0.0191999-0.0123726j -0.069741-0.0570753j 0.012836-0.00694897j 0.0509112+0.0300408j -0.0255929+0.0169101j -0.0314544+0.00476763j 0.0452407-0.0149901j -0.0180207-0.01743j -0.0660989+0.011378j 0.0504351-0.0241626j 0.101143+0.0137196j -0.00712618-0.0521156j -0.01447+0.0313948j -0.0407138+0.043434j 0.0107311+0.0400996j 0.0173708+0.0623062j -0.0236598+0.0322635j 0.00777994-0.0394077j -0.00840346-0.0596799j -0.0515492+0.0124233j -0.00039398+0.0139764j -0.0344938-0.0461084j 0.0113347-0.0391345j -0.00611132+0.0668556j 0.0473965+0.0167436j -0.082396+0.0152012j 0.00915085-0.00845018j -0.0234366+0.0132309j 0.00651266+0.00235218j 0.0148761-0.0336034j -0.0206053-0.0304667j 0.0301089+0.0422996j -0.00662259+0.0386385j -0.00450718+0.00110648j 0.0371919+0.00312179j -0.0223301+0.00696608j -0.00713879+0.0348102j 0.00483987+0.0668359j 0.00451668-0.073467j 0.0227745-0.0285442j 0.0106849-0.0557733j 0.0591173+0.000792925j 0.038561-0.015805j 0.0310281+0.0320388j 0.0312431+0.0323094j 0.0377195-0.031751j 
0.00369036+0.0485384j -0.048263-0.0015256j 0.00327335-0.0501063j -0.0434744+0.00772222j 0.0159898-0.0248881j 0.00153538+0.0124358j 0.00141809-0.0177806j 0.0297651+0.0121584j 0.00682976-0.0108349j -0.00784422-0.013344j 0.00304834+0.00573772j 0.00440983-0.014621j -0.000888616+0.0122353j -0.00104339-0.00480173j -0.00295661-0.00352228j -0.00228824-0.00191196j 0.00752624-0.00196209j 0.0122311+0.00490197j -0.00327823+0.000907344j 0.00214655-0.00194718j -0.00207047-0.0104924j 0.00834544-0.00113825j -0.000311198-0.000463588j 0.00468853-0.00825101j 0.0195859+0.00653894j -0.00225658+0.0119314j -0.00886253+4.50157e-05j 0.00928878+0.00504466j 0.00897071-0.00515566j -0.00580993+0.0011256j 0.00101221+0.003743j 0.00291073+0.0061157j 0.00578867+0.00171983j 0.0128392-2.37692e-05j -0.00870025+0.00444823j -0.0020617-0.00645827j 0.000618887-0.00103059j -0.0144415-0.00104392j -0.00523025+0.00272188j -0.0042249-0.000864524j -0.0209223+0.0124101j 0.00160615+0.0133634j 0.023184-0.018944j -0.0181425-0.0268506j 0.0183719-0.00763699j 0.0165465+0.0114065j 0.0418776-0.000493693j 0.0260002+0.0412265j 0.032579-0.0136904j 0.0330152+0.0101516j -0.0105877-0.0222507j 0.0248793-0.0482259j 0.0625562-0.051544j 0.0311999-0.0588814j -0.024307-0.0118483j -0.0119655-0.0124194j 0.0255487-0.0349064j -0.0453152-0.00180926j 0.0141206-0.0445414j -0.0297844-0.0352162j -0.0211489-0.031881j 0.0251658-0.0108876j -0.0247188-0.0308134j -0.0533462-0.0521312j 0.0254716-0.0671804j 0.00592492+0.0408138j 0.0271228+0.0166749j 0.0304084-0.021844j 0.00743128-0.0378447j 0.0398885+0.00899299j -0.0619444+0.0187227j -0.0114449+0.00940373j 0.0450385-0.018214j -0.0258057+0.0455108j -0.0238675-0.0289417j 0.00571322+0.00420613j 0.0358427-0.0494975j 0.029591+0.0311425j 0.0418909+0.00922478j 0.0360507+0.0262388j 0.0558716-0.0395728j -0.0552299-0.0523594j -0.0311986-0.00457029j -0.0142302-0.0017424j -0.0118119+0.0217718j -0.00615668-0.029791j 0.00961557+0.0624056j -0.0461471-0.0126235j -0.0312445-0.0423479j -0.0330942+0.0296499j 0.086016-0.00519016j 0.0298276+0.0332834j 0.0112313-0.00885112j 0.0110086+0.0278556j 0.0429932+0.00518365j 0.00528014+0.056464j 0.0521687-0.0252759j -0.0206469-0.0476301j 
0.00459662+0.0031237j -0.00134129+0.00262048j 0.0169849-0.00277014j -0.00459942-0.0126899j 0.0145315-0.00546898j -0.00301907+0.00536182j 0.00249776-0.00227078j 0.00322502+0.0124746j 0.00296616-0.00287595j -0.0068993+0.00210745j -0.00317958+0.0126049j 0.0048274+0.00603607j 0.00209945+0.0040286j -0.00538203-0.00768139j -0.000691893+0.000618118j 0.00134053-0.00476332j 0.00121848-0.00125509j -7.23969e-05-0.00760113j 0.00230458+0.00361577j 0.000879884+0.00840209j -0.000989549-0.000972166j -0.00146956+0.00307814j 0.00828261-5.58278e-05j -0.00537481-0.00944783j 0.00429519-0.007125j 0.00537262-0.00274861j 0.00848517-0.00486456j 0.00146143+0.00675128j 0.00271251-0.00282081j 0.00151607+0.000705928j 0.00596044-0.00547877j 0.00775135+0.00253174j 0.00206696-0.000559529j 7.75919e-05-0.000618652j 0.000172194+0.00168308j -0.00130793-0.00142272j -0.00325128+0.00621428j -0.00334773-0.00186561j -0.00652599-0.00561653j -0.00163611-0.0163343j -0.0033149-0.00983566j -0.0105655-0.00338846j -0.000350671+0.00492989j 0.000605157-0.0012218j 0.00948211+0.0174262j -0.00839475+0.00634323j 0.014899+0.0220055j -0.00393887+0.0171364j 0.0192362+0.0231885j -0.0193592+0.0121594j 0.00463816-0.0157662j 0.0156427+0.00805174j 0.028526+0.0185953j -0.00685937-0.00671893j 0.000845914-0.0218782j 0.00484087-0.0145583j 0.0183924-0.00451216j -0.00350826-0.00885986j 0.00784658+0.00667123j -0.0176834+0.0171693j -0.0458454+0.000410013j 0.0119702+0.0185318j -0.0197712-0.0275734j 0.0204861+0.0425199j -0.0274791+0.0278378j -0.022795+0.0387152j 0.0105008-0.009337j -0.0200636+0.0369348j -0.0369149+0.0158383j -0.0289855+0.0115481j 0.00801909+0.0158786j -0.0135492+0.00716227j -0.0218359-0.0244984j -0.0111314-0.0107371j -0.0162386-0.0315093j 0.0259403+0.0169761j -0.00599571-0.0197653j 0.00766595-0.030099j 0.0149961+0.0132649j -9.3759e-05-0.0451035j 0.0173417-0.0101087j -0.0154959+0.00546152j -0.0145613+0.00102275j -0.031507-0.00295566j 0.0315759+0.0348753j 0.0109676-0.0262833j -0.0134791+0.0482416j -0.00432216-0.00781529j 0.000319682-0.0229285j 0.0101481-0.0218868j -0.00882615-0.00355361j 0.00292446+0.0035432j -0.0178578-0.00417312j -0.00652113-0.0155569j 9.18492e-05-0.0281369j 0.0238164+0.0029368j -0.00214858-0.00283048j -0.00103792+0.00465395j 
