0.00484831-0.00992208j 0.0104338-0.00833892j -0.0051568+0.00916073j 0.00232234+0.00222611j 0.00718533+0.0148802j 0.00190713+0.00190228j 0.0114287+0.0174822j -0.0180972+0.00535279j -0.0159203-0.00391641j 0.00849327-0.0032294j 0.00805026-0.0126874j 0.00315446+0.016544j -0.00947092-0.0156332j 0.00500152-0.000843606j 0.0061529+0.0171872j -0.00658712+0.00938097j -0.00453813-0.0101662j -0.0270406+0.00567144j -0.010765+0.0054158j 0.0158183-0.00802184j -4.41825e-05+0.00228307j -0.00618876-0.00687488j -0.0119703+0.0132533j -0.00788235+0.00309005j 0.00767631-0.0189274j 0.0103084-0.00435556j 0.0217524-0.00509347j -0.0129604-0.00772487j 0.0446383-0.0139268j 0.132453-0.0419142j 0.0375789+0.0466643j -0.0602088+0.00169304j -0.0402521+0.0120289j 0.0429059+0.147839j 
-0.00754241+0.00398421j 0.00492846-0.0089877j -0.00853651+0.018058j 0.00636304+0.00285423j -0.00705904-0.00177763j -0.000316714-0.00668159j 0.00198211+0.00568639j -0.0101427-0.0293674j 0.010576-0.0128107j 0.0106507+0.0101145j 0.0256343+0.000356491j -0.0162144+0.00118054j 0.0148425-0.00653394j -0.0110937+0.00126636j -0.0236007+0.00742127j -0.0089532+0.00848471j 0.00614501-0.00278659j 0.004088-0.0270516j -0.00533367-0.0132783j -0.00413778+0.0220894j -0.00199088-0.00441828j 0.00480775-0.00537579j 0.00426205-0.00649013j 0.00547514-0.0021505j 0.00662527+0.000753099j -0.00427672+0.0108684j -0.00836391+0.0094399j 0.00689569-0.00598305j -0.00828807+0.00655378j 0.0594722+0.0337002j -0.15049+0.0372475j 0.0152663-0.021532j 0.0374289+0.154986j 0.0505089-0.0066324j 
0.00849097-0.00537869j -0.000261582+0.0025057j -0.000868337+0.0094487j -0.00194784-0.00580483j 0.00626651+0.00414537j 0.000662182+0.00280496j -0.000501294-0.0304376j -0.00265555-0.034079j 0.00802633+0.0127726j 0.00131223-0.00431485j -0.000920824+0.00874044j 0.0161283-0.00312091j -0.0055868-0.000386989j 0.00754742-0.00892553j -0.00157926-0.00637457j 0.0351046-0.0169796j 0.0207578-0.00683403j 0.0185743+0.0094377j -0.0219922+0.0104633j -0.0338929-0.00725418j 0.0101839+0.00272205j -0.00188733-0.00176025j -0.0300213+0.0163976j -0.0194112+0.00422851j 0.0102607-0.0251786j 0.0224926-0.00148045j 0.0696736-0.0194082j -0.0814941+0.0118828j 0.0783493-0.0392352j 0.026728-0.0410875j -0.0457352+0.00983468j -0.0619064-0.113769j 0.000872571+0.0346164j 0.0362128+0.0787384j 
0.0113881-0.0166818j 0.0165025-0.00739467j -0.0109175+0.00221162j -0.00265898-0.00397488j 0.00147192+0.0217452j 0.00286267+0.0173123j -0.00333888-0.00702008j -0.00701732+0.00668925j -0.0220274+0.00407776j 0.00642757-0.00540309j 0.00338299-0.0147667j -0.00136752+0.025904j -0.00526106-0.0115249j 0.0260435-0.00699447j 0.0394758+0.00373529j 0.037382+0.0167091j -0.034315+0.0225994j -0.0037231-0.0208983j 0.00514649-0.0202557j 0.014228-0.0067626j -0.0125129-0.00119966j -0.0106283+0.0130472j 0.0412053-0.0316613j 0.0444233-0.014302j 0.0597879-0.0127153j -0.0606012+0.0258042j -0.0159177+0.0412106j 0.023864-0.044871j -0.0792348-0.0489947j 0.0347204+0.0428186j -0.0272364+0.0271914j 0.0175928+0.0793395j 0.00165972+0.0559187j -0.00361189-0.0243356j 
0.000808631-0.00404798j 0.00700138+0.002534j 0.00125745-0.0103432j -0.00316447+0.00217815j -0.00169652+0.00853755j 0.0126378-0.0523315j -0.00405607-0.0237472j -0.000524895-0.0154424j -0.0523891+0.00123041j -0.0139857-0.00079156j -0.00115756+0.0173068j -0.0141017-0.000638634j -0.0152384+0.00350215j -0.0390284-0.00738722j -0.0188498-0.00770021j -0.0369287-0.00400684j -0.016655+0.00334722j -0.0286035+0.0124817j 0.021434+0.00908703j 0.0725422-0.00221025j -0.00171876-0.00284969j -0.0207357+0.00212667j 0.00195864-0.00400321j -0.0751833+0.0285325j 0.0148252+0.016031j -0.0125448+0.0228956j -0.0133558-0.0562705j -0.0436732-0.0454486j -0.00427776-0.0206412j 0.0124742-0.000271142j -0.00948898+0.0190189j -0.000455108-0.0373769j -0.011888+0.0112957j 0.0172194+0.00240236j 
0.0235659-0.00298129j -0.00688235+0.00664103j 0.00461368+0.008093j -0.0068115-0.00698955j 0.00115038+0.0105478j -0.00929608+0.000225654j -0.013966+0.0615385j -0.00951254-0.00493848j -0.00573894-0.00971296j -0.0241535-0.00811338j -0.0474629+0.0232202j 0.0163302-0.0054416j -0.0285176+0.00923298j -0.00207717+0.00318477j 0.0318461-0.018776j 0.0110218-0.0232004j -0.0278065+0.0227082j -0.017606-0.00326356j 0.015854-0.0101789j 0.0269451-0.0336075j -0.0025036-0.00364843j -0.00175804+0.0181926j -0.0485556+0.01322j 0.0104552+0.00933704j 0.0325107-0.0585476j -0.0742428-0.027362j 0.0264877-0.00527981j -0.0656153-0.0603742j 0.00291776-0.0748164j 0.00950864-0.0119902j 0.000468464+0.0207357j -0.0410561-0.0308412j -0.0173806+0.00538424j 0.00124762+0.0259004j 
0.0108686-0.0112436j 0.00818854-0.00465173j -0.019973-0.00727003j 0.0028221+0.0144802j -0.00542743+0.0171016j -0.0101633-0.0265139j 0.0146388+0.00150399j -0.00973088+0.0230989j 0.0485417+0.0106614j 0.0205573-0.00749048j -0.0468673-0.0213974j 0.014651+0.0193339j -0.0200085-0.0164251j -0.00791475-0.0177578j -0.0451386+0.0103885j -0.0341127+0.00824054j 0.0138778+0.0162031j -0.0309483-0.00122872j -0.00548663+0.0045256j -0.0172109+0.00192756j -0.00660197+0.00361069j -0.0104299-0.0155082j 0.0526157-0.0203715j 0.0796449-0.033434j 0.036227-0.0108378j -0.00867546+0.018263j 0.0394867+0.0659718j 0.0152915+0.0306169j -0.00246405-0.0481217j 0.00685068+0.0176816j -0.00543525-0.000714733j 0.00792661+0.016065j 0.0056558+0.00983712j 0.00310295+0.000798214j 
0.0240635-0.00764075j -0.00852705+0.0105969j -0.000572435+0.0335036j 0.00663806-0.0446133j 0.00119342-0.00484109j -0.000203858-0.028643j 0.00115461-0.0491044j -0.0075963-0.0157656j 0.015415-0.000310469j -9.68099e-05-0.0396639j 0.0214875-0.0187249j 0.0280907-0.00783404j 0.00605672-0.00978101j -0.00153978-0.022122j 0.0257065-0.00109832j 0.0268189+0.00109857j -0.0342734+0.00159129j 0.0157233-0.0294476j 0.0101383-0.0129409j 0.0053194-0.0341832j -0.0116173+0.00287058j 0.0486935+0.0319855j 0.0815932-0.0431848j -0.00227706-0.0107398j 0.0542416+0.0351538j -0.00601659+0.0625357j 0.0121348+0.0132634j 0.000872895+0.00169402j -0.0387581-0.0423496j 0.00693476+0.017675j 0.018873+0.00215946j 0.00961926+0.0381422j -0.00581398-0.00615928j -0.0161901-0.00468363j 
0.00665138-0.00491649j -0.00724122+0.0132304j 0.010449-0.020988j 0.00434209-0.00994088j -0.00230246+0.0132488j -0.0117569+0.0361767j -0.011894+0.00215734j 0.00730763+0.00360107j 0.0442494+0.035715j 0.0196706+0.000183741j 0.0277599+0.0221265j 0.034983+0.00481359j 0.0260406+0.0134878j 0.0420061-0.00228841j 0.062795-0.0320604j -0.040404+0.0275556j 0.0106056-0.0106918j -0.041715-0.0109682j -0.0356882+0.0575052j -0.0160176-0.0028381j 0.0714235+0.0294165j -0.0191492-0.0198674j -0.0347729+0.0184528j -0.000437226+0.00556346j 0.00458974-0.0435922j -0.0200584-0.00790092j 0.00400853-0.00766502j -0.00792072-0.029346j 0.0125843-0.00866065j 0.000241224+0.000983928j -0.00254768+0.0103019j -0.0150214-0.00989922j -0.0038532-0.00175566j 0.00842369+0.00954671j 
0.0089582+0.0183689j -0.0257955-0.00774377j 0.0363276-0.018945j -0.00266259+0.0127189j 0.000335089+0.0534628j -0.0136588+0.0234835j -0.00407483-0.0158583j -0.00108136-0.0244036j 0.0244463-0.0583743j -0.0125689+0.0178848j -0.0514615+0.0158132j 0.00109938-0.0127775j -0.019326+0.0225631j -0.0108357+0.00974524j 0.03388-0.0129976j 0.0104396-0.0398409j -0.00770662+0.0206638j 0.00980378-0.0133043j 0.0466279-0.0117201j 0.0254396-0.0560184j -0.00929663-0.0104117j 0.0657336+0.0512605j -0.053337+0.026456j 0.0110482+0.0113791j -0.0204354-0.0359273j -0.0646121-0.0444685j -0.00615067-0.00651633j -0.0328473-0.0304829j 0.0112326-0.0132006j -0.0095226-0.014311j 0.0145254+0.00317954j -0.0124072-0.00443673j -0.00876819-0.0104849j -0.0134143+0.00248298j 
-0.0198859-4.87796e-05j -0.0264479-0.00206592j -0.0273317-0.0322038j 0.00892989-0.0417572j -0.00432173+0.0100462j -0.0306622-0.0426982j 0.00865217+0.00259467j -0.0224853-0.0106859j 0.0618252-0.032237j -0.0139754-0.00107621j -0.031776+0.0207541j -0.0370356-0.00858482j -0.038608+0.0146616j 0.0506375-0.0124923j 0.0108548-0.0141747j -0.0175693+0.00888828j 0.0345562-0.014174j -0.0175523-0.0350936j -0.00323865+0.0520178j 0.00285453-0.0411978j 0.0596293+0.0239779j 0.0533739+0.00395863j 0.00451045+0.00465615j 0.00271469+0.0013324j -0.0180142-0.00713757j -0.00759939-0.002823j 0.0013806-0.00108117j 0.00513964+0.00625461j 0.0168127+0.00968608j -0.0106156-0.00422166j -0.00250581-0.00304125j 0.00109675-0.0057997j 0.00420492-0.0022965j -0.000808917-0.0039996j 
