-0.139949-0.328373j 0.336238-0.143993j 0.0997308-0.184966j -0.270369-0.0907103j 0.120194+0.163077j -0.0285575+0.139371j 0.0259613+0.0428823j -0.0162137+0.137816j -0.0271632-0.16097j 0.04204-0.050718j 0.0960727+0.0535804j -0.0100198+0.0076132j -0.0175324+0.0713299j 0.144858-0.164677j 0.0150414-0.0622663j 0.0266654+0.0116667j -0.116438+0.135482j -0.177181+0.0223081j -0.257736-0.116148j 0.0528891-0.205677j 0.263026+0.215253j 0.213566-0.260686j 
0.0408064-0.0187221j 0.0202561+0.0417336j 0.0108779-0.0267522j -0.042298-0.010386j 0.026679+0.0345268j 0.00919998+0.000901081j -0.0171715+0.00938914j 0.0132572+0.0377487j 0.00609811-0.0403681j -0.0014227-0.00172064j -0.0149725-0.000485019j 0.00556434+0.00624972j -0.00917752-0.000779972j 0.032141-0.0477574j 0.0246712-0.007525j -0.0141776-0.00903738j -0.0244974-0.00706654j -0.0403668+0.0175487j -0.0396874-0.025916j 0.00485069-0.024583j 0.0243183-0.047305j -0.0481325-0.0228195j 
-0.0363924-0.0208998j 0.0185766-0.0368013j -0.000420877+0.00757256j 0.0171927-0.00626162j -0.013871-0.0167024j -0.0140127+0.0154733j 0.0123345-0.00253829j -0.0114575-0.0187094j -0.00566837+0.019152j 0.0130136-0.00445958j 0.0174794+0.00154013j -0.0095835-0.000268874j -0.000311823+0.00214889j -0.00781497+0.0182334j -0.0150977-0.00195053j 0.0148977+0.0148964j 0.00340287+0.0086088j 0.0134419-0.0101882j -0.000126916-0.00143594j 0.0053055-0.00458942j 0.00853602+0.029474j 0.0287235-0.00889651j 
0.0154569+0.0112528j -0.0099471+0.0154387j -0.00355226-0.00739247j -0.0130948+0.00555916j 0.00923379-0.000443239j -0.00203861-0.00653035j 0.00393129+0.00429535j 0.00734683-0.000294229j -0.00604179-0.007335j -0.00601122+0.00781872j -0.0117931+0.00822355j 0.00267746-0.0143668j 0.00502866+0.00327333j -0.00959121-0.00634231j 0.00344497-0.00062582j -0.0147173+0.000374003j -0.00351895+0.00248348j 0.0115584+0.0100246j 0.0148507+0.0149299j -0.00824762+0.0254738j 0.0187717+0.0238202j 0.025116-0.0183527j 
0.00719745+0.0204327j -0.0203212+0.0059155j -0.0175657-0.0196157j -0.0203854+0.0260982j 0.0164243+0.0078821j -0.00755695-0.0128927j -0.0152217+0.0117433j 0.0097078-0.00384107j -0.00076805-0.00234834j -0.0117685+0.010778j 0.00289196+0.0110214j 0.0139685-0.00704819j 0.00206393-0.00550015j -0.0126968-0.00417309j 0.00688732+0.00311669j -0.0163661-0.0220963j 0.00184217+0.00370744j -0.00688841+0.00527813j 0.0360006-0.0098166j 0.00868811+0.0380337j 0.000725853+0.0178085j 0.0189418-0.00115958j 
0.0228903-0.00873235j 0.0104452+0.0228894j 0.0236694-0.00442818j -0.00800911-0.0304653j -0.0145647-0.0115536j 0.00294626+0.00246154j 0.026535-0.0200616j -0.00161846+0.0035616j -0.0131495-0.00378025j 0.00262541-0.00655289j -0.0134619+0.0119796j -0.0192399-0.0147104j 0.00950353+0.0145793j -0.00120321+0.00200352j -0.00148412-0.00704935j 0.00857878+0.0308773j -0.0189478+0.00125322j 0.0332674-0.00399933j 0.000653445+0.0441041j -0.0358608+0.00766391j 0.0256041-0.0031494j -0.00197268-0.0248338j 
-0.00212292-0.0207063j 0.0171467-0.000565152j -0.0126018+0.0146384j 0.0192323+0.00548841j -0.00463773-0.00387745j 0.00797841+0.0129628j -0.0107639-0.0120136j 0.00225325+0.00294074j 0.00316737+0.0100298j 0.0150996-0.00293583j 0.00402546-0.014508j -0.0142292+0.0148065j -0.00455269-0.0110957j 0.0111092-0.00447501j -0.00211681+0.00231236j 0.0101746+0.00460966j 0.00460159-0.00615997j -0.00923166-0.00146316j 0.00084275-0.010528j -0.000997655+0.00336742j 0.00118222-0.0109363j -0.0128804-0.000689632j 
-0.00590051-0.01312j 0.0111355-0.00408419j -0.00602584+0.0114458j 0.0135733+0.000303732j -0.000504-0.00190037j 0.00419714+0.00896783j -0.00612223+7.86041e-05j 4.05124e-05+0.00127411j 0.00381098+0.00216771j 0.00982012-0.00477487j 0.00359415-0.00767571j -0.00412546+0.00739875j -0.00713187-0.00387499j 0.00459054-0.00360512j 0.00246887+0.000418468j 0.000928596+0.00135705j -0.00336749-0.00365279j -0.00779961+0.00582497j -0.00393466-0.0115207j 0.000728873+0.00158517j 0.00430601-0.00452826j -0.00542593-0.0035647j 
-0.00618993-0.00635045j 0.00527846-0.00269584j 0.000881631+0.015548j 0.0149502-0.008063j -0.000235377-0.00900374j 0.0183238+0.00434919j -0.00673369-0.00103826j 0.00666646+0.00244703j 0.00391519-0.00112193j 0.0130187-0.0132218j -0.00770878-0.0112243j -0.00218975+0.0134631j -0.00980172-0.000546316j 0.00134272-0.00903903j 0.00359591+0.00281577j 0.0034974+0.00538246j -0.00333685-0.00460363j 0.00297846+0.0138051j -0.000549336-0.00491735j -0.000413482+0.0166353j 0.00248811+0.00163845j 0.00121569-0.000779534j 
0.019362+0.0173899j -0.015855+0.0181318j 0.00275819-0.000837526j -0.00106993+0.00261132j 0.0011232-0.0171874j 0.0206529-0.0054318j 0.0101162-0.0181245j 0.00911574+0.00933654j -0.00805661-0.00745202j 0.00761045+0.000795366j -0.0121874-0.0100171j -0.0105595+0.00819594j 0.00945618-0.00213306j 0.00680929+0.000290455j -0.00262447+0.00413739j 0.00745701+0.0155731j 0.0183666+0.00285378j 0.0121354-0.00246071j -0.000676262+0.00172926j 0.0137881+0.00126113j -0.0146854-0.0104041j -0.0105156+0.013673j 
0.00731549-0.00983135j 0.0105843+0.00523529j 0.00827433-0.00368692j 0.00283927-0.00405423j -0.0114465-0.0109916j -0.00142091-0.0278631j -0.0110215+0.00817398j 0.0066581-0.0034049j -0.00712785+0.00986115j -0.0108439-0.00856914j -0.00768715+0.00264773j 0.0217091+0.0107674j -0.0131091-0.00838628j -0.00900896+0.00901545j 0.00201628+0.00125017j 0.0069277-0.016268j 0.0280152-0.00912292j 0.00745232+0.00551222j -0.00510612+0.00440315j 0.00816644-0.0143792j 0.0137724+0.00199807j 0.001744-0.0145479j 
