-0.00835095+0.00204102j 0.0111986-0.00250786j 0.00269541+0.0171356j -0.0107929+0.0092422j 0.00986346-0.00350886j 0.00787487-0.00318762j 0.00227791-0.0148333j 0.0139838+0.0103128j -0.00895793+0.0131839j 0.00090739-0.0120116j 0.00473386+0.00332439j -0.00346567-0.000396645j -0.0107988+0.00553846j -8.92388e-05-0.00336279j 0.0104466-0.00276798j 0.0013002+0.000645957j -0.00279633-0.00102801j 0.00898724+0.00441048j -0.000805003+0.00658548j 0.0041978+0.00146595j -0.00553408+0.00402776j 0.00427032-0.00217091j -0.00396342-0.00529033j 0.00274175+0.00279711j -0.00276123+0.000961516j 0.00404191+0.00488101j -0.00428856-0.00480244j -0.000869562+0.0035266j 0.00153706-0.000760784j -0.00254072+0.010366j 0.00141321-0.00152439j 0.00457354-0.00775331j 0.000764045-0.00014644j -0.000915936+0.00879723j 0.00363458-0.00381307j -0.0104083+0.0103948j 0.0103931+0.00505355j 0.0114787+0.00827365j 0.0112169-0.00905147j -0.00963115-0.00960785j 
0.0108612+0.00704181j 0.00727773-0.0180654j 0.00325337+0.0102092j 0.00560661+0.0092574j 0.00193729+0.00116632j 0.00449735-0.00603221j -0.00655684+0.00317547j -0.00331863-0.00180966j 0.00126524-0.00581808j -0.00631495-0.00262412j 0.00604876-0.000261096j -0.00493005-0.00257855j 0.00600614+0.0015946j 0.0104285-0.00712855j 0.000351413+0.00510978j -0.0114629-0.00981215j 0.0102953+0.00341277j -0.00796452-0.00321349j 0.00442325-0.00536272j -0.0036434+0.00399333j 0.00679168+0.0132839j -0.0081589-0.0034311j 0.000758063-0.00143679j 0.00607147+0.00584722j -0.00139737-0.00790393j 0.00305721+0.00202093j -0.000928043+0.000104936j 0.00210401-0.00246131j 0.000664374-0.0125139j 0.00262568-0.0135768j -0.000324182+0.00185535j 0.00384547+0.000310729j -0.00641127-0.00826759j 0.00558184+0.00553477j 0.00538751-0.00102245j 0.0052394+0.0013303j -0.0106098+0.00380039j 0.0200941-0.00591241j -0.0181753-0.0122116j -0.00585977+0.0180749j 
-0.00311092-0.00684261j -0.0066934+0.0151674j -0.000299154-0.00516597j -0.00600478-0.00631587j -0.000778929-0.00321301j -0.00658654+0.00417681j 0.00130601-0.00381352j 0.00783236-0.00171831j 0.00429027+0.00944209j 0.00336355+0.00710952j -0.00869368-0.00485692j 0.00584791+0.00500069j -0.000713871-0.000817215j -0.0126843+0.00782409j -0.00722626-0.00123912j 0.000132041-0.000858324j -0.00223951+0.00293389j -0.00218467-0.0030077j -0.00361919-0.00453457j -0.00237874-0.00653784j 0.00105286+0.000179951j -0.00284642-0.000919661j 0.00383331+0.00735472j 1.6516e-05+0.00424543j 0.00365939-0.00146871j -0.00743833-0.0107189j 0.00797381+0.0088362j 0.00064115-6.52019e-05j 0.00198723-0.00390555j 0.00214335-0.0033014j 0.00412563-0.00134934j -0.015848+0.00961117j -0.00199105-0.00846558j -0.00310823-0.00344607j -0.00900295+0.00293112j 0.00381345-0.0152217j -0.0167353-0.0130654j -0.00634359+0.00114203j -0.011101-0.000394131j -0.00297154+0.0120667j 
-0.025871-0.00797636j -0.000921164+0.0101707j 0.00643926+0.00176931j -0.0123011+0.00190841j -0.00385363-0.0113619j -0.00834121+0.011123j -0.000210615+0.00228986j 0.00801252-0.00142424j 0.00475412+0.00547584j -0.00104383+0.000973545j -0.00701421+0.00612324j 0.00187198+0.00855087j 0.00327993-0.00706354j -0.00609109+0.00675513j -0.00764683+0.0020508j -0.0138201-0.00645111j 0.0112128+0.000254133j 0.00129639+0.00376248j 0.0011334+0.00301713j -0.000129544-0.000507764j 0.00464027+0.0165716j -3.14114e-05-0.00264258j -0.00451619-0.0050991j 0.0105154+0.00664938j -0.00352649-0.00652309j -0.00181518-0.00313919j 0.005133+0.000173363j 0.000181529+0.00356099j -0.00191951-0.00885587j -0.0103612+0.00757553j 0.00734543-0.00700124j -0.00478641+0.00157112j -0.00879056-0.00803642j -0.00051477+0.00919811j -0.00414885-0.00240241j -0.0131667-0.00459484j -0.00821926+0.00813197j 0.010727+0.000602497j -0.00859205+4.46417e-05j 0.00281766+0.00945727j 
-0.0243706-0.00374201j -0.00470424+0.0018765j 0.00344909-0.00842734j 0.0013637+0.00442877j -0.00816737+0.00347253j 0.000802862+0.0047849j -0.00680504+0.00771492j -0.0097429-0.00209514j -0.00186024-0.00787339j -0.0113828-0.0128882j 0.00399248+0.012752j -0.0108561+0.00506474j 0.000375424-0.00091237j 0.00672914-0.00337215j -0.000221944+0.000208368j 0.0057038-0.00745286j 0.00382523-0.00181445j 0.0101265+0.00602259j 0.00590168+0.0087479j 0.00707517+0.00332817j -0.00324684+0.00460876j -0.00215679+0.00257589j -0.000809626-0.00230855j -0.0118048-0.00247715j -0.00188088+0.0140755j -0.000739573-0.00803154j 0.0117957-0.000611528j -0.00267481+0.000983624j 0.00625444-0.00808607j -0.00384122+0.0134927j -0.00905191+0.000116658j -0.0164034+0.00215464j -0.00321928+0.00687524j -0.00949358-0.00410555j -0.00305102+0.00928304j 0.000862802-0.00377047j 0.000313931-0.00864765j -0.0108477-0.00153908j 1.41176e-05+0.00256549j 0.000397927-0.000930762j 
-0.0149668+0.000678519j 0.00857703-0.0192283j 0.00656628+0.0133656j -0.00306494+0.00878445j 0.0039414-0.00941529j -0.00090695+0.0019564j 0.00734599+0.00501327j 0.00509529+0.0112032j -0.00881595+0.00179707j -0.00540228-0.00519713j -0.00122278+0.00970696j -0.000193969+0.0108814j -0.00141864-0.00273423j -0.00658043+0.00437191j -0.000555813-0.00480828j 0.00456414+0.0029767j -0.00420578-0.00271721j 0.000806886-0.000874175j -1.46524e-05-0.00739837j -5.63937e-05+0.00105336j -0.00117095-0.0097938j 0.00284286-0.0064248j -0.00846435-0.00483337j 0.00391118-0.00142047j 0.000287296-0.00371751j 0.000275069-0.00885806j 0.0126728-0.0024778j 0.00261687+0.00363855j -0.00325498+0.0160476j 0.00553774+0.0118311j 0.00772035-0.0090386j -0.0053705+0.00696425j 0.00580963-0.00528272j 0.0018455-0.00307099j -0.0118459-0.00190377j -0.00318103-0.00630302j 0.00178244-0.0104841j -0.0139094-0.000513106j 0.00515385+0.0083319j 0.00220861-0.00376173j 
-0.00343081-0.00115934j -0.000680156+0.0131119j 0.00103617-0.00535205j 0.00762034+0.00633508j 0.012308+0.013723j 0.0134603-0.0188616j -0.00986561-0.0137336j 0.00099583+0.00219498j -0.0081363+0.00606563j -0.000964746-0.0101764j -0.00707523+0.00669345j 0.000667222+0.00893708j -0.00454352-0.00225004j -0.0117288+0.00699412j -0.00114484-0.00156338j 0.00372714+0.00326458j -0.0012352-0.00121274j 0.00142649+0.00373836j 0.00466237+0.000957302j 0.010662+0.000789677j 0.00501036-0.000138606j -0.00825594+0.0103494j 0.0120308+0.000224501j -0.0124841+0.000851256j 0.00338638+0.0187244j 0.00136672+0.00227346j 0.00114475-0.00146772j -0.00473228-0.00181989j -0.00351383-0.0193666j -0.0011104-0.00256951j -0.0112985+0.0142705j -0.00537653+0.00305202j -0.00604814+0.0153277j -0.00734704+1.64982e-06j 0.0107801+0.00556231j 0.00506236+0.00194395j -0.00325352+0.00245241j 6.64909e-05-0.00114693j -0.00535602+0.00312828j 0.000627831+0.00399714j 
-0.0177049+0.000584735j -0.00738512-0.00964091j -0.00217799-0.00225421j 0.00362139-0.00333013j -0.00610955+0.00238622j -0.00326231+0.00497749j -0.000372763+0.0107544j -0.00739809+0.000517511j -0.00122144-0.00444631j -0.00810964-0.000449879j -0.006173+0.00972582j 0.00498653+0.0108733j 0.00677339-0.0108774j -0.00827719+0.0119593j -0.0122731-0.00113552j -0.00012306-0.00130411j 0.00336319+0.00381906j -0.0185427-0.00278156j 0.00327424-0.0190498j -0.000810826+0.00341383j 0.00693512-0.00304346j -0.0103321-0.0020397j 0.0018085+0.000282392j -0.0024928-8.93787e-05j 0.00292016-0.00303138j 0.0138949+0.0127064j -0.0150604-0.00584827j 0.00326994-0.00510864j 0.00209419-0.00145791j 0.013312-0.0218504j -0.00667191+0.00904386j 0.0231314-0.00894931j 0.00321095+0.00210558j 0.00859599+0.00205784j 0.0140613-0.00301762j 0.00992196+0.0150764j 0.00323042+0.007823j 0.0137547+0.00312619j 0.00374252-0.00817408j -0.00185298-0.00200296j 
0.0197153+0.000370905j 0.00461254-0.00731522j -0.000204834+0.0100755j -0.00752952-0.00206336j -0.00300041-0.00570068j -0.00245816+0.00506488j 0.00345598-0.00310146j 0.00123423+0.00172497j -0.00496118-0.000331989j 0.00525916-0.0071357j -0.00953192+0.0067572j -0.000792749+0.00955521j 0.00316246-0.0112215j -0.0116322+0.00420236j -0.00795696-0.00463767j -0.00262054-0.000268331j 0.00315368-0.00462472j 0.0156344+0.00576361j -0.00963703+0.00819095j 0.00128791-0.0134314j 3.28892e-05+0.00184557j 0.000639125+0.00986692j 0.00130533+0.0142342j -0.00142681-0.001373j 0.000186657+0.00626308j -0.000960469+0.00451852j -0.0221735+0.00857226j -0.000941739-0.00173242j 0.000559398-0.0064012j -0.000357926-0.00383354j -0.00548043+0.00620915j -0.000259889-0.0138128j -0.000325734+0.00838019j 0.00246234+0.000317821j 0.00450214-0.00301399j 0.00523249+0.0132939j 0.0112933+0.000434516j 0.00694739-0.00305255j 0.0053914-0.00555503j -0.00497304-0.0051874j 
0.00574355-0.00120561j -0.00386325+0.00728251j -0.00675669-0.00920195j 0.00211047-0.00545324j -0.00600363+0.00989861j -0.000848713+0.00241731j -0.0142889+0.00710472j -0.0132468-0.00345429j -0.00197766-0.00442954j -0.0166232-0.0135276j 0.00330583+0.0100199j -0.0112296+0.0101594j 0.00523699-0.000864971j -0.00217984-0.00688357j 0.00251727-0.0070714j -0.00502602-0.00898408j 0.00386012-0.0056864j 0.0155427+0.00591056j -0.0186653+0.00819454j -0.015473-0.00817094j -0.00306289-0.00491077j 0.00495637+0.00846688j 0.00122696+0.0150454j 0.0130526+0.00228403j -0.00376816-0.0108313j -0.00603815+0.00780796j -0.0172224+0.00878814j 0.000925797-0.00335152j -0.00368156+0.00327393j -0.00309034-0.0133523j 0.00534355+0.00152012j 0.0105546-0.00520728j -0.000111732-0.00468595j 0.00855681+0.00239283j 0.0048622-0.00690689j 0.00131772+0.00309475j 0.00254859+0.0082956j 0.0097469-0.002783j -0.00367886-0.00494085j -0.000197232+0.000905958j 
0.00144626+0.00256166j 0.00021087-0.020526j -0.00465481+0.014698j 0.000597876+0.00413024j 0.00586697+0.0133817j 0.0103333-0.00311883j -0.00886135+0.000825935j -0.00249607+0.00253335j -0.00117491+0.00530752j -0.015334-0.0117001j 0.000247249+0.0154837j 0.00142196+0.0103172j -0.0057238+0.00181844j -0.00286316+0.0117488j -0.0013698-0.00148432j 0.00661588-0.0044307j 0.00140404+0.002991j -0.00598684+0.00990258j -0.00124002-0.00786393j 0.0114329+0.00929216j -0.00177864-0.000863554j -0.0080176-0.00270907j -0.00786028-0.00977831j -0.00196982+0.00155323j -0.00445294+0.00467679j 0.00131488-0.0156575j 0.0206419-0.00929076j -0.000911258+0.00220636j 0.00444712-0.00185724j -0.00367652+0.011327j 0.00199916-0.00670947j -0.01326+0.00671028j -0.00673008-0.00542255j -0.00651542-0.00107692j -0.009086+0.00492978j -0.00812835-0.013139j -0.00912926-0.00676624j -0.00974634+0.00171351j -0.00375612+0.00617344j 0.00303848+0.00486608j 
