-0.0478535-0j -0.00486871-0j -0.00491916-0j -0.00280213-0j -0.000404453-0j -0.00346746-0j -0.00202269-0j -0.000500485-0j -0.00029195-0j -0.00197519-0j -0.000349168-0j -0.00230439-0j -2.90973e-05-0j -0.00141115-0j -0.00201634-0j -0.000407363-0j -0.000249458-0j -0.000831699-0j -3.39469e-05-0j -0.000356442-0j -2.07881e-05-0j -0.000147025-0j -2.97035e-05-0j -1.22521e-05-0j -0.00152518-0j -0.000254196-0j -0.00172287-0j -0.000155663-0j -3.17745e-05-0j -0.00140672-0j -1.87233e-06-0j -0.0014213-0j -0.000287145-0j -0.00123088-0j -0.00017584-0j -0.000234453-0j -0.00101542-0j -3.58932e-05-0j -0.000143573-0j -0.000236883-0j -2.11502e-06-0j -0.000324433-0j -2.93066e-05-0j -0.00014506-0j -0.000205147-0j -0.000125626-0j -1.72691e-06-0j -0.000169237-0j -2.96103e-05-0j -2.56433e-05-0j -0.000103636-0j -1.74481e-06-0j -5.40721e-05-0j -2.11547e-05-0j -3.31123e-05-0j -1.51105e-06-0j -6.75901e-06-0j -1.24655e-06-0j -3.98279e-07-0j 
0.00732604-0j -0.0351448-0j -0.035509-0j 0.000428987-0j -0.00590101-0j 0.000530845-0j 0.000309659-0j -0.00730212-0j -0.00425957-0j 0.000302388-0j -0.00252047-0j 0.000352786-0j -0.000639026-0j 0.000216037-0j 0.000308688-0j -0.00294055-0j -0.00180071-0j 0.000127327-0j -0.000745531-0j -0.00257298-0j -0.000456542-0j -0.0010613-0j -0.000652339-0j -0.000269076-0j 0.000233494-0j -0.00183492-0j 0.00026376-0j 2.38309e-05-0j -0.000463593-0j 0.000215359-0j -5.49217e-05-0j 0.000217591-0j -0.00207276-0j 0.000188439-0j 2.69199e-05-0j -0.0016924-0j 0.000155454-0j -0.000523684-0j 2.198e-05-0j -0.00170994-0j -6.20406e-05-0j 4.96684e-05-0j -0.000427587-0j 2.22078e-05-0j -0.00148085-0j 1.92325e-05-0j -5.06559e-05-0j -0.00122164-0j -0.000432018-0j -0.000374138-0j 1.5866e-05-0j -5.11809e-05-0j -0.000390319-0j -0.000308648-0j 5.06926e-06-0j -4.43239e-05-0j -9.86146e-05-0j -3.65654e-05-0j -1.16828e-05-0j 
0.00553797-0j 0.000563443-0j 0.000569282-0j -0.0310032-0j 4.68063e-05-0j -0.0383645-0j -0.0223793-0j 5.79199e-05-0j 3.37866e-05-0j 0.000228584-0j -0.00386324-0j 0.000266681-0j 3.36736e-06-0j 0.000163308-0j 0.000233346-0j -0.00450712-0j -0.00276003-0j 9.62504e-05-0j 3.92859e-06-0j -0.00394373-0j 2.40576e-06-0j -0.0016267-0j 3.43751e-06-0j 1.4179e-06-0j 0.000176505-0j 2.94175e-05-0j 0.000199384-0j -0.00346256-0j -0.000351558-0j 0.000162796-0j 2.1668e-07-0j 0.000164483-0j 3.32306e-05-0j 0.000142447-0j -0.00391138-0j 2.71327e-05-0j 0.000117512-0j -0.000397127-0j -0.00319363-0j 2.74139e-05-0j 2.44767e-07-0j 3.75458e-05-0j -0.000324253-0j -0.00322673-0j 2.37411e-05-0j -0.00279443-0j 1.99851e-07-0j 1.95854e-05-0j -0.000327613-0j -0.000283721-0j -0.00230528-0j 2.01922e-07-0j 6.25763e-06-0j -0.000234058-0j -0.00073655-0j 1.7487e-07-0j -7.47827e-05-0j 1.4426e-07-0j 4.60918e-08-0j 
-0.000799337-0j 0.00775054-0j 0.00783086-0j -4.68063e-05-0j -0.030033-0j -5.79199e-05-0j -3.37866e-05-0j -0.0371639-0j -0.021679-0j -3.29933e-05-0j 0.000555844-0j -3.84921e-05-0j -0.00662139-0j -2.35715e-05-0j -3.36806e-05-0j 0.000648484-0j 0.000397114-0j -1.38925e-05-0j -0.00772495-0j 0.000567424-0j -0.00473055-0j 0.00023405-0j -0.00675933-0j -0.00278808-0j -2.54763e-05-0j 0.000404658-0j -2.87786e-05-0j -2.60017e-06-0j -0.00235945-0j -2.34976e-05-0j -0.000858129-0j -2.37411e-05-0j 0.000457109-0j -2.05604e-05-0j -2.9372e-06-0j 0.000373228-0j -1.69615e-05-0j -0.00266528-0j -2.39821e-06-0j 0.000377096-0j -0.000969359-0j -5.41927e-06-0j -0.00217619-0j -2.42307e-06-0j 0.000326575-0j -2.09844e-06-0j -0.000791479-0j 0.00026941-0j -0.00219874-0j -0.00190417-0j -1.73112e-06-0j -0.000799681-0j 8.60779e-05-0j -0.00157086-0j -5.53102e-07-0j -0.000692544-0j -0.000501896-0j -0.000571319-0j -0.000182539-0j 
0.00488403-0j 0.00049691-0j 0.00050206-0j 0.000285991-0j 4.12793e-05-0j 0.000353896-0j 0.00020644-0j 5.10805e-05-0j 2.9797e-05-0j -0.0291026-0j 3.56368e-05-0j -0.033953-0j 2.96973e-06-0j -0.0207919-0j -0.0297089-0j 4.15763e-05-0j 2.54602e-05-0j -0.0122543-0j 3.46469e-06-0j 3.63792e-05-0j 2.12168e-06-0j 1.50057e-05-0j 3.0316e-06-0j 1.25047e-06-0j 0.000155663-0j -0.00374534-0j 0.00017584-0j 1.58873e-05-0j 3.24298e-06-0j 0.000143573-0j 1.91094e-07-0j 0.00014506-0j -0.00423081-0j 0.000125626-0j 1.79466e-05-0j -0.00345444-0j 0.000103636-0j 3.66333e-06-0j 1.46533e-05-0j -0.00349024-0j 2.15864e-07-0j 3.31123e-05-0j 2.9911e-06-0j 1.48052e-05-0j -0.00302264-0j 1.28217e-05-0j 1.76252e-07-0j -0.00249355-0j 3.02209e-06-0j 2.61721e-06-0j 1.05773e-05-0j 1.78079e-07-0j -0.000796701-0j 2.15909e-06-0j 3.37951e-06-0j 1.54221e-07-0j 6.89839e-07-0j 1.27225e-07-0j 4.06492e-08-0j 
0.00463339-0j 0.000471411-0j 0.000476296-0j 0.000271315-0j 3.9161e-05-0j 0.000335736-0j 0.000195846-0j 4.84593e-05-0j 2.82679e-05-0j 0.000191247-0j 3.3808e-05-0j 0.000223122-0j 2.81734e-06-0j 0.000136634-0j 0.000195231-0j 3.94427e-05-0j 2.41536e-05-0j 8.05289e-05-0j 3.28689e-06-0j 3.45124e-05-0j 2.0128e-06-0j 1.42356e-05-0j 2.87603e-06-0j 1.1863e-06-0j -0.0285644-0j 2.46125e-05-0j -0.0322669-0j 1.5072e-05-0j 3.07656e-06-0j -0.0263459-0j 1.81288e-07-0j -0.0266189-0j 2.78027e-05-0j -0.0230526-0j 1.70256e-05-0j 2.27008e-05-0j -0.0190174-0j 3.47534e-06-0j 1.39014e-05-0j 2.29361e-05-0j 2.04786e-07-0j -0.00607616-0j 2.8376e-06-0j 1.40454e-05-0j 1.98632e-05-0j 1.21637e-05-0j 1.67207e-07-0j 1.63863e-05-0j 2.86701e-06-0j 2.4829e-06-0j 1.00345e-05-0j 1.6894e-07-0j 5.23551e-06-0j 2.04829e-06-0j 3.20608e-06-0j 1.46306e-07-0j 6.54439e-07-0j 1.20697e-07-0j 3.85632e-08-0j 
-0.000863382-0j 0.00414185-0j 0.00418477-0j 0.00483347-0j 0.00069544-0j 0.00598111-0j 0.00348898-0j 0.000860563-0j 0.000501995-0j -3.56368e-05-0j -0.0283985-0j -4.15763e-05-0j 7.531e-05-0j -2.54602e-05-0j -3.63792e-05-0j -0.0331316-0j -0.0202889-0j -1.50057e-05-0j 8.78616e-05-0j -0.0289902-0j 5.3804e-05-0j -0.0119578-0j 7.68789e-05-0j 3.17109e-05-0j -2.75176e-05-0j 0.000216247-0j -3.10844e-05-0j 0.000539822-0j -0.00522338-0j -2.53803e-05-0j 6.47258e-06-0j -2.56433e-05-0j 0.000244277-0j -2.22078e-05-0j 0.000609794-0j 0.000199451-0j -1.83205e-05-0j -0.00590044-0j 0.000497895-0j 0.000201518-0j 7.31156e-06-0j -5.85348e-06-0j -0.00481769-0j 0.000503054-0j 0.00017452-0j 0.000435658-0j 5.96986e-06-0j 0.000143972-0j -0.00486762-0j -0.00421548-0j 0.000359399-0j 6.03173e-06-0j 4.59996e-05-0j -0.00347759-0j 0.00011483-0j 5.22363e-06-0j -0.00111111-0j 4.30927e-06-0j 1.37683e-06-0j 
7.19485e-05-0j -0.0010501-0j -0.00106098-0j 4.21305e-06-0j 0.00828431-0j 5.21339e-06-0j 3.04114e-06-0j 0.0102513-0j 0.00597993-0j 2.96973e-06-0j -7.531e-05-0j 3.46469e-06-0j -0.0274973-0j 2.12168e-06-0j 3.0316e-06-0j -8.78616e-05-0j -5.3804e-05-0j 1.25047e-06-0j -0.0320802-0j -7.68789e-05-0j -0.019645-0j -3.17109e-05-0j -0.0280702-0j -0.0115784-0j 2.29313e-06-0j -5.48261e-05-0j 2.59037e-06-0j 2.34042e-07-0j 0.00065083-0j 2.11502e-06-0j -0.00730923-0j 2.13694e-06-0j -6.19327e-05-0j 1.85065e-06-0j 2.64378e-07-0j -5.05678e-05-0j 1.52671e-06-0j 0.00073519-0j 2.15864e-07-0j -5.10918e-05-0j -0.00825665-0j 4.8779e-07-0j 0.00060028-0j 2.18101e-07-0j -4.42468e-05-0j 1.88881e-07-0j -0.00674153-0j -3.65018e-05-0j 0.000606501-0j 0.000525245-0j 1.55819e-07-0j -0.00681139-0j -1.16625e-05-0j 0.000433305-0j 4.97848e-08-0j -0.00589884-0j 0.000138443-0j -0.00486629-0j -0.0015548-0j 
-0.000772232-0j 0.00370458-0j 0.00374297-0j -4.52192e-05-0j 0.000622021-0j -5.59559e-05-0j -3.2641e-05-0j 0.000769711-0j 0.000448998-0j 0.00460152-0j 0.000265681-0j 0.00536844-0j 6.73593e-05-0j 0.00328748-0j 0.00469739-0j 0.000309961-0j 0.000189811-0j 0.00193757-0j 7.85858e-05-0j 0.000271216-0j 4.81238e-05-0j 0.000111871-0j 6.87626e-05-0j 2.83631e-05-0j -2.46125e-05-0j -0.0279224-0j -2.78027e-05-0j -2.512e-06-0j 4.8867e-05-0j -2.27008e-05-0j 5.78925e-06-0j -2.29361e-05-0j -0.0315417-0j -1.98632e-05-0j -2.8376e-06-0j -0.0257537-0j -1.63863e-05-0j 5.52012e-05-0j -2.31689e-06-0j -0.0260206-0j 6.53965e-06-0j -5.23551e-06-0j 4.50716e-05-0j -2.3409e-06-0j -0.0225345-0j -2.02728e-06-0j 5.3396e-06-0j -0.01859-0j 4.55387e-05-0j 3.94376e-05-0j -1.67242e-06-0j 5.39494e-06-0j -0.00593959-0j 3.25344e-05-0j -5.34347e-07-0j 4.67215e-06-0j 1.03949e-05-0j 3.85433e-06-0j 1.23148e-06-0j 
-0.000528711-0j 0.00253635-0j 0.00256264-0j -3.09595e-05-0j 0.000425868-0j -3.83104e-05-0j -2.23477e-05-0j 0.000526985-0j 0.000307408-0j -2.1823e-05-0j 0.000181899-0j -2.54602e-05-0j 4.61177e-05-0j -1.55911e-05-0j -2.22776e-05-0j 0.000212216-0j 0.000129955-0j -9.18906e-06-0j 5.3804e-05-0j 0.000185689-0j 3.29481e-05-0j 7.65927e-05-0j 4.70785e-05-0j 1.94189e-05-0j 0.00653576-0j 0.000132424-0j 0.00738292-0j -1.71985e-06-0j 3.3457e-05-0j 0.00602813-0j 3.96363e-06-0j 0.0060906-0j 0.000149588-0j 0.00527462-0j -1.94277e-06-0j 0.000122138-0j 0.00435134-0j 3.77937e-05-0j -1.58627e-06-0j 0.000123404-0j 4.47739e-06-0j 0.00139027-0j 3.08584e-05-0j -1.60271e-06-0j 0.000106871-0j -1.38799e-06-0j 3.65578e-06-0j 8.81642e-05-0j 3.11782e-05-0j 2.70011e-05-0j -1.14503e-06-0j 3.69366e-06-0j 2.81689e-05-0j 2.22748e-05-0j -3.65842e-07-0j 3.19881e-06-0j 7.1169e-06-0j 2.63888e-06-0j 8.43135e-07-0j 
-0.000472894-0j -4.81131e-05-0j -4.86117e-05-0j 0.00532249-0j -3.99685e-06-0j 0.00658625-0j 0.00384198-0j -4.94585e-06-0j -2.88508e-06-0j -1.95191e-05-0j 0.000663225-0j -2.27723e-05-0j -2.87543e-07-0j -1.39451e-05-0j -1.99257e-05-0j 0.000773762-0j 0.000473831-0j -8.21894e-06-0j -3.35467e-07-0j 0.000677042-0j -2.05431e-07-0j 0.000279266-0j -2.93534e-07-0j -1.21076e-07-0j -1.5072e-05-0j -2.512e-06-0j -1.70256e-05-0j -0.0281192-0j 6.03539e-05-0j -1.39014e-05-0j -1.85026e-08-0j -1.40454e-05-0j -2.8376e-06-0j -1.21637e-05-0j -0.031764-0j -2.31689e-06-0j -1.00345e-05-0j 6.8177e-05-0j -0.0259352-0j -2.3409e-06-0j -2.09009e-08-0j -3.20608e-06-0j 5.56663e-05-0j -0.026204-0j -2.02728e-06-0j -0.0226933-0j -1.70655e-08-0j -1.67242e-06-0j 5.62432e-05-0j 4.8708e-05-0j -0.018721-0j -1.72424e-08-0j -5.34347e-07-0j 4.01821e-05-0j -0.00598146-0j -1.49323e-08-0j 1.28384e-05-0j -1.23186e-08-0j -3.93584e-09-0j 
