-0.00297364-0.00578606j 0.00159613+0.021801j -0.00471604+0.0155088j 0.00133991-0.000329878j 0.000848555+0.00267921j 0.000250239+0.0416463j -0.00625828+0.0182632j 0.000294623+0.0287374j 0.00498343+0.0157877j 0.0167502+0.040327j 0.016577-2.84703e-05j 0.00810737-0.0545537j 0.0483897-0.0310566j -0.0560391+0.0694288j 0.0148019+0.0543737j -0.0183377+0.00559979j -0.00594823+0.0129007j -0.00109166+0.0042225j 0.0233942-0.00924733j 0.0157973-0.01262j 0.0165295-0.0107181j 0.0211409-5.1072e-05j 0.0190811-0.00167218j 0.0121325-0.00433716j -0.00952662-0.00584601j -0.014506+0.0154509j 0.00464503-0.00619717j 0.0222721-0.00440695j -0.0123676+0.0070561j 0.0155362-0.00661043j -0.0284797+0.000350946j 0.0064363-0.00398119j 0.0334874+0.00927124j 0.0264262+0.00559575j 0.0340988+0.0189394j -0.0197759-0.0142647j 0.0246815+0.0086558j -0.00403444+0.000460781j 0.00879277+0.00785272j -0.0106398+0.00153669j -0.00373093+0.00167941j 0.00871322+0.00382267j -0.00472304-0.0114889j -0.00384533-0.000526861j 0.00373583-0.0074372j 0.00489079-0.00501822j 0.0044495+0.00307842j 0.0106295+0.00111184j -0.00250207-0.011846j 0.00143896-0.00626031j -0.00268502+0.000860657j -0.0102428-0.00497532j -0.00611155+0.0140264j 0.00461013+0.00236112j 0.00900191-0.00824219j 0.0108072+0.00845327j 0.00171258+0.00372905j 0.0035412-0.00598442j 0.000888343-0.00301686j -0.00975649+0.00137231j -0.012064+0.00536271j 0.0132181+0.00493457j 0.000238567-0.00440823j -0.00791475-0.00266095j 0.0117599-0.0103901j -0.00253235+0.00333313j -0.00289562+0.00660875j 0.00645974+0.00984871j -0.0115889+0.0108899j 0.000265692+0.0020245j 0.00599183-0.000382765j 0.00447702+0.00385513j -0.0170331-0.000854013j -0.00525493+0.00990828j 0.0079254+0.0128386j -0.00677325-0.00144322j 0.00219981-0.000127263j 0.00674775-0.000299938j 0.00019186-0.0059842j 0.00341363-0.00314191j 0.00647799+0.0183558j 0.00584427-0.00921287j -0.00182954-0.00116202j -0.00577326-0.00231085j 0.0213617+0.00809672j 0.00291302+0.00601578j 0.00434577+0.00631222j -0.00194399+0.0018572j 0.00716461-0.0080676j 0.00888063+0.00653443j 0.0136559+0.0132691j -0.0110607+0.0177942j -0.00458414-0.000330924j -0.0159559-0.00328918j -0.00992445+0.0190328j 
0.00305307+0.0266192j 0.00386317+0.0145261j 0.00489359+0.00964371j -0.0093945+0.0238271j -0.00490081-0.0122445j 0.0100261+0.0188504j -0.0160587+0.0173055j -0.0153787+0.00360073j 0.00854482-0.00280616j 0.0232848-0.00811529j 0.00440007-0.0617614j 0.022849+0.025238j 0.0193951+0.0209823j 0.0192071+0.0467623j 0.0448206-0.0662773j -0.0140319+0.0203194j 0.0216761-0.00372893j 0.0185564-0.00302709j 0.0199467-0.0135797j 0.00247585-0.00403673j -0.00232271-0.0105931j 0.00995573-0.00286778j -0.00782799+0.000305043j -0.0124968+0.00217776j -0.00214559+0.00344988j 0.00685958+0.00416922j 0.00567893+0.00298545j 0.000447951-0.00907974j 0.0491717-0.00319321j -0.0240855+0.00536187j -0.0215944-0.00484798j 0.0254404+0.012096j -0.025386+0.00158531j -0.00290182+2.75669e-05j -0.0159193-0.00039225j 0.0240674+0.00767697j 0.0230736+0.0103575j 0.00889355+0.0101088j 0.0102458+0.00128152j 0.00207841-0.0024847j -0.0118988+0.00341928j 0.00640371-0.00586586j -0.0102745-0.0125238j -0.003078+0.00042282j 0.00959626-0.00508606j 0.00602262+0.00345784j 0.0119712-0.000693435j 0.00240097-0.00312018j 0.00252506+0.000866056j -0.000359655+0.00177604j -0.00939003-0.00522645j 0.00341879+0.00781278j 0.00250308-0.00238595j 0.00212909-0.00298269j 0.00110831+0.00818115j -0.0017196-0.00660489j 0.00479657+0.000635822j 0.00091341-0.00657732j -0.00277611+0.00481467j 0.00308404-0.00294663j 0.00539718+0.00372715j -0.0108119+0.000179906j 0.00213505+0.00112158j 0.00224882+0.00540854j 0.00474464-0.0074178j 5.08077e-05+0.00269142j 0.00635272+0.0030309j 0.0133019-0.000751647j 0.00225325+0.0013832j -0.0221352+0.00703715j 0.00116187+0.00171524j -0.0055002+0.00768431j 0.00461831+0.00250348j 0.0052087+0.00115455j 0.00581641-5.06745e-05j 0.0093311-0.0147391j 0.0229595+0.0211703j 0.0083526+0.0156608j 0.00635594-0.00604812j 0.0150716-0.010006j -0.00763694-0.0103327j -0.00186776+0.00543625j -0.0183352+0.0112254j 0.0100257+0.0200199j -0.00465609-0.00678244j -0.000858104+0.00922546j -0.0061359+0.00773869j 0.000814417-0.00971545j 5.30975e-05+0.0239232j -0.00993139-0.012387j 0.016131+0.0035287j 0.00161588-0.00167771j 0.00341125+0.00259781j 0.00413337-0.0194202j -0.0173582+0.00486822j 
0.00652636+0.0307936j 0.000128754-0.0027964j 0.0135955+0.0119351j -0.0119501+0.00785777j -0.003924-0.00149924j 0.0165491+0.00901185j -0.0157337+0.0279777j -0.0172896-0.0296919j 0.0106115-0.0288645j 0.0108034-0.00303431j 0.0053295+0.067581j 0.022047+0.0172932j 0.0176604-0.0778086j 0.00148032-0.00843451j -0.00182354+0.00255493j -8.25799e-05+0.0150268j 0.0222924-0.0148014j 0.00802225+0.00177501j 0.0144483-0.00959298j 0.0192598-0.00593558j -0.00215772-0.00463872j 0.00318691-0.00529875j -0.0159703+0.0035681j -0.0274269+0.0103456j 0.0241192+0.00551679j -0.00520475+0.00166208j 0.015907+0.00239517j -0.0234292-0.00123496j 0.00188114+0.00778442j 0.0472777+0.000317582j 0.0328704+0.00422611j -0.00997944+0.00503326j -0.0141114-0.00852374j -0.0103922+0.00306551j 0.0420712+0.0134013j 0.0109564-0.00201845j -0.00583492+0.00117044j 0.0134813+0.00867153j 0.0041996-0.00503005j 0.00826003-0.00457907j -0.00463207+0.00655194j 0.00464612-0.00261012j -0.00727808-0.00706675j 0.00226155+0.0104619j 0.0103157+0.00176067j 0.000928396-0.00295907j 0.005604+0.00406496j 0.00639405+0.000775987j -0.00738006-0.00489656j 0.00709852-0.00457713j -0.00180398-0.00660241j 0.00218764+0.000969502j -0.0047627+0.00104498j 0.000623746-0.00494707j 0.00990678+0.00554066j 8.04837e-05-0.00264585j 0.00531029+0.000387243j 0.00341578-0.00892749j 0.0019599+0.00801987j -0.000680141-0.00614335j 0.000535715-0.00647523j -0.00907912+0.00389374j 0.00779588+0.00474359j 0.0113261+0.0048004j 0.00269426-0.000801878j -0.00227107-0.00059717j 0.0180779-0.0110358j -0.0122217+0.00793925j 0.00649414-0.000811917j 0.0200909+0.000569009j -0.0019604-0.0129162j -0.00531808-0.0151425j -0.00842889-0.00761845j -0.00554639+0.00183331j 0.00875056-0.0140565j 0.00790733+0.0175302j -0.00334473-0.00506788j -0.00827759-0.00385504j -0.00447299-0.00322654j -0.00354443+0.00386934j -0.00369257-0.000392892j -0.00503517+0.00456118j 0.00261728-0.0046313j 0.00303958+0.00834419j 0.0141801+0.0129516j -0.0112118-0.000569263j 0.00438647-0.00976738j 0.00623559-0.00233029j 0.0061921+0.00132204j -0.00793534-0.00209974j 0.00627651-0.00152204j 0.00218052+0.0127544j -0.00432739+0.0139399j 0.00270026-0.0114342j -0.00879133-0.000424673j 
-0.00313515-0.0157041j -3.3406e-05+0.000877104j -0.00332105+0.0065794j 0.00299449-0.020161j 0.0163193+0.059394j -0.0152552+0.000798784j 0.00402107+0.0723513j -0.00601034-0.0454841j -0.0056621+0.0571513j -0.0223208+0.0259936j -0.0124983+0.0631429j 0.0126625-0.0280263j -0.00486408+0.00592157j -0.000756702+0.000288511j -0.000481491+0.00106071j 0.000615098-0.0074199j -0.010773+0.00691181j -0.0105221+0.00585105j 0.00442662+0.00302965j 0.0287953-0.0127347j -0.017746+0.0178097j -0.000177426-0.00136986j 0.0119328+0.00323168j -0.0068743+0.0108263j 0.0136638+0.00409001j 0.0465655+0.00518957j 0.017439-0.00230172j 0.0271459-0.00492326j 0.00324442-0.00147053j 0.00916465-0.00276733j 0.00777985+0.00569788j -0.0154067-0.0116511j -0.0485741-0.0111747j 0.00701196+0.00374815j -0.00353172-0.00150859j -0.00487828+0.0010951j 0.00227378-0.00133315j -0.00664843-0.00446668j -0.00206872+0.00278863j -0.00330721+0.000507191j 0.00573525+0.000101671j 0.00103316+0.00503604j 0.00356687-0.00161694j 0.00584164+0.00555249j 0.00518481+0.0157577j 0.000517878-0.00141009j -0.00512513-0.00585714j 0.0030708-0.0055548j -0.00742907-0.0111863j 0.00106993-0.0110812j 0.0128983-0.0140949j 0.00903405-0.00643248j 0.0018069-0.00640065j -0.00844881-0.0138557j 0.00879744-0.00590351j 0.00837906-0.00251826j 0.014318-0.006669j 0.00940587+0.0108133j 0.0131626-0.00137892j 0.0067132-0.00173154j 0.005643+0.00725728j -0.000520653-0.00347148j -0.00483769-0.00285675j -0.0090127+0.000689139j -0.00682649-0.00733989j -0.000614741+0.00122476j 0.0108108-0.00497408j 0.00332496+0.0019893j -0.0170209+0.00262496j -0.0118175+0.00508602j -0.000247279-6.63951e-06j -0.00542092-0.0121743j -0.00602124+0.00335597j 0.013008+0.0032101j -0.00328942+0.0114561j -0.00134588-0.00905966j 0.000892419+0.00176205j 0.00221246+0.013721j -0.0143574+0.00253415j 0.00107864-0.013105j -0.0185626-0.00926492j -0.0144361-0.00381924j -0.00231391-0.000593974j 0.00464403-0.00193612j 0.00126726+0.00236136j 0.00196077-0.00421548j 0.00340328-0.0194457j 0.00559627-0.0107423j -0.00134799+0.0101202j 0.00301153+0.00293043j -0.00168446-0.000504442j -0.00185474+0.0022985j -0.00145983-0.000952501j -0.00120205+0.00471053j 0.00388426+0.000400727j 
0.00649464+0.0261172j -0.00174865-0.0118704j 0.0202384+0.0205781j -0.0112707+0.0117659j 3.32981e-05+0.0490988j 0.00696887-0.0136703j -0.0182797-0.0319241j -0.00779897+0.0165978j -0.00525186+0.0875835j 0.0042549-0.0478425j -0.00186072+0.00307934j 0.0027371-0.0223347j 0.00293549-0.00595687j 0.00106348-0.000263682j 0.00193836+0.000255879j 0.00551015+0.00790336j 0.0172723-0.0157444j 0.00570861+0.00474726j 0.0177146-0.0116215j 0.0211969-0.00741527j -0.0148305+0.00799564j -0.0330879-8.55994e-05j -0.0325347+0.00204362j 0.0398622-0.00765448j -0.00930516+0.012306j -0.000663372-0.0036104j -0.000721238-0.00391078j 0.0193263-0.00773977j -0.00396728+0.0100183j -0.0530024-0.0105619j 0.00893223+0.00016206j 0.0224339+0.00229221j -0.00548008-0.00177067j 0.0134124+0.00087222j 0.0082132+0.0023583j 0.00436695-0.000877428j -0.00473332+0.00235362j 0.0120774+0.00559697j 0.000989512-0.00613245j 0.0080665-0.00639051j -0.000127343+0.00589523j 0.00354631-0.00112855j -0.00797279-0.00837779j 0.00161566+0.00841221j 0.0160572+0.0118488j 0.00205207-0.00406022j 0.00450385+0.00228936j 0.00458634-0.00748784j -0.000980348+0.0166573j 0.00904392+0.0105073j 0.0083002+0.0036961j 0.00578462-0.00720425j -0.00236157-0.00746698j -0.0101912+0.00722883j -0.00901298-0.00850142j -0.0111937+0.0119741j -0.0152984+0.00183275j -0.00610798-0.00231149j 0.00456658-0.00589438j 0.00965675-0.000607571j -0.0172853+0.0151534j 0.00289618+0.00988559j -0.00427369-0.0019661j -0.00757877-0.0102956j -0.00129628+0.0121312j 0.0239351+0.00977029j -0.00886064+0.00396698j 0.000441636-0.0140546j 0.00311134-0.00108384j 0.0109354-0.00396968j -0.00170531-0.00274121j 0.0135904+0.00308209j -0.0020748-0.00605532j 0.000220976-0.00853097j -0.0123677-0.00229685j -0.0228759+0.00282604j -0.0133225-0.00293034j 0.00525317-0.00683115j 0.00367924+0.014545j -0.000124961+0.00384719j 0.000185297+0.0038207j -0.00179596-0.0204826j -0.00158197-0.00829363j 0.00531442-0.0157494j 0.00804115+0.00169454j -0.00213733+0.000926805j 0.00137389+0.00051044j 0.00405656+0.00163309j 0.00351081+0.00584487j -0.00587992-0.000954157j 0.00175499-0.000839205j 0.00222942+0.00851871j -0.00251196+0.00604838j 0.00340257-0.00674169j -0.00476423-0.00273813j 
-0.00850742-0.0209781j 0.00968893+0.0448208j -0.0261879-0.0112326j 0.00277238+0.0531136j 0.014054+0.0426269j -0.0196074+0.0461552j -0.00148851-0.0258614j -0.00454988+0.030488j -0.00435192+0.0100434j -0.00732117+0.0212009j -0.0021257+0.011281j -0.00297324+0.0174192j -0.00184965+0.00525416j -0.002481+0.0023846j 0.00198209-0.00183362j -0.0249891+0.0036386j -0.0153355+0.0285654j 0.0155914-0.00928218j 0.00998842-0.00493519j -0.00321223-0.015854j -0.0407818+0.00366463j 0.00522458+0.00833088j -0.035935+0.0045443j 0.019153-0.00597864j -0.0342962-0.00969645j -0.00316837+0.00478023j 0.00615547-0.00667171j 0.00510093+0.000224432j 0.0220508+0.00232526j -0.00775549-0.00332285j 0.0171221+0.00283016j -0.0254818-0.00310976j -0.00110862-0.00378737j -0.0102443+0.000648832j -0.00569694-0.0020636j 0.00197114-0.00177899j 0.00738184-0.00264977j -0.0194239-0.00065874j 0.00985219+0.0146146j -0.0155595+0.00708266j -0.00567332-0.00737616j 0.00445256-0.00245949j -0.00204168-0.00575222j 0.000279469-0.00527584j -0.00125513+0.00707166j 0.00910901+0.00621779j 0.00442755-0.016064j -0.0058106-0.00796066j 0.00673549+0.000472324j -0.00168515-0.00112188j 0.00630005+0.00278422j 0.0102746-0.00680483j 0.00617615+0.0115684j -0.00688119-0.000724096j -0.00649292+0.00336874j 0.0193096-0.0126964j -0.00620938+0.00940214j 0.00426478-0.0154016j -0.000735052+0.0123048j -0.00585264-0.00612681j 0.000818307+0.0102817j -0.0150518+0.00174713j 0.0159661+0.00655265j 0.00790285+0.0118415j 0.0163027+0.00454827j 0.00832323+0.00997331j -0.00121759+0.000158513j 0.00933539+0.00650237j 0.00546149-0.00998844j 0.00861222-0.00727095j -0.0108103-0.000676393j 0.00850199+0.00492547j -0.0041529-0.00251994j 0.00142406-0.00513939j 0.000937826-0.00124353j 0.00321881-0.00223945j -0.000511462-0.00295633j 0.000581914-0.00813426j -0.00536193+0.00339175j -0.00468509-0.00425301j -0.00992276+0.00104252j -0.00340202-0.00328688j -0.00245298+0.000395527j -0.000426784+0.0040296j -0.00675878-0.00149847j 0.0054717-0.00417791j -0.00214199-0.0106679j -0.000359137-0.00104254j -0.0053006+0.00305741j 0.00521952+0.00064467j 0.00316255+0.00376812j -0.00462211-0.00673856j 0.00262549-0.00817008j -0.00529382+0.00346503j 0.000528286+0.00652775j 
-0.00429077-0.0253562j -0.0102147-0.02492j 0.0231618+0.0725948j 0.0180195+0.00231313j -0.0147724+0.0738436j -0.000852477-0.0184409j -0.000894148-0.00398626j -0.000139155-0.00469877j 0.00518763-0.0150136j 0.0013736-0.0133111j -0.000662966+0.000719374j 0.001996-0.00765695j -0.00126034+0.00523475j -0.0022181+0.00192776j -0.000943883+0.00167556j 0.0155204-0.0190603j -0.01214-0.00659799j -0.0224144+0.0233193j 0.0304995-0.012469j -0.0396068+0.00839623j -0.0020672+0.0183009j 0.0163055-0.00397362j 0.012664-0.0018291j 0.0528886+0.00815363j 0.0102421-0.00504476j -0.0294746-0.00240602j 0.009069+0.00517249j -0.00397807-0.000440283j 0.00691888-0.00241276j 0.00454255+0.00287319j -0.00488322-0.0022897j 0.00899052+0.00208146j -0.0080267-0.000530056j 0.00610764+0.000967949j -0.00355093+0.000760638j -0.00387457+0.00130959j 0.0030213-0.000901457j 0.000731689-0.0111856j -0.0142741-0.00469208j 7.71186e-05-0.00548093j 0.0182315+0.00506024j 0.00704013+0.0153761j 0.000617447-0.00545384j -0.0108544-0.0145858j 0.00245645-0.00426863j 0.00309169+0.00649317j -0.0056027+0.00159525j 0.013708-0.0160047j 0.00961538-0.0142026j -0.0105089-0.0162602j -0.00136145-0.00581294j -0.0101234+0.0154443j 0.0241254-0.0011492j -0.000129505+0.00301108j 0.0114194+0.0042851j 0.0163832-0.0227814j 0.0121325+0.0182073j -0.00576244-0.00317153j -0.00900002-0.00266871j 0.0112558-0.00692497j 0.00442795+0.00464817j -0.00943557+0.00320107j 0.022268+0.00740065j -0.00898361-0.00618907j 0.00734117+0.00382736j -0.00255663+0.00271353j -0.000367288+0.00166567j -0.00315317+0.0045043j 0.00381364+0.00247513j -0.00341903+0.0042009j 0.0104814-0.00250676j -0.0128647+0.00251239j 0.0109062+0.00177281j 0.00251623+0.00119044j -0.00182698-0.0021838j 0.000663656+0.00181457j -0.00209639+0.00539245j 0.00414324+0.0113305j 7.96669e-05-0.00448869j 0.011454+0.00532776j 0.00107128-0.0100835j -0.00189071+0.00680722j -0.00562963-0.000217539j 0.00024239-0.00861736j 0.00357183-0.00245072j 0.00219276+0.00273928j 0.00133364+0.00681311j -4.26542e-05-0.00474659j 0.00229233+0.00471554j 0.00108063+0.0020374j -0.00213464-0.000584051j 0.000267773+0.00555831j -0.00223407+3.85531e-05j 0.000508237+0.00214867j 0.00222888-0.00157215j 
-0.0744533+0.00182495j -0.00550415-0.00962639j -0.0181851-0.00351017j -0.0534819-0.00383897j 0.0102603+0.000169316j -0.00582836-0.015772j -0.063968-0.00565078j -0.023865-0.0106453j -0.00315962-0.00299586j 0.0814479-0.011756j 0.0402972+0.00681775j 0.0464257+0.0121946j 0.193721+0.000339972j -0.158855+0.00354976j 0.230028-0.00264272j -0.0562831-0.000149137j 0.0186542-0.000440509j 0.018242+0.00269135j 0.0249834+0.00140394j -0.00946085-0.000399141j -0.00857324-7.07153e-05j 0.0202687-0.000555005j 0.0187185+0.000144398j 0.0032601+0.000156733j -0.00472371+0.00116813j 0.0244611+0.00176592j -0.000528605+0.00162719j -0.00926322-0.00105705j 0.00146113+0.000319889j -0.00341271-0.000347012j -0.0020175+0.000353897j 0.0104638+0.00163637j 0.0219337+0.00231454j 0.0392293+0.00106299j 0.0621124+0.00450675j 0.172729+0.00215245j 0.0495352+0.00729467j 0.0496757-0.00277148j -0.00821261-0.00121599j -0.00929391+0.00853532j -0.0388612-0.002149j -0.00609677+0.00396645j -0.00860642+0.00153536j -0.0217668+0.00798536j 0.0196718+0.000992075j 0.0262737-0.00555799j -0.00506712+0.00906985j -0.0114256-0.00264368j 0.0100406+0.00971387j -0.000900607-0.00692883j -0.0248822+0.00423161j 0.00343152+0.00421784j -0.00120199+0.0094602j -0.0125057+0.000755342j 0.0235313-0.00266787j -0.010236-0.00100173j -0.0029812+0.0112563j 0.00300501+0.000941995j 0.010563+0.00617792j 0.00557769-0.000859443j -0.00614202+0.00650257j -0.0131267-0.00388207j -0.0150628-0.00809669j -0.00175317+0.00611989j 0.00306023-0.000529713j -0.0116986-0.00314522j -0.00632072-0.00902581j -0.000981115-0.00136096j 0.00533413+0.00342893j 0.00830391+0.00952619j 0.00277545-0.00793309j 0.0121462+0.00683583j 0.00475759-0.000544098j -0.000482977+0.00298945j 0.00942219-0.00226342j -0.00537058-0.0163164j -0.00774274+0.00168802j -0.0232683+0.0114887j 0.00392432-0.0123352j -0.00172176+0.00900919j -0.0106298+0.00829618j -0.0248371-0.0172428j -0.0220164+0.00351806j -0.00708447+0.00539408j 0.00518513-0.00247806j -0.00413574-0.00309867j 0.00507988+0.00860698j -0.00854886-0.00544156j -0.00334627-0.014335j -0.0226435+0.000702791j -0.00339432+0.0305478j 0.00557845-0.00243866j -0.0105737-0.0066857j -0.0287463-0.0522789j -0.0681571-0.000227626j 
-0.00869572-0.0115274j 0.0815709-0.00377175j 0.0546476-0.00266081j -0.0621017-0.00492344j -0.0206722+0.00685241j 0.0478204-0.00133945j -0.040694+0.000630477j -0.0177794+0.00418006j 0.0338054+0.00109949j 0.0394533+0.00643725j 0.00617012+0.0107294j 0.097936-0.018234j -0.0221305-0.0109363j 0.274223-0.000230123j 0.151763-0.00550756j 0.013777-0.00173697j 0.0618351-0.000932627j 0.028233-0.00114542j -0.00382944-0.00307381j -0.00748685-0.00201099j -0.0181458-0.000644849j -0.00889775-0.00283292j -0.0080015-0.00230956j 0.00134025-0.000456569j 0.0139101+0.000459875j 0.00123449+0.000256308j 0.0148765+0.000525172j -0.008279+1.7496e-05j 0.0155226+0.000666254j 0.0130329+0.00148107j -0.0223337-0.00266492j 0.015794+0.000753622j 0.0108746+0.00122489j 0.0407344+0.00395754j -0.0224618+0.000708131j 0.0493682+0.00759239j -0.173149-0.00188641j -0.00130804-0.00167502j -0.0579978+0.00345841j 0.0334856+0.00604278j -0.0119801+0.00826332j -0.0132269-0.00221447j 0.0255305-0.00342651j 0.00160397+0.00363053j 0.0175939-0.00670203j -0.0128644-0.00548696j 0.00301463-0.00122269j -0.0101928-0.0029009j 0.0109714+0.00134195j -0.00141469+0.00115147j 0.00300632+0.00241434j -0.00278257+0.000326107j 0.0216265-0.00598014j -0.00354743-0.00324409j -0.00371393-0.00104162j 0.00567115+0.00729347j 0.00900452-0.00320078j -0.000234449+0.000343355j 0.00805188+0.000563221j -0.0108327-0.00521758j 0.00230857-0.00224673j -0.00156755+0.00183209j -0.00260529+0.00700396j 0.00480524-0.000575177j 0.00424836+0.000547844j -0.00439489+0.00178999j -0.0108102+0.00238371j 0.000693383-0.00235563j -0.0101815+0.000948664j -0.00862361-0.00376502j -0.0102445-0.0113004j -0.00207302+0.00749987j 0.0011269-0.029237j -0.00141469-0.0059822j -0.000887954-0.00326371j -0.00159566+0.00236948j -0.00518233+0.0119853j 5.83206e-05+0.0102888j 0.00118008+0.00115416j -0.0458774-0.00928044j 0.0224873-0.0202869j -0.00544765-0.00496864j 0.00438435-0.013554j 0.00143109+0.0192032j 0.00448794-0.00193615j 0.0243122-0.00949484j -0.00607395+0.006458j -0.00204796-0.00917367j 0.0155476+0.0161898j 0.00132827-0.0310251j -0.0246858-0.00116414j -0.00204224-0.00242696j 0.00172858+0.0104504j 0.0632402-0.00125498j -0.0278934-0.0492947j 
-0.00508252+0.0103228j -0.0589103+0.00217199j -0.0434902+0.00580965j 0.0668667-0.00208613j 0.0257646-0.00368564j -0.0272927+0.00554049j 0.0768947+0.000591949j 0.072719-0.00934229j -0.0380709-0.00230784j -0.062895+0.00810018j -0.0542036+0.00927907j -0.14614-0.00215303j -0.133772-0.00443466j 0.0300732+0.00905669j 0.110656+0.00148657j -0.0152195+0.00291284j -0.0468355+0.0022835j -0.0241322+0.00220384j -0.0111266+0.00239766j -0.0067003+0.00146433j 0.00640876+0.000923711j -0.00227803+0.00224453j -0.00265128+0.000531724j -0.00405905-0.000487907j -0.00780905-0.000115686j -0.000799353-0.00237658j -0.00888322-0.00201463j 0.00323618+0.00167871j -0.0077146-0.00199719j -0.00955853-0.000371854j 0.018304+0.00196532j 0.00568172-0.000363172j -0.00860603-0.000717079j -0.0801046-0.00436405j -0.00941778-0.00415481j -0.0019714-0.00103008j 0.00156515-0.00145514j -0.00031235-0.000157696j 0.0268468-0.00381025j -0.0133685-0.00502695j 0.0102556-0.00665496j 0.0148555+0.00194024j -0.00103975+0.000770022j 0.017469-0.00359181j -0.0139637+0.00204322j -0.0030055+0.00267777j 0.00140128-0.00707503j 0.0117609+0.00145986j -0.00294252-0.0124795j -0.00376837+0.00530316j 0.00430558+0.000567853j 0.00903798-0.00797888j -0.0104812+0.00648907j 0.00975937+0.00247501j -0.00611033-0.00281559j -0.018913+0.000346069j 0.00836358-0.00569365j -0.00862237-0.00231669j -0.0089912-0.00984812j 0.00950334+0.0145996j 0.00573494+0.00512603j -0.00182487-0.00834234j 0.0139547+0.00653391j 0.00454059-0.00191897j -0.00104882+0.00396094j 0.00848794-0.0023373j 0.00730584+0.0054753j -0.00235844+0.000133581j -0.00159465-0.00634769j -0.00037137-0.00560924j 0.00413554-0.01282j -0.0176704+0.00668788j 0.000802316-0.00833058j 0.00141949-0.0143526j -0.00322129-0.00463921j -0.00573906-0.0274621j 0.00882089-0.0103246j -0.0115651+0.01386j -0.000705077-0.0106955j -0.0191509+0.0105619j 0.00830664+0.00903229j -0.0196129-0.00806555j -0.012773-0.00596833j -0.0193854-0.00294973j 0.00737849-0.0305151j -0.00712967+0.0048646j 0.0149271-0.000583583j -0.00812127-0.000661388j 0.0147118-0.000541109j -0.00240896-0.000873115j 0.00400112-0.00474345j -0.0184012-0.0344946j 0.0135333+0.0105105j -0.00550049+0.00567723j 0.0168442+0.00771904j 
0.0527965-0.0066904j 0.0225169+0.00610921j 0.0547226-0.0118051j -0.0493967+0.00925091j -0.0262396-0.00986739j -0.0186812-0.00162424j -0.0333692-0.00614202j -0.0986966+0.013128j 0.066545-0.00495578j -0.115477+0.00345055j -0.00877855-0.00677076j 0.116479-0.0057679j -0.0498763+0.00425034j -0.0341926-0.000542219j 0.0289038+0.00322403j 0.041956-0.00335376j 0.00847039+7.42053e-05j 0.0134132-0.00351138j 0.0114558-0.00253568j 0.0190022-0.000948289j 0.00959023-0.000361377j -0.0130706-0.00208531j -0.00210164-9.34875e-05j 0.00349675+0.000915428j 0.0102922+9.29271e-05j -0.000508188+9.05583e-05j 0.00842039+0.00168941j -0.00536695-0.000179633j 0.0164697+0.001418j 0.00317872+0.000930552j 0.00129945+0.000361574j -0.0273401-0.0008525j 0.0204814+0.000438972j 0.0251517+0.00321463j -0.0324873-0.000122835j -0.00436851+0.00130752j -0.00231139-0.00109881j -0.0175309+0.00284267j -0.00856249+0.00145265j 0.00291109-0.00107267j -0.00038646+0.0071271j -0.0173508-0.000404807j -0.000106128+0.00469645j -0.0228755+0.00270319j 4.45237e-05+0.00106536j -0.00512171+0.00661441j 0.007384+0.00946846j -0.0103772-0.00322744j 0.00580638+0.00763534j 0.00156396-0.010676j 0.00840574-0.00309109j -0.0106599+0.000878543j 0.00352912-0.0121141j -0.00169624-0.00317845j -0.00991861+0.000515183j 0.0176219+0.00430305j -0.0012242-0.0119966j 0.00319251+0.00233005j 0.00755485+0.00300874j -0.0153606-0.00425121j 0.00777635-0.00792394j 0.00978778+0.00515999j 0.000958461+0.0047875j 0.00296329-0.00510205j 0.0107081-0.00239803j 0.00175817+0.0141633j -0.014231+0.0109494j 0.00208064+0.00603184j -0.00801889-0.00102653j 0.00556021+0.000171938j 0.00619222-0.0297411j -0.00859472-0.0100296j -0.00492228+0.0272793j -0.00604108-0.00887926j -0.0119689-0.00907875j -0.0177817-0.0102108j 0.0218996+0.00223721j -0.0188921+0.000590883j -0.00110061+0.00785654j 0.0051495+0.00498191j -0.00574215-0.0060266j 0.00317447+0.000685815j 0.00843315-0.0226464j -0.0151403+0.0130555j -0.00978615+0.00807565j 0.00568128+0.0152647j -0.00177451-0.00435897j 0.00435362+0.0110475j 0.0145899+0.0161865j 0.00483731-0.00113378j -0.000154016+0.000122912j 0.00192961+0.00462577j -0.013615-0.0157971j 0.0106606+0.00345836j 0.00273722-0.00470748j 
