0.0242629+0.104302j -0.0238164-0.0169996j 0.0109061+0.0324019j -0.0470096+0.0821351j 0.041538+0.0217178j -0.00788935-0.00591416j -0.0653005+0.0616477j -0.0319459+0.0301264j -0.0537478+0.0105612j -0.0281159+0.00775165j 0.0402292-0.0506462j 0.0169738+0.0153429j -0.0392994+0.0178086j 0.00904284-0.0118836j 0.0185032-0.0258004j 0.00361963-0.00227259j -0.00561936+0.000783739j 0.0169503-0.0243473j 0.00589845+0.0137487j 0.0134514-0.0302262j -0.000164622+0.0201904j -0.0302028+0.0289927j -0.0166445-0.0403678j 0.0252139-0.0698187j -0.0101245-0.0858687j -0.0805847+0.137769j 0.0877851-0.0351631j 0.378747-0.339309j -0.19862-0.0575765j -0.0579867-0.0401979j -0.0707404+0.131668j 0.0484111-0.0426455j -0.00170405+0.0156013j -0.00383085+0.0149336j -0.0317657+0.0268984j 0.00399118+0.00682166j 0.021042-0.0119557j -0.00790172+0.00731667j -0.008403+0.00684263j 0.00347171-0.0116623j -0.0225452+0.00968437j -0.00740141+0.000345359j 0.00419464+0.00175753j -0.00402756+0.00660062j -0.0105911-0.000212635j -0.0129043+0.00798097j -0.00166018+0.00271906j -0.00740043-0.0031366j 0.00171033-0.0010892j 0.0057186-0.0012257j 0.00760508-0.00941126j -0.000950186-0.00322364j 0.0127832-0.00631111j 0.00362984-0.00857098j 3.04578e-05-0.00794478j -0.00357028-0.00159074j -0.00294599+0.00472705j 0.0134068-0.0179406j 0.00723269-0.0109069j -0.00105386+0.00459141j -0.0119027+0.0028827j 0.0104108-0.000139982j -0.0129677+0.0173449j 0.00509065-0.0196671j -0.00715484+0.0228979j 0.0118532-0.0857895j 0.0829801-0.0251361j -0.049668+0.0739086j -0.0517973+0.0417519j 
-0.0297417-0.00553194j -0.00507267-0.111438j -0.0383602+0.0813678j -0.0341451-0.0452544j -0.0063442+0.0323333j 0.0334111-0.080522j 0.00229472-0.0191873j -0.0205463+0.0116207j 0.000791032-0.0384926j 0.00203166+0.0166187j -0.0109502+0.0214943j -0.0211444+0.0333354j -0.00813329-0.0101823j -0.0190031+0.00950601j 0.0230173-0.0057708j 0.0338182-0.00611558j 0.0481136+0.0353731j -0.00106928+0.0629161j 0.000656263-0.0420149j 0.0364043+0.00062774j -0.0373121-0.0472402j 0.0323917-0.000916596j -0.0224128+0.0910371j -0.0129584+0.00667528j -0.019214+0.0199202j 0.131959+0.016724j 0.0594618-0.120862j -0.160593-0.0492986j -0.382771+0.356979j -0.069537+0.118809j 0.061214+0.0222515j -0.00770925-0.0203552j 0.0265521-0.0294064j 0.00279727-0.00436003j 0.00855117+0.0157602j 0.0297738-0.0188269j -0.000285634-0.000113593j 0.00165639+0.00142155j 0.00617528+0.00993346j -0.0170249+0.0102589j -0.0111188+0.0071522j -0.00683127+0.00634989j 0.00105115-0.00336165j -0.00139332+0.00292912j -0.0151151+0.00308726j 0.0020174+0.00170654j -0.00102636-0.00173296j -0.00901227+0.00958738j 0.00099917+0.0036387j 0.000694752+0.00176987j -0.0102817+0.000879846j 0.00275578-0.000512476j 0.00963925-0.00757624j 0.000561881+0.00148616j 0.000490622-0.00130546j 0.00538433+0.00145857j 0.00764234-0.00106908j 0.00202226-0.00928296j -0.00893128+0.0104365j -0.0136384+0.00695117j -0.0132725+0.00234252j -0.00348647-0.0142819j 0.00667385-0.0154258j 0.0157923+0.00318052j -0.00464388+0.0184476j -0.0764314+0.0202164j 0.0194601-0.0958266j 0.0389731-0.0425767j -0.0596397+0.0818424j 
-0.0184867-0.00638526j -0.086035-0.0558271j 0.0255212+0.0148607j -0.00929323-0.0251603j 0.0113885-0.0129572j -0.0133189-0.0751542j -0.0316046+0.0230744j 0.0468924+0.0192354j -0.0627376+0.00150467j -0.0711923+0.0411712j -0.0147398+0.0232082j 0.0471554-0.00142699j -0.00626683+0.000969165j 0.0197726-0.00122415j -0.025186-0.0430884j -0.0431261-0.0140869j 0.00400401+0.027882j -0.0680004-0.00230692j -0.0232968-0.0816788j -0.0376407+0.067906j 0.0462971-0.0906593j -0.0396171+0.0554972j 0.0228789+0.0177731j -0.0226775-0.00106705j -0.108219+0.0214729j 0.0197122-0.184158j 0.137741+0.0276325j -0.0739574-0.0712735j 0.0160909+0.120204j 0.0320813+0.0806119j 0.0344882+0.0126849j -0.0148099-0.0214576j -0.0171152-0.0115086j 0.0210216-0.00834839j -0.00310483+0.0132891j -0.00883654-0.0118133j -0.0183622-0.0165971j -0.00205098-0.00237859j -0.0135786+0.003728j -0.0103872+0.00671288j 0.0111568+0.0102216j 0.00455955+0.00547926j 0.000701037-0.00517921j 0.011197+0.00468005j -0.00124772+0.00659018j -0.00132327+0.00465457j 0.00408854+7.57474e-05j 0.00107321+0.00902452j -0.00734007-0.00413875j -0.00615838+0.00640699j -0.000749335+0.00104679j -0.00379362-0.0029869j -0.00540741-0.0201932j 0.000437347-0.00519419j -0.00165395+0.00736917j -0.00971473-0.00210165j 0.000108206-0.00548311j -0.00339017-0.00384534j 0.0154947+0.0128658j 0.00231075-0.00845021j 0.00219444-0.00725048j 0.0273595-0.0621511j 0.021277-0.00785569j -0.0263136-0.0221135j 0.0330168+0.0455185j -0.0350409+0.0340225j 0.017056+0.0341728j 0.0105188+0.0165478j 0.0512916+0.0473684j 
-0.115437-0.0493794j 0.0223952+0.0123144j 0.0222605+0.0321525j -0.0248668+0.0252404j 0.0204048-0.0905505j 0.0163129+0.0214443j -0.0613913-0.00187734j 0.0219413+0.0693754j 0.0271985+0.0345299j -0.0370136-0.0725993j -0.0089146+0.00592799j 0.0167303-0.0275416j 0.0200831+0.00139464j 0.00578043+0.0125055j 0.044044-0.0106489j 0.0079979-0.0227252j 0.00462315-0.0137681j 0.0302218-0.00687691j 0.00710916+0.00423536j 0.0171982-0.0098044j -0.0181625+0.000162452j -0.0351683+0.0257577j -0.0220231+0.0540136j 0.071622+0.00159777j -0.0853866-0.0265264j 0.116454+0.00665382j -0.108628+0.207002j 0.0343569+0.139706j 0.0916713+0.0472232j 0.0567013+0.0178574j -0.04726-0.0811841j 0.00441508-0.00103387j -0.0123008-0.0018502j -0.00255438-0.0121083j 0.00633486-0.0289451j -0.00932299-0.00164272j 0.0205725+0.00189521j -0.00306201-0.0135447j 0.0122379-0.0132404j 0.00265854+0.0026368j -0.00660791-0.00649907j 0.00355901+0.0023484j 0.000390772-0.00374665j 0.00780597+0.00664938j -0.00338839-0.00314299j -0.0112802-0.0143743j -0.00152031-0.00251796j -0.00134239+0.00114931j 0.0036045-0.00718178j -0.0116339-0.00192169j -0.000693646+0.0067599j -0.00351209-0.000485175j -0.00403532-0.0029256j 0.00405171+0.00242801j 0.00195239+0.0123579j -0.00516706-0.0101106j -0.00507058-0.00964278j 0.00548894+0.0192714j 0.00419548-0.00915628j -0.00126887+0.00698947j -0.0168305+0.0211444j -0.0174772-0.00265037j 0.00762428-0.0567852j 0.0168132+0.0112901j 0.0650704-0.02251j 0.00442834-0.0206961j -0.0149219+0.0333536j -0.0432544-0.0354761j 0.0211509-0.000343914j 
0.0264804+0.0158417j 0.0251185-0.0054404j 0.0548195+0.0613971j 0.0345833+0.0616472j -0.0185458-0.0445134j 0.0234415+0.0564605j 0.0363776-0.0106911j 0.0332171+0.0342065j 0.0558143-0.0208896j 0.00735462-0.0574154j -0.00553125+0.000840251j -0.0195015-0.0465322j 0.012449-0.00159972j -0.0167767+0.0253962j 0.0216603-0.0307865j 0.00604885-0.054886j -0.00256876-0.00531725j 0.00106956+0.0119562j 0.00589462+0.0207102j -0.0336826-0.0155812j 0.0123743-0.015814j 0.00309328-0.037471j 0.0678611-0.189644j 0.0930597-0.0153368j 0.122358-0.278292j 0.107115-0.138682j 0.0459027-0.115082j -0.0418624+0.0844779j -0.0240726-0.0718236j -0.023267-0.0330513j 0.00143726+0.0078046j -0.0136374-0.0209883j 0.0160549+0.00736336j -0.0143414+0.0080304j 0.0129741-0.0205072j 0.00618268+0.0118882j 0.0160599-0.0112155j -0.00420342-0.00223254j 0.0067412-0.0130493j -0.00461604-0.0047904j 0.00294304-0.000943439j 0.00710981-0.00491286j 0.00244275+0.000684341j 0.0101033-0.00348363j 0.00654296-0.00252709j -0.0139762+0.00854963j -0.00369093+0.00127287j -0.0074636+0.00310764j 0.00114457-0.00329414j -0.00993273+0.0295502j -0.0116884+0.00300278j -0.00185857+0.00395294j -0.0141213+0.0116905j 0.00418845+0.00634369j 0.0112183+0.00683171j -0.00447982-0.00325823j -0.0035853+0.00489253j 0.000889795+0.0281021j 0.00778574-0.0189901j 0.00132714-0.0251525j 0.0023483+0.0217307j -0.0172455+0.0130445j -0.0153582+0.0329918j 0.0345222-0.013125j -0.0289019+0.0586481j -0.0228461+0.0323694j 0.0162228+0.0471709j 0.0286822+0.0149852j -0.0148215-0.0396983j 
0.0427257-0.0254359j 0.0317798+0.0246252j -0.0594705-0.0102286j 0.0642216+0.098107j -0.0222941-0.153609j -0.00992827-0.0442387j -0.0294734+0.0388884j 0.0354457-0.0435161j -0.00308515+0.0153429j 0.0123401+0.0519557j -0.0166284+0.0368273j -0.0474969-0.0829233j 0.0117305-0.0122625j 0.0030187+0.0589153j -0.0326216+0.0405248j 0.00493372+0.0226648j 0.0823463-0.0845588j 0.081572+0.113002j 0.0124554+0.0605121j 0.0549616-0.147742j -0.165853+0.0704513j 0.0425917-0.0982416j 0.21167+0.000704061j 0.0079362-0.167436j 0.00650918+0.262534j 0.0496696+0.0950035j 0.163724+0.0127992j -0.018127+0.137925j -0.0534658+0.0589268j -0.023444-0.00349295j -0.00311968-0.0319485j 0.0141112+0.0043869j 0.0182894+0.0581551j 0.00457399-0.0586429j 0.0043732-0.0145635j 0.00876048+0.00164153j -0.00127425+0.0321711j -0.0188185+0.00336541j 0.0114521+0.0133209j -0.00401546+0.00998462j -0.0116839-0.0117074j 0.00194767-0.00536403j 0.00423423-0.0170956j 0.00469169+0.0120007j -0.0138855-6.85878e-05j 0.00296945-0.015037j 0.00732139-0.00285892j -0.000375841-0.00960521j -0.00932842-0.00697782j -0.00996558-0.014528j -0.00500768-0.00554303j -0.00287198+0.00954925j -0.00309995+0.00121238j 0.00112467-0.0119138j 0.00769795+0.00899562j -0.00965511-0.00125719j 0.0098352-0.0136346j -0.00670554+0.00659034j 0.00187029-0.0186473j -0.0223508+0.015657j -0.00197686-0.00387323j -0.00310842+0.0268635j -0.0394262+0.00401652j 0.00529873-0.0188034j -0.0105125-0.0312288j -0.0125314+0.0404513j -0.0157828-0.0211697j -0.00610336-0.0551231j -0.0481017-0.0188553j 
-0.0969553+0.00661032j 0.0756577+0.00163127j -0.0359961+0.000178292j -0.0549919-0.0116342j 0.0308261+0.0188193j 0.00625592-0.0501746j -0.0604051+0.0338931j -0.0214565+0.0201788j -0.000420151+0.0857054j -0.0504189-0.00479308j -0.0225195-0.0316689j -0.0177345+0.0293984j 0.0276864+0.018943j 0.00255565-0.0502703j -0.0186484-0.0311357j -0.0217291+0.0122584j -0.0385369-0.0441381j -0.100961+0.0271796j -0.0749719-0.0424993j 0.103394+0.0549934j -0.0147056-0.000496685j 0.0249685+0.0723222j -0.219928-0.000260828j -0.0556115+0.0672577j -0.205756+0.052989j -0.12065-0.0586588j -0.0521105+0.111214j -0.0251242-0.0419765j 0.0399945+0.0744139j 0.0261788+0.0133836j -0.065066-0.0253579j 0.0111785-0.000507872j -0.0315759-0.00861775j 0.0173243-0.000703383j -0.0174905+0.00882838j -0.00530769-0.0066795j -0.013614-0.00354495j 0.00152987-0.0025057j -0.00454197-0.00411595j 0.00719047+0.00345854j -0.0100905-0.00137665j -0.0102631+0.00254308j -0.00341462+0.00185259j -0.0023228-0.00158079j -0.00663668+0.00163196j 0.00909201-0.00436948j 0.00610293-0.0023825j 0.00277878+0.00426129j -0.00409061-0.000550827j 0.0124167-0.00637974j 0.00941846+0.00636869j 0.00113363-0.00415464j 0.0103657-0.0200763j -0.00572336+0.000204369j -0.0105246+0.0152737j -0.00676746+0.00536575j -0.00136117-0.0244421j 0.00241286+0.0346735j 0.0181357-0.00170525j -0.00409151-0.00619309j -0.0281697+0.0113654j -0.0386002-0.0158033j -0.0190567+0.0209556j -0.0198518+0.0121215j 0.0118117+0.00437061j -0.00983718+0.000977555j 0.0382345+0.0100262j -0.0427016+0.00626011j 0.022516+0.0296346j 
-0.0579969+0.0190062j -0.086041+0.0319634j 0.0203147+0.0131014j 0.0839325-0.0030838j -0.0914111-0.0552169j -0.0151128-0.00661048j -0.0381051-0.00373211j -0.00848285+0.0643616j 0.00766414-0.0144316j 0.0169718-0.0200274j 0.084903-0.0345615j 0.0229295+0.0485431j 0.0170444-0.015666j 0.0424197+0.0813573j 0.00482746+0.031155j -0.0215657+0.0197486j -0.023972+0.101995j 0.10212-0.0615147j 0.064083+0.069218j -0.150565-0.0835j 0.0263231-0.0298268j -0.173007-0.132929j -0.087653-0.0446824j 0.0818989-0.0602184j 0.0540161-0.106826j 0.000721738-0.248096j 0.0859344-0.247241j -0.0981784-0.0657167j 0.0198712-0.0182845j 0.0631747+0.0152612j 0.0157791+0.00175584j -0.0164906-0.0373062j 0.0180796+0.00820173j -0.0155774-0.018051j -0.000886243-0.00499084j -0.0174159+0.00508588j -0.00331719-0.0133492j 0.00386699-0.00189888j -0.00365949+0.00586542j 0.013629+0.00669215j 0.0076502+0.0057727j 0.00445213+0.00495756j -0.0010239-0.0163764j -0.00761262-0.0153608j 0.00492663-0.00285994j 0.00207902+0.00111273j -0.010751-0.0086066j 0.0193464+0.000705577j 0.0084767-0.00917732j -0.00207548-0.00985292j 0.0130769-0.0128624j -0.0011553+0.0128163j -0.00378011-0.007711j 0.00172929-0.00239448j -0.00419521+0.0142928j 0.0107654+0.01979j -0.000185755+0.00564885j -0.00655953-0.0121028j 0.0196905+0.00252742j -0.00538052-0.019606j 0.00871256-0.0149679j 0.0285413-0.0046051j 0.0130024+0.00858488j -0.00465564-0.00791653j -0.0264146+0.014072j 0.00994568+0.0212824j -0.00307856+0.0287243j 0.0322136+0.0268884j 0.0319423-0.0203772j 
-0.029867+0.0331079j 0.0541825-0.0439152j 0.0591245+0.0546225j -0.0278881-0.0258479j -0.0423309+0.00449416j 0.0226737+0.00923635j -0.0110372-0.0885223j -0.0445531-0.0960487j 0.00797288-0.119728j 0.0201905+0.0328355j 0.0279419-0.0317015j -0.0301811-0.00234983j 0.00422511+0.0255514j -0.0315492+0.111417j -0.0325584-0.00351797j -0.0143022+0.006827j -0.0875503+0.071813j -0.0695036-0.0637857j 0.161676+6.90746e-05j -0.0207164-0.166565j 0.146331-0.0539279j 0.0840216-0.293132j -0.0230604+0.0533306j -0.0904615-0.0866776j -0.203512+0.00574148j -0.0841672+0.018755j -0.142171-0.0675009j 0.0164564-0.200099j 0.316631-0.0567522j 0.0370644+0.00161407j -0.047952+0.0640849j -0.0160352-0.0340126j -0.0232799-0.0146888j -0.0126644+0.00464421j -0.000915617-0.00609551j -0.00933952-0.0150426j 0.0105112+0.00676371j -0.00400357+0.0274744j -0.00863848+0.000238361j 0.0117039-0.00461799j 0.00396879+0.0354452j 0.00016052+0.0112451j 0.0149943-0.014683j 0.00604523+0.00746622j 0.0171031+0.00777925j -0.00515494-0.000173228j -0.00723444+0.000947234j 0.00103052+0.00180238j -0.00426393-0.0155318j 0.0042849+0.00546917j 0.00975914-0.00774941j -0.0169802+0.0183564j -0.0060413-0.0120188j 0.00921468-0.00955077j 0.00227214+0.0288819j -0.00193141+0.0205463j 0.00197625-0.00379516j -0.00963403-0.0141559j -0.021629+0.00571349j 0.00101893-0.00946603j 0.0130146-0.0230238j -0.0115571+0.0204154j -0.00329359+0.0226567j 0.00443909-0.0130348j 0.0350742-0.0117334j 0.00454725-0.0423151j -0.00752467+0.00815923j -0.0217438+0.031469j 0.0247914+0.0206067j 
0.0155434-0.0125973j -0.00952488+0.00521288j -0.0573733-0.0339484j 0.0520548-0.002287j -0.0708065-0.0114988j 0.0592597+0.0657618j 0.00178953+0.0149174j -0.00167535+0.0267718j -0.0451869-0.0287472j 0.0220621+0.0887956j 0.0751956+0.0834511j 0.00716167-0.0626171j -0.0268048+0.0819506j -0.00452864+0.0800668j -0.0123196-0.0240694j -0.0211292-0.0564306j 0.0753076+0.0306163j 0.010403+0.0189401j -0.0486012-0.0603974j -0.241534-0.00770879j 0.010358-0.295445j -0.110618-0.0639105j 0.11345-0.065493j -0.0172908+0.104136j 0.0129411+0.156719j -0.0986798+0.262949j -0.207688+0.00744133j 0.333848-0.0567492j -0.0215358+0.316913j -0.00091298+0.0518373j -0.0259792-0.00823067j 0.0286194+0.0132155j 0.0275685-0.00274219j -0.0224287-0.00506645j -0.0216994-0.00977254j 0.00266013+0.00731044j 0.0167394+0.0137502j 0.00482774-0.00290204j -0.00192405+0.0255024j -0.00260604+0.0256512j -0.00331304-0.00508888j -0.00089437+0.00163377j -0.00581563-0.00586195j -0.00371543-0.0020129j -0.00281992-0.00848974j -0.0106554+0.00674898j -0.0212422-0.00280078j -0.00123823+0.0119227j 0.00822303+0.014868j 0.0205194-0.00206184j -0.0181395+0.00941753j 0.00285861+0.00223047j 0.00414858+0.00211871j -0.00322036-0.0403958j 0.0192507-0.0227008j 0.0443815-0.0254663j 0.00380264-0.0241245j -0.00112027-0.00756457j 0.015817+0.0246121j 0.0123059-0.0272885j -0.00387669+0.00169847j 0.00897959+0.00264985j 0.0107937-0.00918239j 0.00612719-0.0139228j -0.010026-0.0111322j 0.0356469-0.0160506j -0.0136705-0.0503472j -0.00471235-0.0294305j -0.0232245+0.0142239j 
-0.0398706+0.0180643j -0.0296889+0.0131336j -0.0688279-0.0955365j -0.0706683-0.0310085j 0.0318721+0.0475685j -0.0423583+0.0154521j -0.0230098-0.0349456j -0.0947858+0.0186996j -0.0483-0.0878685j 0.0820905-0.0130318j 0.0114048-0.0635848j 0.0641225+0.0229042j -0.0954541+0.0515299j -0.0328389-0.00368797j -0.00903237+0.000685248j 0.0459814+4.3467e-05j 0.0479576+0.0112661j -0.0186044-0.105294j 0.165555-0.0614385j 0.0523263+0.0300652j 0.140045+0.0297311j 0.126718-0.0510671j 0.258026+0.193512j -0.0947577-0.0443736j 0.0671637+0.05575j -0.000106074-0.0159543j 0.115854+0.0572515j -0.130555-0.280204j 0.111898-0.112784j 0.0514726-0.00147901j 0.0141966+0.0420786j 0.0261495+0.017877j -0.0230092-0.0153395j 0.00494875+0.0245476j 0.0146986+0.0116395j -0.0277685-0.012551j 0.0135952-0.0274078j 0.00119674+0.00544024j -0.0116001+0.00268823j -0.00938917-0.0106152j 0.0176003+0.0181118j 0.00492602+0.00186411j 0.00929746-0.00259727j -0.000419465-0.00257509j 0.0177838+0.00699488j -0.00202445+0.0137707j -0.00341611+0.00218154j -0.00799223+0.0131364j -0.00762051-0.000115713j 0.00296594-0.0122891j 0.00743304+0.000672657j -0.013578+0.00640709j -0.00462117-0.00760054j 0.0171668+0.0085131j 0.0105275+0.00999258j -0.00866384+0.0251524j 0.0293043+0.014986j -0.0526072-0.0156675j -0.0113515-0.0141334j 0.0263507+0.00187849j 0.0116211-0.0324884j -0.0102705-0.0103024j -0.0188815+0.0165963j 0.00768446-0.00604711j 0.0158237+0.0133161j 0.0111578+0.00362074j -0.00251435-0.0100896j 0.000799989+0.015614j 0.024171+0.0175206j 
