2.41662e-13+0.17579j 5.88684e-14+0.0438473j -8.19562e-14-0.0601124j 9.53867e-14+0.0704983j 1.15317e-13+0.0838355j -1.30807e-14-0.00945734j 9.52854e-14+0.0691154j 5.59878e-14+0.0404826j -1.43756e-13-0.104894j -1.24058e-13-0.0895708j 3.22655e-14+0.0249649j 9.36785e-14+0.0704937j 3.96234e-14+0.0294595j 1.96975e-13+0.144701j -8.26449e-14-0.0565572j 7.56575e-14+0.0641453j -8.82995e-14-0.0570016j -1.14745e-13-0.077434j -2.24642e-12-0.0198801j 1.01174e-14+0.00282587j 1.22103e-14+0.00783216j 1.44221e-13+0.0925197j 2.10931e-15-0.0312824j -4.98968e-15-0.00450915j 1.06261e-14+0.00180448j -1.55969e-13-0.107622j -4.08594e-14-0.0367807j 1.01417e-13+0.0769867j -6.75089e-14-0.011891j -1.77129e-16-0.00153191j 9.24138e-14+0.0664621j 1.36902e-14+0.013132j 2.55876e-14+0.0208285j 8.32767e-14+0.0579605j -6.4846e-14-0.0457384j 1.60609e-15+0.000858411j -9.28638e-14-0.0709043j -3.50762e-14-0.0338933j -2.74946e-14-0.0223281j -1.15739e-14-0.00877909j 2.67898e-14+0.0313094j -1.171e-13-0.0726047j 8.19185e-14+0.0595611j 2.69265e-14+0.0204881j -3.15578e-14-0.0233283j 4.91634e-14+0.0354809j 2.17027e-14+0.0161191j 7.97002e-14+0.0581912j -1.358e-13-0.0981895j 2.78951e-14+0.0208522j 6.30217e-15+0.00480252j -8.11274e-14-0.0591919j 5.93806e-14+0.0432007j -1.50586e-13-0.109737j 2.7297e-13+0.136351j 1.20738e-14-0.00508386j 
-3.15162e-15+0.0640034j 1.67897e-14-0.151916j -4.92155e-16+0.0232956j 9.28165e-16-0.057598j -1.86808e-16+0.0114181j 2.29826e-16-0.0844408j -5.66161e-17+0.0222351j -8.27077e-17-0.0907129j 2.51511e-16+0.0186139j -1.49155e-15-0.00214804j -7.59276e-16-0.0788817j 1.08126e-15-0.0538883j 1.80242e-15+0.0279486j 1.37025e-16-0.0692447j -5.69476e-15-0.106888j -1.46784e-14+0.0791856j -8.63277e-15-0.021396j 1.19599e-14+0.161061j -2.43016e-12-0.0221628j -1.82579e-14-0.0521058j 4.25406e-15-0.0258474j 2.89986e-14+0.155947j -5.81901e-14+0.0358808j -5.45089e-16-0.00607774j 9.79063e-16-0.0290755j 9.65767e-15+0.0249156j -7.51848e-15+0.0410502j 4.6062e-15-0.0526254j 4.65665e-14+0.0112243j -1.69403e-14+0.0403447j 6.26368e-16-0.0367137j -4.5876e-15+0.0316046j 1.43665e-15+0.00348547j 4.05781e-15+0.0563211j -6.00297e-15-0.132029j -1.90502e-15+0.0374132j 1.74214e-15-0.0251557j 1.22048e-14-0.0416677j 4.96458e-15-0.0171963j 4.36707e-15+0.00339551j -1.89904e-14+0.0144955j -2.14487e-14-0.0631055j -8.81024e-16+0.03619j 7.23332e-16-0.0142867j 5.18315e-16+0.0781188j 7.64152e-16-0.02751j 1.84625e-16-0.033866j 1.05378e-15+0.00513822j 9.51365e-16+0.0565177j 3.58124e-16-0.0274008j 2.38092e-16+0.00419233j -4.12743e-17+0.0795353j 2.09579e-17+0.0335071j -3.436e-16-0.00528262j 4.34817e-14+0.0381285j 9.21109e-15+0.138271j 
-6.03139e-16+0.0383187j 5.03406e-15-0.0566157j -6.10129e-15-0.34361j -1.60651e-15-0.0806579j 1.06224e-15+0.010605j -5.92195e-16+0.0500772j -3.58084e-15-0.125934j 3.12176e-15+0.208668j 6.68239e-15+0.291124j -1.20654e-15+0.11176j 3.23808e-15-0.0873992j 3.96515e-15-0.0576188j 6.10105e-16-0.0547481j -8.98056e-16-0.254519j 1.36377e-14+0.321716j -7.27976e-15-0.0677674j 4.43237e-14+0.155997j -2.05787e-14+0.0128437j -1.78622e-11-0.16074j -1.83495e-14-0.121511j 1.05581e-14-0.128457j 7.9314e-15+0.00988146j -2.15342e-13+0.173347j 1.17868e-13+0.394789j 2.5711e-14+0.0838796j -1.14213e-14+0.150144j 1.67305e-14-0.129172j -1.82376e-15-0.13393j -1.65959e-13-0.0626005j 2.43857e-14-0.150507j 5.06514e-15+0.144629j -2.37654e-15+0.0492085j -5.76759e-15+0.0771683j -2.64079e-14-0.112972j -1.7751e-14-0.0724183j -1.58861e-14-0.0856339j 9.16636e-15-0.0755179j 9.2605e-15-0.0602866j 4.72279e-15+0.00371521j -9.01489e-15-0.0169951j -3.50704e-14-0.0435752j -3.8706e-14-0.0427065j -3.36726e-15-0.145812j 1.13724e-15+0.0447583j 1.19404e-15-0.000188944j 1.20802e-15+0.141398j -7.12612e-16+0.0802215j 1.03952e-15+0.124787j -2.63683e-15-0.117328j 2.78953e-16+0.0640314j -4.13685e-15-0.150555j 5.12546e-16+0.0533076j -4.30082e-16-0.111239j -2.78697e-15-0.15647j 4.52422e-14+0.0404944j 1.27227e-14+0.135611j 
-2.06316e-16+0.000647733j 4.73365e-15-0.0197846j -1.95576e-15+0.241249j 4.8438e-15-0.125981j 1.59666e-15+0.0818622j -3.77314e-15+0.0727476j -7.49323e-16+0.0559985j 4.39619e-15+0.13507j -6.06683e-15+0.142938j -4.8516e-15+0.173883j 4.08408e-16-0.178654j 4.41173e-16-0.187295j 8.44413e-15+0.0306543j 8.34071e-15-0.0380857j -4.88149e-15+0.0370158j 1.13974e-14-0.0346157j -8.61287e-15+0.0179729j -4.72977e-14+0.284284j -2.98938e-11-0.269413j -5.46141e-15+0.0771632j -4.39448e-15-0.295727j 3.43241e-14+0.245344j -7.88574e-14+0.0435541j 3.09788e-14+0.0278231j 1.20673e-14+0.0848945j -6.44919e-15-0.112207j 1.49376e-16+0.0669239j -2.2669e-15-0.414293j 7.57867e-13+0.254547j -5.60047e-14+0.129837j -1.34264e-14+0.116342j -4.28298e-15-0.125999j -5.06619e-15+0.0196824j 1.24821e-14+0.0476071j 1.82628e-14+0.171093j 1.07726e-14-0.105773j 6.66289e-15-0.0865927j 5.82857e-15+0.0212961j -2.07908e-14-0.0202985j -1.05725e-15-0.0297297j 3.01512e-15+0.081876j 3.19707e-15-0.076616j -2.16423e-15+0.121601j 2.70496e-15-0.0641187j -1.37582e-15-0.0376132j -1.13932e-15+0.0156726j -4.36117e-15+0.0500824j 6.98266e-16+0.0610266j -1.09365e-16+0.0250042j -2.30843e-15+0.019348j -2.05788e-15+0.120226j -8.99068e-17+0.00694532j -2.49279e-15+0.110394j -2.43942e-15+0.188262j 1.97314e-14+0.044891j 2.58635e-15-0.0600232j 
-4.07386e-14+0.0605657j 1.11839e-14-0.0136291j 2.20375e-14-0.0258622j -7.24194e-15+0.00723399j -4.03189e-14+0.0597929j 2.52946e-13-0.345822j 7.07959e-14-0.0922234j -8.24107e-14+0.115128j 1.32452e-13-0.181545j 1.26761e-13-0.186598j 6.5196e-14-0.112802j 1.38134e-13-0.188447j -1.74022e-13+0.233847j -5.93258e-14+0.0838998j 4.45562e-14-0.0866089j -1.63174e-13+0.160391j 6.37004e-14-0.133253j 1.11278e-13-0.107604j 1.93886e-11+0.175746j -3.21945e-14+0.0622964j 1.36079e-14-0.0231872j -4.26269e-14+0.113202j 5.35099e-13-0.230996j -1.01303e-13+0.196981j -5.51574e-14+0.132099j 1.47684e-13-0.269841j -1.58891e-13+0.108376j 1.23121e-13-0.126437j -3.36608e-13-0.174032j -1.28866e-13+0.130382j 3.56888e-14-0.0429364j -1.43997e-13+0.205951j 4.64861e-14-0.0464782j 9.81895e-14-0.169562j 2.13202e-15+0.00654214j -8.20774e-14+0.123711j -1.21125e-13+0.124864j -1.32079e-13+0.191914j 1.99247e-13-0.242677j -1.39749e-14+0.151401j -2.52983e-14+0.047135j 1.30151e-15-0.0160451j 3.39661e-14-0.0390598j -8.09297e-15+0.0133629j -1.60333e-13+0.238185j 6.37203e-14-0.0966019j -7.43952e-15+0.0165323j -1.13526e-13+0.161753j 5.79575e-14-0.0858695j 1.58641e-13-0.21443j 1.04386e-13-0.137627j -2.59483e-14+0.0331497j 1.46134e-14-0.016898j 3.76583e-14-0.0490941j -2.35577e-15+0.0248695j 2.23694e-14-0.0257252j 
-9.0189e-16+0.00239368j 2.15278e-16-0.0452686j -1.59397e-15+0.0310308j 2.27293e-16-0.0109509j 1.47716e-15+0.0599467j -1.06646e-14-0.127612j -7.172e-15-0.170625j -5.17578e-15-0.105839j 6.5468e-15+0.112844j -2.25661e-14-0.155019j -7.76057e-15-0.120727j -8.09453e-15-0.0748304j -1.02655e-14-0.273566j -5.72692e-16-0.0998851j 5.96568e-15+0.0718732j 4.98436e-14-0.284766j -7.14017e-14-0.253177j 1.67756e-16+0.194605j -9.76554e-12-0.0881671j -2.98245e-14-0.0548324j 3.00578e-14+0.124535j 4.46241e-14+0.170339j -1.25957e-13+0.0798927j -2.94824e-14-0.0839902j 1.29389e-14-0.0288455j 1.59778e-14+0.195914j -1.73542e-14+0.0122973j 3.39271e-14+0.030782j -6.41207e-13-0.221096j -1.90132e-14+0.156856j 6.67881e-15+0.224687j -9.71963e-15-0.159385j 1.62173e-14+0.00644439j -2.78759e-14-0.179307j -4.63574e-15-0.0477263j 2.00037e-15+0.169708j 1.23202e-14-0.339547j -1.48798e-14-0.0624384j -2.9718e-14+0.26463j -4.48062e-14-0.0715807j 1.37533e-13+0.170071j 1.51181e-13+0.149159j -1.39635e-14+0.0504661j 1.28292e-14+0.08084j 7.86393e-15+0.085291j -1.31255e-14-0.183196j 1.6641e-16+0.04058j 2.57505e-15+0.0308687j 7.06944e-15+0.0619494j -7.75892e-15-0.12017j -9.1209e-15-0.129515j 2.39958e-15+0.000467713j -1.43104e-15+0.031909j -2.14978e-15-0.00130361j 6.89135e-15+0.0134933j 3.55319e-15+0.00463513j 
2.85241e-14+0.0683561j 3.24353e-14+0.099434j -2.57617e-14-0.0787971j 2.55035e-14+0.0670427j 1.68902e-14+0.0307389j 5.86383e-14+0.17663j 5.68127e-14+0.171959j 3.89946e-14+0.0929667j -2.67764e-14-0.0868871j -6.84513e-14-0.174833j -1.32171e-14-0.0328841j -1.81372e-14-0.0457967j -4.32609e-15-0.00714515j 1.07075e-13+0.268843j -5.3045e-14-0.15516j -2.06466e-14-0.12061j -1.348e-13-0.216416j -1.83267e-13-0.396019j -1.37147e-11-0.12232j -5.70256e-15-0.0810016j -6.49599e-15+0.0153266j -1.98373e-14-0.0582324j 5.49748e-14-0.0396389j 5.2675e-14+0.0450605j 1.28003e-13+0.287752j -1.09928e-13-0.216231j 4.03162e-14+0.125661j 5.50382e-14+0.170301j 4.69596e-13+0.155612j 3.47849e-14+0.117978j 4.64004e-15-0.00248532j -1.05617e-13-0.296305j 2.48265e-14-0.0120263j -3.1534e-14-0.11733j 5.21488e-14+0.0583913j 6.03926e-14+0.167008j -7.60229e-14-0.152908j 5.67843e-14+0.0294005j -7.85928e-14-0.323574j 1.35426e-13+0.129988j 1.39275e-13+0.185366j 6.25397e-14+0.00689776j -9.69874e-14-0.278893j 5.3291e-14+0.13065j -1.79288e-14-0.0572177j -1.1997e-14-0.00731781j -1.07366e-14-0.0141526j -3.67057e-16+0.00642177j -2.33705e-14-0.0523847j 6.82239e-14+0.206526j 3.86624e-14+0.128332j -2.12656e-14-0.0497205j -1.21976e-14-0.0363789j -1.96152e-14-0.0528746j 1.50621e-14+0.0162994j -1.30779e-14-0.0248027j 
-9.34017e-15+0.0257913j 2.18333e-15-0.0510213j -6.68363e-16+0.0557978j 2.34387e-15-0.0820646j -1.76995e-15-0.0334771j -2.41107e-14+0.120263j -1.99603e-14+0.115115j -6.49117e-15+0.0513411j 2.01504e-14-0.186753j 7.05783e-15-0.108668j 2.83495e-14-0.202597j 1.5247e-14-0.145905j 2.11906e-14-0.138831j 1.41694e-14-0.212662j -2.1843e-14+0.075476j -6.56195e-14+0.14733j 2.34666e-14+0.0313675j 3.011e-14+0.105734j 8.29746e-12+0.0743333j -2.66189e-14-0.0374318j -7.04387e-15+0.271321j -6.87456e-15-0.0487955j -4.59188e-13+0.304528j 6.43823e-14+0.0683015j 1.89691e-14+0.0288136j 2.09198e-14-0.0393349j 1.01846e-13-0.120561j -3.32571e-14+0.0288204j 5.15854e-13+0.204033j -2.13249e-15+0.00718969j -6.61313e-16+0.0335469j -1.04226e-14+0.215679j 7.17353e-14-0.293721j 2.88503e-14+0.0425717j 1.09465e-14-0.141887j -2.40822e-14+0.184058j 2.47994e-14+0.0365946j 1.08362e-14-0.186821j -1.10476e-15+0.0906455j -9.76265e-14-0.21116j -2.88527e-14+0.0400222j 1.56726e-14-0.0887715j 6.14889e-15-0.0583582j -1.47274e-14+0.00851747j -1.83277e-14+0.245713j 6.22664e-15-0.0338494j -2.43819e-14+0.264934j 1.73269e-15+0.0819148j 1.23542e-14-0.0929097j -2.54667e-14+0.140156j -2.34157e-14+0.206502j 9.06085e-15+0.00406527j -7.59749e-16+0.0108093j -5.12404e-15+0.134393j 9.37194e-15+0.0165414j 4.19935e-15+0.0277442j 
3.87656e-15+0.0551424j -6.98231e-15+0.0244488j -3.16814e-16-0.0711269j -3.51315e-15+0.0783266j -4.01071e-15+0.0504057j -1.05104e-14+0.00545861j 2.48575e-15+0.0188898j 2.32445e-15-0.0774743j 1.78964e-15+0.0370866j 1.56956e-15-0.00322392j 2.45297e-14-0.124035j -7.34686e-15+0.0932664j 1.85816e-14-0.0353327j 7.43974e-15+0.0748842j -3.5999e-14+0.0376836j -1.00666e-13+0.227263j 2.26762e-16-0.187233j -3.47794e-14-0.227551j -1.39326e-11-0.124987j 2.17274e-14+0.368702j -3.01655e-14+0.119156j 1.83505e-14+0.108714j -8.42484e-14+0.0384913j -1.30157e-14-0.0571328j 2.47567e-14-0.252398j 1.28615e-14-0.173898j 1.01598e-13-0.238702j -7.79898e-15-0.0403009j 1.7592e-13+0.0851554j -2.62412e-14+0.0364792j 1.73604e-14-0.114364j -6.23209e-15-0.0187671j -4.48429e-14+0.234228j 4.72598e-15-0.127216j -6.61222e-15+0.13129j -1.73562e-14+0.0570257j -1.90211e-14-0.0276223j -7.99406e-14+0.343203j -5.51076e-14-0.0374743j -7.7227e-14-0.239578j -1.33873e-13-0.121394j -1.06431e-13-0.24623j 1.89369e-15-0.00889074j -5.41953e-14+0.303881j -1.06322e-14+0.0603301j 8.88127e-15-0.0729748j -2.97343e-14+0.0781783j 1.41046e-14-0.13048j -1.16332e-14+0.0986925j -1.53925e-14+0.0604729j 2.12151e-15-0.0469376j 9.21228e-15-0.0671438j -3.47912e-16-0.00405665j -2.81891e-15-0.135527j 1.18859e-14+0.0152262j 6.37732e-15+0.00623842j 
-2.22426e-15+0.202655j 1.18713e-14-0.0756473j -4.76684e-15-0.151596j 1.70991e-15+0.0839393j 1.29216e-15+0.0178376j -3.29841e-15-0.045517j -1.68908e-15+0.200481j -3.32895e-15-0.100917j 1.9981e-15-0.0748377j -2.09296e-15+0.00319427j -6.19647e-15-0.092126j 9.25513e-16-0.00961413j 4.18289e-15+0.0574378j 3.94494e-15+0.158075j -4.55963e-15-0.0540074j 9.28512e-15+0.0581326j -5.73961e-15+0.0423385j -1.40615e-14+0.243966j -9.40798e-12-0.0850768j -1.61205e-14-0.109026j 1.04499e-14-0.0740388j 4.39774e-14+0.256794j -4.6306e-14+0.0152306j -8.1789e-15-0.0465014j -1.54146e-15-0.0261561j -1.04453e-14-0.0263175j 4.06771e-14-0.134194j -2.57396e-14+0.290193j -2.52964e-13-0.0765214j 5.2325e-14-0.155553j -7.96735e-15+0.210472j -1.81963e-14+0.0463295j 3.98788e-15-0.00196489j 3.59589e-15+0.21794j 2.17733e-15+0.10023j 1.94644e-14-0.221915j 9.78446e-15-0.206507j 3.42455e-14+0.0109457j -9.05082e-15-0.106354j -3.78161e-14-0.0437053j -1.10062e-14-0.00902207j -7.33968e-15+0.006973j -2.37322e-15+0.103056j 1.9778e-14-0.180752j -5.03935e-16+0.196528j 5.56979e-19-0.0372304j 1.10777e-15-0.101195j -5.57313e-15+0.00533904j 9.54878e-15-0.0763975j 1.51285e-15+0.033188j -6.09636e-15+0.153767j 9.22476e-18-0.0385085j 7.72144e-16-0.0267847j -6.88053e-15-0.277108j 6.29098e-14+0.0740316j 1.63253e-14+0.124326j 
-8.44731e-15-0.0094243j 2.87316e-15-0.246992j -2.93144e-15-0.0473285j -5.37169e-15-0.0443916j -8.79561e-15-0.060839j -7.20067e-15-0.0742128j 7.00636e-15+0.101825j -2.23274e-14-0.244975j 8.22255e-15+0.151212j 5.4365e-15+0.0700085j -1.6137e-14-0.126419j -9.62001e-15-0.0566753j 2.13695e-15+0.0582639j -1.20643e-14-0.049723j -1.99776e-14-0.266904j -7.87584e-15+0.116669j -1.65262e-14-0.0337161j 2.65565e-14-0.00630134j -2.64138e-12-0.0237969j -2.35153e-14-0.152363j 5.07237e-15+0.0671601j 1.59938e-14+0.00652921j 3.82401e-14-0.0153017j 3.41186e-15+0.0374167j -7.86247e-15+0.0488161j 2.74921e-14+0.140182j -1.12663e-14+0.0891127j 7.58191e-16-0.107039j 3.62188e-13+0.114986j -2.01424e-14+0.0200061j -1.12714e-14-0.199014j -3.39281e-15-0.12375j -2.42848e-14+0.226782j 1.28121e-14+0.0646309j -2.14838e-14-0.233069j 1.45003e-14+0.219499j -1.11154e-14+0.0176936j 3.83938e-14-0.0999252j 2.14605e-14-0.200415j -3.37838e-14-0.0160047j -3.01561e-14-0.117132j -1.93056e-14+0.0544181j -6.27843e-15-0.0602066j -1.00585e-15+0.042174j 1.80956e-14-0.00655329j -6.77536e-15+0.0226321j -2.58659e-15-0.0447215j -1.5185e-15+0.0370062j 2.35029e-14+0.319073j 9.07441e-16+0.00141309j 9.32505e-15+0.0808775j 1.34644e-14+0.166916j -2.39172e-15+0.0132081j -5.78238e-15-0.110964j -2.18949e-14-0.073649j 1.74088e-14+0.248364j 
