-6.65707e-13-0.183806j -2.63831e-14-0.183052j -1.06024e-14+0.0976474j 7.28381e-15-0.122151j -3.1929e-15+0.0706069j 6.34518e-15-0.0237762j 8.522e-15-0.13321j 6.62074e-15-0.044902j 8.47862e-15-0.235009j 9.94831e-15+0.161854j -2.94248e-15-0.12108j 3.89941e-17-0.0504591j -3.74234e-15+0.126014j 1.4769e-14-0.230485j -1.07484e-14+0.234809j 2.84637e-15-0.0630244j 4.41572e-14-0.160656j 1.03236e-14+0.0860784j 1.53888e-14-0.0147645j -1.14736e-14+0.134522j -1.77449e-14-0.121936j 6.93106e-16-0.0249903j 1.41146e-14-0.124856j -8.30442e-16-0.117892j -1.18062e-14+0.034748j -2.68986e-15-0.0990812j -4.90147e-15-0.0694657j 6.30524e-14-0.132596j 4.56731e-16+0.10852j 1.48017e-14+0.0375853j -1.82333e-14+0.00128022j 6.50853e-15+0.0567779j 7.9939e-14-0.00524111j 1.66998e-14-0.0415292j 4.23351e-14-0.0582343j -7.78411e-14-0.00826096j -2.87892e-15-0.0444965j 1.02773e-14-0.116949j 2.50289e-14-0.0575892j -6.40336e-15-0.0132896j -7.03833e-15+0.0136911j 4.56725e-14-0.0574114j -7.74999e-16-0.078042j -2.30306e-15-0.0069515j 1.53175e-14-0.131637j 4.3095e-15-0.0268421j 1.02036e-14+0.0219853j 6.6629e-15-0.0431718j 4.96093e-15-0.0385184j 2.58455e-14+0.0161598j 5.39071e-15+0.0143461j 1.40174e-15-0.00484348j -1.37501e-15+0.0378199j -1.54653e-14+0.0111834j -8.35598e-15+0.0469065j 2.36226e-15+0.0808217j -9.23755e-15-0.00118155j -2.28195e-15-0.0117911j 4.3301e-16+0.000681049j -1.55175e-15+0.0193028j -2.13826e-15+0.0227462j -3.52002e-15-0.00612731j -2.92442e-15+0.0351487j -1.0909e-15+0.0731403j -2.67341e-15+0.0282597j 5.60703e-15-0.03236j -1.07183e-14+0.0356769j -7.10871e-15-0.00719921j 2.3954e-15-0.0537569j 8.19335e-15-0.138625j -3.64502e-15+0.036436j 1.90306e-15+0.024194j -8.6055e-15+0.110931j 6.13632e-15+0.0132577j -4.07257e-15-0.148081j 6.6736e-15+0.149069j -1.47104e-13-0.083802j 
-6.28573e-13-0.19395j -5.20101e-14+0.162868j 7.80909e-15-0.0917022j -4.12668e-15+0.00417526j 2.5537e-15+0.0165321j -5.3451e-15+0.128883j -3.04794e-15-0.0571128j -4.5746e-15+0.102776j -6.23295e-15-0.0818484j 8.67844e-15+0.0158107j 5.04709e-15+0.133605j 1.95081e-15+0.0603698j 1.16716e-15+0.0140298j -1.12282e-14+0.114216j -1.56907e-15+0.166619j 1.93575e-14-0.172153j -1.64621e-14+0.177328j 8.64889e-15-0.184652j -1.60064e-14+0.193645j 1.20812e-14+0.118308j 8.66876e-15+0.0198668j 3.82209e-15-0.0223491j 6.4132e-15-0.1016j -1.20515e-14-0.0903066j -6.99665e-15+0.0408702j 5.15323e-15+0.00817307j 1.57127e-14+0.0225575j -7.52617e-14+0.161345j -2.58237e-15-0.171747j -3.82692e-15-0.0518111j 5.95746e-15-0.00415975j -5.04523e-16+0.184526j -3.48225e-14+0.0131956j 1.04321e-14-0.0286237j 1.23026e-14-0.0307709j -2.2617e-14-0.00210103j -9.17312e-15-0.0191609j 2.80754e-14-0.0730298j -3.92678e-14+0.00174037j -2.01932e-14+0.00893803j -5.68529e-15+0.00387817j -5.26816e-15-0.000574746j -4.50308e-15+0.0152208j 5.13067e-15+0.00610159j -6.66197e-15+0.0550653j -4.71264e-15+0.011493j -1.03283e-14+0.000776269j -3.15792e-15+0.021459j -1.01319e-15+0.112277j 6.45349e-14+0.0380244j 2.36915e-14+0.0353667j 6.27362e-15+0.0317049j 5.61265e-15+0.0598647j 8.25044e-15-0.0390717j 6.38663e-15+0.0280857j 5.53003e-16+0.15329j 4.08489e-13+0.0443613j 2.26875e-15-0.0593641j -1.17199e-15+0.0157025j 3.91628e-15-0.0535662j -5.51607e-15+0.0244654j -5.37268e-15-0.0664031j 3.24486e-15-0.0102315j 8.94488e-16+0.0463836j -1.38168e-17-0.0414623j -4.92947e-15+0.0821026j 1.74651e-14-0.0995011j -1.93406e-14-0.0334683j -2.97304e-15-0.0128848j -6.52192e-15+0.0303077j 8.66044e-16-0.0513738j -2.07529e-16+0.0599813j 6.39809e-15-0.06115j -1.22099e-15+0.100244j -9.37238e-15-0.0262336j -1.31067e-14+0.104797j 2.29579e-13+0.148373j 
-4.06974e-13-0.120452j -2.58841e-14+0.018016j -3.90201e-15+0.251813j -4.24314e-15+0.152487j -2.66651e-15+0.168305j 2.95539e-15+0.0011728j 3.86972e-15-0.0606437j 4.29856e-15-0.223583j -2.00252e-16+0.2058j -6.86787e-15-0.0775565j 1.28316e-14+0.171119j -1.38294e-16+0.0588442j -4.00588e-15+0.0162058j 2.09619e-15+0.0359999j 3.33696e-15-0.217885j 9.68234e-16-0.000465603j 1.29882e-14-0.0101392j 6.50512e-15-0.0735508j -1.324e-14+0.0294376j 4.9935e-15-0.123823j -2.33181e-15+0.0340908j 3.95414e-16-0.122431j 2.66838e-15-0.154438j 2.06139e-16+0.0167899j 2.85725e-14-0.119327j 5.73875e-14+0.352389j -2.49822e-16+0.259425j -6.98643e-14+0.148603j -3.94907e-14+0.0583546j 4.16824e-14+0.140792j -1.44801e-14+0.0457324j -5.94407e-14-0.0339055j 1.12249e-12-0.117211j -2.57121e-14+0.0751583j -4.88471e-14+0.0886643j -1.13421e-12-0.138574j -6.46157e-14-0.113841j -5.92962e-14+0.0667588j 6.62749e-14-0.028728j 7.32372e-14-0.0627857j 1.0261e-14-0.0257245j 9.004e-14-0.112252j -1.64487e-15-0.0412494j 4.40672e-15-0.018298j 9.37211e-16-0.0159947j 1.1652e-14-0.0513824j -1.35639e-15+0.0272144j -1.92855e-15-0.0358915j 1.24874e-15+0.107482j 7.88258e-14+0.0436536j 3.34336e-14+0.0535939j 1.90624e-14+0.0377772j 1.31441e-14+0.0459767j 1.47594e-14-0.0198794j 6.18135e-15-0.0840201j -8.19323e-16+0.000756999j 5.63612e-14+0.00529247j 3.21691e-15+0.103488j 8.28478e-16-0.0283217j -3.66872e-15+0.0485633j -4.80946e-15-0.0337098j -2.34035e-15+0.0216758j -4.56487e-15+0.236763j -7.47693e-16+0.0602072j 1.81712e-15-0.0253433j 2.17555e-15+0.0372845j -9.91306e-15+0.0458999j 6.6109e-14+0.111602j 8.44378e-16-0.220992j 1.26405e-16-0.16838j -2.22367e-17+0.0800924j -2.08358e-15-0.079141j -2.02855e-15-0.0526667j 2.62372e-15-0.0627298j -1.0879e-14-0.127702j -1.04963e-14+0.110278j 1.34791e-13+0.0878173j 
-7.33328e-14-0.0266442j -6.38023e-15+0.0845386j -4.4923e-15+0.243291j 1.47912e-16-0.00670024j 5.04827e-16-0.0445983j -2.76181e-15+0.101535j -5.526e-15+0.116043j -3.8694e-15+0.0317525j 8.81476e-16-0.087486j 1.34312e-14+0.187759j -5.83157e-15-0.0912205j -1.3815e-19-0.160338j 5.89395e-15-0.22843j 3.89615e-15+0.10801j 5.74976e-15+0.0390504j -1.22511e-14+0.191404j 7.24608e-15-0.142242j -1.32568e-15+0.269823j -9.80321e-15+0.138342j 2.31638e-15-0.0954276j -3.39e-14-0.0531572j -2.67435e-15+0.0581865j 4.63876e-16+0.0399637j 1.27908e-14+0.357275j -1.9885e-14+0.268691j 7.95175e-15+0.000868704j 5.30304e-15-0.208809j 1.00169e-13-0.17772j 3.42914e-14-0.11451j 1.28444e-13+0.335636j -6.37093e-14+0.0758608j -6.82871e-14-0.138901j 1.29465e-12-0.138943j -5.83768e-15+0.0287544j -8.17629e-15+0.0503803j 1.96425e-13+0.0258052j 1.53062e-14-0.0309314j 5.76803e-14-0.244841j -7.59778e-14-0.055817j -3.18462e-14-0.00085378j -2.23927e-15+0.0456696j 4.31837e-14-0.0659284j 1.34631e-14+0.158957j -1.74579e-14+0.0358004j 6.67911e-15+0.149906j -1.07302e-15+0.00625747j 2.05606e-14-0.0941774j 6.9918e-16+0.00963206j 1.11534e-14+0.133383j -2.22878e-14-0.0227748j 9.43585e-16-0.0179925j 8.59604e-15+0.0547432j 3.13517e-15+0.0488386j 4.66216e-14-0.0910976j 1.72908e-14-0.106387j 8.35603e-16+0.0669682j -1.33972e-13-0.0136093j 5.82872e-15-0.0898628j 7.95982e-16+0.0538665j -6.95366e-16-0.0977199j -9.04856e-16+0.0200051j -6.56021e-18-0.00346424j 1.6807e-15-0.0414635j 1.03558e-15-0.0591399j -4.30634e-15+0.050658j -5.20705e-15+0.0868847j 1.51242e-14-0.0600853j 2.27038e-14+0.0369275j -1.83838e-15-0.0343144j -2.90829e-15-0.0649314j 8.5846e-17-0.035014j 7.01582e-16-0.114848j -5.39577e-16-0.0812865j 1.78629e-15-0.0632585j -8.68025e-15-0.128096j -1.40943e-14-0.0140202j 2.15337e-13+0.127851j 
1.28967e-13+0.0413344j 1.30078e-14-0.0117172j 1.09288e-15-0.0183038j -1.69917e-15+0.0157547j 1.11101e-14-0.0671545j -3.94345e-14+0.1304j 1.63842e-14-0.0862657j 3.24972e-14-0.144495j 3.44798e-14-0.156912j -1.49276e-14+0.0833815j -9.31726e-15-0.00984867j 1.19203e-14-0.062753j -7.3225e-14+0.306827j -2.32392e-14+0.128052j -5.63768e-14+0.245456j 4.59712e-14-0.113296j 1.06277e-13-0.269105j 2.88363e-14-0.0216869j -6.19459e-15-0.00513594j -3.9834e-15+0.031728j 1.57034e-14+0.0358482j -2.55701e-14+0.0743278j -7.02181e-14+0.196581j 4.25655e-14-0.199969j 4.57367e-14-0.0880005j -1.8133e-14+0.283471j 1.70604e-15-0.0300006j 9.90048e-14-0.151502j -1.11712e-14+0.163962j -7.34643e-14-0.0453293j -1.7283e-14+0.211733j -5.64715e-14+0.313178j -2.07245e-13+0.0374607j -2.78713e-15+0.0211217j 4.17957e-15-0.0238836j -1.27745e-13-0.0163389j -3.36115e-14-0.133126j 7.58396e-14-0.00454622j -2.21212e-13+0.136797j -1.43966e-13+0.106512j 2.36593e-14-0.0513113j 8.08899e-14-0.0717159j -3.94727e-14+0.23199j -2.97281e-14+0.0785j 1.31727e-14-0.00169036j -4.35234e-14+0.148243j 7.71848e-14-0.0948938j 7.03916e-14-0.204052j 3.34466e-14-0.143224j -1.91798e-13-0.108272j -5.6253e-14-0.207142j -2.46811e-14-0.199482j -7.08806e-15-0.050961j 3.39731e-14-0.0516429j 1.93571e-14-0.039704j 1.63756e-14-0.0183837j -1.52844e-12-0.167321j 8.2379e-16-0.080657j 1.53461e-14-0.177212j -6.60385e-15+0.0236398j 3.5106e-14-0.126126j 1.67586e-14-0.208534j 1.5935e-15+0.0354488j 1.23749e-14-0.0412833j -4.39871e-15-0.00370645j -3.39044e-14+0.112213j 8.48375e-15+0.00309299j -1.72799e-14-0.0490693j 1.80412e-14-0.0679711j 7.415e-15-0.0390829j 1.69867e-14-0.0635844j 3.71715e-15+0.0149412j 1.62702e-14-0.0700201j 9.03945e-15-0.0398845j -2.39865e-15+0.0502015j 1.54021e-14-0.0507785j -3.80136e-14-0.0320886j 
-9.67444e-14-0.0307422j -8.83767e-15+0.0204325j 1.29811e-15-0.0553083j -2.79438e-15+0.0546421j 3.35974e-16-0.0727249j 1.95566e-14-0.281066j 9.07931e-15-0.130954j -3.88024e-15-0.0249573j -1.09523e-14+0.00453997j -9.83636e-16-0.173482j 1.75623e-15-0.114113j -6.31826e-16-0.0555024j 1.06773e-14-0.127825j 2.6368e-15+0.0999521j 8.33933e-15+0.0252551j -6.4294e-15+0.0666256j 2.85786e-14-0.0703829j 3.26469e-14-0.205583j -1.22779e-14-0.0260678j 1.74948e-14-0.155835j 2.98554e-14+0.127949j 5.12349e-15-0.00388527j 1.21089e-14-0.0556118j -3.5402e-15+0.0316937j -1.60188e-14+0.0924907j 3.83784e-14+0.0788143j -2.30707e-14+0.148317j 1.47293e-13-0.210016j 6.27725e-14-0.0923947j -1.27633e-13-0.238711j 7.58637e-14+0.139632j 5.28746e-14-0.168201j -6.64617e-13+0.0588627j -3.16594e-14+0.133753j -1.88617e-14+0.0102843j 9.45692e-14+0.0129755j -4.32581e-14-0.209227j 1.40386e-13-0.257074j -1.21275e-13+0.00975939j -4.2894e-13+0.295302j -1.26359e-14-0.0385921j -1.36292e-13+0.158507j -7.41854e-15+0.0111616j 3.96908e-14-0.0626144j 1.77582e-14+0.0724906j -4.8416e-14+0.160826j -4.21906e-14+0.0493989j -9.33074e-15-0.0569485j -1.07861e-14+0.242564j 7.52869e-14+0.0662043j 9.5354e-15+0.00139089j -3.58747e-14-0.11456j -2.28125e-14-0.0099514j -6.8603e-14+0.113294j -2.75777e-14+0.120367j -3.11851e-16+0.0468703j 1.55905e-13+0.016796j -2.61339e-15+0.186031j 4.72253e-15+0.063004j 1.12411e-15+0.00804873j 7.74191e-15-0.0832581j -8.7123e-15-0.0188603j 8.95845e-15-0.00889333j -2.05284e-15+0.0355127j 1.57785e-14-0.0827126j 1.53232e-14-0.0911944j -3.84282e-14+0.136434j 3.39618e-14+0.0623703j -1.4409e-15+0.0591833j 5.71622e-16-0.0244931j -3.50129e-15+0.16041j -7.62668e-15+0.182187j -2.48525e-15+0.0520173j -6.29601e-15+0.0368386j 6.58794e-15+0.0722426j -1.0725e-14+0.0434724j 6.89804e-14+0.0467991j 
-5.00363e-14-0.019041j -6.15326e-15+0.061897j -1.11865e-14+0.181323j 1.11014e-15-0.0397082j 6.29635e-16+1.98264e-05j 5.8103e-15-0.0304286j 4.46031e-15-0.0353964j -9.38109e-15+0.173473j -1.52051e-15+0.127545j -1.19969e-14-0.00732901j -7.18093e-16+0.03387j 3.41597e-15-0.0926934j 1.606e-15+0.0248777j -1.083e-15+0.0146668j 3.59556e-15-0.121107j 1.77478e-14-0.0882753j 5.52247e-15+0.00904757j 1.64956e-16-0.123843j 4.58108e-15-0.0926923j 2.52118e-14-0.142987j 5.80924e-14+0.208304j -2.39237e-15-0.028153j -4.19176e-14+0.251003j 1.00329e-14-0.343482j 1.55127e-15-0.0454325j -8.82907e-15-0.073374j 1.53346e-14-0.00637892j -1.08278e-13+0.164047j -1.20003e-14-0.0181501j -7.70964e-14-0.321804j 4.66143e-14-0.0801592j -8.03964e-14-0.136253j 1.69562e-12-0.175422j 6.61789e-15+0.0874598j -2.30899e-14+0.0545917j 1.72186e-12+0.216724j 3.64822e-15-0.114357j -1.49284e-13+0.0534712j 3.77009e-13-0.22084j 2.29427e-13-0.162222j 3.93227e-14-0.108452j -1.26309e-13+0.125637j -5.13931e-15-0.0350607j -2.62014e-14+0.132125j 3.45281e-14-0.282728j -2.61415e-16+0.101048j 1.33584e-13-0.119193j 7.59425e-14-0.366446j -1.58712e-14+0.141013j -2.88425e-13-0.219626j -8.26842e-14-0.026946j -2.04925e-14-0.105139j -9.29432e-15+0.0536508j 1.06975e-14-0.0241035j -7.26239e-15-0.0675416j 5.27076e-15-0.019671j 6.61916e-13+0.0716734j 1.46431e-14+0.0994164j 1.59159e-14+0.160041j -1.16656e-14-0.131956j -7.42308e-15+0.0697607j 8.97657e-16+0.0997187j -2.25531e-15-0.0789561j -3.47243e-16+0.0672803j -8.0657e-15+0.0544057j -7.32717e-15+0.0360037j 1.37786e-14-0.0134424j 1.6539e-14+0.0325276j -1.89887e-15+0.0187526j -1.99529e-16+0.0259522j -3.01005e-15+0.0718603j -8.46953e-17-0.0553507j -1.91026e-15-0.0212283j 5.76632e-15-0.0269045j -6.89761e-15-0.170384j -1.18458e-14-0.0224601j 1.92716e-13+0.116789j 
-3.81054e-14-0.01141j 7.38853e-16+0.00975301j 7.77184e-15+0.0808751j -5.42844e-17-0.0304448j 1.89061e-15-0.0294099j 1.87687e-15+0.0901435j -4.25825e-17+0.0183665j 2.97726e-15+0.0244807j 6.87417e-15+0.00264674j -2.23855e-14-0.258697j -5.11231e-15-0.0884403j -1.15599e-15-0.0887991j 3.19692e-15+0.0683468j -1.95446e-15+0.0754338j 3.66559e-15-0.0973831j -1.30905e-16+0.142641j 5.80599e-14-0.0865819j 3.5101e-14-0.240487j -2.2156e-14+0.129616j -2.20794e-15+0.102826j -2.6921e-14-0.100276j 2.04006e-15-0.0590546j 1.53776e-14+0.0260443j -1.46002e-14+0.113327j 1.91834e-15-0.0541031j -1.23011e-14-0.0134103j 6.02198e-15-0.12969j 3.05629e-14-0.0019391j 4.10593e-15-0.200739j 1.08104e-13+0.153502j -1.99118e-14-0.175137j 8.4319e-14-0.107873j -1.64953e-12+0.160348j -1.61188e-14+0.0908838j -4.19355e-14+0.0596383j 1.04486e-12+0.126604j 5.3074e-14+0.0213383j -2.32229e-13+0.279479j 5.04699e-13-0.239055j -1.46817e-13+0.120455j 2.09319e-14-0.0762933j 2.71081e-13-0.291119j 1.46504e-14-0.129987j -1.07716e-14+0.0775059j -2.12834e-15-0.0223862j -3.26492e-14+0.175261j 5.72687e-14-0.162457j 5.28773e-16+0.159578j 1.12065e-14-0.0104557j 1.27573e-13+0.049342j 4.14757e-14+0.206645j 6.033e-15-0.042372j -2.59299e-15-0.0458382j -3.2706e-14+0.0302631j -1.59892e-14+0.13048j -4.93657e-15+0.0195111j -1.47251e-12-0.158012j -4.46455e-15-0.0290097j 2.0562e-15+0.0750576j -1.58694e-14-0.104275j 4.23476e-14-0.241636j -9.92841e-15-0.0976621j 1.11071e-14-0.152615j 3.99181e-15+0.0185445j 5.58571e-15-0.110427j -1.77173e-15+0.0678005j -2.4089e-14+0.164657j 1.27778e-14+0.0329267j -1.91527e-15+0.0448462j 1.61205e-15-0.0633639j -1.40177e-15-0.0588453j -5.14099e-15-0.0448628j -4.0441e-15-0.0153325j 1.80542e-15-0.0234439j -1.50339e-14-0.117197j -1.18637e-15+0.00411491j 2.92387e-14+0.0143099j 
-3.12995e-14-0.0106071j 1.75897e-16+0.0294443j 6.06033e-15+0.0325387j -4.61079e-16+0.0163015j -8.77117e-16-0.0456372j 7.68309e-15-0.0578622j 5.80295e-16-0.0800673j -1.34968e-15-0.00532791j 1.35216e-14+0.0766438j -1.12512e-14-0.0658706j -5.19394e-14-0.211109j -6.46224e-15+0.0147061j 2.50981e-14+0.113931j 6.97765e-15+0.0233384j 3.51684e-15+0.030252j 1.30484e-14+0.212304j -2.64621e-14+0.106436j -1.98212e-14+0.180809j 7.1552e-15-0.0649656j -4.43056e-15-0.0769285j 5.66147e-14+0.159065j 1.08368e-16-0.123622j -5.70536e-15+0.131193j -7.56913e-15+0.0545463j -1.48657e-15+0.0474173j -4.23151e-14-0.0789065j 3.47915e-16+0.0264885j -1.94021e-14+0.082306j -4.1057e-14-0.129031j 1.88929e-13+0.358991j -6.2365e-14+0.0557525j 1.71486e-14-0.0401121j -6.87339e-13+0.066486j 3.73213e-16-0.138194j 2.34632e-14-0.0452354j -1.53888e-12-0.189731j 1.19493e-13+0.286214j 2.24235e-14-0.152551j -1.02146e-13-0.0109633j 8.3584e-14-0.0800213j 1.01596e-14-0.237673j 9.90753e-15-0.0266392j -2.38114e-14-0.0904966j 1.39714e-14+0.0890728j -1.22298e-14-0.154707j -5.1471e-15+0.228584j -3.3675e-14-0.0013338j 1.24624e-14+0.354028j -1.43174e-14-0.0430546j 3.1098e-14+0.0578458j -3.90592e-14-0.202776j -4.0228e-14-0.015628j 2.75187e-14+0.110278j 4.38688e-14-0.168078j 1.3208e-14-0.160466j -2.09955e-14-0.123125j 9.00489e-13+0.0931864j 3.65673e-14+0.118725j 1.24423e-14+0.00341829j -3.58375e-14-0.16175j -2.36732e-15+0.111077j -3.97397e-14-0.145392j -4.58931e-15+0.00107781j 8.43329e-15+0.0329142j -9.63807e-15-0.169076j 2.5861e-15-0.0698742j -3.02774e-15+0.18826j -1.08106e-13-0.130138j -5.30977e-15-0.0136284j -6.74529e-15-0.0311577j -3.88953e-16+0.0492078j -2.87584e-15+0.0971068j -8.8694e-15-0.046176j -2.8833e-16+0.00965079j -7.92635e-15-0.0178162j -5.39303e-15+0.00853023j 1.18488e-13+0.0674531j 
-2.62917e-14-0.00601513j 1.64626e-14-0.0323019j 2.64272e-14-0.0432605j 4.97758e-15-0.00737205j -3.58096e-14+0.0659923j -8.75779e-14+0.160948j -7.16532e-14+0.129975j 2.65165e-14-0.0501484j -3.81709e-14+0.080028j -1.78942e-14+0.0393805j 2.28615e-14-0.0774316j 4.18829e-14-0.0792591j -3.0548e-14+0.0609067j -6.6776e-14+0.122526j 5.38672e-14-0.106542j 3.61978e-15+0.0137364j -1.64356e-13+0.253232j 5.98116e-14-0.138884j 4.15642e-15-0.00990512j 4.98206e-14-0.0864581j -2.81248e-14+0.176188j -1.05375e-13+0.194656j 8.17056e-14-0.136385j 3.98616e-14-0.0895871j -2.92289e-14+0.0405j -8.47964e-15-0.0199516j -5.08476e-14+0.0803627j 2.92566e-13-0.246754j 9.8371e-14-0.150176j 3.13984e-14+0.140237j -1.7738e-14-0.0567408j 2.70659e-14-0.0813726j 7.0007e-13-0.0727012j -4.06378e-14+0.112624j 9.2739e-14-0.111492j 6.06495e-14+0.0121924j 1.65792e-14-0.072436j -5.39573e-15+0.0104442j -1.48006e-13+0.0649348j 5.4191e-13-0.310058j -7.96771e-15+0.0278298j 7.57447e-16+0.00299575j -4.19209e-14+0.0719599j 1.23068e-14-0.0554973j -4.72345e-14+0.0810864j -1.70879e-13+0.249815j -4.21863e-14+0.0110387j 5.04151e-14-0.0373845j -3.4883e-14+0.0783781j 1.19392e-13+0.105987j -1.89663e-14+0.123374j 2.31452e-14-0.0754971j 2.03782e-15-0.00162714j 3.5256e-14-0.0924305j -1.76534e-13+0.321299j 9.98567e-14-0.205024j 1.72297e-12+0.193443j -6.09205e-14+0.147308j 3.82137e-14-0.0566874j -4.28582e-14+0.0767551j -8.27602e-14+0.133169j 2.07564e-14-0.0553483j 6.74545e-14-0.135677j -3.63517e-14+0.0835945j -3.75976e-14+0.0534736j -3.85345e-14+0.0660407j -3.42596e-15+0.0196669j -1.88719e-14-0.171079j 4.41716e-14-0.0913678j 1.44758e-14-0.0366503j 7.3736e-14-0.151352j 8.44411e-14-0.156132j 6.30823e-15-0.0145899j -5.28947e-15+0.0108153j 2.2437e-15-0.00873248j -1.12404e-14+0.0418194j -8.68069e-14-0.0740464j 
-8.64288e-15-0.00183713j -7.59735e-15-0.0164172j -2.27044e-14-0.0677841j 6.94008e-15+0.00368091j -7.99104e-15+0.0483341j -1.27576e-14-0.0305138j -8.37802e-15+0.0367672j -1.27994e-14+0.0163349j -2.68263e-14+0.029437j -6.53461e-16-0.00524101j 5.16101e-14+0.100105j 7.60941e-15-0.0943353j -1.72615e-14-0.067958j 1.5912e-14+0.026659j -3.08602e-14-0.0851915j -6.22308e-15-0.121966j 3.09069e-14-0.180381j 1.51766e-14+0.0113091j 1.3119e-14+0.0222906j -3.69183e-14-0.108521j -3.89276e-14-0.105819j 1.05519e-14+0.01747j 2.03002e-14+0.0899664j 1.59967e-14+0.0297505j -2.84453e-14-0.0773831j -9.28584e-14-0.222884j -3.91549e-15+0.106706j 4.43012e-14-0.0699978j -2.84298e-14-0.13778j 1.64065e-13+0.220095j -8.16333e-14-0.081212j -1.26248e-13+0.115817j 2.62209e-12-0.268275j 3.5685e-14+0.00534964j 7.1765e-14-0.169597j 1.04216e-13+0.0174891j -2.02911e-14-0.0620957j 9.83397e-14-0.0885041j -1.59662e-13+0.0979908j -2.11255e-13+0.191036j 1.79027e-16-0.177706j 6.01381e-14-0.086868j -2.57853e-14-0.0201188j 3.44767e-14+0.235742j -3.43918e-14+0.0905651j -3.13641e-14-0.00215187j -8.80532e-14+0.117693j 5.09436e-14+0.223778j 5.79324e-15-0.0706346j -2.9398e-13-0.171882j -5.57825e-14-0.103816j 6.39942e-14+0.273543j 1.48516e-14-0.0313587j 1.42409e-15-0.137475j 6.10448e-14+0.150932j -3.10181e-14-0.183307j 7.80792e-13+0.0785897j 2.47114e-14+0.0780675j -1.91957e-14+0.0105178j -7.22851e-14-0.181982j 4.92764e-15-0.229549j -7.16417e-15-0.0156719j 1.02878e-14+0.115549j 2.72424e-14+0.220076j 1.95484e-14+0.165002j 1.67315e-14+0.12689j -1.91274e-14-0.0781361j 1.13649e-13+0.110931j -9.48088e-15+0.0477046j -1.29163e-14+0.0962543j 1.10761e-14+0.0478296j 3.32201e-14-0.0173388j 2.03188e-14+0.0805082j -1.51502e-15+0.0473226j 3.20505e-14+0.0501155j 6.0298e-15+0.0330721j -8.91801e-14-0.0403111j 
