0.303946-0.505898j 0.640802+0.321192j 0.120383-0.344988j 0.00432268+0.0373149j -0.046482+0.118224j 0.0275436+0.0399241j 0.0462608-0.0617548j 0.0344986-0.0746151j 0.0154874+0.0176298j 0.00157813-0.00733683j -0.0253558+0.0368349j -0.0793524+0.0140194j -0.00206806+0.0274117j 0.0151258-0.0174686j 0.00394224+0.0193375j 
0.0640732-0.0518243j 0.0895685+0.0651035j 0.100526-0.203106j 0.403123+0.201128j 0.139248-0.291593j -0.157589+0.213893j 0.0639218+0.0408309j -0.029934-0.0187678j 0.177527-4.21328e-06j 0.0780806-0.00733426j 0.0684274-0.0934434j 0.178651-0.0606261j 0.00649229+0.0688535j 0.109912-0.011389j 0.0200833-0.0850611j 
-0.120647-0.150697j 0.121582-0.0512296j 0.1391+0.176928j -0.231332+0.35485j 0.340443+0.0838368j -0.177947-0.118931j -0.0791839+0.114694j 0.0281819-0.142351j -0.103547-0.153892j -0.0615809-0.0273148j 0.0452815-0.00979961j -0.0483373-0.0665823j -0.00826685+0.118045j -0.0041285+0.0412278j 0.0153578-0.0773808j 
0.0734044+0.000334481j -0.043835+0.00203605j -0.177212-0.0191965j -0.0692885-0.112361j 0.0221541+0.196873j 0.142467-0.131051j -0.161824-0.135738j 0.28753+0.134463j 0.280493+0.0745082j 0.0673411-0.0297658j 0.171544-0.1659j 0.193372-0.103169j -0.0481582+0.0930891j 0.14191-0.0827746j -0.00862703-0.0804084j 
0.035228+0.107763j -0.000371471-0.0602664j -0.0567765-0.117673j 0.0283345+0.0371519j 0.0848138+0.0386658j -0.089012-0.184883j -0.100674+0.101113j 0.0222798-0.0703007j 0.15254+0.314437j -0.297053-0.0574322j -0.369613+0.0876945j 0.0719108+0.12532j -0.0780931-0.110111j 0.178216-0.242624j -0.0397757+0.0387978j 
-0.0738058-0.0667326j 0.0540119+0.0757274j 0.0392349+0.206647j -0.109822-0.0642498j -0.0810975-0.0624765j 0.0694103+0.165655j 0.181323+0.166082j -0.2228+0.212421j -0.0525505-0.359438j -0.356929-0.412626j 0.0390768-0.0279229j 0.17889+0.080882j -0.200936+0.289272j 0.112758+0.107828j 0.0557538-0.0940044j 
0.0192622+0.00573905j 0.0433322-0.042479j 0.0558403+0.104076j -0.103552-0.0437404j -0.119158+0.0367882j 0.0171431+0.132498j -0.038323-0.116579j -0.214834-0.216037j -0.205592+0.0466172j -0.0130902-0.00259916j -0.414573+0.420676j -0.0135834-0.292017j -0.0936877-0.213249j 0.241446-0.0445168j 0.14059-0.263333j 
-0.0259804-0.015233j -0.0535145-0.0460775j 0.0449485+0.0794976j 0.0538253+0.124438j 0.105542-0.0067451j 0.047501+0.147723j -0.0880237-0.238736j 0.10017-0.0341823j 0.0727309-0.11328j 0.324609+0.0708309j 0.176579+0.0481117j 0.183367-0.411843j -0.0461425+0.00317827j 0.169708+0.0636438j 0.150147-0.302512j 
0.021971+0.0486357j 0.01057-0.0118985j -0.0174126-0.0836782j 0.107087+0.0666386j 0.108127-0.0250902j 0.0149333-0.0433567j -0.0844995+0.0346262j 0.04322+0.104161j 0.269191+0.111778j -0.215555-0.218547j -0.121129-0.0255506j 0.287793-0.0236054j -0.155981+0.065494j 0.283797-0.111268j 0.0909778-0.0878187j 
